type,file_name,url,publication_title,publication_slug
csv,1991-census-table-age-by-sex-and-marital-status.csv,https://www.nisra.gov.uk/files/nisra/publications/1991-census-table-age-by-sex-and-marital-status.csv,1991 Census - Tables,/publications/1991-census-tables
csv,1991-census-table-population-by-area.csv,https://www.nisra.gov.uk/files/nisra/publications/1991-census-table-population-by-area.csv,1991 Census - Tables,/publications/1991-census-tables
csv,1991-census-table-religion-and-gender-by-area.csv,https://www.nisra.gov.uk/files/nisra/publications/1991-census-table-religion-and-gender-by-area.csv,1991 Census - Tables,/publications/1991-census-tables
csv,1991-census-table-visitors-and-country-of-birth-by-sex-and-marital-status.csv,https://www.nisra.gov.uk/files/nisra/publications/1991-census-table-visitors-and-country-of-birth-by-sex-and-marital-status.csv,1991 Census - Tables,/publications/1991-census-tables
zip,geography-1km-grid-square-esri-shapefile.zip,https://www.nisra.gov.uk/files/nisra/publications/geography-1km-grid-square-esri-shapefile.zip,1km Grid Square in GIS format,/publications/1km-grid-square-gis-format
zip,geography-1km-grid-square-geojson.zip,https://www.nisra.gov.uk/files/nisra/publications/geography-1km-grid-square-geojson.zip,1km Grid Square in GIS format,/publications/1km-grid-square-gis-format
pdf,mye-2002.pdf,https://www.nisra.gov.uk/files/nisra/publications/mye-2002.pdf,2001-2011 Mid Year Population Estimates - 2001 Census-based publications,/publications/2001-2011-mid-year-population-estimates-2001-census-based-publications
pdf,mye-report_2007.pdf,https://www.nisra.gov.uk/files/nisra/publications/mye-report_2007.pdf,2001-2011 Mid Year Population Estimates - 2001 Census-based publications,/publications/2001-2011-mid-year-population-estimates-2001-census-based-publications
pdf,mye-report_2008.pdf,https://www.nisra.gov.uk/files/nisra/publications/mye-report_2008.pdf,2001-2011 Mid Year Population Estimates - 2001 Census-based publications,/publications/2001-2011-mid-year-population-estimates-2001-census-based-publications
pdf,mye-report_2009.pdf,https://www.nisra.gov.uk/files/nisra/publications/mye-report_2009.pdf,2001-2011 Mid Year Population Estimates - 2001 Census-based publications,/publications/2001-2011-mid-year-population-estimates-2001-census-based-publications
pdf,mye-report_2010.pdf,https://www.nisra.gov.uk/files/nisra/publications/mye-report_2010.pdf,2001-2011 Mid Year Population Estimates - 2001 Census-based publications,/publications/2001-2011-mid-year-population-estimates-2001-census-based-publications
pdf,mye-report_2011.pdf,https://www.nisra.gov.uk/files/nisra/publications/mye-report_2011.pdf,2001-2011 Mid Year Population Estimates - 2001 Census-based publications,/publications/2001-2011-mid-year-population-estimates-2001-census-based-publications
pdf,pr-mye-2001.pdf,https://www.nisra.gov.uk/files/nisra/publications/pr-mye-2001.pdf,2001-2011 Mid Year Population Estimates - 2001 Census-based publications,/publications/2001-2011-mid-year-population-estimates-2001-census-based-publications
pdf,pr-mye-2003.pdf,https://www.nisra.gov.uk/files/nisra/publications/pr-mye-2003.pdf,2001-2011 Mid Year Population Estimates - 2001 Census-based publications,/publications/2001-2011-mid-year-population-estimates-2001-census-based-publications
pdf,pr-mye-2004.pdf,https://www.nisra.gov.uk/files/nisra/publications/pr-mye-2004.pdf,2001-2011 Mid Year Population Estimates - 2001 Census-based publications,/publications/2001-2011-mid-year-population-estimates-2001-census-based-publications
pdf,pr-mye-2005.pdf,https://www.nisra.gov.uk/files/nisra/publications/pr-mye-2005.pdf,2001-2011 Mid Year Population Estimates - 2001 Census-based publications,/publications/2001-2011-mid-year-population-estimates-2001-census-based-publications
pdf,pr-mye-2006.pdf,https://www.nisra.gov.uk/files/nisra/publications/pr-mye-2006.pdf,2001-2011 Mid Year Population Estimates - 2001 Census-based publications,/publications/2001-2011-mid-year-population-estimates-2001-census-based-publications
pdf,2001-census-results-census-area-statistics-index-alphabetical.pdf,https://www.nisra.gov.uk/files/nisra/publications/2001-census-results-census-area-statistics-index-alphabetical.pdf,2001 Census - Census Area Statistics,/publications/2001-census-census-area-statistics
pdf,2001-census-results-census-area-statistics-index-number-and-name.pdf,https://www.nisra.gov.uk/files/nisra/publications/2001-census-results-census-area-statistics-index-number-and-name.pdf,2001 Census - Census Area Statistics,/publications/2001-census-census-area-statistics
pdf,2001-census-language-identity-card.pdf,https://www.nisra.gov.uk/files/nisra/publications/2001-census-language-identity-card.pdf,2001 Census - Community Liaison Materials,/publications/2001-census-community-liaison-materials
pdf,2001-census-translation-leaflet-arabic.pdf,https://www.nisra.gov.uk/files/nisra/publications/2001-census-translation-leaflet-arabic.pdf,2001 Census - Community Liaison Materials,/publications/2001-census-community-liaison-materials
pdf,2001-census-translation-leaflet-bengali.pdf,https://www.nisra.gov.uk/files/nisra/publications/2001-census-translation-leaflet-bengali.pdf,2001 Census - Community Liaison Materials,/publications/2001-census-community-liaison-materials
pdf,2001-census-translation-leaflet-chinese.pdf,https://www.nisra.gov.uk/files/nisra/publications/2001-census-translation-leaflet-chinese.pdf,2001 Census - Community Liaison Materials,/publications/2001-census-community-liaison-materials
pdf,2001-census-translation-leaflet-hindu.pdf,https://www.nisra.gov.uk/files/nisra/publications/2001-census-translation-leaflet-hindu.pdf,2001 Census - Community Liaison Materials,/publications/2001-census-community-liaison-materials
pdf,2001-census-translation-leaflet-irish.pdf,https://www.nisra.gov.uk/files/nisra/publications/2001-census-translation-leaflet-irish.pdf,2001 Census - Community Liaison Materials,/publications/2001-census-community-liaison-materials
pdf,2001-census-translation-leaflet-punjabi.pdf,https://www.nisra.gov.uk/files/nisra/publications/2001-census-translation-leaflet-punjabi.pdf,2001 Census - Community Liaison Materials,/publications/2001-census-community-liaison-materials
