SA2011,Label,Population,Catholic_bg,Protestant_bg,Other_None_bg,Proj_UI_decided_pct,provenance
N00000957,Belmont_1,555,10.3,81.1,8.6,20.6,modelled
N00000958,Belmont_1,294,8.2,81.3,10.5,19.6,modelled
N00000959,Belmont_1,476,4.0,85.3,10.7,16.5,modelled
N00000960,Belmont_1,515,11.1,78.6,10.3,21.7,modelled
N00000961,Belmont_1,311,5.5,83.9,10.6,17.6,modelled
N00000962,Belmont_2,338,11.5,76.9,11.6,22.4,modelled
N00000963,Belmont_2,252,8.3,80.2,11.5,20.0,modelled
N00000964,Belmont_2,297,6.1,84.8,9.1,17.6,modelled
N00000965,Belmont_2,300,5.3,87.3,7.4,16.5,modelled
N00000966,Belmont_2,331,7.3,81.9,10.8,19.0,modelled
N00000967,Belmont_2,378,13.0,73.5,13.5,24.1,modelled
N00000968,Belmont_3,255,7.1,83.9,9.0,18.3,modelled
N00000969,Belmont_3,193,11.4,77.7,10.9,22.1,modelled
N00000970,Belmont_3,486,14.0,73.0,13.0,24.7,modelled
N00000971,Belmont_3,261,3.1,88.5,8.4,15.1,modelled
N00000972,Belmont_3,317,5.0,84.2,10.8,17.3,modelled
N00000973,Belmont_3,331,12.4,74.9,12.7,23.4,modelled
N00000974,Belmont_3,275,6.2,80.0,13.8,19.1,modelled
N00000975,Blackstaff_1,262,13.7,71.0,15.3,25.2,modelled
N00000976,Blackstaff_1,141,17.0,71.6,11.4,26.5,modelled
N00000977,Blackstaff_1,285,8.8,80.4,10.8,20.1,modelled
N00000978,Blackstaff_1,239,14.2,71.5,14.3,25.2,modelled
N00000979,Blackstaff_1,217,12.9,72.8,14.3,24.3,modelled
N00000980,Blackstaff_1,223,24.2,65.0,10.8,31.8,modelled
N00000981,Blackstaff_1,207,17.4,69.6,13.0,27.3,modelled
N00000982,Blackstaff_1,252,21.0,61.9,17.1,31.2,modelled
N00000983,Blackstaff_2,336,11.0,75.0,14.0,22.7,modelled
N00000984,Blackstaff_2,329,24.6,59.6,15.8,33.5,modelled
N00000985,Blackstaff_2,244,9.8,81.6,8.6,20.2,modelled
N00000986,Blackstaff_2,214,15.4,71.5,13.1,25.8,modelled
N00000987,Blackstaff_2,367,12.5,73.0,14.5,24.0,modelled
N00000988,Blackstaff_2,146,23.3,64.4,12.3,31.5,modelled
N00000989,Blackstaff_2,262,5.0,85.1,9.9,17.0,modelled
N00000990,Blackstaff_2,274,15.3,67.2,17.5,27.0,modelled
N00000991,Bloomfield_1,269,15.6,70.6,13.8,26.2,modelled
N00000992,Bloomfield_1,462,13.4,68.4,18.2,25.8,modelled
N00000993,Bloomfield_1,236,15.3,66.5,18.2,27.2,modelled
N00000994,Bloomfield_1,928,16.8,67.0,16.2,27.8,modelled
N00000995,Bloomfield_2,195,7.2,80.0,12.8,19.5,modelled
N00000996,Bloomfield_2,383,15.4,73.4,11.2,25.2,modelled
N00000997,Bloomfield_2,271,14.8,75.3,9.9,24.4,modelled
N00000998,Bloomfield_2,304,15.8,69.1,15.1,26.7,modelled
N00000999,Bloomfield_2,227,14.1,69.6,16.3,25.8,modelled
N00001000,Bloomfield_2,307,12.4,79.5,8.1,22.0,modelled
N00001001,Bloomfield_3,296,20.9,61.5,17.6,31.3,modelled
N00001002,Bloomfield_3,796,21.2,67.5,11.3,29.6,modelled
N00001003,Bloomfield_3,218,11.9,77.5,10.6,22.4,modelled
N00001004,Bloomfield_3,303,17.5,64.4,18.1,28.9,modelled
N00001005,Bloomfield_3,258,15.9,70.2,13.9,26.4,modelled
N00001006,Botanic_1,527,43.6,34.5,21.9,49.7,modelled
N00001007,Botanic_1,595,46.4,32.6,21.0,51.5,modelled
N00001008,Botanic_1,245,50.2,35.1,14.7,52.5,modelled
N00001009,Botanic_1,188,48.4,27.7,23.9,53.9,modelled
N00001010,Botanic_2,334,74.9,15.0,10.1,69.8,modelled
N00001011,Botanic_2,374,64.4,20.1,15.5,63.5,modelled
N00001012,Botanic_2,353,55.8,28.9,15.3,57.0,modelled
N00001013,Botanic_2,242,60.7,25.6,13.7,60.2,modelled
N00001014,Botanic_2,239,50.2,34.3,15.5,52.8,modelled
N00001015,Botanic_2,416,47.6,34.1,18.3,51.7,modelled
N00001016,Botanic_3,262,70.2,16.0,13.8,67.4,modelled
N00001017,Botanic_3,323,77.1,12.7,10.2,71.5,modelled
N00001018,Botanic_3,288,46.5,31.6,21.9,51.9,modelled
N00001019,Botanic_3,205,80.5,11.2,8.3,73.5,modelled
N00001020,Botanic_3,171,59.1,26.3,14.6,59.2,modelled
N00001021,Botanic_3,239,54.0,25.9,20.1,57.0,modelled
N00001022,Botanic_4,604,47.5,26.7,25.8,53.8,modelled
N00001023,Botanic_4,220,59.5,22.3,18.2,60.6,modelled
N00001024,Botanic_4,346,62.1,21.1,16.8,62.2,modelled
N00001025,Botanic_4,297,48.1,31.3,20.6,52.7,modelled
N00001026,Botanic_4,236,48.7,29.2,22.1,53.6,modelled
N00001027,Botanic_5,395,75.4,11.9,12.7,71.0,modelled
N00001028,Botanic_5,261,85.1,10.0,4.9,76.0,modelled
N00001029,Botanic_5,699,80.1,9.6,10.3,73.8,modelled
N00001030,Botanic_5,514,70.4,17.9,11.7,66.9,modelled
N00001031,Botanic_5,372,73.4,19.4,7.2,67.8,modelled
N00001032,Castleview_1,185,7.6,82.7,9.7,18.9,modelled
N00001033,Castleview_1,129,4.7,86.8,8.5,16.3,modelled
N00001034,Castleview_1,344,33.7,57.6,8.7,38.3,modelled
N00001035,Castleview_1,284,17.3,72.5,10.2,26.4,modelled
N00001036,Castleview_1,391,21.2,66.2,12.6,30.0,modelled
N00001037,Castleview_2,368,82.3,14.7,3.0,73.3,modelled
N00001038,Castleview_2,726,70.5,22.9,6.6,65.5,modelled
N00001039,Castleview_2,387,72.6,21.2,6.2,66.9,modelled
N00001040,Castleview_2,271,7.4,83.8,8.8,18.5,modelled
N00001041,Castleview_3,190,7.4,83.2,9.4,18.7,modelled
N00001042,Castleview_3,664,49.4,45.5,5.1,49.1,modelled
N00001043,Castleview_3,206,2.4,91.7,5.9,13.8,modelled
N00001044,Castleview_3,303,13.2,74.9,11.9,23.8,modelled
N00001045,Castleview_3,274,10.9,82.5,6.6,20.5,modelled
N00001046,Cavehill_1,307,68.1,29.6,2.3,62.4,modelled
N00001047,Cavehill_1,314,33.1,58.6,8.3,37.7,modelled
N00001048,Cavehill_1,331,68.9,29.3,1.8,62.8,modelled
N00001049,Cavehill_1,330,12.7,79.4,7.9,22.2,modelled
N00001050,Cavehill_1,335,69.3,25.7,5.0,64.1,modelled
N00001051,Cavehill_2,371,78.7,14.6,6.7,71.7,modelled
N00001052,Cavehill_2,180,72.8,25.0,2.2,65.9,modelled
N00001053,Cavehill_2,355,81.1,14.9,4.0,72.7,modelled
N00001054,Cavehill_2,341,83.6,12.3,4.1,74.6,modelled
N00001055,Cavehill_2,350,77.7,18.6,3.7,70.0,modelled
N00001056,Cavehill_3,355,35.2,58.0,6.8,38.9,modelled
N00001057,Cavehill_3,326,18.7,75.5,5.8,26.1,modelled
N00001058,Cavehill_3,349,75.1,21.5,3.4,68.0,modelled
N00001059,Cavehill_3,320,62.8,31.2,6.0,59.5,modelled
N00001060,Cavehill_3,256,8.6,82.4,9.0,19.4,modelled
N00001061,Cherryvalley_1,341,8.2,81.8,10.0,19.4,modelled
N00001062,Cherryvalley_1,354,17.8,75.7,6.5,25.6,modelled
N00001063,Cherryvalley_1,306,9.2,81.4,9.4,20.0,modelled
N00001064,Cherryvalley_1,632,16.9,72.6,10.5,26.2,modelled
N00001065,Cherryvalley_1,326,19.3,74.2,6.5,26.8,modelled
N00001066,Cherryvalley_2,275,8.4,80.4,11.2,19.9,modelled
N00001067,Cherryvalley_2,278,11.5,82.7,5.8,20.7,modelled
N00001068,Cherryvalley_2,336,20.2,67.9,11.9,29.1,modelled
N00001069,Cherryvalley_2,327,19.6,66.1,14.3,29.3,modelled
N00001070,Cherryvalley_2,518,14.3,72.2,13.5,25.1,modelled
N00001071,Cherryvalley_2,318,22.0,59.1,18.9,32.5,modelled
N00001072,Cherryvalley_3,320,10.9,82.8,6.3,20.4,modelled
N00001073,Cherryvalley_3,283,9.9,77.0,13.1,21.6,modelled
N00001074,Cherryvalley_3,240,6.7,82.9,10.4,18.4,modelled
N00001075,Cherryvalley_3,308,12.7,77.3,10.0,22.8,modelled
N00001076,Cherryvalley_3,272,12.1,80.5,7.4,21.6,modelled
N00001077,Cherryvalley_3,229,9.2,82.5,8.3,19.7,modelled
N00001078,Cherryvalley_3,257,24.9,67.7,7.4,31.3,modelled
N00001079,Chichester Park_1,829,79.7,11.9,8.4,72.9,modelled
N00001080,Chichester Park_1,324,73.8,15.4,10.8,69.2,modelled
N00001081,Chichester Park_1,412,66.3,22.1,11.6,63.8,modelled
N00001082,Chichester Park_1,431,86.8,7.9,5.3,77.4,modelled
N00001083,Chichester Park_2,436,83.3,10.1,6.6,75.1,modelled
N00001084,Chichester Park_2,447,81.2,12.8,6.0,73.4,modelled
N00001085,Chichester Park_2,1087,81.1,11.4,7.5,73.7,modelled
N00001086,Chichester Park_3,336,75.3,14.3,10.4,70.2,modelled
N00001087,Chichester Park_3,307,80.1,12.7,7.2,72.9,modelled
N00001088,Chichester Park_3,305,83.9,9.2,6.9,75.7,modelled
N00001089,Chichester Park_3,316,40.2,45.9,13.9,44.8,modelled
N00001090,Chichester Park_3,222,7.2,80.6,12.2,19.3,modelled
N00001091,Cliftonville_1,384,88.8,3.6,7.6,79.6,modelled
N00001092,Cliftonville_1,398,92.0,5.3,2.7,80.5,modelled
N00001093,Cliftonville_1,642,84.9,9.0,6.1,76.2,modelled
N00001094,Cliftonville_1,239,92.5,4.6,2.9,81.0,modelled
N00001095,Cliftonville_1,368,87.2,5.4,7.4,78.3,modelled
N00001096,Cliftonville_2,397,88.7,6.8,4.5,78.6,modelled
N00001097,Cliftonville_2,316,79.7,18.0,2.3,71.1,modelled
N00001098,Cliftonville_2,308,85.4,11.0,3.6,75.8,modelled
N00001099,Cliftonville_2,282,40.4,54.6,5.0,42.3,modelled
N00001100,Cliftonville_2,292,86.3,9.6,4.1,76.7,modelled
N00001101,Cliftonville_3,304,69.7,26.3,4.0,64.1,modelled
N00001102,Cliftonville_3,569,10.2,83.3,6.5,19.9,modelled
N00001103,Cliftonville_3,219,52.5,33.8,13.7,54.0,modelled
N00001104,Cliftonville_3,303,66.7,30.4,2.9,61.5,modelled
N00001105,Cliftonville_3,309,55.3,36.9,7.8,54.3,modelled
N00001106,Clonard_1,283,94.3,4.6,1.1,81.8,modelled
N00001107,Clonard_1,309,93.9,3.9,2.2,81.8,modelled
N00001108,Clonard_1,217,96.3,0.9,2.8,83.8,modelled
N00001109,Clonard_1,393,85.5,9.9,4.6,76.2,modelled
N00001110,Clonard_1,345,88.7,7.0,4.3,78.5,modelled
N00001111,Clonard_1,687,93.6,4.1,2.3,81.6,modelled
N00001112,Clonard_1,319,87.5,8.8,3.7,77.4,modelled
N00001113,Clonard_2,1384,91.3,5.3,3.4,80.2,modelled
N00001114,Clonard_2,319,89.3,6.6,4.1,78.9,modelled
N00001115,Clonard_2,222,88.7,9.9,1.4,77.7,modelled
N00001116,Clonard_2,497,85.5,10.7,3.8,76.0,modelled
N00001117,Crumlin_1,728,3.7,91.8,4.5,14.4,modelled
N00001118,Crumlin_1,305,11.5,80.0,8.5,21.5,modelled
N00001119,Crumlin_1,176,2.8,90.3,6.9,14.4,modelled
N00001120,Crumlin_1,213,8.0,85.9,6.1,18.1,modelled
N00001121,Crumlin_1,235,4.7,87.7,7.6,16.1,modelled
N00001122,Crumlin_1,176,8.0,86.9,5.1,17.8,modelled
N00001123,Crumlin_1,186,9.7,86.0,4.3,18.9,modelled
N00001124,Crumlin_2,568,6.5,86.3,7.2,17.3,modelled
N00001125,Crumlin_2,413,7.0,87.4,5.6,17.2,modelled
N00001126,Crumlin_2,242,7.9,81.4,10.7,19.4,modelled
N00001127,Crumlin_2,639,23.3,70.4,6.3,29.7,modelled
N00001128,Crumlin_2,251,9.2,83.3,7.5,19.4,modelled
N00001129,Crumlin_2,450,30.0,64.4,5.6,34.6,modelled
N00001130,Duncairn_1,179,19.0,60.3,20.7,30.8,modelled
N00001131,Duncairn_1,1073,51.4,31.5,17.1,54.2,modelled
N00001132,Duncairn_1,251,6.4,86.1,7.5,17.3,modelled
N00001133,Duncairn_1,643,10.0,77.9,12.1,21.4,modelled
N00001134,Duncairn_1,212,13.7,75.5,10.8,23.8,modelled
N00001135,Duncairn_1,188,9.6,85.6,4.8,18.9,modelled
N00001136,Duncairn_1,261,8.0,77.4,14.6,20.7,modelled
N00001137,Duncairn_2,292,12.7,75.3,12.0,23.4,modelled
N00001138,Duncairn_2,195,6.7,87.7,5.6,17.0,modelled
N00001139,Duncairn_2,546,46.5,40.3,13.2,49.3,modelled
N00001140,Duncairn_2,309,11.0,72.5,16.5,23.5,modelled
N00001141,Duncairn_2,189,12.2,79.9,7.9,21.8,modelled
N00001142,Duncairn_2,190,12.6,79.5,7.9,22.1,modelled
N00001143,Duncairn_2,140,7.9,87.1,5.0,17.7,modelled
N00001144,Duncairn_2,233,11.2,79.8,9.0,21.4,modelled
N00001145,Falls_1,311,85.9,12.2,1.9,75.7,modelled
N00001146,Falls_1,291,95.2,4.8,0.0,82.2,modelled
N00001147,Falls_1,258,89.1,6.2,4.7,78.9,modelled
N00001148,Falls_1,260,95.8,4.2,0.0,82.6,modelled
N00001149,Falls_1,377,91.2,7.2,1.6,79.6,modelled
N00001150,Falls_2,334,90.1,7.5,2.4,79.0,modelled
N00001151,Falls_2,390,91.8,7.2,1.0,79.9,modelled
N00001152,Falls_2,419,89.0,9.3,1.7,78.0,modelled
N00001153,Falls_2,316,90.2,7.3,2.5,79.1,modelled
N00001154,Falls_2,293,92.5,5.1,2.4,80.8,modelled
N00001155,Falls_3,636,61.9,11.8,26.3,64.8,modelled
N00001156,Falls_3,1299,91.6,6.1,2.3,80.1,modelled
N00001157,Falls Park_1,280,96.4,1.8,1.8,83.6,modelled
N00001158,Falls Park_1,266,96.2,2.3,1.5,83.4,modelled
N00001159,Falls Park_1,365,95.3,3.0,1.7,82.7,modelled
N00001160,Falls Park_1,357,95.2,2.8,2.0,82.7,modelled
N00001161,Falls Park_1,250,84.0,8.0,8.0,76.1,modelled
N00001162,Falls Park_1,169,86.4,3.0,10.6,78.7,modelled
N00001163,Falls Park_2,336,95.8,3.0,1.2,83.0,modelled
N00001164,Falls Park_2,342,93.0,4.1,2.9,81.4,modelled
N00001165,Falls Park_2,322,98.4,0.9,0.7,84.8,modelled
N00001166,Falls Park_2,593,94.4,3.9,1.7,82.1,modelled
N00001167,Falls Park_2,342,94.7,3.2,2.1,82.4,modelled
N00001168,Falls Park_3,353,95.8,3.4,0.8,82.8,modelled
N00001169,Falls Park_3,320,94.4,3.4,2.2,82.2,modelled
N00001170,Falls Park_3,333,95.2,3.9,0.9,82.4,modelled
N00001171,Falls Park_3,408,93.6,2.9,3.5,82.0,modelled
N00001172,Falls Park_3,307,95.8,2.9,1.3,83.0,modelled
N00001173,Finaghy_1,262,10.7,75.2,14.1,22.5,modelled
N00001174,Finaghy_1,343,58.9,31.8,9.3,57.5,modelled
N00001175,Finaghy_1,306,61.1,29.7,9.2,59.1,modelled
N00001176,Finaghy_1,241,9.5,83.8,6.7,19.4,modelled
N00001177,Finaghy_1,266,14.7,74.8,10.5,24.5,modelled
N00001178,Finaghy_2,406,80.3,14.3,5.4,72.5,modelled
N00001179,Finaghy_2,342,91.2,7.3,1.5,79.6,modelled
N00001180,Finaghy_2,157,55.4,35.0,9.6,55.0,modelled
N00001181,Finaghy_2,295,38.6,53.2,8.2,41.9,modelled
N00001182,Finaghy_2,352,93.8,4.8,1.4,81.5,modelled
N00001183,Finaghy_3,444,39.6,47.5,12.9,44.0,modelled
N00001184,Finaghy_3,283,37.1,58.7,4.2,39.5,modelled
N00001185,Finaghy_3,268,17.9,74.6,7.5,26.0,modelled
N00001186,Finaghy_3,267,21.7,62.9,15.4,31.2,modelled
N00001187,Finaghy_3,323,63.5,26.9,9.6,61.1,modelled
N00001188,Fortwilliam_1,806,73.9,20.0,6.1,67.9,modelled
N00001189,Fortwilliam_1,304,45.7,47.7,6.6,46.7,modelled
N00001190,Fortwilliam_1,278,17.6,72.7,9.7,26.4,modelled
N00001191,Fortwilliam_2,245,5.7,83.7,10.6,17.7,modelled
N00001192,Fortwilliam_2,256,13.3,78.5,8.2,22.8,modelled
N00001193,Fortwilliam_2,232,20.3,67.2,12.5,29.3,modelled
N00001194,Fortwilliam_2,269,5.9,91.1,3.0,15.6,modelled
N00001195,Fortwilliam_2,184,38.0,45.7,16.3,43.8,modelled
N00001196,Fortwilliam_2,354,8.8,81.1,10.1,19.9,modelled
N00001197,Fortwilliam_3,266,24.1,59.8,16.1,33.3,modelled
N00001198,Fortwilliam_3,467,51.6,43.7,4.7,50.6,modelled
N00001199,Fortwilliam_3,194,18.0,70.1,11.9,27.4,modelled
N00001200,Fortwilliam_3,395,70.9,20.5,8.6,66.4,modelled
N00001201,Fortwilliam_3,311,85.9,9.6,4.5,76.5,modelled
N00001202,Glen Road_1,323,85.4,10.5,4.1,76.0,modelled
N00001203,Glen Road_1,315,96.5,3.5,0.0,83.1,modelled
N00001204,Glen Road_1,956,97.1,1.9,1.0,83.9,modelled
N00001205,Glen Road_1,564,95.7,2.8,1.5,83.0,modelled
N00001206,Glen Road_2,229,90.8,4.4,4.8,80.3,modelled
N00001207,Glen Road_2,400,98.8,1.0,0.2,84.9,modelled
N00001208,Glen Road_2,339,95.6,3.8,0.6,82.6,modelled
N00001209,Glen Road_2,254,95.7,2.8,1.5,83.0,modelled
N00001210,Glen Road_2,332,96.4,2.4,1.2,83.4,modelled
N00001211,Glen Road_2,285,94.4,3.9,1.7,82.1,modelled
N00001212,Glen Road_3,301,97.7,1.7,0.6,84.2,modelled
N00001213,Glen Road_3,299,97.3,1.7,1.0,84.0,modelled
N00001214,Glen Road_3,289,92.7,4.8,2.5,81.0,modelled
N00001215,Glen Road_3,281,90.7,5.3,4.0,79.9,modelled
N00001216,Glen Road_3,406,95.3,2.5,2.2,82.9,modelled
N00001217,Glencairn_1,413,9.0,81.6,9.4,19.9,modelled
N00001218,Glencairn_1,279,8.2,82.4,9.4,19.3,modelled
N00001219,Glencairn_1,301,8.0,83.4,8.6,18.9,modelled
N00001220,Glencairn_1,231,3.5,87.9,8.6,15.5,modelled
N00001221,Glencairn_1,258,7.8,87.2,5.0,17.6,modelled
N00001222,Glencairn_1,213,5.2,86.4,8.4,16.7,modelled
N00001223,Glencairn_1,300,9.0,86.0,5.0,18.6,modelled
N00001224,Glencairn_2,265,8.3,81.9,9.8,19.5,modelled
N00001225,Glencairn_2,242,2.5,88.4,9.1,14.9,modelled
N00001226,Glencairn_2,236,4.2,87.7,8.1,15.8,modelled
N00001227,Glencairn_2,246,2.4,92.3,5.3,13.7,modelled
N00001228,Glencairn_2,212,12.7,83.5,3.8,21.0,modelled
N00001229,Glencairn_2,255,72.5,24.3,3.2,66.0,modelled
N00001230,Glencairn_2,298,83.6,13.4,3.0,74.3,modelled
N00001231,Glencolin_1,401,85.5,13.2,1.3,75.2,modelled
N00001232,Glencolin_1,375,93.6,4.3,2.1,81.6,modelled
N00001233,Glencolin_1,421,94.5,3.6,1.9,82.2,modelled
N00001234,Glencolin_1,351,98.0,1.4,0.6,84.4,modelled
N00001235,Glencolin_2,953,94.6,4.5,0.9,82.0,modelled
N00001236,Glencolin_2,372,92.7,5.9,1.4,80.7,modelled
N00001237,Glencolin_2,289,95.8,2.4,1.8,83.1,modelled
N00001238,Glencolin_3,297,98.0,1.7,0.3,84.4,modelled
N00001239,Glencolin_3,313,96.5,1.6,1.9,83.7,modelled
N00001240,Glencolin_3,1095,93.2,4.4,2.4,81.4,modelled
N00001241,Glencolin_4,352,93.8,5.4,0.8,81.3,modelled
N00001242,Glencolin_4,335,95.2,3.6,1.2,82.5,modelled
N00001243,Glencolin_4,275,93.1,5.5,1.4,81.0,modelled
N00001244,Glencolin_4,335,78.8,15.2,6.0,71.6,modelled
N00001245,Glencolin_4,334,92.8,4.8,2.4,81.1,modelled
N00001246,Highfield_1,608,6.2,75.5,18.3,20.4,modelled
N00001247,Highfield_1,245,7.8,85.7,6.5,18.1,modelled
N00001248,Highfield_1,430,2.1,91.2,6.7,13.8,modelled
N00001249,Highfield_1,403,4.7,91.1,4.2,15.1,modelled
N00001250,Highfield_1,463,3.0,89.2,7.8,14.9,modelled
N00001251,Highfield_2,327,8.3,84.7,7.0,18.6,modelled
N00001252,Highfield_2,321,66.4,28.0,5.6,62.1,modelled
N00001253,Highfield_2,233,12.0,82.0,6.0,21.1,modelled
N00001254,Highfield_2,314,1.6,85.7,12.7,15.3,modelled
N00001255,Highfield_2,276,4.0,90.9,5.1,14.8,modelled
N00001256,Highfield_2,262,2.7,90.8,6.5,14.2,modelled
N00001257,Highfield_3,233,5.2,85.8,9.0,16.9,modelled
N00001258,Highfield_3,250,4.8,88.4,6.8,15.9,modelled
N00001259,Highfield_3,285,7.0,90.2,2.8,16.4,modelled
N00001260,Highfield_3,363,8.5,81.8,9.7,19.6,modelled
N00001261,Highfield_3,249,1.6,92.0,6.4,13.4,modelled
N00001262,Highfield_3,389,17.2,78.7,4.1,24.5,modelled
N00001263,Island_1,289,8.0,76.5,15.5,20.9,modelled
N00001264,Island_1,204,20.6,69.6,9.8,28.7,modelled
N00001265,Island_1,971,16.5,56.8,26.7,30.7,modelled
N00001266,Island_1,188,6.4,82.4,11.2,18.4,modelled
N00001267,Island_1,322,3.4,89.4,7.2,15.0,modelled
N00001268,Island_1,283,6.0,84.1,9.9,17.7,modelled
N00001269,Island_2,522,18.4,67.2,14.4,28.4,modelled
N00001270,Island_2,278,7.9,74.5,17.6,21.5,modelled
N00001271,Island_2,1514,16.2,67.4,16.4,27.4,modelled
N00001272,Island_2,222,16.2,73.4,10.4,25.6,modelled
N00001273,Island_2,221,14.0,73.3,12.7,24.6,modelled
N00001274,Knock_1,238,2.5,89.1,8.4,14.7,modelled
N00001275,Knock_1,210,5.7,81.9,12.4,18.3,modelled
N00001276,Knock_1,218,4.6,80.3,15.1,18.2,modelled
N00001277,Knock_1,266,6.8,80.5,12.7,19.2,modelled
N00001278,Knock_1,291,19.9,63.2,16.9,30.3,modelled
N00001279,Knock_1,168,6.5,81.5,12.0,18.7,modelled
N00001280,Knock_1,213,5.2,86.4,8.4,16.7,modelled
N00001281,Knock_2,334,22.8,66.8,10.4,30.6,modelled
N00001282,Knock_2,330,13.3,71.5,15.2,24.8,modelled
N00001283,Knock_2,338,18.0,70.4,11.6,27.3,modelled
N00001284,Knock_2,352,11.6,74.4,14.0,23.2,modelled
N00001285,Knock_2,331,6.6,81.3,12.1,18.9,modelled
N00001286,Knock_3,348,8.0,80.7,11.3,19.7,modelled
N00001287,Knock_3,295,4.1,87.8,8.1,15.8,modelled
N00001288,Knock_3,289,2.4,89.6,8.0,14.5,modelled
N00001289,Knock_3,288,6.2,85.8,8.0,17.3,modelled
N00001290,Knock_3,318,1.9,92.1,6.0,13.5,modelled
N00001291,Ladybrook_1,344,92.4,6.1,1.5,80.5,modelled
N00001292,Ladybrook_1,878,92.8,5.0,2.2,81.0,modelled
N00001293,Ladybrook_1,358,97.8,1.1,1.1,84.4,modelled
N00001294,Ladybrook_1,335,95.8,0.3,3.9,83.8,modelled
N00001295,Ladybrook_1,312,96.5,2.6,0.9,83.4,modelled
N00001296,Ladybrook_2,273,54.2,39.9,5.9,52.9,modelled
N00001297,Ladybrook_2,384,95.8,2.3,1.9,83.2,modelled
N00001298,Ladybrook_2,394,17.0,62.9,20.1,29.1,modelled
N00001299,Ladybrook_2,319,59.2,33.9,6.9,57.0,modelled
N00001300,Ladybrook_2,287,96.2,3.1,0.7,83.1,modelled
N00001301,Ladybrook_2,375,96.8,0.0,3.2,84.3,modelled
N00001302,Ladybrook_3,745,92.6,3.9,3.5,81.2,modelled
N00001303,Ladybrook_3,333,91.6,5.1,3.3,80.4,modelled
N00001304,Ladybrook_3,322,96.9,3.1,0.0,83.4,modelled
N00001305,Ladybrook_3,325,96.6,2.2,1.2,83.6,modelled
N00001306,Ladybrook_3,214,54.2,39.3,6.5,53.1,modelled
N00001307,Ladybrook_3,321,96.0,1.6,2.4,83.5,modelled
N00001308,Legoniel_1,486,21.6,72.0,6.4,28.5,modelled
N00001309,Legoniel_1,368,78.0,16.8,5.2,70.7,modelled
N00001310,Legoniel_1,981,84.5,11.7,3.8,75.2,modelled
N00001311,Legoniel_1,326,90.5,7.4,2.1,79.2,modelled
N00001312,Legoniel_1,654,81.8,10.9,7.3,74.2,modelled
N00001313,Legoniel_1,417,54.9,35.7,9.4,54.5,modelled
N00001314,Legoniel_2,401,50.9,44.9,4.2,50.0,modelled
N00001315,Legoniel_2,246,5.3,86.6,8.1,16.7,modelled
N00001316,Legoniel_2,352,10.2,81.0,8.8,20.6,modelled
N00001317,Legoniel_2,267,4.9,90.6,4.5,15.3,modelled
N00001318,Legoniel_2,287,7.7,80.1,12.2,19.7,modelled
N00001319,Legoniel_3,285,47.0,46.0,7.0,47.8,modelled
N00001320,Legoniel_3,253,18.2,77.5,4.3,25.3,modelled
N00001321,Legoniel_3,274,75.9,20.4,3.7,68.7,modelled
N00001322,Legoniel_3,274,10.9,77.0,12.1,22.1,modelled
N00001323,Legoniel_3,295,19.0,73.9,7.1,26.7,modelled
N00001324,Legoniel_3,243,20.6,72.8,6.6,27.8,modelled
N00001325,Malone_1,1263,73.0,21.2,5.8,67.1,modelled
N00001326,Malone_1,360,55.6,38.3,6.1,54.1,modelled
N00001327,Malone_1,328,65.5,29.3,5.2,61.3,modelled
N00001328,Malone_2,1036,59.7,31.9,8.4,57.8,modelled
N00001329,Malone_2,281,65.8,28.1,6.1,61.8,modelled
N00001330,Malone_2,322,66.1,28.6,5.3,61.8,modelled
N00001331,Malone_3,274,43.1,49.3,7.6,45.1,modelled
N00001332,Malone_3,186,57.0,30.6,12.4,57.0,modelled
N00001333,Malone_3,337,54.0,34.4,11.6,54.5,modelled
N00001334,Malone_3,354,47.7,35.6,16.7,51.3,modelled
N00001335,Malone_3,194,55.2,24.2,20.6,58.1,modelled
N00001336,Malone_3,318,59.7,31.8,8.5,57.9,modelled
N00001337,Malone_3,302,57.3,31.8,10.9,56.8,modelled
N00001338,Musgrave_1,303,22.1,65.0,12.9,30.8,modelled
N00001339,Musgrave_1,370,14.6,76.5,8.9,23.9,modelled
N00001340,Musgrave_1,779,18.9,70.3,10.8,27.8,modelled
N00001341,Musgrave_2,329,97.3,2.4,0.3,83.8,modelled
N00001342,Musgrave_2,388,93.6,5.2,1.2,81.3,modelled
N00001343,Musgrave_2,293,93.9,3.4,2.7,82.0,modelled
N00001344,Musgrave_2,330,93.6,4.2,2.2,81.6,modelled
N00001345,Musgrave_2,250,95.2,2.4,2.4,82.9,modelled
N00001346,Musgrave_3,820,48.2,43.0,8.8,49.3,modelled
N00001347,Musgrave_3,513,77.8,16.4,5.8,70.7,modelled
N00001348,Musgrave_3,304,74.0,21.1,4.9,67.6,modelled
N00001349,Musgrave_3,248,77.4,14.5,8.1,71.1,modelled
N00001350,New Lodge_1,919,90.0,7.8,2.2,78.9,modelled
N00001351,New Lodge_1,390,91.5,6.4,2.1,80.0,modelled
N00001352,New Lodge_1,303,79.2,11.9,8.9,72.7,modelled
N00001353,New Lodge_1,358,79.1,17.9,3.0,70.9,modelled
N00001354,New Lodge_2,756,93.1,5.3,1.6,81.0,modelled
N00001355,New Lodge_2,287,90.2,8.0,1.8,78.9,modelled
N00001356,New Lodge_2,280,92.5,5.7,1.8,80.6,modelled
