DZ21,Label,Population,Catholic_bg,Protestant_bg,Other_None_bg,Proj_UI_decided_pct,provenance
N20000276,Airport_E5,600,68.5,18.2,13.3,66.5,modelled
N20000277,Airport_E6,434,87.1,6.2,6.7,79.5,modelled
N20000278,Airport_C4,525,18.3,72.8,9.0,22.2,modelled
N20000279,Airport_F2,1333,23.6,36.0,40.4,39.3,modelled
N20000280,Airport_G2,657,16.3,73.1,10.7,21.2,modelled
N20000281,Airport_G3,667,36.9,55.0,8.1,37.6,modelled
N20000282,Airport_F3,429,55.7,38.2,6.1,52.7,modelled
N20000283,Airport_H1,748,74.3,16.7,9.0,69.6,modelled
N20000284,Airport_H2,616,80.7,12.5,6.8,74.2,modelled
N20000285,Airport_G4,650,36.2,56.3,7.5,36.8,modelled
N20000286,Airport_J1,520,85.0,9.0,6.0,77.5,modelled
N20000287,Airport_H3,738,88.3,6.9,4.7,79.8,modelled
N20000288,Airport_H4,480,62.9,28.3,8.8,59.9,modelled
N20000289,Airport_J2,356,73.9,17.4,8.7,69.2,modelled
N20000290,Airport_H5,301,73.1,20.3,6.6,67.7,modelled
N20000291,Airport_J3,317,71.0,24.3,4.7,65.1,modelled
N20000292,Airport_J4,562,85.8,8.2,6.0,78.1,modelled
N20000293,Airport_F4,533,61.9,31.5,6.6,58.2,modelled
N20000294,Airport_J5,725,89.5,6.6,3.9,80.4,modelled
N20000295,Armagh_A1,700,64.4,32.1,3.4,59.0,modelled
N20000296,Armagh_A2,555,56.2,41.8,2.0,51.5,modelled
N20000297,Armagh_A3,638,88.2,8.9,2.8,79.0,modelled
N20000298,Armagh_A4,664,90.5,8.0,1.5,80.3,modelled
N20000299,Armagh_E1,544,71.5,25.7,2.8,64.8,modelled
N20000300,Armagh_A5,486,85.2,10.9,3.9,76.8,modelled
N20000301,Armagh_E2,715,77.9,18.3,3.8,70.6,modelled
N20000302,Armagh_A6,770,62.7,34.3,3.0,57.4,modelled
N20000303,Armagh_C1,670,93.3,3.7,3.0,83.3,modelled
N20000304,Armagh_C2,507,62.5,29.2,8.3,59.4,modelled
N20000305,Armagh_E3,568,24.8,69.9,5.3,26.3,modelled
N20000306,Armagh_B1,536,56.0,39.6,4.5,52.3,modelled
N20000307,Armagh_B2,416,51.4,42.1,6.5,49.3,modelled
N20000308,Armagh_C3,437,50.8,34.1,15.1,52.2,modelled
N20000309,Armagh_D1,682,80.9,11.9,7.2,74.5,modelled
N20000310,Armagh_J1,440,61.8,32.5,5.7,57.7,modelled
N20000311,Armagh_B3,517,63.4,28.6,7.9,60.0,modelled
N20000312,Armagh_D2,696,79.6,14.1,6.3,73.0,modelled
