election_key,date,body,constituency,absent_party,absent_party_contested,winner,parties_present
local-government-local-government-districts__1981-05-20,1981-05-20,local-government,Ballymoney Area B,Alliance,67/98,DUP,DUP | Independent | SDLP | UUP
local-government-local-government-districts__1981-05-20,1981-05-20,local-government,Ballymoney Area C,SDLP,67/98,Independent,Alliance | DUP | Independent | UUP
local-government-local-government-districts__1981-05-20,1981-05-20,local-government,Belfast Area D,DUP,94/98,SDLP,Alliance | IRSP | Independent | People's Democracy (Ireland) | Republican Clubs | SDLP | UUP
local-government-local-government-districts__1981-05-20,1981-05-20,local-government,Carrickfergus Area A,SDLP,67/98,DUP,Alliance | DUP | UUP | Unionist Party of Northern Ireland
local-government-local-government-districts__1981-05-20,1981-05-20,local-government,Carrickfergus Area B corrected,SDLP,67/98,DUP,Alliance | DUP | UUP | Ulster Popular Unionist Party
local-government-local-government-districts__1981-05-20,1981-05-20,local-government,Carrickfergus Area C,SDLP,67/98,DUP,Alliance | DUP | Independent | PUP | UUP
local-government-local-government-districts__1981-05-20,1981-05-20,local-government,Castlereagh Area A,SDLP,67/98,DUP,Alliance | DUP | Independent | UUP | Ulster Popular Unionist Party
local-government-local-government-districts__1981-05-20,1981-05-20,local-government,Castlereagh Area B corrected,SDLP,67/98,DUP,Alliance | DUP | Independent | Northern Ireland Labour Party | UUP
local-government-local-government-districts__1981-05-20,1981-05-20,local-government,Castlereagh Area C,SDLP,67/98,DUP,Alliance | DUP | UUP
local-government-local-government-districts__1981-05-20,1981-05-20,local-government,Coleraine Area C,SDLP,67/98,Independent,Alliance | DUP | Green / Ecology | Independent | UUP
local-government-local-government-districts__1981-05-20,1981-05-20,local-government,Cookstown Area A,Alliance,67/98,UUP,DUP | Independent | SDLP | UUP
local-government-local-government-districts__1981-05-20,1981-05-20,local-government,Cookstown Area B,Alliance,67/98,SDLP,DUP | Independent | SDLP | UUP
local-government-local-government-districts__1981-05-20,1981-05-20,local-government,Cookstown Area C,Alliance,67/98,SDLP,DUP | SDLP | UUP
local-government-local-government-districts__1981-05-20,1981-05-20,local-government,Craigavon Area A corrected,Alliance,67/98,SDLP,DUP | Independent | Republican Clubs | SDLP | UUP
local-government-local-government-districts__1981-05-20,1981-05-20,local-government,Craigavon Area D,Alliance,67/98,UUP,DUP | SDLP | UUP
local-government-local-government-districts__1981-05-20,1981-05-20,local-government,Derry Area C,DUP,94/98,SDLP,Alliance | Independent | Irish Independence Party | Republican Clubs | SDLP
local-government-local-government-districts__1981-05-20,1981-05-20,local-government,Derry Area C,UUP,95/98,SDLP,Alliance | Independent | Irish Independence Party | Republican Clubs | SDLP
local-government-local-government-districts__1981-05-20,1981-05-20,local-government,Derry Area D,UUP,95/98,SDLP,Alliance | DUP | IRSP | Independent | Irish Independence Party | SDLP
local-government-local-government-districts__1981-05-20,1981-05-20,local-government,Down Area B,DUP,94/98,SDLP,Alliance | Independent | Republican Clubs | SDLP | UUP
local-government-local-government-districts__1981-05-20,1981-05-20,local-government,Dungannon Area A,Alliance,67/98,UUP,DUP | Independent | SDLP | UUP
local-government-local-government-districts__1981-05-20,1981-05-20,local-government,Dungannon Area B,Alliance,67/98,Independent,DUP | Independent | SDLP | UUP
local-government-local-government-districts__1981-05-20,1981-05-20,local-government,Dungannon Area C,Alliance,67/98,UUP,DUP | Independent | SDLP | UUP
local-government-local-government-districts__1981-05-20,1981-05-20,local-government,Dungannon Area D,Alliance,67/98,UUP,DUP | Independent | Irish Independence Party | SDLP | UUP
local-government-local-government-districts__1981-05-20,1981-05-20,local-government,Fermanagh Area A,Alliance,67/98,Irish Independence Party,DUP | Independent | Irish Independence Party | SDLP | UUP
local-government-local-government-districts__1981-05-20,1981-05-20,local-government,Fermanagh Area B,Alliance,67/98,UUP,DUP | Irish Independence Party | SDLP | UUP
local-government-local-government-districts__1981-05-20,1981-05-20,local-government,Fermanagh Area C,Alliance,67/98,Independent,DUP | Independent | Irish Independence Party | SDLP | UUP
local-government-local-government-districts__1981-05-20,1981-05-20,local-government,Larne Area A corrected,SDLP,67/98,UUP,Alliance | DUP | Independent | UUP
local-government-local-government-districts__1981-05-20,1981-05-20,local-government,Larne Area B,SDLP,67/98,DUP,Alliance | DUP | UUP
local-government-local-government-districts__1981-05-20,1981-05-20,local-government,Larne Area C corrected,SDLP,67/98,DUP,Alliance | DUP | Independent | UUP
local-government-local-government-districts__1981-05-20,1981-05-20,local-government,Limavady Area A,Alliance,67/98,SDLP,DUP | SDLP | UUP
local-government-local-government-districts__1981-05-20,1981-05-20,local-government,Limavady Area B,Alliance,67/98,UUP,DUP | Independent | Irish Independence Party | Republican Clubs | SDLP | UUP
local-government-local-government-districts__1981-05-20,1981-05-20,local-government,Lisburn Area A,Alliance,67/98,UUP,DUP | SDLP | UUP
local-government-local-government-districts__1981-05-20,1981-05-20,local-government,Lisburn Area B,SDLP,67/98,DUP,Alliance | DUP | Independent | UUP
local-government-local-government-districts__1981-05-20,1981-05-20,local-government,Lisburn Area C corrected,SDLP,67/98,DUP,Alliance | DUP | Independent | Northern Ireland Labour Party | UUP
local-government-local-government-districts__1981-05-20,1981-05-20,local-government,Lisburn Area D,SDLP,67/98,DUP,Alliance | DUP | UUP | Unionist Party of Northern Ireland
local-government-local-government-districts__1981-05-20,1981-05-20,local-government,Magherafelt Area A corrected,Alliance,67/98,SDLP,DUP | Independent | Republican Clubs | SDLP | UUP
local-government-local-government-districts__1981-05-20,1981-05-20,local-government,Magherafelt Area B corrected,Alliance,67/98,UUP,DUP | Independent | Irish Independence Party | SDLP | UUP
local-government-local-government-districts__1981-05-20,1981-05-20,local-government,Moyle Area A,Alliance,67/98,SDLP,Independent | Irish Independence Party | SDLP
local-government-local-government-districts__1981-05-20,1981-05-20,local-government,Moyle Area A,DUP,94/98,SDLP,Independent | Irish Independence Party | SDLP
local-government-local-government-districts__1981-05-20,1981-05-20,local-government,Moyle Area A,UUP,95/98,SDLP,Independent | Irish Independence Party | SDLP
local-government-local-government-districts__1981-05-20,1981-05-20,local-government,Moyle Area B,SDLP,67/98,Independent,Alliance | DUP | Independent | UUP
local-government-local-government-districts__1981-05-20,1981-05-20,local-government,Newtownabbey Area A,SDLP,67/98,UUP,Alliance | DUP | Independent | UUP
local-government-local-government-districts__1981-05-20,1981-05-20,local-government,Newtownabbey Area B,SDLP,67/98,UUP,Alliance | Communist Party of Ireland | DUP | Republican Clubs | UUP
local-government-local-government-districts__1981-05-20,1981-05-20,local-government,Newtownabbey Area C,SDLP,67/98,UUP,Alliance | DUP | Independent | UUP
local-government-local-government-districts__1981-05-20,1981-05-20,local-government,Newtownabbey Area D,SDLP,67/98,UUP,Alliance | DUP | Independent | UUP
local-government-local-government-districts__1981-05-20,1981-05-20,local-government,Strabane Area A,Alliance,67/98,DUP,DUP | Independent | SDLP | UUP
local-government-local-government-districts__1981-05-20,1981-05-20,local-government,Strabane Area B,Alliance,67/98,DUP,DUP | Independent | SDLP | UUP
local-government-local-government-districts__1981-05-20,1981-05-20,local-government,lg81-NaM-Area-A,Alliance,67/98,SDLP,DUP | Independent | SDLP | UUP
local-government-local-government-districts__1981-05-20,1981-05-20,local-government,lg81-NaM-Area-E,Alliance,67/98,SDLP,Anti H-Block | DUP | Independent | Irish Independence Party | SDLP | UUP
local-government-local-government-districts__1981-05-20,1981-05-20,local-government,lg81-NoD-Area-A,SDLP,67/98,UUP,Alliance | DUP | Independent | UUP | Ulster Popular Unionist Party | Unionist Party of Northern Ireland
local-government-local-government-districts__1981-05-20,1981-05-20,local-government,lg81-NoD-Area-B,SDLP,67/98,DUP,Alliance | DUP | Independent | PUP | UUP | Ulster Popular Unionist Party
local-government-local-government-districts__1981-05-20,1981-05-20,local-government,lg81-NoD-Area-C,SDLP,67/98,Alliance,Alliance | DUP | UUP | Ulster Popular Unionist Party
local-government-local-government-districts__1981-05-20,1981-05-20,local-government,lg81-NoD-Area-D,SDLP,67/98,UUP,Alliance | DUP | UUP | Ulster Popular Unionist Party | Unionist Party of Northern Ireland
northern-ireland-assembly__1982-10-20,1982-10-20,northern-ireland-assembly,Belfast West,UUUP,8/12,Sinn Féin,Alliance | DUP | PUP | People's Democracy | SDLP | Sinn Féin | UUP | Workers' Party
northern-ireland-assembly__1982-10-20,1982-10-20,northern-ireland-assembly,Londonderry,UUUP,8/12,SDLP,Alliance | DUP | SDLP | Sinn Féin | UUP | Workers' Party
northern-ireland-assembly__1982-10-20,1982-10-20,northern-ireland-assembly,Mid Ulster,UUUP,8/12,DUP,Alliance | DUP | SDLP | Sinn Féin | UUP | Vanguard Unionist Progressive Party | Workers' Party
northern-ireland-assembly__1982-10-20,1982-10-20,northern-ireland-assembly,North Antrim,Workers' Party,10/12,DUP,Alliance | DUP | Ecology | Independent Unionist | SDLP | UUP | UUUP
northern-ireland-assembly__1982-10-20,1982-10-20,northern-ireland-assembly,North Down,Workers' Party,10/12,UUP,Alliance | DUP | SDLP | UUP | UUUP | Ulster Popular Unionist Party
northern-ireland-assembly__1982-10-20,1982-10-20,northern-ireland-assembly,South Down,UUUP,8/12,SDLP,Alliance | DUP | SDLP | Sinn Féin | UUP | Workers' Party
house-of-commons-of-the-united-kingdom__1983-06-09,1983-06-09,house-of-commons-of-the-united-kingdom,Belfast West,Alliance,12/17,Sinn Féin,DUP | Independent Other | SDLP | Sinn Féin | UUP | Workers' Party
house-of-commons-of-the-united-kingdom__1983-06-09,1983-06-09,house-of-commons-of-the-united-kingdom,East Antrim,Sinn Féin,14/17,UUP,Alliance | DUP | Independent | SDLP | UUP | Workers' Party
house-of-commons-of-the-united-kingdom__1983-06-09,1983-06-09,house-of-commons-of-the-united-kingdom,Fermanagh and South Tyrone,Alliance,12/17,UUP,SDLP | Sinn Féin | UUP | Workers' Party
house-of-commons-of-the-united-kingdom__1983-06-09,1983-06-09,house-of-commons-of-the-united-kingdom,Fermanagh and South Tyrone,DUP,14/17,UUP,SDLP | Sinn Féin | UUP | Workers' Party
house-of-commons-of-the-united-kingdom__1983-06-09,1983-06-09,house-of-commons-of-the-united-kingdom,Foyle,UUP,16/17,SDLP,Alliance | DUP | SDLP | Sinn Féin | Workers' Party
house-of-commons-of-the-united-kingdom__1983-06-09,1983-06-09,house-of-commons-of-the-united-kingdom,Newry and Armagh,Alliance,12/17,UUP,SDLP | Sinn Féin | UUP | Workers' Party
house-of-commons-of-the-united-kingdom__1983-06-09,1983-06-09,house-of-commons-of-the-united-kingdom,Newry and Armagh,DUP,14/17,UUP,SDLP | Sinn Féin | UUP | Workers' Party
house-of-commons-of-the-united-kingdom__1983-06-09,1983-06-09,house-of-commons-of-the-united-kingdom,North Antrim,Alliance,12/17,DUP,DUP | Ecology | SDLP | Sinn Féin | UUP
house-of-commons-of-the-united-kingdom__1983-06-09,1983-06-09,house-of-commons-of-the-united-kingdom,North Antrim,Workers' Party,14/17,DUP,DUP | Ecology | SDLP | Sinn Féin | UUP
house-of-commons-of-the-united-kingdom__1983-06-09,1983-06-09,house-of-commons-of-the-united-kingdom,North Down,DUP,14/17,Ulster Popular Unionist Party,Alliance | SDLP | UUP | Ulster Popular Unionist Party
house-of-commons-of-the-united-kingdom__1983-06-09,1983-06-09,house-of-commons-of-the-united-kingdom,North Down,Sinn Féin,14/17,Ulster Popular Unionist Party,Alliance | SDLP | UUP | Ulster Popular Unionist Party
house-of-commons-of-the-united-kingdom__1983-06-09,1983-06-09,house-of-commons-of-the-united-kingdom,North Down,Workers' Party,14/17,Ulster Popular Unionist Party,Alliance | SDLP | UUP | Ulster Popular Unionist Party
house-of-commons-of-the-united-kingdom__1983-06-09,1983-06-09,house-of-commons-of-the-united-kingdom,Strangford,Sinn Féin,14/17,UUP,Alliance | DUP | Independent Other | SDLP | UUP
house-of-commons-of-the-united-kingdom__1983-06-09,1983-06-09,house-of-commons-of-the-united-kingdom,Strangford,Workers' Party,14/17,UUP,Alliance | DUP | Independent Other | SDLP | UUP
house-of-commons-of-the-united-kingdom__1983-06-09,1983-06-09,house-of-commons-of-the-united-kingdom,Upper Bann,Alliance,12/17,UUP,DUP | SDLP | Sinn Féin | UUP | Workers' Party
local-government-local-government-districts__1985-05-15,1985-05-15,local-government,Ards West,SDLP,73/98,DUP,Alliance | DUP | Independent | UUP
local-government-local-government-districts__1985-05-15,1985-05-15,local-government,Ballyclare,SDLP,73/98,Independent,Alliance | DUP | Independent | UUP
local-government-local-government-districts__1985-05-15,1985-05-15,local-government,Ballymoney Town,SDLP,73/98,DUP,DUP | Independent | UUP
local-government-local-government-districts__1985-05-15,1985-05-15,local-government,Braid,SDLP,73/98,DUP,DUP | Independent | UUP
local-government-local-government-districts__1985-05-15,1985-05-15,local-government,Carrick Castle,SDLP,73/98,UUP,Alliance | DUP | PUP | UUP
local-government-local-government-districts__1985-05-15,1985-05-15,local-government,Castlereagh Central,SDLP,73/98,DUP,Alliance | DUP | Independent | UUP
local-government-local-government-districts__1985-05-15,1985-05-15,local-government,Castlereagh East,SDLP,73/98,DUP,Alliance | DUP | Independent | Northern Ireland Labour Party | UUP
local-government-local-government-districts__1985-05-15,1985-05-15,local-government,Cityside,DUP,91/98,SDLP,Irish Independence Party | SDLP | Sinn Féin | Workers Party
local-government-local-government-districts__1985-05-15,1985-05-15,local-government,Cityside,UUP,93/98,SDLP,Irish Independence Party | SDLP | Sinn Féin | Workers Party
local-government-local-government-districts__1985-05-15,1985-05-15,local-government,Coast Road,SDLP,73/98,DUP,Alliance | DUP | Independent | UUP
local-government-local-government-districts__1985-05-15,1985-05-15,local-government,Court,SDLP,73/98,UUP,Alliance | DUP | Independent | PUP | Sinn Féin | UUP | Ulster Democratic Party | Workers Party
local-government-local-government-districts__1985-05-15,1985-05-15,local-government,Doagh Road,SDLP,73/98,UUP,Alliance | DUP | UUP | Workers Party
local-government-local-government-districts__1985-05-15,1985-05-15,local-government,Downpatrick,DUP,91/98,SDLP,Alliance | SDLP | Sinn Féin | UUP | Workers Party
local-government-local-government-districts__1985-05-15,1985-05-15,local-government,Downshire,SDLP,73/98,UUP,Alliance | DUP | UUP
local-government-local-government-districts__1985-05-15,1985-05-15,local-government,Giant's Causeway,SDLP,73/98,DUP,DUP | Independent | UUP
local-government-local-government-districts__1985-05-15,1985-05-15,local-government,Glens,DUP,91/98,SDLP,Independent | Irish Independence Party | SDLP | Sinn Féin | UUP
local-government-local-government-districts__1985-05-15,1985-05-15,local-government,Kells Water,SDLP,73/98,DUP,DUP | UUP
local-government-local-government-districts__1985-05-15,1985-05-15,local-government,Kilroot,SDLP,73/98,UUP,Alliance | DUP | Independent | UUP
local-government-local-government-districts__1985-05-15,1985-05-15,local-government,Knockagh Monument,SDLP,73/98,UUP,Alliance | DUP | Independent | UUP | Ulster Democratic Party
local-government-local-government-districts__1985-05-15,1985-05-15,local-government,Larne Town,SDLP,73/98,DUP,Alliance | DUP | UUP
local-government-local-government-districts__1985-05-15,1985-05-15,local-government,Lisburn Town,SDLP,73/98,UUP,Alliance | DUP | UUP
local-government-local-government-districts__1985-05-15,1985-05-15,local-government,Lough,SDLP,73/98,UUP,Alliance | DUP | UUP
local-government-local-government-districts__1985-05-15,1985-05-15,local-government,Lower Falls,DUP,91/98,Sinn Féin,Alliance | Communist Party of Ireland | SDLP | Sinn Féin | Workers Party
local-government-local-government-districts__1985-05-15,1985-05-15,local-government,Lower Falls,UUP,93/98,Sinn Féin,Alliance | Communist Party of Ireland | SDLP | Sinn Féin | Workers Party
local-government-local-government-districts__1985-05-15,1985-05-15,local-government,Main,SDLP,73/98,DUP,DUP | UUP
local-government-local-government-districts__1985-05-15,1985-05-15,local-government,Newtownards,SDLP,73/98,DUP,Alliance | DUP | Labour Party of Northern Ireland | Northern Ireland Labour Party | UUP | Ulster Liberal Party
local-government-local-government-districts__1985-05-15,1985-05-15,local-government,Shantallow,DUP,91/98,SDLP,Alliance | Irish Independence Party | SDLP | Sinn Féin
local-government-local-government-districts__1985-05-15,1985-05-15,local-government,Shantallow,UUP,93/98,SDLP,Alliance | Irish Independence Party | SDLP | Sinn Féin
local-government-local-government-districts__1985-05-15,1985-05-15,local-government,Shore Road,SDLP,73/98,DUP,Alliance | DUP | Independent | PUP | UUP
local-government-local-government-districts__1985-05-15,1985-05-15,local-government,Upper Falls,UUP,93/98,SDLP,Alliance | Communist Party of Ireland | DUP | Labour and Trade Union Group | People's Democracy (Ireland) | SDLP | Sinn Féin | Workers Party
local-government-local-government-districts__1985-05-15,1985-05-15,local-government,lg85-NaM-Newry-Town,DUP,91/98,SDLP,Independent | Irish Independence Party | SDLP | Sinn Féin | UUP | Workers Party
local-government-local-government-districts__1985-05-15,1985-05-15,local-government,lg85-NaM-Slieve-Gullion,DUP,91/98,SDLP,Independent | Irish Independence Party | SDLP | Sinn Féin
local-government-local-government-districts__1985-05-15,1985-05-15,local-government,lg85-NaM-Slieve-Gullion,UUP,93/98,SDLP,Independent | Irish Independence Party | SDLP | Sinn Féin
local-government-local-government-districts__1985-05-15,1985-05-15,local-government,lg85-NoD-Abbey,SDLP,73/98,DUP,Alliance | DUP | PUP | UUP | Ulster Popular Unionist Party
local-government-local-government-districts__1985-05-15,1985-05-15,local-government,lg85-NoD-Ballyholme-and-Groomsport,SDLP,73/98,Alliance,Alliance | DUP | Independent | PUP | UUP | Ulster Popular Unionist Party
local-government-local-government-districts__1985-05-15,1985-05-15,local-government,lg85-NoD-Bangor-West,SDLP,73/98,UUP,Alliance | DUP | PUP | UUP | Ulster Popular Unionist Party
local-government-local-government-districts__1985-05-15,1985-05-15,local-government,lg85-NoD-Holywood,SDLP,73/98,UUP,Alliance | DUP | Independent | UUP | Ulster Popular Unionist Party
house-of-commons-of-the-united-kingdom__1986-01-23,1986-01-23,house-of-commons-of-the-united-kingdom,Belfast East,UUP,11/15,DUP,Alliance | DUP | Workers' Party
house-of-commons-of-the-united-kingdom__1986-01-23,1986-01-23,house-of-commons-of-the-united-kingdom,East Antrim,Workers' Party,9/15,UUP,Alliance | UUP
house-of-commons-of-the-united-kingdom__1986-01-23,1986-01-23,house-of-commons-of-the-united-kingdom,East Londonderry,Workers' Party,9/15,UUP,Independent Other | UUP
house-of-commons-of-the-united-kingdom__1986-01-23,1986-01-23,house-of-commons-of-the-united-kingdom,Mid Ulster,UUP,11/15,DUP,DUP | SDLP | Sinn Féin | Workers' Party
house-of-commons-of-the-united-kingdom__1986-01-23,1986-01-23,house-of-commons-of-the-united-kingdom,North Antrim,UUP,11/15,DUP,DUP | Independent Other
house-of-commons-of-the-united-kingdom__1986-01-23,1986-01-23,house-of-commons-of-the-united-kingdom,North Antrim,Workers' Party,9/15,DUP,DUP | Independent Other
house-of-commons-of-the-united-kingdom__1986-01-23,1986-01-23,house-of-commons-of-the-united-kingdom,North Down,UUP,11/15,Ulster Popular Unionist Party,Alliance | Ulster Popular Unionist Party
house-of-commons-of-the-united-kingdom__1986-01-23,1986-01-23,house-of-commons-of-the-united-kingdom,North Down,Workers' Party,9/15,Ulster Popular Unionist Party,Alliance | Ulster Popular Unionist Party
house-of-commons-of-the-united-kingdom__1986-01-23,1986-01-23,house-of-commons-of-the-united-kingdom,South Antrim,Workers' Party,9/15,UUP,Independent Other | UUP
house-of-commons-of-the-united-kingdom__1986-01-23,1986-01-23,house-of-commons-of-the-united-kingdom,Strangford,Workers' Party,9/15,UUP,Independent Other | UUP
house-of-commons-of-the-united-kingdom__1987-06-11,1987-06-11,house-of-commons-of-the-united-kingdom,Belfast East,SDLP,13/17,DUP,Alliance | DUP | Sinn Féin | Workers' Party
house-of-commons-of-the-united-kingdom__1987-06-11,1987-06-11,house-of-commons-of-the-united-kingdom,Belfast East,UUP,12/17,DUP,Alliance | DUP | Sinn Féin | Workers' Party
house-of-commons-of-the-united-kingdom__1987-06-11,1987-06-11,house-of-commons-of-the-united-kingdom,Belfast West,Alliance,16/17,Sinn Féin,SDLP | Sinn Féin | UUP | Workers' Party
house-of-commons-of-the-united-kingdom__1987-06-11,1987-06-11,house-of-commons-of-the-united-kingdom,East Antrim,SDLP,13/17,UUP,Alliance | UUP | Workers' Party
house-of-commons-of-the-united-kingdom__1987-06-11,1987-06-11,house-of-commons-of-the-united-kingdom,East Antrim,Sinn Féin,14/17,UUP,Alliance | UUP | Workers' Party
house-of-commons-of-the-united-kingdom__1987-06-11,1987-06-11,house-of-commons-of-the-united-kingdom,Foyle,UUP,12/17,SDLP,Alliance | DUP | SDLP | Sinn Féin | Workers' Party
house-of-commons-of-the-united-kingdom__1987-06-11,1987-06-11,house-of-commons-of-the-united-kingdom,Mid Ulster,UUP,12/17,DUP,Alliance | DUP | SDLP | Sinn Féin | Workers' Party
house-of-commons-of-the-united-kingdom__1987-06-11,1987-06-11,house-of-commons-of-the-united-kingdom,North Antrim,UUP,12/17,DUP,Alliance | DUP | SDLP | Sinn Féin
house-of-commons-of-the-united-kingdom__1987-06-11,1987-06-11,house-of-commons-of-the-united-kingdom,North Antrim,Workers' Party,14/17,DUP,Alliance | DUP | SDLP | Sinn Féin
house-of-commons-of-the-united-kingdom__1987-06-11,1987-06-11,house-of-commons-of-the-united-kingdom,North Down,SDLP,13/17,Ulster Popular Unionist Party,Alliance | Independent Unionist | Ulster Popular Unionist Party
house-of-commons-of-the-united-kingdom__1987-06-11,1987-06-11,house-of-commons-of-the-united-kingdom,North Down,Sinn Féin,14/17,Ulster Popular Unionist Party,Alliance | Independent Unionist | Ulster Popular Unionist Party
house-of-commons-of-the-united-kingdom__1987-06-11,1987-06-11,house-of-commons-of-the-united-kingdom,North Down,UUP,12/17,Ulster Popular Unionist Party,Alliance | Independent Unionist | Ulster Popular Unionist Party
house-of-commons-of-the-united-kingdom__1987-06-11,1987-06-11,house-of-commons-of-the-united-kingdom,North Down,Workers' Party,14/17,Ulster Popular Unionist Party,Alliance | Independent Unionist | Ulster Popular Unionist Party
house-of-commons-of-the-united-kingdom__1987-06-11,1987-06-11,house-of-commons-of-the-united-kingdom,South Antrim,Workers' Party,14/17,UUP,Alliance | SDLP | Sinn Féin | UUP
house-of-commons-of-the-united-kingdom__1987-06-11,1987-06-11,house-of-commons-of-the-united-kingdom,Strangford,SDLP,13/17,UUP,Alliance | UUP | Workers' Party
house-of-commons-of-the-united-kingdom__1987-06-11,1987-06-11,house-of-commons-of-the-united-kingdom,Strangford,Sinn Féin,14/17,UUP,Alliance | UUP | Workers' Party
local-government-local-government-districts__1989-05-17,1989-05-17,local-government,Ards West,SDLP,69/98,UUP,Alliance | DUP | UUP
local-government-local-government-districts__1989-05-17,1989-05-17,local-government,Ballyclare,SDLP,69/98,UUP,Alliance | DUP | Independent | UUP
local-government-local-government-districts__1989-05-17,1989-05-17,local-government,Ballymoney Town,DUP,83/98,"Shopkeeper, Ulster Unionist","Businssman Ulster Unionist | DUP Civil Servant (Retired) | Pensioner | Shopkeeper, Ulster Unionist"
local-government-local-government-districts__1989-05-17,1989-05-17,local-government,Ballymoney Town,SDLP,69/98,"Shopkeeper, Ulster Unionist","Businssman Ulster Unionist | DUP Civil Servant (Retired) | Pensioner | Shopkeeper, Ulster Unionist"
local-government-local-government-districts__1989-05-17,1989-05-17,local-government,Ballymoney Town,UUP,91/98,"Shopkeeper, Ulster Unionist","Businssman Ulster Unionist | DUP Civil Servant (Retired) | Pensioner | Shopkeeper, Ulster Unionist"
local-government-local-government-districts__1989-05-17,1989-05-17,local-government,Benbradagh,DUP,83/98,SDLP,SDLP | Sinn Féin | UUP
local-government-local-government-districts__1989-05-17,1989-05-17,local-government,Braid,SDLP,69/98,UUP,DUP | Independent | UUP
local-government-local-government-districts__1989-05-17,1989-05-17,local-government,Carrick Castle,SDLP,69/98,Alliance,Alliance | DUP | Independent | PUP | UUP
local-government-local-government-districts__1989-05-17,1989-05-17,local-government,Castlereagh Central,SDLP,69/98,DUP,Alliance | DUP | UUP
local-government-local-government-districts__1989-05-17,1989-05-17,local-government,Castlereagh East,SDLP,69/98,DUP,Alliance | DUP | Independent | UUP | Ulster Popular Unionist Party
local-government-local-government-districts__1989-05-17,1989-05-17,local-government,Castlereagh South,SDLP,69/98,UUP,Alliance | DUP | UUP
local-government-local-government-districts__1989-05-17,1989-05-17,local-government,Cityside,DUP,83/98,SDLP,SDLP | Sinn Féin | Workers Party
local-government-local-government-districts__1989-05-17,1989-05-17,local-government,Cityside,UUP,91/98,SDLP,SDLP | Sinn Féin | Workers Party
local-government-local-government-districts__1989-05-17,1989-05-17,local-government,Coast Road,SDLP,69/98,UUP,Alliance | DUP | Independent | UUP
local-government-local-government-districts__1989-05-17,1989-05-17,local-government,Court,SDLP,69/98,UUP,DUP | Independent | PUP | Sinn Féin | UUP | Workers Party
local-government-local-government-districts__1989-05-17,1989-05-17,local-government,Crossmore,DUP,83/98,SDLP,SDLP | Sinn Féin | UUP
local-government-local-government-districts__1989-05-17,1989-05-17,local-government,Doagh Road,SDLP,69/98,UUP,Alliance | DUP | Independent | National Front (UK) | Sinn Féin | UUP | Workers Party
local-government-local-government-districts__1989-05-17,1989-05-17,local-government,Downpatrick,DUP,83/98,SDLP,Alliance | Independent | SDLP | Sinn Féin | UUP | Workers Party
local-government-local-government-districts__1989-05-17,1989-05-17,local-government,Downshire,SDLP,69/98,UUP,Alliance | DUP | UUP | Workers Party
local-government-local-government-districts__1989-05-17,1989-05-17,local-government,Erne West,DUP,83/98,UUP,Independent | SDLP | Sinn Féin | UUP
local-government-local-government-districts__1989-05-17,1989-05-17,local-government,Giant's Causeway,SDLP,69/98,Independent,DUP | Independent | UUP
local-government-local-government-districts__1989-05-17,1989-05-17,local-government,Glens,UUP,91/98,SDLP,DUP | Independent | SDLP | Sinn Féin
local-government-local-government-districts__1989-05-17,1989-05-17,local-government,Kells Water,SDLP,69/98,DUP,DUP | Independent | UUP
local-government-local-government-districts__1989-05-17,1989-05-17,local-government,Kilroot,SDLP,69/98,UUP,Alliance | DUP | Independent | UUP
local-government-local-government-districts__1989-05-17,1989-05-17,local-government,Knockagh Monument,SDLP,69/98,Independent,Alliance | DUP | Independent | UUP
local-government-local-government-districts__1989-05-17,1989-05-17,local-government,Larne Town,SDLP,69/98,UUP,Alliance | DUP | Independent | UUP
local-government-local-government-districts__1989-05-17,1989-05-17,local-government,Lisburn Town,SDLP,69/98,UUP,Alliance | DUP | UUP | Workers Party
local-government-local-government-districts__1989-05-17,1989-05-17,local-government,Lough,SDLP,69/98,UUP,Alliance | DUP | UUP
local-government-local-government-districts__1989-05-17,1989-05-17,local-government,Loughside,DUP,83/98,SDLP,SDLP | Sinn Féin | UUP | Workers Party
local-government-local-government-districts__1989-05-17,1989-05-17,local-government,Lower Falls,DUP,83/98,Sinn Féin,Alliance | SDLP | Sinn Féin | Workers Party
local-government-local-government-districts__1989-05-17,1989-05-17,local-government,Lower Falls,UUP,91/98,Sinn Féin,Alliance | SDLP | Sinn Féin | Workers Party
local-government-local-government-districts__1989-05-17,1989-05-17,local-government,Manse Road,SDLP,69/98,UUP,Alliance | DUP | Independent | UUP | Workers Party
local-government-local-government-districts__1989-05-17,1989-05-17,local-government,Mourne,DUP,83/98,Independent,Independent | SDLP | Sinn Féin | UUP
local-government-local-government-districts__1989-05-17,1989-05-17,local-government,Newtownards,SDLP,69/98,DUP,Alliance | DUP | Independent | UUP
local-government-local-government-districts__1989-05-17,1989-05-17,local-government,Northland,DUP,83/98,SDLP,Independent | SDLP | Sinn Féin | UUP
local-government-local-government-districts__1989-05-17,1989-05-17,local-government,Peninsula,SDLP,69/98,UUP,Alliance | DUP | Independent | UUP
local-government-local-government-districts__1989-05-17,1989-05-17,local-government,Pottinger,SDLP,69/98,DUP,Alliance | DUP | Independent | National Front (UK) | Sinn Féin | UUP | Workers Party
local-government-local-government-districts__1989-05-17,1989-05-17,local-government,Shantallow,DUP,83/98,SDLP,Independent | SDLP | Sinn Féin
