code,label,pop,C,P,O,UI_v2,prov
N00002294,,292,3.8,91.1,5.1,13.2,modelled
N00002295,,334,8.1,86.8,5.1,16.4,modelled
N00002296,,407,13.5,80.1,6.4,21.0,modelled
N00002297,,335,5.1,87.8,7.1,14.8,modelled
N00002298,,277,9.0,84.5,6.5,17.6,modelled
N00002299,,372,8.3,82.3,9.4,18.0,modelled
N00002300,,813,17.1,77.0,5.9,23.5,modelled
N00002301,,671,19.8,70.8,9.4,26.7,modelled
N00002302,,658,10.9,81.0,8.1,19.6,modelled
N00002303,,447,45.4,47.4,7.2,45.4,modelled
N00002304,,218,20.6,64.2,15.2,29.3,modelled
N00002305,,790,22.2,68.9,8.9,28.4,modelled
N00002306,,1483,36.3,50.1,13.6,40.6,modelled
N00002307,,378,25.4,67.2,7.4,30.3,modelled
N00002308,,329,6.4,86.0,7.6,16.0,modelled
N00002309,,224,10.7,81.7,7.6,19.2,modelled
N00002310,,218,7.8,83.0,9.2,17.6,modelled
N00002311,,285,13.3,79.3,7.4,21.1,modelled
N00002312,,309,10.4,82.2,7.4,18.9,modelled
N00002313,,302,7.6,85.1,7.3,16.8,modelled
N00002314,,274,8.8,81.0,10.2,18.7,modelled
N00002315,,344,9.6,85.2,5.2,17.6,modelled
N00002316,,254,10.2,79.5,10.3,19.8,modelled
N00002317,,304,5.6,90.5,3.9,14.1,modelled
N00002318,,383,6.5,88.3,5.2,15.3,modelled
N00002319,,698,4.4,85.4,10.2,15.3,modelled
N00002320,,299,5.4,80.3,14.3,17.5,modelled
N00002321,,290,3.8,89.0,7.2,13.9,modelled
N00002322,,302,9.3,84.4,6.3,17.7,modelled
N00002323,,331,6.0,89.1,4.9,14.8,modelled
N00002324,,291,7.9,86.6,5.5,16.4,modelled
N00002325,,453,8.2,85.4,6.4,16.9,modelled
N00002326,,307,4.6,89.9,5.5,13.9,modelled
N00002327,,1297,7.0,85.4,7.6,16.4,modelled
N00002328,,363,8.0,85.4,6.6,16.9,modelled
N00002329,,316,4.4,88.0,7.6,14.5,modelled
N00002330,,619,39.4,54.4,6.2,40.5,modelled
N00002331,,606,56.4,38.0,5.6,53.2,modelled
N00002332,,360,25.0,66.4,8.6,30.4,modelled
N00002333,,395,39.2,54.7,6.1,40.3,modelled
N00002334,,345,38.6,57.1,4.3,39.3,modelled
N00002335,,540,23.5,72.4,4.1,27.8,modelled
N00002336,,322,6.8,83.9,9.3,16.8,modelled
N00002337,,355,89.9,9.0,1.1,77.1,modelled
N00002338,,263,3.8,90.1,6.1,13.5,modelled
N00002339,,296,16.9,75.0,8.1,24.1,modelled
N00002340,,295,5.4,85.1,9.5,15.9,modelled
N00002341,,236,10.6,87.7,1.7,17.2,modelled
N00002342,,284,84.2,13.7,2.1,73.1,modelled
N00002343,,350,90.6,6.9,2.5,78.1,modelled
N00002344,,378,85.2,8.2,6.6,75.3,modelled
N00002345,,300,44.3,50.7,5.0,43.8,modelled
N00002346,,235,27.7,62.1,10.2,33.0,modelled
N00002347,,678,14.2,75.1,10.7,22.9,modelled
N00002348,,338,12.7,78.7,8.6,21.1,modelled
N00002349,,250,5.2,79.6,15.2,17.6,modelled
N00002350,,180,4.4,89.4,6.2,14.0,modelled
N00002351,,1332,92.0,6.5,1.5,78.8,modelled
N00002352,,292,86.0,9.9,4.1,75.1,modelled
N00002353,,1824,89.7,5.9,4.4,78.0,modelled
N00002354,,378,89.9,7.4,2.7,77.6,modelled
N00002355,,278,92.4,6.5,1.1,79.0,modelled
N00002356,,409,92.4,4.6,3.0,79.6,modelled
N00002357,,348,89.9,7.8,2.3,77.5,modelled
N00002358,,236,91.9,4.7,3.4,79.3,modelled
N00002359,,255,94.5,3.9,1.6,80.7,modelled
N00002360,,234,13.7,79.1,7.2,21.4,modelled
N00002361,,295,10.8,83.4,5.8,18.7,modelled
N00002362,,242,9.5,83.9,6.6,18.0,modelled
N00002363,,231,11.7,78.8,9.5,20.6,modelled
N00002364,,212,9.4,78.8,11.8,19.6,modelled
N00002365,,287,8.0,85.4,6.6,16.9,modelled
N00002366,,272,12.9,80.1,7.0,20.7,modelled
N00002367,,384,28.6,62.0,9.4,33.4,modelled
N00002368,,437,30.4,65.7,3.9,32.9,modelled
N00002369,,740,21.4,72.8,5.8,26.7,modelled
N00002370,,387,23.3,73.4,3.3,27.3,modelled
N00002371,,463,44.1,51.4,4.5,43.5,modelled
N00002372,,613,17.6,79.4,3.0,22.9,modelled
N00002373,,436,61.5,36.2,2.3,55.9,modelled
N00002374,,300,39.7,54.7,5.6,40.5,modelled
N00002375,,393,52.7,45.0,2.3,49.3,modelled
N00002376,,436,9.4,84.4,6.2,17.8,modelled
N00002377,,433,10.6,77.1,12.3,20.7,modelled
N00002378,,749,9.7,85.0,5.3,17.7,modelled
N00002379,,667,11.8,78.3,9.9,20.8,modelled
N00002380,,298,5.0,92.3,2.7,13.3,modelled
N00002381,,386,9.3,85.5,5.2,17.4,modelled
N00002382,,458,10.3,84.5,5.2,18.1,modelled
N00002383,,454,1.8,91.6,6.6,12.2,modelled
N00002384,,377,5.3,87.8,6.9,14.9,modelled
N00002385,,278,11.5,80.2,8.3,20.1,modelled
N00002386,,265,90.6,7.2,2.2,78.0,modelled
N00002387,,451,89.4,8.0,2.6,77.2,modelled
N00002388,,199,84.4,9.0,6.6,74.7,modelled
N00002389,,311,88.7,6.8,4.5,77.3,modelled
N00002390,,293,86.3,10.2,3.5,75.1,modelled
N00002391,,402,94.3,5.0,0.7,80.3,modelled
N00002392,,349,96.0,3.2,0.8,81.6,modelled
N00002393,,653,95.3,2.9,1.8,81.4,modelled
N00002394,,363,91.7,5.2,3.1,79.1,modelled
N00002395,,412,97.8,1.7,0.5,82.8,modelled
N00002396,,288,12.5,84.7,2.8,28.0,modelled
N00002397,,333,85.3,11.4,3.3,83.3,modelled
N00002398,,366,10.1,87.2,2.7,26.2,modelled
N00002399,,266,83.8,12.0,4.2,82.5,modelled
N00002400,,218,30.7,66.5,2.8,41.8,modelled
N00002401,,1544,68.7,25.6,5.7,71.6,modelled
N00002402,,233,33.5,63.5,3.0,44.0,modelled
N00002403,,400,14.2,81.8,4.0,29.7,modelled
N00002404,,882,7.7,87.1,5.2,25.2,modelled
N00002405,,332,17.5,78.6,3.9,32.2,modelled
N00002406,,304,90.1,7.2,2.7,86.8,modelled
N00002407,,263,98.1,1.9,0.0,91.9,modelled
N00002408,,388,88.7,8.5,2.8,85.8,modelled
N00002409,,319,90.6,7.8,1.6,86.8,modelled
N00002410,,285,91.2,8.1,0.7,86.9,modelled
N00002411,,339,93.8,3.2,3.0,89.7,modelled
N00002412,,388,93.3,3.6,3.1,89.3,modelled
N00002413,,403,95.3,4.0,0.7,90.0,modelled
N00002414,,279,93.9,5.0,1.1,89.1,modelled
N00002415,,276,93.5,5.8,0.7,88.7,modelled
N00002416,,515,61.0,35.7,3.3,58.7,modelled
N00002417,,355,87.3,11.3,1.4,78.0,modelled
N00002418,,570,92.8,5.1,2.1,82.4,modelled
N00002419,,652,48.6,48.3,3.1,49.2,modelled
N00002420,,507,95.3,3.0,1.7,84.1,modelled
N00002421,,427,80.3,17.3,2.4,73.0,modelled
N00002422,,482,24.9,71.8,3.3,31.4,modelled
N00002423,,209,95.2,2.9,1.9,90.4,modelled
N00002424,,328,96.0,1.8,2.2,91.1,modelled
N00002425,,296,94.3,3.7,2.0,89.7,modelled
N00002426,,338,94.4,2.4,3.2,90.2,modelled
N00002427,,351,97.4,2.3,0.3,91.5,modelled
N00002428,,325,95.7,2.8,1.5,90.6,modelled
N00002429,,304,97.7,2.3,0.0,91.6,modelled
N00002430,,318,95.3,3.5,1.2,90.2,modelled
N00002431,,999,93.6,5.4,1.0,88.9,modelled
N00002432,,258,94.6,5.0,0.4,89.4,modelled
N00002433,,377,95.0,3.2,1.8,90.2,modelled
N00002434,,266,97.7,1.5,0.8,91.9,modelled
N00002435,,277,93.5,6.1,0.4,88.6,modelled
N00002436,,417,93.5,4.1,2.4,89.3,modelled
N00002437,,291,96.6,2.1,1.3,91.2,modelled
N00002438,,354,91.5,7.6,0.9,87.2,modelled
N00002439,,314,95.9,2.5,1.6,90.8,modelled
N00002440,,306,94.1,4.6,1.3,89.3,modelled
N00002441,,236,93.6,5.9,0.5,88.7,modelled
N00002442,,337,92.3,7.4,0.3,87.6,modelled
N00002443,,348,94.0,4.9,1.1,89.2,modelled
N00002444,,812,18.7,77.5,3.8,33.1,modelled
N00002445,,307,39.1,55.4,5.5,49.1,modelled
N00002446,,254,9.8,84.6,5.6,26.9,modelled
N00002447,,326,12.3,84.7,3.0,27.9,modelled
N00002448,,326,8.9,86.2,4.9,26.0,modelled
N00002449,,289,18.0,75.8,6.2,33.3,modelled
N00002450,,287,19.2,77.4,3.4,33.3,modelled
N00002451,,620,93.7,5.0,1.3,89.0,modelled
N00002452,,307,75.6,22.1,2.3,75.7,modelled
N00002453,,364,78.0,20.9,1.1,77.1,modelled
N00002454,,354,57.3,40.7,2.0,61.7,modelled
N00002455,,383,66.1,32.1,1.8,68.3,modelled
N00002456,,381,77.7,20.5,1.8,77.1,modelled
N00002457,,538,17.5,79.4,3.1,31.9,modelled
N00002458,,299,67.6,27.4,5.0,64.3,modelled
N00002459,,830,70.2,27.5,2.3,65.3,modelled
N00002460,,459,82.4,17.0,0.6,74.0,modelled
N00002461,,596,84.2,14.9,0.9,75.5,modelled
N00002462,,536,79.7,19.4,0.9,72.1,modelled
N00002463,,431,71.7,25.3,3.0,66.7,modelled
N00002464,,411,44.0,53.3,2.7,45.6,modelled
N00002465,,850,97.5,2.2,0.3,91.6,modelled
N00002466,,302,96.4,3.6,0,90.6,modelled
N00002467,,304,95.1,4.3,0.6,89.9,modelled
N00002468,,280,96.1,2.5,1.4,90.9,modelled
N00002469,,620,94.7,3.4,1.9,90.0,modelled
N00002470,,394,94.7,4.8,0.5,89.5,modelled
N00002471,,322,97.2,2.2,0.6,91.5,modelled
N00002472,,478,99.0,0.8,0.2,92.7,modelled
N00002473,,331,97.0,1.8,1.2,91.5,modelled
N00002474,,373,97.1,2.4,0.5,91.3,modelled
N00002475,,386,95.9,4.1,0,90.3,modelled
N00002476,,387,97.2,2.1,0.7,91.5,modelled
N00002477,,312,81.1,18.6,0.3,79.2,modelled
N00002478,,570,92.3,6.1,1.6,88.1,modelled
N00002479,,481,94.8,4.8,0.4,89.6,modelled
N00002480,,659,75.6,22.3,2.1,75.6,modelled
N00002481,,330,98.5,1.5,0.0,92.2,modelled
N00002482,,314,94.6,2.9,2.5,90.1,modelled
N00002483,,332,95.5,3.9,0.6,90.2,modelled
N00002484,,322,96.3,2.5,1.2,91.0,modelled
N00002485,,285,97.5,1.8,0.7,91.7,modelled
N00002486,,446,93.0,4.9,2.1,88.8,modelled
N00002487,,462,93.7,4.5,1.8,89.2,modelled
N00002488,,1345,95.5,2.8,1.7,90.5,modelled
N00002489,,818,92.1,6.6,1.3,87.8,modelled
N00002490,,387,81.9,17.3,0.8,79.9,modelled
N00002491,,339,92.0,5.6,2.4,88.1,modelled
N00002492,,309,95.5,4.5,0.0,90.0,modelled
N00002493,,319,97.2,2.2,0.6,91.5,modelled
N00002494,,269,97.4,2.2,0.4,91.5,modelled
N00002495,,594,96.8,1.7,1.5,91.5,modelled
N00002496,,360,97.5,1.9,0.6,91.7,modelled
N00002497,,615,93.0,6.5,0.5,88.2,modelled
N00002498,,1256,93.1,5.4,1.5,88.6,modelled
N00002499,,694,96.3,3.3,0.4,90.7,modelled
N00002500,,603,96.8,1.2,2.0,91.6,modelled
N00002501,,1778,93.4,4.3,2.3,89.1,modelled
N00002502,,531,85.9,12.4,1.7,83.3,modelled
N00002503,,294,59.9,37.4,2.7,63.9,modelled
N00002504,,285,38.9,56.8,4.3,48.5,modelled
N00002505,,254,16.9,77.2,5.9,32.4,modelled
N00002506,,287,23.7,70.7,5.6,37.4,modelled
N00002507,,304,17.8,78.0,4.2,32.5,modelled
N00002508,,181,56.9,36.5,6.6,62.9,modelled
N00002509,,243,44.0,53.5,2.5,51.8,modelled
N00002510,,555,73.9,20.7,5.4,75.4,modelled
N00002511,,166,73.5,21.7,4.8,74.9,modelled
N00002512,,694,55.9,40.2,3.9,61.3,modelled
N00002513,,321,33.6,64.5,1.9,43.7,modelled
N00002514,,423,41.6,55.3,3.1,50.2,modelled
N00002515,,315,52.7,44.4,2.9,58.5,modelled
N00002516,,371,51.5,45.8,2.7,57.5,modelled
N00002517,,346,54.3,42.2,3.5,59.9,modelled
N00002518,,715,54.1,40.6,5.3,60.4,modelled
N00002519,,336,63.4,32.1,4.5,67.2,modelled
N00002520,,880,54.7,41.5,3.8,60.3,modelled
N00002521,,1352,81.7,14.2,4.1,80.9,modelled
N00002522,,299,83.3,13.0,3.7,82.0,modelled
N00002523,,340,79.1,19.4,1.5,78.0,modelled
N00002524,,416,83.2,14.2,2.6,81.5,modelled
N00002525,,1801,53.1,39.3,7.6,60.4,modelled
N00002526,,1103,60.5,30.7,8.8,66.4,modelled
N00002527,,434,54.6,41.2,4.2,60.4,modelled
N00002528,,300,97.3,1.7,1.0,91.7,modelled
N00002529,,416,97.4,1.7,0.9,91.7,modelled
N00002530,,400,96.5,2.2,1.3,91.2,modelled
N00002531,,487,95.1,4.1,0.8,89.9,modelled
N00002532,,359,93.9,5.3,0.8,89.0,modelled
N00002533,,910,87.1,10.3,2.6,84.5,modelled
N00002534,,433,82.9,14.3,2.8,81.4,modelled
N00002535,,444,94.8,4.1,1.1,89.8,modelled
N00002536,,607,10.4,84.3,5.3,27.3,modelled
N00002537,,1634,79.6,18.2,2.2,78.7,modelled
N00002538,,705,74.2,23.8,2.0,74.5,modelled
N00002539,,265,89.4,8.3,2.3,86.1,modelled
N00002540,,1969,65.0,30.5,4.5,68.4,modelled
N00002541,,1232,28.0,67.3,4.7,40.4,modelled
N00002542,,326,41.7,53.4,4.9,50.8,modelled
N00002543,,265,45.7,50.9,3.4,53.4,modelled
N00002544,,645,33.8,58.3,7.9,45.9,modelled
N00002545,,321,51.4,42.1,6.5,58.7,modelled
N00002546,,255,49.8,45.1,5.1,57.1,modelled
N00002547,,1040,18.3,76.6,5.1,33.2,modelled
N00002548,,574,27.9,66.0,6.1,40.8,modelled
N00002549,,238,25.2,71.8,3.0,37.7,modelled
N00002550,,269,26.4,70.3,3.3,38.7,modelled
N00002551,,346,19.7,76.9,3.4,33.7,modelled
N00002552,,279,9.3,83.5,7.2,27.1,modelled
N00002553,,248,13.3,81.9,4.8,29.3,modelled
N00002554,,372,33.1,61.3,5.6,44.6,modelled
N00002555,,355,5.4,94.1,0.5,21.9,modelled
N00002556,,320,9.7,88.4,1.9,25.6,modelled
N00002557,,346,12.1,86.1,1.8,27.4,modelled
N00002558,,307,10.1,86.0,3.9,26.6,modelled
N00002559,,316,13.0,84.5,2.5,28.3,modelled
N00002560,,471,53.9,39.3,6.8,60.7,modelled
N00002561,,314,81.5,17.2,1.3,79.8,modelled
N00002562,,347,78.7,17.0,4.3,78.7,modelled
N00002563,,364,86.3,9.6,4.1,84.4,modelled
N00002564,,266,11.3,83.1,5.6,28.1,modelled
N00002565,,288,93.1,5.2,1.7,88.7,modelled
N00002566,,303,95.0,3.6,1.4,90.1,modelled
N00002567,,339,95.9,2.9,1.2,90.7,modelled
N00002568,,309,92.6,5.5,1.9,88.4,modelled
N00002569,,306,95.4,2.3,2.3,90.7,modelled
N00002570,,263,92.0,4.9,3.1,88.3,modelled
N00002571,,338,93.8,4.1,2.1,89.4,modelled
N00002572,,346,93.1,4.3,2.6,89.0,modelled
N00002573,,294,85.4,9.5,5.1,84.0,modelled
N00002574,,298,88.9,8.1,3.0,86.0,modelled
N00002575,,309,96.8,3.2,0.0,91.0,modelled
N00002576,,785,85.1,7.6,7.3,84.5,modelled
N00002577,,536,82.5,12.5,5.0,81.8,modelled
N00002578,,299,92.6,5.7,1.7,88.3,modelled
N00002579,,402,97.5,1.2,1.3,91.9,modelled
N00002580,,306,99.0,0.3,0.7,92.9,modelled
N00002581,,330,99.7,0.3,0.0,93.1,modelled
N00002582,,1465,97.2,2.1,0.7,91.5,modelled
N00002583,,327,95.7,4.3,0,90.1,modelled
N00002584,,350,98.0,1.4,0.6,92.1,modelled
N00002585,,262,94.3,5.7,0.0,89.1,modelled
N00002586,,350,96.0,2.9,1.1,90.7,modelled
N00002587,,836,95.1,4.2,0.7,89.9,modelled
N00002588,,305,97.0,2.3,0.7,91.3,modelled
N00002589,,317,97.5,1.6,0.9,91.8,modelled
N00002590,,1559,95.5,3.4,1.1,90.3,modelled
N00002591,,1265,94.5,3.2,2.3,90.0,modelled
N00002592,,492,97.2,1.6,1.2,91.7,modelled
N00002593,,300,95.7,2.0,2.3,90.9,modelled
N00002594,,367,97.5,1.6,0.9,91.8,modelled
N00002595,,399,95.0,3.0,2.0,90.3,modelled
N00002596,,377,98.4,1.1,0.5,92.3,modelled
N00002597,,339,96.8,2.4,0.8,91.2,modelled
N00002598,,263,97.0,2.7,0.3,91.2,modelled
N00002599,,395,96.5,2.8,0.7,91.0,modelled
N00002600,,288,97.2,1.7,1.1,91.6,modelled
N00002601,,364,97.0,1.4,1.6,91.6,modelled
N00002602,,339,97.1,1.2,1.7,91.7,modelled
N00002603,,853,85.5,8.3,6.2,84.5,modelled
N00002604,,328,78.0,14.0,8.0,79.4,modelled
N00002605,,258,82.6,7.8,9.6,83.4,modelled
N00002606,,388,88.4,8.5,3.1,85.6,modelled
N00002607,,175,98.3,1.7,0.0,92.1,modelled
N00002608,,251,78.9,13.9,7.2,79.8,modelled
N00002609,,844,73.3,17.7,9.0,76.2,modelled
N00002610,,292,84.2,9.6,6.2,83.5,modelled
N00002611,,135,83.0,14.1,2.9,81.5,modelled
N00002612,,309,81.2,9.7,9.1,82.2,modelled
N00002613,,678,50.9,43.2,5.9,58.2,modelled
N00002614,,359,95.5,2.2,2.3,90.7,modelled
N00002615,,289,91.3,6.2,2.5,87.6,modelled
N00002616,,342,89.8,6.7,3.5,86.8,modelled
N00002617,,462,94.8,3.5,1.7,90.0,modelled
N00002618,,221,95.5,2.7,1.8,90.6,modelled
N00002619,,599,82.0,13.4,4.6,81.3,modelled
N00002620,,547,65.8,29.3,4.9,69.1,modelled
N00002621,,216,6.9,87.0,6.1,24.9,modelled
N00002622,,314,82.5,14.3,3.2,81.2,modelled
N00002623,,260,7.7,90.4,1.9,24.1,modelled
N00002624,,251,91.2,7.2,1.6,87.2,modelled
N00002625,,332,93.7,2.4,3.9,89.9,modelled
N00002626,,891,91.7,5.3,3.0,88.1,modelled
N00002627,,302,96.0,1.3,2.7,91.2,modelled
N00002628,,922,90.9,5.7,3.4,87.6,modelled
N00002629,,242,98.8,1.2,0.0,92.5,modelled
N00002630,,297,99.0,0.7,0.3,92.7,modelled
N00002631,,320,95.3,2.8,1.9,90.4,modelled
N00002632,,414,92.0,5.3,2.7,83.9,modelled
N00002633,,426,84.5,12.4,3.1,78.4,modelled
N00002634,,311,77.2,18.0,4.8,73.4,modelled
N00002635,,341,92.4,5.0,2.6,84.2,modelled
N00002636,,393,90.6,7.9,1.5,82.5,modelled
N00002637,,499,79.2,17.8,3.0,74.3,modelled
N00002638,,485,85.8,12.2,2.0,79.0,modelled
N00002639,,309,89.3,7.8,2.9,81.9,modelled
N00002640,,343,91.0,5.8,3.2,83.3,modelled
N00002641,,361,84.8,10.0,5.2,79.3,modelled
N00002642,,468,89.3,9.0,1.7,81.5,modelled
N00002643,,392,90.8,7.4,1.8,82.7,modelled
N00002644,,330,88.5,9.4,2.1,81.1,modelled
N00002645,,317,84.5,10.1,5.4,79.1,modelled
N00002646,,351,18.5,66.7,14.8,31.6,modelled
N00002647,,766,28.7,62.7,8.6,37.2,modelled
N00002648,,202,41.1,52.5,6.4,45.9,modelled
N00002649,,496,11.9,82.7,5.4,23.5,modelled
N00002650,,305,8.9,86.6,4.5,20.9,modelled
N00002651,,479,12.3,81.0,6.7,24.2,modelled
N00002652,,297,10.4,78.8,10.8,24.1,modelled
N00002653,,444,82.4,14.4,3.2,76.8,modelled
N00002654,,337,77.7,17.8,4.5,73.7,modelled
N00002655,,280,89.6,7.9,2.5,82.0,modelled
N00002656,,717,87.2,8.1,4.7,80.9,modelled
N00002657,,370,90.8,5.9,3.3,83.2,modelled
N00002658,,429,89.3,8.2,2.5,81.8,modelled
N00002659,,357,93.6,2.2,4.2,85.6,modelled
N00002660,,427,34.2,56.9,8.9,41.5,modelled
N00002661,,490,69.6,25.3,5.1,67.1,modelled
N00002662,,402,46.3,47.8,5.9,49.7,modelled
N00002663,,340,49.7,39.1,11.2,54.0,modelled
N00002664,,298,79.5,18.5,2.0,73.5,modelled
N00002665,,277,49.8,43.3,6.9,52.7,modelled
N00002666,,263,42.6,52.5,4.9,46.5,modelled
N00002667,,778,92.4,5.7,1.9,84.0,modelled
N00002668,,317,90.9,4.7,4.4,83.6,modelled
N00002669,,530,81.7,15.7,2.6,76.1,modelled
N00002670,,1917,85.8,11.3,2.9,79.3,modelled
N00002671,,1354,93.1,4.1,2.8,84.8,modelled
N00002672,,333,93.1,4.8,2.1,84.5,modelled
N00002673,,1282,85.7,10.5,3.8,79.5,modelled
N00002674,,289,95.5,3.8,0.7,85.9,modelled
N00002675,,385,37.9,55.1,7.0,44.4,modelled
N00002676,,708,65.0,30.2,4.8,64.2,modelled
N00002677,,408,38.0,52.0,10.0,45.4,modelled
N00002678,,368,67.4,26.6,6.0,66.4,modelled
N00002679,,534,70.0,25.3,4.7,67.9,modelled
N00002680,,430,57.2,37.9,4.9,58.3,modelled
N00002681,,436,42.0,50.9,7.1,47.5,modelled
N00002682,,457,67.8,30.0,2.2,64.7,modelled
N00002683,,395,30.9,61.5,7.6,38.6,modelled
N00002684,,458,41.5,53.1,5.4,45.9,modelled
N00002685,,385,8.6,82.1,9.3,22.3,modelled
N00002686,,337,6.2,84.0,9.8,20.6,modelled
N00002687,,306,25.5,62.1,12.4,36.1,modelled
N00002688,,375,15.5,77.9,6.6,26.6,modelled
N00002689,,308,55.8,40.6,3.6,56.1,modelled
N00002690,,249,60.6,33.7,5.7,61.1,modelled
N00002691,,325,66.8,28.6,4.6,65.5,modelled
N00002692,,276,68.1,24.6,7.3,67.3,modelled
N00002693,,338,54.4,39.6,6.0,56.5,modelled
N00002694,,319,58.0,33.9,8.1,60.0,modelled
N00002695,,467,78.6,16.1,5.3,74.6,modelled
N00002696,,316,59.2,35.4,5.4,60.0,modelled
N00002697,,367,68.4,24.0,7.6,67.7,modelled
N00002698,,536,69.2,24.3,6.5,67.9,modelled
N00002699,,351,95.2,4.0,0.8,85.7,modelled
N00002700,,529,83.2,12.5,4.3,77.8,modelled
N00002701,,533,80.7,14.8,4.5,76.0,modelled
N00002702,,371,87.3,8.6,4.1,80.8,modelled
N00002703,,614,80.6,15.0,4.4,75.8,modelled
N00002704,,558,79.7,15.4,4.9,75.3,modelled
N00002705,,483,86.7,8.3,5.0,80.7,modelled
N00002706,,437,58.8,35.2,6.0,59.9,modelled
N00002707,,564,62.9,33.9,3.2,62.0,modelled
N00002708,,264,90.2,8.7,1.1,82.0,modelled
N00002709,,468,54.3,36.8,8.9,57.4,modelled
N00002710,,418,70.1,25.8,4.1,67.8,modelled
N00002711,,764,49.5,43.1,7.4,53.3,modelled
N00002712,,373,59.0,39.9,1.1,58.4,modelled
N00002713,,424,74.3,21.2,4.5,71.1,modelled
N00002714,,490,12.4,79.6,8.0,25.4,modelled
N00002715,,424,43.9,49.5,6.6,48.8,modelled
N00002716,,348,10.3,79.0,10.7,24.7,modelled
N00002717,,566,72.8,23.0,4.2,69.9,modelled
N00002718,,473,28.5,61.7,9.8,38.2,modelled
N00002719,,333,15.9,75.7,8.4,28.2,modelled
N00002720,,344,77.9,17.4,4.7,73.9,modelled
N00002721,,363,76.3,20.1,3.6,72.3,modelled
N00002722,,437,79.6,16.7,3.7,74.9,modelled
N00002723,,407,85.7,10.6,3.7,79.5,modelled
N00002724,,230,81.3,13.0,5.7,76.8,modelled
N00002725,,433,70.0,27.7,2.3,67.1,modelled
N00002726,,1345,54.3,31.6,14.1,59.2,modelled
N00002727,,390,34.6,54.1,11.3,42.6,modelled
N00002728,,1055,34.7,60.9,4.4,40.4,modelled
N00002729,,293,31.1,62.8,6.1,38.2,modelled
N00002730,,271,38.0,47.6,14.4,46.2,modelled
N00002731,,277,54.5,43.0,2.5,54.8,modelled
N00002732,,307,40.4,55.7,3.9,44.5,modelled
N00002733,,401,28.4,55.6,16.0,39.5,modelled
N00002734,,493,21.7,66.7,11.6,32.9,modelled
N00002735,,431,11.6,83.5,4.9,23.1,modelled
N00002736,,357,15.7,77.9,6.4,26.7,modelled
N00002737,,320,11.9,80.0,8.1,24.4,modelled
N00002738,,456,42.5,52.9,4.6,46.4,modelled
N00002739,,398,11.3,81.2,7.5,23.7,modelled
N00002740,,383,42.3,54.6,3.1,45.7,modelled
N00002741,,456,41.7,46.5,11.8,48.2,modelled
N00002742,,379,74.7,21.1,4.2,71.3,modelled
N00002743,,364,62.9,30.8,6.3,63.1,modelled
N00002744,,267,85.4,11.6,3.0,79.0,modelled
N00002745,,324,75.6,19.8,4.6,72.1,modelled
N00002746,,309,80.6,14.9,4.5,75.9,modelled
N00002747,,262,73.7,21.0,5.3,70.9,modelled
N00002748,,351,63.5,29.6,6.9,63.7,modelled
N00002749,,334,73.7,20.1,6.2,71.2,modelled
N00002750,,261,90.0,8.0,2.0,82.2,modelled
N00002751,,301,62.1,31.9,6.0,62.4,modelled
N00002752,,283,48.4,47.3,4.3,51.4,modelled
N00002753,,524,86.8,9.2,4.0,80.4,modelled
N00002754,,410,82.0,13.2,4.8,77.0,modelled
N00002755,,589,67.2,26.7,6.1,66.3,modelled
N00002756,,315,21.6,73.0,5.4,30.8,modelled
N00002757,,483,36.2,56.9,6.9,42.4,modelled
N00002758,,254,31.1,61.4,7.5,38.7,modelled
N00002759,,337,31.5,59.1,9.4,39.6,modelled
N00002760,,306,29.7,59.5,10.8,38.7,modelled
N00002761,,941,24.9,65.1,10.0,34.8,modelled
N00002762,,364,15.9,76.1,8.0,27.4,modelled
N00002763,,381,20.7,74.0,5.3,30.1,modelled
N00002764,,427,60.2,32.6,7.2,61.3,modelled
N00002765,,371,50.1,43.4,6.5,53.4,modelled
N00002766,,499,71.3,24.6,4.1,68.7,modelled
N00002767,,396,44.4,49.2,6.4,49.1,modelled
N00002768,,362,26.8,67.7,5.5,35.5,modelled
N00002769,,483,61.5,34.6,3.9,61.2,modelled
N00002770,,463,65.7,31.3,3.0,64.1,modelled
N00002771,,272,86.4,11.4,2.2,79.5,modelled
N00002772,,297,59.9,34.0,6.1,60.7,modelled
N00002773,,217,74.2,22.6,3.2,70.6,modelled
N00002774,,640,69.5,24.7,5.8,67.9,modelled
N00002775,,478,69.9,26.4,3.7,67.5,modelled
N00002776,,292,65.8,30.1,4.1,64.5,modelled
N00002777,,237,81.0,15.6,3.4,75.8,modelled
N00002778,,254,68.9,23.6,7.5,68.0,modelled
N00002779,,496,82.1,13.9,4.0,76.8,modelled
N00002780,,345,78.0,16.5,5.5,74.2,modelled
N00002781,,401,70.1,23.4,6.5,68.6,modelled
N00002782,,510,81.6,13.5,4.9,76.8,modelled
N00002783,,390,86.9,10.3,2.8,80.1,modelled
N00002784,,544,89.3,8.3,2.4,81.8,modelled
N00002785,,599,87.6,10.2,2.2,80.4,modelled
N00002786,,503,91.5,6.8,1.7,83.2,modelled
N00002787,,464,78.4,19.2,2.4,73.5,modelled
N00002788,,370,63.2,28.4,8.4,64.0,modelled
N00002789,,539,79.4,16.1,4.5,75.0,modelled
N00002790,,493,98.0,1.8,0.2,87.6,modelled
N00002791,,419,63.2,32.5,4.3,62.6,modelled
