Geography Code,Geography Label,Measure,Response,Response Label,Breakdown Dimension,Breakdown Category,Base Type,Statistic,Unit,Value,Extraction Confidence
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - Base Results inc. Don't Know/Undecideds [MAINPollQuestion1IncUndecs],Sinn Féin,,ConstitutionalBloc,Undetermined/ Unidentified,inc_DK,count,persons,3,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - Base Results inc. Don't Know/Undecideds [MAINPollQuestion1IncUndecs],Sinn Féin,,ConstitutionalBloc,Undetermined/ Unidentified,inc_DK,percent,%,13.0,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - Base Results inc. Don't Know/Undecideds [MAINPollQuestion1IncUndecs],Sinn Féin,,ConstitutionalBloc,UNIONIST,inc_DK,count,persons,8,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - Base Results inc. Don't Know/Undecideds [MAINPollQuestion1IncUndecs],Sinn Féin,,ConstitutionalBloc,UNIONIST,inc_DK,percent,%,2.0,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - Base Results inc. Don't Know/Undecideds [MAINPollQuestion1IncUndecs],Sinn Féin,,Religion,Catholic,inc_DK,count,persons,216,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - Base Results inc. Don't Know/Undecideds [MAINPollQuestion1IncUndecs],Sinn Féin,,Religion,Catholic,inc_DK,percent,%,57.0,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - Base Results inc. Don't Know/Undecideds [MAINPollQuestion1IncUndecs],Sinn Féin,,Religion,No Religion,inc_DK,count,persons,40,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - Base Results inc. Don't Know/Undecideds [MAINPollQuestion1IncUndecs],Sinn Féin,,Religion,No Religion,inc_DK,percent,%,19.0,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - Base Results inc. Don't Know/Undecideds [MAINPollQuestion1IncUndecs],Sinn Féin,,Religion,Other Religion,inc_DK,count,persons,3,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - Base Results inc. Don't Know/Undecideds [MAINPollQuestion1IncUndecs],Sinn Féin,,Religion,Other Religion,inc_DK,percent,%,24.0,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - Base Results inc. Don't Know/Undecideds [MAINPollQuestion1IncUndecs],Sinn Féin,,Religion,Protestant,inc_DK,count,persons,5,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - Base Results inc. Don't Know/Undecideds [MAINPollQuestion1IncUndecs],Sinn Féin,,Religion,Protestant,inc_DK,percent,%,1.0,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - Base Results inc. Don't Know/Undecideds [MAINPollQuestion1IncUndecs],DUP,,Total,Total,inc_DK,count,persons,187,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - Base Results inc. Don't Know/Undecideds [MAINPollQuestion1IncUndecs],DUP,,Total,Total,inc_DK,percent,%,18.0,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - Base Results inc. Don't Know/Undecideds [MAINPollQuestion1IncUndecs],DUP,,Gender,Female,inc_DK,count,persons,71,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - Base Results inc. Don't Know/Undecideds [MAINPollQuestion1IncUndecs],DUP,,Gender,Female,inc_DK,percent,%,14.0,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - Base Results inc. Don't Know/Undecideds [MAINPollQuestion1IncUndecs],DUP,,Gender,Male,inc_DK,count,persons,116,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - Base Results inc. Don't Know/Undecideds [MAINPollQuestion1IncUndecs],DUP,,Gender,Male,inc_DK,percent,%,21.0,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - Base Results inc. Don't Know/Undecideds [MAINPollQuestion1IncUndecs],DUP,,Age,18-34 years age-group,inc_DK,count,persons,35,0.85
