SA2011,nat_2001,nat_2023,nat_2001_on2021demog,pop,change,swing_political,swing_demographic,label,dea
N00000156,1.4530553927022507,8.160048556075544,2.5072327596227777,302.9999778582975,6.706993163373294,5.652815796452767,1.054177366920527,Ards_Peninsula_D5,ARDS PENINSULA
N00000157,3.3111850190858356,20.959621459993464,6.85811081360938,350.99999260067796,17.648436440907627,14.101510646384085,3.546925794523542,Ards_Peninsula_F2,ARDS PENINSULA
N00000158,1.4572641771139598,13.070373117367822,4.199344061009518,304.9999919326001,11.613108940253863,8.871029056358303,2.74207988389556,Ards_Peninsula_F2,ARDS PENINSULA
N00000159,0.0,0.0,0.0,254.99994959077563,0.0,0.0,0.0,Newtownards_L2,NEWTOWNARDS
N00000160,0.0,0.0,0.0,293.99992551914227,0.0,0.0,0.0,Newtownards_L2,NEWTOWNARDS
N00000161,0.0,0.0,0.0,389.99994320809355,0.0,0.0,0.0,Newtownards_N2,NEWTOWNARDS
N00000162,0.0,0.0,0.0,282.9999242552187,0.0,0.0,0.0,Newtownards_E2,NEWTOWNARDS
N00000163,0.0,0.0,0.0,228.99993659118047,0.0,0.0,0.0,Newtownards_L1,NEWTOWNARDS
N00000164,0.0,0.00038110660589206236,0.0,278.9999912712153,0.00038110660589206236,0.00038110660589206236,0.0,Newtownards_A2,NEWTOWNARDS
N00000165,0.0,0.0,0.0,294.9999864560654,0.0,0.0,0.0,Newtownards_N2,NEWTOWNARDS
N00000166,0.0,0.0,0.0,302.9999451825737,0.0,0.0,0.0,Newtownards_E1,NEWTOWNARDS
N00000167,0.0,0.0,0.0,307.9999735438708,0.0,0.0,0.0,Newtownards_A2,NEWTOWNARDS
N00000168,0.0,0.0,0.0,316.9999278903015,0.0,0.0,0.0,Newtownards_E2,NEWTOWNARDS
N00000169,1.3577888380615002,9.747902433975757,3.4705242901852036,659.9999824269337,8.390113595914256,6.277378143790553,2.1127354521237027,Ards_Peninsula_D5,ARDS PENINSULA
N00000170,0.8957918637664306,7.986370064873917,2.2886076338777124,324.9999807607947,7.090578201107486,5.697762430996205,1.392815770111281,Ards_Peninsula_D5,ARDS PENINSULA
N00000171,1.372775994551295,8.478923685694673,2.820089534599249,346.9999878435854,7.106147691143377,5.658834151095423,1.4473135400479542,Ards_Peninsula_D5,ARDS PENINSULA
N00000172,1.5558058746082417,7.932943120401521,2.594221641934341,622.9999852354091,6.3771372457932785,5.33872147846718,1.0384157673260983,Ards_Peninsula_C3,ARDS PENINSULA
N00000173,1.8792900929357648,7.394061544677098,2.3155492041215107,341.99999267447316,5.514771451741333,5.078512340555587,0.4362591111857457,Ards_Peninsula_C5,ARDS PENINSULA
N00000174,1.8413931239740091,7.345227495222716,1.9714300576515325,332.9999458957051,5.503834371248707,5.373797437571183,0.13003693367752334,Ards_Peninsula_D1,ARDS PENINSULA
N00000175,1.2082730846619065,6.931360744633442,2.0537928028386307,329.9999839499398,5.723087659971535,4.877567941794811,0.8455197181767238,Ards_Peninsula_D4,ARDS PENINSULA
N00000176,0.0,0.0,0.0,539.9998886514802,0.0,0.0,0.0,Newtownards_L4,NEWTOWNARDS
N00000177,0.0,0.0,0.36371813913590006,282.9999854481914,0.0,-0.36371813913590006,0.36371813913590006,Newtownards_R4,NEWTOWNARDS
N00000178,0.0,0.0,2.35657220557316,659.9998455574286,0.0,-2.35657220557316,2.35657220557316,Newtownards_K1,NEWTOWNARDS
N00000179,0.0,0.0,0.0,676.9998799082389,0.0,0.0,0.0,Newtownards_J4,NEWTOWNARDS
N00000180,0.0,0.0,0.00031819531270089514,262.9998717138453,0.0,-0.00031819531270089514,0.00031819531270089514,Newtownards_R2,NEWTOWNARDS
