area,dep__mdm_pct,dep__income_pct,dep__employment_pct
N20000416,66.71809565792374,41.34890897068548,88.67092792594225
N20000417,76.08551906546175,72.91161560502535,68.83403129821468
N20000418,72.53691866872383,69.64954815957681,69.23076923076923
N20000419,51.7744010395283,46.9094489606878,55.76531957283685
N20000420,68.08601290801495,52.26473732334896,72.4406016226921
N20000421,66.39309059217321,70.68760551092348,69.55490062698817
N20000423,65.2191833873151,68.10117439907155,66.08886879879061
N20000424,69.9453143305,65.40880995672006,72.28563868049586
N20000425,73.68737627688435,68.68120210421003,68.7473884746981
N20000428,15.979722283447211,25.721842627286755,24.55366982587613
N20000429,32.334141503195944,45.33832929248402,25.148776724707957
N20000430,68.04055543310558,53.40533392109323,75.93123209169055
N20000431,10.71079799668259,20.169409993098114,12.739856717436037
N20000433,51.29554811234611,42.99047120501275,51.10972480241822
N20000434,12.188670927925942,24.068767908309457,14.1723605906987
N20000435,30.424518175234507,40.00603026390992,33.31615853105825
N20000437,13.753581661891117,53.51553890235839,9.874366321357725
N20000439,16.41243628900671,25.793487975546604,23.47837600647828
N20000440,17.897288957460876,30.923517743001984,26.140621556094334
N20000441,29.4247299977959,43.94974652854309,23.760193960767026
N20000442,9.896407317610755,50.54000440819925,8.61802953493498
N20000445,14.921754463301742,11.505400044081993,23.4516200132246
N20000446,78.06920872823451,53.60370288737051,89.48644478730439
N20000447,59.88538681948424,51.5098082433326,70.3548600396738
N20000449,51.42164425832048,80.3614723385497,48.68856072294468
N20000450,77.80471677319815,61.053559620894866,69.45117919329954
N20000451,70.09036808463742,78.53206964954816,61.494379545955475
N20000453,45.514657262508265,61.97928146352215,43.61913158474763
N20000458,77.46853211722005,75.41673736170861,80.37877610629151
N20000459,63.478069208728236,90.4342076261847,39.277055322900594
N20000460,73.49271728748806,55.376548992236664,57.30789128890848
N20000462,88.04310341157286,68.53292443409823,81.82485693821414
N20000463,56.645360370288735,75.88715009918448,29.49085298655499
N20000466,13.413591814712015,8.334688040116609,15.892755094611724
N20000467,76.3032301304917,92.34753317555493,63.611889543121634
N20000468,36.97532966873941,32.65941317517249,30.506965177452287
N20000469,90.39012563367864,90.25787965616045,87.34846815076041
N20000470,84.0587605850107,71.02911011255128,78.99861888273479
N20000474,62.09289091291694,61.30871863743795,58.76986587863013
N20000475,88.18602600837558,54.815957681287195,94.35750495922416
N20000476,50.40775843068106,24.28917787083976,66.67401366541768
N20000477,50.25347145690985,61.64866651972669,45.42649327749614
N20000478,47.58651091029314,49.45999559180075,50.78245536698259
N20000481,82.13730484498497,85.84097135518884,68.35215936834972
N20000482,66.11909003459613,65.52232112970434,63.404024508842255
N20000483,93.01659760139641,88.2215840895345,84.20629954654045
N20000484,83.82190875027551,88.64888692968923,75.35816618911174
N20000485,67.69202588961588,69.36160619482831,62.275040098174685
N20000486,59.31232091690544,69.23076923076923,55.12453162882962
N20000488,68.20934448277879,35.24423672929608,76.40280145560538
N20000489,58.8494599955918,66.89442362794799,40.31298214679303
N20000490,10.905352921952073,58.43410122137521,6.974835262553867
N20000491,17.147895084857836,20.321798545294246,14.018073616927484
N20000492,69.18668723826318,53.184923958562926,54.72779369627507
N20000494,14.490035088958843,31.387069845382793,9.046293003942036
N20000495,70.46506502093895,49.98897950187349,67.99647344059952
N20000496,64.53603702887371,91.38197046506502,49.98897950187349
N20000498,9.722490081551687,12.121553033085984,10.077135833761908
N20000500,37.22724267136874,36.87458673132026,28.80758210271104
N20000501,74.98346925281022,58.87150099184483,71.61119682609655
