contest,year,area,method,actual,pred,correct,tvd
westminster,2024,SOUTH ANTRIM,A_proportional,UUP,DUP,0,30.44677802721274
westminster,2024,SOUTH ANTRIM,B_affinity,UUP,DUP,0,30.345240414043044
westminster,2024,SOUTH ANTRIM,C_field_features,UUP,DUP,0,31.317764157556848
westminster,2024,SOUTH DOWN,A_proportional,Sinn Féin,Sinn Féin,1,15.891842629924055
westminster,2024,SOUTH DOWN,B_affinity,Sinn Féin,Sinn Féin,1,15.773624706078843
westminster,2024,SOUTH DOWN,C_field_features,Sinn Féin,Sinn Féin,1,16.896935832277144
westminster,2024,STRANGFORD,A_proportional,DUP,Alliance,0,12.45691693367086
westminster,2024,STRANGFORD,B_affinity,DUP,Alliance,0,12.243019326718061
westminster,2024,STRANGFORD,C_field_features,DUP,Alliance,0,12.700617060042719
westminster,2024,UPPER BANN,A_proportional,DUP,Sinn Féin,0,24.428667103310687
westminster,2024,UPPER BANN,B_affinity,DUP,Sinn Féin,0,21.191444933979927
westminster,2024,UPPER BANN,C_field_features,DUP,Sinn Féin,0,20.65317580921334
westminster,2024,WEST TYRONE,A_proportional,Sinn Féin,Sinn Féin,1,7.461871368455089
westminster,2024,WEST TYRONE,B_affinity,Sinn Féin,Sinn Féin,1,8.287248877682462
westminster,2024,WEST TYRONE,C_field_features,Sinn Féin,Sinn Féin,1,6.896103767765459
