DZ21,label,catholic_bg_pct,proj_unity_pct,provenance
N20000237,Glengormley_Urban_H2,31.1,39.1,modelled
N20000238,Glengormley_Urban_F3,67.7,62.7,modelled
N20000239,Glengormley_Urban_G4,42.5,45.3,modelled
N20000240,Glengormley_Urban_F4,57.1,56.4,modelled
N20000241,Glengormley_Urban_G5,28.9,37.0,modelled
N20000242,Glengormley_Urban_H3,23.8,35.8,modelled
N20000243,Glengormley_Urban_J1,72.5,66.0,modelled
N20000244,Glengormley_Urban_J2,76.4,68.2,modelled
N20000245,Glengormley_Urban_J3,88.9,77.1,modelled
N20000246,Glengormley_Urban_K1,77.4,69.7,modelled
N20000247,Glengormley_Urban_K2,67.9,63.9,modelled
N20000249,Glengormley_Urban_J4,82.8,72.1,modelled
N20000250,Glengormley_Urban_J5,85.0,73.9,modelled
N20000251,Glengormley_Urban_L2,85.0,74.7,modelled
N20000252,Glengormley_Urban_L3,82.3,71.8,modelled
N20000254,Glengormley_Urban_K4,80.0,69.7,modelled
N20000255,Glengormley_Urban_L4,83.6,74.2,modelled
N20000256,Glengormley_Urban_L5,81.9,73.1,modelled
N20000257,Airport_A1,16.7,28.3,modelled
N20000258,Airport_B1,13.6,26.7,modelled
N20000259,Airport_A2,12.2,25.8,modelled
N20000260,Airport_A3,16.8,28.5,modelled
N20000261,Airport_C1,9.0,24.0,modelled
N20000262,Airport_C2,14.2,27.4,modelled
N20000263,Airport_B2,18.0,30.4,modelled
N20000264,Airport_B3,28.3,38.8,modelled
N20000265,Airport_D1,35.6,42.3,modelled
N20000266,Airport_C3,17.4,28.7,modelled
N20000267,Airport_D2,61.0,59.4,modelled
N20000268,Airport_F1,29.7,38.9,modelled
N20000270,Airport_E1,68.4,64.8,modelled
N20000271,Airport_D4,57.3,56.3,modelled
N20000272,Airport_E2,65.9,61.6,modelled
N20000273,Airport_E3,79.2,71.2,modelled
N20000274,Airport_G1,11.0,24.1,modelled
N20000275,Airport_E4,61.7,59.3,modelled
N20000276,Airport_E5,68.3,64.2,modelled
N20000277,Airport_E6,88.6,77.6,modelled
N20000278,Airport_C4,17.0,28.3,modelled
N20000279,Airport_F2,24.0,43.4,modelled
N20000280,Airport_G2,15.4,27.6,modelled
N20000282,Airport_F3,54.5,53.2,modelled
N20000283,Airport_H1,75.4,67.6,modelled
N20000284,Airport_H2,79.8,71.7,modelled
