DZ21,catholic_bg_pct,proj_unity_pct,provenance
N20000633,21.2,18.6,modelled
N20000634,12.4,26.1,modelled
N20000635,37.9,51.9,modelled
N20000636,25.6,29.9,modelled
N20000637,25.3,38.7,modelled
N20000638,24.1,24.1,modelled
N20000639,28.5,38.0,modelled
N20000640,38.9,31.5,modelled
N20000641,38.2,42.7,modelled
N20000642,55.0,65.1,modelled
N20000643,39.6,40.6,modelled
N20000644,12.3,22.7,modelled
N20000645,47.2,53.5,modelled
N20000646,55.9,63.3,modelled
N20000647,56.0,51.8,modelled
N20000648,19.5,23.8,modelled
N20000649,38.9,43.6,modelled
N20000650,18.9,30.2,modelled
N20000651,65.9,57.5,modelled
N20000652,44.0,47.8,modelled
N20000653,36.6,39.9,modelled
N20000654,70.9,56.0,modelled
N20000655,8.0,30.7,modelled
N20000656,18.9,27.4,modelled
N20000657,24.6,40.5,modelled
N20000658,28.3,42.0,modelled
N20000659,48.6,51.4,modelled
N20000660,34.6,47.7,modelled
N20000661,46.9,48.2,modelled
N20000662,39.2,48.7,modelled
N20000663,40.9,42.3,modelled
N20000664,5.6,25.8,modelled
N20000665,12.3,18.6,modelled
N20000666,4.2,9.7,modelled
N20000667,15.6,24.6,modelled
N20000668,10.2,16.8,modelled
N20000669,8.5,21.5,modelled
N20000670,8.5,18.9,modelled
N20000671,7.4,18.1,modelled
N20000672,11.0,36.2,modelled
N20000673,5.7,13.0,modelled
N20000674,17.8,28.1,modelled
N20000675,3.8,20.4,modelled
N20000676,5.2,28.8,modelled
N20000677,4.3,17.5,modelled
N20000678,7.7,30.0,modelled
N20000679,8.9,19.8,modelled
N20000680,9.7,29.2,modelled
N20000681,11.3,22.6,modelled
N20000682,11.7,20.5,modelled
N20000683,13.5,34.3,modelled
N20000684,15.3,31.7,modelled
N20000685,16.5,35.0,modelled
N20000686,11.3,19.0,modelled
N20000687,8.7,9.6,modelled
N20000688,20.7,33.2,modelled
N20000689,13.4,24.9,modelled
N20000690,8.0,30.8,modelled
N20000691,6.2,21.5,modelled
N20000692,29.9,42.5,modelled
N20000693,13.0,22.9,modelled
N20000694,18.2,27.1,modelled
N20000695,11.9,32.9,modelled
N20000696,34.7,39.0,modelled
N20000697,10.9,33.7,modelled
N20000698,24.2,39.3,modelled
N20000699,35.2,47.7,modelled
N20000700,13.5,31.3,modelled
N20000701,78.1,71.6,modelled
N20000702,79.0,87.6,modelled
N20000703,13.2,24.2,modelled
N20000704,30.3,35.4,modelled
N20000705,66.9,58.3,modelled
N20000706,92.8,85.2,modelled
N20000707,90.3,82.2,modelled
N20000708,34.0,48.3,modelled
N20000709,72.4,73.1,modelled
N20000710,78.7,66.5,modelled
N20000711,5.1,9.1,modelled
N20000712,82.9,71.7,modelled
N20000713,49.8,58.8,modelled
N20000714,8.1,34.3,modelled
N20000715,92.8,74.6,modelled
N20000716,12.5,32.3,modelled
N20000717,3.7,30.0,modelled
N20000718,6.9,33.5,modelled
N20000719,89.7,81.8,modelled
N20000720,5.7,8.6,modelled
N20000721,29.0,27.8,modelled
N20000722,16.3,26.7,modelled
N20000723,10.0,30.2,modelled
N20000724,89.0,87.7,modelled
N20000725,84.4,73.0,modelled
N20000726,50.3,43.8,modelled
N20000727,12.0,26.0,modelled
N20000728,13.2,34.5,modelled
N20000729,8.1,35.3,modelled
N20000730,12.9,31.3,modelled
N20000731,70.9,65.0,modelled
N20000732,85.5,72.4,modelled
N20000733,73.3,76.9,modelled
N20000734,85.8,65.9,modelled
N20000735,90.3,86.6,modelled
N20000736,8.5,26.7,modelled
N20000737,11.2,25.4,modelled
N20000738,76.2,70.8,modelled
N20000739,10.4,33.9,modelled
N20000740,86.5,77.6,modelled
N20000741,86.4,63.5,modelled
N20000742,14.9,25.7,modelled
N20000743,72.7,75.7,modelled
N20000744,20.9,38.1,modelled
N20000745,71.3,56.7,modelled
N20000746,86.2,77.6,modelled
N20000747,79.7,53.9,modelled
N20000748,89.8,86.7,modelled
N20000749,79.9,80.0,modelled
N20000750,83.6,57.9,modelled
N20000751,89.2,80.2,modelled
N20000752,92.4,87.1,modelled
N20000753,93.5,82.9,modelled
N20000754,76.0,64.1,modelled
N20000755,91.0,90.1,modelled
N20000756,85.3,86.6,modelled
N20000757,72.8,80.7,modelled
N20000758,91.8,97.7,modelled
N20000759,60.3,68.0,modelled
N20000760,89.1,76.7,modelled
N20000761,92.2,77.4,modelled
N20000762,90.7,81.9,modelled
N20000763,59.8,66.8,modelled
N20000764,69.1,61.3,modelled
N20000765,87.8,83.8,modelled
N20000766,80.6,74.8,modelled
N20000767,79.0,70.5,modelled
N20000768,90.9,83.4,modelled
N20000769,72.9,76.0,modelled
N20000770,76.0,82.7,modelled
N20000771,84.5,59.2,modelled
N20000772,67.9,55.8,modelled
N20000773,92.2,62.3,modelled
N20000774,76.7,72.9,modelled
N20000775,75.3,70.1,modelled
N20000776,7.1,32.2,modelled
N20000777,93.3,76.2,modelled
N20000778,84.3,52.2,modelled
N20000779,82.9,53.4,modelled
N20000780,82.7,45.3,modelled
N20000781,94.3,67.0,modelled
N20000782,84.8,71.2,modelled
N20000783,84.0,62.8,modelled
N20000784,91.9,73.0,modelled
N20000785,91.3,68.7,modelled
N20000786,64.4,56.1,modelled
N20000787,87.8,69.6,modelled
N20000788,83.3,71.6,modelled
N20000789,70.9,60.2,modelled
N20000790,11.7,34.2,modelled
N20000791,58.3,52.9,modelled
N20000792,82.4,70.1,modelled
N20000793,75.4,63.2,modelled
N20000794,85.4,77.2,modelled
N20000795,24.8,34.9,modelled
N20000796,78.2,62.9,modelled
N20000797,58.2,46.0,modelled
N20000798,7.6,13.1,modelled
N20000799,83.5,57.9,modelled
N20000800,14.1,27.5,modelled
N20000801,9.6,28.0,modelled
N20000802,88.0,63.5,modelled
N20000803,81.4,70.1,modelled
N20000804,63.6,60.6,modelled
N20000805,19.0,32.9,modelled
N20000806,8.0,26.5,modelled
N20000807,77.0,66.7,modelled
N20000808,83.7,70.1,modelled
N20000809,40.7,47.7,modelled
N20000810,79.5,52.0,modelled
N20000811,6.8,19.4,modelled
N20000812,87.7,70.1,modelled
N20000813,3.6,5.2,modelled
N20000814,71.4,61.0,modelled
N20000815,86.6,64.3,modelled
N20000816,71.2,67.4,modelled
