DZ21,con,catholic_bg_pct,soft,unity,lo90,hi90,band90_width,p_below50,maj_uncert
N20002874,MID ULSTER,91.6,0.926,73.1,62.0,84.2,22.2,0.0,0.0
N20002875,MID ULSTER,93.5,0.942,74.2,62.8,85.5,22.7,0.0,0.0
N20002876,MID ULSTER,30.0,0.379,38.2,32.8,43.7,10.9,1.0,0.0
N20002877,MID ULSTER,55.9,0.609,52.9,45.1,60.6,15.5,0.271,0.271
N20002878,MID ULSTER,95.0,0.956,75.0,63.5,86.5,23.0,0.0,0.0
N20002879,MID ULSTER,46.1,0.522,47.3,40.5,54.2,13.7,0.74,0.26
N20002880,MID ULSTER,54.3,0.595,52.0,44.4,59.5,15.1,0.335,0.335
N20002881,MID ULSTER,34.7,0.421,40.9,35.0,46.7,11.7,0.995,0.005
N20002882,MID ULSTER,81.8,0.839,67.5,57.4,77.7,20.3,0.002,0.002
N20002883,MID ULSTER,44.3,0.506,46.3,39.6,53.0,13.4,0.818,0.182
N20002884,MID ULSTER,53.6,0.589,51.6,44.1,59.1,15.0,0.366,0.366
N20002885,MID ULSTER,92.1,0.93,73.4,62.2,84.5,22.3,0.0,0.0
N20002886,MID ULSTER,46.9,0.529,47.8,40.9,54.7,13.8,0.701,0.299
N20002887,MID ULSTER,92.7,0.935,73.7,62.5,84.9,22.4,0.0,0.0
N20002888,MID ULSTER,92.2,0.931,73.4,62.2,84.6,22.4,0.0,0.0
N20002890,MID ULSTER,89.7,0.909,72.0,61.1,82.9,21.8,0.0,0.0
N20002891,MID ULSTER,51.0,0.566,50.1,42.8,57.4,14.6,0.491,0.491
N20002892,MID ULSTER,81.7,0.838,67.5,57.3,77.6,20.3,0.002,0.002
N20002893,MID ULSTER,77.6,0.801,65.2,55.4,74.9,19.5,0.005,0.005
N20002894,MID ULSTER,76.4,0.791,64.5,54.8,74.1,19.3,0.007,0.007
N20002895,MID ULSTER,72.5,0.756,62.3,53.0,71.5,18.5,0.015,0.015
N20002896,MID ULSTER,59.9,0.645,55.1,47.0,63.2,16.2,0.149,0.149
N20002897,MID ULSTER,62.1,0.664,56.4,48.1,64.7,16.6,0.104,0.104
N20002900,MID ULSTER,70.1,0.735,60.9,51.9,70.0,18.1,0.024,0.024
N20002901,MID ULSTER,59.6,0.642,55.0,46.9,63.0,16.1,0.156,0.156
N20002902,MID ULSTER,53.5,0.588,51.5,44.0,59.0,15.0,0.371,0.371
N20002903,MID ULSTER,66.7,0.705,59.0,50.3,67.7,17.4,0.046,0.046
N20002904,MID ULSTER,61.1,0.655,55.8,47.6,64.0,16.4,0.123,0.123
N20002905,MID ULSTER,48.6,0.544,48.7,41.7,55.8,14.1,0.615,0.385
N20002906,MID ULSTER,79.7,0.82,66.3,56.4,76.3,19.9,0.004,0.004
N20002907,MID ULSTER,33.3,0.409,40.1,34.4,45.8,11.4,0.998,0.002
N20002908,MID ULSTER,63.6,0.677,57.2,48.8,65.7,16.9,0.08,0.08
N20002909,MID ULSTER,54.3,0.595,52.0,44.4,59.5,15.1,0.335,0.335
N20002910,MID ULSTER,56.0,0.61,52.9,45.2,60.7,15.5,0.267,0.267
N20002911,MID ULSTER,61.8,0.661,56.2,47.9,64.5,16.6,0.109,0.109
N20002912,MID ULSTER,50.5,0.561,49.8,42.6,57.0,14.4,0.517,0.483
N20002913,MID ULSTER,19.3,0.285,32.2,27.5,36.8,9.3,1.0,0.0
N20002914,MID ULSTER,39.1,0.46,43.4,37.1,49.6,12.5,0.96,0.04
N20002915,MID ULSTER,35.8,0.431,41.5,35.6,47.4,11.8,0.991,0.009
N20002916,MID ULSTER,82.0,0.84,67.6,57.5,77.8,20.3,0.002,0.002
N20002917,MID ULSTER,63.0,0.672,56.9,48.5,65.3,16.8,0.089,0.089
N20002920,MID ULSTER,40.6,0.473,44.2,37.9,50.6,12.7,0.933,0.067
N20002922,MID ULSTER,46.2,0.523,47.4,40.5,54.2,13.7,0.735,0.265
N20002923,MID ULSTER,51.2,0.567,50.2,42.9,57.5,14.6,0.481,0.481
N20002924,MID ULSTER,40.7,0.474,44.3,37.9,50.6,12.7,0.93,0.07
N20002926,MID ULSTER,27.4,0.356,36.7,31.5,42.0,10.5,1.0,0.0
N20002927,MID ULSTER,82.9,0.848,68.2,57.9,78.4,20.5,0.002,0.002
N20002928,MID ULSTER,42.7,0.492,45.4,38.9,51.9,13.0,0.876,0.124
N20002930,MID ULSTER,80.6,0.828,66.8,56.8,76.9,20.1,0.003,0.003
N20002931,MID ULSTER,25.7,0.341,35.8,30.7,40.9,10.2,1.0,0.0
N20002932,MID ULSTER,26.7,0.35,36.3,31.2,41.5,10.3,1.0,0.0
N20002933,MID ULSTER,80.1,0.824,66.6,56.6,76.6,20.0,0.003,0.003
N20002934,MID ULSTER,19.0,0.282,32.0,27.4,36.6,9.2,1.0,0.0
N20002935,MID ULSTER,10.8,0.209,27.3,23.3,31.4,8.1,1.0,0.0
N20002937,MID ULSTER,36.4,0.436,41.8,35.8,47.8,12.0,0.987,0.013
N20002938,MID ULSTER,8.8,0.192,26.2,22.3,30.2,7.9,1.0,0.0
N20002939,MID ULSTER,15.9,0.255,30.2,25.8,34.6,8.8,1.0,0.0
N20002940,MID ULSTER,36.2,0.434,41.7,35.7,47.7,12.0,0.989,0.011
N20002941,MID ULSTER,53.9,0.591,51.7,44.2,59.3,15.1,0.353,0.353
N20002942,MID ULSTER,43.9,0.503,46.1,39.4,52.7,13.3,0.834,0.166
N20002943,MID ULSTER,57.9,0.627,54.0,46.1,61.9,15.8,0.203,0.203
N20002945,MID ULSTER,81.1,0.832,67.1,57.0,77.2,20.2,0.003,0.003
N20002946,MID ULSTER,74.1,0.77,63.2,53.7,72.6,18.9,0.011,0.011
N20002947,MID ULSTER,50.4,0.56,49.8,42.5,57.0,14.5,0.522,0.478
N20002948,MID ULSTER,91.3,0.923,72.9,61.8,84.0,22.2,0.0,0.0
N20002949,MID ULSTER,69.5,0.73,60.6,51.6,69.6,18.0,0.027,0.027
N20002950,MID ULSTER,61.4,0.658,56.0,47.7,64.2,16.5,0.117,0.117
N20002953,MID ULSTER,62.3,0.666,56.5,48.2,64.8,16.6,0.1,0.1
N20002954,MID ULSTER,68.2,0.718,59.8,51.0,68.7,17.7,0.035,0.035
N20002956,MID ULSTER,90.9,0.919,72.7,61.6,83.7,22.1,0.0,0.0
N20002957,MID ULSTER,76.2,0.789,64.4,54.7,74.0,19.3,0.007,0.007
N20002958,MID ULSTER,73.2,0.762,62.7,53.3,72.0,18.7,0.013,0.013
N20002960,MID ULSTER,24.1,0.327,34.9,29.9,39.9,10.0,1.0,0.0
N20002961,MID ULSTER,73.1,0.762,62.6,53.3,71.9,18.6,0.013,0.013
N20002962,MID ULSTER,66.5,0.703,58.9,50.2,67.6,17.4,0.048,0.048
N20002964,MID ULSTER,56.1,0.611,53.0,45.2,60.7,15.5,0.264,0.264
N20002965,MID ULSTER,67.5,0.712,59.4,50.6,68.2,17.6,0.039,0.039
N20002967,MID ULSTER,26.9,0.352,36.5,31.3,41.7,10.4,1.0,0.0
N20002968,MID ULSTER,15.0,0.247,29.7,25.4,34.1,8.7,1.0,0.0
N20002969,MID ULSTER,21.3,0.302,33.3,28.5,38.1,9.6,1.0,0.0
N20002970,MID ULSTER,89.2,0.904,71.7,60.8,82.6,21.8,0.001,0.001
N20002971,MID ULSTER,60.0,0.645,55.2,47.1,63.3,16.2,0.147,0.147
N20002972,MID ULSTER,91.1,0.921,72.8,61.7,83.9,22.2,0.0,0.0
N20002973,MID ULSTER,76.3,0.79,64.4,54.8,74.1,19.3,0.007,0.007
N20002974,MID ULSTER,64.8,0.688,57.9,49.4,66.5,17.1,0.065,0.065
N20002979,MID ULSTER,18.3,0.276,31.6,27.0,36.1,9.1,1.0,0.0
N20002982,MID ULSTER,86.4,0.879,70.1,59.5,80.7,21.2,0.001,0.001
N20002983,MID ULSTER,73.5,0.765,62.8,53.5,72.2,18.7,0.012,0.012
N20002984,MID ULSTER,75.3,0.781,63.8,54.3,73.4,19.1,0.009,0.009
N20002986,MID ULSTER,64.5,0.685,57.7,49.2,66.3,17.1,0.068,0.068
N20002988,MID ULSTER,66.1,0.699,58.6,50.0,67.3,17.3,0.051,0.051
N20002989,MID ULSTER,88.0,0.894,71.0,60.3,81.8,21.5,0.001,0.001
N20002990,MID ULSTER,82.1,0.841,67.7,57.5,77.9,20.4,0.002,0.002
N20002991,MID ULSTER,94.8,0.954,74.9,63.5,86.3,22.8,0.0,0.0
N20002993,MID ULSTER,89.3,0.905,71.8,60.9,82.7,21.8,0.001,0.001
N20002994,MID ULSTER,20.8,0.298,33.0,28.3,37.7,9.4,1.0,0.0
N20002995,MID ULSTER,94.1,0.948,74.5,63.1,85.9,22.8,0.0,0.0
N20002997,MID ULSTER,92.9,0.937,73.8,62.6,85.1,22.5,0.0,0.0
N20002998,MID ULSTER,87.9,0.893,71.0,60.2,81.7,21.5,0.001,0.001
N20002999,MID ULSTER,89.8,0.91,72.1,61.1,83.0,21.9,0.0,0.0
N20003001,MID ULSTER,94.5,0.951,74.7,63.3,86.1,22.8,0.0,0.0
N20003002,MID ULSTER,82.9,0.848,68.2,57.9,78.4,20.5,0.002,0.002
N20003003,MID ULSTER,85.8,0.874,69.8,59.2,80.4,21.2,0.001,0.001
N20003004,MID ULSTER,38.6,0.456,43.1,36.9,49.3,12.4,0.967,0.033
N20003005,MID ULSTER,87.5,0.889,70.8,60.0,81.5,21.5,0.001,0.001
N20003006,MID ULSTER,86.9,0.884,70.4,59.8,81.1,21.3,0.001,0.001
N20003007,MID ULSTER,83.7,0.856,68.6,58.2,79.0,20.8,0.002,0.002
N20003009,MID ULSTER,82.9,0.848,68.2,57.9,78.4,20.5,0.002,0.002
N20003010,MID ULSTER,91.4,0.924,73.0,61.9,84.1,22.2,0.0,0.0
N20003012,MID ULSTER,92.6,0.934,73.6,62.4,84.9,22.5,0.0,0.0
N20003013,MID ULSTER,87.3,0.887,70.6,59.9,81.3,21.4,0.001,0.001
N20003014,MID ULSTER,91.1,0.921,72.8,61.7,83.9,22.2,0.0,0.0
N20003018,MID ULSTER,73.3,0.763,62.7,53.4,72.1,18.7,0.013,0.013
N20003019,MID ULSTER,56.9,0.618,53.4,45.6,61.3,15.7,0.235,0.235
N20003020,FERMANAGH AND SOUTH TYRONE,84.5,0.863,69.1,58.6,79.5,20.9,0.001,0.001
N20003021,FERMANAGH AND SOUTH TYRONE,77.7,0.804,65.2,55.4,75.0,19.6,0.005,0.005
N20003022,FERMANAGH AND SOUTH TYRONE,84.6,0.864,69.1,58.7,79.6,20.9,0.001,0.001
N20003025,FERMANAGH AND SOUTH TYRONE,88.4,0.898,71.3,60.4,82.1,21.7,0.001,0.001
N20003026,FERMANAGH AND SOUTH TYRONE,84.6,0.864,69.1,58.7,79.6,20.9,0.001,0.001
N20003027,FERMANAGH AND SOUTH TYRONE,38.9,0.462,43.2,37.0,49.5,12.5,0.962,0.038
N20003028,FERMANAGH AND SOUTH TYRONE,84.0,0.859,68.8,58.4,79.2,20.8,0.002,0.002
N20003030,FERMANAGH AND SOUTH TYRONE,86.7,0.883,70.3,59.6,81.0,21.4,0.001,0.001
N20003031,FERMANAGH AND SOUTH TYRONE,72.2,0.755,62.1,52.8,71.4,18.6,0.016,0.016
N20003032,FERMANAGH AND SOUTH TYRONE,83.7,0.856,68.6,58.2,79.0,20.8,0.002,0.002
N20003033,FERMANAGH AND SOUTH TYRONE,90.4,0.915,72.4,61.4,83.4,22.0,0.0,0.0
N20003034,FERMANAGH AND SOUTH TYRONE,73.1,0.763,62.6,53.3,72.0,18.7,0.014,0.014
N20003035,FERMANAGH AND SOUTH TYRONE,92.6,0.935,73.6,62.4,84.9,22.5,0.0,0.0
N20003036,FERMANAGH AND SOUTH TYRONE,47.2,0.535,47.9,41.0,54.9,13.9,0.686,0.314
N20003037,FERMANAGH AND SOUTH TYRONE,81.4,0.836,67.3,57.2,77.4,20.2,0.003,0.003
N20003038,FERMANAGH AND SOUTH TYRONE,65.3,0.694,58.2,49.6,66.8,17.2,0.06,0.06
N20003039,FERMANAGH AND SOUTH TYRONE,55.4,0.607,52.6,44.9,60.3,15.4,0.291,0.291
N20003040,FERMANAGH AND SOUTH TYRONE,44.7,0.513,46.5,39.8,53.3,13.5,0.801,0.199
N20003041,FERMANAGH AND SOUTH TYRONE,89.7,0.909,72.0,61.1,82.9,21.8,0.0,0.0
N20003042,FERMANAGH AND SOUTH TYRONE,81.1,0.833,67.1,57.0,77.2,20.2,0.003,0.003
N20003043,FERMANAGH AND SOUTH TYRONE,54.5,0.599,52.1,44.5,59.7,15.2,0.327,0.327
N20003044,FERMANAGH AND SOUTH TYRONE,53.3,0.589,51.4,43.9,58.9,15.0,0.38,0.38
N20003045,FERMANAGH AND SOUTH TYRONE,47.7,0.539,48.2,41.2,55.2,14.0,0.661,0.339
N20003046,FERMANAGH AND SOUTH TYRONE,57.6,0.626,53.8,45.9,61.7,15.8,0.213,0.213
N20003047,FERMANAGH AND SOUTH TYRONE,55.1,0.604,52.4,44.7,60.1,15.4,0.303,0.303
N20003048,FERMANAGH AND SOUTH TYRONE,18.5,0.282,31.7,27.1,36.3,9.2,1.0,0.0
N20003049,FERMANAGH AND SOUTH TYRONE,40.2,0.473,44.0,37.6,50.3,12.7,0.94,0.06
N20003050,FERMANAGH AND SOUTH TYRONE,52.0,0.577,50.7,43.3,58.1,14.8,0.442,0.442
N20003051,FERMANAGH AND SOUTH TYRONE,43.7,0.504,46.0,39.3,52.6,13.3,0.84,0.16
N20003052,FERMANAGH AND SOUTH TYRONE,10.8,0.214,27.3,23.2,31.4,8.2,1.0,0.0
N20003053,FERMANAGH AND SOUTH TYRONE,2.5,0.141,22.6,19.0,26.3,7.3,1.0,0.0
N20003054,FERMANAGH AND SOUTH TYRONE,40.6,0.477,44.2,37.8,50.6,12.8,0.932,0.068
N20003055,FERMANAGH AND SOUTH TYRONE,32.2,0.403,39.5,33.8,45.1,11.3,0.999,0.001
N20003056,FERMANAGH AND SOUTH TYRONE,40.7,0.478,44.3,37.9,50.7,12.8,0.929,0.071
N20003057,FERMANAGH AND SOUTH TYRONE,46.0,0.524,47.3,40.4,54.1,13.7,0.743,0.257
N20003058,FERMANAGH AND SOUTH TYRONE,75.6,0.785,64.0,54.4,73.6,19.2,0.008,0.008
N20003060,FERMANAGH AND SOUTH TYRONE,74.4,0.774,63.3,53.9,72.8,18.9,0.01,0.01
N20003061,FERMANAGH AND SOUTH TYRONE,84.0,0.859,68.8,58.4,79.2,20.8,0.002,0.002
N20003062,FERMANAGH AND SOUTH TYRONE,69.1,0.728,60.3,51.4,69.3,17.9,0.029,0.029
N20003063,MID ULSTER,91.5,0.925,73.0,61.9,84.1,22.2,0.0,0.0
N20003064,MID ULSTER,86.3,0.879,70.1,59.5,80.7,21.2,0.001,0.001
N20003065,FERMANAGH AND SOUTH TYRONE,62.2,0.667,56.4,48.1,64.8,16.7,0.103,0.103
N20003066,FERMANAGH AND SOUTH TYRONE,46.6,0.53,47.6,40.7,54.5,13.8,0.715,0.285
N20003068,FERMANAGH AND SOUTH TYRONE,88.1,0.895,71.1,60.3,81.9,21.6,0.001,0.001
N20003070,FERMANAGH AND SOUTH TYRONE,42.2,0.491,45.1,38.6,51.6,13.0,0.89,0.11
N20003071,FERMANAGH AND SOUTH TYRONE,54.4,0.598,52.0,44.4,59.6,15.2,0.332,0.332
N20003072,FERMANAGH AND SOUTH TYRONE,43.6,0.503,45.9,39.3,52.5,13.2,0.844,0.156
N20003073,FERMANAGH AND SOUTH TYRONE,74.8,0.778,63.6,54.1,73.1,19.0,0.01,0.01
N20003074,FERMANAGH AND SOUTH TYRONE,48.9,0.55,48.9,41.8,56.0,14.2,0.599,0.401
N20003076,FERMANAGH AND SOUTH TYRONE,83.5,0.855,68.5,58.1,78.8,20.7,0.002,0.002
N20003077,FERMANAGH AND SOUTH TYRONE,52.2,0.579,50.8,43.4,58.2,14.8,0.432,0.432
N20003079,FERMANAGH AND SOUTH TYRONE,66.4,0.704,58.8,50.1,67.5,17.4,0.049,0.049
N20003080,FERMANAGH AND SOUTH TYRONE,36.6,0.441,41.9,35.9,48.0,12.1,0.986,0.014
N20003081,FERMANAGH AND SOUTH TYRONE,47.5,0.537,48.1,41.1,55.1,14.0,0.671,0.329
N20003082,FERMANAGH AND SOUTH TYRONE,69.5,0.731,60.6,51.6,69.6,18.0,0.027,0.027
N20003083,FERMANAGH AND SOUTH TYRONE,53.8,0.593,51.7,44.1,59.2,15.1,0.358,0.358
N20003084,FERMANAGH AND SOUTH TYRONE,28.1,0.367,37.1,31.8,42.5,10.7,1.0,0.0
N20003085,FERMANAGH AND SOUTH TYRONE,48.1,0.543,48.5,41.4,55.5,14.1,0.641,0.359
N20003086,FERMANAGH AND SOUTH TYRONE,56.0,0.612,52.9,45.2,60.7,15.5,0.268,0.268
N20003087,FERMANAGH AND SOUTH TYRONE,57.5,0.626,53.8,45.9,61.7,15.8,0.216,0.216
N20003088,FERMANAGH AND SOUTH TYRONE,54.5,0.599,52.1,44.5,59.7,15.2,0.327,0.327
N20003089,FERMANAGH AND SOUTH TYRONE,61.5,0.661,56.0,47.8,64.3,16.5,0.115,0.115
N20003090,FERMANAGH AND SOUTH TYRONE,48.0,0.542,48.4,41.4,55.4,14.0,0.646,0.354
N20003091,FERMANAGH AND SOUTH TYRONE,50.1,0.56,49.6,42.4,56.8,14.4,0.537,0.463
N20003092,FERMANAGH AND SOUTH TYRONE,44.2,0.508,46.2,39.6,52.9,13.3,0.821,0.179
N20003093,FERMANAGH AND SOUTH TYRONE,44.3,0.509,46.3,39.6,53.0,13.4,0.817,0.183
N20003094,FERMANAGH AND SOUTH TYRONE,14.6,0.248,29.5,25.2,33.8,8.6,1.0,0.0
N20003095,FERMANAGH AND SOUTH TYRONE,23.6,0.327,34.6,29.6,39.6,10.0,1.0,0.0
N20003097,FERMANAGH AND SOUTH TYRONE,15.6,0.256,30.1,25.7,34.5,8.8,1.0,0.0
N20003100,FERMANAGH AND SOUTH TYRONE,40.6,0.477,44.2,37.8,50.6,12.8,0.932,0.068
N20003102,NEWRY AND ARMAGH,32.3,0.417,39.5,33.7,45.3,11.6,0.998,0.002
N20003103,NEWRY AND ARMAGH,54.9,0.612,52.3,44.6,60.1,15.5,0.313,0.313
N20003104,NEWRY AND ARMAGH,51.1,0.579,50.2,42.7,57.6,14.9,0.487,0.487
N20003105,NEWRY AND ARMAGH,35.0,0.44,41.0,35.0,47.1,12.1,0.993,0.007
N20003107,NEWRY AND ARMAGH,78.3,0.813,65.5,55.7,75.4,19.7,0.005,0.005
N20003108,NEWRY AND ARMAGH,56.9,0.629,53.4,45.5,61.4,15.9,0.239,0.239
N20003109,NEWRY AND ARMAGH,57.5,0.634,53.8,45.8,61.8,16.0,0.219,0.219
N20003110,NEWRY AND ARMAGH,71.8,0.757,61.9,52.6,71.2,18.6,0.018,0.018
N20003111,NEWRY AND ARMAGH,84.9,0.87,69.3,58.8,79.8,21.0,0.001,0.001
N20003112,NEWRY AND ARMAGH,86.2,0.881,70.0,59.4,80.7,21.3,0.001,0.001
N20003113,NEWRY AND ARMAGH,73.2,0.769,62.7,53.2,72.1,18.9,0.014,0.014
N20003114,NEWRY AND ARMAGH,87.1,0.889,70.5,59.8,81.2,21.4,0.001,0.001
N20003115,NEWRY AND ARMAGH,92.2,0.933,73.4,62.2,84.6,22.4,0.0,0.0
N20003118,NEWRY AND ARMAGH,85.3,0.873,69.5,59.0,80.1,21.1,0.001,0.001
N20003119,NEWRY AND ARMAGH,74.8,0.783,63.6,54.0,73.1,19.1,0.01,0.01
N20003120,NEWRY AND ARMAGH,88.8,0.904,71.5,60.6,82.4,21.8,0.001,0.001
N20003123,NEWRY AND ARMAGH,91.7,0.929,73.1,62.0,84.3,22.3,0.0,0.0
N20003124,NEWRY AND ARMAGH,96.4,0.969,75.8,64.2,87.4,23.2,0.0,0.0
N20003125,NEWRY AND ARMAGH,36.2,0.45,41.7,35.6,47.8,12.2,0.987,0.013
N20003126,NEWRY AND ARMAGH,91.8,0.929,73.2,62.0,84.4,22.4,0.0,0.0
N20003127,NEWRY AND ARMAGH,89.0,0.905,71.6,60.7,82.5,21.8,0.001,0.001
N20003128,NEWRY AND ARMAGH,81.1,0.837,67.1,57.0,77.3,20.3,0.003,0.003
N20003129,NEWRY AND ARMAGH,95.6,0.962,75.3,63.8,86.9,23.1,0.0,0.0
N20003131,NEWRY AND ARMAGH,92.7,0.937,73.7,62.5,84.9,22.4,0.0,0.0
N20003133,NEWRY AND ARMAGH,94.4,0.952,74.7,63.3,86.1,22.8,0.0,0.0
N20003134,NEWRY AND ARMAGH,92.0,0.931,73.3,62.1,84.5,22.4,0.0,0.0
N20003135,NEWRY AND ARMAGH,94.3,0.951,74.6,63.2,86.0,22.8,0.0,0.0
N20003136,NEWRY AND ARMAGH,89.7,0.911,72.0,61.0,83.0,22.0,0.0,0.0
N20003137,NEWRY AND ARMAGH,94.0,0.948,74.4,63.1,85.8,22.7,0.0,0.0
N20003138,NEWRY AND ARMAGH,93.9,0.947,74.4,63.0,85.7,22.7,0.0,0.0
N20003143,NEWRY AND ARMAGH,96.2,0.967,75.7,64.1,87.3,23.2,0.0,0.0
N20003147,NEWRY AND ARMAGH,90.5,0.918,72.5,61.4,83.5,22.1,0.0,0.0
N20003149,NEWRY AND ARMAGH,95.1,0.958,75.1,63.6,86.5,22.9,0.0,0.0
N20003151,NEWRY AND ARMAGH,94.4,0.952,74.7,63.3,86.1,22.8,0.0,0.0
N20003152,NEWRY AND ARMAGH,93.3,0.942,74.0,62.7,85.3,22.6,0.0,0.0
N20003153,NEWRY AND ARMAGH,95.0,0.957,75.0,63.5,86.5,23.0,0.0,0.0
N20003154,NEWRY AND ARMAGH,51.9,0.586,50.6,43.1,58.1,15.0,0.447,0.447
N20003155,SOUTH DOWN,83.8,0.863,68.7,58.2,79.1,20.9,0.002,0.002
N20003156,SOUTH DOWN,87.8,0.897,70.9,60.1,81.7,21.6,0.001,0.001
N20003157,NEWRY AND ARMAGH,94.0,0.948,74.4,63.1,85.8,22.7,0.0,0.0
N20003158,NEWRY AND ARMAGH,77.4,0.805,65.0,55.2,74.8,19.6,0.006,0.006
N20003159,NEWRY AND ARMAGH,90.1,0.915,72.2,61.2,83.2,22.0,0.0,0.0
N20003160,SOUTH DOWN,88.0,0.899,71.0,60.2,81.9,21.7,0.001,0.001
N20003161,NEWRY AND ARMAGH,78.8,0.817,65.8,55.9,75.8,19.9,0.005,0.005
N20003162,NEWRY AND ARMAGH,90.3,0.916,72.3,61.3,83.4,22.1,0.0,0.0
N20003163,NEWRY AND ARMAGH,82.6,0.85,68.0,57.7,78.3,20.6,0.002,0.002
N20003164,NEWRY AND ARMAGH,89.9,0.913,72.1,61.1,83.1,22.0,0.0,0.0
N20003165,NEWRY AND ARMAGH,89.0,0.905,71.6,60.7,82.5,21.8,0.001,0.001
N20003166,NEWRY AND ARMAGH,93.5,0.944,74.2,62.8,85.5,22.7,0.0,0.0
N20003167,NEWRY AND ARMAGH,95.1,0.958,75.1,63.6,86.5,22.9,0.0,0.0
N20003168,NEWRY AND ARMAGH,85.8,0.878,69.8,59.2,80.4,21.2,0.001,0.001
N20003169,NEWRY AND ARMAGH,90.7,0.92,72.6,61.5,83.6,22.1,0.0,0.0
N20003170,NEWRY AND ARMAGH,84.1,0.863,68.8,58.4,79.3,20.9,0.002,0.002
N20003171,NEWRY AND ARMAGH,84.0,0.862,68.8,58.3,79.2,20.9,0.002,0.002
N20003172,NEWRY AND ARMAGH,79.1,0.82,66.0,56.0,76.0,20.0,0.004,0.004
N20003173,NEWRY AND ARMAGH,91.2,0.924,72.8,61.7,84.0,22.3,0.0,0.0
N20003174,NEWRY AND ARMAGH,83.2,0.855,68.3,58.0,78.7,20.7,0.002,0.002
N20003175,NEWRY AND ARMAGH,88.1,0.897,71.1,60.3,81.9,21.6,0.001,0.001
N20003176,NEWRY AND ARMAGH,87.5,0.892,70.8,60.0,81.5,21.5,0.001,0.001
N20003177,NEWRY AND ARMAGH,89.6,0.91,71.9,61.0,82.9,21.9,0.001,0.001
N20003179,NEWRY AND ARMAGH,73.0,0.767,62.5,53.1,71.9,18.8,0.014,0.014
N20003180,NEWRY AND ARMAGH,85.8,0.878,69.8,59.2,80.4,21.2,0.001,0.001
N20003181,NEWRY AND ARMAGH,87.5,0.892,70.8,60.0,81.5,21.5,0.001,0.001
N20003182,NEWRY AND ARMAGH,90.1,0.915,72.2,61.2,83.2,22.0,0.0,0.0
N20003183,NEWRY AND ARMAGH,92.1,0.932,73.4,62.2,84.5,22.3,0.0,0.0
N20003184,NEWRY AND ARMAGH,95.5,0.961,75.3,63.8,86.8,23.0,0.0,0.0
N20003185,NEWRY AND ARMAGH,87.3,0.891,70.6,59.9,81.4,21.5,0.001,0.001
N20003187,NEWRY AND ARMAGH,88.6,0.902,71.4,60.5,82.2,21.7,0.001,0.001
N20003188,NEWRY AND ARMAGH,94.2,0.95,74.5,63.2,85.9,22.7,0.0,0.0
N20003189,NEWRY AND ARMAGH,88.1,0.897,71.1,60.3,81.9,21.6,0.001,0.001
N20003190,NEWRY AND ARMAGH,74.0,0.776,63.1,53.6,72.6,19.0,0.012,0.012
N20003191,NEWRY AND ARMAGH,93.4,0.943,74.1,62.8,85.4,22.6,0.0,0.0
N20003192,NEWRY AND ARMAGH,91.9,0.93,73.2,62.1,84.4,22.3,0.0,0.0
N20003193,NEWRY AND ARMAGH,85.5,0.875,69.6,59.1,80.2,21.1,0.001,0.001
N20003194,NEWRY AND ARMAGH,95.0,0.957,75.0,63.5,86.5,23.0,0.0,0.0
N20003195,NEWRY AND ARMAGH,89.4,0.909,71.8,60.9,82.8,21.9,0.001,0.001
N20003196,NEWRY AND ARMAGH,84.8,0.869,69.2,58.7,79.7,21.0,0.001,0.001
N20003197,NEWRY AND ARMAGH,91.6,0.928,73.1,61.9,84.2,22.3,0.0,0.0
N20003198,NEWRY AND ARMAGH,91.4,0.926,73.0,61.8,84.1,22.3,0.0,0.0
N20003199,NEWRY AND ARMAGH,89.2,0.907,71.7,60.8,82.6,21.8,0.001,0.001
N20003200,NEWRY AND ARMAGH,92.5,0.935,73.6,62.4,84.8,22.4,0.0,0.0
N20003202,NEWRY AND ARMAGH,93.4,0.943,74.1,62.8,85.4,22.6,0.0,0.0
N20003204,NEWRY AND ARMAGH,92.4,0.935,73.5,62.3,84.7,22.4,0.0,0.0
N20003205,NEWRY AND ARMAGH,96.1,0.966,75.6,64.1,87.2,23.1,0.0,0.0
N20003207,SOUTH DOWN,88.4,0.902,71.3,60.4,82.1,21.7,0.001,0.001
N20003208,SOUTH DOWN,33.3,0.436,40.1,34.1,46.1,12.0,0.997,0.003
N20003209,SOUTH DOWN,46.1,0.544,47.3,40.3,54.4,14.1,0.733,0.267
N20003210,SOUTH DOWN,68.4,0.733,59.9,50.9,69.0,18.1,0.035,0.035
N20003211,SOUTH DOWN,86.5,0.886,70.2,59.5,80.9,21.4,0.001,0.001
N20003213,SOUTH DOWN,60.6,0.667,55.5,47.2,63.9,16.7,0.138,0.138
N20003215,SOUTH DOWN,62.5,0.683,56.6,48.1,65.1,17.0,0.101,0.101
N20003216,SOUTH DOWN,81.8,0.846,67.5,57.3,77.8,20.5,0.003,0.003
N20003217,SOUTH DOWN,91.2,0.926,72.8,61.7,84.0,22.3,0.0,0.0
N20003218,SOUTH DOWN,92.2,0.934,73.4,62.2,84.6,22.4,0.0,0.0
N20003219,SOUTH DOWN,85.8,0.88,69.8,59.2,80.4,21.2,0.001,0.001
N20003221,SOUTH DOWN,88.7,0.905,71.4,60.5,82.3,21.8,0.001,0.001
