DZ21,yes,pop
N20002126,18.6,443.06
N20002669,11.2,403.98
N20002862,54.8,395.01
N20000063,27.6,316.05
N20003599,18.1,437.0
N20003499,17.1,269.96
N20000475,11.0,491.02
N20001249,19.2,499.96
N20002917,38.9,472.97
N20002300,19.6,400.05
N20001071,42.4,317.03
N20003223,54.0,342.0
N20002156,38.5,459.98
N20000897,18.7,350.01
N20001371,23.3,383.99
N20003610,15.8,190.98
N20001888,36.2,550.06
N20002784,11.4,283.99
N20002983,44.5,423.0
N20000783,51.8,447.03
N20000630,25.6,360.04
N20001276,54.1,357.01
N20001914,38.6,357.99
N20001692,15.0,513.05
N20003619,16.2,576.05
N20003302,52.6,511.02
N20002741,8.7,401.95
N20000268,22.2,562.01
N20003567,21.9,459.97
N20001632,24.7,560.01
N20002488,36.9,417.0
N20001716,28.0,701.98
N20002240,56.1,507.0
N20000741,52.6,376.99
N20002494,37.4,319.02
N20000788,50.6,571.01
N20003743,9.7,624.96
N20002295,39.7,511.02
N20001101,28.8,367.04
N20002405,21.4,404.01
N20002312,28.1,412.01
N20001547,12.5,595.02
N20003276,51.1,485.0
N20002447,10.2,481.98
N20002780,10.9,484.01
N20000435,46.8,509.98
N20001492,32.6,287.03
N20000355,55.6,406.99
N20001133,28.8,740.01
N20000030,13.2,402.0
N20001386,9.9,332.97
N20002874,54.3,294.97
N20002789,14.3,458.98
N20001680,55.0,473.99
N20002679,7.6,372.01
N20000107,13.2,323.01
N20002107,36.8,342.03
N20002852,55.9,469.03
N20000761,54.8,382.98
N20001351,54.8,449.96
N20002545,8.7,476.0
N20000291,41.7,277.0
N20002774,10.9,640.98
N20002911,38.5,616.01
N20001898,17.9,381.03
N20002183,53.0,585.99
N20000725,51.1,266.04
N20001298,55.6,476.0
N20000620,27.4,519.01
N20000293,37.7,446.0
N20000656,15.8,235.98
N20002111,32.3,377.0
N20003624,18.9,516.01
N20000178,35.1,314.99
N20001487,18.5,349.01
N20002858,49.3,410.99
N20002347,13.5,425.02
N20002825,13.5,578.0
N20001561,18.1,396.99
N20000818,49.0,357.97
N20001057,37.3,286.96
N20001538,47.7,375.02
N20000693,12.7,406.02
N20000279,22.1,1112.01
N20000231,30.3,418.0
N20000085,20.3,464.98
N20002880,35.1,418.02
N20000786,41.5,236.96
N20002860,50.8,628.0
N20002612,38.2,421.0
N20001195,45.7,565.04
N20001049,16.1,288.01
N20001282,55.9,401.0
N20003113,44.7,580.04
N20002846,11.6,526.0
N20000935,9.4,378.01
N20002421,22.4,250.02
N20000872,20.4,377.01
N20003089,38.2,626.03
N20003592,16.9,355.96
N20000057,31.9,392.01
N20000604,17.4,257.0
N20001443,53.2,293.97
N20000745,46.7,341.04
N20003410,50.4,372.96
N20003706,11.4,349.94
N20000447,30.1,404.97
N20003079,41.1,548.96
N20001006,12.7,500.99
N20002230,42.2,349.0
N20000550,15.9,348.0
N20000456,13.8,322.02
N20002374,13.3,389.98
N20002292,53.4,450.03
N20003658,10.8,334.99
N20003708,13.5,542.98
N20001034,11.4,445.0
N20000187,8.5,304.03
N20002387,25.2,487.02
N20003670,13.2,296.96
N20002876,21.7,443.0
N20000451,20.3,545.01
N20003455,13.3,259.97
N20002176,43.5,550.98
N20003561,26.4,401.0
N20003492,11.2,565.95
N20000126,15.6,470.01
N20000065,28.0,413.98
N20000158,16.6,504.99
N20002285,11.0,460.99
N20002691,30.3,532.97
N20000091,7.8,396.0
N20000941,19.9,519.0
N20001091,16.3,316.01
N20001964,54.6,289.98
N20000634,13.7,297.01
N20003626,14.1,434.0
N20000805,15.9,444.02
N20000731,44.1,503.02
N20002124,50.3,428.99
N20000706,54.6,550.0
N20003095,18.6,417.04
N20000298,53.6,515.04
N20000896,51.6,518.98
N20002752,8.7,266.01
N20002116,38.2,420.99
N20003731,10.0,338.01
N20003605,15.2,605.97
N20001477,47.9,477.01
N20001177,36.8,390.97
N20003398,49.6,372.0
N20000526,17.4,279.99
N20000716,13.6,528.95
N20002498,16.8,320.97
N20001137,34.0,461.02
N20001517,21.3,298.96
N20003253,49.2,391.01
N20000994,8.5,488.0
N20000610,21.4,448.02
N20001073,46.7,438.97
N20003508,11.5,439.97
N20000715,55.5,433.99
N20001183,40.3,369.99
N20001126,26.0,567.96
N20003456,9.4,421.03
N20002082,12.9,345.98
N20003264,44.5,383.01
N20000572,9.9,544.01
N20000655,9.3,334.96
N20003559,23.7,398.0
N20000162,16.7,647.01
N20001184,45.7,643.02
N20000820,9.1,347.01
N20001135,34.5,562.97
N20003588,14.2,330.03
N20000198,9.5,327.0
N20002048,53.8,460.97
N20002090,35.2,443.0
N20002818,10.6,356.01
N20001306,55.7,238.02
N20002690,33.0,330.0
N20000433,39.8,532.01
N20001108,24.1,202.97
N20001568,29.7,392.01
N20000501,18.9,368.06
N20002777,10.5,353.96
N20001307,46.1,416.0
N20002664,17.3,453.0
N20003573,21.2,401.0
N20001301,55.9,553.99
N20003213,37.9,653.98
N20003394,51.2,481.97
N20001937,36.0,362.99
N20003182,53.4,342.01
N20003126,54.3,626.98
N20003716,12.7,451.98
N20003752,9.9,340.0
N20002638,16.8,272.97
N20000876,16.7,236.04
N20000569,16.7,561.0
N20002641,53.2,354.96
N20002500,9.1,767.02
N20002486,36.4,234.04
N20000595,26.4,500.03
N20001715,32.8,676.92
N20000527,23.5,402.01
N20001032,23.0,267.02
N20000583,13.1,432.0
N20000707,53.8,387.0
N20003388,43.5,467.0
N20003043,34.9,495.02
N20003628,18.7,432.0
N20000056,23.2,356.02
N20000132,19.3,494.03
N20003044,34.5,352.98
N20000004,29.3,520.04
N20000699,24.1,422.02
N20002668,12.2,488.97
N20002450,13.2,407.05
N20002957,46.7,476.99
N20001169,36.4,417.0
N20002574,9.1,539.0
N20002956,54.2,525.02
N20002837,42.1,295.99
N20003228,52.3,472.99
N20002260,12.3,441.0
N20002623,12.3,306.02
N20000031,9.0,450.0
N20000870,10.6,311.01
N20000944,35.2,321.99
N20001131,42.3,550.97
N20002481,25.7,567.99
N20003523,9.1,469.0
N20000061,21.0,307.0
N20000754,47.6,181.0
N20002760,18.0,382.02
N20003502,12.5,564.01
N20003538,14.9,464.02
N20002984,45.4,480.02
N20000482,37.6,615.0
N20003065,38.7,633.98
N20002839,42.0,472.97
N20000208,48.0,326.04
N20000218,15.6,519.0
N20000250,50.7,286.03
N20001008,11.2,450.0
N20000221,15.6,432.01
N20001053,21.4,600.04
N20002036,30.9,366.02
N20002039,28.6,555.0
N20003090,31.7,392.0
N20000900,10.4,279.97
N20001214,25.9,346.0
N20001656,48.6,559.0
N20001587,18.8,502.97
N20001677,54.8,273.94
N20003740,8.9,423.99
N20001756,47.9,309.0
N20000043,25.9,550.98
N20003642,22.6,308.96
N20000235,30.8,299.03
N20002164,36.1,652.0
N20001380,8.6,539.03
N20001556,15.1,231.98
N20003627,12.9,369.97
N20000104,9.8,386.98
N20000919,12.7,329.02
N20001016,12.3,507.99
N20001092,10.9,336.01
N20003072,29.5,346.95
N20000654,43.1,367.03
N20001895,46.3,547.01
N20002810,10.5,378.02
N20000326,12.0,428.97
N20003534,11.7,329.01
N20000710,47.9,681.01
N20002299,27.6,402.98
N20001558,19.3,443.99
N20003166,55.4,249.03
N20002200,12.0,404.02
N20003306,13.3,368.03
N20003466,9.7,460.99
N20001827,54.7,424.97
N20003661,13.8,330.0
N20000500,49.2,322.95
N20002153,21.1,433.01
N20002476,35.0,545.99
N20001951,31.0,462.01
N20001721,25.4,442.98
N20003532,11.2,401.98
N20002007,24.3,476.0
N20000106,9.9,342.04
N20003591,14.7,217.03
N20003558,22.5,342.98
N20002496,34.1,551.99
N20003602,16.2,360.98
N20003687,11.7,323.97
N20000575,14.4,488.03
N20003119,44.8,207.98
N20000215,20.7,387.0
N20001070,39.5,534.96
N20003637,15.1,385.95
N20003553,22.6,660.03
N20003250,51.8,423.98
N20003340,32.7,418.99
N20000346,40.3,501.03
N20003193,51.5,398.97
N20001292,21.4,438.03
N20001640,11.2,411.02
N20002359,30.2,182.04
N20000517,10.4,398.99
N20001624,22.4,371.0
N20002595,21.2,492.96
N20000069,24.2,363.02
N20000059,35.8,332.0
N20000893,16.0,402.02
N20003379,38.4,326.01
N20002882,49.0,613.01
N20000732,51.3,400.98
N20003406,46.2,335.05
N20003143,56.7,371.0
N20001672,8.5,486.99
N20002398,27.5,316.01
N20001916,36.0,576.02
N20002444,11.8,460.0
N20000210,51.2,499.98
N20000201,27.7,470.98
N20000975,18.1,491.03
N20002453,16.5,353.99
N20002305,35.7,388.98
N20002823,12.6,576.98
N20003382,25.7,291.0
N20001160,40.1,295.01
N20001396,11.8,336.05
N20001522,11.6,285.01
N20003780,37.9,382.01
N20001952,14.2,424.0
N20002445,12.9,488.96
N20003319,50.2,742.01
N20003451,11.6,336.98
N20000468,16.2,368.01
N20001089,9.8,187.01
N20002220,40.7,370.04
N20000804,40.4,290.05
N20002368,16.6,382.96
N20000119,8.4,270.0
N20002722,15.1,345.0
N20000383,21.2,521.03
N20000841,36.1,645.03
N20003156,52.3,516.0
N20000076,30.1,310.0
N20000396,12.5,318.96
N20001851,42.1,386.01
N20001549,13.5,387.97
N20000064,24.2,351.01
N20000025,29.8,263.0
N20003273,41.6,506.01
N20001407,11.3,232.98
N20001354,54.7,377.93
N20003103,34.9,636.97
N20002707,15.5,330.98
N20003385,32.0,366.01
N20001286,53.2,181.97
N20001305,56.4,401.99
N20003422,46.4,461.97
N20003383,35.1,375.03
N20003358,11.8,583.04
N20002885,54.6,557.93
N20002181,30.6,437.04
N20003557,14.3,225.97
N20000681,11.7,525.99
N20001984,55.2,369.03
N20003552,20.6,307.97
N20000867,13.5,298.0
N20000217,16.1,503.02
N20001720,16.1,584.0
N20003445,10.7,307.0
N20001635,27.1,505.99
N20000258,13.6,434.0
N20002296,25.8,518.0
N20000458,28.3,329.98
N20002061,29.0,706.98
N20000296,34.4,457.01
N20001596,15.1,508.97
N20000313,44.7,381.0
N20001334,56.0,605.0
N20000969,14.1,475.99
N20001529,9.4,333.0
N20003205,56.6,464.01
N20003191,55.2,454.0
N20000163,17.2,396.0
N20000234,35.8,335.01
N20003378,24.9,364.04
N20000621,33.2,638.99
N20002994,17.1,445.94
N20003537,14.4,477.98
N20000159,8.8,275.95
N20002675,9.3,253.04
N20000255,50.2,438.0
N20000247,42.6,357.01
N20002781,10.0,447.06
N20001095,14.3,442.0
N20000010,9.4,443.02
N20001132,31.8,487.98
N20001657,42.7,292.02
N20001609,19.5,255.96
N20001199,37.0,433.0
N20001857,14.4,337.01
N20002389,39.6,398.03
N20002358,26.7,267.02
N20002792,12.7,410.98
N20002451,8.7,497.02
N20003581,21.5,568.99
N20000923,13.3,321.99
N20002478,35.4,673.01
N20000219,30.8,600.01
N20000967,16.3,380.99
N20002758,13.6,375.0
N20000204,24.5,314.06
N20000613,23.6,277.0
N20001335,55.5,261.99
N20003649,16.4,453.03
N20003570,21.8,218.02
N20002213,47.7,537.02
N20003171,51.3,259.99
N20003411,49.3,574.03
N20001290,56.9,902.0
N20000242,19.5,366.03
N20001240,53.0,396.01
N20002353,21.6,582.97
N20001437,53.9,316.01
N20001696,11.8,431.0
N20002102,35.4,439.01
N20002730,17.4,346.02
N20002293,41.7,400.03
N20002044,43.3,403.02
N20003563,22.3,273.0
N20002357,28.3,349.03
N20000902,20.8,487.98
N20001402,15.0,440.03
N20001362,55.9,418.0
N20003137,55.5,564.99
N20003347,13.8,418.04
N20002034,29.6,291.01
N20001223,14.5,502.05
N20000648,15.0,471.01
N20003428,52.1,442.01
N20000422,46.8,632.96
N20002477,27.8,344.0
N20001027,27.8,311.03
N20001734,55.3,386.98
N20000072,20.5,447.02
N20000695,12.4,525.03
N20002372,20.1,617.98
N20002693,17.5,312.97
N20002744,10.1,638.04
N20000601,27.4,364.02
N20003749,9.4,282.0
N20000964,10.7,349.99
N20003453,9.8,402.01
N20003616,10.8,497.02
N20003682,10.6,326.97
N20001612,22.4,362.99
N20000137,10.2,407.04
N20001382,10.2,378.98
N20002125,36.3,388.96
N20000824,46.8,505.0
N20002377,40.8,509.06
N20003705,12.2,389.06
N20002336,16.1,514.02
N20001031,13.0,265.97
N20002807,10.2,268.99
N20001361,56.9,440.96
N20000443,26.6,311.02
N20000457,14.1,498.97
N20000785,54.7,380.03
N20000493,56.0,540.98
N20001689,15.2,540.04
N20000049,38.3,489.04
N20000244,46.4,539.98
N20000647,34.9,390.02
N20003324,44.3,678.99
N20001532,47.1,449.01
N20001780,56.4,524.03
N20002890,53.4,493.01
N20002798,16.8,350.04
N20001570,25.5,410.98
N20003531,11.1,366.98
N20001074,27.2,350.96
N20002264,15.4,438.97
N20002355,32.9,398.99
N20001252,55.4,407.97
N20002464,27.9,358.99
N20002828,14.1,306.04
N20003737,9.0,307.99
N20003292,18.4,597.98
N20000856,9.5,361.97
N20000261,11.1,705.02
N20002906,48.2,266.98
N20003542,10.7,370.05
N20002055,43.7,600.02
N20003151,55.7,339.99
N20001896,52.8,832.0
N20000770,44.6,379.01
N20002800,14.2,471.98
N20000233,35.0,392.99
N20000284,48.3,477.04
N20002521,9.7,391.0
N20002167,51.5,238.05
N20002891,32.8,615.02
N20003374,22.1,255.0
N20003243,53.2,450.01
N20001231,31.8,454.02
N20000730,13.5,565.0
N20001064,34.4,291.0
N20002835,14.9,474.06
N20003180,51.8,418.96
N20001961,36.3,453.0
N20001855,29.3,336.0
N20001044,12.7,379.02
N20001554,14.8,393.98
N20002622,9.8,318.02
N20000425,47.8,217.01
N20002146,42.7,366.99
N20000989,8.2,353.98
N20001167,35.9,559.97
N20002310,29.6,608.06
N20001481,41.7,887.02
N20002863,53.5,564.02
N20000597,38.2,212.01
N20000905,20.2,346.01
N20002064,42.5,365.0
N20001321,53.3,463.06
N20003721,11.2,349.0
N20003155,50.0,559.01
N20001072,41.2,439.03
N20001140,28.4,515.95
N20000952,13.6,361.02
N20003539,20.1,304.01
N20000128,14.3,554.99
N20000574,14.9,607.98
N20002646,27.0,581.99
N20001300,53.4,449.97
N20001684,54.5,580.01
N20001084,19.7,703.04
N20002853,17.3,584.01
N20002361,35.6,269.02
N20003545,17.4,524.96
N20000871,13.3,333.01
N20001594,16.3,471.97
N20002556,9.0,397.99
N20003263,47.1,361.98
N20000674,15.1,468.97
N20002560,26.6,292.0
N20001069,40.7,378.01
N20000882,24.3,417.01
N20001235,53.9,278.0
N20003100,27.8,399.04
N20003519,12.1,301.97
N20001277,55.0,541.98
N20002110,20.4,210.0
N20002185,50.9,289.04
N20001336,53.7,212.0
N20002939,14.8,226.03
N20000602,25.5,382.99
N20000362,16.8,494.97
N20002471,34.2,348.0
N20000393,20.9,401.02
N20001660,47.2,666.05
N20000039,24.4,436.94
N20002829,11.4,437.01
N20002290,51.9,366.02
N20000793,47.6,426.06
N20002653,9.1,444.02
N20003594,13.3,429.99
N20000705,39.5,358.99
N20003638,15.0,374.99
N20000508,51.2,312.97
N20002040,46.5,555.01
N20003222,51.8,437.99
N20003380,43.4,441.99
N20000668,12.0,181.03
N20001404,11.1,345.99
N20002597,25.8,345.02
N20000585,15.8,387.01
N20000937,18.4,395.03
N20001913,49.5,436.05
N20001928,34.7,339.94
N20002727,24.1,371.02
N20002946,45.6,305.0
N20003149,56.0,676.02
N20002271,18.6,336.0
N20002360,20.6,363.0
N20000334,34.5,463.02
N20001998,50.2,507.0
N20000537,11.0,422.0
N20000495,55.7,433.02
N20002794,12.3,344.01
N20003391,44.5,486.0
N20002875,55.1,462.01
N20002465,32.3,350.01
N20003317,36.4,692.95
N20003107,47.1,577.99
N20002927,49.8,391.97
N20001922,22.1,399.0
N20002528,15.6,241.01
N20001212,54.9,244.99
N20002449,9.6,474.03
N20000678,10.9,470.01
N20003436,10.6,511.03
N20001281,48.1,251.0
N20001320,55.4,376.0
N20002000,36.2,426.02
N20000557,9.5,375.99
N20000797,36.4,446.98
N20001178,32.6,443.03
N20001050,13.8,475.0
N20001713,12.3,399.99
N20000289,45.6,272.0
N20002217,13.7,396.02
N20002109,27.1,362.0
N20002639,27.6,547.99
N20001021,26.4,400.02
N20001574,33.5,453.02
N20002867,11.5,695.96
N20003040,30.0,595.98
N20000315,30.3,423.97
N20003281,37.7,485.98
N20000054,14.8,412.03
N20001856,9.7,388.01
N20002569,12.2,309.01
N20001279,54.8,419.02
N20001565,17.5,369.98
N20001274,48.8,300.03
N20003301,21.0,493.98
N20003454,10.5,356.01
N20000628,16.5,411.01
N20003345,55.9,316.97
N20000385,13.8,263.05
N20000401,42.8,495.01
N20000273,47.8,291.99
N20002541,10.7,376.04
N20000521,23.2,527.0
N20000295,39.0,548.0
N20000544,11.5,444.97
N20000336,40.7,339.01
N20003527,12.2,259.99
N20000134,19.0,534.96
N20000371,53.8,478.01
N20000236,26.0,392.06
N20002284,11.8,662.98
N20000144,14.6,310.98
N20001103,32.9,488.99
N20000232,33.4,247.0
N20001204,52.1,402.03
N20001287,55.0,308.98
N20000266,15.3,299.05
N20001572,20.5,466.96
N20002338,18.9,222.0
N20002747,9.4,496.02
N20003623,14.3,477.0
N20002268,16.8,856.98
N20003547,15.6,575.95
N20001458,39.9,435.99
N20002755,12.3,431.97
N20001220,17.2,435.02
N20003423,51.5,455.98
N20000055,14.7,260.02
N20000318,52.6,390.97
N20001652,33.1,435.02
N20001588,21.1,302.0
N20002021,25.1,311.03
N20002139,24.6,503.98
N20000536,50.0,659.03
N20001035,37.9,442.02
N20000400,30.1,389.04
N20000032,51.1,348.95
N20000669,10.7,391.01
N20002778,11.5,573.02
N20002903,41.3,456.99
N20000992,13.0,314.04
N20002437,18.3,534.97
N20000016,35.2,359.99
N20002695,20.1,409.0
N20001194,30.7,262.99
N20001667,53.0,363.02
N20003351,16.8,306.01
N20003435,8.7,312.0
N20003297,27.6,474.97
N20003257,44.8,571.99
N20001597,8.3,611.01
N20003366,12.3,472.98
N20001087,23.9,864.97
N20000958,12.4,578.0
N20003442,9.1,276.96
N20002084,22.2,441.99
N20000835,13.7,570.01
N20000859,16.9,326.01
N20001304,53.1,401.0
N20002022,15.7,436.0
N20002452,12.9,406.03
N20000185,12.6,206.99
N20003384,43.3,433.0
N20002162,48.3,425.97
N20002740,11.9,473.99
N20003517,10.2,245.98
N20000984,19.1,418.99
N20002735,17.5,450.02
N20000974,14.8,335.01
N20002344,19.3,474.02
N20000167,18.3,263.04
N20002538,12.8,331.0
N20003304,36.2,661.06
N20001039,12.4,477.97
N20001651,40.4,117.97
N20001118,45.3,412.01
N20002148,27.7,526.95
N20000749,49.2,412.0
N20002122,26.6,520.03
N20002118,12.8,310.02
N20000290,43.2,224.0
N20001655,46.4,475.05
N20002247,38.7,471.99
N20001707,10.0,332.98
N20001400,13.5,210.98
N20001423,51.7,193.95
N20001599,24.0,353.97
N20002298,19.2,389.99
N20002480,33.8,386.02
N20001319,53.7,271.98
N20002942,29.1,562.02
N20000982,15.8,493.01
N20003447,9.2,282.98
N20002426,15.8,378.04
N20000907,18.4,362.01
N20002491,27.5,454.03
N20003071,34.6,442.02
N20000149,17.5,515.0
N20001187,36.7,223.98
N20002208,42.4,299.01
N20002915,24.7,531.96
N20002515,12.2,439.01
N20000172,29.2,458.01
N20003478,9.1,415.01
N20002697,23.5,382.98
N20003712,12.4,539.97
N20003684,11.1,451.0
N20000825,35.6,267.96
N20002475,29.2,402.02
N20000267,38.7,572.0
N20002429,10.1,393.96
N20001864,21.1,297.06
N20001573,28.6,421.95
N20003275,38.7,403.04
N20001233,33.4,412.02
N20002547,14.8,505.0
N20001902,21.3,379.07
N20003402,50.4,330.02
N20001216,25.7,234.02
N20001542,35.9,672.96
N20001989,43.9,560.01
N20000528,55.3,346.0
N20002619,12.1,437.99
N20000282,34.8,363.0
N20000264,21.8,538.98
N20001166,43.5,466.99
N20000642,33.5,333.0
N20003761,19.9,519.97
N20000568,15.4,387.0
N20002330,16.2,443.03
N20001079,37.2,304.0
N20002462,21.1,388.07
N20001901,54.0,442.03
N20000831,51.6,419.01
N20002193,47.8,434.03
N20000955,12.8,293.96
N20002667,12.6,289.01
N20003328,41.9,618.08
N20002455,19.3,286.94
N20001186,43.3,474.0
N20001621,25.7,424.01
N20000372,53.5,460.98
N20003370,13.1,535.97
N20000454,48.7,245.99
N20000928,18.1,252.02
N20000460,17.3,540.98
N20000995,18.3,599.02
N20000228,15.8,348.98
N20002225,50.6,368.98
N20002710,17.5,402.95
N20000833,47.0,425.98
N20002306,36.8,420.98
N20000237,23.4,331.01
N20002248,53.4,611.0
N20002970,53.0,474.02
N20000908,18.0,361.02
N20001152,32.0,320.98
N20002129,37.9,470.99
N20002736,13.5,336.01
N20000609,25.5,481.01
N20000548,13.0,406.01
N20002440,10.2,537.02
N20002596,33.7,281.04
N20001125,27.8,307.01
N20002273,19.2,460.0
N20003692,9.8,171.0
N20001714,12.8,345.01
N20002520,11.4,424.99
N20002079,53.8,527.01
N20003497,8.9,326.01
N20002848,48.2,631.01
N20001077,32.1,529.97
N20002726,22.2,489.03
N20001757,55.5,430.03
N20003233,54.0,427.04
N20000898,19.0,243.01
N20001666,19.9,420.03
N20000078,16.7,273.99
N20001192,54.7,434.98
N20001278,53.4,387.04
N20001113,40.8,472.01
N20001159,37.8,377.0
N20002986,40.1,441.02
N20000747,49.7,328.99
N20001875,22.4,516.0
N20003271,42.2,355.0
N20003747,9.9,384.98
N20001576,27.5,316.95
N20000924,19.8,358.03
N20002666,14.2,401.96
N20003006,52.4,511.99
N20001063,33.3,502.03
N20002243,45.2,368.0
N20003320,32.7,358.99
N20003412,53.0,368.99
N20000733,45.2,456.97
N20001377,14.2,335.05
N20002130,19.6,517.99
N20001794,45.6,267.02
N20003476,11.3,504.01
N20001232,18.2,464.01
N20002967,20.1,447.99
N20002303,18.4,421.99
N20003663,14.8,338.01
N20001219,26.1,341.04
N20001398,9.8,294.02
N20002294,24.7,420.04
N20003430,51.8,351.02
N20001413,18.2,434.03
N20000431,54.2,383.01
N20002888,54.4,410.98
N20001627,10.5,534.04
N20001947,16.6,448.0
N20002297,27.4,487.99
N20000020,34.1,452.05
N20001326,56.9,497.99
N20001872,37.1,476.97
N20000177,33.8,292.01
N20001491,29.4,485.0
N20003169,53.7,533.99
N20003325,44.8,333.96
N20000027,32.1,361.0
N20002678,9.4,510.98
N20000579,11.8,497.04
N20000711,9.3,622.0
N20002958,46.2,230.01
N20001607,20.9,389.02
N20000672,11.0,271.03
N20002531,11.9,290.98
N20001359,56.2,428.96
N20000117,8.2,291.98
N20001591,17.5,494.05
N20003698,11.9,516.03
N20003746,10.1,423.03
N20001643,10.3,303.99
N20002414,18.4,419.0
N20002502,11.7,356.99
N20000697,11.9,480.01
N20003578,14.8,554.96
N20002276,21.1,395.02
N20000489,56.8,354.96
N20002524,13.4,441.02
N20000962,9.4,533.0
N20000174,8.1,485.02
N20000060,28.7,285.01
N20001248,54.3,299.0
N20000096,8.7,463.98
N20000094,9.6,299.0
N20000073,15.3,384.95
N20002466,30.4,201.03
N20001000,10.1,302.03
N20001997,54.5,466.95
N20003165,53.2,424.97
N20001175,31.3,289.96
N20003313,39.7,472.96
N20003269,49.8,383.02
N20001100,16.0,348.01
N20003482,14.7,418.01
N20002564,9.8,574.98
N20003484,10.1,455.02
N20002320,14.1,542.98
N20002588,39.2,415.01
N20003755,11.8,395.0
N20000453,49.5,362.99
N20001246,56.9,617.04
N20000885,19.0,312.0
N20001242,54.2,562.93
N20003577,19.2,333.0
N20001059,29.1,386.97
N20001708,13.9,390.02
N20002206,19.4,246.98
N20000855,33.2,1470.01
N20003618,10.5,313.01
N20001272,55.2,481.93
N20001992,41.2,313.01
N20002168,34.6,570.98
N20003481,10.1,294.97
N20000934,25.6,415.99
N20000667,13.7,299.01
N20001389,10.1,374.01
N20001379,10.2,412.99
N20003595,14.3,481.0
N20002346,20.1,306.02
N20000312,47.6,585.98
N20001582,18.0,380.97
N20003393,42.3,530.03
N20002212,51.3,316.94
N20000241,22.0,237.99
N20002404,17.7,873.01
N20002233,43.8,430.01
N20001451,36.1,239.98
N20002663,17.6,584.97
N20003571,18.4,371.98
N20001181,37.3,242.0
N20002728,20.7,328.01
N20002275,18.8,449.99
N20000207,52.3,369.0
N20000853,14.2,399.98
N20003208,23.4,340.98
N20000930,15.4,204.0
N20003660,11.7,278.05
N20001990,37.9,640.03
N20000102,10.5,362.98
N20000188,17.8,434.99
N20001691,14.2,338.98
N20001637,25.6,414.98
N20000950,16.2,413.99
N20001908,32.6,369.02
N20000470,11.0,343.02
N20002725,16.3,236.95
N20000894,38.4,397.01
N20002692,22.7,378.07
N20001603,22.9,351.94
N20002578,10.0,410.98
N20002724,21.3,278.94
N20002443,11.1,342.02
N20003572,10.0,419.0
N20002253,18.2,258.99
N20003312,12.8,327.0
N20001054,14.1,381.0
N20002262,14.0,430.0
N20002099,39.2,336.0
N20002651,10.0,359.99
N20001210,15.1,387.02
N20002982,51.4,486.0
N20003565,21.2,339.99
N20000608,21.8,369.97
N20003038,41.4,421.0
N20002708,16.6,294.01
N20003429,44.7,562.96
N20001630,27.5,383.01
N20001121,40.4,525.98
N20000795,21.0,529.95
N20002166,46.7,217.95
N20000121,9.9,578.01
N20003759,39.9,359.02
N20003529,16.6,285.01
N20001024,38.2,501.03
N20000183,9.9,352.01
N20001741,52.8,304.97
N20000301,45.8,506.99
N20002928,28.3,610.99
N20002694,23.6,354.03
N20002642,38.5,441.02
N20000414,15.9,355.96
N20000947,11.0,297.03
N20000957,12.7,359.0
N20001156,31.1,579.99
N20001345,54.6,379.02
N20003459,8.9,324.05
N20002458,34.9,485.98
N20000317,52.0,488.96
N20003593,16.6,258.01
N20003046,36.6,481.01
N20003086,35.4,391.06
N20003544,17.7,276.99
N20002363,22.8,425.01
N20001065,12.1,433.01
N20000591,16.3,356.02
N20003647,15.5,463.97
N20000742,15.9,321.99
N20002490,27.1,527.01
N20000814,43.0,273.03
N20000694,15.2,557.02
N20003471,19.5,561.0
N20000271,36.6,342.0
N20003005,52.5,192.02
N20002526,15.7,419.94
N20001381,8.1,564.0
N20001884,38.2,753.04
N20001622,22.6,368.0
N20003641,16.2,242.05
N20003242,47.4,370.99
N20002713,17.4,392.96
N20001036,19.4,321.01
N20001445,49.6,303.0
N20001920,38.5,385.99
N20003125,25.1,559.04
N20001221,31.3,348.0
N20001198,40.4,394.97
N20002093,31.6,459.02
N20002836,18.7,482.0
N20000343,34.6,496.03
N20002871,34.7,598.03
N20002012,52.9,317.99
N20002035,28.9,372.0
N20000685,14.8,603.99
N20001265,56.2,446.97
N20003399,51.2,490.99
N20000998,14.4,296.0
N20002397,23.0,432.02
N20002249,29.9,449.03
N20000594,19.4,309.0
N20001158,41.6,383.97
N20002087,35.7,405.01
N20002628,15.6,417.01
N20001045,12.7,322.01
N20000046,17.7,445.98
N20002425,18.5,494.03
N20003375,22.7,343.03
N20000299,41.9,442.0
N20003355,24.4,501.01
N20001075,41.1,358.07
N20003518,15.0,349.96
N20001929,30.6,357.01
N20000306,33.7,420.01
N20003732,10.4,408.02
N20000582,12.7,503.02
N20002631,9.9,337.96
N20000314,20.4,280.0
N20000942,28.2,313.02
N20001803,52.2,496.0
N20002782,9.6,310.02
N20002503,11.6,468.98
N20001143,32.9,517.95
N20002469,33.2,304.0
N20001111,13.4,303.01
N20002647,11.1,555.06
N20002606,22.7,612.01
N20000430,18.2,345.01
N20001867,29.2,363.99
N20000581,10.6,311.95
N20000101,7.9,368.96
N20003443,12.5,396.04
N20001616,24.7,486.0
N20001802,50.5,247.93
N20001076,43.6,513.99
N20000087,8.5,390.04
N20002373,21.7,553.98
N20002327,12.2,321.03
N20001115,29.5,589.98
N20001869,12.2,404.99
N20002607,13.9,269.95
N20001441,49.3,399.02
N20002732,17.6,352.01
