DZ21,con,catholic_bg_pct,p_soft,soft_v11b,soft_v11c,band_v11b,band_v11c
N20000379,UPPER BANN,79.6,0.27,0.829,0.873,20.1,21.1
N20000380,UPPER BANN,72.0,0.27,0.765,0.826,18.8,20.1
N20000381,UPPER BANN,84.2,0.27,0.868,0.902,21.0,21.7
N20000382,UPPER BANN,75.1,0.27,0.791,0.845,19.3,20.5
N20000383,UPPER BANN,29.0,0.27,0.405,0.559,11.4,14.4
N20000384,UPPER BANN,11.1,0.27,0.255,0.448,8.8,12.2
N20000385,UPPER BANN,12.9,0.27,0.27,0.459,9.0,12.4
N20000386,UPPER BANN,78.3,0.27,0.818,0.865,19.9,20.9
N20000387,UPPER BANN,11.8,0.27,0.261,0.452,8.9,12.3
N20000388,UPPER BANN,11.3,0.27,0.256,0.449,8.8,12.2
N20000389,UPPER BANN,17.1,0.27,0.305,0.485,9.6,12.9
N20000390,UPPER BANN,17.8,0.27,0.311,0.49,9.7,13.0
N20000392,UPPER BANN,9.3,0.27,0.24,0.437,8.6,12.0
N20000393,UPPER BANN,25.8,0.27,0.378,0.539,10.9,14.0
N20000395,UPPER BANN,42.4,0.27,0.517,0.642,13.6,16.1
N20000396,UPPER BANN,10.6,0.27,0.251,0.445,8.7,12.1
N20000397,UPPER BANN,3.9,0.27,0.194,0.403,7.9,11.3
N20000398,UPPER BANN,31.7,0.27,0.427,0.576,11.8,14.8
N20000400,UPPER BANN,42.5,0.27,0.518,0.643,13.6,16.2
N20000401,NEWRY AND ARMAGH,69.2,0.58,0.735,0.884,18.1,21.3
N20000402,UPPER BANN,16.8,0.27,0.302,0.483,9.6,12.9
N20000403,UPPER BANN,40.7,0.27,0.503,0.632,13.3,15.9
N20000404,UPPER BANN,17.7,0.27,0.31,0.489,9.7,13.0
N20000405,UPPER BANN,29.0,0.27,0.405,0.559,11.4,14.4
N20000407,UPPER BANN,14.5,0.27,0.283,0.469,9.2,12.6
N20000408,NEWRY AND ARMAGH,20.5,0.58,0.315,0.699,9.8,17.3
N20000409,UPPER BANN,5.7,0.27,0.209,0.414,8.1,11.6
N20000410,UPPER BANN,16.4,0.27,0.299,0.481,9.5,12.8
N20000411,UPPER BANN,37.1,0.27,0.473,0.609,12.7,15.5
N20000412,UPPER BANN,20.0,0.27,0.329,0.503,10.0,13.3
N20000413,UPPER BANN,23.6,0.27,0.36,0.526,10.5,13.7
N20000414,UPPER BANN,19.0,0.27,0.321,0.497,9.9,13.2
N20000415,UPPER BANN,19.2,0.27,0.323,0.498,9.9,13.2
N20000416,NEWRY AND ARMAGH,33.3,0.58,0.425,0.748,11.8,18.4
N20000417,UPPER BANN,8.5,0.27,0.233,0.432,8.5,11.9
N20000418,NEWRY AND ARMAGH,38.1,0.58,0.467,0.766,12.6,18.8
N20000419,UPPER BANN,23.4,0.27,0.358,0.524,10.5,13.7
N20000420,UPPER BANN,18.0,0.27,0.313,0.491,9.7,13.0
N20000422,UPPER BANN,77.6,0.27,0.812,0.861,19.8,20.8
N20000423,UPPER BANN,93.0,0.27,0.941,0.957,22.6,22.9
N20000424,UPPER BANN,82.4,0.27,0.852,0.891,20.6,21.5
N20000425,UPPER BANN,78.7,0.27,0.821,0.868,20.0,21.0
N20000426,UPPER BANN,95.8,0.27,0.965,0.974,23.1,23.3
N20000427,UPPER BANN,92.9,0.27,0.94,0.956,22.6,22.9
N20000428,UPPER BANN,91.7,0.27,0.93,0.948,22.3,22.7
N20000429,UPPER BANN,91.5,0.27,0.929,0.947,22.3,22.7
N20000430,UPPER BANN,22.6,0.27,0.351,0.519,10.4,13.6
N20000431,UPPER BANN,90.7,0.27,0.922,0.942,22.2,22.6
N20000432,UPPER BANN,92.4,0.27,0.936,0.953,22.5,22.8
N20000433,UPPER BANN,61.5,0.27,0.677,0.761,16.9,18.7
N20000434,UPPER BANN,54.8,0.27,0.621,0.719,15.7,17.8
N20000435,UPPER BANN,75.7,0.27,0.796,0.849,19.4,20.6
N20000436,UPPER BANN,60.3,0.27,0.667,0.753,16.7,18.5
N20000437,UPPER BANN,55.6,0.27,0.628,0.724,15.8,17.9
N20000438,UPPER BANN,51.7,0.27,0.595,0.7,15.2,17.4
N20000439,UPPER BANN,91.5,0.27,0.929,0.947,22.3,22.7
N20000440,UPPER BANN,20.5,0.27,0.334,0.506,10.1,13.3
N20000441,UPPER BANN,70.2,0.27,0.75,0.815,18.4,19.8
N20000442,UPPER BANN,76.5,0.27,0.803,0.854,19.6,20.7
N20000443,UPPER BANN,37.1,0.27,0.473,0.609,12.7,15.5
N20000444,UPPER BANN,53.6,0.27,0.611,0.712,15.5,17.6
N20000445,UPPER BANN,65.9,0.27,0.714,0.788,17.7,19.3
N20000446,UPPER BANN,33.6,0.27,0.443,0.588,12.1,15.0
N20000447,UPPER BANN,42.8,0.27,0.52,0.645,13.6,16.2
N20000448,UPPER BANN,84.5,0.27,0.87,0.904,21.0,21.8
N20000449,UPPER BANN,79.4,0.27,0.827,0.872,20.1,21.1
N20000450,UPPER BANN,8.6,0.27,0.234,0.432,8.5,11.9
N20000451,UPPER BANN,26.1,0.27,0.38,0.541,10.9,14.0
N20000452,UPPER BANN,82.6,0.27,0.854,0.892,20.7,21.5
N20000453,UPPER BANN,81.3,0.27,0.843,0.884,20.4,21.3
N20000454,UPPER BANN,80.1,0.27,0.833,0.876,20.2,21.2
N20000455,UPPER BANN,22.8,0.27,0.353,0.521,10.4,13.6
N20000456,UPPER BANN,14.2,0.27,0.281,0.467,9.2,12.6
N20000457,UPPER BANN,14.0,0.27,0.279,0.466,9.2,12.6
N20000458,UPPER BANN,41.4,0.27,0.509,0.636,13.4,16.0
N20000459,UPPER BANN,18.4,0.27,0.316,0.493,9.8,13.1
N20000460,UPPER BANN,18.8,0.27,0.319,0.496,9.8,13.1
N20000461,UPPER BANN,16.7,0.27,0.302,0.483,9.5,12.9
N20000462,UPPER BANN,8.8,0.27,0.235,0.434,8.5,11.9
N20000463,UPPER BANN,7.3,0.27,0.223,0.424,8.3,11.7
N20000464,UPPER BANN,14.0,0.27,0.279,0.466,9.2,12.6
N20000465,UPPER BANN,47.2,0.27,0.557,0.672,14.4,16.8
N20000466,UPPER BANN,8.2,0.27,0.23,0.43,8.4,11.9
N20000467,UPPER BANN,47.2,0.27,0.557,0.672,14.4,16.8
N20000468,UPPER BANN,17.2,0.27,0.306,0.486,9.6,12.9
N20000469,UPPER BANN,10.4,0.27,0.249,0.444,8.7,12.1
N20000470,UPPER BANN,8.7,0.27,0.235,0.433,8.5,11.9
N20000472,UPPER BANN,12.8,0.27,0.269,0.459,9.0,12.4
N20000473,UPPER BANN,30.7,0.27,0.419,0.57,11.6,14.6
N20000474,UPPER BANN,15.6,0.27,0.292,0.476,9.4,12.7
N20000475,UPPER BANN,9.4,0.27,0.24,0.437,8.6,12.0
N20000476,UPPER BANN,79.7,0.27,0.83,0.874,20.2,21.1
N20000477,UPPER BANN,89.4,0.27,0.911,0.934,21.9,22.4
N20000478,UPPER BANN,80.6,0.27,0.837,0.88,20.3,21.2
N20000481,UPPER BANN,91.9,0.27,0.932,0.95,22.4,22.8
N20000482,UPPER BANN,59.9,0.27,0.664,0.751,16.6,18.4
N20000483,UPPER BANN,93.8,0.27,0.948,0.962,22.7,23.0
N20000484,UPPER BANN,93.0,0.27,0.941,0.957,22.6,22.9
N20000488,UPPER BANN,54.8,0.27,0.621,0.719,15.7,17.8
N20000489,UPPER BANN,96.6,0.27,0.971,0.979,23.3,23.4
N20000490,UPPER BANN,94.9,0.27,0.957,0.968,22.9,23.2
N20000492,UPPER BANN,96.6,0.27,0.971,0.979,23.3,23.4
N20000493,UPPER BANN,95.0,0.27,0.958,0.969,23.0,23.2
N20000494,UPPER BANN,95.6,0.27,0.963,0.973,23.1,23.3
N20000495,UPPER BANN,94.9,0.27,0.957,0.968,22.9,23.2
N20000496,UPPER BANN,87.5,0.27,0.895,0.922,21.6,22.2
N20000498,UPPER BANN,68.3,0.27,0.734,0.803,18.1,19.6
N20000500,UPPER BANN,82.0,0.27,0.849,0.888,20.6,21.4
N20000501,UPPER BANN,24.0,0.27,0.363,0.528,10.6,13.8
N20000502,UPPER BANN,31.6,0.27,0.427,0.575,11.8,14.7
N20000503,UPPER BANN,94.4,0.27,0.953,0.965,22.8,23.1
N20000504,UPPER BANN,76.8,0.27,0.806,0.856,19.6,20.7
N20000505,UPPER BANN,86.9,0.27,0.89,0.919,21.5,22.1
N20000506,UPPER BANN,78.6,0.27,0.821,0.867,20.0,21.0
N20000507,UPPER BANN,29.8,0.27,0.411,0.564,11.5,14.5
N20000508,UPPER BANN,85.0,0.27,0.874,0.907,21.1,21.8
N20000509,UPPER BANN,82.1,0.27,0.85,0.889,20.6,21.4
N20000510,UPPER BANN,12.3,0.27,0.265,0.455,8.9,12.3
N20000512,UPPER BANN,73.1,0.27,0.774,0.833,19.0,20.2
N20000513,UPPER BANN,36.5,0.27,0.468,0.606,12.6,15.4
N20000514,UPPER BANN,22.6,0.27,0.351,0.519,10.4,13.6
N20000515,UPPER BANN,36.9,0.27,0.471,0.608,12.6,15.4
N20000516,UPPER BANN,86.6,0.27,0.888,0.917,21.4,22.0
N20000517,UPPER BANN,7.0,0.27,0.22,0.423,8.3,11.7
N20000518,UPPER BANN,6.0,0.27,0.212,0.416,8.2,11.6
N20000519,UPPER BANN,14.1,0.27,0.28,0.467,9.2,12.6
N20000520,UPPER BANN,7.0,0.27,0.22,0.423,8.3,11.7
N20000521,UPPER BANN,32.8,0.27,0.437,0.583,12.0,14.9
N20000522,UPPER BANN,92.2,0.27,0.935,0.952,22.4,22.8
N20000523,UPPER BANN,13.6,0.27,0.276,0.464,9.1,12.5
N20000524,UPPER BANN,75.7,0.27,0.796,0.849,19.4,20.6
N20000526,UPPER BANN,18.2,0.27,0.314,0.492,9.8,13.1
N20000527,UPPER BANN,31.0,0.27,0.422,0.572,11.7,14.7
N20000528,UPPER BANN,93.5,0.27,0.946,0.96,22.7,23.0
N20000529,UPPER BANN,18.8,0.27,0.319,0.496,9.8,13.1
N20000530,UPPER BANN,92.7,0.27,0.939,0.955,22.5,22.9
N20000531,UPPER BANN,8.5,0.27,0.233,0.432,8.5,11.9
N20000532,UPPER BANN,87.4,0.27,0.894,0.922,21.6,22.2
N20000533,UPPER BANN,12.3,0.27,0.265,0.455,8.9,12.3
N20000534,UPPER BANN,23.0,0.27,0.354,0.522,10.5,13.7
N20000535,UPPER BANN,80.2,0.27,0.834,0.877,20.2,21.2
N20000536,UPPER BANN,82.9,0.27,0.857,0.894,20.7,21.5
N20000537,UPPER BANN,8.0,0.27,0.229,0.429,8.4,11.8
N20000538,UPPER BANN,90.1,0.27,0.917,0.939,22.1,22.5
N20000539,UPPER BANN,14.3,0.27,0.282,0.468,9.2,12.6
N20000540,UPPER BANN,20.7,0.27,0.335,0.508,10.1,13.4
N20000542,UPPER BANN,13.8,0.27,0.277,0.465,9.1,12.5
N20000543,UPPER BANN,94.4,0.27,0.953,0.965,22.8,23.1
N20000544,UPPER BANN,9.6,0.27,0.242,0.439,8.6,12.0
N20000545,UPPER BANN,7.0,0.27,0.22,0.423,8.3,11.7
N20000546,UPPER BANN,18.3,0.27,0.315,0.493,9.8,13.1
N20000547,UPPER BANN,13.4,0.27,0.274,0.462,9.1,12.5
N20000548,UPPER BANN,12.2,0.27,0.264,0.455,8.9,12.3
N20000549,UPPER BANN,8.2,0.27,0.23,0.43,8.4,11.9
N20000550,UPPER BANN,18.6,0.27,0.318,0.495,9.8,13.1
N20000551,UPPER BANN,9.2,0.27,0.239,0.436,8.5,12.0
N20000552,UPPER BANN,8.7,0.27,0.235,0.433,8.5,11.9
N20000553,UPPER BANN,11.9,0.27,0.261,0.453,8.9,12.3
N20000554,UPPER BANN,11.4,0.27,0.257,0.45,8.8,12.2
N20000555,UPPER BANN,5.1,0.27,0.204,0.411,8.1,11.5
N20000556,UPPER BANN,12.7,0.27,0.268,0.458,9.0,12.4
N20000557,UPPER BANN,6.1,0.27,0.213,0.417,8.2,11.6
N20000558,UPPER BANN,9.9,0.27,0.245,0.441,8.6,12.1
N20000559,UPPER BANN,5.9,0.27,0.211,0.416,8.2,11.6
N20000560,LAGAN VALLEY,19.4,0.69,0.32,0.771,9.8,18.9
N20000561,UPPER BANN,7.9,0.27,0.228,0.428,8.4,11.8
N20000562,LAGAN VALLEY,8.6,0.69,0.229,0.741,8.4,18.2
N20000563,LAGAN VALLEY,26.4,0.69,0.379,0.791,10.9,19.3
N20000564,UPPER BANN,9.2,0.27,0.239,0.436,8.5,12.0
N20000565,LAGAN VALLEY,20.6,0.69,0.33,0.775,10.0,19.0
N20000566,LAGAN VALLEY,14.3,0.69,0.277,0.757,9.1,18.6
N20000567,UPPER BANN,5.4,0.27,0.207,0.413,8.1,11.5
N20000568,LAGAN VALLEY,16.5,0.69,0.295,0.763,9.4,18.7
N20000569,UPPER BANN,19.7,0.27,0.327,0.501,10.0,13.2
N20000570,LAGAN VALLEY,24.6,0.69,0.364,0.786,10.6,19.2
N20000571,LAGAN VALLEY,19.0,0.69,0.317,0.77,9.8,18.9
N20000572,UPPER BANN,5.9,0.27,0.211,0.416,8.2,11.6
N20000573,LAGAN VALLEY,18.6,0.69,0.313,0.769,9.7,18.8
N20000574,LAGAN VALLEY,15.5,0.69,0.287,0.76,9.3,18.6
N20000575,LAGAN VALLEY,15.4,0.69,0.286,0.76,9.3,18.6
N20000577,LAGAN VALLEY,12.1,0.69,0.258,0.751,8.8,18.4
N20000578,LAGAN VALLEY,18.3,0.69,0.311,0.768,9.7,18.8
N20000579,LAGAN VALLEY,10.9,0.69,0.248,0.747,8.7,18.4
N20000580,UPPER BANN,17.9,0.27,0.312,0.49,9.7,13.0
N20000581,UPPER BANN,6.7,0.27,0.218,0.421,8.2,11.7
N20000582,LAGAN VALLEY,12.2,0.69,0.259,0.751,8.9,18.4
N20000583,LAGAN VALLEY,13.3,0.69,0.268,0.754,9.0,18.5
N20000584,LAGAN VALLEY,12.2,0.69,0.259,0.751,8.9,18.4
N20000585,UPPER BANN,18.2,0.27,0.314,0.492,9.8,13.1
N20000586,LAGAN VALLEY,10.9,0.69,0.248,0.747,8.7,18.4
N20000587,LAGAN VALLEY,11.0,0.69,0.249,0.748,8.7,18.4
N20000589,LAGAN VALLEY,5.8,0.69,0.205,0.733,8.1,18.1
N20000590,LAGAN VALLEY,26.7,0.69,0.382,0.792,10.9,19.3
N20000591,SOUTH DOWN,19.2,0.785,0.317,0.833,9.8,20.2
N20000592,SOUTH DOWN,41.4,0.785,0.505,0.879,13.3,21.2
N20000593,SOUTH DOWN,24.0,0.785,0.358,0.843,10.5,20.4
N20000594,UPPER BANN,24.8,0.27,0.37,0.533,10.7,13.9
N20000595,UPPER BANN,38.3,0.27,0.483,0.617,12.9,15.6
N20000597,UPPER BANN,60.8,0.27,0.671,0.757,16.8,18.6
N20000598,UPPER BANN,53.9,0.27,0.614,0.714,15.5,17.7
N20000599,UPPER BANN,22.8,0.27,0.353,0.521,10.4,13.6
N20000600,UPPER BANN,65.0,0.27,0.707,0.783,17.5,19.1
N20000601,UPPER BANN,39.2,0.27,0.49,0.622,13.0,15.7
N20000602,UPPER BANN,36.4,0.27,0.467,0.605,12.6,15.4
N20000603,UPPER BANN,18.5,0.27,0.317,0.494,9.8,13.1
N20000604,UPPER BANN,21.9,0.27,0.345,0.515,10.3,13.5
N20000605,UPPER BANN,64.3,0.27,0.701,0.778,17.4,19.0
N20000606,UPPER BANN,48.8,0.27,0.571,0.682,14.7,17.0
N20000608,UPPER BANN,29.2,0.27,0.406,0.56,11.4,14.4
N20000609,UPPER BANN,36.3,0.27,0.466,0.604,12.5,15.4
N20000610,UPPER BANN,29.1,0.27,0.406,0.56,11.4,14.4
N20000611,UPPER BANN,33.8,0.27,0.445,0.589,12.1,15.0
N20000612,UPPER BANN,36.7,0.27,0.469,0.607,12.6,15.4
N20000613,UPPER BANN,32.6,0.27,0.435,0.581,11.9,14.9
N20000614,SOUTH DOWN,24.2,0.785,0.359,0.843,10.5,20.4
N20000615,UPPER BANN,46.1,0.27,0.548,0.665,14.2,16.6
N20000616,UPPER BANN,38.4,0.27,0.484,0.618,12.9,15.6
N20000617,UPPER BANN,35.1,0.27,0.456,0.597,12.4,15.2
N20000618,UPPER BANN,39.6,0.27,0.494,0.625,13.1,15.8
N20000619,UPPER BANN,60.6,0.27,0.67,0.755,16.7,18.5
N20000620,UPPER BANN,39.1,0.27,0.489,0.622,13.0,15.7
N20000621,UPPER BANN,50.8,0.27,0.588,0.695,15.0,17.2
N20000622,UPPER BANN,50.5,0.27,0.585,0.693,14.9,17.2
N20000623,UPPER BANN,30.5,0.27,0.417,0.568,11.6,14.6
N20000624,UPPER BANN,45.2,0.27,0.541,0.66,14.0,16.5
N20000625,UPPER BANN,51.1,0.27,0.59,0.696,15.1,17.3
N20000627,UPPER BANN,41.0,0.27,0.505,0.634,13.3,16.0
N20000628,UPPER BANN,19.2,0.27,0.323,0.498,9.9,13.2
N20000629,UPPER BANN,23.9,0.27,0.362,0.527,10.6,13.8
N20000630,UPPER BANN,36.4,0.27,0.467,0.605,12.6,15.4
N20000631,UPPER BANN,37.5,0.27,0.476,0.612,12.7,15.5
N20000632,UPPER BANN,40.7,0.27,0.503,0.632,13.3,15.9
N20000633,UPPER BANN,22.9,0.27,0.354,0.521,10.4,13.6
N20000634,UPPER BANN,13.4,0.27,0.274,0.462,9.1,12.5
N20000635,UPPER BANN,36.9,0.27,0.471,0.608,12.6,15.4
N20000636,UPPER BANN,27.7,0.27,0.394,0.551,11.2,14.3
N20000637,UPPER BANN,25.8,0.27,0.378,0.539,10.9,14.0
N20000638,UPPER BANN,24.2,0.27,0.365,0.529,10.6,13.8
N20000639,UPPER BANN,27.8,0.27,0.395,0.552,11.2,14.3
N20000641,UPPER BANN,38.9,0.27,0.488,0.621,13.0,15.7
N20000642,UPPER BANN,52.0,0.27,0.598,0.702,15.2,17.4
N20000643,UPPER BANN,38.8,0.27,0.487,0.62,13.0,15.7
N20000645,SOUTH DOWN,45.3,0.785,0.538,0.887,14.0,21.4
N20000646,UPPER BANN,57.0,0.27,0.64,0.733,16.1,18.1
N20000647,UPPER BANN,54.7,0.27,0.62,0.719,15.7,17.8
N20000648,SOUTH DOWN,17.2,0.785,0.3,0.829,9.5,20.1
N20000649,UPPER BANN,35.7,0.27,0.461,0.601,12.5,15.3
N20000650,SOUTH DOWN,18.5,0.785,0.311,0.832,9.7,20.2
N20000651,SOUTH DOWN,64.6,0.785,0.701,0.927,17.4,22.3
N20000652,UPPER BANN,41.9,0.27,0.513,0.639,13.5,16.1
N20000653,SOUTH DOWN,33.7,0.785,0.44,0.863,12.0,20.9
N20000654,NEWRY AND ARMAGH,69.9,0.58,0.741,0.886,18.2,21.4
N20000655,SOUTH DOWN,6.1,0.785,0.206,0.806,8.1,19.6
N20000656,SOUTH DOWN,17.4,0.785,0.302,0.829,9.5,20.1
N20000657,SOUTH DOWN,22.9,0.785,0.348,0.841,10.3,20.4
N20000658,SOUTH DOWN,25.3,0.785,0.369,0.846,10.7,20.5
N20000659,SOUTH DOWN,49.2,0.785,0.571,0.895,14.7,21.6
N20000660,SOUTH DOWN,33.0,0.785,0.434,0.862,11.9,20.8
N20000661,SOUTH DOWN,43.5,0.785,0.523,0.883,13.7,21.3
N20000663,SOUTH DOWN,38.6,0.785,0.481,0.873,12.8,21.1
N20000664,NEWRY AND ARMAGH,5.9,0.58,0.189,0.644,7.9,16.2
N20000665,NEWRY AND ARMAGH,11.1,0.58,0.234,0.664,8.5,16.6
N20000666,NEWRY AND ARMAGH,4.5,0.58,0.177,0.639,7.7,16.1
N20000667,NEWRY AND ARMAGH,14.5,0.58,0.264,0.677,8.9,16.9
N20000668,NEWRY AND ARMAGH,10.6,0.58,0.23,0.662,8.4,16.6
N20000669,NEWRY AND ARMAGH,8.2,0.58,0.209,0.653,8.1,16.4
N20000670,NEWRY AND ARMAGH,7.8,0.58,0.206,0.651,8.1,16.3
N20000671,NEWRY AND ARMAGH,8.1,0.58,0.208,0.652,8.1,16.4
N20000672,NEWRY AND ARMAGH,9.2,0.58,0.218,0.657,8.3,16.4
N20000674,NEWRY AND ARMAGH,17.9,0.58,0.293,0.689,9.4,17.1
N20000675,NEWRY AND ARMAGH,4.3,0.58,0.176,0.638,7.7,16.1
N20000677,NEWRY AND ARMAGH,4.1,0.58,0.174,0.637,7.7,16.0
N20000678,NEWRY AND ARMAGH,8.6,0.58,0.213,0.654,8.2,16.4
N20000679,NEWRY AND ARMAGH,9.0,0.58,0.216,0.656,8.2,16.4
N20000680,NEWRY AND ARMAGH,9.9,0.58,0.224,0.659,8.3,16.5
N20000681,NEWRY AND ARMAGH,11.4,0.58,0.237,0.665,8.5,16.6
N20000682,NEWRY AND ARMAGH,13.1,0.58,0.251,0.671,8.7,16.8
N20000684,NEWRY AND ARMAGH,14.9,0.58,0.267,0.678,9.0,16.9
N20000685,NEWRY AND ARMAGH,16.0,0.58,0.276,0.682,9.1,17.0
N20000686,NEWRY AND ARMAGH,12.6,0.58,0.247,0.669,8.7,16.7
N20000687,NEWRY AND ARMAGH,9.2,0.58,0.218,0.657,8.3,16.4
N20000688,NEWRY AND ARMAGH,20.4,0.58,0.314,0.699,9.8,17.3
N20000689,NEWRY AND ARMAGH,12.1,0.58,0.243,0.668,8.6,16.7
N20000690,NEWRY AND ARMAGH,8.9,0.58,0.215,0.655,8.2,16.4
N20000691,NEWRY AND ARMAGH,6.8,0.58,0.197,0.647,8.0,16.2
N20000692,NEWRY AND ARMAGH,29.1,0.58,0.389,0.732,11.1,18.0
N20000693,NEWRY AND ARMAGH,12.4,0.58,0.245,0.669,8.6,16.7
N20000694,NEWRY AND ARMAGH,17.4,0.58,0.289,0.688,9.3,17.1
N20000695,NEWRY AND ARMAGH,12.4,0.58,0.245,0.669,8.6,16.7
N20000696,NEWRY AND ARMAGH,33.6,0.58,0.428,0.749,11.8,18.4
N20000697,NEWRY AND ARMAGH,10.9,0.58,0.233,0.663,8.5,16.6
N20000698,NEWRY AND ARMAGH,26.3,0.58,0.365,0.721,10.6,17.8
N20000699,NEWRY AND ARMAGH,34.0,0.58,0.432,0.75,11.9,18.4
N20000700,NEWRY AND ARMAGH,15.2,0.58,0.27,0.679,9.0,16.9
N20000701,NEWRY AND ARMAGH,76.3,0.58,0.796,0.91,19.4,21.9
N20000702,NEWRY AND ARMAGH,79.4,0.58,0.823,0.922,20.0,22.2
N20000703,NEWRY AND ARMAGH,10.3,0.58,0.227,0.661,8.4,16.5
N20000705,NEWRY AND ARMAGH,63.6,0.58,0.686,0.862,17.1,20.9
N20000706,NEWRY AND ARMAGH,92.5,0.58,0.935,0.972,22.5,23.3
N20000707,NEWRY AND ARMAGH,91.0,0.58,0.922,0.966,22.2,23.1
N20000708,NEWRY AND ARMAGH,32.0,0.58,0.414,0.743,11.6,18.3
N20000709,NEWRY AND ARMAGH,71.3,0.58,0.753,0.891,18.5,21.5
N20000710,NEWRY AND ARMAGH,79.0,0.58,0.819,0.921,19.9,22.1
N20000711,BELFAST NORTH,5.2,0.67,0.247,0.725,8.7,17.9
N20000712,BELFAST NORTH,78.7,0.67,0.831,0.938,20.2,22.5
N20000713,BELFAST NORTH,47.9,0.67,0.586,0.849,15.0,20.6
N20000714,BELFAST NORTH,7.8,0.67,0.267,0.732,9.0,18.0
N20000715,BELFAST NORTH,94.0,0.67,0.952,0.983,22.8,23.5
N20000716,BELFAST NORTH,12.3,0.67,0.303,0.745,9.6,18.3
N20000717,BELFAST NORTH,3.6,0.67,0.234,0.72,8.5,17.8
N20000718,BELFAST NORTH,7.8,0.67,0.267,0.732,9.0,18.0
N20000719,BELFAST NORTH,90.8,0.67,0.927,0.973,22.3,23.3
N20000720,BELFAST NORTH,4.8,0.67,0.244,0.724,8.6,17.9
N20000721,BELFAST NORTH,28.0,0.67,0.428,0.791,11.8,19.3
N20000722,BELFAST NORTH,16.3,0.67,0.335,0.757,10.1,18.6
N20000723,BELFAST NORTH,9.0,0.67,0.277,0.736,9.1,18.1
N20000725,BELFAST NORTH,84.6,0.67,0.878,0.955,21.2,22.9
N20000726,BELFAST NORTH,48.7,0.67,0.592,0.851,15.1,20.6
N20000727,BELFAST NORTH,9.3,0.67,0.279,0.737,9.2,18.1
N20000728,BELFAST NORTH,11.0,0.67,0.293,0.742,9.4,18.2
N20000729,BELFAST NORTH,8.1,0.67,0.27,0.733,9.0,18.1
N20000730,BELFAST NORTH,13.5,0.67,0.313,0.749,9.7,18.4
N20000731,BELFAST NORTH,70.8,0.67,0.768,0.915,18.8,22.0
N20000732,BELFAST NORTH,85.8,0.67,0.887,0.959,21.4,23.0
N20000733,BELFAST NORTH,73.6,0.67,0.79,0.923,19.3,22.2
N20000734,BELFAST NORTH,89.6,0.67,0.917,0.97,22.1,23.2
N20000735,BELFAST NORTH,91.2,0.67,0.93,0.974,22.3,23.3
N20000736,BELFAST NORTH,9.6,0.67,0.282,0.737,9.2,18.2
N20000737,BELFAST NORTH,12.3,0.67,0.303,0.745,9.6,18.3
N20000738,BELFAST NORTH,78.4,0.67,0.828,0.937,20.1,22.5
N20000739,BELFAST NORTH,9.4,0.67,0.28,0.737,9.2,18.1
N20000740,BELFAST NORTH,86.8,0.67,0.895,0.962,21.6,23.0
N20000741,BELFAST NORTH,87.5,0.67,0.901,0.964,21.7,23.1
N20000742,BELFAST NORTH,16.8,0.67,0.339,0.758,10.2,18.6
N20000743,BELFAST NORTH,76.2,0.67,0.811,0.931,19.7,22.4
N20000744,BELFAST NORTH,23.8,0.67,0.395,0.779,11.2,19.0
N20000745,BELFAST NORTH,75.5,0.67,0.805,0.929,19.6,22.3
N20000746,BELFAST NORTH,87.3,0.67,0.899,0.963,21.7,23.1
N20000747,BELFAST NORTH,81.4,0.67,0.852,0.946,20.6,22.7
N20000748,BELFAST NORTH,91.3,0.67,0.931,0.975,22.4,23.3
N20000749,BELFAST NORTH,80.4,0.67,0.844,0.943,20.5,22.6
N20000750,BELFAST NORTH,85.0,0.67,0.881,0.956,21.3,22.9
N20000751,BELFAST NORTH,90.9,0.67,0.928,0.974,22.3,23.3
N20000752,BELFAST NORTH,92.8,0.67,0.943,0.979,22.6,23.4
N20000753,BELFAST NORTH,93.1,0.67,0.945,0.98,22.7,23.4
N20000754,BELFAST NORTH,76.9,0.67,0.816,0.933,19.9,22.4
N20000755,BELFAST NORTH,92.2,0.67,0.938,0.977,22.5,23.4
N20000756,BELFAST NORTH,87.5,0.67,0.901,0.964,21.7,23.1
N20000757,BELFAST NORTH,71.6,0.67,0.774,0.918,19.0,22.1
N20000758,BELFAST NORTH,93.3,0.67,0.947,0.981,22.7,23.4
N20000759,BELFAST NORTH,62.8,0.67,0.704,0.892,17.5,21.5
N20000760,BELFAST NORTH,88.5,0.67,0.909,0.967,21.9,23.1
N20000761,BELFAST NORTH,92.2,0.67,0.938,0.977,22.5,23.4
N20000762,BELFAST NORTH,91.0,0.67,0.928,0.974,22.3,23.3
N20000763,BELFAST NORTH,64.7,0.67,0.72,0.897,17.8,21.6
N20000764,BELFAST NORTH,68.6,0.67,0.751,0.909,18.4,21.9
N20000765,BELFAST NORTH,88.3,0.67,0.907,0.966,21.8,23.1
N20000766,BELFAST NORTH,82.4,0.67,0.86,0.949,20.8,22.8
N20000767,BELFAST NORTH,80.0,0.67,0.841,0.942,20.4,22.6
N20000769,BELFAST NORTH,70.9,0.67,0.769,0.915,18.8,22.0
N20000770,BELFAST NORTH,72.8,0.67,0.784,0.921,19.2,22.1
N20000771,BELFAST NORTH,85.4,0.67,0.884,0.958,21.3,22.9
N20000772,BELFAST NORTH,68.5,0.67,0.75,0.909,18.4,21.9
