DZ21,label,con,margin_rate,prot_pct,old65_pct,pop
N20003749,Ards_Peninsula_E2,STRANGFORD,5.73,81.91,23.76,282.0
N20002591,Ballymena_B1,NORTH ANTRIM,5.73,60.44,40.19,316.0
N20003043,Dungannon_F5,FERMANAGH AND SOUTH TYRONE,5.73,39.39,18.59,495.0
N20001588,Coleraine_J3,EAST LONDONDERRY,5.73,61.92,20.86,302.0
N20002746,Larne_Lough_D3,EAST ANTRIM,5.73,87.94,27.8,572.0
N20003454,Comber_D5,STRANGFORD,5.73,79.78,31.74,356.0
N20002199,Omagh_D4,WEST TYRONE,5.73,23.05,23.46,243.0
N20003502,Newtownards_K1,STRANGFORD,5.72,75.18,28.01,564.0
N20003625,Bangor_Central_B2,NORTH DOWN,5.72,77.64,34.38,416.0
N20003661,Bangor_Central_P1,NORTH DOWN,5.72,61.82,23.03,330.0
N20000460,Craigavon_H4,UPPER BANN,5.72,64.33,17.01,541.0
N20000974,Ormiston_G2,BELFAST EAST,5.72,76.12,26.57,335.0
N20002446,Downshire_East_E5,LAGAN VALLEY,5.72,87.98,29.86,499.0
N20000120,Ballyclare_H1,SOUTH ANTRIM,5.72,87.5,30.81,344.0
N20003726,Bangor_East_and_Donaghadee_E4,NORTH DOWN,5.72,82.12,34.31,274.0
N20003464,Comber_G3,STRANGFORD,5.72,79.7,24.72,271.0
N20000578,Lagan_River_H3,LAGAN VALLEY,5.72,73.28,33.02,524.0
N20003371,Rowallane_D4,SOUTH DOWN,5.72,67.91,24.29,564.0
N20001033,Lisnasharragh_E1,BELFAST EAST,5.72,77.27,27.95,440.0
N20000552,Lagan_River_A1,UPPER BANN,5.72,82.61,20.08,483.0
N20000956,Ormiston_B4,BELFAST EAST,5.72,79.52,35.88,708.0
N20003517,Newtownards_R3,STRANGFORD,5.71,80.89,28.46,246.0
N20001518,Bann_B3,EAST LONDONDERRY,5.71,71.62,26.03,680.0
N20002201,Omagh_G1,WEST TYRONE,5.71,70.08,32.58,264.0
N20003443,Comber_A3,STRANGFORD,5.71,72.22,20.96,396.0
N20003555,Holywood_and_Clandeboye_E3,NORTH DOWN,5.71,68.05,35.37,410.0
N20000667,Cusher_A1,NEWRY AND ARMAGH,5.71,80.6,34.78,299.0
N20001386,Court_E2,BELFAST WEST,5.71,82.58,25.83,333.0
N20000241,Glengormley_Urban_G5,BELFAST NORTH,5.71,59.24,36.55,238.0
N20002274,Downshire_West_E2,LAGAN VALLEY,5.71,81.19,27.38,420.0
N20000861,Titanic_C2,BELFAST EAST,5.71,72.44,23.3,352.0
N20001220,Balmoral_N2,BELFAST SOUTH,5.71,64.83,31.03,435.0
N20003538,Holywood_and_Clandeboye_A2,NORTH DOWN,5.71,71.34,32.33,464.0
N20003519,Newtownards_Q1,STRANGFORD,5.71,73.18,25.17,302.0
N20002720,Coast_Road_J2,EAST ANTRIM,5.71,46.74,35.98,353.0
N20001001,Ormiston_N4,BELFAST EAST,5.71,75.84,31.62,389.0
N20002651,Braid_B4,NORTH ANTRIM,5.7,85.83,31.39,360.0
N20000893,Titanic_L1,BELFAST EAST,5.7,65.92,13.93,402.0
N20002421,Lisburn_North_K4,LAGAN VALLEY,5.7,54.0,26.4,250.0
N20000868,Titanic_D3,BELFAST EAST,5.7,64.73,16.1,292.0
N20002743,Larne_Lough_E2,EAST ANTRIM,5.7,83.54,26.56,723.0
N20001582,Coleraine_H2,EAST LONDONDERRY,5.7,62.2,43.31,381.0
N20003471,Comber_H2,STRANGFORD,5.7,69.34,30.48,561.0
N20002774,Carrick_Castle_E2,EAST ANTRIM,5.7,78.32,16.85,641.0
N20000637,Banbridge_K1,UPPER BANN,5.69,66.88,30.56,468.0
N20000440,Craigavon_C3,UPPER BANN,5.69,59.18,20.25,316.0
N20002347,Lisburn_South_D4,LAGAN VALLEY,5.69,73.88,24.0,425.0
N20002803,Knockagh_B1,EAST ANTRIM,5.69,79.23,34.36,390.0
N20000179,Macedon_E2,BELFAST NORTH,5.69,71.28,20.87,484.0
N20000678,Cusher_C1,NEWRY AND ARMAGH,5.69,81.7,21.49,470.0
N20003645,Bangor_Central_G1,NORTH DOWN,5.69,74.46,27.1,513.0
N20003539,Holywood_and_Clandeboye_F1,NORTH DOWN,5.69,61.18,34.87,304.0
N20003300,The_Mournes_L3,SOUTH DOWN,5.69,82.1,24.41,553.0
N20000084,Antrim_N5,SOUTH ANTRIM,5.69,54.2,45.8,262.0
N20003051,Dungannon_H4,FERMANAGH AND SOUTH TYRONE,5.69,41.8,14.55,323.0
N20003565,Holywood_and_Clandeboye_K3,NORTH DOWN,5.69,61.76,30.0,340.0
N20003652,Bangor_Central_J2,NORTH DOWN,5.69,71.33,26.67,450.0
N20002547,Castlereagh_East_J5,STRANGFORD,5.69,76.44,33.86,505.0
N20003605,Bangor_West_F4,NORTH DOWN,5.69,66.83,28.22,606.0
N20002324,Killultagh_G5,LAGAN VALLEY,5.68,83.42,27.21,555.0
N20002652,Braid_D1,NORTH ANTRIM,5.68,81.65,27.82,496.0
N20002268,Downshire_West_G1,LAGAN VALLEY,5.68,73.51,25.09,857.0
N20000853,Castle_T5,BELFAST NORTH,5.68,68.25,18.75,400.0
N20000869,Titanic_D4,BELFAST EAST,5.68,68.75,23.75,320.0
N20003496,Newtownards_C4,STRANGFORD,5.68,73.1,27.93,487.0
N20002418,Lisburn_North_K1,LAGAN VALLEY,5.68,55.49,14.65,355.0
N20000457,Craigavon_J3,UPPER BANN,5.68,72.75,25.05,499.0
N20002343,Lisburn_South_C7,LAGAN VALLEY,5.68,70.07,33.67,294.0
N20000070,Antrim_J4,SOUTH ANTRIM,5.68,60.32,34.32,373.0
N20000122,Ballyclare_H2,SOUTH ANTRIM,5.68,89.47,26.13,551.0
N20001536,Bann_F2,EAST LONDONDERRY,5.68,80.77,29.81,312.0
N20001377,Court_B3,BELFAST NORTH,5.68,76.42,45.37,335.0
N20000228,Glengormley_Urban_E3,BELFAST NORTH,5.68,68.48,24.07,349.0
N20002618,Ballymena_F4,NORTH ANTRIM,5.67,76.12,40.17,356.0
N20000456,Craigavon_H2,UPPER BANN,5.67,73.91,26.71,322.0
N20002775,Carrick_Castle_C3,EAST ANTRIM,5.67,83.75,20.68,677.0
N20000526,Lurgan_K4,UPPER BANN,5.67,55.71,15.71,280.0
N20002744,Larne_Lough_D2,EAST ANTRIM,5.67,83.23,23.82,638.0
N20003271,The_Mournes_D3,SOUTH DOWN,5.67,23.38,34.08,355.0
N20001627,Causeway_K1,EAST LONDONDERRY,5.67,82.4,29.78,534.0
N20001206,Balmoral_G3,BELFAST SOUTH,5.67,70.71,22.86,140.0
N20002727,Larne_Lough_B1,EAST ANTRIM,5.67,52.02,22.91,371.0
N20003608,Bangor_West_H2,NORTH DOWN,5.67,68.42,21.05,209.0
N20002118,Enniskillen_G4,FERMANAGH AND SOUTH TYRONE,5.67,82.58,22.58,310.0
N20002828,Knockagh_H1,EAST ANTRIM,5.67,68.63,21.9,306.0
N20002359,Lisburn_South_H4,LAGAN VALLEY,5.67,41.21,18.68,182.0
N20003622,Bangor_Central_B1,NORTH DOWN,5.67,79.4,29.78,403.0
N20003361,Rowallane_E4,STRANGFORD,5.67,65.69,31.12,376.0
N20003636,Bangor_Central_F3,NORTH DOWN,5.67,58.44,17.28,243.0
N20003629,Bangor_Central_E2,NORTH DOWN,5.67,69.76,29.52,420.0
N20000998,Ormiston_P2,BELFAST EAST,5.67,76.01,31.08,296.0
N20003497,Newtownards_H1,STRANGFORD,5.67,85.89,25.15,326.0
N20003591,Bangor_West_E1,NORTH DOWN,5.67,78.8,35.94,217.0
N20003467,Comber_F5,STRANGFORD,5.67,81.77,29.45,713.0
N20003740,Ards_Peninsula_C4,STRANGFORD,5.67,82.55,29.25,424.0
N20003347,Rowallane_C1,STRANGFORD,5.66,79.43,28.47,418.0
N20002440,Downshire_East_E1,LAGAN VALLEY,5.66,86.22,29.05,537.0
N20000308,Armagh_C3,NEWRY AND ARMAGH,5.66,33.73,18.21,335.0
N20001569,Coleraine_F2,EAST LONDONDERRY,5.66,72.2,18.64,295.0
N20003569,Holywood_and_Clandeboye_F4,NORTH DOWN,5.66,77.96,33.33,717.0
N20001573,Coleraine_F3,EAST LONDONDERRY,5.66,49.76,22.51,422.0
N20002881,Moyola_F2,MID ULSTER,5.66,60.52,25.6,461.0
N20001015,Ormiston_T3,BELFAST EAST,5.66,75.48,23.95,526.0
N20002638,Ballymena_K7,NORTH ANTRIM,5.66,70.33,9.89,273.0
N20003366,Rowallane_G1,STRANGFORD,5.66,78.65,29.81,473.0
N20002285,Downshire_West_G4,LAGAN VALLEY,5.66,83.08,27.55,461.0
N20003301,The_Mournes_P1,SOUTH DOWN,5.66,62.35,22.27,494.0
N20003747,Ards_Peninsula_D6,STRANGFORD,5.66,82.34,23.9,385.0
N20000677,Cusher_B6,NEWRY AND ARMAGH,5.66,88.85,23.79,269.0
N20000969,Ormiston_E4,BELFAST EAST,5.66,72.06,27.31,476.0
N20002253,Downshire_West_A2,LAGAN VALLEY,5.65,67.57,23.94,259.0
N20001058,Lisnasharragh_L2,BELFAST EAST,5.65,80.0,20.92,435.0
N20001044,Lisnasharragh_H2,BELFAST EAST,5.65,71.77,20.58,379.0
N20000871,Titanic_E2,BELFAST EAST,5.65,71.47,21.02,333.0
N20003285,The_Mournes_H2,SOUTH DOWN,5.65,69.41,19.55,353.0
N20003314,Slieve_Croob_A3,SOUTH DOWN,5.65,76.4,28.91,339.0
N20002778,Carrick_Castle_B2,EAST ANTRIM,5.65,78.36,21.29,573.0
N20003712,Bangor_East_and_Donaghadee_H2,NORTH DOWN,5.65,76.11,32.78,540.0
N20001692,Ballymoney_B4,NORTH ANTRIM,5.65,75.44,20.47,513.0
N20000157,Three_Mile_Water_H4,SOUTH ANTRIM,5.65,72.16,26.56,546.0
N20000835,Castle_P1,BELFAST NORTH,5.65,73.33,17.72,570.0
N20000679,Cusher_C2,NEWRY AND ARMAGH,5.65,84.01,22.45,588.0
N20001487,Limavady_C1,EAST LONDONDERRY,5.64,71.63,42.12,349.0
N20000866,Titanic_D2,BELFAST EAST,5.64,61.23,11.38,325.0
N20002826,Knockagh_G2,EAST ANTRIM,5.64,80.87,26.82,481.0
N20000674,Cusher_E3,NEWRY AND ARMAGH,5.64,78.46,36.46,469.0
N20002490,Castlereagh_South_G2,BELFAST SOUTH,5.64,52.18,45.73,527.0
N20003739,Ards_Peninsula_B2,STRANGFORD,5.64,75.98,21.35,637.0
N20003408,Downpatrick_E5,SOUTH DOWN,5.64,17.94,38.12,223.0
N20001031,Lisnasharragh_B5,BELFAST EAST,5.64,74.44,22.93,266.0
N20000221,Glengormley_Urban_D1,SOUTH ANTRIM,5.64,72.45,28.94,432.0
N20002723,Coast_Road_H5,EAST ANTRIM,5.64,68.37,19.49,313.0
N20001050,Lisnasharragh_N3,BELFAST SOUTH,5.64,74.11,31.79,475.0
N20002449,Downshire_East_F2,LAGAN VALLEY,5.64,88.82,23.0,474.0
N20002200,Omagh_E3,WEST TYRONE,5.64,80.45,21.29,404.0
N20001404,Court_J3,BELFAST NORTH,5.64,75.43,22.25,346.0
N20000693,Cusher_K1,NEWRY AND ARMAGH,5.64,83.99,29.31,406.0
N20000922,Titanic_S3,BELFAST SOUTH,5.64,68.73,17.4,339.0
N20001529,Bann_D4,EAST LONDONDERRY,5.64,87.99,24.32,333.0
N20001642,Causeway_L2,NORTH ANTRIM,5.64,92.43,21.93,383.0
N20001399,Court_H4,BELFAST NORTH,5.63,84.72,26.52,445.0
N20002823,Knockagh_F5,EAST ANTRIM,5.63,77.3,24.26,577.0
N20000175,Macedon_C4,BELFAST NORTH,5.63,58.0,14.29,350.0
N20002824,Knockagh_F6,EAST ANTRIM,5.63,65.57,27.36,212.0
N20001674,The_Glens_F1,NORTH ANTRIM,5.63,78.46,20.75,506.0
N20000114,Ballyclare_E4,SOUTH ANTRIM,5.63,85.33,26.09,368.0
N20001067,Lisnasharragh_N5,BELFAST EAST,5.63,74.28,26.69,311.0
N20000384,Portadown_H1,UPPER BANN,5.63,76.74,27.02,533.0
N20002760,Larne_Lough_H4,EAST ANTRIM,5.63,60.21,24.61,382.0
N20002676,Braid_H5,NORTH ANTRIM,5.63,82.41,22.62,557.0
N20002697,Coast_Road_D3,EAST ANTRIM,5.63,62.66,31.85,383.0
N20002444,Downshire_East_E4,LAGAN VALLEY,5.63,83.26,26.3,460.0
N20003363,Rowallane_C5,STRANGFORD,5.63,78.25,26.27,354.0
N20003447,Comber_C7,STRANGFORD,5.63,81.27,22.61,283.0
N20000531,Lurgan_P4,UPPER BANN,5.63,83.18,22.02,327.0
N20000955,Ormiston_C3,BELFAST EAST,5.63,79.59,27.55,294.0
N20000236,Glengormley_Urban_H1,BELFAST NORTH,5.63,51.02,32.4,392.0
N20000220,Glengormley_Urban_B4,SOUTH ANTRIM,5.63,73.6,41.6,375.0
N20001702,Ballymoney_F1,NORTH ANTRIM,5.63,69.81,19.9,583.0
N20000977,Ormiston_J1,BELFAST EAST,5.63,70.46,26.29,369.0
N20002424,Downshire_East_A1,LAGAN VALLEY,5.63,64.95,31.31,428.0
N20002810,Knockagh_C4,EAST ANTRIM,5.63,78.84,21.96,378.0
N20001215,Balmoral_N1,BELFAST SOUTH,5.63,74.19,25.81,527.0
N20001648,Causeway_L5,NORTH ANTRIM,5.63,84.0,24.8,250.0
N20002563,Bannside_C4,NORTH ANTRIM,5.62,86.12,24.96,569.0
N20003686,Bangor_East_and_Donaghadee_B3,NORTH DOWN,5.62,75.0,31.72,268.0
N20001634,Causeway_K2,EAST LONDONDERRY,5.62,75.93,26.85,540.0
N20002663,Braid_H2,NORTH ANTRIM,5.62,71.79,26.67,585.0
N20002439,Downshire_East_D2,LAGAN VALLEY,5.62,77.01,28.36,596.0
N20003637,Bangor_Central_B4,NORTH DOWN,5.62,70.47,27.98,386.0
N20003601,Bangor_West_G1,NORTH DOWN,5.62,67.06,20.39,255.0
N20003436,Comber_C4,STRANGFORD,5.62,78.08,27.2,511.0
N20002934,Cookstown_B2,MID ULSTER,5.62,74.17,27.88,391.0
N20001249,Collin_C3,BELFAST WEST,5.62,61.0,19.2,500.0
N20001622,Causeway_G2,EAST LONDONDERRY,5.62,57.88,24.46,368.0
N20002707,Coast_Road_G1,EAST ANTRIM,5.62,71.0,21.45,331.0
N20000087,Ballyclare_A1,SOUTH ANTRIM,5.62,92.05,30.0,390.0
N20000957,Ormiston_D1,BELFAST EAST,5.62,75.77,17.27,359.0
N20003572,Holywood_and_Clandeboye_J3,NORTH DOWN,5.62,76.85,23.15,419.0
N20001385,Court_D3,BELFAST NORTH,5.61,74.27,24.76,307.0
N20002782,Carrick_Castle_E4,EAST ANTRIM,5.61,79.35,26.13,310.0
N20001549,Coleraine_B2,EAST LONDONDERRY,5.61,73.45,18.81,388.0
N20002022,Derg_F7,WEST TYRONE,5.61,79.36,30.73,436.0
N20000730,Oldpark_F2,BELFAST NORTH,5.61,77.35,23.54,565.0
N20003594,Bangor_West_E2,NORTH DOWN,5.61,73.95,27.21,430.0
N20001223,Balmoral_K2,BELFAST SOUTH,5.61,70.32,21.91,502.0
N20003737,Ards_Peninsula_C3,STRANGFORD,5.61,82.47,25.0,308.0
N20002692,Coast_Road_C2,EAST ANTRIM,5.61,62.7,28.31,378.0
N20002740,Larne_Lough_C6,EAST ANTRIM,5.61,78.06,19.62,474.0
N20001530,Bann_E1,EAST LONDONDERRY,5.61,61.77,26.88,599.0
N20002675,Braid_H4,NORTH ANTRIM,5.61,89.33,22.13,253.0
N20003072,Clogher_Valley_A5,FERMANAGH AND SOUTH TYRONE,5.61,47.55,24.21,347.0
N20002650,Braid_C4,NORTH ANTRIM,5.6,84.57,25.62,324.0
N20001521,Bann_C1,EAST LONDONDERRY,5.6,72.42,30.72,446.0
N20001952,Sperrin_C1,WEST TYRONE,5.6,81.6,19.58,424.0
N20000109,Ballyclare_E1,SOUTH ANTRIM,5.6,87.7,23.23,439.0
N20001006,Ormiston_P4,BELFAST EAST,5.6,73.65,18.76,501.0
N20002582,Bannside_J2,NORTH ANTRIM,5.6,85.6,23.99,521.0
N20002742,Larne_Lough_D1,EAST ANTRIM,5.6,83.04,24.7,672.0
N20003566,Holywood_and_Clandeboye_H6,NORTH DOWN,5.6,57.65,25.73,307.0
N20002534,Castlereagh_East_G3,BELFAST EAST,5.6,74.09,25.91,440.0
N20002732,Larne_Lough_B3,EAST ANTRIM,5.6,69.89,19.6,352.0
N20002105,Enniskillen_E4,FERMANAGH AND SOUTH TYRONE,5.6,36.25,32.5,240.0
N20000962,Ormiston_D4,BELFAST EAST,5.6,82.74,28.33,533.0
N20000553,Lagan_River_G1,UPPER BANN,5.6,78.98,17.37,547.0
N20002662,Braid_F1,NORTH ANTRIM,5.6,86.24,23.64,516.0
N20000844,Castle_T2,BELFAST NORTH,5.6,83.91,22.28,404.0
N20001065,Lisnasharragh_L3,BELFAST SOUTH,5.6,74.13,21.02,433.0
N20000451,Craigavon_J2,UPPER BANN,5.59,64.4,20.92,545.0
N20002198,Omagh_D3,WEST TYRONE,5.59,10.93,27.65,311.0
N20001609,Causeway_E1,EAST LONDONDERRY,5.59,67.19,11.72,256.0
N20003616,Bangor_West_H4,NORTH DOWN,5.59,74.25,25.35,497.0
N20003552,Holywood_and_Clandeboye_H1,NORTH DOWN,5.59,57.79,33.12,308.0
N20000870,Titanic_F1,BELFAST EAST,5.59,78.78,21.54,311.0
N20000559,Lagan_River_C2,UPPER BANN,5.59,87.4,23.32,373.0
N20000970,Ormiston_G1,BELFAST EAST,5.59,65.97,25.0,432.0
N20001053,Lisnasharragh_L1,BELFAST SOUTH,5.59,59.83,27.83,600.0
N20000545,Lurgan_S3,UPPER BANN,5.59,81.77,24.4,373.0
N20002260,Downshire_West_B3,LAGAN VALLEY,5.59,79.14,26.3,441.0
N20002574,Bannside_F3,NORTH ANTRIM,5.59,88.68,17.25,539.0
N20000078,Antrim_F5,SOUTH ANTRIM,5.58,64.6,26.28,274.0
N20000170,Macedon_C2,BELFAST NORTH,5.58,74.52,19.45,365.0
N20002794,Carrick_Castle_H1,EAST ANTRIM,5.58,72.97,23.84,344.0
N20000475,Craigavon_P3,UPPER BANN,5.58,84.73,16.5,491.0
N20001522,Bann_C2,EAST LONDONDERRY,5.58,78.25,27.37,285.0
N20000930,Titanic_U2,BELFAST SOUTH,5.58,63.73,19.12,204.0
N20003489,Newtownards_C3,STRANGFORD,5.58,70.16,11.48,305.0
N20001547,Coleraine_A1,EAST LONDONDERRY,5.58,76.64,18.82,595.0
N20002667,Braid_J1,NORTH ANTRIM,5.58,76.12,19.38,289.0
N20001616,Causeway_F1,EAST LONDONDERRY,5.58,57.61,34.57,486.0
N20000723,Oldpark_C3,BELFAST NORTH,5.58,73.64,19.61,459.0
N20003527,Newtownards_P4,STRANGFORD,5.58,71.15,26.15,260.0
N20000121,Ballyclare_F5,SOUTH ANTRIM,5.58,85.47,29.58,578.0
N20000981,Ormiston_J3,BELFAST EAST,5.58,71.64,18.91,402.0
N20002262,Downshire_West_C1,LAGAN VALLEY,5.58,74.88,24.88,430.0
N20001568,Coleraine_F1,EAST LONDONDERRY,5.58,46.94,24.49,392.0
N20000106,Ballyclare_D4,SOUTH ANTRIM,5.58,85.67,24.85,342.0
N20000634,Banbridge_G4,UPPER BANN,5.58,73.06,17.17,297.0
N20000990,Ormiston_K2,BELFAST EAST,5.58,82.84,20.46,303.0
N20000056,Antrim_E4,SOUTH ANTRIM,5.58,50.28,10.39,356.0
N20000408,Portadown_J4,NEWRY AND ARMAGH,5.58,72.06,22.43,272.0
N20001008,Ormiston_P5,BELFAST EAST,5.57,79.78,26.0,450.0
N20002502,Castlereagh_East_C1,BELFAST EAST,5.57,80.11,25.21,357.0
N20002668,Braid_F3,NORTH ANTRIM,5.57,82.41,24.95,489.0
N20000697,Cusher_J2,NEWRY AND ARMAGH,5.57,82.08,18.75,480.0
N20000987,Ormiston_K1,BELFAST EAST,5.57,80.2,24.21,409.0
N20003509,Newtownards_R1,STRANGFORD,5.57,62.65,21.6,324.0
N20002635,Ballymena_K4,NORTH ANTRIM,5.57,81.61,20.32,310.0
N20000648,Banbridge_L3,SOUTH DOWN,5.57,79.62,24.42,471.0
N20000610,Banbridge_C4,UPPER BANN,5.57,65.63,24.78,448.0
N20002514,Castlereagh_East_A4,BELFAST EAST,5.57,74.63,25.79,477.0
N20000064,Antrim_J2,SOUTH ANTRIM,5.57,53.85,35.9,351.0
N20002524,Castlereagh_East_D4,BELFAST EAST,5.57,72.11,21.54,441.0
N20000961,Ormiston_D3,BELFAST EAST,5.57,80.99,25.15,342.0
N20001100,Botanic_F3,BELFAST SOUTH,5.57,57.18,11.21,348.0
N20000982,Ormiston_F5,BELFAST EAST,5.56,73.63,25.76,493.0
N20001046,Lisnasharragh_E3,BELFAST EAST,5.56,71.12,17.97,651.0
N20000681,Cusher_E4,NEWRY AND ARMAGH,5.56,86.5,28.52,526.0
N20000879,Titanic_E4,BELFAST EAST,5.56,60.49,16.46,243.0
N20001005,Ormiston_R2,BELFAST EAST,5.56,77.63,33.79,438.0
N20001381,Court_D1,BELFAST NORTH,5.56,89.54,18.97,564.0
N20000563,Lagan_River_K1,LAGAN VALLEY,5.56,66.37,27.64,568.0
N20003553,Holywood_and_Clandeboye_E2,NORTH DOWN,5.56,60.0,33.94,660.0
N20002408,Lisburn_North_G3,LAGAN VALLEY,5.56,65.98,33.61,482.0
N20002281,Downshire_West_E3,LAGAN VALLEY,5.56,79.05,33.52,525.0
N20002634,Ballymena_K3,NORTH ANTRIM,5.56,67.84,18.92,370.0
N20000554,Lagan_River_A2,UPPER BANN,5.56,81.9,18.1,348.0
N20000565,Lagan_River_D1,LAGAN VALLEY,5.56,69.08,20.39,456.0
N20003556,Holywood_and_Clandeboye_G2,NORTH DOWN,5.56,68.03,12.3,366.0
N20001554,Coleraine_A5,EAST LONDONDERRY,5.56,73.1,26.65,394.0
N20002521,Castlereagh_East_F1,BELFAST EAST,5.56,77.75,16.62,391.0
N20000419,Portadown_R4,UPPER BANN,5.56,72.45,34.44,421.0
N20000917,Titanic_Q4,BELFAST EAST,5.56,51.63,9.78,368.0
N20003728,Bangor_East_and_Donaghadee_K5,NORTH DOWN,5.56,77.98,28.06,563.0
N20003475,Newtownards_A2,STRANGFORD,5.56,79.29,26.36,478.0
N20003599,Bangor_West_F3,NORTH DOWN,5.55,54.46,16.02,437.0
N20001596,Coleraine_K4,EAST LONDONDERRY,5.55,73.67,25.93,509.0
N20000872,Titanic_D5,BELFAST EAST,5.55,51.19,6.1,377.0
N20000510,Lurgan_J1,UPPER BANN,5.55,73.46,18.05,471.0
N20001111,Botanic_G2,BELFAST SOUTH,5.55,60.07,11.55,303.0
N20000579,Lagan_River_J2,LAGAN VALLEY,5.55,81.69,22.13,497.0
N20002433,Downshire_East_A6,LAGAN VALLEY,5.55,70.22,26.02,319.0
N20000054,Antrim_D4,SOUTH ANTRIM,5.55,66.99,20.87,412.0
N20002545,Castlereagh_East_K2,STRANGFORD,5.55,88.45,18.91,476.0
N20000902,Titanic_R1,BELFAST EAST,5.55,60.86,30.53,488.0
N20002110,Enniskillen_H1,FERMANAGH AND SOUTH TYRONE,5.55,65.24,36.19,210.0
N20000071,Antrim_G5,SOUTH ANTRIM,5.55,47.37,13.16,266.0
N20003571,Holywood_and_Clandeboye_L2,NORTH DOWN,5.55,63.17,18.01,372.0
N20001607,Causeway_D1,EAST LONDONDERRY,5.55,63.24,35.99,389.0
N20000614,Banbridge_L1,SOUTH DOWN,5.55,70.17,27.82,647.0
N20000937,Titanic_X3,BELFAST EAST,5.55,62.28,14.18,395.0
N20001707,Ballymoney_A3,NORTH ANTRIM,5.55,84.08,22.52,333.0
N20000444,Craigavon_F4,UPPER BANN,5.55,24.14,1.72,290.0
N20002781,Carrick_Castle_D5,EAST ANTRIM,5.54,76.29,22.15,447.0
N20000950,Ormiston_B3,BELFAST EAST,5.54,67.39,18.36,414.0
N20002825,Knockagh_G1,EAST ANTRIM,5.54,76.82,25.26,578.0
N20001446,Benbradagh_B1,EAST LONDONDERRY,5.54,65.76,29.53,403.0
N20002445,Downshire_East_D4,LAGAN VALLEY,5.54,79.55,26.99,489.0
N20002748,Larne_Lough_F4,EAST ANTRIM,5.54,75.21,17.83,359.0
N20003499,Newtownards_J1,STRANGFORD,5.54,58.15,27.04,270.0
N20002946,Cookstown_C4,MID ULSTER,5.54,17.38,20.33,305.0
N20000688,Cusher_E5,NEWRY AND ARMAGH,5.54,75.47,30.0,530.0
N20000176,Macedon_C5,BELFAST NORTH,5.54,71.51,18.99,337.0
N20003550,Holywood_and_Clandeboye_E1,NORTH DOWN,5.54,67.27,37.72,501.0
N20000881,Titanic_G2,BELFAST EAST,5.54,67.65,17.28,405.0
N20003761,Ards_Peninsula_H2,STRANGFORD,5.54,63.65,25.58,520.0
N20003518,Newtownards_L3,STRANGFORD,5.54,63.14,18.57,350.0
N20000923,Titanic_R3,BELFAST EAST,5.54,72.67,18.63,322.0
N20000898,Titanic_Q1,BELFAST EAST,5.54,58.85,11.93,243.0
N20000801,Castle_E3,BELFAST NORTH,5.54,73.59,21.52,409.0
N20001208,Balmoral_J1,BELFAST SOUTH,5.53,81.53,19.9,417.0
N20002784,Carrick_Castle_B4,EAST ANTRIM,5.53,71.13,23.59,284.0
N20003669,Bangor_Central_P3,NORTH DOWN,5.53,72.29,19.48,498.0
N20001449,Benbradagh_A3,EAST LONDONDERRY,5.53,42.13,26.67,375.0
N20003545,Holywood_and_Clandeboye_F3,NORTH DOWN,5.53,60.95,24.57,525.0
N20001853,Waterside_B2,FOYLE,5.53,82.37,17.17,431.0
N20000103,Ballyclare_C2,SOUTH ANTRIM,5.53,76.6,31.73,312.0
N20000984,Ormiston_H4,BELFAST EAST,5.53,65.39,21.24,419.0
N20002752,Larne_Lough_G3,EAST ANTRIM,5.53,85.34,23.31,266.0
N20003537,Holywood_and_Clandeboye_A1,NORTH DOWN,5.53,71.55,36.61,478.0
N20000742,Oldpark_K2,BELFAST NORTH,5.53,69.25,18.94,322.0
N20001528,Bann_D3,EAST LONDONDERRY,5.53,83.82,24.08,519.0
N20001060,Lisnasharragh_J5,BELFAST EAST,5.53,68.55,22.55,337.0
N20003709,Bangor_East_and_Donaghadee_G6,NORTH DOWN,5.53,71.61,15.66,479.0
N20001089,Botanic_A5,BELFAST SOUTH,5.53,79.14,27.81,187.0
N20002265,Downshire_West_D2,LAGAN VALLEY,5.53,74.12,26.75,228.0
N20003592,Bangor_West_F1,NORTH DOWN,5.53,57.58,14.33,356.0
N20002753,Larne_Lough_G4,EAST ANTRIM,5.53,84.96,19.47,339.0
N20001451,Benbradagh_A5,EAST LONDONDERRY,5.53,41.25,27.5,240.0
N20002580,Bannside_H2,NORTH ANTRIM,5.53,77.25,24.88,422.0
N20000638,Banbridge_K2,UPPER BANN,5.52,69.69,21.96,419.0
N20002503,Castlereagh_East_C2,BELFAST EAST,5.52,78.25,15.14,469.0
N20002655,Braid_C6,NORTH ANTRIM,5.52,46.7,21.18,439.0
N20003586,Bangor_West_D1,NORTH DOWN,5.52,51.33,30.91,563.0
N20002830,Knockagh_J1,EAST ANTRIM,5.52,67.93,32.78,421.0
N20001128,Botanic_U1,BELFAST SOUTH,5.52,47.91,14.42,215.0
N20003482,Newtownards_C1,STRANGFORD,5.52,70.1,22.25,418.0
N20003570,Holywood_and_Clandeboye_L1,NORTH DOWN,5.52,57.34,23.39,218.0
N20000057,Antrim_G2,SOUTH ANTRIM,5.52,40.31,22.7,392.0
N20002968,Cookstown_G3,MID ULSTER,5.52,78.34,28.34,314.0
N20000010,Dunsilly_B3,SOUTH ANTRIM,5.52,85.33,20.54,443.0
