DZ21,DEA2014,u_open_1972,n_open_1972,u_open_1984,n_open_1984,u_open_1993,n_open_1993,u_open_2012,n_open_2012,u_open_mean,n_open_mean,n_vintages_u
N20000736,Oldpark,32.9,100.0,3.9,13.0,62.0,8.0,27.8,5.5,31.6,31.6,4
N20001371,Court,32.9,100.0,3.9,13.0,62.0,8.0,42.7,38.0,35.4,39.8,4
N20001370,Court,32.9,100.0,11.6,100.0,37.0,,42.7,38.0,31.1,79.3,4
N20001372,Court,32.9,100.0,11.6,100.0,37.0,,42.7,38.0,31.1,79.3,4
N20001369,Court,32.9,100.0,11.6,100.0,37.0,,42.7,38.0,31.1,79.3,4
N20000731,Oldpark,32.9,100.0,3.9,13.0,62.0,8.0,27.8,5.5,31.6,31.6,4
N20000725,Oldpark,32.9,100.0,3.9,13.0,62.0,8.0,27.8,5.5,31.6,31.6,4
N20000728,Oldpark,32.9,100.0,3.9,13.0,62.0,8.0,27.8,5.5,31.6,31.6,4
N20000730,Oldpark,32.9,100.0,3.9,13.0,62.0,8.0,27.8,5.5,31.6,31.6,4
N20000729,Oldpark,32.9,100.0,3.9,13.0,62.0,8.0,27.8,5.5,31.6,31.6,4
N20000723,Oldpark,32.9,100.0,3.9,13.0,62.0,8.0,27.8,5.5,31.6,31.6,4
N20000722,Oldpark,32.9,100.0,3.9,13.0,62.0,8.0,27.8,5.5,31.6,31.6,4
N20000726,Oldpark,17.0,,3.9,13.0,62.0,8.0,27.8,5.5,27.7,8.8,4
N20000727,Oldpark,32.9,100.0,3.9,13.0,62.0,8.0,27.8,5.5,31.6,31.6,4
N20000733,Oldpark,32.9,100.0,3.9,13.0,62.0,8.0,27.8,5.5,31.6,31.6,4
N20000744,Oldpark,32.9,100.0,3.9,13.0,62.0,8.0,27.8,5.5,31.6,31.6,4
N20000743,Oldpark,32.9,100.0,3.9,13.0,62.0,8.0,27.8,5.5,31.6,31.6,4
N20000739,Oldpark,32.9,100.0,3.9,13.0,62.0,8.0,27.8,5.5,31.6,31.6,4
N20000735,Oldpark,17.0,,3.9,13.0,62.0,8.0,27.8,5.5,27.7,8.8,4
N20000740,Oldpark,17.0,,3.9,13.0,62.0,8.0,27.8,5.5,27.7,8.8,4
N20000748,Oldpark,17.0,,3.9,13.0,62.0,8.0,27.8,5.5,27.7,8.8,4
N20000746,Oldpark,17.0,,3.9,13.0,62.0,8.0,27.8,5.5,27.7,8.8,4
N20000741,Oldpark,17.0,,3.9,13.0,62.0,8.0,27.8,5.5,27.7,8.8,4
N20000732,Oldpark,17.0,,3.9,13.0,62.0,8.0,27.8,5.5,27.7,8.8,4
N20000827,Castle,17.0,,28.6,100.0,4.4,66.2,11.1,18.3,15.3,61.5,4
N20000816,Castle,17.0,,28.6,100.0,4.4,66.2,11.1,18.3,15.3,61.5,4
N20000820,Castle,17.0,,28.6,100.0,62.0,8.0,11.1,18.3,29.7,42.1,4
N20000819,Castle,17.0,,28.6,100.0,62.0,8.0,11.1,18.3,29.7,42.1,4
N20000716,Oldpark,32.9,100.0,3.9,13.0,62.0,8.0,27.8,5.5,31.6,31.6,4
N20000717,Oldpark,32.9,100.0,3.9,13.0,62.0,8.0,27.8,5.5,31.6,31.6,4
N20000714,Oldpark,32.9,100.0,3.9,13.0,62.0,8.0,27.8,5.5,31.6,31.6,4
N20000806,Castle,17.0,,28.6,100.0,4.4,66.2,11.1,18.3,15.3,61.5,4
N20000805,Castle,17.0,,28.6,100.0,4.4,66.2,11.1,18.3,15.3,61.5,4
N20000809,Castle,17.0,,28.6,100.0,4.4,66.2,11.1,18.3,15.3,61.5,4
N20000807,Castle,17.0,,28.6,100.0,4.4,66.2,11.1,18.3,15.3,61.5,4
N20000796,Castle,17.0,,28.6,100.0,4.4,66.2,11.1,18.3,15.3,61.5,4
N20000711,Oldpark,32.9,100.0,3.9,13.0,62.0,8.0,27.8,5.5,31.6,31.6,4
N20000718,Oldpark,32.9,100.0,3.9,13.0,62.0,8.0,27.8,5.5,31.6,31.6,4
N20000720,Oldpark,32.9,100.0,3.9,13.0,62.0,8.0,27.8,5.5,31.6,31.6,4
N20000721,Oldpark,32.9,100.0,3.9,13.0,62.0,8.0,27.8,5.5,31.6,31.6,4
N20000719,Oldpark,32.9,100.0,3.9,13.0,62.0,8.0,27.8,5.5,31.6,31.6,4
N20000713,Oldpark,32.9,100.0,3.9,13.0,62.0,8.0,27.8,5.5,31.6,31.6,4
N20000715,Oldpark,32.9,100.0,3.9,13.0,62.0,8.0,27.8,5.5,31.6,31.6,4
N20000712,Oldpark,32.9,100.0,3.9,13.0,62.0,8.0,27.8,5.5,31.6,31.6,4
N20000277,Airport,,,14.0,,13.7,23.5,1.4,0.4,9.7,11.9,3
N20000251,Glengormley Urban,,,14.0,,13.7,23.5,17.3,,15.0,23.5,3
N20000255,Glengormley Urban,5.2,100.0,,,13.7,23.5,17.3,,12.1,61.8,3
N20000256,Glengormley Urban,5.2,100.0,,,13.7,23.5,17.3,,12.1,61.8,3
N20000253,Glengormley Urban,5.2,100.0,,,13.7,23.5,17.3,,12.1,61.8,3
N20000252,Glengormley Urban,5.2,100.0,,,13.7,23.5,17.3,,12.1,61.8,3
N20000254,Glengormley Urban,5.2,100.0,,,13.7,23.5,17.3,,12.1,61.8,3
N20000250,Glengormley Urban,5.2,100.0,,,13.7,23.5,17.3,,12.1,61.8,3
N20000787,Castle,17.0,,28.6,100.0,4.4,66.2,11.1,18.3,15.3,61.5,4
N20000788,Castle,17.0,,28.6,100.0,4.4,66.2,11.1,18.3,15.3,61.5,4
N20000201,Macedon,,,,,,69.9,5.7,,5.7,69.9,1
N20000196,Macedon,,,,,,69.9,5.7,,5.7,69.9,1
N20000189,Macedon,,,,,,69.9,5.7,,5.7,69.9,1
N20000190,Macedon,,,,,,69.9,5.7,,5.7,69.9,1
N20000192,Macedon,,,,,,69.9,5.7,,5.7,69.9,1
N20000195,Macedon,,,,,,69.9,5.7,,5.7,69.9,1
N20000194,Macedon,,,,,,69.9,5.7,,5.7,69.9,1
N20000193,Macedon,,,,,,69.9,5.7,,5.7,69.9,1
N20000187,Macedon,,,,,,69.9,5.7,,5.7,69.9,1
N20000191,Macedon,,,,,,69.9,5.7,,5.7,69.9,1
N20000198,Macedon,,,,,,69.9,5.7,,5.7,69.9,1
N20000197,Macedon,,,,,,69.9,5.7,,5.7,69.9,1
N20000200,Macedon,,,,,,69.9,5.7,,5.7,69.9,1
N20000204,Macedon,,,,,,69.9,5.7,,5.7,69.9,1
N20000202,Macedon,,,,,,69.9,5.7,,5.7,69.9,1
N20000199,Macedon,,,,,,69.9,5.7,,5.7,69.9,1
N20000203,Macedon,,,,,,69.9,5.7,,5.7,69.9,1
N20000205,Macedon,,,,,,69.9,5.7,,5.7,69.9,1
N20000206,Macedon,,,,,,69.9,5.7,,5.7,69.9,1
N20000210,Macedon,,,,,,69.9,5.7,,5.7,69.9,1
N20000208,Macedon,,,,,,69.9,5.7,,5.7,69.9,1
N20000792,Castle,17.0,,28.6,100.0,4.4,66.2,11.1,18.3,15.3,61.5,4
N20000793,Castle,17.0,,28.6,100.0,4.4,66.2,11.1,18.3,15.3,61.5,4
N20000791,Castle,17.0,,28.6,100.0,4.4,66.2,11.1,18.3,15.3,61.5,4
N20000790,Castle,17.0,,28.6,100.0,4.4,66.2,11.1,18.3,15.3,61.5,4
N20000209,Macedon,,,,,,69.9,5.7,,5.7,69.9,1
N20000207,Macedon,,,,,,69.9,5.7,,5.7,69.9,1
N20000789,Castle,17.0,,28.6,100.0,4.4,66.2,11.1,18.3,15.3,61.5,4
N20000797,Castle,17.0,,28.6,100.0,4.4,66.2,11.1,18.3,15.3,61.5,4
N20000799,Castle,17.0,,28.6,100.0,4.4,66.2,11.1,18.3,15.3,61.5,4
N20000802,Castle,17.0,,28.6,100.0,4.4,66.2,11.1,18.3,15.3,61.5,4
N20000808,Castle,17.0,,28.6,100.0,4.4,66.2,11.1,18.3,15.3,61.5,4
N20000812,Castle,17.0,,28.6,100.0,4.4,66.2,11.1,18.3,15.3,61.5,4
N20000814,Castle,17.0,,28.6,100.0,4.4,66.2,11.1,18.3,15.3,61.5,4
N20000815,Castle,17.0,,28.6,100.0,4.4,66.2,11.1,18.3,15.3,61.5,4
N20000824,Castle,17.0,,28.6,100.0,4.4,66.2,11.1,18.3,15.3,61.5,4
N20000822,Castle,17.0,,28.6,100.0,4.4,66.2,11.1,18.3,15.3,61.5,4
N20000818,Castle,17.0,,28.6,100.0,4.4,66.2,11.1,18.3,15.3,61.5,4
N20000823,Castle,17.0,,28.6,100.0,4.4,66.2,11.1,18.3,15.3,61.5,4
N20000817,Castle,17.0,,28.6,100.0,4.4,66.2,11.1,18.3,15.3,61.5,4
N20000811,Castle,17.0,,28.6,100.0,4.4,66.2,11.1,18.3,15.3,61.5,4
N20000810,Castle,17.0,,28.6,100.0,4.4,66.2,11.1,18.3,15.3,61.5,4
N20000804,Castle,17.0,,28.6,100.0,4.4,66.2,11.1,18.3,15.3,61.5,4
N20000803,Castle,17.0,,28.6,100.0,4.4,66.2,11.1,18.3,15.3,61.5,4
N20000801,Castle,17.0,,28.6,100.0,4.4,66.2,11.1,18.3,15.3,61.5,4
N20000813,Castle,17.0,,28.6,100.0,4.4,66.2,11.1,18.3,15.3,61.5,4
N20000821,Castle,17.0,,28.6,100.0,4.4,66.2,11.1,18.3,15.3,61.5,4
N20000800,Castle,17.0,,28.6,100.0,4.4,66.2,11.1,18.3,15.3,61.5,4
N20000798,Castle,17.0,,28.6,100.0,4.4,66.2,11.1,18.3,15.3,61.5,4
N20000795,Castle,17.0,,28.6,100.0,4.4,66.2,11.1,18.3,15.3,61.5,4
N20000794,Castle,17.0,,28.6,100.0,4.4,66.2,11.1,18.3,15.3,61.5,4
N20000188,Macedon,,,,,,69.9,5.7,,5.7,69.9,1
N20003545,Holywood and Clandeboye,,,,,,,9.9,100.0,9.9,100.0,1
N20003548,Holywood and Clandeboye,,,,,,,9.9,100.0,9.9,100.0,1
N20003549,Holywood and Clandeboye,,,,,,,9.9,100.0,9.9,100.0,1
N20003551,Holywood and Clandeboye,,,,,,,9.9,100.0,9.9,100.0,1
N20003553,Holywood and Clandeboye,,,,,,,9.9,100.0,9.9,100.0,1
N20003567,Holywood and Clandeboye,,,,,,,9.9,100.0,9.9,100.0,1
N20003575,Holywood and Clandeboye,,,,,,,9.9,100.0,9.9,100.0,1
N20003573,Holywood and Clandeboye,,,,,,,9.9,100.0,9.9,100.0,1
N20003574,Holywood and Clandeboye,,,,,,,9.9,100.0,9.9,100.0,1
N20003570,Holywood and Clandeboye,,,,,,,9.9,100.0,9.9,100.0,1
N20003566,Holywood and Clandeboye,,,,,,,9.9,100.0,9.9,100.0,1
N20003565,Holywood and Clandeboye,,,,,,,9.9,100.0,9.9,100.0,1
N20003560,Holywood and Clandeboye,,,,,,,9.9,100.0,9.9,100.0,1
N20003555,Holywood and Clandeboye,,,,,,,9.9,100.0,9.9,100.0,1
N20003550,Holywood and Clandeboye,,,,,,,9.9,100.0,9.9,100.0,1
N20003552,Holywood and Clandeboye,,,,,,,9.9,100.0,9.9,100.0,1
N20003558,Holywood and Clandeboye,,,,,,,9.9,100.0,9.9,100.0,1
N20003561,Holywood and Clandeboye,,,,,,,9.9,100.0,9.9,100.0,1
N20003559,Holywood and Clandeboye,,,,,,,9.9,100.0,9.9,100.0,1
N20003563,Holywood and Clandeboye,,,,,,,9.9,100.0,9.9,100.0,1
N20003564,Holywood and Clandeboye,,,,,,,9.9,100.0,9.9,100.0,1
N20003571,Holywood and Clandeboye,,,,,,,9.9,100.0,9.9,100.0,1
N20003576,Holywood and Clandeboye,,,,,,,9.9,100.0,9.9,100.0,1
N20000946,Ormiston,,,,,,,4.6,,4.6,,1
N20000947,Ormiston,6.8,,5.1,,29.3,,4.6,,11.5,,4
N20000945,Ormiston,6.8,,5.1,,29.3,,4.6,,11.5,,4
N20000948,Ormiston,6.8,,5.1,,29.3,,4.6,,11.5,,4
N20000949,Ormiston,6.8,,5.1,,29.3,,4.6,,11.5,,4
N20000951,Ormiston,6.8,,5.1,,29.3,,4.6,,11.5,,4
N20000950,Ormiston,6.8,,5.1,,29.3,,4.6,,11.5,,4
N20000956,Ormiston,6.8,,5.1,,29.3,,4.6,,11.5,,4
N20000954,Ormiston,6.8,,5.1,,29.3,,4.6,,11.5,,4
N20000953,Ormiston,6.8,,5.1,,29.3,,4.6,,11.5,,4
N20000952,Ormiston,6.8,,5.1,,29.3,,4.6,,11.5,,4
N20000955,Ormiston,6.8,,5.1,,29.3,,4.6,,11.5,,4
N20003577,Holywood and Clandeboye,,,,,,,9.9,100.0,9.9,100.0,1
N20002500,Castlereagh East,20.4,,,,23.9,,33.3,,25.9,,3
N20002503,Castlereagh East,20.4,,,,23.9,,33.3,,25.9,,3
N20002502,Castlereagh East,20.4,,,,23.9,,33.3,,25.9,,3
N20002501,Castlereagh East,20.4,,,,23.9,,33.3,,25.9,,3
N20002510,Castlereagh East,20.4,,,,23.9,,33.3,,25.9,,3
N20002511,Castlereagh East,20.4,,,,23.9,,33.3,,25.9,,3
N20002505,Castlereagh East,20.4,,,,23.9,,33.3,,25.9,,3
N20002523,Castlereagh East,20.4,,,,23.9,,33.3,,25.9,,3
N20002513,Castlereagh East,20.4,,,,23.9,,33.3,,25.9,,3
N20002515,Castlereagh East,20.4,,,,23.9,,33.3,,25.9,,3
N20002518,Castlereagh East,20.4,,,,23.9,,33.3,,25.9,,3
N20002526,Castlereagh East,20.4,,,,23.9,,33.3,,25.9,,3
N20002527,Castlereagh East,20.4,,,,23.9,,33.3,,25.9,,3
N20002514,Castlereagh East,20.4,,,,23.9,,33.3,,25.9,,3
N20002522,Castlereagh East,20.4,,,,23.9,,33.3,,25.9,,3
N20002521,Castlereagh East,20.4,,,,23.9,,33.3,,25.9,,3
N20002517,Castlereagh East,20.4,,,,23.9,,33.3,,25.9,,3
N20002529,Castlereagh East,20.4,,,,23.9,,33.3,,25.9,,3
N20002530,Castlereagh East,20.4,,,,23.9,,33.3,,25.9,,3
N20002525,Castlereagh East,20.4,,,,23.9,,33.3,,25.9,,3
N20002520,Castlereagh East,20.4,,,,23.9,,33.3,,25.9,,3
N20002512,Castlereagh East,20.4,,,,23.9,,33.3,,25.9,,3
N20002506,Castlereagh East,20.4,,,,23.9,,33.3,,25.9,,3
N20002507,Castlereagh East,20.4,,,,23.9,,33.3,,25.9,,3
N20002504,Castlereagh East,20.4,,,,23.9,,33.3,,25.9,,3
N20002508,Castlereagh East,20.4,,,,23.9,,33.3,,25.9,,3
N20002516,Castlereagh East,20.4,,,,23.9,,33.3,,25.9,,3
N20002519,Castlereagh East,20.4,,,,23.9,,33.3,,25.9,,3
N20002524,Castlereagh East,20.4,,,,23.9,,33.3,,25.9,,3
N20000980,Ormiston,6.8,,5.1,,29.3,,4.6,,11.5,,4
N20000989,Ormiston,20.4,,,,23.9,,4.6,,16.3,,3
N20000996,Ormiston,20.4,,,,23.9,,4.6,,16.3,,3
N20000991,Ormiston,20.4,,,,23.9,,4.6,,16.3,,3
N20000992,Ormiston,20.4,,,,23.9,,4.6,,16.3,,3
N20000986,Ormiston,6.8,,5.1,,29.3,,4.6,,11.5,,4
N20000977,Ormiston,6.8,,5.1,,29.3,,4.6,,11.5,,4
N20000981,Ormiston,6.8,,5.1,,29.3,,4.6,,11.5,,4
N20000978,Ormiston,6.8,,5.1,,29.3,,4.6,,11.5,,4
N20000960,Ormiston,6.8,,5.1,,29.3,,4.6,,11.5,,4
N20000967,Ormiston,6.8,,5.1,,29.3,,4.6,,11.5,,4
N20000965,Ormiston,6.8,,5.1,,29.3,,4.6,,11.5,,4
N20000959,Ormiston,6.8,,5.1,,29.3,,4.6,,11.5,,4
N20000963,Ormiston,6.8,,5.1,,29.3,,4.6,,11.5,,4
N20000971,Ormiston,6.8,,5.1,,29.3,,4.6,,11.5,,4
N20000970,Ormiston,6.8,,5.1,,29.3,,4.6,,11.5,,4
N20000974,Ormiston,6.8,,5.1,,29.3,,4.6,,11.5,,4
N20000983,Ormiston,6.8,,5.1,,29.3,,4.6,,11.5,,4
N20000979,Ormiston,6.8,,5.1,,29.3,,4.6,,11.5,,4
N20000982,Ormiston,6.8,,5.1,,29.3,,4.6,,11.5,,4
N20000997,Ormiston,6.8,,5.1,,29.3,,4.6,,11.5,,4
N20000988,Ormiston,6.8,,5.1,,29.3,,4.6,,11.5,,4
N20000995,Ormiston,6.8,,5.1,,29.3,,4.6,,11.5,,4
N20000993,Ormiston,6.8,,5.1,,29.3,,4.6,,11.5,,4
N20000985,Ormiston,6.8,,5.1,,29.3,,4.6,,11.5,,4
N20000975,Ormiston,6.8,,5.1,,29.3,,4.6,,11.5,,4
N20000973,Ormiston,6.8,,5.1,,29.3,,4.6,,11.5,,4
N20000976,Ormiston,6.8,,5.1,,29.3,,4.6,,11.5,,4
N20000984,Ormiston,6.8,,5.1,,29.3,,4.6,,11.5,,4
N20000902,Titanic,6.8,,5.1,,29.3,,11.0,,13.1,,4
N20000897,Titanic,6.8,,5.1,,31.4,62.1,11.0,,13.6,62.1,4
N20000909,Titanic,6.8,,,81.4,31.4,62.1,11.0,,16.4,71.8,3
N20000923,Titanic,6.8,,,81.4,31.4,62.1,11.0,,16.4,71.8,3
N20000990,Ormiston,6.8,,5.1,,29.3,,4.6,,11.5,,4
N20000987,Ormiston,6.8,,5.1,,29.3,,4.6,,11.5,,4
N20000994,Ormiston,6.8,,5.1,,29.3,,4.6,,11.5,,4
N20001017,Lisnasharragh,6.8,,5.1,,31.4,62.1,23.5,24.6,16.7,43.4,4
N20000935,Titanic,7.9,79.0,,81.4,31.4,62.1,11.0,,16.8,74.2,3
N20000929,Titanic,6.8,,,81.4,31.4,62.1,11.0,,16.4,71.8,3
N20000920,Titanic,6.8,,,81.4,31.4,62.1,11.0,,16.4,71.8,3
N20000926,Titanic,6.8,,,81.4,31.4,62.1,11.0,,16.4,71.8,3
N20000917,Titanic,6.8,,,81.4,31.4,62.1,11.0,,16.4,71.8,3
N20000937,Titanic,7.9,79.0,,81.4,31.4,62.1,11.0,,16.8,74.2,3
N20000932,Titanic,7.9,79.0,,81.4,31.4,62.1,11.0,,16.8,74.2,3
N20000936,Titanic,7.9,79.0,,81.4,31.4,62.1,11.0,,16.8,74.2,3
N20001018,Lisnasharragh,7.9,79.0,,81.4,31.4,62.1,23.5,24.6,20.9,61.8,3
N20000940,Titanic,7.9,79.0,,81.4,31.4,62.1,11.0,,16.8,74.2,3
N20000938,Titanic,7.9,79.0,,81.4,31.4,62.1,11.0,,16.8,74.2,3
N20000933,Titanic,7.9,79.0,,81.4,31.4,62.1,11.0,,16.8,74.2,3
N20000930,Titanic,7.9,79.0,,81.4,31.4,62.1,11.0,,16.8,74.2,3
N20000919,Titanic,7.9,79.0,,81.4,31.4,62.1,11.0,,16.8,74.2,3
N20000921,Titanic,7.9,79.0,,81.4,31.4,62.1,11.0,,16.8,74.2,3
N20000925,Titanic,7.9,79.0,,81.4,31.4,62.1,11.0,,16.8,74.2,3
N20000927,Titanic,7.9,79.0,,81.4,31.4,62.1,11.0,,16.8,74.2,3
N20000914,Titanic,7.9,79.0,,81.4,31.4,62.1,11.0,,16.8,74.2,3
N20000903,Titanic,7.9,79.0,,81.4,31.4,62.1,11.0,,16.8,74.2,3
N20000910,Titanic,7.9,79.0,,81.4,31.4,62.1,11.0,,16.8,74.2,3
N20000908,Titanic,7.9,79.0,,81.4,31.4,62.1,11.0,,16.8,74.2,3
N20000901,Titanic,7.9,79.0,,81.4,31.4,62.1,11.0,,16.8,74.2,3
N20000905,Titanic,7.9,79.0,,81.4,31.4,62.1,11.0,,16.8,74.2,3
N20000900,Titanic,7.9,79.0,,81.4,31.4,62.1,11.0,,16.8,74.2,3
N20000899,Titanic,6.8,,,81.4,31.4,62.1,11.0,,16.4,71.8,3
N20000906,Titanic,6.8,,,81.4,31.4,62.1,11.0,,16.4,71.8,3
N20000915,Titanic,7.9,79.0,,81.4,31.4,62.1,11.0,,16.8,74.2,3
N20000911,Titanic,6.8,,,81.4,31.4,62.1,11.0,,16.4,71.8,3
N20000907,Titanic,6.8,,,81.4,31.4,62.1,11.0,,16.4,71.8,3
N20000916,Titanic,6.8,,,81.4,31.4,62.1,11.0,,16.4,71.8,3
N20000898,Titanic,6.8,,,81.4,31.4,62.1,11.0,,16.4,71.8,3
N20000895,Titanic,6.8,,5.1,,31.4,62.1,11.0,,13.6,62.1,4
N20000888,Titanic,6.8,,5.1,,29.3,,11.0,,13.1,,4
N20000879,Titanic,6.8,,5.1,,29.3,,11.0,,13.1,,4
N20000871,Titanic,6.8,,5.1,,29.3,,11.0,,13.1,,4
N20000878,Titanic,6.8,,5.1,,29.3,,11.0,,13.1,,4
N20000875,Titanic,6.8,,5.1,,29.3,,11.0,,13.1,,4
N20000874,Titanic,6.8,,5.1,,29.3,,11.0,,13.1,,4
N20000880,Titanic,6.8,,5.1,,29.3,,11.0,,13.1,,4
N20000891,Titanic,6.8,,,81.4,31.4,62.1,11.0,,16.4,71.8,3
N20000892,Titanic,7.9,79.0,,81.4,31.4,62.1,11.0,,16.8,74.2,3
N20000893,Titanic,7.9,79.0,,81.4,31.4,62.1,11.0,,16.8,74.2,3
N20000884,Titanic,7.9,79.0,,81.4,31.4,62.1,11.0,,16.8,74.2,3
N20000873,Titanic,6.8,,,81.4,31.4,62.1,11.0,,16.4,71.8,3
N20000877,Titanic,6.8,,5.1,,29.3,,11.0,,13.1,,4
N20000870,Titanic,6.8,,5.1,,29.3,,11.0,,13.1,,4
N20000867,Titanic,6.8,,5.1,,29.3,,11.0,,13.1,,4
N20000864,Titanic,6.8,,5.1,,29.3,,11.0,,13.1,,4
N20000862,Titanic,6.8,,5.1,,29.3,,11.0,,13.1,,4
N20000861,Titanic,6.8,,5.1,,29.3,,11.0,,13.1,,4
N20000863,Titanic,6.8,,5.1,,29.3,,11.0,,13.1,,4
N20000869,Titanic,6.8,,5.1,,29.3,,11.0,,13.1,,4
N20000865,Titanic,6.8,,5.1,,29.3,,11.0,,13.1,,4
N20000866,Titanic,6.8,,5.1,,29.3,,11.0,,13.1,,4
N20000868,Titanic,6.8,,5.1,,29.3,,11.0,,13.1,,4
N20000872,Titanic,6.8,,5.1,,29.3,,11.0,,13.1,,4
N20000876,Titanic,6.8,,5.1,,29.3,,11.0,,13.1,,4
N20000883,Titanic,6.8,,5.1,,29.3,,11.0,,13.1,,4
N20000889,Titanic,6.8,,5.1,,29.3,,11.0,,13.1,,4
N20000881,Titanic,6.8,,5.1,,29.3,,11.0,,13.1,,4
N20000890,Titanic,6.8,,5.1,,29.3,,11.0,,13.1,,4
N20000966,Ormiston,6.8,,5.1,,29.3,,4.6,,11.5,,4
N20000964,Ormiston,6.8,,5.1,,29.3,,4.6,,11.5,,4
N20000972,Ormiston,6.8,,5.1,,29.3,,4.6,,11.5,,4
N20000969,Ormiston,6.8,,5.1,,29.3,,4.6,,11.5,,4
N20000968,Ormiston,6.8,,5.1,,29.3,,4.6,,11.5,,4
N20000961,Ormiston,6.8,,5.1,,29.3,,4.6,,11.5,,4
N20000962,Ormiston,6.8,,5.1,,29.3,,4.6,,11.5,,4
N20000958,Ormiston,6.8,,5.1,,29.3,,4.6,,11.5,,4
N20000957,Ormiston,6.8,,5.1,,29.3,,4.6,,11.5,,4
N20000858,Titanic,6.8,,5.1,,29.3,,11.0,,13.1,,4
N20000859,Titanic,6.8,,5.1,,29.3,,11.0,,13.1,,4
N20000856,Titanic,6.8,,5.1,,29.3,,11.0,,13.1,,4
N20000825,Castle,2.3,,28.6,100.0,4.4,66.2,11.1,18.3,11.6,61.5,4
N20000857,Titanic,6.8,,5.1,,29.3,,11.0,,13.1,,4
N20000860,Titanic,6.8,,5.1,,29.3,,11.0,,13.1,,4
N20000829,Castle,17.0,,28.6,100.0,4.4,66.2,11.1,18.3,15.3,61.5,4
N20000835,Castle,17.0,,28.6,100.0,4.4,66.2,11.1,18.3,15.3,61.5,4
N20000844,Castle,17.0,,28.6,100.0,4.4,66.2,11.1,18.3,15.3,61.5,4
N20000842,Castle,17.0,,28.6,100.0,4.4,66.2,11.1,18.3,15.3,61.5,4
N20000845,Castle,17.0,,28.6,100.0,4.4,66.2,11.1,18.3,15.3,61.5,4
N20000843,Castle,17.0,,3.9,13.0,62.0,8.0,11.1,18.3,23.5,13.1,4
N20000839,Castle,17.0,,28.6,100.0,4.4,66.2,11.1,18.3,15.3,61.5,4
N20000841,Castle,17.0,,28.6,100.0,4.4,66.2,11.1,18.3,15.3,61.5,4
N20000837,Castle,17.0,,28.6,100.0,4.4,66.2,11.1,18.3,15.3,61.5,4
N20000828,Castle,17.0,,28.6,100.0,4.4,66.2,11.1,18.3,15.3,61.5,4
N20000832,Castle,17.0,,28.6,100.0,4.4,66.2,11.1,18.3,15.3,61.5,4
N20000826,Castle,17.0,,28.6,100.0,4.4,66.2,11.1,18.3,15.3,61.5,4
N20000831,Castle,17.0,,28.6,100.0,4.4,66.2,11.1,18.3,15.3,61.5,4
N20000836,Castle,17.0,,28.6,100.0,4.4,66.2,11.1,18.3,15.3,61.5,4
N20000838,Castle,17.0,,28.6,100.0,4.4,66.2,11.1,18.3,15.3,61.5,4
N20000833,Castle,17.0,,28.6,100.0,4.4,66.2,11.1,18.3,15.3,61.5,4
N20000830,Castle,17.0,,28.6,100.0,4.4,66.2,11.1,18.3,15.3,61.5,4
N20000834,Castle,17.0,,28.6,100.0,4.4,66.2,11.1,18.3,15.3,61.5,4
N20000734,Oldpark,17.0,,3.9,13.0,62.0,8.0,27.8,5.5,27.7,8.8,4
N20000840,Castle,17.0,,3.9,13.0,62.0,8.0,11.1,18.3,23.5,13.1,4
N20000738,Oldpark,17.0,,3.9,13.0,62.0,8.0,27.8,5.5,27.7,8.8,4
N20000846,Castle,17.0,,3.9,13.0,62.0,8.0,11.1,18.3,23.5,13.1,4
N20000745,Oldpark,17.0,,3.9,13.0,62.0,8.0,27.8,5.5,27.7,8.8,4
N20000750,Oldpark,17.0,,3.9,13.0,62.0,8.0,27.8,5.5,27.7,8.8,4
N20000754,Oldpark,17.0,,3.9,13.0,62.0,8.0,27.8,5.5,27.7,8.8,4
N20000757,Oldpark,2.3,,3.9,13.0,62.0,8.0,27.8,5.5,24.0,8.8,4
N20000763,Oldpark,2.3,,11.6,100.0,37.0,,27.8,5.5,19.7,52.8,4
N20000764,Oldpark,2.3,,3.9,13.0,62.0,8.0,27.8,5.5,24.0,8.8,4
N20000759,Oldpark,17.0,,3.9,13.0,62.0,8.0,27.8,5.5,27.7,8.8,4
N20000747,Oldpark,17.0,,3.9,13.0,62.0,8.0,27.8,5.5,27.7,8.8,4
N20000849,Castle,17.0,,3.9,13.0,62.0,8.0,11.1,18.3,23.5,13.1,4
N20000851,Castle,17.0,,28.6,100.0,4.4,66.2,11.1,18.3,15.3,61.5,4
N20000848,Castle,17.0,,28.6,100.0,4.4,66.2,11.1,18.3,15.3,61.5,4
N20000847,Castle,17.0,,28.6,100.0,4.4,66.2,11.1,18.3,15.3,61.5,4
N20000850,Castle,17.0,,28.6,100.0,4.4,66.2,11.1,18.3,15.3,61.5,4
N20000852,Castle,17.0,,28.6,100.0,4.4,66.2,11.1,18.3,15.3,61.5,4
N20000769,Oldpark,2.3,,3.9,13.0,62.0,8.0,27.8,5.5,24.0,8.8,4
N20000766,Oldpark,2.3,,3.9,13.0,62.0,8.0,27.8,5.5,24.0,8.8,4
N20000772,Oldpark,2.3,,3.9,13.0,62.0,8.0,27.8,5.5,24.0,8.8,4
N20000777,Oldpark,2.3,,3.9,13.0,62.0,8.0,27.8,5.5,24.0,8.8,4
