DZ21,con,catholic_bg_pct,unity,lo90,hi90
N20000482,UPPER BANN,59.9,51.0,47.9,54.5
N20000483,UPPER BANN,93.8,70.2,66.4,74.0
N20000484,UPPER BANN,93.0,69.8,66.0,73.5
N20000488,UPPER BANN,54.8,48.1,45.0,51.5
N20000489,UPPER BANN,96.6,71.8,67.9,75.7
N20000490,UPPER BANN,94.9,70.8,66.9,74.7
N20000492,UPPER BANN,96.6,71.8,67.9,75.7
N20000493,UPPER BANN,95.0,70.9,67.0,74.7
N20000494,UPPER BANN,95.6,71.2,67.3,75.1
N20000495,UPPER BANN,94.9,70.8,66.9,74.7
N20000496,UPPER BANN,87.5,66.6,63.0,70.3
N20000498,UPPER BANN,68.3,55.8,52.5,59.4
N20000500,UPPER BANN,82.0,63.5,60.1,67.1
N20000501,UPPER BANN,24.0,30.7,27.5,33.9
N20000502,UPPER BANN,31.6,35.0,31.8,38.2
N20000503,UPPER BANN,94.4,70.6,66.7,74.3
N20000504,UPPER BANN,76.8,60.6,57.2,64.2
N20000505,UPPER BANN,86.9,66.3,62.7,70.0
N20000506,UPPER BANN,78.6,61.6,58.3,65.2
N20000507,UPPER BANN,29.8,34.0,30.9,37.2
N20000508,UPPER BANN,85.0,65.2,61.7,68.9
N20000509,UPPER BANN,82.1,63.6,60.1,67.2
N20000510,UPPER BANN,12.3,24.1,20.5,27.6
N20000512,UPPER BANN,73.1,58.5,55.2,62.1
N20000513,UPPER BANN,36.5,37.8,34.6,41.0
N20000514,UPPER BANN,22.6,29.9,26.7,33.2
N20000515,UPPER BANN,36.9,38.0,34.8,41.2
N20000516,UPPER BANN,86.6,66.1,62.5,69.8
N20000517,UPPER BANN,7.0,21.1,17.4,24.6
N20000518,UPPER BANN,6.0,20.5,16.8,24.1
N20000519,UPPER BANN,14.1,25.1,21.6,28.6
N20000520,UPPER BANN,7.0,21.1,17.4,24.6
N20000521,UPPER BANN,32.8,35.7,32.5,38.9
N20000522,UPPER BANN,92.2,69.3,65.5,73.0
N20000523,UPPER BANN,13.6,24.8,21.3,28.3
N20000524,UPPER BANN,75.7,60.0,56.6,63.6
N20000526,UPPER BANN,18.2,27.4,24.1,30.9
N20000527,UPPER BANN,31.0,34.7,31.5,37.9
N20000528,UPPER BANN,93.5,70.0,66.2,73.8
N20000529,UPPER BANN,18.8,27.8,24.4,31.2
N20000530,UPPER BANN,92.7,69.6,65.8,73.3
N20000531,UPPER BANN,8.5,21.9,18.3,25.4
N20000532,UPPER BANN,87.4,66.6,62.9,70.3
N20000533,UPPER BANN,12.3,24.1,20.5,27.6
N20000534,UPPER BANN,23.0,30.1,26.9,33.4
N20000535,UPPER BANN,80.2,62.5,59.1,66.1
N20000536,UPPER BANN,82.9,64.0,60.6,67.6
N20000537,UPPER BANN,8.0,21.6,18.0,25.1
N20000538,UPPER BANN,90.1,68.1,64.4,71.8
N20000539,UPPER BANN,14.3,25.2,21.8,28.7
N20000540,UPPER BANN,20.7,28.8,25.6,32.2
N20000542,UPPER BANN,13.8,24.9,21.5,28.4
N20000543,UPPER BANN,94.4,70.6,66.7,74.3
N20000544,UPPER BANN,9.6,22.5,18.9,26.1
N20000545,UPPER BANN,7.0,21.1,17.4,24.6
N20000546,UPPER BANN,18.3,27.5,24.1,30.9
N20000547,UPPER BANN,13.4,24.7,21.2,28.2
N20000548,UPPER BANN,12.2,24.0,20.5,27.5
N20000549,UPPER BANN,8.2,21.8,18.1,25.3
N20000550,UPPER BANN,18.6,27.6,24.3,31.1
N20000551,UPPER BANN,9.2,22.3,18.7,25.8
N20000552,UPPER BANN,8.7,22.0,18.4,25.5
N20000553,UPPER BANN,11.9,23.8,20.3,27.4
N20000554,UPPER BANN,11.4,23.6,20.0,27.1
N20000555,UPPER BANN,5.1,20.0,16.2,23.6
N20000556,UPPER BANN,12.7,24.3,20.8,27.8
N20000557,UPPER BANN,6.1,20.6,16.8,24.2
N20000558,UPPER BANN,9.9,22.7,19.1,26.2
N20000559,UPPER BANN,5.9,20.4,16.7,24.1
N20000560,LAGAN VALLEY,19.4,28.1,24.8,31.5
N20000561,UPPER BANN,7.9,21.6,17.9,25.1
N20000562,LAGAN VALLEY,8.6,22.0,18.3,25.5
N20000563,LAGAN VALLEY,26.4,32.1,28.9,35.3
N20000564,UPPER BANN,9.2,22.3,18.7,25.8
N20000565,LAGAN VALLEY,20.6,28.8,25.5,32.1
N20000566,LAGAN VALLEY,14.3,25.2,21.8,28.7
N20000567,UPPER BANN,5.4,20.2,16.4,23.8
N20000568,LAGAN VALLEY,16.5,26.5,23.0,29.9
N20000569,UPPER BANN,19.7,28.3,25.0,31.6
N20000570,LAGAN VALLEY,24.6,31.0,27.9,34.3
N20000571,LAGAN VALLEY,19.0,27.9,24.5,31.3
N20000572,UPPER BANN,5.9,20.4,16.7,24.1
N20000573,LAGAN VALLEY,18.6,27.6,24.3,31.1
N20000574,LAGAN VALLEY,15.5,25.9,22.5,29.3
N20000575,LAGAN VALLEY,15.4,25.8,22.4,29.3
N20000577,LAGAN VALLEY,12.1,24.0,20.4,27.5
N20000578,LAGAN VALLEY,18.3,27.5,24.1,30.9
N20000579,LAGAN VALLEY,10.9,23.3,19.7,26.8
N20000580,UPPER BANN,17.9,27.2,23.9,30.7
N20000581,UPPER BANN,6.7,20.9,17.2,24.5
N20000582,LAGAN VALLEY,12.2,24.0,20.5,27.5
N20000583,LAGAN VALLEY,13.3,24.6,21.1,28.1
N20000584,LAGAN VALLEY,12.2,24.0,20.5,27.5
N20000585,UPPER BANN,18.2,27.4,24.1,30.9
N20000586,LAGAN VALLEY,10.9,23.3,19.7,26.8
N20000587,LAGAN VALLEY,11.0,23.3,19.8,26.8
N20000589,LAGAN VALLEY,5.8,20.4,16.6,24.0
N20000590,LAGAN VALLEY,26.7,32.2,29.1,35.5
N20000591,SOUTH DOWN,19.2,28.0,24.7,31.4
N20000592,SOUTH DOWN,41.4,40.5,37.4,43.7
N20000593,SOUTH DOWN,24.0,30.7,27.5,33.9
N20000594,UPPER BANN,24.8,31.1,28.0,34.4
N20000595,UPPER BANN,38.3,38.8,35.6,42.0
N20000597,UPPER BANN,60.8,51.5,48.4,55.0
N20000598,UPPER BANN,53.9,47.6,44.5,50.9
N20000599,UPPER BANN,22.8,30.0,26.8,33.3
N20000600,UPPER BANN,65.0,53.9,50.7,57.5
N20000601,UPPER BANN,39.2,39.3,36.2,42.5
N20000602,UPPER BANN,36.4,37.7,34.5,41.0
N20000603,UPPER BANN,18.5,27.6,24.2,31.0
N20000604,UPPER BANN,21.9,29.5,26.3,32.8
N20000605,UPPER BANN,64.3,53.5,50.3,57.1
N20000606,UPPER BANN,48.8,44.7,41.7,48.0
N20000608,UPPER BANN,29.2,33.6,30.5,36.9
N20000609,UPPER BANN,36.3,37.7,34.5,40.9
N20000610,UPPER BANN,29.1,33.6,30.5,36.8
N20000611,UPPER BANN,33.8,36.2,33.1,39.5
N20000612,UPPER BANN,36.7,37.9,34.7,41.1
N20000613,UPPER BANN,32.6,35.6,32.4,38.8
N20000614,SOUTH DOWN,24.2,30.8,27.6,34.1
N20000615,UPPER BANN,46.1,43.2,40.1,46.4
N20000616,UPPER BANN,38.4,38.8,35.7,42.1
N20000617,UPPER BANN,35.1,37.0,33.8,40.3
N20000618,UPPER BANN,39.6,39.5,36.4,42.7
N20000619,UPPER BANN,60.6,51.4,48.2,54.9
N20000620,UPPER BANN,39.1,39.2,36.1,42.4
N20000621,UPPER BANN,50.8,45.9,42.8,49.1
N20000622,UPPER BANN,50.5,45.7,42.7,49.0
N20000623,UPPER BANN,30.5,34.4,31.2,37.6
N20000624,UPPER BANN,45.2,42.7,39.6,45.9
N20000625,UPPER BANN,51.1,46.0,43.0,49.3
N20000627,UPPER BANN,41.0,40.3,37.2,43.5
N20000628,UPPER BANN,19.2,28.0,24.7,31.4
N20000629,UPPER BANN,23.9,30.6,27.5,33.9
N20000630,UPPER BANN,36.4,37.7,34.5,41.0
N20000631,UPPER BANN,37.5,38.3,35.2,41.5
N20000632,UPPER BANN,40.7,40.2,37.0,43.3
N20000633,UPPER BANN,22.9,30.1,26.9,33.3
N20000634,UPPER BANN,13.4,24.7,21.2,28.2
N20000635,UPPER BANN,36.9,38.0,34.8,41.2
N20000636,UPPER BANN,27.7,32.8,29.7,36.0
N20000637,UPPER BANN,25.8,31.7,28.6,35.0
N20000638,UPPER BANN,24.2,30.8,27.6,34.1
N20000639,UPPER BANN,27.8,32.8,29.8,36.1
N20000641,UPPER BANN,38.9,39.1,36.0,42.3
N20000642,UPPER BANN,52.0,46.5,43.5,49.8
N20000643,UPPER BANN,38.8,39.1,35.9,42.3
N20000645,SOUTH DOWN,45.3,42.8,39.7,45.9
N20000646,UPPER BANN,57.0,49.4,46.2,52.8
N20000647,UPPER BANN,54.7,48.1,45.0,51.4
N20000648,SOUTH DOWN,17.2,26.8,23.5,30.4
N20000649,UPPER BANN,35.7,37.3,34.1,40.6
N20000650,SOUTH DOWN,18.5,27.6,24.2,31.0
N20000651,SOUTH DOWN,64.6,53.7,50.5,57.2
N20000652,UPPER BANN,41.9,40.8,37.7,44.0
N20000653,SOUTH DOWN,33.7,36.2,33.0,39.4
N20000654,NEWRY AND ARMAGH,69.9,56.7,53.4,60.3
N20000655,SOUTH DOWN,6.1,20.6,16.8,24.2
N20000656,SOUTH DOWN,17.4,27.0,23.6,30.5
N20000657,SOUTH DOWN,22.9,30.1,26.9,33.3
N20000658,SOUTH DOWN,25.3,31.4,28.3,34.7
N20000659,SOUTH DOWN,49.2,45.0,41.9,48.2
N20000660,SOUTH DOWN,33.0,35.8,32.6,39.0
N20000661,SOUTH DOWN,43.5,41.7,38.7,44.9
N20000663,SOUTH DOWN,38.6,39.0,35.8,42.2
N20000664,NEWRY AND ARMAGH,5.9,20.4,16.7,24.1
N20000665,NEWRY AND ARMAGH,11.1,23.4,19.8,26.9
N20000666,NEWRY AND ARMAGH,4.5,19.7,15.9,23.3
N20000667,NEWRY AND ARMAGH,14.5,25.3,21.9,28.8
N20000668,NEWRY AND ARMAGH,10.6,23.1,19.5,26.6
N20000669,NEWRY AND ARMAGH,8.2,21.8,18.1,25.3
N20000670,NEWRY AND ARMAGH,7.8,21.5,17.8,25.0
N20000671,NEWRY AND ARMAGH,8.1,21.7,18.0,25.2
N20000672,NEWRY AND ARMAGH,9.2,22.3,18.7,25.8
N20000674,NEWRY AND ARMAGH,17.9,27.2,23.9,30.7
N20000675,NEWRY AND ARMAGH,4.3,19.5,15.7,23.2
N20000677,NEWRY AND ARMAGH,4.1,19.4,15.6,23.1
N20000678,NEWRY AND ARMAGH,8.6,22.0,18.3,25.5
N20000679,NEWRY AND ARMAGH,9.0,22.2,18.6,25.7
N20000680,NEWRY AND ARMAGH,9.9,22.7,19.1,26.2
N20000681,NEWRY AND ARMAGH,11.4,23.6,20.0,27.1
N20000682,NEWRY AND ARMAGH,13.1,24.5,21.0,28.0
N20000684,NEWRY AND ARMAGH,14.9,25.5,22.1,29.0
N20000685,NEWRY AND ARMAGH,16.0,26.2,22.7,29.6
N20000686,NEWRY AND ARMAGH,12.6,24.2,20.7,27.7
N20000687,NEWRY AND ARMAGH,9.2,22.3,18.7,25.8
N20000688,NEWRY AND ARMAGH,20.4,28.7,25.4,32.0
N20000689,NEWRY AND ARMAGH,12.1,24.0,20.4,27.5
N20000690,NEWRY AND ARMAGH,8.9,22.1,18.5,25.7
N20000691,NEWRY AND ARMAGH,6.8,21.0,17.2,24.5
N20000692,NEWRY AND ARMAGH,29.1,33.6,30.5,36.8
N20000693,NEWRY AND ARMAGH,12.4,24.1,20.6,27.6
N20000694,NEWRY AND ARMAGH,17.4,27.0,23.6,30.5
N20000695,NEWRY AND ARMAGH,12.4,24.1,20.6,27.6
N20000696,NEWRY AND ARMAGH,33.6,36.1,33.0,39.4
N20000697,NEWRY AND ARMAGH,10.9,23.3,19.7,26.8
N20000698,NEWRY AND ARMAGH,26.3,32.0,28.9,35.2
N20000699,NEWRY AND ARMAGH,34.0,36.4,33.2,39.6
N20000700,NEWRY AND ARMAGH,15.2,25.7,22.3,29.2
N20000701,NEWRY AND ARMAGH,76.3,60.3,57.0,63.9
N20000702,NEWRY AND ARMAGH,79.4,62.1,58.7,65.7
N20000703,NEWRY AND ARMAGH,10.3,22.9,19.3,26.4
N20000705,NEWRY AND ARMAGH,63.6,53.1,49.9,56.7
N20000706,NEWRY AND ARMAGH,92.5,69.5,65.7,73.2
N20000707,NEWRY AND ARMAGH,91.0,68.6,64.8,72.4
N20000708,NEWRY AND ARMAGH,32.0,35.2,32.1,38.5
N20000709,NEWRY AND ARMAGH,71.3,57.5,54.2,61.1
N20000710,NEWRY AND ARMAGH,79.0,61.8,58.5,65.4
N20000711,BELFAST NORTH,5.2,20.1,16.3,23.7
N20000712,BELFAST NORTH,78.7,61.7,58.3,65.3
N20000713,BELFAST NORTH,47.9,44.2,41.2,47.4
N20000714,BELFAST NORTH,7.8,21.5,17.8,25.0
N20000715,BELFAST NORTH,94.0,70.3,66.5,74.1
N20000716,BELFAST NORTH,12.3,24.1,20.5,27.6
N20000717,BELFAST NORTH,3.6,19.1,15.3,22.8
N20000718,BELFAST NORTH,7.8,21.5,17.8,25.0
N20000719,BELFAST NORTH,90.8,68.5,64.7,72.2
N20000720,BELFAST NORTH,4.8,19.8,16.0,23.5
N20000721,BELFAST NORTH,28.0,33.0,29.9,36.2
N20000722,BELFAST NORTH,16.3,26.3,22.9,29.8
N20000723,BELFAST NORTH,9.0,22.2,18.6,25.7
N20000725,BELFAST NORTH,84.6,65.0,61.5,68.6
N20000726,BELFAST NORTH,48.7,44.7,41.6,47.9
N20000727,BELFAST NORTH,9.3,22.4,18.8,25.9
N20000728,BELFAST NORTH,11.0,23.3,19.8,26.8
N20000729,BELFAST NORTH,8.1,21.7,18.0,25.2
N20000730,BELFAST NORTH,13.5,24.8,21.3,28.2
N20000731,BELFAST NORTH,70.8,57.2,53.9,60.8
N20000732,BELFAST NORTH,85.8,65.7,62.1,69.3
N20000733,BELFAST NORTH,73.6,58.8,55.4,62.3
N20000734,BELFAST NORTH,89.6,67.8,64.1,71.5
N20000735,BELFAST NORTH,91.2,68.7,64.9,72.5
N20000736,BELFAST NORTH,9.6,22.5,18.9,26.1
N20000737,BELFAST NORTH,12.3,24.1,20.5,27.6
N20000738,BELFAST NORTH,78.4,61.5,58.2,65.1
N20000739,BELFAST NORTH,9.4,22.4,18.8,25.9
N20000740,BELFAST NORTH,86.8,66.3,62.6,69.9
N20000741,BELFAST NORTH,87.5,66.6,63.0,70.3
N20000742,BELFAST NORTH,16.8,26.6,23.2,30.1
N20000743,BELFAST NORTH,76.2,60.3,56.9,63.9
N20000744,BELFAST NORTH,23.8,30.6,27.4,33.8
N20000745,BELFAST NORTH,75.5,59.9,56.5,63.4
N20000746,BELFAST NORTH,87.3,66.5,62.9,70.2
N20000747,BELFAST NORTH,81.4,63.2,59.7,66.8
N20000748,BELFAST NORTH,91.3,68.8,65.0,72.5
N20000749,BELFAST NORTH,80.4,62.6,59.2,66.2
N20000750,BELFAST NORTH,85.0,65.2,61.7,68.9
N20000751,BELFAST NORTH,90.9,68.6,64.8,72.3
N20000752,BELFAST NORTH,92.8,69.6,65.9,73.4
N20000753,BELFAST NORTH,93.1,69.8,66.0,73.6
N20000754,BELFAST NORTH,76.9,60.6,57.3,64.3
N20000755,BELFAST NORTH,92.2,69.3,65.5,73.0
N20000756,BELFAST NORTH,87.5,66.6,63.0,70.3
N20000757,BELFAST NORTH,71.6,57.6,54.3,61.3
N20000758,BELFAST NORTH,93.3,69.9,66.1,73.7
N20000759,BELFAST NORTH,62.8,52.7,49.5,56.2
N20000760,BELFAST NORTH,88.5,67.2,63.5,70.9
N20000761,BELFAST NORTH,92.2,69.3,65.5,73.0
N20000762,BELFAST NORTH,91.0,68.6,64.8,72.4
N20000763,BELFAST NORTH,64.7,53.7,50.5,57.3
N20000764,BELFAST NORTH,68.6,55.9,52.7,59.6
N20000765,BELFAST NORTH,88.3,67.1,63.4,70.8
N20000766,BELFAST NORTH,82.4,63.8,60.3,67.4
N20000767,BELFAST NORTH,80.0,62.4,59.0,66.0
N20000769,BELFAST NORTH,70.9,57.3,53.9,60.9
N20000770,BELFAST NORTH,72.8,58.3,55.0,61.9
N20000771,BELFAST NORTH,85.4,65.5,61.9,69.1
N20000772,BELFAST NORTH,68.5,55.9,52.6,59.5
N20000774,BELFAST NORTH,75.7,60.0,56.6,63.6
N20000775,BELFAST NORTH,78.6,61.6,58.3,65.2
N20000776,BELFAST NORTH,6.8,21.0,17.2,24.5
N20000779,BELFAST NORTH,85.7,65.6,62.1,69.3
N20000780,BELFAST NORTH,83.2,64.2,60.7,67.8
N20000781,BELFAST NORTH,93.0,69.8,66.0,73.5
N20000782,BELFAST NORTH,84.7,65.1,61.5,68.7
N20000783,BELFAST NORTH,85.9,65.7,62.2,69.4
N20000784,BELFAST NORTH,93.5,70.0,66.2,73.8
N20000785,BELFAST NORTH,92.4,69.4,65.6,73.2
N20000786,BELFAST NORTH,64.8,53.8,50.6,57.3
N20000787,BELFAST NORTH,88.0,66.9,63.2,70.6
N20000788,BELFAST NORTH,84.1,64.7,61.2,68.3
N20000789,BELFAST NORTH,71.0,57.3,54.0,60.9
N20000790,BELFAST NORTH,10.7,23.2,19.6,26.7
N20000791,BELFAST NORTH,57.2,49.5,46.4,52.9
N20000792,BELFAST NORTH,82.9,64.0,60.6,67.6
N20000793,BELFAST NORTH,78.2,61.4,58.0,65.0
N20000794,BELFAST NORTH,84.3,64.8,61.3,68.5
N20000795,BELFAST NORTH,25.0,31.3,28.1,34.5
N20000796,BELFAST NORTH,78.5,61.6,58.2,65.2
N20000797,BELFAST NORTH,56.7,49.2,46.1,52.6
N20000798,BELFAST NORTH,7.6,21.4,17.7,24.9
N20000799,BELFAST NORTH,82.1,63.6,60.1,67.2
N20000800,BELFAST NORTH,14.0,25.0,21.6,28.5
N20000801,BELFAST NORTH,10.0,22.8,19.2,26.3
N20000802,BELFAST NORTH,88.4,67.2,63.4,70.8
N20000804,BELFAST NORTH,64.8,53.8,50.6,57.3
N20000805,BELFAST NORTH,17.8,27.2,23.8,30.7
N20000806,BELFAST NORTH,7.0,21.1,17.4,24.6
N20000807,BELFAST NORTH,76.4,60.4,57.0,64.0
N20000808,BELFAST NORTH,83.5,64.4,60.9,68.0
N20000809,BELFAST NORTH,40.1,39.8,36.7,43.0
N20000810,BELFAST NORTH,81.1,63.0,59.6,66.6
N20000811,BELFAST NORTH,7.2,21.2,17.5,24.7
N20000812,BELFAST NORTH,87.8,66.8,63.1,70.5
N20000814,BELFAST NORTH,69.3,56.3,53.0,60.0
N20000815,BELFAST NORTH,86.3,66.0,62.4,69.6
N20000816,BELFAST NORTH,72.5,58.2,54.8,61.8
N20000817,BELFAST NORTH,60.3,51.2,48.1,54.7
N20000818,BELFAST NORTH,81.1,63.0,59.6,66.6
N20000819,BELFAST NORTH,46.8,43.6,40.5,46.8
N20000820,BELFAST NORTH,4.4,19.6,15.8,23.2
N20000821,BELFAST NORTH,29.7,33.9,30.8,37.2
N20000822,BELFAST NORTH,82.5,63.8,60.3,67.4
N20000823,BELFAST NORTH,34.6,36.7,33.5,40.0
N20000824,BELFAST NORTH,76.2,60.3,56.9,63.9
N20000825,BELFAST NORTH,51.3,46.2,43.1,49.4
N20000826,BELFAST NORTH,41.7,40.7,37.6,43.9
N20000827,BELFAST NORTH,77.1,60.8,57.4,64.4
N20000828,BELFAST NORTH,16.7,26.6,23.2,30.1
N20000829,BELFAST NORTH,11.5,23.6,20.1,27.1
N20000830,BELFAST NORTH,59.7,50.9,47.7,54.4
N20000831,BELFAST NORTH,86.3,66.0,62.4,69.6
N20000832,BELFAST NORTH,43.4,41.7,38.6,44.9
N20000833,BELFAST NORTH,76.2,60.3,56.9,63.9
N20000834,BELFAST NORTH,11.3,23.5,19.9,27.0
N20000835,BELFAST NORTH,13.0,24.5,21.0,28.0
N20000836,BELFAST NORTH,74.8,59.5,56.1,63.0
N20000837,BELFAST NORTH,7.0,21.1,17.4,24.6
N20000838,BELFAST NORTH,74.9,59.5,56.2,63.1
N20000840,BELFAST NORTH,80.2,62.5,59.1,66.1
N20000841,BELFAST NORTH,55.1,48.3,45.2,51.6
N20000842,BELFAST NORTH,26.5,32.1,29.0,35.4
N20000843,BELFAST NORTH,71.3,57.5,54.2,61.1
N20000844,BELFAST NORTH,5.9,20.4,16.7,24.1
N20000845,BELFAST NORTH,17.8,27.2,23.8,30.7
N20000846,BELFAST NORTH,86.1,65.9,62.3,69.5
N20000847,BELFAST NORTH,9.2,22.3,18.7,25.8
N20000848,BELFAST NORTH,64.3,53.5,50.3,57.1
N20000849,BELFAST NORTH,72.2,58.0,54.7,61.6
N20000850,BELFAST NORTH,13.0,24.5,21.0,28.0
N20000851,BELFAST NORTH,15.8,26.1,22.6,29.5
N20000852,BELFAST NORTH,10.2,22.9,19.3,26.4
N20000853,BELFAST NORTH,13.3,24.6,21.1,28.1
N20000854,BELFAST NORTH,34.3,36.5,33.4,39.8
N20000855,BELFAST NORTH,46.5,43.4,40.3,46.6
N20000856,BELFAST EAST,4.7,19.8,16.0,23.4
N20000857,BELFAST EAST,33.8,36.2,33.1,39.5
N20000858,BELFAST EAST,7.8,21.5,17.8,25.0
N20000859,BELFAST EAST,17.4,27.0,23.6,30.5
N20000860,BELFAST EAST,4.5,19.7,15.9,23.3
N20000861,BELFAST EAST,10.7,23.2,19.6,26.7
N20000862,BELFAST EAST,14.1,25.1,21.6,28.6
N20000863,BELFAST EAST,11.5,23.6,20.1,27.1
N20000864,BELFAST EAST,16.0,26.2,22.7,29.6
N20000865,BELFAST EAST,9.2,22.3,18.7,25.8
N20000866,BELFAST EAST,14.6,25.4,22.0,28.8
N20000867,BELFAST EAST,11.4,23.6,20.0,27.1
N20000868,BELFAST EAST,12.2,24.0,20.5,27.5
N20000869,BELFAST EAST,11.6,23.7,20.1,27.2
N20000870,BELFAST EAST,7.1,21.1,17.4,24.7
N20000871,BELFAST EAST,11.9,23.8,20.3,27.4
N20000872,BELFAST EAST,23.1,30.2,27.0,33.4
N20000873,BELFAST EAST,8.2,21.8,18.1,25.3
N20000874,BELFAST EAST,5.4,20.2,16.4,23.8
N20000875,BELFAST EAST,23.4,30.4,27.2,33.6
N20000876,BELFAST EAST,16.1,26.2,22.8,29.7
N20000877,BELFAST EAST,6.5,20.8,17.1,24.4
N20000878,BELFAST EAST,33.3,36.0,32.8,39.2
N20000879,BELFAST EAST,17.3,26.9,23.5,30.4
N20000881,BELFAST EAST,15.2,25.7,22.3,29.2
N20000882,BELFAST EAST,26.6,32.2,29.1,35.4
N20000883,BELFAST EAST,14.3,25.2,21.8,28.7
N20000884,BELFAST EAST,15.9,26.1,22.7,29.6
N20000885,BELFAST EAST,22.2,29.7,26.4,32.9
N20000886,BELFAST EAST,68.0,55.6,52.3,59.2
N20000887,BELFAST EAST,94.4,70.6,66.7,74.3
N20000888,BELFAST EAST,19.5,28.1,24.8,31.5
N20000890,BELFAST EAST,21.1,29.1,25.8,32.4
N20000891,BELFAST EAST,17.6,27.1,23.7,30.6
N20000892,BELFAST EAST,7.1,21.1,17.4,24.7
N20000893,BELFAST EAST,16.5,26.5,23.0,29.9
N20000894,BELFAST EAST,60.7,51.5,48.3,54.9
N20000895,BELFAST EAST,18.8,27.8,24.4,31.2
N20000896,BELFAST EAST,86.1,65.9,62.3,69.5
N20000897,BELFAST EAST,21.6,29.3,26.1,32.6
N20000898,BELFAST EAST,21.4,29.2,26.0,32.5
N20000899,BELFAST EAST,22.7,30.0,26.7,33.2
N20000900,BELFAST EAST,6.0,20.5,16.8,24.1
N20000901,BELFAST EAST,41.7,40.7,37.6,43.9
N20000902,BELFAST EAST,26.8,32.3,29.2,35.5
N20000903,BELFAST EAST,8.2,21.8,18.1,25.3
N20000904,BELFAST EAST,56.7,49.2,46.1,52.6
N20000905,BELFAST EAST,22.8,30.0,26.8,33.3
N20000906,BELFAST EAST,14.1,25.1,21.6,28.6
N20000907,BELFAST EAST,19.1,27.9,24.6,31.3
N20000908,BELFAST EAST,18.7,27.7,24.4,31.1
N20000909,BELFAST EAST,15.2,25.7,22.3,29.2
N20000910,BELFAST EAST,10.8,23.2,19.6,26.7
N20000911,BELFAST EAST,3.4,19.0,15.2,22.7
N20000912,BELFAST SOUTH,27.1,32.5,29.4,35.7
N20000913,BELFAST SOUTH,25.2,31.4,28.2,34.6
N20000914,BELFAST EAST,18.1,27.4,24.0,30.8
N20000915,BELFAST EAST,15.0,25.6,22.2,29.0
N20000916,BELFAST EAST,25.7,31.7,28.5,34.9
N20000917,BELFAST EAST,19.7,28.3,25.0,31.6
N20000918,BELFAST SOUTH,16.4,26.4,23.0,29.9
N20000919,BELFAST EAST,9.2,22.3,18.7,25.8
N20000920,BELFAST EAST,17.1,26.8,23.4,30.3
N20000921,BELFAST EAST,7.4,21.3,17.6,24.8
N20000922,BELFAST SOUTH,12.1,24.0,20.4,27.5
N20000923,BELFAST EAST,12.4,24.1,20.6,27.6
N20000924,BELFAST SOUTH,21.4,29.2,26.0,32.5
N20000925,BELFAST EAST,24.1,30.8,27.6,34.0
N20000926,BELFAST EAST,26.9,32.3,29.2,35.6
N20000927,BELFAST EAST,12.3,24.1,20.5,27.6
N20000928,BELFAST SOUTH,18.9,27.8,24.5,31.2
N20000929,BELFAST EAST,17.3,26.9,23.5,30.4
N20000930,BELFAST SOUTH,14.7,25.4,22.0,28.9
N20000931,BELFAST SOUTH,21.0,29.0,25.7,32.3
N20000932,BELFAST EAST,21.9,29.5,26.3,32.8
N20000933,BELFAST EAST,22.1,29.6,26.4,32.9
N20000934,BELFAST SOUTH,33.9,36.3,33.1,39.5
N20000935,BELFAST EAST,6.3,20.7,16.9,24.3
N20000936,BELFAST EAST,10.8,23.2,19.6,26.7
N20000937,BELFAST EAST,21.5,29.3,26.0,32.6
N20000938,BELFAST SOUTH,23.3,30.3,27.1,33.6
N20000939,BELFAST SOUTH,32.9,35.7,32.6,39.0
N20000940,BELFAST SOUTH,19.5,28.1,24.8,31.5
N20000941,BELFAST SOUTH,23.3,30.3,27.1,33.6
N20000942,BELFAST SOUTH,38.7,39.0,35.9,42.2
N20000943,BELFAST SOUTH,27.3,32.6,29.5,35.8
N20000944,BELFAST SOUTH,51.4,46.2,43.2,49.5
N20000945,BELFAST EAST,14.5,25.3,21.9,28.8
N20000946,NORTH DOWN,15.3,25.8,22.4,29.2
N20000947,BELFAST EAST,7.7,21.5,17.8,25.0
N20000948,BELFAST EAST,7.9,21.6,17.9,25.1
N20000949,BELFAST EAST,4.7,19.8,16.0,23.4
N20000950,BELFAST EAST,17.2,26.8,23.5,30.4
N20000952,BELFAST EAST,13.5,24.8,21.3,28.2
N20000953,BELFAST EAST,10.6,23.1,19.5,26.6
N20000954,BELFAST EAST,10.2,22.9,19.3,26.4
N20000955,BELFAST EAST,11.8,23.8,20.2,27.3
N20000956,BELFAST EAST,10.3,22.9,19.3,26.4
N20000957,BELFAST EAST,11.2,23.4,19.9,27.0
N20000958,BELFAST EAST,10.6,23.1,19.5,26.6
N20000960,BELFAST EAST,9.0,22.2,18.6,25.7
N20000961,BELFAST EAST,11.1,23.4,19.8,26.9
N20000962,BELFAST EAST,5.3,20.1,16.3,23.7
N20000963,BELFAST EAST,19.2,28.0,24.7,31.4
N20000964,BELFAST EAST,7.2,21.2,17.5,24.7
N20000965,BELFAST EAST,13.5,24.8,21.3,28.2
N20000966,BELFAST EAST,18.6,27.6,24.3,31.1
N20000967,BELFAST EAST,16.3,26.3,22.9,29.8
N20000968,BELFAST EAST,17.1,26.8,23.4,30.3
N20000969,BELFAST EAST,13.6,24.8,21.3,28.3
