id,title,provider,licenseTitle,scope
already-on-site-review:164,Counties - National Statutory Boundaries - Ungeneralised - 2024,Tailte/OSI/data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:165,Counties -National Statutory Boundaries - Ungeneralised 2026,Tailte/OSI/data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:166,CSO Urban Areas - National Statistical Boundaries - 2022 - Generalised 20m,Tailte/OSI/data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:167,CSO Urban Areas - National Statistical Boundaries - 2022 - Ungeneralised,Tailte/OSI/data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:168,Local Authorities  - National Statutory Boundaries - Ungeneralised - 2024,Tailte/OSI/data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:169,Local Authorities - National Statutory Boundaries - Ungeneralised 2026,Tailte/OSI/data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:170,Municipal Districts - National Statutory Boundaries - 2019,Tailte/OSI/data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:171,Municipal Districts - National Statutory Boundaries - 2019 - Generalised 20m,Tailte/OSI/data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:172,Municipal Districts - National Statutory Boundaries - Ungeneralised - 2024,Tailte/OSI/data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:173,Municipal Districts - National Statutory Boundaries - Ungeneralised 2026,Tailte/OSI/data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:174,NUTS2 Boundaries Generalised 100m - National Statistical Boundaries - 2015,Tailte/OSI/data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:175,NUTS2 Boundaries Generalised 20m - National Statistical Boundaries - 2015,Tailte/OSI/data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:176,NUTS2 Boundaries Generalised 50m - National Statistical Boundaries - 2015,Tailte/OSI/data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
