id,title,provider,bestMatchScore,bestMatchCandidateTitle,titleJaccard,autoDecision,reason
already-on-site-review:102,Dail Constituencies 2013 SDCC,data.gov.ie,0.50,2013,0.000,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.50, jaccard 0.00)"
already-on-site-review:811,Display Energy Certs DCC,data.gov.ie,0.50,Development Plan 2022 2028 (DCC),0.167,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.50, jaccard 0.17)"
already-on-site-review:56,Electoral Divisions - National Statutory Boundaries - Ungeneralised - 2024,Tailte/OSI/data.gov.ie,0.50,Counties of Ireland,0.000,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.50, jaccard 0.00)"
already-on-site-review:715,Ferry Crossing - National 250k Map Of Ireland,Tailte/OSI/data.gov.ie,0.50,Counties of Ireland,0.143,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.50, jaccard 0.14)"
already-on-site-review:716,Ferry Station - National 250k Map Of Ireland,Tailte/OSI/data.gov.ie,0.50,Counties of Ireland,0.143,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.50, jaccard 0.14)"
already-on-site-review:382,Fire Stations DLR,data.gov.ie,0.50,Wifi4eu Access Points (DLR),0.167,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.50, jaccard 0.17)"
already-on-site-review:59,Gaeltacht Areas - National Administrative Boundaries - Ungeneralised - 2026,Tailte/OSI/data.gov.ie,0.50,Counties of Ireland,0.000,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.50, jaccard 0.00)"
already-on-site-review:63,Gaeltacht Boundaries Ungeneralised - National Administrative Boundaries - 2015,Tailte/OSI/data.gov.ie,0.50,Counties of Ireland,0.000,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.50, jaccard 0.00)"
already-on-site-review:824,Gas Consumption DCC,data.gov.ie,0.50,Wifi4eu Access Points (DCC),0.167,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.50, jaccard 0.17)"
already-on-site-review:837,gsi-bedrock-outcrop,data.gov.ie,0.50,"Bedrock Geology 1:250,000 (Lines)",0.125,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.50, jaccard 0.13)"
already-on-site-review:720,High Value Dataset - Cadastral Parcels Freehold,Tailte/OSI/data.gov.ie,0.50,Counties of Ireland,0.000,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.50, jaccard 0.00)"
already-on-site-review:721,High Value Dataset - Cadastral Parcels Leasehold,Tailte/OSI/data.gov.ie,0.50,Counties of Ireland,0.000,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.50, jaccard 0.00)"
already-on-site-review:723,High Value Dataset - National Land Cover 2018,Tailte/OSI/data.gov.ie,0.50,Counties of Ireland,0.000,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.50, jaccard 0.00)"
already-on-site-review:724,High Value Dataset - Rail Network Segment,Tailte/OSI/data.gov.ie,0.50,Counties of Ireland,0.000,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.50, jaccard 0.00)"
already-on-site-review:729,High Value Dataset - Water Single Stream,Tailte/OSI/data.gov.ie,0.50,Counties of Ireland,0.000,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.50, jaccard 0.00)"
already-on-site-review:736,Hydro Nodes - National 250k Map Of Ireland,Tailte/OSI/data.gov.ie,0.50,Counties of Ireland,0.143,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.50, jaccard 0.14)"
already-on-site-review:396,Kildare Protected Areas 23-29,data.gov.ie,0.50,Areas of Special Scientific Interest (ASSI) source files,0.091,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.50, jaccard 0.09)"
already-on-site-review:399,Kildare-Record-of-Protected-Structures 23-29,data.gov.ie,0.50,Record Protected Structures (DCC),0.429,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.50, jaccard 0.43)"
already-on-site-review:739,Lakes & Reservoirs - National 250k Map Of Ireland,Tailte/OSI/data.gov.ie,0.50,Counties of Ireland,0.143,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.50, jaccard 0.14)"
already-on-site-review:240,Local Authorities - National Placenames Gazetteer,Tailte/OSI/data.gov.ie,0.50,Counties of Ireland,0.000,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.50, jaccard 0.00)"
already-on-site-review:141,Local Election Results 2019 - Roscommon,data.gov.ie,0.50,Counties of Ireland,0.000,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.50, jaccard 0.00)"
already-on-site-review:72,Local Electoral Areas - National Statutory Boundaries - Ungeneralised - 2024,Tailte/OSI/data.gov.ie,0.50,Counties of Ireland,0.000,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.50, jaccard 0.00)"
already-on-site-review:744,Main Harbours - National 250K Map of Ireland,Tailte/OSI/data.gov.ie,0.50,Counties of Ireland,0.143,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.50, jaccard 0.14)"
already-on-site-review:851,Moby Bikes API,data.gov.ie,0.50,Moby Bikes (DCC),0.500,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.50, jaccard 0.50)"
already-on-site-review:172,Municipal Districts - National Statutory Boundaries - Ungeneralised - 2024,Tailte/OSI/data.gov.ie,0.50,Counties of Ireland,0.000,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.50, jaccard 0.00)"
already-on-site-review:855,National Coastal Flood Extents 2021 - High+ End Future Scenario,data.gov.ie,0.50,National Coastal Flood Extents 2021 ? Current Scenario,0.556,duplicate-skip,near-identical title (jaccard 0.56) + score 0.50
already-on-site-review:856,National Coastal Flood Extents 2021 - High++ End Future Scenario,data.gov.ie,0.50,National Coastal Flood Extents 2021 ? Current Scenario,0.556,duplicate-skip,near-identical title (jaccard 0.56) + score 0.50
already-on-site-review:177,NUTS2 Boundaries Ungeneralised - National Statistical Boundaries - 2015,Tailte/OSI/data.gov.ie,0.50,Counties of Ireland,0.000,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.50, jaccard 0.00)"
already-on-site-review:181,NUTS3 Boundaries Ungeneralised - National Statistical Boundaries - 2015,Tailte/OSI/data.gov.ie,0.50,Counties of Ireland,0.000,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.50, jaccard 0.00)"
already-on-site-review:413,Open Spaces SDCC,data.gov.ie,0.50,Monthly River Quality Data1 (SDCC),0.143,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.50, jaccard 0.14)"
already-on-site-review:9,OSNI Open Data - 50K Boundaries - District Electoral Areas (1993),Open Data NI,0.50,District Electoral Areas 1993,0.429,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.50, jaccard 0.43)"
already-on-site-review:10,OSNI Open Data - 50K Boundaries - Local Government Districts (1993),Open Data NI,0.50,2022 (Final Recommendations),0.000,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.50, jaccard 0.00)"
already-on-site-review:156,OSNI Open Data - 50K Boundaries - NI Counties,Open Data NI,0.50,EONI Polling Stations,0.000,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.50, jaccard 0.00)"
already-on-site-review:13,OSNI Open Data - 50K Boundaries - Wards (1993),Open Data NI,0.50,Wards 1993,0.200,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.50, jaccard 0.20)"
already-on-site-review:281,OSNI Open Data - 50K Transport - Transport Points,Open Data NI,0.50,OSNI Benchmarks (Height Reference Points),0.222,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.50, jaccard 0.22)"
already-on-site-review:747,Other Harbours - National 250K Map of Ireland,Tailte/OSI/data.gov.ie,0.50,Counties of Ireland,0.143,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.50, jaccard 0.14)"
already-on-site-review:418,Parks SDCC,data.gov.ie,0.50,Monthly River Quality Data1 (SDCC),0.167,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.50, jaccard 0.17)"
already-on-site-review:419,Pavilions SDCC,data.gov.ie,0.50,Monthly River Quality Data1 (SDCC),0.167,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.50, jaccard 0.17)"
already-on-site-review:871,Pedestrian Footfall DCC,data.gov.ie,0.50,Pedestrian And Cycle Counter Api For Dublin Region (DCC),0.250,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.50, jaccard 0.25)"
already-on-site-review:671,Play Areas - CCGBC,Open Data NI,0.50,Areas of Outstanding Natural Beauty (AONB),0.143,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.50, jaccard 0.14)"
already-on-site-review:424,Playgrounds SDCC,data.gov.ie,0.50,Monthly River Quality Data1 (SDCC),0.167,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.50, jaccard 0.17)"
already-on-site-review:748,Power Plant - National 250K Map Of Ireland,Tailte/OSI/data.gov.ie,0.50,Counties of Ireland,0.143,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.50, jaccard 0.14)"
already-on-site-review:85,Province Boundaries Ungeneralised - National Administrative Boundaries - 2015,Tailte/OSI/data.gov.ie,0.50,Counties of Ireland,0.000,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.50, jaccard 0.00)"
already-on-site-review:431,Public Lighting SDCC,data.gov.ie,0.50,Monthly River Quality Data1 (SDCC),0.143,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.50, jaccard 0.14)"
already-on-site-review:749,Rail Network - National 250k Map Of Ireland,Tailte/OSI/data.gov.ie,0.50,Counties of Ireland,0.143,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.50, jaccard 0.14)"
already-on-site-review:750,Railway Stations - National 250k Map Of Ireland,Tailte/OSI/data.gov.ie,0.50,Counties of Ireland,0.143,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.50, jaccard 0.14)"
already-on-site-review:886,Record of Protected Structures,data.gov.ie,0.50,Record Protected Structures (DCC),0.750,duplicate-skip,near-identical title (jaccard 0.75) + score 0.50
already-on-site-review:291,Road Interchanges - National 250K Map of Ireland,Tailte/OSI/data.gov.ie,0.50,Counties of Ireland,0.143,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.50, jaccard 0.14)"
already-on-site-review:184,Rural Areas - National Statutory Boundaries - Ungeneralised - 2024,Tailte/OSI/data.gov.ie,0.50,Counties of Ireland,0.000,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.50, jaccard 0.00)"
already-on-site-review:218,SAC Datasheets,data.gov.ie,0.50,ROI National Planning Applications,0.000,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.50, jaccard 0.00)"
already-on-site-review:754,Sea Area - National 250K Map of Ireland,Tailte/OSI/data.gov.ie,0.50,Counties of Ireland,0.143,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.50, jaccard 0.14)"
already-on-site-review:189,Settlements Ungeneralised - National Statistical Boundaries - 2015,Tailte/OSI/data.gov.ie,0.50,Counties of Ireland,0.000,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.50, jaccard 0.00)"
already-on-site-review:896,Telecoms Underground Infrastructure DCC,data.gov.ie,0.50,Dublin Metropolitan Area Existing Protected Cycle Infrastructure 2025 (DCC),0.200,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.50, jaccard 0.20)"
already-on-site-review:88,Townland Boundaries Generalised 100m - National Statutory Boundaries - 2015,Tailte/OSI/data.gov.ie,0.50,Counties of Ireland,0.000,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.50, jaccard 0.00)"
already-on-site-review:89,Townland Boundaries Generalised 20m - National Statutory Boundaries - 2015,Tailte/OSI/data.gov.ie,0.50,Counties of Ireland,0.000,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.50, jaccard 0.00)"
already-on-site-review:90,Townland Boundaries Generalised 50m - National Statutory Boundaries - 2015,Tailte/OSI/data.gov.ie,0.50,Counties of Ireland,0.000,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.50, jaccard 0.00)"
already-on-site-review:91,Townlands - National Placenames Gazetteer,Tailte/OSI/data.gov.ie,0.50,Counties of Ireland,0.000,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.50, jaccard 0.00)"
already-on-site-review:756,Vegetation Areas - National 250K Map of Ireland,Tailte/OSI/data.gov.ie,0.50,Counties of Ireland,0.143,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.50, jaccard 0.14)"
already-on-site-review:512,Wicklow Derelict Sites Register,data.gov.ie,0.50,Derelict Sites Register (DLR),0.600,duplicate-skip,near-identical title (jaccard 0.60) + score 0.50
already-on-site-review:807,Cork City Zoning - Development Plan 2022-2028,data.gov.ie,0.50,Development Plan 2022 2028 (DCC),0.333,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.50, jaccard 0.33)"
already-on-site-review:524,Fingal Polling Stations and Districts,data.gov.ie,0.50,Polling Station Data (Fingal),0.333,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.50, jaccard 0.33)"
already-on-site-review:928,Monthly Performance Indicators SDCC,data.gov.ie,0.50,Monthly River Quality Data1 (SDCC),0.286,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.50, jaccard 0.29)"
already-on-site-review:534,National Monuments Service - Sweathouses,data.gov.ie,0.50,ROI National Planning Applications,0.143,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.50, jaccard 0.14)"
already-on-site-review:14,OSNI Open Data - Largescale Boundaries - Local Government Districts (1993),Open Data NI,0.50,2022 (Final Recommendations),0.000,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.50, jaccard 0.00)"
already-on-site-review:127,Constituency_Boundaries_Ungeneralised_2017_-1490744149365444377,Local standalone source,0.50,2017,0.000,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.50, jaccard 0.00)"
already-on-site-review:2,ConstituencyBoundariesUngeneralised_National_Electoral_Boundaries_2023_-2568859868331602633,Local standalone source,0.50,District Electoral Areas 2012,0.167,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.50, jaccard 0.17)"
already-on-site-review:1019,National Roads Travel Times,data.gov.ie,0.50,NI Pedestrian Crossings,0.000,publish-new,"low title overlap (jaccard 0.00) in ""hold-context-overlap""; tool: context/low-confidence not enough for a dupe"
already-on-site-review:1021,National Roads Weather Station Data,data.gov.ie,0.50,NI Pedestrian Crossings,0.000,publish-new,"low title overlap (jaccard 0.00) in ""hold-context-overlap""; tool: context/low-confidence not enough for a dupe"
already-on-site-review:973,SPA Datasheets,data.gov.ie,0.50,ROI National Planning Applications,0.000,publish-new,"low title overlap (jaccard 0.00) in ""hold-context-overlap""; tool: context/low-confidence not enough for a dupe"
already-on-site-review:1098,Strategic Cycle Network DCC,data.gov.ie,0.50,Pedestrian And Cycle Counter Api For Dublin Region (DCC),0.222,publish-new,"low title overlap (jaccard 0.22) in ""hold-context-overlap""; tool: context/low-confidence not enough for a dupe"
already-on-site-review:1069,WIM Data 2014,data.gov.ie,0.50,NI Road Surface Defects 2014,0.000,publish-new,"low title overlap (jaccard 0.00) in ""hold-context-overlap""; tool: context/low-confidence not enough for a dupe"
already-on-site-review:985,tellus-mag-rtp-merc,Tellus airborne standalone,0.50,Tellus Magnetic ? raw airborne flight-line data,0.100,publish-new,"low title overlap (jaccard 0.10) in ""hold-context-overlap""; tool: context/low-confidence not enough for a dupe"
already-on-site-review:986,tellus-mag-rtp-rgba,Tellus airborne standalone,0.50,Tellus Magnetic ? raw airborne flight-line data,0.100,publish-new,"low title overlap (jaccard 0.10) in ""hold-context-overlap""; tool: context/low-confidence not enough for a dupe"
already-on-site-review:989,tellus-mag-tmi-merc,Tellus airborne standalone,0.50,Tellus Magnetic ? raw airborne flight-line data,0.100,publish-new,"low title overlap (jaccard 0.10) in ""hold-context-overlap""; tool: context/low-confidence not enough for a dupe"
already-on-site-review:990,tellus-mag-tmi-rgba,Tellus airborne standalone,0.50,Tellus Magnetic ? raw airborne flight-line data,0.100,publish-new,"low title overlap (jaccard 0.10) in ""hold-context-overlap""; tool: context/low-confidence not enough for a dupe"
already-on-site-review:776,Cork City Neighbourhood Boundaries,data.gov.ie,0.50,2023,0.000,publish-new,weak-match bucket; no existing target (score 0.50)
already-on-site-review:1072,Irish Digitised Boundaries-20260208T232437Z-1-001,Local standalone source,0.50,Dublin ward definitions 1954,0.000,publish-new,"low title overlap (jaccard 0.00) in ""hold-context-overlap""; tool: context/low-confidence not enough for a dupe"
already-on-site-review:790,"Bedrock Geology 1:100,000 Ireland (ROI) ITM",data.gov.ie,0.47,"Superficial Geology 1:250,000",0.300,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.47, jaccard 0.30)"
already-on-site-review:26,Centres of Population - National Placenames Gazetteer,Tailte/OSI/data.gov.ie,0.47,Counties of Ireland,0.000,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.47, jaccard 0.00)"
already-on-site-review:526,Coastal UNESCO World Heritage Sites,data.gov.ie,0.47,World Heritage Site,0.333,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.47, jaccard 0.33)"
already-on-site-review:37,Constituency Boundaries Ungeneralised - National Electoral Boundaries - 2013,Tailte/OSI/data.gov.ie,0.47,Counties of Ireland,0.000,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.47, jaccard 0.00)"
already-on-site-review:38,Constituency Boundaries Ungeneralised - National Electoral Boundaries - 2017,Tailte/OSI/data.gov.ie,0.47,Counties of Ireland,0.000,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.47, jaccard 0.00)"
already-on-site-review:39,Constituency Boundaries Ungeneralised - National Electoral Boundaries - 2023,Tailte/OSI/data.gov.ie,0.47,Counties of Ireland,0.000,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.47, jaccard 0.00)"
already-on-site-review:40,CSO Electoral Divisions - National Statistical Boundaries - 2022 - Generalised 100m,Tailte/OSI/data.gov.ie,0.47,Counties of Ireland,0.000,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.47, jaccard 0.00)"
already-on-site-review:41,CSO Electoral Divisions - National Statistical Boundaries - 2022 - Generalised 20m,Tailte/OSI/data.gov.ie,0.47,Counties of Ireland,0.000,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.47, jaccard 0.00)"
already-on-site-review:42,CSO Electoral Divisions - National Statistical Boundaries - 2022 - Generalised 50m,Tailte/OSI/data.gov.ie,0.47,Counties of Ireland,0.000,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.47, jaccard 0.00)"
already-on-site-review:47,CSO Local Electoral Areas - National Statistical Boundaries - 2022 - Generalised 100m,Tailte/OSI/data.gov.ie,0.47,Counties of Ireland,0.000,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.47, jaccard 0.00)"
already-on-site-review:48,CSO Local Electoral Areas - National Statistical Boundaries - 2022 - Generalised 20m,Tailte/OSI/data.gov.ie,0.47,Counties of Ireland,0.000,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.47, jaccard 0.00)"
already-on-site-review:49,CSO Local Electoral Areas - National Statistical Boundaries - 2022 - Generalised 50m,Tailte/OSI/data.gov.ie,0.47,Counties of Ireland,0.000,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.47, jaccard 0.00)"
already-on-site-review:51,CSO Small Areas - National Statistical Boundaries - 2022 - Generalised 20m,Tailte/OSI/data.gov.ie,0.47,Counties of Ireland,0.000,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.47, jaccard 0.00)"
already-on-site-review:166,CSO Urban Areas - National Statistical Boundaries - 2022 - Generalised 20m,Tailte/OSI/data.gov.ie,0.47,Counties of Ireland,0.000,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.47, jaccard 0.00)"
already-on-site-review:351,Development Plan 2010 - 2016 DLR,data.gov.ie,0.47,Dlr Development Plan 2016 2022 Zoning Objectives (DLR),0.600,duplicate-skip,near-identical title (jaccard 0.60) + score 0.47
already-on-site-review:764,Dublin Metropolitan Area Cycle Infrastructure 2025,data.gov.ie,0.47,Dublin Metropolitan Area Existing Protected Cycle Infrastructure 2025 (DCC),0.625,duplicate-skip,near-identical title (jaccard 0.63) + score 0.47
already-on-site-review:53,Electoral Districts - National Placenames Gazetteer,Tailte/OSI/data.gov.ie,0.47,Counties of Ireland,0.000,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.47, jaccard 0.00)"
already-on-site-review:58,Gaeltacht Areas - National Administrative Boundaries - Ungeneralised - 2024,Tailte/OSI/data.gov.ie,0.47,Counties of Ireland,0.000,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.47, jaccard 0.00)"
already-on-site-review:60,Gaeltacht Boundaries Generalised 100m - National Administrative Boundaries - 2015,Tailte/OSI/data.gov.ie,0.47,Counties of Ireland,0.000,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.47, jaccard 0.00)"
already-on-site-review:61,Gaeltacht Boundaries Generalised 20m - National Administrative Boundaries - 2015,Tailte/OSI/data.gov.ie,0.47,Counties of Ireland,0.000,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.47, jaccard 0.00)"
already-on-site-review:62,Gaeltacht Boundaries Generalised 50m - National Administrative Boundaries - 2015,Tailte/OSI/data.gov.ie,0.47,Counties of Ireland,0.000,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.47, jaccard 0.00)"
already-on-site-review:829,"Groundwater Flooding High Probability 1:20,000 Ireland (ROI) ITM",data.gov.ie,0.47,Groundwater Flooding ? Medium Probability (ROI),0.364,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.47, jaccard 0.36)"
already-on-site-review:833,"Groundwater Resources Sand and Gravel Aquifers 1:40,000 Ireland (ROI) ITM",data.gov.ie,0.47,"Superficial Geology 1:250,000",0.143,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.47, jaccard 0.14)"
already-on-site-review:733,High Water Mark - National Water Marks,Tailte/OSI/data.gov.ie,0.47,Counties of Ireland,0.000,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.47, jaccard 0.00)"
already-on-site-review:77,Local Electoral Areas Boundaries Ungeneralised - National Administrative Boundaries - 2015,Tailte/OSI/data.gov.ie,0.47,Counties of Ireland,0.000,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.47, jaccard 0.00)"
already-on-site-review:741,Low Water Mark - National Water Marks,Tailte/OSI/data.gov.ie,0.47,Counties of Ireland,0.000,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.47, jaccard 0.00)"
already-on-site-review:745,Motorway Access Exit Points - National 1m Map Of Ireland,Tailte/OSI/data.gov.ie,0.47,Counties of Ireland,0.111,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.47, jaccard 0.11)"
already-on-site-review:81,Municipal Districts Ungeneralised - National Administrative Boundaries - 2015,Tailte/OSI/data.gov.ie,0.47,Counties of Ireland,0.000,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.47, jaccard 0.00)"
already-on-site-review:859,National Indicative Fluvial Mapping (NIFM) Model Nodes - High-End Future Scenario,data.gov.ie,0.47,NIFM River Flood Extents ? Current Scenario,0.133,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.47, jaccard 0.13)"
already-on-site-review:860,National Indicative Fluvial Mapping (NIFM) Model Nodes - Mid-Range Future Scenario,data.gov.ie,0.47,NIFM River Flood Extents ? Current Scenario,0.133,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.47, jaccard 0.13)"
already-on-site-review:174,NUTS2 Boundaries Generalised 100m - National Statistical Boundaries - 2015,Tailte/OSI/data.gov.ie,0.47,Counties of Ireland,0.000,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.47, jaccard 0.00)"
already-on-site-review:175,NUTS2 Boundaries Generalised 20m - National Statistical Boundaries - 2015,Tailte/OSI/data.gov.ie,0.47,Counties of Ireland,0.000,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.47, jaccard 0.00)"
already-on-site-review:176,NUTS2 Boundaries Generalised 50m - National Statistical Boundaries - 2015,Tailte/OSI/data.gov.ie,0.47,Counties of Ireland,0.000,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.47, jaccard 0.00)"
already-on-site-review:178,NUTS3 Boundaries Generalised 100m - National Statistical Boundaries - 2015,Tailte/OSI/data.gov.ie,0.47,Counties of Ireland,0.000,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.47, jaccard 0.00)"
already-on-site-review:179,NUTS3 Boundaries Generalised 20m - National Statistical Boundaries - 2015,Tailte/OSI/data.gov.ie,0.47,Counties of Ireland,0.000,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.47, jaccard 0.00)"
already-on-site-review:180,NUTS3 Boundaries Generalised 50m - National Statistical Boundaries - 2015,Tailte/OSI/data.gov.ie,0.47,Counties of Ireland,0.000,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.47, jaccard 0.00)"
already-on-site-review:82,Province Boundaries Generalised 100m - National Administrative Boundaries - 2015,Tailte/OSI/data.gov.ie,0.47,Counties of Ireland,0.000,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.47, jaccard 0.00)"
already-on-site-review:83,Province Boundaries Generalised 20m - National Administrative Boundaries - 2015,Tailte/OSI/data.gov.ie,0.47,Counties of Ireland,0.000,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.47, jaccard 0.00)"
