Geography Code,Geography Label,Measure,Response,Response Label,Breakdown Dimension,Breakdown Category,Base Type,Statistic,Unit,Value,Extraction Confidence
N92000002,Northern Ireland,"Would you accept a private business, charity or social enterprise running some of NI's Public Services, at the same level of service quality?",C,No Opinion,SocialGrade,AB,inc_DK,count,persons,21,0.9
N92000002,Northern Ireland,"Would you accept a private business, charity or social enterprise running some of NI's Public Services, at the same level of service quality?",C,No Opinion,SocialGrade,C1,inc_DK,count,persons,53,0.9
N92000002,Northern Ireland,"Would you accept a private business, charity or social enterprise running some of NI's Public Services, at the same level of service quality?",C,No Opinion,SocialGrade,C2,inc_DK,count,persons,46,0.9
N92000002,Northern Ireland,"Would you accept a private business, charity or social enterprise running some of NI's Public Services, at the same level of service quality?",C,No Opinion,SocialGrade,DE,inc_DK,count,persons,29,0.9
N92000002,Northern Ireland,"Would you accept a private business, charity or social enterprise running some of NI's Public Services, at the same level of service quality?",A,Yes,Total,Total,inc_DK,count,persons,832,0.9
N92000002,Northern Ireland,"Would you accept a private business, charity or social enterprise running some of NI's Public Services, at the same level of service quality?",A,Yes,Total,Total,inc_DK,percent,%,65.7,0.95
N92000002,Northern Ireland,"Would you accept a private business, charity or social enterprise running some of NI's Public Services, at the same level of service quality?",B,No,Total,Total,inc_DK,count,persons,253,0.9
N92000002,Northern Ireland,"Would you accept a private business, charity or social enterprise running some of NI's Public Services, at the same level of service quality?",B,No,Total,Total,inc_DK,percent,%,20.0,0.95
N92000002,Northern Ireland,"Would you accept a private business, charity or social enterprise running some of NI's Public Services, at the same level of service quality?",Base,respondents,Total,Total,inc_DK,count,persons,1267,0.9
N92000002,Northern Ireland,"Would you accept a private business, charity or social enterprise running some of NI's Public Services, at the same level of service quality?",C,No Opinion,Total,Total,inc_DK,count,persons,182,0.9
N92000002,Northern Ireland,"Would you accept a private business, charity or social enterprise running some of NI's Public Services, at the same level of service quality?",C,No Opinion,Total,Total,inc_DK,percent,%,14.4,0.95
N92000002,Northern Ireland,"Does competition in both the private and public sectors improve, or not improve, performance and service?",A,Improve,Age,18-24,inc_DK,count,persons,79,0.9
N92000002,Northern Ireland,"Does competition in both the private and public sectors improve, or not improve, performance and service?",A,Improve,Age,25-44,inc_DK,count,persons,151,0.9
N92000002,Northern Ireland,"Does competition in both the private and public sectors improve, or not improve, performance and service?",A,Improve,Age,45-64,inc_DK,count,persons,176,0.9
N92000002,Northern Ireland,"Does competition in both the private and public sectors improve, or not improve, performance and service?",A,Improve,Age,65+,inc_DK,count,persons,174,0.9
