Geography Code,Geography Label,Measure,Response,Response Label,Breakdown Dimension,Breakdown Category,Base Type,Statistic,Unit,Value,Extraction Confidence
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - including Don't Knows/Not Sures (currently) [MAINPollQuestion1FULLRESULTS],Sinn Féin,,Religion,Mixed: Catholic/ Protestant,inc_DK,count,persons,14,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - including Don't Knows/Not Sures (currently) [MAINPollQuestion1FULLRESULTS],Sinn Féin,,Religion,Mixed: Catholic/ Protestant,inc_DK,percent,%,18.0,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - including Don't Knows/Not Sures (currently) [MAINPollQuestion1FULLRESULTS],Sinn Féin,,Religion,No Religion,inc_DK,count,persons,28,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - including Don't Knows/Not Sures (currently) [MAINPollQuestion1FULLRESULTS],Sinn Féin,,Religion,No Religion,inc_DK,percent,%,17.0,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - including Don't Knows/Not Sures (currently) [MAINPollQuestion1FULLRESULTS],Sinn Féin,,Religion,Other,inc_DK,count,persons,3,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - including Don't Knows/Not Sures (currently) [MAINPollQuestion1FULLRESULTS],Sinn Féin,,Religion,Other,inc_DK,percent,%,7.0,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - including Don't Knows/Not Sures (currently) [MAINPollQuestion1FULLRESULTS],Sinn Féin,,Religion,Prefer not to say,inc_DK,count,persons,13,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - including Don't Knows/Not Sures (currently) [MAINPollQuestion1FULLRESULTS],Sinn Féin,,Religion,Prefer not to say,inc_DK,percent,%,16.0,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - including Don't Knows/Not Sures (currently) [MAINPollQuestion1FULLRESULTS],Sinn Féin,,ConstitutionalBloc,Strongly Nationalist,inc_DK,count,persons,599,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - including Don't Knows/Not Sures (currently) [MAINPollQuestion1FULLRESULTS],Sinn Féin,,ConstitutionalBloc,Strongly Nationalist,inc_DK,percent,%,84.0,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - including Don't Knows/Not Sures (currently) [MAINPollQuestion1FULLRESULTS],Sinn Féin,,ConstitutionalBloc,Slightly Nationalist,inc_DK,count,persons,245,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - including Don't Knows/Not Sures (currently) [MAINPollQuestion1FULLRESULTS],Sinn Féin,,ConstitutionalBloc,Slightly Nationalist,inc_DK,percent,%,56.0,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - including Don't Knows/Not Sures (currently) [MAINPollQuestion1FULLRESULTS],Sinn Féin,,ConstitutionalBloc,Neutral,inc_DK,count,persons,66,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - including Don't Knows/Not Sures (currently) [MAINPollQuestion1FULLRESULTS],Sinn Féin,,ConstitutionalBloc,Neutral,inc_DK,percent,%,12.0,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - including Don't Knows/Not Sures (currently) [MAINPollQuestion1FULLRESULTS],Sinn Féin,,ConstitutionalBloc,Slightly Unionist,inc_DK,count,persons,7,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - including Don't Knows/Not Sures (currently) [MAINPollQuestion1FULLRESULTS],Sinn Féin,,ConstitutionalBloc,Slightly Unionist,inc_DK,percent,%,1.0,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - including Don't Knows/Not Sures (currently) [MAINPollQuestion1FULLRESULTS],Sinn Féin,,ConstitutionalBloc,Strongly Unionist,inc_DK,count,persons,6,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - including Don't Knows/Not Sures (currently) [MAINPollQuestion1FULLRESULTS],Sinn Féin,,ConstitutionalBloc,Strongly Unionist,inc_DK,percent,%,1.0,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - including Don't Knows/Not Sures (currently) [MAINPollQuestion1FULLRESULTS],Sinn Féin,,PastVote,Remain,inc_DK,count,persons,797,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - including Don't Knows/Not Sures (currently) [MAINPollQuestion1FULLRESULTS],Sinn Féin,,PastVote,Remain,inc_DK,percent,%,44.0,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - including Don't Knows/Not Sures (currently) [MAINPollQuestion1FULLRESULTS],Sinn Féin,,PastVote,Leave,inc_DK,count,persons,86,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - including Don't Knows/Not Sures (currently) [MAINPollQuestion1FULLRESULTS],Sinn Féin,,PastVote,Leave,inc_DK,percent,%,7.0,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - including Don't Knows/Not Sures (currently) [MAINPollQuestion1FULLRESULTS],Sinn Féin,,PastVote,Non-Voter at the 2016 EU Referendum,inc_DK,count,persons,70,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - including Don't Knows/Not Sures (currently) [MAINPollQuestion1FULLRESULTS],Sinn Féin,,PastVote,Non-Voter at the 2016 EU Referendum,inc_DK,percent,%,33.0,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - including Don't Knows/Not Sures (currently) [MAINPollQuestion1FULLRESULTS],Sinn Féin,,PastVote,Prefer not to say/ CNR,inc_DK,count,persons,3,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - including Don't Knows/Not Sures (currently) [MAINPollQuestion1FULLRESULTS],Sinn Féin,,PastVote,Prefer not to say/ CNR,inc_DK,percent,%,18.0,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - including Don't Knows/Not Sures (currently) [MAINPollQuestion1FULLRESULTS],DUP,,Total,Total,inc_DK,count,persons,762,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - including Don't Knows/Not Sures (currently) [MAINPollQuestion1FULLRESULTS],DUP,,Total,Total,inc_DK,percent,%,23.0,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - including Don't Knows/Not Sures (currently) [MAINPollQuestion1FULLRESULTS],DUP,,Gender,Female,inc_DK,count,persons,344,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - including Don't Knows/Not Sures (currently) [MAINPollQuestion1FULLRESULTS],DUP,,Gender,Female,inc_DK,percent,%,20.0,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - including Don't Knows/Not Sures (currently) [MAINPollQuestion1FULLRESULTS],DUP,,Gender,Male,inc_DK,count,persons,408,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - including Don't Knows/Not Sures (currently) [MAINPollQuestion1FULLRESULTS],DUP,,Gender,Male,inc_DK,percent,%,25.0,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - including Don't Knows/Not Sures (currently) [MAINPollQuestion1FULLRESULTS],DUP,,Age,18-24 years age-group,inc_DK,count,persons,28,0.85
