id,roiGroup,provider,organisation,category,title,cleanTitle,jurisdiction,topic,featureUnit,formats,proposedAction,proposedPlacement,runtimeDesired,runtimeConversion,confidence,bestExistingMatchType,bestExistingMatchId,bestExistingMatchTitle,bestExistingMatchScore,bestExistingMatchStillPresent,residualBlockerCount,residualBlockers,resolvedBlockers,currentProviderUrl,waybackUrl,sourcePlacement,sourceProvenanceDraft,approvalState
medium-prep:5-local-authority-planning-property-open-data-layers:beaches-location-on-map-fcc2:00407,5. Local authority planning/property/open-data layers,data.gov.ie,Fingal County Council,spatial,Beaches Location on Map FCC,Beaches Location on Map FCC,Ireland / unspecified,source-data,features,ARCGIS GEOSERVICES REST API|CSV|GEOJSON|HTML|KML|ZIP,local-authority-batch-review,Books/Tables/Sources source/download record,metadata/source page,No runtime conversion required unless structured values are later extracted.,60,,,,,false,1,duplicate-or-variant-review: no existing match candidate,"large-or-special-format-review: normal source package; no special-format hold | local-authority-duplication-and-topic-placement: batched by council/provider for approval | map-conversion-pmtiles-or-download-only-decision: conversion path staged, not executed",https://data.gov.ie/dataset/beaches-location-on-map-fcc2,https://web.archive.org/web/*/https://data.gov.ie/dataset/beaches-location-on-map-fcc2,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,"Fingal County Council | Beaches Location on Map FCC | formats: ARCGIS GEOSERVICES REST API, CSV, GEOJSON, HTML, KML, ZIP | current URL: https://data.gov.ie/dataset/beaches-location-on-map-fcc2 | IA mirror/download link pending; do not expose local drive paths.",ready-with-residual-review
medium-prep:5-local-authority-planning-property-open-data-layers:bicycle-traffic-counts-dlr:00408,5. Local authority planning/property/open-data layers,data.gov.ie,Dún Laoghaire-Rathdown County Council,spatial,Bicycle Counts DLR,Bicycle Counts DLR,Northern Ireland,transport-public-asset,features,CSV|GEOJSON,local-authority-batch-review,Books/Tables/Sources source/download record,metadata/source page,No runtime conversion required unless structured values are later extracted.,60,,,,,false,1,duplicate-or-variant-review: no existing match candidate,"local-authority-duplication-and-topic-placement: batched by council/provider for approval | map-conversion-pmtiles-or-download-only-decision: conversion path staged, not executed",https://data.gov.ie/dataset/bicycle-traffic-counts-dlr,https://web.archive.org/web/*/https://data.gov.ie/dataset/bicycle-traffic-counts-dlr,Interactive map if dedupe passes and size/geometry is suitable; otherwise source/download record.,"Dún Laoghaire-Rathdown County Council | Bicycle Counts DLR | formats: CSV, GEOJSON | current URL: https://data.gov.ie/dataset/bicycle-traffic-counts-dlr | IA mirror/download link pending; do not expose local drive paths.",ready-with-residual-review
medium-prep:5-local-authority-planning-property-open-data-layers:bicycle-cycling-warning-signs-2024-fcc1:00409,5. Local authority planning/property/open-data layers,data.gov.ie,Fingal County Council,spatial,Bicycle Cycling Warning Signs  2024 FCC,Bicycle Cycling Warning Signs 2024 FCC,Ireland / unspecified,transport-public-asset,features,ARCGIS GEOSERVICES REST API|CSV|GEOJSON|HTML|KML|ZIP,local-authority-batch-review,Books/Tables/Sources source/download record,metadata/source page,No runtime conversion required unless structured values are later extracted.,60,,,,,false,1,duplicate-or-variant-review: no existing match candidate,"large-or-special-format-review: normal source package; no special-format hold | local-authority-duplication-and-topic-placement: batched by council/provider for approval | map-conversion-pmtiles-or-download-only-decision: conversion path staged, not executed",https://data.gov.ie/dataset/bicycle-cycling-warning-signs-2024-fcc1,https://web.archive.org/web/*/https://data.gov.ie/dataset/bicycle-cycling-warning-signs-2024-fcc1,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,"Fingal County Council | Bicycle Cycling Warning Signs 2024 FCC | formats: ARCGIS GEOSERVICES REST API, CSV, GEOJSON, HTML, KML, ZIP | current URL: https://data.gov.ie/dataset/bicycle-cycling-warning-signs-2024-fcc1 | IA mirror/download link pending; do not expose local drive paths.",ready-with-residual-review
medium-prep:5-local-authority-planning-property-open-data-layers:bicycle-maintenance-stands-dlr:00410,5. Local authority planning/property/open-data layers,data.gov.ie,Dún Laoghaire-Rathdown County Council,spatial,Bicycle Maintenance Stands DLR,Bicycle Maintenance Stands DLR,Northern Ireland,transport-public-asset,features,CSV|GEOJSON|ZIP,enrich-existing-source,Existing Browse/Books/Tables source metadata,metadata/source page,No runtime conversion required unless structured values are later extracted.,50,,,,,false,0,,"already-on-site-exact-or-strong-match: publication policy assigned | large-or-special-format-review: normal source package; no special-format hold | local-authority-duplication-and-topic-placement: batched by council/provider for approval | map-conversion-pmtiles-or-download-only-decision: conversion path staged, not executed",https://data.gov.ie/dataset/bicycle-maintenance-stands-dlr,https://web.archive.org/web/*/https://data.gov.ie/dataset/bicycle-maintenance-stands-dlr,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,"Dún Laoghaire-Rathdown County Council | Bicycle Maintenance Stands DLR | formats: CSV, GEOJSON, ZIP | current URL: https://data.gov.ie/dataset/bicycle-maintenance-stands-dlr | IA mirror/download link pending; do not expose local drive paths.",ready-for-approval
medium-prep:5-local-authority-planning-property-open-data-layers:bicycle-maintenance-stands-sdcc1:00411,5. Local authority planning/property/open-data layers,data.gov.ie,South Dublin County Council,spatial,Bicycle Maintenance Stands SDCC,Bicycle Maintenance Stands SDCC,Republic of Ireland,transport-public-asset,features,ARCGIS GEOSERVICES REST API|CSV|GEOJSON|HTML|KML|ZIP,local-authority-batch-review,Books/Tables/Sources source/download record,metadata/source page,No runtime conversion required unless structured values are later extracted.,60,,,,,false,1,duplicate-or-variant-review: no existing match candidate,"large-or-special-format-review: normal source package; no special-format hold | local-authority-duplication-and-topic-placement: batched by council/provider for approval | map-conversion-pmtiles-or-download-only-decision: conversion path staged, not executed",https://data.gov.ie/dataset/bicycle-maintenance-stands-sdcc1,https://web.archive.org/web/*/https://data.gov.ie/dataset/bicycle-maintenance-stands-sdcc1,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,"South Dublin County Council | Bicycle Maintenance Stands SDCC | formats: ARCGIS GEOSERVICES REST API, CSV, GEOJSON, HTML, KML, ZIP | current URL: https://data.gov.ie/dataset/bicycle-maintenance-stands-sdcc1 | IA mirror/download link pending; do not expose local drive paths.",ready-with-residual-review
medium-prep:5-local-authority-planning-property-open-data-layers:bicycle-parking-stands-dlr:00412,5. Local authority planning/property/open-data layers,data.gov.ie,Dún Laoghaire-Rathdown County Council,spatial,Bicycle Parking Stands DLR,Bicycle Parking Stands DLR,Northern Ireland,transport-public-asset,parking assets,CSV|GEOJSON|ZIP,enrich-existing-source,Existing Browse/Books/Tables source metadata,metadata/source page,No runtime conversion required unless structured values are later extracted.,50,,,,,false,0,,"already-on-site-exact-or-strong-match: publication policy assigned | large-or-special-format-review: normal source package; no special-format hold | local-authority-duplication-and-topic-placement: batched by council/provider for approval | map-conversion-pmtiles-or-download-only-decision: conversion path staged, not executed",https://data.gov.ie/dataset/bicycle-parking-stands-dlr,https://web.archive.org/web/*/https://data.gov.ie/dataset/bicycle-parking-stands-dlr,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,"Dún Laoghaire-Rathdown County Council | Bicycle Parking Stands DLR | formats: CSV, GEOJSON, ZIP | current URL: https://data.gov.ie/dataset/bicycle-parking-stands-dlr | IA mirror/download link pending; do not expose local drive paths.",ready-for-approval
medium-prep:5-local-authority-planning-property-open-data-layers:bicycle-parking-stands-sdcc:00413,5. Local authority planning/property/open-data layers,data.gov.ie,South Dublin County Council,spatial,Bicycle Parking Stands SDCC,Bicycle Parking Stands SDCC,Republic of Ireland,transport-public-asset,parking assets,ARCGIS GEOSERVICES REST API|CSV|GEOJSON|HTML|KML|ZIP,enrich-existing-source,Existing Browse/Books/Tables source metadata,metadata/source page,No runtime conversion required unless structured values are later extracted.,50,,,,,false,0,,"already-on-site-exact-or-strong-match: publication policy assigned | large-or-special-format-review: normal source package; no special-format hold | local-authority-duplication-and-topic-placement: batched by council/provider for approval | map-conversion-pmtiles-or-download-only-decision: conversion path staged, not executed",https://data.gov.ie/dataset/bicycle-parking-stands-sdcc,https://web.archive.org/web/*/https://data.gov.ie/dataset/bicycle-parking-stands-sdcc,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,"South Dublin County Council | Bicycle Parking Stands SDCC | formats: ARCGIS GEOSERVICES REST API, CSV, GEOJSON, HTML, KML, ZIP | current URL: https://data.gov.ie/dataset/bicycle-parking-stands-sdcc | IA mirror/download link pending; do not expose local drive paths.",ready-for-approval
medium-prep:5-local-authority-planning-property-open-data-layers:bicycle-parking-stands-sdcc2:00414,5. Local authority planning/property/open-data layers,data.gov.ie,South Dublin County Council,spatial,Bicycle Parking Stands SDCC,Bicycle Parking Stands SDCC,Republic of Ireland,transport-public-asset,parking assets,ARCGIS GEOSERVICES REST API|CSV|GEOJSON|HTML|KML|ZIP,enrich-existing-source,Existing Browse/Books/Tables source metadata,metadata/source page,No runtime conversion required unless structured values are later extracted.,50,,,,,false,0,,"already-on-site-exact-or-strong-match: publication policy assigned | large-or-special-format-review: normal source package; no special-format hold | local-authority-duplication-and-topic-placement: batched by council/provider for approval | map-conversion-pmtiles-or-download-only-decision: conversion path staged, not executed",https://data.gov.ie/dataset/bicycle-parking-stands-sdcc2,https://web.archive.org/web/*/https://data.gov.ie/dataset/bicycle-parking-stands-sdcc2,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,"South Dublin County Council | Bicycle Parking Stands SDCC | formats: ARCGIS GEOSERVICES REST API, CSV, GEOJSON, HTML, KML, ZIP | current URL: https://data.gov.ie/dataset/bicycle-parking-stands-sdcc2 | IA mirror/download link pending; do not expose local drive paths.",ready-for-approval
medium-prep:5-local-authority-planning-property-open-data-layers:bicycle-warning-signs-fcc4:00415,5. Local authority planning/property/open-data layers,data.gov.ie,Fingal County Council,spatial,Bicycle Warning Signs  FCC,Bicycle Warning Signs FCC,Ireland / unspecified,transport-public-asset,features,ARCGIS GEOSERVICES REST API|CSV|GEOJSON|HTML|KML|ZIP,local-authority-batch-review,Books/Tables/Sources source/download record,metadata/source page,No runtime conversion required unless structured values are later extracted.,60,,,,,false,1,duplicate-or-variant-review: no existing match candidate,"large-or-special-format-review: normal source package; no special-format hold | local-authority-duplication-and-topic-placement: batched by council/provider for approval | map-conversion-pmtiles-or-download-only-decision: conversion path staged, not executed",https://data.gov.ie/dataset/bicycle-warning-signs-fcc4,https://web.archive.org/web/*/https://data.gov.ie/dataset/bicycle-warning-signs-fcc4,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,"Fingal County Council | Bicycle Warning Signs FCC | formats: ARCGIS GEOSERVICES REST API, CSV, GEOJSON, HTML, KML, ZIP | current URL: https://data.gov.ie/dataset/bicycle-warning-signs-fcc4 | IA mirror/download link pending; do not expose local drive paths.",ready-with-residual-review
medium-prep:5-local-authority-planning-property-open-data-layers:bicycle-warning-signs-fcc5:00416,5. Local authority planning/property/open-data layers,data.gov.ie,Fingal County Council,spatial,Bicycle Warning Signs FCC,Bicycle Warning Signs FCC,Ireland / unspecified,transport-public-asset,features,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,hold-special-format,Books/Tables/Sources source/download record,download/source viewport first,Do not convert until size/format review approves an interactive derivative.,45,,,,,false,2,duplicate-or-variant-review: no existing match candidate | large-or-special-format-review: size/format decision remains before runtime publication,"local-authority-duplication-and-topic-placement: batched by council/provider for approval | map-conversion-pmtiles-or-download-only-decision: conversion path staged, not executed",https://data.gov.ie/dataset/bicycle-warning-signs-fcc5,https://web.archive.org/web/*/https://data.gov.ie/dataset/bicycle-warning-signs-fcc5,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,"Fingal County Council | Bicycle Warning Signs FCC | formats: ARCGIS GEOSERVICES REST API, CSV, GDB, GEOJSON, GPKG, HTML, KML, TXT, XLSX, ZIP | current URL: https://data.gov.ie/dataset/bicycle-warning-signs-fcc5 | IA mirror/download link pending; do not expose local drive paths.",ready-with-residual-review
medium-prep:5-local-authority-planning-property-open-data-layers:bicycle-counter-locations-dlr:00417,5. Local authority planning/property/open-data layers,data.gov.ie,Dún Laoghaire-Rathdown County Council,spatial,Bicycle/Pedestrian Counter Locations DLR,Bicycle/Pedestrian Counter Locations DLR,Northern Ireland,transport-public-asset,features,CSV|DB_TABLE|GEOJSON|WMS|ZIP,local-authority-batch-review,Books/Tables/Sources source/download record,metadata/source page,No runtime conversion required unless structured values are later extracted.,60,,,,,false,1,duplicate-or-variant-review: no existing match candidate,"large-or-special-format-review: normal source package; no special-format hold | local-authority-duplication-and-topic-placement: batched by council/provider for approval | map-conversion-pmtiles-or-download-only-decision: conversion path staged, not executed",https://data.gov.ie/dataset/bicycle-counter-locations-dlr,https://web.archive.org/web/*/https://data.gov.ie/dataset/bicycle-counter-locations-dlr,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,"Dún Laoghaire-Rathdown County Council | Bicycle/Pedestrian Counter Locations DLR | formats: CSV, DB_TABLE, GEOJSON, WMS, ZIP | current URL: https://data.gov.ie/dataset/bicycle-counter-locations-dlr | IA mirror/download link pending; do not expose local drive paths.",ready-with-residual-review
medium-prep:5-local-authority-planning-property-open-data-layers:bleeper-tier-bikes-parking-locations-fcc1:00418,5. Local authority planning/property/open-data layers,data.gov.ie,Fingal County Council,spatial,Bleeper/Tier Bikes Parking/Locations   FCC,Bleeper/Tier Bikes Parking/Locations FCC,Ireland / unspecified,transport-public-asset,parking assets,ARCGIS GEOSERVICES REST API|CSV|GEOJSON|HTML|KML|ZIP,local-authority-batch-review,Books/Tables/Sources source/download record,metadata/source page,No runtime conversion required unless structured values are later extracted.,60,,,,,false,1,duplicate-or-variant-review: no existing match candidate,"large-or-special-format-review: normal source package; no special-format hold | local-authority-duplication-and-topic-placement: batched by council/provider for approval | map-conversion-pmtiles-or-download-only-decision: conversion path staged, not executed",https://data.gov.ie/dataset/bleeper-tier-bikes-parking-locations-fcc1,https://web.archive.org/web/*/https://data.gov.ie/dataset/bleeper-tier-bikes-parking-locations-fcc1,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,"Fingal County Council | Bleeper/Tier Bikes Parking/Locations FCC | formats: ARCGIS GEOSERVICES REST API, CSV, GEOJSON, HTML, KML, ZIP | current URL: https://data.gov.ie/dataset/bleeper-tier-bikes-parking-locations-fcc1 | IA mirror/download link pending; do not expose local drive paths.",ready-with-residual-review
medium-prep:5-local-authority-planning-property-open-data-layers:boules-fcc:00419,5. Local authority planning/property/open-data layers,data.gov.ie,Fingal County Council,spatial,Boules FCC,Boules FCC,Ireland / unspecified,source-data,features,ARCGIS GEOSERVICES REST API|CSV|GEOJSON|HTML|KML|ZIP,local-authority-batch-review,Books/Tables/Sources source/download record,metadata/source page,No runtime conversion required unless structured values are later extracted.,60,,,,,false,1,duplicate-or-variant-review: no existing match candidate,"large-or-special-format-review: normal source package; no special-format hold | local-authority-duplication-and-topic-placement: batched by council/provider for approval | map-conversion-pmtiles-or-download-only-decision: conversion path staged, not executed",https://data.gov.ie/dataset/boules-fcc,https://web.archive.org/web/*/https://data.gov.ie/dataset/boules-fcc,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,"Fingal County Council | Boules FCC | formats: ARCGIS GEOSERVICES REST API, CSV, GEOJSON, HTML, KML, ZIP | current URL: https://data.gov.ie/dataset/boules-fcc | IA mirror/download link pending; do not expose local drive paths.",ready-with-residual-review
medium-prep:5-local-authority-planning-property-open-data-layers:bowling-green-fcc:00420,5. Local authority planning/property/open-data layers,data.gov.ie,Fingal County Council,spatial,Bowling Green FCC,Bowling Green FCC,Ireland / unspecified,source-data,features,ARCGIS GEOSERVICES REST API|CSV|GEOJSON|HTML|KML|ZIP,local-authority-batch-review,Books/Tables/Sources source/download record,metadata/source page,No runtime conversion required unless structured values are later extracted.,60,,,,,false,1,duplicate-or-variant-review: no existing match candidate,"large-or-special-format-review: normal source package; no special-format hold | local-authority-duplication-and-topic-placement: batched by council/provider for approval | map-conversion-pmtiles-or-download-only-decision: conversion path staged, not executed",https://data.gov.ie/dataset/bowling-green-fcc,https://web.archive.org/web/*/https://data.gov.ie/dataset/bowling-green-fcc,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,"Fingal County Council | Bowling Green FCC | formats: ARCGIS GEOSERVICES REST API, CSV, GEOJSON, HTML, KML, ZIP | current URL: https://data.gov.ie/dataset/bowling-green-fcc | IA mirror/download link pending; do not expose local drive paths.",ready-with-residual-review
medium-prep:5-local-authority-planning-property-open-data-layers:bowling-green-sdcc1:00421,5. Local authority planning/property/open-data layers,data.gov.ie,South Dublin County Council,spatial,Bowling Green SDCC,Bowling Green SDCC,Republic of Ireland,source-data,features,ARCGIS GEOSERVICES REST API|CSV|GEOJSON|HTML|KML|ZIP,local-authority-batch-review,Books/Tables/Sources source/download record,metadata/source page,No runtime conversion required unless structured values are later extracted.,60,,,,,false,1,duplicate-or-variant-review: no existing match candidate,"large-or-special-format-review: normal source package; no special-format hold | local-authority-duplication-and-topic-placement: batched by council/provider for approval | map-conversion-pmtiles-or-download-only-decision: conversion path staged, not executed",https://data.gov.ie/dataset/bowling-green-sdcc1,https://web.archive.org/web/*/https://data.gov.ie/dataset/bowling-green-sdcc1,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,"South Dublin County Council | Bowling Green SDCC | formats: ARCGIS GEOSERVICES REST API, CSV, GEOJSON, HTML, KML, ZIP | current URL: https://data.gov.ie/dataset/bowling-green-sdcc1 | IA mirror/download link pending; do not expose local drive paths.",ready-with-residual-review
medium-prep:5-local-authority-planning-property-open-data-layers:boyle-lap-2012-2018-expired-roscommon5:00422,5. Local authority planning/property/open-data layers,data.gov.ie,Roscommon County Council,spatial,Boyle LAP 2012-2018 (Expired) - Roscommon,Boyle LAP 2012-2018 (Expired) - Roscommon,Ireland / unspecified,source-data,features,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,hold-special-format,Books/Tables/Sources source/download record,download/source viewport first,Do not convert until size/format review approves an interactive derivative.,45,,,,,false,2,duplicate-or-variant-review: no existing match candidate | large-or-special-format-review: size/format decision remains before runtime publication,"local-authority-duplication-and-topic-placement: batched by council/provider for approval | map-conversion-pmtiles-or-download-only-decision: conversion path staged, not executed",https://data.gov.ie/dataset/boyle-lap-2012-2018-expired-roscommon5,https://web.archive.org/web/*/https://data.gov.ie/dataset/boyle-lap-2012-2018-expired-roscommon5,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,"Roscommon County Council | Boyle LAP 2012-2018 (Expired) - Roscommon | formats: ARCGIS GEOSERVICES REST API, CSV, GDB, GEOJSON, GPKG, HTML, KML, TXT, XLSX, ZIP | current URL: https://data.gov.ie/dataset/boyle-lap-2012-2018-expired-roscommon5 | IA mirror/download link pending; do not expose local drive paths.",ready-with-residual-review
medium-prep:5-local-authority-planning-property-open-data-layers:boyle-lap-2015-2021-roscommon5:00423,5. Local authority planning/property/open-data layers,data.gov.ie,Roscommon County Council,spatial,Boyle LAP 2015-2021 - Roscommon,Boyle LAP 2015-2021 - Roscommon,Ireland / unspecified,source-data,features,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,hold-special-format,Books/Tables/Sources source/download record,download/source viewport first,Do not convert until size/format review approves an interactive derivative.,45,,,,,false,2,duplicate-or-variant-review: no existing match candidate | large-or-special-format-review: size/format decision remains before runtime publication,"local-authority-duplication-and-topic-placement: batched by council/provider for approval | map-conversion-pmtiles-or-download-only-decision: conversion path staged, not executed",https://data.gov.ie/dataset/boyle-lap-2015-2021-roscommon5,https://web.archive.org/web/*/https://data.gov.ie/dataset/boyle-lap-2015-2021-roscommon5,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,"Roscommon County Council | Boyle LAP 2015-2021 - Roscommon | formats: ARCGIS GEOSERVICES REST API, CSV, GDB, GEOJSON, GPKG, HTML, KML, TXT, XLSX, ZIP | current URL: https://data.gov.ie/dataset/boyle-lap-2015-2021-roscommon5 | IA mirror/download link pending; do not expose local drive paths.",ready-with-residual-review
medium-prep:5-local-authority-planning-property-open-data-layers:bray-md-views-and-prospects-cdp2016-2022:00424,5. Local authority planning/property/open-data layers,data.gov.ie,Wicklow County Council,spatial,Bray MD - Views and Prospects (CDP2016 - 2022),Bray MD - Views and Prospects (CDP2016 - 2022),Ireland / unspecified,source-data,features,CSV|ESRI REST|GEOJSON|KML|SHAPEFILES,local-authority-batch-review,Books/Tables/Sources source/download record,metadata/source page,No runtime conversion required unless structured values are later extracted.,60,,,,,false,1,duplicate-or-variant-review: no existing match candidate,"local-authority-duplication-and-topic-placement: batched by council/provider for approval | map-conversion-pmtiles-or-download-only-decision: conversion path staged, not executed",https://data.gov.ie/dataset/bray-md-views-and-prospects-cdp2016-2022,https://web.archive.org/web/*/https://data.gov.ie/dataset/bray-md-views-and-prospects-cdp2016-2022,Interactive map if dedupe passes and size/geometry is suitable; otherwise source/download record.,"Wicklow County Council | Bray MD - Views and Prospects (CDP2016 - 2022) | formats: CSV, ESRI REST, GEOJSON, KML, SHAPEFILES | current URL: https://data.gov.ie/dataset/bray-md-views-and-prospects-cdp2016-2022 | IA mirror/download link pending; do not expose local drive paths.",ready-with-residual-review
medium-prep:5-local-authority-planning-property-open-data-layers:bray-protected-structures:00425,5. Local authority planning/property/open-data layers,data.gov.ie,Wicklow County Council,spatial,Bray Protected Structures,Bray Protected Structures,Ireland / unspecified,source-data,features,CSV|ESRI REST|GEOJSON|KML|SHAPE FILE,local-authority-batch-review,Books/Tables/Sources source/download record,metadata/source page,No runtime conversion required unless structured values are later extracted.,60,,,,,false,1,duplicate-or-variant-review: no existing match candidate,"local-authority-duplication-and-topic-placement: batched by council/provider for approval | map-conversion-pmtiles-or-download-only-decision: conversion path staged, not executed",https://data.gov.ie/dataset/bray-protected-structures,https://web.archive.org/web/*/https://data.gov.ie/dataset/bray-protected-structures,Interactive map if dedupe passes and size/geometry is suitable; otherwise source/download record.,"Wicklow County Council | Bray Protected Structures | formats: CSV, ESRI REST, GEOJSON, KML, SHAPE FILE | current URL: https://data.gov.ie/dataset/bray-protected-structures | IA mirror/download link pending; do not expose local drive paths.",ready-with-residual-review
medium-prep:5-local-authority-planning-property-open-data-layers:briarhill-indicative-green-corridor-cdp-2022-2028:00426,5. Local authority planning/property/open-data layers,data.gov.ie,Galway County Council,spatial,Briarhill Indicative Green Corridor CDP 2022 2028,Briarhill Indicative Green Corridor CDP 2022 2028,Republic of Ireland,source-data,features,ARCGIS GEOSERVICES REST API|CSV|GEOJSON|HTML|KML|ZIP,local-authority-batch-review,Books/Tables/Sources source/download record,metadata/source page,No runtime conversion required unless structured values are later extracted.,60,,,,,false,1,duplicate-or-variant-review: no existing match candidate,"large-or-special-format-review: normal source package; no special-format hold | local-authority-duplication-and-topic-placement: batched by council/provider for approval | map-conversion-pmtiles-or-download-only-decision: conversion path staged, not executed",https://data.gov.ie/dataset/briarhill-indicative-green-corridor-cdp-2022-2028,https://web.archive.org/web/*/https://data.gov.ie/dataset/briarhill-indicative-green-corridor-cdp-2022-2028,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,"Galway County Council | Briarhill Indicative Green Corridor CDP 2022 2028 | formats: ARCGIS GEOSERVICES REST API, CSV, GEOJSON, HTML, KML, ZIP | current URL: https://data.gov.ie/dataset/briarhill-indicative-green-corridor-cdp-2022-2028 | IA mirror/download link pending; do not expose local drive paths.",ready-with-residual-review
medium-prep:5-local-authority-planning-property-open-data-layers:bridge-rating-fcc2:00427,5. Local authority planning/property/open-data layers,data.gov.ie,Fingal County Council,spatial,Bridge Rating FCC,Bridge Rating FCC,Ireland / unspecified,transport-public-asset,features,ARCGIS GEOSERVICES REST API|CSV|GEOJSON|HTML|KML|ZIP,local-authority-batch-review,Books/Tables/Sources source/download record,metadata/source page,No runtime conversion required unless structured values are later extracted.,60,,,,,false,1,duplicate-or-variant-review: no existing match candidate,"large-or-special-format-review: normal source package; no special-format hold | local-authority-duplication-and-topic-placement: batched by council/provider for approval | map-conversion-pmtiles-or-download-only-decision: conversion path staged, not executed",https://data.gov.ie/dataset/bridge-rating-fcc2,https://web.archive.org/web/*/https://data.gov.ie/dataset/bridge-rating-fcc2,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,"Fingal County Council | Bridge Rating FCC | formats: ARCGIS GEOSERVICES REST API, CSV, GEOJSON, HTML, KML, ZIP | current URL: https://data.gov.ie/dataset/bridge-rating-fcc2 | IA mirror/download link pending; do not expose local drive paths.",ready-with-residual-review
medium-prep:5-local-authority-planning-property-open-data-layers:bridges-data-fcc2:00428,5. Local authority planning/property/open-data layers,data.gov.ie,Fingal County Council,spatial,Bridges Data  FCC,Bridges Data FCC,Ireland / unspecified,transport-public-asset,features,ARCGIS GEOSERVICES REST API|CSV|GEOJSON|HTML|KML|ZIP,local-authority-batch-review,Books/Tables/Sources source/download record,metadata/source page,No runtime conversion required unless structured values are later extracted.,60,,,,,false,1,duplicate-or-variant-review: no existing match candidate,"large-or-special-format-review: normal source package; no special-format hold | local-authority-duplication-and-topic-placement: batched by council/provider for approval | map-conversion-pmtiles-or-download-only-decision: conversion path staged, not executed",https://data.gov.ie/dataset/bridges-data-fcc2,https://web.archive.org/web/*/https://data.gov.ie/dataset/bridges-data-fcc2,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,"Fingal County Council | Bridges Data FCC | formats: ARCGIS GEOSERVICES REST API, CSV, GEOJSON, HTML, KML, ZIP | current URL: https://data.gov.ie/dataset/bridges-data-fcc2 | IA mirror/download link pending; do not expose local drive paths.",ready-with-residual-review
medium-prep:5-local-authority-planning-property-open-data-layers:bridges-dlr:00429,5. Local authority planning/property/open-data layers,data.gov.ie,Dún Laoghaire-Rathdown County Council,spatial,Bridges DLR,Bridges DLR,Northern Ireland,transport-public-asset,features,CSV|GEOJSON|KML,enrich-existing-source,Existing Browse/Books/Tables source metadata,metadata/source page,No runtime conversion required unless structured values are later extracted.,50,,,,,false,0,,"already-on-site-exact-or-strong-match: publication policy assigned | local-authority-duplication-and-topic-placement: batched by council/provider for approval | map-conversion-pmtiles-or-download-only-decision: conversion path staged, not executed",https://data.gov.ie/dataset/bridges-dlr,https://web.archive.org/web/*/https://data.gov.ie/dataset/bridges-dlr,Interactive map if dedupe passes and size/geometry is suitable; otherwise source/download record.,"Dún Laoghaire-Rathdown County Council | Bridges DLR | formats: CSV, GEOJSON, KML | current URL: https://data.gov.ie/dataset/bridges-dlr | IA mirror/download link pending; do not expose local drive paths.",ready-for-approval
medium-prep:5-local-authority-planning-property-open-data-layers:bring-bank-locations:00430,5. Local authority planning/property/open-data layers,data.gov.ie,Monaghan County Council,spatial,Bring Bank Locations,Bring Bank Locations,Ireland / unspecified,source-data,features,ARCGIS GEOSERVICES REST API|CSV|GEOJSON|HTML|KML|ZIP,local-authority-batch-review,Books/Tables/Sources source/download record,metadata/source page,No runtime conversion required unless structured values are later extracted.,60,,,,,false,1,duplicate-or-variant-review: no existing match candidate,"large-or-special-format-review: normal source package; no special-format hold | local-authority-duplication-and-topic-placement: batched by council/provider for approval | map-conversion-pmtiles-or-download-only-decision: conversion path staged, not executed",https://data.gov.ie/dataset/bring-bank-locations,https://web.archive.org/web/*/https://data.gov.ie/dataset/bring-bank-locations,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,"Monaghan County Council | Bring Bank Locations | formats: ARCGIS GEOSERVICES REST API, CSV, GEOJSON, HTML, KML, ZIP | current URL: https://data.gov.ie/dataset/bring-bank-locations | IA mirror/download link pending; do not expose local drive paths.",ready-with-residual-review
