DZ21,population,DUP,Sinn Féin,UUP,SDLP,Alliance,TUV,Green,PBP,Aontú,Independent,Other
N20000733,590.0,5.605935659911141,75.50239526932955,3.727982828735116,3.548287661535063,5.364147470774556,0.11054003678556466,1.6932614325691434e-10,2.4401940076010145e-10,2.447992432870384e-10,1.2414232306099904,4.899287841660855
N20000734,358.0,8.518933318827948,26.14432278624647,7.685184627585196,4.081541860393549,10.161001432391263,0.5892222169345022,5.76380944889911e-10,1.2376633769964235e-09,5.974315054016675e-10,41.0601488649742,1.7596448902353936
N20000735,518.0,1.2894545444762295,92.39491892919504,1.093539908745353,2.725734557000492,0.6919904318137811,0.049282858632116615,6.3607780324567e-11,2.759234807628278e-10,1.3453942304200593e-10,1.0880671542435667,0.6670116154193679
N20000736,426.0,0.7711861505294909,0.5896699460385536,0.3358646939444494,0.43806223446720804,0.8214131943645514,0.8631379479860751,4.274010866819253e-10,2.8434742062641487e-10,1.315784216989102e-10,86.13694138754106,10.043724444285296
N20000737,491.0,56.09238621235186,5.212646382451625,4.213994021088612,0.3728946663218199,5.188546681939613,7.618675218838204,5.875849194122369e-10,4.265471904449728e-10,3.135615802193853e-10,0.252196256252549,21.04866055942802
N20000738,467.0,7.2132428777651425,67.507985536331,0.8180915445869255,16.95064540637968,1.0317798039554158,0.13909190073335354,9.643472439984103e-10,2.4024396435016833e-10,1.5411564188832985e-10,0.7320055811186595,5.607157347771117
N20000739,309.0,21.836775546734472,6.375048971135977,0.9891157276602129,1.6579706256440883,9.210187266224708,30.63533849369602,1.2722757844408309e-09,1.9290988122931644e-09,9.745540220693718e-10,19.160814174222114,10.134749190506492
N20000740,437.0,5.76223553636734,68.36151448839875,4.061780067775657,4.536452065564604,3.7464354829658695,1.1648906075301801,3.1115643740255367e-10,8.519390999096157e-10,4.887064390632975e-10,8.381788257253351,3.9849034924924336
N20000741,448.0,15.033014432675461,60.27702108671311,5.002369431918138,7.433733414494221,3.849775405092991,1.292266846337531,2.9547351568354877e-10,7.828583330212203e-10,4.964594480037076e-10,4.518110398782485,2.5937089824112607
N20000742,387.0,39.792036022316246,3.2110993682625897,5.57750734152174,0.14271824569464495,4.208320464628615,14.191517377034682,1.4558400060898067e-09,2.084841313626539e-10,2.0287308644794506e-10,0.13718775200184466,32.73961342667244
N20000743,448.0,12.433008771863262,65.44025660675344,2.029270759226166,6.1518123804159615,1.12660673758433,0.8659457170104964,4.262492393517351e-10,2.026647598721483e-10,2.40641126262935e-10,0.5284189058785871,11.42468012039821
N20000744,494.0,23.306580980514212,7.752145647396034,4.371121065437683,1.210638970203585,2.895650626731516,12.989299553939512,5.50593172704795e-10,4.5375914216402384e-10,6.549541818626487e-10,13.530451746273261,33.94411140784488
N20000745,401.0,3.585719807598861,59.31256341964888,1.1168144711432901,6.828224549706101,15.881950804628978,1.746748528448449,3.6785833803956267e-10,6.558007110251091e-10,2.760893530136864e-10,0.720139296322801,10.807839121202882
N20000746,673.0,2.45623283319262,84.54949546441674,0.7217571649634463,9.646218225246907,0.951509703924055,0.27403897507736985,1.2878695355562846e-10,2.1937414823198428e-10,1.9994268302213974e-10,0.6970736128648404,0.7036740197659213
N20000747,389.0,3.331524034174128,53.37070174731531,6.945914510924606,4.651148341929189,1.014121517142492,0.40289197119645814,8.283067065804376e-10,1.1096652831793903e-09,5.861944126144004e-10,17.408870470859746,12.874827403933908
N20000748,687.0,1.418899025229609,70.15900415424505,0.21524639822612218,18.55817171653498,0.9002734097976386,1.4278351920731152,1.0492427413218218e-09,7.747916573341233e-10,6.245349099430589e-10,2.3578338266602783,4.962736274784628
N20000749,648.0,0.4113380587278702,5.539616562296014,0.13684554415220362,24.803178789187104,1.4982628424887932,0.2151416944923813,1.6852724968984494e-09,6.304535092533002e-10,3.5878099075310115e-10,64.62766334378792,2.7679531621932014
N20000750,529.0,13.371842096963935,72.52616119459287,2.3199022381243855,4.403633471176764,1.2069000250701316,0.3556600010873564,2.9930253437143394e-10,4.0323699742629646e-10,3.2025871974683923e-10,0.9375999716792847,4.878301000282463
N20000751,427.0,4.386485484890336,77.0880706196514,0.43309674638038087,10.997992516354646,1.077108888148383,0.8936538764774994,8.350948288573891e-10,3.604051572161909e-10,4.2295728859575615e-10,1.5177661126497668,3.6058257538291234
N20000752,395.0,1.8783622985563204,89.4674000178449,0.3152335052208293,6.627746278453869,0.04259036136702487,0.2596773447548417,1.1005225697112425e-10,8.939277171958591e-11,1.0547231836832053e-10,0.3380534130874923,1.070936780409805
N20000753,487.0,4.334295128759662,75.8803938343556,0.33393985970916523,12.898979802771485,0.20272195043379518,0.33990866004477494,2.6076079504157075e-10,2.970192666904803e-10,2.7114108137603367e-10,4.601749662693281,1.4080111004033016
N20000754,220.0,0.7836721626312702,92.61514596735759,0.09293093423723205,3.983662782418535,0.3134008462774413,0.12953912014046806,9.403274611580514e-11,5.8055946799213e-10,2.1274579800643862e-10,0.5229253377953085,1.558722848254807
N20000755,502.0,2.4089861915813864,71.45682156250457,0.2978184398704774,21.893305680827428,0.21216754779224287,0.1142935293551444,4.2464879500875197e-10,2.0352983692696853e-10,2.4200984173071174e-10,2.691867004264175,0.9247400429344067
N20000756,463.0,2.287715592264522,75.01752394700094,0.615857463715316,14.886126041360978,0.30906010549428453,0.21687229817278464,3.819693108246938e-10,2.1389248784180888e-10,2.8359598073747713e-10,0.9647534659516119,5.7020910851601085
N20000757,441.0,1.155299453461093,36.02569221222846,3.7563497731689073,51.44845505550945,4.64218152917358,0.025566192432774533,1.5319300983500806e-11,8.374733636927712e-10,1.2944137701171283e-10,1.627815067444554,1.3186407155989426
N20000758,562.0,1.188661007430727,80.08281939192408,0.234131133813758,14.21619241849795,0.10280740964657532,0.0724576545131799,4.664140100609039e-10,1.2419195788355537e-10,1.3723991116277006e-10,2.8282824194997325,1.274648563946172
N20000759,429.0,3.3556838786315044,56.13281509447905,3.606596517250376,19.85368590248056,0.03905063748432485,0.003422317493464865,1.0363940097323961e-11,2.435056140983899e-11,1.1787613880172207e-11,0.00043427771258403014,17.008311374421645
N20000760,414.0,3.5103164207702235,92.5673147354886,1.527497427751158,1.137453422799899,0.32898783274897664,0.2074968486845448,1.5427355767450895e-10,8.546639951219442e-11,9.214864975467309e-11,0.05118069742196209,0.6697526140027625
N20000761,529.0,3.6063386571893536,69.20147155257102,0.6880318665479562,15.908962426494755,0.4962447272805748,1.44173039303658,1.432124689545334e-09,6.121861047504197e-10,7.726326621857376e-10,4.470892013016522,4.186328361046298
N20000762,377.0,4.762019910901654,86.31802057155178,1.1427409659023362,4.190736966265489,0.428455601661558,0.6682772109607131,2.661204040228905e-10,1.579415286242715e-10,1.9793155082504004e-10,0.910051338104024,1.579697434030465
N20000763,374.0,4.995186015071021,18.56485233633924,0.7993165531047323,13.673877538727444,2.553877583377867,10.226050159132669,2.718993928311032e-09,1.3001076397393244e-09,1.5969476067255938e-09,39.441608819272375,9.745230989358598
N20000764,395.0,3.347053618551115,52.04658510956518,1.3780427914497755,16.753070659870673,0.07725294153165783,0.006912469436516889,1.218500519147766e-11,4.712294606571501e-11,2.3826867027893678e-11,0.0012701336602565273,26.38981227585169
