SA2011,catholic_bg_pct,proj_unity_pct,provenance
N00000673,12.6,25.0,modelled
N00000674,21.2,29.2,modelled
N00000675,11.6,23.6,modelled
N00000676,14.4,24.9,modelled
N00000677,21.0,29.6,modelled
N00000678,41.2,42.2,modelled
N00000679,17.1,26.5,modelled
N00000680,73.1,62.2,modelled
N00000681,11.7,24.2,modelled
N00000682,64.5,56.5,modelled
N00000683,24.3,30.7,modelled
N00000684,72.4,61.8,modelled
N00000685,70.6,60.4,modelled
N00000686,38.9,40.6,modelled
N00000687,12.1,23.3,modelled
N00000688,62.2,55.6,modelled
N00000689,24.5,31.0,modelled
N00000690,19.1,28.3,modelled
N00000691,5.9,20.3,modelled
N00000692,7.0,20.4,modelled
N00000693,11.8,23.3,modelled
N00000694,16.7,26.8,modelled
N00000695,11.2,23.8,modelled
N00000696,31.7,35.4,modelled
N00000697,13.7,25.0,modelled
N00000698,15.3,25.1,modelled
N00000699,14.8,24.9,modelled
N00000700,50.8,48.1,modelled
N00000701,4.3,19.4,modelled
N00000702,17.8,27.7,modelled
N00000703,8.5,22.2,modelled
N00000704,10.2,22.5,modelled
N00000705,22.2,30.3,modelled
N00000706,33.0,37.3,modelled
N00000707,6.9,20.5,modelled
N00000708,32.6,36.7,modelled
N00000709,8.8,21.8,modelled
N00000710,10.7,22.5,modelled
N00000711,9.6,22.3,modelled
N00000712,25.2,31.6,modelled
N00000713,54.2,49.9,modelled
N00000714,42.6,43.3,modelled
N00000715,34.6,38.6,modelled
N00000716,21.0,29.4,modelled
N00000717,26.0,33.3,modelled
N00000718,35.9,39.3,modelled
N00000719,28.5,35.0,modelled
N00000720,29.5,35.0,modelled
N00000721,60.7,54.2,modelled
N00000722,15.8,25.9,modelled
N00000723,93.0,74.6,modelled
N00000724,56.4,51.7,modelled
N00000725,52.4,49.0,modelled
N00000726,65.8,57.6,modelled
N00000727,43.4,43.3,modelled
N00000728,42.8,43.8,modelled
N00000729,27.9,34.7,modelled
N00000730,25.2,31.5,modelled
N00000731,50.2,47.0,modelled
N00000732,43.1,44.2,modelled
N00000733,36.9,40.6,modelled
N00000734,36.1,39.9,modelled
N00000735,33.9,37.2,modelled
N00000736,60.5,54.2,modelled
N00000737,15.2,25.2,modelled
N00000738,65.0,57.0,modelled
N00000739,27.7,33.0,modelled
N00000740,26.8,33.5,modelled
N00000741,15.7,25.5,modelled
N00000742,21.0,29.4,modelled
N00000743,9.3,22.1,modelled
N00000744,15.9,26.6,modelled
