DZ2021_cd,OA_CODE_dominant,OA_CODE_point
N20000821,95GG240002,95GG240002
N20000822,95GG240016,95GG240016
N20000823,95GG240003,95GG240003
N20000824,95GG160006,95GG160006
N20000825,95GG200006,95GG200006
N20000826,95GG240011,95GG240011
N20000827,95GG140007,95GG160009
N20000828,95GG240008,95GG240008
N20000829,95GG240009,95GG240009
N20000830,95GG160007,95GG160007
N20000831,95GG240005,95GG240005
N20000832,95GG240012,95GG240011
N20000833,95GG160014,95GG160002
N20000834,95GG160008,95GG160008
N20000835,95GG200006,95GG200007
N20000836,95GG160014,95GG160014
N20000837,95GG240013,95GG240013
N20000838,95GG160011,95GG160011
N20000839,95GG160015,95GG160015
N20000840,95GG160016,95GG160016
N20000841,95GG200008,95GG200008
N20000842,95GG200010,95GG200010
N20000843,95GG470018,95GG470019
N20000844,95GG200011,95GG200006
N20000845,95GG200012,95GG200010
N20000846,95GG470020,95GG470020
N20000847,95GG200013,95GG200013
N20000848,95GG200014,95GG200014
N20000849,95GG470006,95GG470006
N20000850,95GG200015,95GG200003
N20000851,95GG200001,95GG200001
N20000852,95GG200016,95GG200005
N20000853,95GG200004,95GG200004
N20000854,95GG200003,95GG200003
N20000855,95GG200003,95GG200003
N20000856,95GG430001,95GG430001
N20000857,95GG290003,95GG290003
N20000858,95GG430001,95GG430001
N20000859,95GG430003,95GG430003
N20000860,95GG430010,95GG430010
N20000861,95GG430011,95GG430007
N20000862,95GG430010,95GG430009
N20000863,95GG430007,95GG430007
N20000864,95GG430013,95GG430013
N20000865,95GG430014,95GG430014
N20000866,95GG430015,95GG430015
N20000867,95GG290001,95GG290001
N20000868,95GG430016,95GG430016
N20000869,95GG430012,95GG430019
N20000870,95GG290003,95GG290005
N20000871,95GG290001,95GG290001
N20000872,95GG290006,95GG290006
N20000873,95GG290003,95GG040008
N20000874,95GG290004,95GG290004
N20000875,95GG290002,95GG290010
N20000876,95GG290012,95GG290012
N20000877,95GG290013,95GG290011
N20000878,95GG290014,95GG290014
N20000879,95GG290009,95GG290014
N20000880,95GG290010,95GG290010
N20000881,95GG030010,95GG030010
N20000882,95GG290003,95GG290003
N20000883,95GG030008,95GG030008
N20000884,95GG040013,95GG040013
N20000885,95GG290003,95GG040003
N20000886,95GG040006,95GG040006
N20000887,95GG040003,95GG040003
N20000888,95GG290016,95GG290016
N20000889,95GG030011,95GG030011
N20000890,95GG030007,95GG030007
N20000891,95GG110009,95GG110009
N20000892,95GG040001,95GG040002
N20000893,95GG040002,95GG040009
N20000894,95GG040014,95GG040014
N20000895,95GG110012,95GG110012
N20000896,95GG040016,95GG040016
N20000897,95GG110011,95GG110011
N20000898,95GG110012,95GG110012
N20000899,95GG110019,95GG110019
N20000900,95GG440015,95GG440015
N20000901,95GG440017,95GG440017
N20000902,95GG030017,95GG030017
N20000903,95GG440016,95GG440018
N20000904,95GG040012,95GG040012
N20000905,95GG440017,95GG440017
N20000906,95GG110016,95GG110016
N20000907,95GG110017,95GG110017
N20000908,95GG440002,95GG440003
N20000909,95GG110003,95GG110018
N20000910,95GG440001,95GG440001
N20000911,95GG110019,95GG110019
N20000912,95GG500010,95GG500010
N20000913,95GG500013,95GG500013
N20000914,95GG440004,95GG440004
N20000915,95GG440005,95GG440005
N20000916,95GG110001,95GG110021
N20000917,95GG110017,95GG110004
N20000918,95GG500012,95GG500011
N20000919,95GG440007,95GG440007
N20000920,95GG110021,95GG110021
N20000921,95GG440006,95GG440006
N20000922,95GG500013,95GG500013
N20000923,95GG110002,95GG110002
N20000924,95GG500016,95GG500016
N20000925,95GG440006,95GG440006
N20000926,95GG110006,95GG110006
N20000927,95GG440008,95GG440009
N20000928,95GG500015,95GG500015
N20000929,95GG110008,95GG110008
N20000930,95GG500019,95GG500019
N20000931,95GG500019,95GG500018
N20000932,95GG440013,95GG440013
N20000933,95GG440012,95GG440010
N20000934,95GG500003,95GG500020
N20000935,95GG360014,95GG360014
N20000936,95GG440014,95GG440011
N20000937,95GG360004,95GG440013
N20000938,95GG500004,95GG500002
N20000939,95GG500006,95GG500003
N20000940,95GG500007,95GG500007
N20000941,95GG500008,95GG500002
N20000942,95GG370018,95GG370018
N20000943,95GG500005,95GG500009
N20000944,95GG370018,95GG370018
N20000945,95XX200008,95GG090012
N20000946,95XX200008,95XX200008
N20000947,95GG090014,95GG090014
N20000948,95GG090013,95GG090018
N20000949,95GG090019,95GG090017
N20000950,95GG090020,95GG090002
N20000951,95GG410005,95GG410005
N20000952,95GG410003,95GG410003
N20000953,95GG410004,95GG410004
N20000954,95GG410005,95GG410005
N20000955,95GG410003,95GG410003
N20000956,95GG090004,95GG090004
N20000957,95GG090001,95GG090001
N20000958,95GG090006,95GG090006
N20000959,95GG410007,95GG410006
N20000960,95GG410003,95GG410003
N20000961,95GG090010,95GG090010
N20000962,95GG090008,95GG090008
N20000963,95GG090010,95GG090010
N20000964,95GG030019,95GG030020
N20000965,95GG410011,95GG410010
N20000966,95GG030003,95GG030003
N20000967,95GG410014,95GG410014
N20000968,95GG410015,95GG410015
N20000969,95GG030001,95GG030001
N20000970,95GG410017,95GG410013
N20000971,95GG410012,95GG410012
N20000972,95GG030005,95GG030005
N20000973,95GG030006,95GG030006
N20000974,95GG410001,95GG410001
N20000975,95GG030014,95GG030014
N20000976,95GG030015,95GG030015
N20000977,95GG150013,95GG150013
N20000978,95GG150019,95GG150019
N20000979,95GG150016,95GG150016
N20000980,95GG150005,95GG150005
N20000981,95GG150001,95GG150018
N20000982,95GG410002,95GG410002
N20000983,95GG300006,95GG300006
N20000984,95GG030017,95GG030017
N20000985,95GG030014,95GG030018
N20000986,95GG150002,95GG150002
N20000987,95GG300008,95GG300008
N20000988,95GG150003,95GG150006
N20000989,95II210003,95II210003
N20000990,95GG300001,95GG300001
N20000991,95II210002,95II210002
N20000992,95II120007,95II120007
N20000993,95GG300012,95GG300010
N20000994,95GG300013,95GG300013
N20000995,95GG300007,95GG300007
N20000996,95II210004,95II210004
N20000997,95GG150007,95GG150006
N20000998,95II120008,95II120008
N20000999,95II210006,95II210006
N20001000,95GG300017,95GG300017
N20001001,95GG150009,95GG150009
N20001002,95II120001,95II120001
N20001003,95GG300003,95GG300003
N20001004,95II210008,95II210008
N20001005,95GG150008,95GG150008
N20001006,95II120004,95II120004
N20001007,95II010001,95II010001
N20001008,95II120005,95II120005
N20001009,95GG300002,95GG300002
N20001010,95GG150011,95GG150011
N20001011,95II220002,95II220002
N20001012,95II170002,95II170002
N20001013,95II010010,95II220003
N20001014,95II170003,95II170003
N20001015,95II220003,95II220003
N20001016,95II220003,95II220003
N20001017,95GG360015,95GG360015
N20001018,95GG360018,95GG360018
N20001019,95GG360002,95GG360002
N20001020,95GG360016,95GG360016
N20001021,95GG370003,95GG370003
N20001022,95GG360006,95GG360001
N20001023,95GG360009,95GG360009
N20001024,95GG370005,95GG370006
N20001025,95GG360009,95GG360009
N20001026,95GG370020,95GG370020
N20001027,95GG370001,95GG370001
N20001028,95GG360007,95GG360008
N20001029,95GG370007,95GG370007
N20001030,95GG370008,95GG370008
N20001031,95GG360013,95GG360013
N20001032,95GG370011,95GG370011
N20001033,95GG360012,95GG360010
N20001034,95II160005,95II160005
N20001035,95GG370012,95GG370012
N20001036,95GG370015,95GG370015
N20001037,95GG370016,95GG370014
N20001038,95II160004,95II160004
N20001039,95II170009,95II170004
N20001040,95II160002,95II160002
N20001041,95II070005,95II070006
N20001042,95GG370014,95GG370014
N20001043,95II160004,95II160004
N20001044,95II070009,95II080001
N20001045,95II170007,95II170007
N20001046,95II080003,95II080007
N20001047,95II220006,95II220006
N20001048,95II160007,95II160007
N20001049,95II160006,95II140003
N20001050,95II140005,95II140005
N20001051,95II160001,95II160001
N20001052,95II140004,95II140004
N20001053,95GG380008,95GG380008
N20001054,95II080006,95II080006
N20001055,95II070003,95II070003
N20001056,95II080008,95II080008
N20001057,95GG380013,95GG380013
N20001058,95II070001,95II070001
N20001059,95GG380010,95GG380012
N20001060,95II160003,95II160003
N20001061,95GG380011,95GG380011
N20001062,95GG380012,95GG380012
N20001063,95GG380016,95II230005
N20001064,95GG380010,95GG380010
N20001065,95II230004,95II230004
N20001066,95GG380010,95GG380010
N20001067,95II170008,95II170008
N20001068,95II230001,95II230001
N20001069,95II230007,95II230007
N20001070,95GG380002,95GG380002
N20001071,95II230006,95II230006
N20001072,95GG380003,95GG380005
N20001073,95GG380018,95GG380018
N20001074,95II140001,95II140001
N20001075,95II230002,95II230002
N20001076,95II230003,95GG380006
N20001077,95II110001,95II110001
N20001078,95II140002,95II140002
N20001079,95GG390015,95GG390015
N20001080,95GG390015,95GG390015
N20001081,95GG390013,95GG390013
N20001082,95GG390002,95GG390002
N20001083,95GG390002,95GG390002
N20001084,95GG390012,95GG390012
N20001085,95GG390015,95GG390015
N20001086,95GG390016,95GG390016
N20001087,95GG390015,95GG390015
N20001088,95GG390021,95GG390020
N20001089,95GG390020,95GG390020
N20001090,95GG390020,95GG390020
N20001091,95GG390003,95GG390003
N20001092,95GG100011,95GG100011
N20001093,95GG390001,95GG390020
N20001094,95GG120018,95GG390003
N20001095,95GG390005,95GG390004
N20001096,95GG100012,95GG100012
N20001097,95GG390023,95GG390023
N20001098,95GG100001,95GG100013
N20001099,95GG390007,95GG390007
N20001100,95GG390005,95GG390010
N20001101,95GG120023,95GG390023
N20001102,95GG390009,95GG390009
N20001103,95GG120009,95GG120009
N20001104,95GG100016,95GG100016
N20001105,95GG120026,95GG120022
N20001106,95GG100006,95GG100014
N20001107,95GG120024,95GG120024
N20001108,95GG390009,95GG390009
N20001109,95GG120019,95GG120019
N20001110,95GG120020,95GG120020
N20001111,95GG100002,95GG100005
N20001112,95GG120009,95GG120009
N20001113,95GG120025,95GG120025
N20001114,95GG120028,95GG120001
N20001115,95GG490013,95GG490013
N20001116,95GG100003,95GG100003
N20001117,95GG100004,95GG100004
N20001118,95GG120029,95GG120029
N20001119,95GG120006,95GG120009
N20001120,95GG120001,95GG120001
N20001121,95GG370005,95GG370005
N20001122,95GG490014,95GG490014
N20001123,95GG120003,95GG120003
N20001124,95GG490016,95GG490016
N20001125,95GG490017,95GG490017
N20001126,95GG490020,95GG100006
N20001127,95GG120002,95GG120002
N20001128,95GG100008,95GG100008
N20001129,95GG100010,95GG100010
N20001130,95GG120010,95GG120010
N20001131,95GG120013,95GG120013
N20001132,95GG120003,95GG120003
N20001133,95GG490019,95GG490019
N20001134,95GG120006,95GG120011
N20001135,95GG120014,95GG120014
N20001136,95GG120012,95GG120012
N20001137,95GG120016,95GG120016
N20001138,95GG050010,95GG050009
N20001139,95GG490023,95GG490023
N20001140,95GG490024,95GG490024
N20001141,95GG050010,95GG050010
N20001142,95GG120011,95GG120011
N20001143,95GG490003,95GG490002
N20001144,95GG490004,95GG490004
N20001145,95GG050013,95GG050013
N20001146,95GG050011,95GG050018
N20001147,95GG050009,95GG050009
N20001148,95GG490008,95GG490008
N20001149,95GG100009,95GG100009
N20001150,95GG050013,95GG050011
N20001151,95GG120017,95GG120017
N20001152,95GG490007,95GG490007
N20001153,95GG420004,95GG420004
N20001154,95GG050015,95GG050015
N20001155,95GG050019,95GG050019
N20001156,95GG490010,95GG490010
N20001157,95GG420002,95GG420002
N20001158,95GG050016,95GG050016
N20001159,95GG050002,95GG050019
N20001160,95GG050018,95GG050018
N20001161,95GG490012,95GG490012
N20001162,95GG420006,95GG420006
N20001163,95GG050003,95GG050003
N20001164,95GG050001,95GG050001
N20001165,95GG050005,95GG050006
N20001166,95GG050007,95GG050007
N20001167,95GG490009,95GG330013
N20001168,95GG420002,95GG420007
N20001169,95GG420008,95GG420006
N20001170,95GG420010,95GG420007
N20001171,95GG420008,95GG420008
N20001172,95GG420008,95GG420012
N20001173,95GG420014,95GG420014
N20001174,95GG420012,95GG420015
N20001175,95GG420013,95GG420013
N20001176,95GG420017,95GG420017
N20001177,95GG420019,95GG420019
N20001178,95GG420019,95GG420019
N20001179,95GG330012,95GG330012
N20001180,95GG330016,95GG330016
N20001181,95GG330017,95GG330017
N20001182,95GG330016,95GG330017
N20001183,95GG330002,95GG330003
N20001184,95GG340003,95GG340003
N20001185,95GG330004,95GG330004
N20001186,95GG330003,95GG330003
N20001187,95GG380001,95GG380001
N20001188,95GG380001,95GG380001
N20001189,95GG330007,95GG330007
N20001190,95GG340016,95GG340016
N20001191,95GG330005,95GG330005
N20001192,95GG340004,95GG340004
N20001193,95GG330008,95GG330008
N20001194,95GG330005,95GG330005
N20001195,95GG340008,95GG340008
N20001196,95GG330009,95GG330009
N20001197,95GG340009,95GG340009
N20001198,95GG330010,95GG330010
N20001199,95GG450014,95GG450014
N20001200,95II200002,95II200002
N20001201,95GG340006,95GG340006
N20001202,95GG230002,95GG230001
N20001203,95GG340010,95GG340011
N20001204,95GG230003,95GG230003
N20001205,95GG340012,95GG340012
N20001206,95GG340014,95GG340014
N20001207,95GG450017,95GG450017
N20001208,95GG450003,95GG450003
N20001209,95GG230007,95GG230007
N20001210,95GG340013,95GG340013
N20001211,95GG450010,95GG450010
N20001212,95GG230006,95GG230006
N20001213,95GG450005,95GG450005
N20001214,95GG450007,95GG450007
N20001215,95GG230007,95GG230007
N20001216,95GG450008,95GG450008
N20001217,95GG450015,95GG450015
N20001218,95GG450002,95GG450002
N20001219,95GG450012,95GG450012
N20001220,95GG230015,95GG230009
N20001221,95GG230001,95GG230001
N20001222,95II020001,95II020003
N20001223,95II020007,95II020007
N20001224,95II180001,95II180001
N20001225,95II180007,95II180007
N20001226,95GG450013,95GG450013
N20001227,95II020014,95II020014
N20001228,95II180003,95II180003
N20001229,95II020014,95II020014
N20001230,95GG230010,95GG230010
N20001231,95GG450011,95SS090008
N20001232,95II180005,95II180005
N20001233,95GG450011,95GG230010
N20001234,95SS090008,95SS090008
N20001235,95GG010014,95GG010014
N20001236,95GG010003,95GG250016
N20001237,95GG310009,95GG310009
N20001238,95GG010004,95GG010004
N20001239,95SS060004,95SS060004
N20001240,95GG310007,95GG310008
N20001241,95SS260008,95SS260007
N20001242,95GG310013,95GG310013
N20001243,95SS260010,95SS260002
N20001244,95GG310011,95GG310011
N20001245,95GG310016,95GG310014
N20001246,95SS260003,95SS260003
N20001247,95GG310002,95GG310002
N20001248,95SS260004,95SS260004
N20001249,95GG310004,95GG310005
N20001250,95SS260005,95SS260005
N20001251,95GG310003,95GG310003
N20001252,95SS260006,95SS260006
N20001253,95GG310001,95GG310001
N20001254,95GG310005,95GG310005
N20001255,95SS060006,95SS060006
N20001256,95SS060005,95SS060005
N20001257,95SS060009,95SS060008
N20001258,95SS100007,95GG310005
N20001259,95SS160005,95SS160004
N20001260,95SS100009,95SS100009
N20001261,95SS060010,95SS060012
N20001262,95SS060011,95SS060011
N20001263,95SS060013,95SS060013
N20001264,95SS100009,95SS100009
N20001265,95SS160006,95SS160006
N20001266,95SS060012,95SS060012
N20001267,95SS070012,95SS070012
N20001268,95SS070012,95SS070012
N20001269,95SS160008,95SS160008
N20001270,95SS160007,95SS160007
N20001271,95SS100010,95SS100010
N20001272,95SS060002,95SS060002
N20001273,95SS070012,95SS070012
N20001274,95SS100010,95SS100010
N20001275,95SS100004,95SS100003
N20001276,95SS290002,95SS290002
N20001277,95SS060003,95SS060003
N20001278,95SS070012,95SS070012
N20001279,95SS070012,95SS070012
N20001280,95SS100003,95SS100001
N20001281,95SS100001,95SS100002
N20001282,95SS070004,95SS070004
N20001283,95SS290005,95SS290004
N20001284,95SS070012,95SS070012
N20001285,95SS100012,95SS100012
N20001286,95SS290005,95SS290005
N20001287,95SS290001,95SS290001
N20001288,95SS290004,95SS290006
N20001289,95SS100005,95SS100005
N20001290,95SS070007,95SS070007
N20001291,95SS070012,95SS070012
N20001292,95SS270006,95SS270006
N20001293,95SS290008,95SS290008
N20001294,95SS270005,95SS270005
N20001295,95SS290009,95SS290009
N20001296,95SS270009,95SS270009
N20001297,95GG460003,95GG460003
N20001298,95GG460002,95GG460002
N20001299,95GG460001,95GG460001
N20001300,95GG480003,95GG480003
N20001301,95GG480006,95GG480004
N20001302,95GG480007,95GG480002
N20001303,95GG070003,95GG070003
N20001304,95GG070004,95GG070004
N20001305,95GG480003,95GG480005
N20001306,95GG480011,95GG480011
N20001307,95GG070009,95GG070009
N20001308,95GG460004,95GG460006
N20001309,95GG270010,95GG270010
N20001310,95GG480008,95GG480011
N20001311,95GG070006,95GG070006
N20001312,95GG070010,95GG070010
N20001313,95GG480010,95GG480012
N20001314,95GG480001,95GG480001
N20001315,95GG070012,95GG070012
N20001316,95GG480013,95GG480013
N20001317,95GG460011,95GG460009
N20001318,95GG070014,95GG070014
N20001319,95GG480013,95GG480009
N20001320,95GG220004,95GG220004
N20001321,95GG070015,95GG070015
N20001322,95GG070013,95GG070016
N20001323,95GG460008,95GG460008
N20001324,95GG070017,95GG070017
N20001325,95GG460012,95GG460013
N20001326,95GG220009,95GG220009
N20001327,95GG220004,95GG220004
N20001328,95GG250002,95GG250002
N20001329,95GG220011,95GG220011
N20001330,95GG220010,95GG220010
N20001331,95GG220008,95GG220008
N20001332,95GG250003,95GG250003
N20001333,95GG220015,95GG220015
N20001334,95GG220014,95GG220014
N20001335,95GG250005,95GG250005
N20001336,95GG220002,95GG220002
N20001337,95GG250006,95GG250006
N20001338,95GG270010,95GG270010
N20001339,95GG250005,95GG250007
N20001340,95GG220017,95GG220017
N20001341,95GG270013,95GG270013
N20001342,95GG250011,95GG250011
N20001343,95GG250004,95GG250007
N20001344,95GG250010,95GG250010
N20001345,95GG010007,95GG010007
N20001346,95GG270014,95GG270014
N20001347,95GG220001,95GG220001
N20001348,95GG270016,95GG270016
N20001349,95GG250013,95GG250013
N20001350,95GG220003,95GG220003
N20001351,95GG270005,95GG270005
N20001352,95GG250017,95GG250017
N20001353,95GG250015,95GG250009
N20001354,95GG010009,95GG010009
N20001355,95GG250017,95GG250014
N20001356,95GG250016,95GG250016
N20001357,95GG010012,95GG010012
N20001358,95GG270015,95GG270006
N20001359,95GG270019,95GG270004
N20001360,95GG270004,95GG270004
N20001361,95GG010013,95GG010013
N20001362,95GG270002,95GG270002
N20001363,95GG270009,95GG270009
N20001364,95GG010002,95GG010015
N20001365,95GG270008,95GG270008
N20001366,95GG010016,95GG010016
N20001367,95GG010001,95GG010001
N20001368,95GG010006,95GG010006
N20001369,95GG260006,95GG260006
N20001370,95GG260008,95GG260008
N20001371,95GG320002,95GG320018
N20001372,95GG260010,95GG260010
N20001373,95GG320001,95GG320001
N20001374,95GG260014,95GG260014
N20001375,95GG510002,95GG510002
N20001376,95GG260013,95GG260013
N20001377,95GG510002,95GG510006
N20001378,95GG260006,95GG260006
N20001379,95GG260002,95GG260004
N20001380,95GG260005,95GG280012
N20001381,95GG510008,95GG510008
N20001382,95GG510005,95GG510005
N20001383,95GG190002,95GG190002
N20001384,95GG510010,95GG510009
N20001385,95GG190014,95GG190014
N20001386,95GG260005,95GG260005
N20001387,95GG190011,95GG190011
N20001388,95GG280015,95GG280012
N20001389,95GG400012,95GG400012
N20001390,95GG190016,95GG190016
N20001391,95GG280001,95GG280001
N20001392,95GG280014,95GG280014
N20001393,95GG190006,95GG190006
N20001394,95GG510013,95GG510012
N20001395,95GG190017,95GG190017
N20001396,95GG400015,95GG400015
N20001397,95GG190015,95GG190015
N20001398,95GG400014,95GG400014
N20001399,95GG190001,95GG190001
N20001400,95GG510001,95GG510001
N20001401,95GG280016,95GG280016
N20001402,95GG280001,95GG280001
N20001403,95GG280002,95GG280006
N20001404,95GG510016,95GG510016
N20001405,95GG280005,95GG280003
N20001406,95GG400014,95GG400006
N20001407,95GG400003,95GG400003
N20001408,95GG400009,95GG400002
N20001409,95GG400008,95GG400008
N20001410,95GG400005,95GG400010
N20001411,95GG400001,95GG400001
N20001412,95GG400006,95GG400006
N20001413,95GG510018,95GG510017
N20001414,95GG210003,95GG210003
N20001415,95GG400011,95GG400001
N20001416,95GG280010,95GG280010
N20001417,95GG280008,95GG280008
N20001418,95GG210002,95GG210003
N20001419,95GG180011,95GG180011
N20001420,95GG180010,95GG180010
N20001421,95GG210004,95GG210004
N20001422,95GG280004,95GG280004
N20001423,95GG210003,95GG210006
N20001424,95GG280011,95GG280009
N20001425,95GG180012,95GG180012
N20001426,95GG180013,95GG180013
N20001427,95GG180011,95GG180011
N20001428,95GG180009,95GG070001
N20001429,95GG210006,95GG210006
N20001430,95GG210005,95GG210005
N20001431,95GG210008,95GG210008
N20001432,95GG210008,95GG210008
N20001433,95GG210005,95GG210001
N20001434,95GG180005,95GG180005
N20001435,95GG180002,95GG180002
N20001436,95GG070001,95GG070001
N20001437,95GG210007,95GG210007
N20001438,95GG210009,95GG210009
N20001439,95GG180004,95GG180004
N20001440,95GG210012,95GG210007
N20001441,95GG180008,95GG180008
N20001442,95GG070005,95GG070005
N20001443,95GG180007,95GG180007
N20001444,95GG210011,95GG210011
N20001445,95GG210013,95GG210007
N20001446,95RR020003,95RR020003
N20001447,95RR090004,95RR090004
N20001448,95RR090003,95RR090003
N20001449,95RR020004,95RR020004
N20001450,95RR020005,95RR020005
N20001451,95RR020003,95RR020003
N20001452,95RR090004,95RR090004
N20001453,95RR090004,95RR090004
N20001454,95RR090008,95RR090008
N20001455,95RR090008,95RR090008
N20001456,95RR090008,95RR090008
N20001457,95RR020001,95RR020001
N20001458,95RR080002,95RR080002
N20001459,95RR070001,95RR070001
N20001460,95RR090007,95RR090007
N20001461,95RR080001,95RR080001
N20001462,95RR080004,95RR080004
N20001463,95RR080001,95RR080001
N20001464,95RR140001,95RR140001
N20001465,95RR140003,95RR140003
N20001466,95RR150005,95RR150005
N20001467,95RR140002,95RR140004
N20001468,95RR140004,95RR140004
N20001469,95RR040001,95RR040003
N20001470,95RR040002,95RR040002
N20001471,95RR040005,95RR040005
N20001472,95RR060004,95RR060004
N20001473,95RR150001,95RR150001
N20001474,95RR040006,95RR040006
N20001475,95RR150002,95RR150002
N20001476,95RR150003,95RR150002
N20001477,95RR060003,95RR060003
N20001478,95RR150004,95RR150004
N20001479,95RR060001,95RR060001
N20001480,95RR060001,95RR060001
N20001481,95RR110004,95RR110004
N20001482,95RR110004,95RR110004
N20001483,95RR010002,95RR010002
N20001484,95RR110003,95RR110003
N20001485,95RR010001,95RR010001
N20001486,95RR130002,95RR130002
N20001487,95RR130001,95RR130001
N20001488,95RR130006,95RR130006
N20001489,95RR120002,95RR120002
N20001490,95RR120002,95RR120002
N20001491,95RR010005,95RR010002
N20001492,95RR010004,95RR010004
N20001493,95RR130003,95RR130003
N20001494,95RR120005,95RR120005
N20001495,95RR100002,95RR100004
N20001496,95RR030004,95RR030004
N20001497,95RR010005,95RR010006
N20001498,95RR030005,95RR030005
N20001499,95RR050005,95RR050007
N20001500,95RR030004,95RR030002
N20001501,95RR010008,95RR010008
N20001502,95RR050006,95RR050006
N20001503,95RR010006,95RR010006
N20001504,95RR100002,95RR100002
N20001505,95RR050002,95RR050002
N20001506,95RR010008,95RR010007
N20001507,95RR100001,95RR030003
N20001508,95RR050004,95RR050008
N20001509,95RR030003,95RR030003
N20001510,95RR050003,95RR070006
N20001511,95RR070003,95RR070003
N20001512,95RR070003,95RR070003
N20001513,95RR070002,95RR070002
N20001514,95JJ040002,95JJ040006
N20001515,95JJ040003,95JJ040003
N20001516,95JJ140001,95JJ040005
N20001517,95JJ040001,95JJ040008
N20001518,95JJ140001,95JJ140001
N20001519,95JJ140001,95JJ040005
N20001520,95JJ040008,95JJ040008
N20001521,95JJ140003,95JJ140003
N20001522,95JJ140002,95JJ140002
N20001523,95JJ140003,95JJ140003
N20001524,95JJ200001,95JJ140003
N20001525,95JJ140002,95JJ140002
N20001526,95JJ010006,95JJ010006
N20001527,95JJ170001,95JJ140006
N20001528,95JJ010001,95JJ010001
N20001529,95JJ170003,95JJ170003
N20001530,95JJ010002,95JJ010002
N20001531,95JJ170004,95JJ170004
N20001532,95JJ170002,95JJ170002
N20001533,95JJ010004,95JJ010003
N20001534,95JJ170004,95JJ170004
N20001535,95JJ100007,95JJ100001
N20001536,95JJ100003,95JJ100003
N20001537,95JJ100002,95JJ100002
N20001538,95JJ170005,95JJ170005
N20001539,95JJ010004,95JJ010004
N20001540,95JJ120004,95JJ120004
N20001541,95JJ120002,95JJ120007
N20001542,95JJ100005,95JJ100006
N20001543,95JJ120003,95JJ120002
N20001544,95JJ120001,95JJ120001
N20001545,95JJ120003,95JJ120003
N20001546,95JJ100006,95JJ100006
N20001547,95JJ030006,95JJ030006
N20001548,95JJ210006,95JJ210006
N20001549,95JJ210007,95JJ210007
N20001550,95JJ030009,95JJ030009
N20001551,95JJ030002,95JJ030002
N20001552,95JJ030001,95JJ030001
N20001553,95JJ030004,95JJ030004
N20001554,95JJ210001,95JJ210001
N20001555,95JJ210002,95JJ210002
N20001556,95JJ070003,95JJ070003
N20001557,95JJ070003,95JJ070004
N20001558,95JJ220001,95JJ220001
N20001559,95JJ070003,95JJ070006
N20001560,95JJ220004,95JJ220003
N20001561,95JJ210004,95JJ210004
N20001562,95JJ050003,95JJ050003
N20001563,95JJ070005,95JJ070006
N20001564,95JJ070007,95JJ070007
N20001565,95JJ050006,95JJ050006
N20001566,95JJ070002,95JJ070002
N20001567,95JJ050001,95JJ220005
N20001568,95JJ220006,95JJ220006
N20001569,95JJ220004,95JJ220004
N20001570,95JJ150002,95JJ150002
N20001571,95JJ050001,95JJ050001
N20001572,95JJ050006,95JJ050006
N20001573,95JJ060004,95JJ060004
N20001574,95JJ060002,95JJ060002
N20001575,95JJ060008,95JJ060008
N20001576,95JJ150003,95JJ150003
N20001577,95JJ150001,95JJ150001
N20001578,95JJ060001,95JJ060001
N20001579,95JJ060006,95JJ060006
N20001580,95JJ060004,95JJ060004
N20001581,95JJ200009,95JJ200008
N20001582,95JJ150004,95JJ150004
N20001583,95JJ200007,95JJ200008
N20001584,95JJ200004,95JJ200004
N20001585,95JJ150004,95JJ130006
N20001586,95JJ130010,95JJ130010
N20001587,95JJ130006,95JJ130006
N20001588,95JJ200011,95JJ200011
N20001589,95JJ200012,95JJ200013
N20001590,95JJ150006,95JJ150006
N20001591,95JJ130002,95JJ130002
N20001592,95JJ200011,95JJ200011
N20001593,95JJ200003,95JJ200003
N20001594,95JJ130008,95JJ130008
N20001595,95JJ130004,95JJ130004
N20001596,95JJ130003,95JJ130003
N20001597,95UU070001,95UU070001
N20001598,95UU040002,95JJ090006
N20001599,95JJ180004,95JJ180004
N20001600,95UU040003,95UU040003
N20001601,95UU040001,95UU040001
N20001602,95JJ090002,95JJ090002
N20001603,95JJ180003,95JJ180003
N20001604,95JJ020009,95JJ180006
N20001605,95UU020002,95UU020002
N20001606,95UU020003,95UU020003
N20001607,95JJ180008,95JJ180008
N20001608,95JJ180007,95JJ180001
N20001609,95JJ180008,95JJ180008
N20001610,95JJ110006,95JJ020009
N20001611,95JJ110007,95JJ110004
N20001612,95JJ020001,95JJ020001
N20001613,95JJ110009,95JJ110009
N20001614,95JJ110010,95JJ110001
N20001615,95JJ110010,95JJ110010
N20001616,95JJ020002,95JJ020002
N20001617,95JJ090004,95JJ090004
N20001618,95JJ110003,95JJ110003
N20001619,95UU050003,95UU050003
N20001620,95JJ020006,95JJ020006
N20001621,95JJ160005,95JJ160005
N20001622,95JJ020007,95JJ020007
N20001623,95JJ020005,95JJ020005
N20001624,95JJ020008,95JJ020008
N20001625,95JJ080003,95JJ080003
N20001626,95JJ160007,95JJ160007
N20001627,95JJ080002,95JJ080002
N20001628,95JJ190004,95JJ190006
N20001629,95JJ160003,95JJ160004
N20001630,95JJ190001,95JJ190005
N20001631,95JJ190007,95JJ190007
N20001632,95JJ190008,95JJ190008
N20001633,95JJ190009,95JJ190007
N20001634,95JJ080001,95JJ080008
