SA2011,SOA2011,dea_1972,dea_1984,dea_1993,dea_2012
N00003733,95VV09W1,NEWRY AND MOURNE AREA E,SLIEVE GULLION,SLIEVE GULLION,Slieve Gullion
N00003729,95VV09W1,NEWRY AND MOURNE AREA E,SLIEVE GULLION,SLIEVE GULLION,Slieve Gullion
N00003730,95VV09W1,NEWRY AND MOURNE AREA E,SLIEVE GULLION,SLIEVE GULLION,Slieve Gullion
N00003728,95VV09W1,NEWRY AND MOURNE AREA E,SLIEVE GULLION,SLIEVE GULLION,Slieve Gullion
N00003828,95VV22W1,NEWRY AND MOURNE AREA E,THE FEWS,THE FEWS,Slieve Gullion
N00003830,95VV22W1,NEWRY AND MOURNE AREA E,THE FEWS,THE FEWS,Slieve Gullion
N00003724,95VV08W1,NEWRY AND MOURNE AREA E,SLIEVE GULLION,SLIEVE GULLION,Slieve Gullion
N00003727,95VV08W1,NEWRY AND MOURNE AREA E,SLIEVE GULLION,SLIEVE GULLION,Slieve Gullion
N00003854,95VV25S2,NEWRY AND MOURNE AREA E,SLIEVE GULLION,SLIEVE GULLION,Slieve Gullion
N00003851,95VV25S1,NEWRY AND MOURNE AREA E,SLIEVE GULLION,SLIEVE GULLION,Slieve Gullion
N00003855,95VV25S2,NEWRY AND MOURNE AREA E,SLIEVE GULLION,SLIEVE GULLION,Slieve Gullion
N00003852,95VV25S1,NEWRY AND MOURNE AREA E,SLIEVE GULLION,SLIEVE GULLION,Slieve Gullion
N00003856,95VV25S2,NEWRY AND MOURNE AREA E,SLIEVE GULLION,SLIEVE GULLION,Slieve Gullion
N00003706,95VV06W1,NEWRY AND MOURNE AREA E,THE FEWS,THE FEWS,Slieve Gullion
N00003829,95VV22W1,NEWRY AND MOURNE AREA E,THE FEWS,THE FEWS,Slieve Gullion
N00003875,95VV29W1,NEWRY AND MOURNE AREA E,THE FEWS,THE FEWS,Slieve Gullion
N00000453,95CC19W1,ARMAGH AREA B,CUSHER,CUSHER,Cusher
N00000431,95CC16W1,ARMAGH AREA B,CUSHER,CUSHER,Cusher
N00000407,95CC12W1,ARMAGH AREA B,CUSHER,CUSHER,Cusher
N00000363,95CC04W1,ARMAGH AREA C,CROSSMORE,CROSSMORE,Cusher
N00003832,95VV22W1,NEWRY AND MOURNE AREA E,THE FEWS,THE FEWS,Slieve Gullion
