SA2011,DZ2021_cd_dominant,DZ2021_cd_point
N00000790,N20000605,N20000605
N00000791,N20000595,N20000595
N00000792,N20000585,N20000585
N00000793,N20000606,N20000606
N00000794,N20000642,N20000642
N00000795,N20000652,N20000652
N00000796,N20000649,N20000649
N00000797,N20000649,N20000648
N00000798,N20000649,N20000649
N00000799,N20000629,N20000629
N00000800,N20000563,N20000563
N00000801,N20000579,N20000579
N00000802,N20000579,N20000583
N00000803,N20000579,N20000586
N00000804,N20000588,N20000588
N00000805,N20000585,N20000585
N00000806,N20000657,N20000657
N00000807,N20000657,N20000657
N00000808,N20000660,N20000660
N00000809,N20000660,N20000661
N00000810,N20000658,N20000661
N00000811,N20000662,N20000662
N00000812,N20000658,N20000663
N00000813,N20000614,N20000614
N00000814,N20000604,N20000604
N00000815,N20000614,N20000614
N00000816,N20000607,N20000610
N00000817,N20000614,N20000604
N00000818,N20000610,N20000610
N00000819,N20000631,N20000631
N00000820,N20000620,N20000626
N00000821,N20000612,N20000612
N00000822,N20000620,N20000620
N00000823,N20000608,N20000608
N00000824,N20000620,N20000620
N00000825,N20001367,N20001367
N00000826,N20001236,N20001236
N00000827,N20001238,N20001238
N00000828,N20001364,N20001364
N00000829,N20001368,N20001366
N00000830,N20001235,N20001235
N00000831,N20001364,N20001364
N00000832,N20001354,N20001354
N00000833,N20001357,N20001357
N00000834,N20001364,N20001366
N00000835,N20001366,N20001366
N00000836,N20001345,N20001345
N00000837,N20001342,N20001342
N00000838,N20001354,N20001354
N00000839,N20001361,N20001361
N00000840,N20001361,N20001361
N00000841,N20000753,N20000753
N00000842,N20000753,N20000753
N00000843,N20000760,N20000760
N00000844,N20000760,N20000760
N00000845,N20000762,N20000762
N00000846,N20000756,N20000762
N00000847,N20000748,N20000748
N00000848,N20000752,N20000752
N00000849,N20000758,N20000758
N00000850,N20000743,N20000743
N00000851,N20000752,N20000752
N00000852,N20000768,N20000765
N00000853,N20000755,N20000755
N00000854,N20000770,N20000770
N00000855,N20000975,N20000976
N00000856,N20000975,N20000975
N00000857,N20000975,N20000985
N00000858,N20000976,N20000976
N00000859,N20000976,N20000984
N00000860,N20000984,N20000984
N00000861,N20000984,N20000984
N00000862,N20000969,N20000973
N00000863,N20000969,N20000969
N00000864,N20000972,N20000973
N00000865,N20000890,N20000890
N00000866,N20000966,N20000881
N00000867,N20000881,N20000881
N00000868,N20000883,N20000883
N00000869,N20000881,N20000881
N00000870,N20000889,N20000889
N00000871,N20000964,N20000964
N00000872,N20000964,N20000966
N00000873,N20000885,N20000887
N00000874,N20000885,N20000885
N00000875,N20000886,N20000886
N00000876,N20000904,N20000904
N00000877,N20000885,N20000885
N00000878,N20000886,N20000886
N00000879,N20000894,N20000894
N00000880,N20000896,N20000896
N00000881,N20000892,N20000892
N00000882,N20000892,N20000892
N00000883,N20000900,N20000900
N00000884,N20000873,N20000873
N00000885,N20000905,N20000894
N00000886,N20001159,N20001159
N00000887,N20001165,N20001165
N00000888,N20001165,N20001165
N00000889,N20001166,N20001166
N00000890,N20001158,N20001158
N00000891,N20001158,N20001158
N00000892,N20001164,N20001164
N00000893,N20001163,N20001163
N00000894,N20001164,N20001164
N00000895,N20001147,N20001147
N00000896,N20001160,N20001150
N00000897,N20001155,N20001155
N00000898,N20001155,N20001155
N00000899,N20001138,N20001138
N00000900,N20001147,N20001147
N00000901,N20001138,N20001141
N00000902,N20001146,N20001146
N00000903,N20001147,N20001147
N00000904,N20001145,N20001150
N00000905,N20001154,N20001154
N00000906,N20000720,N20000720
N00000907,N20000718,N20000718
N00000908,N20000723,N20000723
N00000909,N20000730,N20000730
N00000910,N20000723,N20000723
N00000911,N20000729,N20000729
N00000912,N20000730,N20000730
N00000913,N20000717,N20000717
N00000914,N20000717,N20000717
N00000915,N20000716,N20000716
N00000916,N20000722,N20000722
N00000917,N20000722,N20000722
N00000918,N20000727,N20000727
N00000919,N20000727,N20000727
N00000920,N20000820,N20000820
N00000921,N20000711,N20000711
N00000922,N20000819,N20000819
N00000923,N20000716,N20000716
N00000924,N20000820,N20000820
N00000925,N20000714,N20000714
N00000926,N20001312,N20001316
N00000927,N20001322,N20001322
