SA2011,sex,religion_brought_up_in,count
N00000124,Male,Other religions and none,16
N00000124,Female,Catholic,35
N00000124,Female,Protestant and Other Christian,153
N00000124,Female,Other religions and none,9
N00000125,Male,Catholic,175
N00000125,Male,Protestant and Other Christian,32
N00000125,Male,Other religions and none,5
N00000125,Female,Catholic,200
N00000125,Female,Protestant and Other Christian,44
N00000125,Female,Other religions and none,8
N00000126,Male,Catholic,226
N00000126,Male,Protestant and Other Christian,6
N00000126,Male,Other religions and none,1
N00000126,Female,Catholic,237
N00000126,Female,Protestant and Other Christian,10
N00000126,Female,Other religions and none,1
N00000127,Male,Catholic,169
N00000127,Male,Protestant and Other Christian,32
N00000127,Male,Other religions and none,5
N00000127,Female,Catholic,166
N00000127,Female,Protestant and Other Christian,27
N00000127,Female,Other religions and none,6
N00000128,Male,Catholic,465
N00000128,Male,Protestant and Other Christian,34
N00000128,Male,Other religions and none,9
N00000128,Female,Catholic,446
N00000128,Female,Protestant and Other Christian,31
N00000128,Female,Other religions and none,6
N00000129,Male,Catholic,142
N00000129,Male,Protestant and Other Christian,6
N00000129,Male,Other religions and none,2
N00000129,Female,Catholic,184
N00000129,Female,Protestant and Other Christian,9
N00000129,Female,Other religions and none,3
N00000130,Male,Catholic,13
N00000130,Male,Protestant and Other Christian,204
N00000130,Male,Other religions and none,27
N00000130,Female,Catholic,11
N00000130,Female,Protestant and Other Christian,211
N00000130,Female,Other religions and none,32
N00000131,Male,Catholic,7
N00000131,Male,Protestant and Other Christian,162
N00000131,Male,Other religions and none,15
N00000131,Female,Catholic,7
N00000131,Female,Protestant and Other Christian,185
N00000131,Female,Other religions and none,12
N00000132,Male,Catholic,66
