DZ21,population,catholic_bg_pct
N20001384,596,5.2
N20001385,366,14.6
N20001386,394,6.3
N20001388,502,4.4
N20001389,562,5.6
N20001391,446,3.1
N20001392,408,4.8
N20001393,210,2.3
N20001394,344,10.5
N20001395,293,7.0
N20001396,431,11.1
N20001397,457,8.9
N20001398,363,6.1
N20001399,561,3.2
N20001400,256,11.4
N20001401,685,11.1
N20001402,565,15.0
N20001404,407,7.5
N20001405,523,3.1
N20001406,326,5.0
N20001407,347,8.5
N20001408,332,5.3
N20001409,228,1.1
N20001410,299,2.0
N20001411,444,6.7
N20001412,273,6.0
N20001413,569,22.5
N20001415,329,4.1
N20001416,497,4.8
N20001418,413,45.5
N20001420,338,85.4
N20001421,450,70.9
N20001422,355,65.2
N20001423,242,86.6
N20001424,635,9.3
N20001425,289,78.9
N20001426,398,91.6
N20001427,624,90.9
N20001428,574,83.5
N20001429,565,93.5
N20001430,294,80.2
N20001431,318,90.5
N20001434,354,92.0
N20001435,347,80.1
N20001437,419,90.2
N20001438,417,95.2
N20001439,577,82.4
N20001441,527,80.7
N20001442,489,94.9
N20001443,366,88.8
N20001444,640,95.0
N20001445,394,81.5
N20001446,501,30.5
N20001447,370,57.4
N20001449,467,55.1
N20001450,560,58.3
N20001451,306,57.8
N20001452,572,57.7
N20001453,472,68.1
N20001456,605,91.6
N20001457,479,19.0
N20001458,514,63.5
N20001460,390,77.3
N20001461,534,39.2
N20001462,640,85.2
N20001465,575,73.0
N20001466,801,62.7
N20001467,315,8.7
N20001470,333,89.3
N20001472,455,95.1
N20001473,644,93.3
N20001474,325,88.7
N20001477,651,79.3
N20001478,626,83.8
N20001480,440,78.6
N20001481,1020,67.7
N20001482,714,52.4
N20001484,733,24.6
N20001485,460,28.9
N20001486,417,45.3
N20001487,395,23.9
N20001488,190,34.6
N20001489,671,33.6
N20001490,354,43.0
N20001491,673,44.3
N20001492,418,50.0
N20001494,451,49.3
N20001495,273,34.2
N20001496,260,70.5
N20001497,556,43.0
N20001498,473,52.9
N20001499,307,36.6
N20001501,697,45.5
N20001502,444,30.0
N20001503,424,43.7
N20001504,557,49.5
N20001505,558,42.6
N20001506,465,37.7
N20001508,730,45.2
N20001510,520,51.5
N20001512,456,88.9
N20001513,553,54.1
N20001514,719,14.4
N20001515,436,17.7
N20001516,635,12.4
N20001517,337,29.0
N20001518,858,19.1
N20001519,303,14.4
N20001521,541,21.3
N20001522,349,9.2
N20001523,424,4.5
N20001524,517,17.9
N20001525,571,17.3
N20001526,471,15.6
N20001527,661,10.8
N20001528,664,7.9
N20001529,407,6.2
N20001530,748,31.7
N20001532,592,77.7
N20001533,381,8.4
N20001534,421,41.4
N20001535,289,14.0
N20001536,379,13.2
N20001537,584,25.3
N20001538,553,80.0
N20001539,734,51.9
N20001540,537,81.9
N20001541,447,77.2
N20001542,882,57.1
N20001543,710,64.6
N20001545,493,77.5
N20001546,337,90.8
N20001547,774,11.1
N20001548,724,32.5
N20001549,461,12.7
N20001550,473,11.9
N20001551,336,19.5
N20001552,447,20.9
N20001553,761,15.7
N20001554,483,15.5
N20001555,496,25.1
N20001556,297,14.8
N20001557,618,22.2
N20001558,541,24.6
N20001560,508,28.0
N20001561,478,21.2
N20001562,358,24.0
N20001563,519,19.6
N20001565,439,20.5
N20001566,312,25.0
N20001567,464,25.3
N20001568,459,44.6
N20001569,375,20.7
N20001570,466,35.0
N20001571,185,33.9
N20001572,549,26.3
N20001573,512,42.3
N20001574,607,51.0
N20001575,435,49.8
N20001576,401,39.7
N20001577,276,33.5
N20001578,299,26.2
N20001579,261,46.7
N20001580,545,29.9
N20001581,457,39.4
N20001582,470,20.7
N20001584,367,23.2
N20001585,528,23.5
N20001586,435,27.2
N20001587,709,22.7
N20001588,377,26.7
N20001590,473,21.4
N20001591,596,20.9
N20001593,546,16.9
N20001594,527,19.2
N20001595,324,2.8
N20001596,608,16.5
N20001597,715,4.9
N20001599,373,32.3
N20001600,303,3.2
N20001601,356,1.9
N20001602,353,4.7
N20001603,373,30.8
N20001604,539,24.0
N20001605,339,2.5
N20001606,249,3.8
N20001607,447,26.9
N20001609,338,25.2
N20001610,535,21.1
N20001611,529,21.4
N20001612,482,26.8
N20001613,565,19.8
N20001614,487,20.4
N20001615,666,27.3
N20001616,560,35.2
N20001617,493,3.8
N20001619,388,3.8
N20001620,363,32.0
N20001621,470,36.3
N20001622,435,30.1
N20001623,473,30.6
N20001624,423,30.7
N20001625,250,31.4
N20001626,460,32.7
N20001627,639,7.7
N20001629,291,27.1
N20001630,463,38.9
N20001632,632,35.3
N20001633,534,39.3
N20001634,620,17.3
N20001635,608,38.9
N20001637,489,36.8
N20001638,651,36.9
N20001639,556,3.3
N20001640,471,10.0
N20001641,279,6.1
N20001642,496,2.6
N20001643,367,8.2
N20001644,717,4.8
N20001645,532,12.0
N20001647,537,8.5
N20001648,299,11.5
N20001649,354,10.2
N20001650,360,7.6
N20001651,141,63.2
N20001652,505,51.6
N20001655,579,76.8
N20001656,778,80.6
N20001657,332,69.2
N20001658,567,18.3
N20001659,361,61.5
N20001660,906,78.6
N20001661,334,78.4
N20001662,463,68.4
N20001663,607,77.8
N20001664,376,65.6
N20001665,558,88.1
N20001666,520,25.6
N20001667,428,89.0
N20001669,481,7.5
N20001671,422,35.5
N20001672,614,4.7
N20001674,633,15.3
N20001675,599,94.1
N20001676,551,65.2
N20001677,307,92.4
N20001680,562,92.8
N20001681,521,93.3
N20001682,375,93.8
N20001684,724,92.0
N20001686,645,12.9
N20001687,557,17.9
N20001688,419,12.6
N20001689,629,18.1
N20001690,350,13.1
N20001691,418,14.8
N20001692,638,16.4
N20001693,596,6.4
N20001696,525,11.0
N20001697,482,19.2
N20001698,437,19.5
N20001699,517,12.7
N20001700,376,19.4
N20001702,780,23.8
N20001703,216,55.2
N20001704,312,7.5
N20001706,474,12.4
N20001707,417,6.8
N20001708,520,14.3
N20001710,743,17.2
N20001711,337,16.4
N20001712,460,9.4
N20001713,554,10.8
N20001714,413,13.3
N20001715,842,50.8
N20001716,883,41.0
N20001718,311,93.4
N20001719,562,94.9
N20001720,751,18.9
N20001721,561,36.8
N20001723,675,30.6
N20001725,576,69.0
N20001727,585,57.7
N20001728,341,85.7
N20001729,741,74.9
N20001731,663,56.4
N20001732,506,93.4
N20001733,803,96.1
N20001734,488,93.3
N20001735,427,87.1
N20001736,569,94.4
N20001737,295,91.7
N20001738,442,92.5
N20001739,608,94.0
N20001740,477,91.2
N20001741,352,88.5
N20001743,240,72.8
N20001745,349,92.8
N20001747,481,93.4
N20001748,453,94.1
N20001750,209,87.0
N20001753,676,96.2
N20001756,324,78.0
N20001757,694,93.7
N20001758,445,94.9
N20001761,536,90.4
N20001762,889,96.4
N20001764,584,90.5
N20001765,475,93.9
N20001767,737,76.4
N20001769,920,94.3
N20001771,596,88.4
N20001772,480,91.9
N20001774,604,95.7
N20001775,302,91.2
N20001777,560,91.9
N20001779,590,93.9
N20001780,647,95.8
N20001781,481,91.1
N20001782,624,96.0
N20001784,554,87.7
N20001786,559,93.3
N20001788,708,96.8
N20001789,398,79.0
N20001790,730,68.9
N20001791,561,88.1
N20001793,282,75.5
N20001794,314,72.4
N20001795,515,82.6
N20001796,529,94.0
N20001797,328,71.8
N20001799,635,92.0
N20001800,384,82.0
N20001801,301,83.8
N20001802,266,83.4
N20001803,637,88.3
N20001804,482,91.8
N20001805,729,90.6
N20001806,763,92.4
N20001807,624,89.4
N20001809,627,91.0
N20001810,610,95.2
N20001811,688,92.7
N20001812,707,84.8
N20001813,580,91.0
N20001815,580,93.9
N20001817,437,92.2
N20001819,578,94.9
N20001820,624,93.9
N20001823,435,91.3
N20001824,609,95.1
N20001825,349,92.9
N20001826,456,90.0
N20001827,546,92.2
N20001829,690,94.7
N20001831,532,94.0
N20001833,406,89.6
N20001834,554,92.8
N20001838,510,93.8
N20001840,448,90.5
N20001841,443,95.0
N20001844,673,95.8
N20001847,622,94.2
N20001850,611,55.8
N20001851,498,68.1
N20001852,531,31.7
N20001853,526,10.8
N20001854,502,49.6
N20001855,436,43.7
N20001856,511,7.0
N20001857,426,15.2
N20001858,505,67.8
N20001859,575,50.0
N20001860,382,55.2
N20001861,370,71.6
N20001862,389,22.3
N20001863,455,45.1
N20001864,324,28.3
N20001865,251,25.1
N20001866,369,13.8
N20001867,453,44.1
N20001868,462,17.3
N20001869,508,10.9
N20001870,255,59.0
N20001871,576,36.5
N20001872,630,56.6
N20001873,589,25.2
N20001874,472,73.9
N20001875,638,31.1
N20001876,503,9.0
N20001877,525,64.6
N20001878,463,50.7
N20001879,518,27.3
N20001880,388,17.4
N20001882,416,65.6
N20001883,515,80.8
N20001884,940,58.9
N20001885,581,50.0
N20001886,347,55.4
N20001888,700,56.7
N20001889,590,83.7
N20001891,550,66.7
N20001892,503,92.1
N20001894,390,22.7
N20001895,665,76.0
N20001896,998,88.8
N20001898,475,22.5
N20001899,446,4.7
N20001900,532,76.1
N20001901,662,91.2
N20001902,573,28.9
N20001903,413,47.3
N20001904,636,87.5
N20001905,442,5.7
N20001906,382,93.1
N20001907,493,42.6
N20001908,435,50.8
N20001909,516,88.6
N20001912,644,81.8
N20001913,597,82.4
N20001914,432,62.1
N20001916,713,56.8
N20001917,541,45.9
N20001919,731,60.3
N20001920,514,61.1
N20001921,598,61.2
N20001922,486,31.1
N20001923,657,77.3
N20001924,573,91.1
N20001925,520,90.0
N20001926,445,80.5
N20001927,797,73.3
N20001928,436,52.5
N20001929,428,46.5
N20001932,521,6.8
N20001933,627,4.7
N20001935,620,48.2
N20001936,629,50.7
N20001937,458,56.9
N20001938,450,80.3
N20001939,366,10.4
N20001940,247,8.8
N20001943,256,69.8
N20001944,496,73.1
N20001946,842,60.4
N20001947,603,19.8
N20001948,660,18.6
N20001949,845,63.9
N20001950,549,21.9
N20001951,546,47.9
N20001952,567,16.4
N20001954,663,61.1
N20001956,585,87.4
N20001957,235,40.7
N20001958,215,18.2
N20001959,527,58.9
N20001960,428,82.0
N20001961,547,57.5
N20001962,501,86.2
N20001963,355,84.6
N20001964,415,92.1
N20001965,257,81.8
N20001966,599,88.5
N20001969,352,88.7
N20001970,408,94.3
N20001971,674,73.2
N20001972,376,92.0
N20001974,428,93.1
N20001977,510,89.1
N20001980,526,87.1
N20001982,487,94.8
N20001983,522,95.6
N20001984,473,93.5
N20001985,437,92.2
N20001986,678,95.7
N20001988,755,67.1
N20001989,713,71.8
N20001990,803,60.2
N20001992,426,66.3
N20001993,237,82.4
N20001994,518,91.5
N20001996,501,94.9
N20001997,643,92.3
N20001998,726,84.0
N20002000,506,57.5
N20002001,525,67.9
N20002002,401,68.0
N20002006,553,64.3
N20002007,583,34.9
N20002008,617,29.3
N20002009,425,65.5
N20002010,438,39.0
N20002012,372,89.0
N20002014,534,85.5
N20002015,533,26.5
N20002016,347,57.2
N20002017,554,37.1
N20002018,407,82.5
N20002019,484,58.0
N20002020,439,41.6
N20002021,354,35.4
N20002022,527,19.2
N20002023,589,84.8
N20002024,681,14.3
N20002027,406,28.7
N20002029,662,34.1
N20002030,577,18.0
N20002031,726,52.8
N20002032,594,30.1
N20002033,329,26.1
N20002034,360,45.4
N20002035,462,41.8
N20002036,478,47.3
N20002038,831,95.8
N20002039,698,42.8
N20002040,754,76.4
N20002041,598,50.9
N20002043,325,75.4
N20002044,524,71.7
N20002045,340,75.4
N20002046,638,66.6
N20002047,440,69.8
N20002048,596,90.9
N20002049,461,89.2
N20002050,488,63.3
N20002051,695,71.5
N20002052,599,56.5
N20002054,579,88.6
N20002055,812,71.8
N20002056,478,78.0
N20002059,411,84.1
N20002060,628,78.2
N20002061,878,42.6
N20002062,584,68.7
N20002063,536,72.9
N20002064,459,69.1
N20002065,723,30.7
N20002066,947,87.9
N20002067,483,67.1
N20002069,805,64.2
N20002070,448,53.0
N20002071,649,53.8
N20002072,469,57.8
N20002074,491,88.9
N20002077,701,89.8
N20002078,457,74.9
N20002079,723,90.4
N20002081,504,41.5
N20002082,420,13.2
N20002083,464,26.1
N20002084,528,29.7
N20002085,230,58.3
N20002086,730,76.8
N20002087,569,55.1
N20002088,530,66.0
N20002090,570,54.6
N20002091,405,79.9
N20002092,586,59.6
N20002093,589,47.8
N20002094,588,68.9
N20002095,561,87.4
N20002096,333,75.5
N20002097,481,46.7
N20002098,641,66.2
N20002099,381,63.3
N20002100,521,55.3
N20002101,222,69.8
N20002102,514,54.7
N20002103,406,72.3
N20002104,427,63.5
N20002105,268,49.6
N20002106,499,51.8
N20002107,378,56.4
N20002108,591,39.9
N20002109,483,40.2
N20002110,264,26.5
N20002111,475,49.1
N20002112,339,61.2
N20002113,488,54.1
N20002114,359,68.4
N20002116,526,60.1
N20002117,455,11.7
N20002118,395,13.0
N20002119,485,12.6
N20002120,561,32.0
N20002121,633,39.1
N20002122,668,39.1
N20002123,520,26.6
N20002124,523,84.0
N20002125,484,56.8
N20002126,516,23.5
N20002127,576,21.7
N20002129,616,60.4
N20002130,663,26.2
N20002132,449,76.7
N20002133,554,71.7
N20002134,424,77.8
N20002135,351,62.7
N20002136,152,65.2
N20002138,397,77.1
N20002139,644,35.4
N20002142,697,52.5
N20002143,522,8.1
N20002145,580,37.1
N20002146,458,70.1
N20002147,635,29.8
N20002148,643,41.5
N20002149,449,65.9
N20002150,386,21.5
N20002151,541,51.3
N20002152,513,57.7
N20002153,526,29.4
N20002154,518,77.4
N20002156,574,61.8
N20002157,588,78.6
N20002158,474,43.3
N20002159,381,87.7
N20002160,691,80.1
N20002161,778,59.5
N20002162,562,80.4
N20002163,377,78.1
N20002164,857,57.5
N20002165,598,46.3
N20002166,319,76.5
N20002167,287,86.2
N20002168,713,54.1
N20002169,350,75.1
N20002170,362,79.7
N20002171,552,67.8
N20002172,303,72.6
N20002174,666,66.2
N20002175,561,73.0
N20002176,746,71.3
N20002177,608,71.4
N20002178,531,83.8
N20002180,581,45.7
N20002181,580,46.3
N20002182,574,75.2
N20002183,783,88.6
N20002185,349,85.4
N20002188,270,84.2
N20002189,393,60.6
N20002190,668,84.8
N20002192,557,63.7
N20002193,523,78.8
N20002195,492,65.0
N20002196,697,56.8
N20002197,388,31.4
N20002198,341,82.1
N20002199,280,64.6
N20002200,509,10.5
N20002201,293,23.7
N20002202,482,85.6
N20002203,298,91.9
N20002204,341,91.2
N20002205,267,85.3
N20002206,290,24.9
N20002207,451,52.7
N20002208,351,68.6
N20002209,387,33.5
N20002210,587,93.6
N20002211,362,60.3
N20002212,372,84.6
N20002213,704,78.7
N20002214,436,92.3
N20002216,658,77.4
N20002217,453,14.5
N20002218,483,66.2
N20002219,695,81.2
N20002220,490,65.9
N20002221,554,69.4
N20002223,568,93.9
N20002225,470,85.8
N20002230,436,68.5
N20002232,424,60.5
N20002233,633,71.8
N20002234,471,74.7
N20002236,683,75.7
N20002237,751,94.3
N20002238,662,90.4
N20002239,658,86.3
N20002240,655,95.3
N20002242,671,66.3
N20002243,495,75.0
N20002244,477,64.1
N20002245,681,51.5
N20002246,545,30.5
N20002247,612,62.1
N20002248,836,90.0
N20002249,588,46.2
N20002251,523,92.0
N20002252,535,17.6
N20002253,296,21.9
N20002254,486,16.3
N20002255,274,16.5
N20002256,438,21.1
N20002257,629,38.2
N20002258,583,11.6
N20002259,493,5.9
N20002260,536,11.1
N20002261,480,12.8
N20002262,484,13.9
N20002263,424,22.4
N20002264,510,17.8
N20002265,260,14.8
N20002266,525,17.7
N20002267,305,19.8
N20002268,1076,20.2
N20002269,630,13.4
N20002270,249,22.2
N20002271,452,21.9
N20002272,542,27.7
N20002273,541,24.0
N20002274,512,13.6
N20002275,599,23.9
N20002276,492,28.2
N20002278,385,7.7
N20002279,251,16.1
N20002280,439,13.5
N20002281,651,14.7
N20002282,420,12.6
N20002283,218,17.2
N20002284,838,11.0
N20002285,542,9.1
N20002286,387,8.7
N20002288,893,88.4
N20002289,904,60.7
N20002290,484,87.8
N20002291,384,77.4
N20002292,681,89.8
N20002293,514,67.8
N20002294,512,36.2
N20002295,625,63.5
N20002296,720,36.5
N20002297,572,39.5
N20002298,465,24.8
N20002299,502,41.7
N20002300,580,24.8
N20002301,333,12.1
N20002302,467,18.4
N20002303,556,21.9
N20002305,564,55.7
N20002306,585,57.6
N20002307,341,48.8
N20002308,496,56.8
N20002309,567,47.8
N20002310,781,44.2
N20002312,582,41.2
N20002313,531,8.7
N20002314,302,14.2
N20002315,434,12.6
N20002316,331,13.0
N20002317,595,17.5
N20002318,840,42.4
N20002319,736,18.9
N20002320,748,13.8
N20002321,560,9.5
N20002322,644,7.5
N20002323,623,10.0
N20002324,666,8.7
N20002325,557,8.6
N20002326,574,24.0
N20002327,369,11.3
N20002328,480,11.1
N20002329,657,7.7
N20002330,525,18.6
N20002332,628,5.9
N20002334,709,7.7
N20002335,465,16.1
N20002336,650,18.2
N20002337,474,8.8
N20002338,258,22.0
N20002339,429,12.8
N20002340,231,13.6
N20002341,533,16.9
N20002342,503,27.4
N20002343,358,17.4
N20002344,614,23.4
N20002345,374,17.2
N20002346,380,24.7
N20002347,531,12.7
N20002348,412,21.3
N20002349,657,26.4
N20002350,496,22.6
N20002351,671,33.7
N20002352,508,19.9
N20002353,823,27.8
N20002354,311,36.0
N20002355,490,49.5
N20002357,432,40.5
N20002358,368,37.5
N20002359,224,42.8
N20002360,498,26.4
N20002361,388,55.2
N20002362,657,30.1
N20002363,513,30.3
N20002364,469,42.7
N20002366,491,22.0
N20002368,511,18.0
N20002370,477,8.2
N20002371,440,10.9
N20002372,690,25.9
N20002373,699,27.8
N20002374,500,11.3
N20002375,410,10.6
N20002376,226,18.6
N20002377,678,65.3
N20002378,537,59.4
N20002379,755,11.4
N20002380,423,5.3
N20002381,459,40.2
N20002382,640,7.7
N20002383,408,34.7
N20002384,496,17.8
N20002385,617,71.4
N20002386,639,7.7
N20002387,628,33.9
N20002388,580,5.5
N20002389,565,62.8
N20002391,258,47.3
N20002392,770,60.4
N20002393,572,30.5
N20002395,397,68.4
N20002396,350,32.4
N20002397,476,31.0
N20002398,454,37.9
N20002399,705,38.4
N20002400,304,26.2
N20002401,402,25.5
N20002402,413,30.0
N20002403,403,20.5
N20002404,1045,16.4
N20002405,512,27.5
N20002406,563,39.0
N20002407,251,10.4
N20002408,565,24.4
N20002409,413,14.6
N20002410,398,21.1
N20002411,590,25.3
N20002412,476,32.0
N20002413,303,22.7
N20002414,531,21.2
N20002415,442,21.8
N20002416,412,15.6
N20002417,514,17.1
N20002418,424,26.0
N20002419,278,28.9
N20002420,475,24.2
N20002421,276,28.3
N20002422,269,25.4
N20002423,502,26.8
N20002424,533,27.3
N20002425,622,23.2
N20002426,460,18.2
N20002427,518,23.9
N20002428,234,13.6
N20002429,572,4.1
N20002430,429,21.8
N20002431,438,9.6
N20002432,484,12.6
N20002433,434,20.9
N20002434,267,6.8
N20002435,669,17.0
N20002436,451,17.4
N20002437,711,22.5
N20002438,476,11.8
N20002439,765,18.2
N20002440,644,7.3
N20002441,618,14.0
N20002442,544,11.7
N20002443,412,8.5
N20002444,576,11.3
N20002445,582,12.1
N20002446,603,6.4
N20002447,582,7.3
N20002448,485,14.5
N20002449,549,7.0
N20002450,532,13.2
N20002451,594,5.1
N20002452,505,12.6
N20002453,457,19.1
N20002454,622,21.2
N20002455,375,24.8
N20002456,667,56.9
N20002457,493,51.4
N20002458,569,54.0
N20002459,492,44.5
N20002460,247,42.8
N20002461,726,40.1
N20002462,480,26.5
N20002463,451,51.7
N20002464,437,40.3
N20002465,425,48.6
N20002466,240,44.8
N20002467,657,41.8
N20002468,557,44.6
N20002469,366,49.5
N20002470,674,46.7
N20002471,412,52.0
N20002472,465,44.8
N20002473,445,52.3
N20002474,714,46.4
N20002475,467,43.1
N20002476,693,53.6
N20002477,409,39.7
N20002478,794,54.2
N20002479,336,59.2
N20002480,613,51.3
N20002481,732,35.5
N20002482,699,60.9
N20002483,813,55.7
N20002484,840,46.0
N20002485,406,76.7
N20002486,266,58.0
N20002487,735,70.5
N20002488,557,58.1
N20002490,629,39.1
N20002491,556,39.8
N20002492,349,21.1
N20002493,354,19.6
N20002494,415,57.8
N20002495,664,65.4
N20002496,741,52.3
N20002497,474,61.8
N20002498,402,19.6
N20002499,689,39.7
N20002500,917,5.1
N20002501,504,6.2
N20002502,414,9.8
N20002503,567,9.0
N20002504,303,13.8
N20002505,531,7.7
N20002507,227,7.7
N20002508,520,19.2
N20002509,564,9.9
N20002510,344,1.7
N20002511,502,2.3
N20002512,471,10.3
N20002513,356,6.3
N20002514,596,5.2
N20002515,564,9.8
N20002516,584,18.5
N20002517,309,4.3
N20002519,300,9.3
N20002520,539,9.3
N20002521,490,4.6
N20002522,370,1.3
N20002524,525,11.8
N20002525,368,6.8
N20002526,566,16.2
N20002527,634,5.6
N20002528,344,15.5
N20002531,324,9.9
N20002532,464,9.6
N20002534,541,10.1
N20002535,363,6.0
N20002537,330,5.4
N20002538,435,11.1
N20002539,416,11.1
N20002541,461,7.5
N20002542,368,6.4
N20002543,264,11.6
N20002544,383,4.1
N20002545,600,5.0
N20002546,611,5.8
N20002547,634,16.0
N20002549,560,6.0
N20002551,420,7.8
N20002552,457,35.6
N20002553,434,37.9
N20002554,354,2.5
N20002555,511,5.0
N20002556,505,3.5
N20002557,571,1.5
N20002558,340,3.4
N20002559,378,6.1
N20002560,383,37.9
N20002561,431,68.0
N20002562,555,51.2
N20002563,740,9.6
N20002564,664,7.5
N20002565,287,9.5
N20002567,561,3.7
N20002569,371,11.0
N20002571,498,3.0
N20002572,549,3.3
N20002573,491,4.6
N20002574,654,5.6
N20002577,588,53.7
N20002578,533,6.3
N20002579,559,5.6
N20002580,543,18.4
N20002581,633,28.7
N20002582,629,8.2
N20002583,614,64.7
N20002584,686,23.2
N20002587,338,56.2
N20002588,568,61.8
N20002590,467,67.9
N20002591,366,34.8
N20002593,655,65.9
N20002594,510,51.8
N20002595,580,28.2
N20002596,333,50.9
N20002597,393,37.1
N20002598,388,74.9
N20002599,411,25.5
N20002600,561,12.4
N20002601,460,44.4
N20002602,485,65.8
N20002604,697,62.5
N20002605,555,52.8
N20002606,738,30.4
N20002607,308,14.8
N20002608,211,44.6
N20002610,364,22.6
N20002612,505,60.0
N20002613,754,27.9
N20002615,559,24.9
N20002616,349,36.0
N20002617,785,26.8
N20002618,413,18.7
N20002619,572,9.6
N20002620,546,19.0
N20002621,426,15.5
N20002622,440,5.0
N20002623,348,11.4
N20002624,444,23.7
N20002625,341,10.5
N20002626,366,1.7
N20002627,225,8.4
N20002628,537,16.1
N20002629,604,7.1
N20002631,392,6.5
N20002633,487,17.9
N20002634,469,18.3
N20002635,406,12.2
N20002637,556,11.5
N20002638,391,19.6
N20002639,679,41.0
N20002640,714,88.8
N20002641,486,89.3
N20002642,585,61.8
N20002643,518,51.4
N20002645,678,5.8
N20002646,738,40.3
N20002647,722,9.6
N20002648,687,5.2
N20002649,405,27.1
N20002650,407,10.1
N20002651,449,7.7
N20002652,604,7.9
N20002653,524,5.6
N20002654,671,2.7
N20002655,557,45.6
N20002656,490,5.5
N20002658,606,28.3
N20002660,411,5.7
N20002661,360,7.6
N20002662,657,7.4
N20002663,748,22.0
N20002664,583,21.6
N20002665,268,5.5
N20002666,498,14.0
N20002667,349,11.0
N20002668,571,11.7
N20002669,492,8.4
N20002670,556,7.6
N20002671,679,10.1
N20002672,213,9.3
N20002673,444,2.4
N20002675,319,6.3
N20002676,679,9.9
N20002677,568,7.4
N20002678,640,5.6
N20002679,443,2.7
N20002680,415,5.0
N20002681,604,6.1
N20002682,658,5.5
N20002683,441,5.0
N20002686,422,83.1
N20002689,473,42.4
N20002690,417,51.1
N20002691,644,45.4
N20002692,473,31.4
N20002693,343,22.0
N20002694,430,32.7
N20002695,461,26.8
N20002696,420,33.4
N20002697,446,33.2
N20002698,447,44.0
N20002699,522,25.0
N20002700,415,27.8
N20002704,309,17.7
N20002705,400,21.8
N20002707,403,16.7
N20002708,351,18.5
N20002710,534,20.7
N20002712,298,21.0
N20002713,452,21.5
N20002715,506,33.9
N20002716,773,22.6
N20002717,292,36.5
N20002718,441,36.3
N20002719,435,14.7
N20002720,410,43.6
N20002722,410,17.0
N20002723,423,14.2
N20002724,317,26.9
N20002725,268,18.8
N20002726,544,30.5
N20002727,429,31.8
N20002728,415,27.2
N20002729,151,26.0
N20002730,441,20.8
N20002731,578,21.1
N20002732,419,21.2
N20002733,438,28.8
N20002734,283,14.5
N20002735,512,20.2
N20002736,389,14.5
N20002737,566,26.9
N20002738,424,24.9
N20002739,615,6.8
N20002740,601,9.7
N20002741,470,4.0
N20002742,846,10.4
N20002743,881,4.1
N20002744,786,6.8
N20002745,526,5.7
N20002746,668,3.0
N20002747,606,5.2
N20002748,459,7.5
N20002749,364,6.2
N20002750,363,4.9
N20002751,568,5.8
N20002752,330,3.8
N20002753,431,4.4
N20002754,296,14.9
N20002755,495,11.6
N20002756,384,13.4
N20002757,489,16.7
N20002758,414,13.4
N20002760,466,20.1
N20002761,559,17.6
N20002762,631,19.0
N20002763,445,5.9
N20002764,548,8.3
N20002765,589,8.6
N20002766,293,6.2
N20002767,408,9.1
N20002768,836,6.0
N20002769,564,9.6
N20002770,701,8.8
N20002771,326,12.5
N20002772,381,1.5
N20002774,762,7.5
N20002775,769,6.2
N20002776,273,8.1
N20002777,425,7.7
N20002778,689,9.1
N20002779,444,8.2
N20002780,564,7.1
N20002781,592,5.4
N20002782,365,5.1
N20002783,383,5.7
N20002784,360,7.1
N20002785,351,7.0
N20002786,505,9.9
N20002788,437,7.3
N20002789,510,15.1
N20002790,539,11.3
N20002791,365,6.3
N20002792,460,11.2
N20002793,299,10.4
N20002794,438,9.9
N20002795,495,8.9
N20002796,409,13.9
N20002797,490,12.2
N20002798,391,16.5
N20002799,502,22.1
N20002800,514,13.9
N20002801,214,13.2
N20002802,913,2.9
N20002803,441,8.7
N20002804,621,6.0
N20002805,481,7.3
N20002806,475,8.3
N20002807,281,7.5
N20002808,655,6.7
N20002809,643,6.4
N20002810,419,6.9
N20002811,356,7.6
N20002812,257,6.0
N20002813,466,4.7
N20002814,637,10.3
N20002815,284,4.1
N20002816,344,6.7
N20002817,411,5.4
N20002818,507,5.4
N20002819,556,5.8
N20002820,377,13.1
N20002821,628,6.8
N20002822,582,9.7
N20002823,690,11.4
N20002824,242,16.5
N20002825,722,13.3
N20002826,577,9.4
N20002828,376,12.8
N20002829,563,7.7
N20002830,493,16.5
N20002831,311,11.6
N20002832,535,14.2
N20002833,403,8.8
N20002834,347,8.7
N20002835,628,14.3
N20002836,567,22.1
N20002837,414,68.4
N20002839,609,68.1
N20002840,683,44.3
N20002843,665,62.9
N20002846,658,10.6
N20002848,822,80.2
N20002850,456,87.9
N20002851,889,82.8
N20002852,605,94.7
N20002853,759,22.1
N20002855,405,55.2
N20002856,388,89.6
N20002857,540,33.0
N20002858,513,82.1
N20002859,772,95.4
N20002860,812,85.0
N20002861,465,93.9
N20002862,535,92.6
N20002863,731,90.4
N20002865,569,92.0
N20002867,897,10.9
N20002869,591,90.8
N20002870,660,86.5
N20002871,777,54.7
N20002872,706,23.7
N20002874,394,91.6
N20002875,562,93.5
N20002876,541,30.0
N20002877,543,55.9
N20002878,417,95.0
N20002879,1061,46.1
N20002880,564,54.3
N20002881,588,34.7
N20002882,810,81.8
N20002883,515,44.3
N20002884,677,53.6
N20002885,795,92.1
N20002886,505,46.9
N20002887,864,92.7
N20002888,557,92.2
N20002890,640,89.7
N20002891,780,51.0
N20002892,583,81.7
N20002893,572,77.6
N20002894,634,76.4
N20002895,365,72.5
N20002896,387,59.9
N20002897,229,62.1
N20002900,416,70.1
N20002901,279,59.6
N20002902,485,53.5
N20002903,621,66.7
N20002904,622,61.1
