code,name,LGD,MDM_score,MDM_rank,MDM_decile,Income_score,Income_rank,Employment_score,Employment_rank,Health Depr. and Disability_score,Health Depr. and Disability_rank,Education Skills and Training_score,Education Skills and Training_rank,Proximity to Services_score,Proximity to Services_rank,Crime and Disorder_score,Crime and Disorder_rank,Living Environment_score,Living Environment_rank,IDAC and IDAOP_score,IDAC and IDAOP_rank
95BB15S1,Kircubbin_1,Ards,15.39,509,6,0.11,634,0.13,529,-0.39,591,11.75,551,1.35,42,3.37,786,19.34,435,0.08,712
95BB15S2,Kircubbin_2,Ards,23.14,325,4,0.24,315,0.15,400,0.35,267,26,276,0.53,240,15.29,464,22.98,346,0.26,333
95BB16S1,Lisbane_1,Ards,5.12,816,10,0.05,831,0.08,786,-1.26,864,5.17,726,0.51,244,4.21,758,6.13,803,0.06,773
95BB16S2,Lisbane_2,Ards,5.96,791,9,0.07,763,0.08,810,-0.58,679,2.7,805,0.53,241,6.58,697,3.88,852,0.05,812
95BB17S1,Loughries_1,Ards,11.49,615,7,0.12,622,0.11,653,-0.13,473,21.36,354,-0.12,463,11.11,559,12.58,621,0.17,507
95BB17S2,Loughries_2,Ards,14.5,533,6,0.17,467,0.12,606,-0.17,491,16.58,438,0.35,280,23.92,321,13.84,584,0.25,340
95BB18S1,Millisle_1,Ards,25.1,292,4,0.23,323,0.18,290,0.14,342,36.79,165,0.2,325,29.21,239,13.19,606,0.26,334
95BB18S2,Millisle_2,Ards,8.44,720,9,0.09,702,0.09,712,-0.9,795,8.3,644,0.7,201,17.71,414,6.29,799,0.11,658
95BB19S1,Movilla_1,Ards,9.07,698,8,0.09,708,0.11,615,-0.14,485,12.68,525,-0.35,564,13.47,504,6.27,800,0.1,680
95BB19S2,Movilla_2,Ards,4.03,850,10,0.03,871,0.07,831,-0.86,785,6.51,695,0.08,366,4.34,754,3.23,864,0.04,848
95BB19S3,Movilla_3,Ards,5.34,810,10,0.03,874,0.07,841,-0.21,510,10,597,-0.17,483,5.22,731,3.3,860,0.03,855
95BB20S1,Portaferry_1,Ards,16.77,478,6,0.19,436,0.14,467,-0.37,581,11.93,541,0.99,119,14.95,475,18.48,456,0.18,487
95BB20S2,Portaferry_2,Ards,25.83,280,4,0.26,267,0.19,233,0.06,379,31.28,208,0.28,300,8.72,626,20.42,401,0.24,368
95BB21S1,Portavogie_1,Ards,23.43,317,4,0.19,416,0.17,315,-0.52,649,43.26,126,1.13,83,2.68,809,11.76,645,0.16,521
95BB21S2,Portavogie_2,Ards,14.87,521,6,0.14,558,0.12,610,-0.41,600,13.07,513,1.32,50,7.7,659,10.6,681,0.15,542
95BB22S1,Scrabo_1,Ards,28.97,226,3,0.22,360,0.16,337,0.65,168,46.69,106,-0.04,422,37.82,157,38.29,132,0.28,300
95BB22S2,Scrabo_2,Ards,34.48,160,2,0.31,190,0.19,210,0.39,254,52.34,74,-0.38,580,35.89,168,41.67,90,0.36,203
95BB23S1,Whitespots_1,Ards,4.62,833,10,0.07,774,0.1,701,-0.65,708,4.68,738,-0.6,696,7.64,662,6.52,791,0.05,799
95BB23S2,Whitespots_2,Ards,5.4,808,10,0.05,819,0.08,779,-0.48,634,5.59,716,0.07,371,4.09,765,5.88,813,0.04,837
95CC01W1,Abbey Park,Armagh,28.92,228,3,0.26,260,0.21,169,0.53,195,22.39,335,0.16,339,25.1,302,20.62,395,0.33,232
95CC02W1,Ballymartrim,Armagh,17.97,443,5,0.17,476,0.15,417,-0.27,534,13.54,496,1.14,76,8,646,16.97,500,0.18,492
95CC03W1,Callan Bridge,Armagh,37.77,128,2,0.48,65,0.2,201,0.29,283,41.78,132,-0.01,406,28.3,255,33.43,181,0.61,53
95CC04W1,Carrigatuke,Armagh,25.03,293,4,0.23,333,0.18,294,-0.04,439,22.19,340,0.99,126,2.91,800,47.06,49,0.23,385
95CC05W1,Charlemont,Armagh,19.12,410,5,0.22,347,0.16,355,-0.57,673,16.65,436,1.04,106,1.82,839,13.67,590,0.21,422
95CC06S1,Demesne_1,Armagh,11.06,634,8,0.12,615,0.12,580,-0.28,546,3.49,775,0.27,306,34.36,185,8.7,730,0.16,517
95CC06S2,Demesne_2,Armagh,13.77,553,7,0.15,517,0.14,477,-0.13,477,11.04,563,0.07,370,25.75,291,8.76,729,0.22,414
95CC07W1,Derrynoose,Armagh,18.99,412,5,0.19,435,0.14,450,-0.59,683,18.58,398,1.16,71,1.46,849,34.31,168,0.18,490
95CC08W1,Downs,Armagh,27.28,247,3,0.35,152,0.18,274,0.51,206,15.1,465,-0.29,539,19.17,386,31.04,215,0.4,179
95CC09S1,Hamiltonsbawn_1,Armagh,11.29,623,7,0.08,735,0.11,637,-0.25,529,10.45,583,0.89,153,1.29,856,23.73,333,0.08,727
95CC09S2,Hamiltonsbawn_2,Armagh,12.57,585,7,0.09,699,0.11,649,0.15,339,10.55,578,0.65,213,4.71,741,25.78,295,0.11,648
95CC10W1,Hockley,Armagh,9.45,683,8,0.1,679,0.11,621,-0.62,699,6.17,703,0.69,207,4,766,18.96,442,0.06,779
95CC11W1,Keady,Armagh,31.09,193,3,0.37,127,0.2,190,0.06,382,33.54,192,-0.24,519,15,473,32.27,197,0.47,121
95CC12W1,Killeen,Armagh,18.39,426,5,0.17,477,0.15,413,-0.46,624,16,447,1,116,4.91,737,39.23,119,0.18,494
95CC13W1,Killylea,Armagh,21.55,354,4,0.18,454,0.15,372,-0.78,761,23.24,322,1.46,24,4.3,756,24.19,321,0.22,416
95CC14W1,Laurelvale,Armagh,9.4,689,8,0.1,684,0.1,661,-0.4,594,11.22,558,0.54,239,3.58,779,6.57,790,0.11,644
95CC15W1,Loughgall,Armagh,15.77,497,6,0.15,536,0.14,452,-0.6,689,15.48,453,1.13,82,1.33,853,16.31,524,0.12,616
95CC16W1,Markethill,Armagh,20.8,368,5,0.19,417,0.16,352,-0.44,617,24.41,305,0.58,230,9.88,591,45.26,62,0.2,453
95CC17W1,Milford,Armagh,17.22,461,6,0.15,532,0.14,440,-0.2,507,16.15,443,1.02,109,3.88,771,25.19,303,0.15,536
95CC18W1,Observatory,Armagh,18.05,440,5,0.17,466,0.15,376,0.32,275,5.36,723,0,400,27.42,265,32.21,200,0.12,626
95CC19W1,Poyntz Pass,Armagh,16.9,471,6,0.15,524,0.14,475,-0.11,466,16.42,439,0.78,182,11.65,545,31.7,208,0.16,523
95CC20S1,Rich Hill_1,Armagh,7.85,742,9,0.07,754,0.11,651,-0.14,484,5.85,710,0.14,351,3.61,778,2.5,876,0.08,709
95CC20S2,Rich Hill_2,Armagh,13.1,578,7,0.11,640,0.14,483,0.34,268,13.31,504,-0.08,443,3.21,788,4.39,845,0.09,695
95CC21W1,Tandragee,Armagh,10.2,656,8,0.1,676,0.11,639,-0.75,749,16.94,425,0.33,290,19.32,384,7.39,765,0.1,676
95CC22W1,The Mall,Armagh,14.84,525,6,0.16,497,0.14,488,-0.02,429,21.13,356,-0.41,590,12.11,530,22.13,360,0.21,435
95DD01W1,Academy,Ballymena,6.6,777,9,0.1,673,0.09,735,-0.6,688,2.98,796,0.08,369,7.71,657,10.95,674,0.15,543
95DD02S1,Ahoghill_1,Ballymena,11.33,618,7,0.12,621,0.12,609,-0.42,608,21.04,359,0.28,302,2.74,807,8.13,743,0.13,599
95DD02S2,Ahoghill_2,Ballymena,7.08,766,9,0.07,761,0.09,753,-0.4,598,8.24,649,0.33,289,2.42,818,7.24,773,0.05,796
95DD03W1,Ardeevin,Ballymena,3.64,865,10,0.05,830,0.08,807,-0.82,770,2.75,803,-0.06,427,2.87,802,3.46,857,0.03,860
95DD04W1,Ballee,Ballymena,37.24,137,2,0.36,138,0.2,176,0.41,243,58.32,57,-0.15,478,24.84,310,35.28,161,0.49,110
95DD05W1,Ballykeel,Ballymena,35.65,150,2,0.35,147,0.19,242,0.19,324,61.89,47,-0.11,460,35.64,170,37.74,140,0.48,119
95DD06W1,Ballyloughan,Ballymena,4.56,840,10,0.05,821,0.09,740,-1.06,836,4.48,742,0.06,374,5.6,726,1.61,882,0.03,858
95DD07S1,Broughshane_1,Ballymena,8.71,706,8,0.1,671,0.09,754,-0.6,686,13.32,503,0.42,261,1.79,840,14.05,577,0.13,605
95DD07S2,Broughshane_2,Ballymena,9.3,693,8,0.11,653,0.08,812,-0.08,459,13.2,508,0.29,299,6.58,696,6.07,807,0.13,601
95DD08W1,Castle Demesne,Ballymena,29.78,210,3,0.28,219,0.21,162,0.11,354,35.47,178,-1.09,827,44.5,113,28.44,247,0.39,186
95DD09W1,Craigywarren,Ballymena,8.58,714,9,0.08,723,0.09,733,-1.47,881,8.54,638,0.93,139,10.02,587,14.45,568,0.09,702
95DD10W1,Cullybackey,Ballymena,16.05,492,6,0.17,485,0.13,498,-0.12,469,22.17,341,0.31,294,9.5,603,21.13,382,0.21,417
95DD11W1,Dunclug,Ballymena,30.11,206,3,0.34,161,0.16,361,-0.03,438,43.92,123,-0.29,541,89.35,4,16.38,519,0.47,123
