SA2011,lgd1993,catholic_pct_1971,lgd1971_pop
N00003829,NEWRY and MOURNE,71.4,72243
N00003875,NEWRY and MOURNE,71.4,72243
N00000453,ARMAGH,44.5,47618
N00000431,ARMAGH,44.5,47618
N00000407,ARMAGH,44.5,47618
N00000363,ARMAGH,44.5,47618
N00003832,NEWRY and MOURNE,71.4,72243
N00003831,NEWRY and MOURNE,71.4,72243
N00003833,NEWRY and MOURNE,71.4,72243
N00000364,ARMAGH,44.5,47618
N00000365,ARMAGH,44.5,47618
N00000382,ARMAGH,44.5,47618
N00000380,ARMAGH,44.5,47618
N00000384,ARMAGH,44.5,47618
N00000383,ARMAGH,44.5,47618
N00000385,ARMAGH,44.5,47618
N00000402,ARMAGH,44.5,47618
N00000400,ARMAGH,44.5,47618
N00000405,ARMAGH,44.5,47618
N00000404,ARMAGH,44.5,47618
N00000403,ARMAGH,44.5,47618
N00000401,ARMAGH,44.5,47618
N00000381,ARMAGH,44.5,47618
N00000360,ARMAGH,44.5,47618
N00000362,ARMAGH,44.5,47618
N00000438,ARMAGH,44.5,47618
N00000361,ARMAGH,44.5,47618
N00000440,ARMAGH,44.5,47618
N00000439,ARMAGH,44.5,47618
N00000416,ARMAGH,44.5,47618
N00000415,ARMAGH,44.5,47618
N00000441,ARMAGH,44.5,47618
N00000442,ARMAGH,44.5,47618
N00000437,ARMAGH,44.5,47618
N00000373,ARMAGH,44.5,47618
N00000374,ARMAGH,44.5,47618
N00000389,ARMAGH,44.5,47618
N00000386,ARMAGH,44.5,47618
N00000388,ARMAGH,44.5,47618
N00000375,ARMAGH,44.5,47618
N00000377,ARMAGH,44.5,47618
N00000472,ARMAGH,44.5,47618
N00000376,ARMAGH,44.5,47618
N00000471,ARMAGH,44.5,47618
N00000409,ARMAGH,44.5,47618
N00000378,ARMAGH,44.5,47618
N00000379,ARMAGH,44.5,47618
N00000372,ARMAGH,44.5,47618
N00000410,ARMAGH,44.5,47618
N00000390,ARMAGH,44.5,47618
N00000408,ARMAGH,44.5,47618
N00000406,ARMAGH,44.5,47618
N00000434,ARMAGH,44.5,47618
N00000433,ARMAGH,44.5,47618
N00000435,ARMAGH,44.5,47618
N00000436,ARMAGH,44.5,47618
N00000430,ARMAGH,44.5,47618
N00000391,ARMAGH,44.5,47618
N00000432,ARMAGH,44.5,47618
N00000450,ARMAGH,44.5,47618
N00000454,ARMAGH,44.5,47618
N00000463,ARMAGH,44.5,47618
N00000799,BANBRIDGE,31.2,29885
N00000728,BANBRIDGE,31.2,29885
N00000794,BANBRIDGE,31.2,29885
N00000796,BANBRIDGE,31.2,29885
N00000797,BANBRIDGE,31.2,29885
N00000795,BANBRIDGE,31.2,29885
N00000798,BANBRIDGE,31.2,29885
N00000451,ARMAGH,44.5,47618
N00000449,ARMAGH,44.5,47618
N00000452,ARMAGH,44.5,47618
N00003879,NEWRY and MOURNE,71.4,72243
N00003874,NEWRY and MOURNE,71.4,72243
N00003878,NEWRY and MOURNE,71.4,72243
N00003876,NEWRY and MOURNE,71.4,72243
N00003688,NEWRY and MOURNE,71.4,72243
N00003683,NEWRY and MOURNE,71.4,72243
N00003709,NEWRY and MOURNE,71.4,72243
N00003705,NEWRY and MOURNE,71.4,72243
N00003686,NEWRY and MOURNE,71.4,72243
N00003685,NEWRY and MOURNE,71.4,72243
N00003684,NEWRY and MOURNE,71.4,72243
N00003753,NEWRY and MOURNE,71.4,72243
N00003759,NEWRY and MOURNE,71.4,72243
