SA2011,total_pop,total_households,adults18plus,rc_pct,protestant_pct,none_relig_pct,relig_notstated_pct,none_or_notstated_pct,cb_catholic_pct,cb_protestant_pct,irish_speak_pct,econ_active_pct,unemployment_pct,owner_occ_pct,social_rent_pct,private_rent_pct,no_car_pct,llti_pct,qualified_pct,degree_pct
N00002339,319.9999347096665,120.99997531209264,242.999950420153,8.777429467084641,79.3103448275862,,,11.912225705329154,9.779179810725553,90.22082018927446,0.9523809523809527,74.56140350877193,2.3529411764705883,83.47107438016529,13.223140495867769,3.3057851239669422,12.5,14.687500000000002,64.03508771929825,11.403508771929825
N00002340,318.99988989862885,115.99995996313775,231.9999199262755,0.0,95.61128526645767,,,4.38871473354232,0.0,99.05956112852664,0.0,63.79310344827586,4.0540540540540535,73.27586206896552,22.413793103448278,4.310344827586206,28.205128205128204,19.435736677115983,39.0557939914163,3.862660944206009
N00002341,265.99995766814936,107.99998281263208,194.99996896725236,0.0,92.10526315789474,,,7.894736842105263,1.4981273408239704,97.37827715355807,6.177606177606179,64.36170212765958,5.785123966942149,61.111111111111114,25.925925925925924,12.962962962962962,27.27272727272727,21.42857142857143,46.80851063829786,5.8510638297872335
N00002342,290.9998610543375,114.99994509020209,206.99990116236376,91.8088737201365,2.04778156996587,,,6.143344709897611,97.2318339100346,2.7681660899653977,13.167259786476869,51.45631067961165,10.377358490566037,46.086956521739125,51.30434782608696,2.608695652173913,47.272727272727266,29.20962199312715,43.68932038834951,4.368932038834951
N00002343,442.9998890928383,132.999966702816,249.9999374113083,82.53968253968254,6.802721088435375,,,10.657596371882086,89.1156462585034,9.070294784580499,12.561576354679802,78.515625,7.960199004975124,78.94736842105263,4.511278195488721,16.54135338345865,17.692307692307693,13.092550790067719,71.48437500000001,19.140625
N00002344,256.99995289898783,127.99997654113014,210.9999613295192,89.57528957528957,2.702702702702703,,,6.563706563706565,94.921875,3.90625,9.01639344262295,41.935483870967744,15.384615384615383,45.3125,39.84374999999999,14.843750000000002,60.31746031746032,38.52140077821013,35.638297872340424,9.574468085106382
N00002345,150.99997395648853,104.99998189027347,144.99997499133002,10.596026490066224,78.14569536423839,,,11.258278145695364,14.56953642384106,83.44370860927151,0.0,52.32558139534885,6.666666666666667,31.428571428571427,61.904761904761905,6.666666666666666,62.264150943396224,49.00662251655629,31.3953488372093,4.651162790697675
N00002346,204.99990801384226,101.99995423127761,176.99992057780528,1.4634146341463414,85.3658536585366,,,13.170731707317074,3.8834951456310685,94.6601941747573,1.477832512315271,63.46153846153846,5.05050505050505,76.47058823529412,7.843137254901961,15.686274509803923,26.92307692307692,23.902439024390244,50.0,11.538461538461538
N00002347,547.9998833734888,226.99995438013167,434.999909585537,2.919708224713414,87.95620387744054,,,9.124087897846035,3.649635280891767,94.70802875139191,1.1214954627706435,64.94845307463673,3.1746032334398926,84.14096838696615,6.607929561168848,9.251102051865006,19.73094237264407,21.532846675928962,55.81395293239853,10.335917365081016
N00002348,215.99995197161405,115.99997420697792,184.99995886457685,0.0,89.7196261682243,,,10.2803738317757,4.186046511627908,95.8139534883721,0.0,46.938775510204074,14.492753623188408,24.137931034482758,75.86206896551724,0.0,43.96551724137931,38.42592592592593,33.333333333333336,2.0408163265306123
N00002349,285.99990798263957,128.9999584956661,241.99992213915658,4.195804195804196,80.76923076923077,,,15.034965034965035,4.895104895104896,91.25874125874127,1.0638297872340425,61.42131979695432,3.3057851239669422,86.04651162790697,5.426356589147287,8.527131782945736,24.21875,22.02797202797203,49.746192893401016,10.659898477157359
N00002350,206.99992660159018,101.99996383266762,174.99993794820423,1.9323671497584543,85.02415458937197,,,13.043478260869565,4.3478260869565215,93.71980676328502,0.0,72.22222222222223,2.8846153846153846,80.3921568627451,12.745098039215687,6.862745098039216,26.262626262626263,24.63768115942029,45.71428571428572,7.1428571428571415
N00002351,409.99997627738423,143.99999166815448,280.9999837413292,89.26829268292684,2.9268292682926833,,,7.8048780487804885,94.63414634146342,4.390243902439025,18.798955613577025,68.13186813186812,4.301075268817205,84.02777777777777,4.861111111111111,11.11111111111111,12.676056338028168,13.414634146341463,65.93406593406593,24.175824175824175
N00002352,247.9999429603265,117.99997286015535,204.9999528502699,95.54655870445345,2.42914979757085,,,2.0242914979757085,97.16599190283401,2.834008097165992,13.636363636363635,55.688622754491014,8.602150537634408,54.23728813559322,38.98305084745763,6.779661016949152,45.3781512605042,31.451612903225808,47.59036144578313,17.46987951807229
