code,name,LGD,MDM_score,MDM_rank,MDM_decile,Income Deprivation_score,Income Deprivation_rank,Employment Deprivation_score,Employment Deprivation_rank,Proximity to Services_score,Proximity to Services_rank,Crime and Disorder_score,Crime and Disorder_rank
95GG230001,Finaghy 3,Belfast,9.44,3867,8,0.18,2845,0.07,4129,1.35,3733,37.51,903
95GG230002,Finaghy 2,Belfast,3.65,4857,10,0.09,4014,0.04,4697,1.25,3949,8.37,3571
95GG230003,Finaghy 2,Belfast,3.72,4846,10,0.03,4844,0.07,3965,1.39,3630,2.84,4582
95GG230004,Finaghy 2,Belfast,12.45,3308,7,0.24,2237,0.08,3751,1.2,4043,42.3,712
95GG230005,Finaghy 2,Belfast,6.99,4275,9,0.17,2930,0.07,3959,1.2,4044,15.46,2572
95GG230006,Finaghy 2,Belfast,5.84,4464,9,0.04,4747,0.09,3524,1.48,3440,28.26,1396
95GG230007,Finaghy 3,Belfast,5.49,4531,10,0.09,4005,0.07,3988,1.49,3419,8.71,3507
95GG230008,Finaghy 1,Belfast,8.78,3977,8,0.08,4164,0.11,2969,1.39,3627,5.58,4056
95GG230009,Finaghy 3,Belfast,7.03,4263,9,0.09,4029,0.07,4107,1.36,3713,11.06,3136
95GG230010,Finaghy 1,Belfast,4.97,4635,10,0.04,4805,0.04,4692,2.31,2004,28.58,1376
95GG230011,Finaghy 3,Belfast,5.38,4550,10,0.09,4051,0.07,4162,1.6,3189,10.89,3170
95GG230012,Finaghy 1,Belfast,3.57,4869,10,0.03,4849,0.04,4767,2.05,2383,10.74,3193
95GG230013,Finaghy 1,Belfast,8.24,4063,9,0.15,3211,0.05,4491,1.73,2925,7.24,3777
95GG230014,Finaghy 3,Belfast,5.24,4574,10,0.05,4624,0.05,4628,1.99,2490,30.37,1252
95GG230015,Finaghy 1,Belfast,8.86,3967,8,0.09,4128,0.1,3106,1.68,3035,10.31,3248
95GG240001,Fortwilliam 1,Belfast,7.37,4210,9,0.07,4429,0.09,3417,0.76,4745,24.05,1722
95GG240002,Fortwilliam 3,Belfast,26.35,1518,4,0.37,1335,0.16,1676,1.15,4118,64.63,198
95GG240003,Fortwilliam 3,Belfast,12.67,3268,7,0.15,3195,0.1,3245,1.25,3953,37.87,890
95GG240004,Fortwilliam 1,Belfast,6.63,4327,9,0.03,4831,0.07,4121,1.15,4134,19.67,2105
95GG240005,Fortwilliam 1,Belfast,24.61,1673,4,0.31,1691,0.22,709,0.89,4578,36.97,928
95GG240006,Fortwilliam 3,Belfast,25.99,1549,4,0.3,1764,0.22,774,1.09,4228,36.8,936
95GG240007,Fortwilliam 2,Belfast,24.1,1710,4,0.23,2288,0.18,1197,1.09,4244,24.5,1680
95GG240008,Fortwilliam 2,Belfast,19.49,2244,5,0.2,2576,0.14,1983,1.09,4243,25.19,1623
95GG240009,Fortwilliam 2,Belfast,25.91,1551,4,0.36,1362,0.13,2237,1.1,4220,25.72,1573
95GG240010,Fortwilliam 2,Belfast,19.81,2207,5,0.2,2661,0.17,1408,1.11,4199,14.3,2695
95GG240011,Fortwilliam 1,Belfast,17.82,2434,5,0.24,2208,0.13,2345,1.12,4186,40.21,793
95GG240012,Fortwilliam 2,Belfast,40.35,640,2,0.45,838,0.23,587,1.03,4337,91.74,18
95GG240013,Fortwilliam 2,Belfast,15.76,2744,6,0.15,3294,0.11,2951,1.14,4153,22.31,1853
95GG240014,Fortwilliam 3,Belfast,10.51,3665,8,0.13,3493,0.07,4011,1.36,3707,40.07,799
95GG240015,Fortwilliam 3,Belfast,6.91,4291,9,0.06,4498,0.05,4607,1.24,3978,44.73,614
95GG240016,Fortwilliam 1,Belfast,12.29,3332,7,0.2,2629,0.06,4233,1.08,4262,52,407
95GG250001,Glen Road 2,Belfast,45.66,437,1,0.52,566,0.3,188,0.94,4482,38.48,864
95GG250002,Glen Road 1,Belfast,46.07,419,1,0.58,382,0.21,821,1.2,4035,89.85,23
95GG250003,Glen Road 1,Belfast,16.43,2640,6,0.17,2946,0.15,1802,1.25,3938,31.5,1200
95GG250004,Glen Road 1,Belfast,35.57,876,2,0.43,980,0.25,478,1.25,3942,13.11,2840
95GG250005,Glen Road 1,Belfast,32.66,1036,3,0.35,1427,0.23,596,1.26,3924,25.31,1612
95GG250006,Glen Road 1,Belfast,23.35,1794,4,0.32,1586,0.15,1732,0.95,4473,43.77,651
95GG250007,Glen Road 2,Belfast,31.14,1142,3,0.41,1123,0.22,697,1.12,4177,22.09,1870
95GG250008,Glen Road 1,Belfast,57.82,159,1,0.71,136,0.4,41,1.03,4343,54.55,351
95GG250009,Glen Road 3,Belfast,30.39,1191,3,0.38,1266,0.19,1050,1.07,4285,13.24,2828
95GG250010,Glen Road 3,Belfast,44.88,460,1,0.48,725,0.27,354,1.31,3812,26.17,1550
95GG250011,Glen Road 2,Belfast,31.11,1147,3,0.48,718,0.18,1209,0.95,4477,15.23,2600
95GG250012,Glen Road 3,Belfast,38.42,723,2,0.51,610,0.22,699,1.08,4253,21.84,1892
95GG250013,Glen Road 2,Belfast,41.85,579,2,0.44,900,0.31,164,1.02,4363,21.26,1949
95GG250014,Glen Road 2,Belfast,38.68,705,2,0.46,804,0.27,349,0.92,4517,14.45,2680
95GG250015,Glen Road 3,Belfast,47.03,390,1,0.65,225,0.27,364,1.04,4331,36.69,943
95GG250016,Glen Road 3,Belfast,16.31,2652,6,0.17,2942,0.1,3243,1.11,4192,3.97,4362
95GG250017,Glen Road 2,Belfast,54.71,216,1,0.66,202,0.44,21,0.9,4554,27.1,1479
95GG260001,Glencairn 2,Belfast,23.47,1775,4,0.25,2183,0.15,1891,1.05,4307,14.38,2689
95GG260002,Glencairn 1,Belfast,37.86,743,2,0.42,1040,0.15,1896,1.54,3312,62.3,235
95GG260003,Glencairn 2,Belfast,36.09,845,2,0.42,1028,0.22,707,0.98,4425,32.38,1150
95GG260004,Glencairn 2,Belfast,25.21,1616,4,0.33,1542,0.14,2065,1.13,4165,14.69,2658
95GG260005,Glencairn 1,Belfast,9.23,3899,8,0.04,4766,0.03,4893,2.05,2379,1.61,4816
95GG260006,Glencairn 1,Belfast,56.71,181,1,0.61,320,0.34,106,2.41,1886,12.85,2883
95GG260007,Glencairn 1,Belfast,56.84,178,1,0.65,219,0.28,317,2.1,2313,25.62,1587
95GG260008,Glencairn 1,Belfast,59.83,135,1,0.59,374,0.32,135,1.78,2831,32.85,1122
95GG260009,Glencairn 1,Belfast,44.38,479,1,0.43,961,0.22,759,1.64,3120,21.87,1886
95GG260010,Glencairn 2,Belfast,48.89,337,1,0.5,647,0.26,394,2.51,1781,23.46,1781
95GG260011,Glencairn 2,Belfast,68.17,50,1,0.72,119,0.41,39,2.23,2121,30.96,1223
95GG260012,Glencairn 1,Belfast,51.5,281,1,0.56,459,0.31,176,2.86,1521,43.88,646
95GG260013,Glencairn 2,Belfast,31.89,1081,3,0.36,1383,0.22,700,1.32,3802,26.21,1546
95GG260014,Glencairn 2,Belfast,35.37,880,2,0.34,1492,0.22,669,1.02,4356,27.94,1414
95GG270001,Glencolin 3,Belfast,36.36,824,2,0.44,895,0.23,589,1.35,3726,21.43,1936
95GG270002,Glencolin 3,Belfast,20.77,2088,5,0.31,1658,0.14,2037,1.3,3844,7.89,3654
95GG270003,Glencolin 2,Belfast,23.02,1839,4,0.25,2171,0.14,2076,1.98,2495,21.74,1902
95GG270004,Glencolin 2,Belfast,48.8,338,1,0.44,939,0.33,124,2.15,2237,32.47,1145
95GG270005,Glencolin 2,Belfast,60.81,126,1,0.71,139,0.31,159,2.94,1477,53.6,372
95GG270006,Glencolin 4,Belfast,53.89,235,1,0.65,215,0.29,229,1.58,3237,26.82,1498
95GG270007,Glencolin 3,Belfast,45.75,434,1,0.46,788,0.29,235,1.53,3343,46.27,560
95GG270008,Glencolin 3,Belfast,75.1,17,1,0.83,42,0.48,9,1.72,2954,85.53,37
95GG270009,Glencolin 3,Belfast,35.1,895,2,0.46,822,0.22,768,1.5,3394,20.78,1993
95GG270010,Glencolin 1,Belfast,31.59,1104,3,0.35,1388,0.15,1820,3.17,1360,47.42,532
95GG270011,Glencolin 1,Belfast,12.67,3270,7,0.11,3795,0.11,2841,2.76,1590,19.51,2121
95GG270012,Glencolin 1,Belfast,16.77,2578,6,0.2,2651,0.13,2322,3.03,1425,3.38,4484
95GG270013,Glencolin 1,Belfast,25,1636,4,0.34,1480,0.18,1186,2.09,2324,18.24,2257
95GG270014,Glencolin 4,Belfast,48.32,353,1,0.59,366,0.28,318,1.65,3094,12.66,2901
95GG270015,Glencolin 4,Belfast,48.71,340,1,0.5,664,0.3,217,1.47,3456,27.01,1484
95GG270016,Glencolin 4,Belfast,49.17,327,1,0.64,252,0.24,516,1.21,4020,74.77,101
95GG270017,Glencolin 2,Belfast,47.52,375,1,0.5,651,0.3,201,1.82,2768,15.72,2530
95GG270018,Glencolin 4,Belfast,38.48,720,2,0.41,1058,0.23,654,1.14,4151,38.29,872
95GG270019,Glencolin 2,Belfast,45.02,454,1,0.54,496,0.26,407,1.82,2765,15.7,2534
95GG280001,Highfield 1,Belfast,21.96,1945,4,0.21,2512,0.16,1570,2.19,2165,47.79,522
95GG280002,Highfield 3,Belfast,48.18,355,1,0.51,603,0.25,473,1.65,3099,9.24,3423
95GG280003,Highfield 2,Belfast,33.54,985,2,0.41,1103,0.18,1277,1.44,3527,17.31,2350
95GG280004,Highfield 2,Belfast,33.8,967,2,0.39,1227,0.23,605,1.39,3626,37.29,913
95GG280005,Highfield 2,Belfast,46.39,406,1,0.44,919,0.3,208,1.41,3591,29.48,1308
95GG280006,Highfield 1,Belfast,32.99,1020,3,0.41,1109,0.2,981,1.88,2650,31.62,1189
95GG280007,Highfield 3,Belfast,43.1,523,2,0.41,1094,0.23,634,1.65,3104,5.7,4034
95GG280008,Highfield 3,Belfast,56.1,190,1,0.54,490,0.3,206,1.55,3291,10.12,3285
95GG280009,Highfield 3,Belfast,55.89,193,1,0.61,303,0.31,171,1.66,3078,19.23,2143
95GG280010,Highfield 3,Belfast,50.69,295,1,0.51,593,0.26,373,1.69,3019,20.92,1979
95GG280011,Highfield 3,Belfast,50.49,303,1,0.44,886,0.27,324,1.61,3178,76.17,89
95GG280012,Highfield 1,Belfast,17.5,2471,5,0.13,3505,0.14,1933,3.12,1391,7.91,3649
95GG280013,Highfield 1,Belfast,16.64,2600,6,0.17,3035,0.15,1843,2.27,2058,6.48,3914
95GG280014,Highfield 2,Belfast,22.17,1925,4,0.15,3217,0.17,1380,1.79,2807,36.34,964
95GG280015,Highfield 1,Belfast,11.3,3508,7,0.06,4548,0.08,3608,2.5,1784,5.12,4153
95GG280016,Highfield 2,Belfast,27.69,1409,3,0.3,1759,0.18,1229,1.09,4225,39.28,837
95GG280017,Highfield 2,Belfast,21.7,1984,4,0.19,2756,0.2,879,1.71,2963,13.95,2742
95GG290001,Island 1,Belfast,13.88,3067,7,0.16,3114,0.08,3883,1.18,4072,21.52,1928
95GG290002,Island 1,Belfast,25.16,1621,4,0.23,2337,0.09,3303,1.17,4094,13.89,2747
95GG290003,Island 1,Belfast,31.54,1108,3,0.2,2602,0.13,2267,2.37,1924,58.74,278
95GG290004,Island 1,Belfast,36.27,829,2,0.41,1086,0.18,1280,1.01,4376,28.32,1393
95GG290005,Island 1,Belfast,14.37,2985,6,0.1,3861,0.07,4029,1.12,4183,6.81,3863
95GG290006,Island 2,Belfast,15.72,2754,6,0.22,2474,0.05,4528,0.69,4861,42.52,703
95GG290007,Island 1,Belfast,55.82,194,1,0.71,140,0.23,650,0.99,4412,32.07,1166
95GG290008,Island 2,Belfast,23.05,1831,4,0.23,2377,0.11,2900,0.77,4740,51.5,422
95GG290009,Island 2,Belfast,26.24,1526,4,0.31,1690,0.14,1927,0.93,4495,32.84,1123
95GG290010,Island 2,Belfast,38.92,695,2,0.54,486,0.16,1635,0.89,4574,42.69,693
95GG290011,Island 1,Belfast,60.84,125,1,0.74,90,0.31,180,0.83,4653,30.13,1268
95GG290012,Island 2,Belfast,16.42,2641,6,0.21,2542,0.09,3545,0.7,4851,41.44,740
95GG290013,Island 1,Belfast,64.5,90,1,0.81,49,0.3,203,0.8,4698,31.56,1197
95GG290014,Island 2,Belfast,19.87,2202,5,0.25,2158,0.11,2708,0.65,4901,36.41,960
95GG290015,Island 2,Belfast,32.37,1048,3,0.33,1526,0.19,1087,0.73,4796,24.77,1657
95GG290016,Island 2,Belfast,23.73,1745,4,0.27,1974,0.13,2211,0.7,4847,59.92,265
95GG290017,Island 2,Belfast,22.71,1873,4,0.29,1819,0.11,2780,0.71,4831,22.52,1847
95GG300001,Knock 3,Belfast,10.57,3654,8,0.16,3056,0.09,3379,1.25,3939,7.76,3685
95GG300002,Knock 1,Belfast,28.91,1315,3,0.44,917,0.16,1615,1.55,3295,15.64,2546
95GG300003,Knock 1,Belfast,32.45,1044,3,0.38,1237,0.24,504,1.4,3610,4.39,4281
95GG300004,Knock 1,Belfast,26.81,1481,3,0.31,1696,0.19,1068,1.59,3212,15.81,2520
95GG300005,Knock 2,Belfast,5.15,4596,10,0.09,4087,0.06,4309,0.99,4415,26.95,1489
95GG300006,Knock 2,Belfast,4,4792,10,0.1,3981,0.03,4854,1.12,4190,14.48,2676
95GG300007,Knock 2,Belfast,3.16,4920,10,0.05,4690,0.04,4825,1.47,3455,9.75,3337
95GG300008,Knock 3,Belfast,6.98,4277,9,0.08,4287,0.08,3725,1.04,4324,21.11,1963
95GG300009,Knock 3,Belfast,7.43,4201,9,0.13,3580,0.09,3574,1.16,4107,1.99,4737
95GG300010,Knock 2,Belfast,5.24,4575,10,0.06,4556,0.08,3693,1.31,3824,21.64,1916
95GG300011,Knock 3,Belfast,6.23,4394,9,0.07,4313,0.06,4266,1.37,3685,6.92,3842
95GG300012,Knock 2,Belfast,7.62,4165,9,0.11,3788,0.08,3823,1.14,4152,15.18,2605
95GG300013,Knock 3,Belfast,7.82,4131,9,0.1,3919,0.1,3012,1.34,3759,6.12,3967
95GG300014,Knock 1,Belfast,3.85,4826,10,0.03,4897,0.04,4805,1.45,3506,2.26,4700
95GG300015,Knock 1,Belfast,7.11,4251,9,0.06,4574,0.06,4286,1.49,3422,23.81,1745
95GG300016,Knock 1,Belfast,52.68,262,1,0.59,357,0.32,142,1.69,3016,43.73,652
95GG300017,Knock 1,Belfast,41.77,584,2,0.57,403,0.22,724,1.61,3170,26.38,1534
95GG310001,Ladybrook 1,Belfast,21.78,1975,4,0.31,1628,0.17,1356,1.3,3830,24.96,1637
95GG310002,Ladybrook 2,Belfast,41.31,607,2,0.46,783,0.28,316,1.15,4130,19.14,2156
95GG310003,Ladybrook 2,Belfast,22.74,1867,4,0.28,1859,0.19,1077,1.41,3590,13.34,2815
95GG310004,Ladybrook 2,Belfast,51.31,287,1,0.62,295,0.31,174,1.32,3798,46.32,559
95GG310005,Ladybrook 2,Belfast,28.22,1362,3,0.41,1066,0.15,1819,1.44,3525,34.32,1051
95GG310006,Ladybrook 1,Belfast,15.03,2867,6,0.22,2400,0.13,2351,1.41,3589,12.86,2880
95GG310007,Ladybrook 3,Belfast,63.1,104,1,0.89,22,0.3,195,1.35,3741,50.75,445
95GG310008,Ladybrook 3,Belfast,50.62,299,1,0.68,176,0.26,422,1.15,4135,29.54,1305
95GG310009,Ladybrook 3,Belfast,21.39,2016,5,0.27,2004,0.16,1554,1.22,4008,17.23,2362
95GG310010,Ladybrook 3,Belfast,20.7,2102,5,0.26,2085,0.14,1990,1.12,4188,40.91,760
95GG310011,Ladybrook 2,Belfast,20.79,2087,5,0.29,1802,0.17,1488,1.23,3980,12,2990
95GG310012,Ladybrook 3,Belfast,49.2,326,1,0.53,507,0.31,175,1.03,4338,32.45,1146
95GG310013,Ladybrook 3,Belfast,51.23,288,1,0.64,243,0.29,243,1.15,4129,42.95,681
95GG310014,Ladybrook 1,Belfast,8.88,3962,8,0.1,3939,0.1,3165,1.18,4066,11.54,3066
95GG310015,Ladybrook 2,Belfast,19.92,2193,5,0.27,2022,0.15,1710,1.24,3961,15.32,2589
95GG310016,Ladybrook 1,Belfast,20,2185,5,0.31,1676,0.16,1571,1.07,4287,16.7,2418
95GG310017,Ladybrook 1,Belfast,15.54,2784,6,0.19,2760,0.13,2166,1.31,3811,19.94,2075
95GG320001,Legoniel 3,Belfast,15.82,2733,6,0.19,2744,0.12,2469,1.46,3482,36.35,961
95GG320002,Legoniel 3,Belfast,12.11,3369,7,0.13,3481,0.1,3235,1.43,3549,19.44,2126
95GG320003,Legoniel 3,Belfast,20.58,2116,5,0.27,2015,0.14,1957,1.16,4117,49.98,466
95GG320004,Legoniel 1,Belfast,31.12,1145,3,0.31,1663,0.17,1402,2.43,1857,63.52,215
95GG320005,Legoniel 1,Belfast,52.18,269,1,0.49,703,0.3,196,2.74,1608,36.06,973
95GG320006,Legoniel 1,Belfast,30.88,1159,3,0.35,1436,0.17,1442,3.12,1392,40.28,790
95GG320007,Legoniel 2,Belfast,33.17,1011,3,0.4,1162,0.19,1141,2.01,2453,27.31,1457
95GG320008,Legoniel 1,Belfast,56.59,184,1,0.65,222,0.29,242,2.14,2241,48.96,489
95GG320009,Legoniel 1,Belfast,61.23,116,1,0.77,74,0.29,248,2.08,2341,75.1,99
95GG320010,Legoniel 2,Belfast,29.86,1239,3,0.34,1501,0.2,896,1.56,3273,37.84,892
95GG320011,Legoniel 2,Belfast,48.39,351,1,0.52,560,0.37,72,1.45,3503,20.97,1973
95GG320012,Legoniel 1,Belfast,40.66,630,2,0.46,819,0.24,497,1.57,3246,39.35,831
95GG320013,Legoniel 2,Belfast,26.19,1534,4,0.27,2024,0.18,1270,1.3,3834,28.91,1347
95GG320014,Legoniel 2,Belfast,28.51,1344,3,0.37,1287,0.14,2128,1.23,3993,69.65,147
95GG320015,Legoniel 3,Belfast,40.51,635,2,0.62,292,0.25,469,1.43,3547,13.4,2807
95GG320016,Legoniel 2,Belfast,34.6,922,2,0.5,634,0.15,1730,1.19,4055,78.57,77
95GG320017,Legoniel 3,Belfast,31.8,1086,3,0.34,1475,0.27,325,1.57,3247,29.89,1286
95GG320018,Legoniel 3,Belfast,17.62,2459,5,0.18,2908,0.13,2170,1.48,3430,26.1,1553
95GG330001,Malone 2,Belfast,4.9,4646,10,0.08,4189,0.07,4072,1.21,4024,11.57,3059
95GG330002,Malone 2,Belfast,5.03,4624,10,0.08,4274,0.06,4405,0.74,4781,28.9,1348
95GG330003,Malone 1,Belfast,4.93,4639,10,0.07,4388,0.05,4483,1.01,4389,44.93,604
95GG330004,Malone 2,Belfast,3.09,4929,10,0.02,4918,0.03,4858,1.47,3452,18.18,2264
95GG330005,Malone 1,Belfast,3.15,4921,10,0.02,4934,0.05,4550,1.51,3369,21.72,1909
95GG330006,Malone 3,Belfast,5.27,4570,10,0.06,4456,0.05,4661,1.17,4089,37.1,920
95GG330007,Malone 1,Belfast,2.69,4978,10,0.02,4959,0.06,4305,1.54,3309,6.34,3939
95GG330008,Malone 2,Belfast,5.92,4451,9,0.04,4788,0.07,4002,2.04,2394,21.93,1882
95GG330009,Malone 2,Belfast,3.4,4891,10,0.02,4949,0.04,4815,1.82,2772,11.8,3023
95GG330010,Malone 1,Belfast,2.17,5010,10,0.02,4909,0.02,4987,1.7,3005,9.23,3425
95GG330011,Malone 1,Belfast,2.87,4956,10,0.03,4887,0.05,4515,1.86,2690,5.15,4148
95GG330012,Malone 3,Belfast,9.14,3914,8,0.18,2852,0.1,3185,0.58,4955,26.43,1529
95GG330013,Malone 3,Belfast,3.86,4824,10,0.05,4588,0.03,4933,0.89,4566,19.95,2074
95GG330014,Malone 3,Belfast,6.65,4323,9,0.08,4246,0.08,3896,1.21,4027,28.48,1383
95GG330015,Malone 3,Belfast,10.88,3590,8,0.19,2681,0.09,3514,0.52,4993,44.24,639
95GG330016,Malone 3,Belfast,2.74,4972,10,0.03,4886,0.02,4982,0.77,4741,12.13,2973
95GG330017,Malone 3,Belfast,3.78,4838,10,0.03,4829,0.06,4429,0.75,4761,19.13,2161
95GG340001,Musgrave 3,Belfast,4.56,4704,10,0.11,3805,0.05,4595,1,4398,21.49,1930
95GG340002,Musgrave 2,Belfast,10.14,3737,8,0.15,3210,0.1,3121,1,4401,19.12,2162
95GG340003,Musgrave 3,Belfast,9.98,3765,8,0.17,2961,0.12,2655,1.12,4180,19.5,2124
95GG340004,Musgrave 2,Belfast,11.77,3421,7,0.16,3106,0.12,2448,0.96,4468,51.33,430
95GG340005,Musgrave 2,Belfast,11.4,3491,7,0.15,3219,0.12,2444,1.31,3816,22.13,1866
95GG340006,Musgrave 3,Belfast,5.69,4498,9,0.07,4325,0.08,3754,1.3,3846,21.29,1948
95GG340007,Musgrave 3,Belfast,4.71,4678,10,0.05,4660,0.04,4732,1.08,4256,47.56,529
95GG340008,Musgrave 3,Belfast,6.93,4289,9,0.12,3693,0.08,3766,0.95,4475,35.04,1018
95GG340009,Musgrave 2,Belfast,8.19,4078,9,0.13,3504,0.11,2927,1.55,3290,10.43,3225
95GG340010,Musgrave 1,Belfast,18.98,2292,5,0.24,2250,0.13,2177,1.4,3596,16.92,2394
95GG340011,Musgrave 1,Belfast,25.4,1599,4,0.35,1437,0.16,1670,1.14,4158,18.17,2265
95GG340012,Musgrave 1,Belfast,22.41,1900,4,0.23,2373,0.2,947,1.08,4257,30.38,1251
95GG340013,Musgrave 1,Belfast,21.79,1971,4,0.31,1694,0.15,1847,1.43,3546,6.79,3865
95GG340014,Musgrave 1,Belfast,27.99,1376,3,0.36,1360,0.18,1204,1.31,3819,23.64,1767
95GG340015,Musgrave 3,Belfast,7.01,4268,9,0.08,4212,0.06,4234,1.18,4070,49.41,478
95GG340016,Musgrave 2,Belfast,11.23,3528,8,0.16,3075,0.12,2512,1.37,3675,25.16,1626
95GG350001,New Lodge 1,Belfast,55.01,206,1,0.53,536,0.27,348,0.53,4979,77.65,82
95GG350002,New Lodge 2,Belfast,44.91,457,1,0.52,553,0.2,939,0.59,4943,30.83,1228
95GG350003,New Lodge 1,Belfast,62.04,110,1,0.67,192,0.34,103,0.74,4788,49.94,467
95GG350004,New Lodge 1,Belfast,46.56,399,1,0.56,449,0.19,1011,0.59,4948,55.98,329
95GG350005,New Lodge 1,Belfast,76.9,10,1,0.88,23,0.4,42,0.56,4966,72.61,118
95GG350006,New Lodge 3,Belfast,49.09,328,1,0.55,468,0.23,595,0.45,5015,53.96,362
95GG350007,New Lodge 3,Belfast,63.56,100,1,0.73,114,0.33,116,0.47,5010,42.59,699
95GG350008,New Lodge 3,Belfast,52.39,265,1,0.51,614,0.24,536,0.55,4974,53.17,380
95GG350009,New Lodge 2,Belfast,57.43,168,1,0.63,258,0.3,200,0.49,5003,36.15,971
95GG350010,New Lodge 2,Belfast,56.82,179,1,0.65,235,0.27,343,0.58,4957,27.47,1446
95GG350011,New Lodge 3,Belfast,54.32,226,1,0.62,278,0.26,409,0.53,4980,27.25,1466
95GG350012,New Lodge 2,Belfast,74.1,21,1,0.87,29,0.39,54,0.57,4964,60.87,250
95GG350013,New Lodge 3,Belfast,76.15,14,1,0.88,27,0.42,27,0.5,4999,52.47,397
95GG350014,New Lodge 2,Belfast,79.1,6,1,0.94,11,0.48,11,0.6,4934,44.62,622
95GG350015,New Lodge 2,Belfast,45.23,449,1,0.48,717,0.23,567,0.66,4887,30.79,1229
95GG350016,New Lodge 1,Belfast,67.43,61,1,0.77,76,0.34,105,0.57,4962,66.41,179
95GG350017,New Lodge 1,Belfast,79.4,2,1,0.99,3,0.44,23,0.56,4965,83.82,43
95GG360001,Orangefield 3,Belfast,3.76,4842,10,0.05,4627,0.03,4839,1.47,3461,11.11,3126
95GG360002,Orangefield 1,Belfast,11.51,3470,7,0.16,3084,0.07,4003,0.95,4470,16.56,2436
95GG360003,Orangefield 1,Belfast,9.27,3891,8,0.14,3323,0.09,3400,1.13,4166,7.13,3789
95GG360004,Orangefield 1,Belfast,11.49,3477,7,0.15,3248,0.07,4018,1.16,4103,17.29,2354
95GG360005,Orangefield 3,Belfast,5.77,4480,9,0.09,4107,0.06,4364,1.68,3049,15.64,2550
95GG360006,Orangefield 2,Belfast,6.62,4330,9,0.1,3875,0.07,4093,1.43,3551,14.54,2674
95GG360007,Orangefield 1,Belfast,10.33,3698,8,0.12,3630,0.06,4321,1.02,4355,45,602
95GG360008,Orangefield 1,Belfast,15.68,2760,6,0.2,2569,0.08,3769,1.17,4088,16.67,2420
95GG360009,Orangefield 2,Belfast,8.24,4064,9,0.12,3712,0.09,3321,1.21,4032,11.02,3143
95GG360010,Orangefield 2,Belfast,11.91,3399,7,0.18,2769,0.09,3315,1.26,3909,20.03,2063
95GG360011,Orangefield 2,Belfast,5.54,4521,9,0.07,4416,0.07,4211,1.56,3277,11.93,2998
95GG360012,Orangefield 2,Belfast,4.62,4692,10,0.07,4329,0.06,4394,1.42,3561,4.7,4229
95GG360013,Orangefield 2,Belfast,8.01,4106,9,0.13,3576,0.08,3644,1.4,3593,9.51,3374
95GG360014,Orangefield 3,Belfast,15.98,2707,6,0.28,1887,0.13,2216,1.28,3883,22.29,1855
95GG360015,Orangefield 3,Belfast,9.67,3820,8,0.15,3254,0.03,4942,1.25,3929,12.36,2930
95GG360016,Orangefield 3,Belfast,6.56,4337,9,0.08,4285,0.08,3748,1.62,3141,10.11,3289
95GG360017,Orangefield 3,Belfast,7.48,4190,9,0.09,4000,0.06,4432,1.3,3840,41.31,743
95GG360018,Orangefield 1,Belfast,29.28,1289,3,0.41,1082,0.18,1168,0.89,4569,36.03,975
95GG360019,Orangefield 3,Belfast,10.39,3687,8,0.11,3762,0.08,3663,1.64,3115,58.88,274
95GG370001,Ravenhill 3,Belfast,12.12,3368,7,0.25,2185,0.08,3722,1.38,3661,17.29,2352
95GG370002,Ravenhill 1,Belfast,13.88,3064,7,0.24,2223,0.12,2630,1.16,4114,51.51,421
95GG370003,Ravenhill 2,Belfast,9.41,3872,8,0.11,3808,0.03,4856,0.87,4607,54.2,360
95GG370004,Ravenhill 2,Belfast,19.55,2238,5,0.25,2105,0.11,2970,0.9,4558,34.13,1061
95GG370005,Ravenhill 1,Belfast,6.94,4286,9,0.12,3606,0.05,4492,1.31,3818,39.83,812
95GG370006,Ravenhill 3,Belfast,8.48,4029,9,0.09,4108,0.06,4457,1.49,3412,11.6,3052
95GG370007,Ravenhill 2,Belfast,16.23,2668,6,0.27,1954,0.08,3735,1.03,4339,46.57,552
95GG370008,Ravenhill 3,Belfast,11.21,3533,8,0.16,3039,0.11,2829,1.36,3720,16.73,2415
95GG370009,Ravenhill 3,Belfast,11.13,3544,8,0.16,3087,0.1,3220,1.19,4049,24.16,1710
95GG370010,Ravenhill 2,Belfast,21.56,1998,4,0.27,2016,0.16,1622,1.18,4077,48.31,509
95GG370011,Ravenhill 2,Belfast,11.58,3456,7,0.16,3169,0.08,3732,1.14,4145,21.68,1912
95GG370012,Ravenhill 1,Belfast,3.35,4895,10,0.01,4980,0.03,4935,1.73,2936,9.84,3326
95GG370013,Ravenhill 2,Belfast,8.63,4000,8,0.09,4008,0.09,3584,1.31,3820,20.52,2018
95GG370014,Ravenhill 1,Belfast,4.38,4737,10,0.09,4126,0.02,4978,1.65,3101,11.71,3035
95GG370015,Ravenhill 2,Belfast,5.79,4473,9,0.02,4932,0.04,4828,1.4,3619,16.75,2412
95GG370016,Ravenhill 1,Belfast,6.04,4431,9,0.06,4564,0.07,4176,1.45,3505,23.85,1744
95GG370017,Ravenhill 1,Belfast,6,4438,9,0.08,4272,0.04,4719,1.41,3580,40.54,774
95GG370018,Ravenhill 3,Belfast,11.33,3500,7,0.12,3590,0.07,4182,1.19,4058,58,298
95GG370019,Ravenhill 3,Belfast,17.86,2423,5,0.32,1602,0.13,2233,0.99,4406,19.83,2087
