OA_CODE,SA2011_dominant,SA2011_point
95FF150004,N00000809,N00000809
95FF150005,N00000810,N00000810
95FF150006,N00000811,N00000811
95FF150007,N00000812,N00000812
95FF160001,N00000813,N00000813
95FF160002,N00000814,N00000814
95FF160003,N00000815,N00000815
95FF160004,N00000816,N00000816
95FF160005,N00000816,N00000816
95FF160006,N00000817,N00000817
95FF160007,N00000818,N00000818
95FF170001,N00000819,N00000819
95FF170002,N00000820,N00000820
95FF170003,N00000821,N00000821
95FF170004,N00000822,N00000822
95FF170005,N00000823,N00000823
95FF170006,N00000824,N00000824
95GG010001,N00000825,N00000825
95GG010002,N00000831,N00000831
95GG010003,N00000826,N00000826
95GG010004,N00000827,N00000827
95GG010005,N00000828,N00000828
95GG010006,N00000829,N00000829
95GG010007,N00000836,N00000836
95GG010008,N00000837,N00000837
95GG010009,N00000838,N00000838
95GG010010,N00000832,N00000832
95GG010011,N00000839,N00000839
95GG010012,N00000833,N00000833
95GG010013,N00000840,N00000840
95GG010014,N00000830,N00000830
95GG010015,N00000834,N00000834
95GG010016,N00000835,N00000835
95GG020001,N00000852,N00000852
95GG020002,N00000847,N00000847
95GG020003,N00000841,N00000841
95GG020004,N00000848,N00000848
95GG020005,N00000842,N00000842
95GG020006,N00000853,N00000853
95GG020007,N00000849,N00000849
95GG020008,N00000852,N00000852
95GG020009,N00000852,N00000852
95GG020010,N00000854,N00000854
95GG020011,N00000843,N00000843
95GG020012,N00000844,N00000844
95GG020013,N00000847,N00000847
95GG020014,N00000854,N00000854
95GG020015,N00000845,N00000845
95GG020016,N00000846,N00000846
95GG020017,N00000850,N00000850
95GG020018,N00000847,N00000847
95GG020019,N00000842,N00000842
95GG020020,N00000851,N00000851
95GG030001,N00000862,N00000862
95GG030002,N00000863,N00000863
95GG030003,N00000866,N00000866
95GG030004,N00000867,N00000867
95GG030005,N00000864,N00000864
95GG030006,N00000862,N00000862
95GG030007,N00000865,N00000865
95GG030008,N00000868,N00000868
95GG030009,N00000855,N00000855
95GG030010,N00000869,N00000869
95GG030011,N00000870,N00000870
95GG030012,N00000856,N00000856
95GG030013,N00000862,N00000862
95GG030014,N00000857,N00000857
95GG030015,N00000858,N00000858
95GG030016,N00000859,N00000859
95GG030017,N00000860,N00000860
95GG030018,N00000861,N00000861
95GG030019,N00000871,N00000871
95GG030020,N00000872,N00000872
95GG040001,N00000881,N00000881
95GG040002,N00000882,N00000882
95GG040003,N00000873,N00000873
95GG040004,N00000874,N00000874
95GG040005,N00000878,N00000878
95GG040006,N00000875,N00000875
95GG040007,N00000883,N00000883
95GG040008,N00000884,N00000884
95GG040009,N00000885,N00000885
95GG040010,N00000879,N00000879
95GG040011,N00000874,N00000874
95GG040012,N00000876,N00000876
95GG040013,N00000885,N00000885
95GG040014,N00000879,N00000879
95GG040015,N00000879,N00000879
95GG040016,N00000880,N00000880
95GG040017,N00000877,N00000877
95GG050001,N00000892,N00000892
95GG050002,N00000886,N00000886
95GG050003,N00000893,N00000893
95GG050004,N00000894,N00000894
95GG050005,N00000887,N00000887
95GG050006,N00000888,N00000888
95GG050007,N00000889,N00000889
95GG050008,N00000899,N00000899
95GG050009,N00000900,N00000900
95GG050010,N00000901,N00000901
95GG050011,N00000902,N00000902
95GG050012,N00000903,N00000903
95GG050013,N00000904,N00000904
95GG050014,N00000895,N00000895
95GG050015,N00000905,N00000905
95GG050016,N00000890,N00000890
95GG050017,N00000891,N00000891
95GG050018,N00000896,N00000896
95GG050019,N00000897,N00000897
95GG050020,N00000898,N00000898
95GG060001,N00000920,N00000920
95GG060002,N00000921,N00000921
95GG060003,N00000922,N00000922
95GG060004,N00000906,N00000906
95GG060005,N00000923,N00000923
95GG060006,N00000913,N00000913
95GG060007,N00000924,N00000924
95GG060008,N00000907,N00000907
95GG060009,N00000914,N00000914
95GG060010,N00000908,N00000908
95GG060011,N00000915,N00000915
95GG060012,N00000916,N00000916
95GG060013,N00000917,N00000917
95GG060014,N00000909,N00000909
95GG060015,N00000918,N00000918
95GG060016,N00000910,N00000910
95GG060017,N00000919,N00000919
95GG060018,N00000911,N00000911
95GG060019,N00000912,N00000912
95GG060020,N00000925,N00000925
95GG070001,N00000936,N00000936
95GG070002,N00000936,N00000936
95GG070003,N00000937,N00000937
95GG070004,N00000931,N00000931
95GG070005,N00000938,N00000938
95GG070006,N00000932,N00000932
95GG070007,N00000939,N00000939
95GG070008,N00000940,N00000940
95GG070009,N00000933,N00000933
95GG070010,N00000926,N00000926
95GG070011,N00000934,N00000934
95GG070012,N00000935,N00000935
95GG070013,N00000927,N00000927
95GG070014,N00000928,N00000928
95GG070015,N00000929,N00000929
95GG070016,N00000927,N00000927
95GG070017,N00000930,N00000930
95GG080001,N00000946,N00000946
95GG080002,N00000952,N00000952
95GG080003,N00000947,N00000947
95GG080004,N00000953,N00000953
95GG080005,N00000954,N00000954
95GG080006,N00000948,N00000948
95GG080007,N00000941,N00000941
95GG080008,N00000955,N00000955
95GG080009,N00000949,N00000949
95GG080010,N00000950,N00000950
95GG080011,N00000951,N00000951
95GG080012,N00000942,N00000942
95GG080013,N00000943,N00000943
95GG080014,N00000944,N00000944
95GG080015,N00000945,N00000945
95GG080016,N00000956,N00000956
95GG090001,N00000962,N00000962
95GG090002,N00000963,N00000963
95GG090003,N00000964,N00000964
95GG090004,N00000957,N00000957
95GG090005,N00000965,N00000965
95GG090006,N00000958,N00000958
95GG090007,N00000966,N00000966
95GG090008,N00000959,N00000959
95GG090009,N00000959,N00000959
95GG090010,N00000960,N00000960
95GG090011,N00000961,N00000961
95GG090012,N00000968,N00000968
95GG090013,N00000969,N00000969
95GG090014,N00000970,N00000970
95GG090015,N00000970,N00000970
95GG090016,N00000971,N00000971
95GG090017,N00000972,N00000972
95GG090018,N00000973,N00000973
95GG090019,N00000974,N00000974
95GG090020,N00000967,N00000967
95GG100001,N00000983,N00000983
95GG100002,N00000975,N00000975
95GG100003,N00000976,N00000976
95GG100004,N00000977,N00000977
95GG100005,N00000978,N00000978
95GG100006,N00000984,N00000984
95GG100007,N00000979,N00000979
95GG100008,N00000980,N00000980
95GG100009,N00000981,N00000981
95GG100010,N00000982,N00000982
95GG100011,N00000985,N00000985
95GG100012,N00000986,N00000986
95GG100013,N00000987,N00000987
95GG100014,N00000988,N00000988
95GG100015,N00000989,N00000989
95GG100016,N00000990,N00000990
95GG110001,N00001001,N00001001
95GG110002,N00000995,N00000995
95GG110003,N00000996,N00000996
95GG110004,N00001002,N00001002
95GG110005,N00001003,N00001003
95GG110006,N00001002,N00001002
95GG110007,N00001002,N00001002
95GG110008,N00001002,N00001002
95GG110009,N00000991,N00000991
95GG110010,N00000992,N00000992
95GG110011,N00000997,N00000997
95GG110012,N00000992,N00000992
95GG110013,N00000993,N00000993
95GG110014,N00000998,N00000998
95GG110015,N00000999,N00000999
95GG110016,N00000994,N00000994
95GG110017,N00000994,N00000994
95GG110018,N00001000,N00001000
95GG110019,N00000994,N00000994
95GG110020,N00001004,N00001004
95GG110021,N00001005,N00001005
95GG120001,N00001016,N00001016
95GG120002,N00001027,N00001027
95GG120003,N00001006,N00001006
95GG120004,N00001007,N00001007
95GG120005,N00001017,N00001017
95GG120006,N00001018,N00001018
95GG120007,N00001010,N00001010
95GG120008,N00001011,N00001011
95GG120009,N00001022,N00001022
95GG120010,N00001019,N00001019
95GG120011,N00001012,N00001012
95GG120012,N00001008,N00001008
95GG120013,N00001013,N00001013
95GG120014,N00001007,N00001007
95GG120015,N00001014,N00001014
95GG120016,N00001009,N00001009
95GG120017,N00001015,N00001015
95GG120018,N00001028,N00001028
95GG120019,N00001029,N00001029
95GG120020,N00001022,N00001022
95GG120021,N00001023,N00001023
95GG120022,N00001024,N00001024
95GG120023,N00001030,N00001030
95GG120024,N00001025,N00001025
95GG120025,N00001030,N00001030
95GG120026,N00001026,N00001026
95GG120027,N00001022,N00001022
95GG120028,N00001020,N00001020
95GG120029,N00001031,N00001031
95GG120030,N00001021,N00001021
95GG130001,N00001037,N00001037
95GG130002,N00001032,N00001032
95GG130003,N00001038,N00001038
95GG130004,N00001033,N00001033
95GG130005,N00001034,N00001034
95GG130006,N00001038,N00001038
95GG130007,N00001035,N00001035
95GG130008,N00001036,N00001036
95GG130009,N00001036,N00001036
95GG130010,N00001039,N00001039
95GG130011,N00001041,N00001041
95GG130012,N00001042,N00001042
95GG130013,N00001043,N00001043
95GG130014,N00001044,N00001044
95GG130015,N00001042,N00001042
95GG130016,N00001045,N00001045
95GG130017,N00001040,N00001040
95GG140001,N00001051,N00001051
95GG140002,N00001046,N00001046
95GG140003,N00001047,N00001047
95GG140004,N00001052,N00001052
95GG140005,N00001048,N00001048
95GG140006,N00001049,N00001049
95GG140007,N00001050,N00001050
95GG140008,N00001056,N00001056
95GG140009,N00001057,N00001057
95GG140010,N00001053,N00001053
95GG140011,N00001058,N00001058
95GG140012,N00001059,N00001059
95GG140013,N00001054,N00001054
95GG140014,N00001055,N00001055
95GG140015,N00001060,N00001060
95GG150001,N00001066,N00001066
95GG150002,N00001072,N00001072
95GG150003,N00001061,N00001061
95GG150004,N00001067,N00001067
95GG150005,N00001073,N00001073
95GG150006,N00001068,N00001068
95GG150007,N00001062,N00001062
95GG150008,N00001063,N00001063
95GG150009,N00001064,N00001064
95GG150010,N00001064,N00001064
95GG150011,N00001065,N00001065
95GG150012,N00001074,N00001074
95GG150013,N00001075,N00001075
95GG150014,N00001076,N00001076
95GG150015,N00001077,N00001077
95GG150016,N00001069,N00001069
95GG150017,N00001070,N00001070
95GG150018,N00001078,N00001078
95GG150019,N00001071,N00001071
95GG150020,N00001070,N00001070
95GG160001,N00001086,N00001086
95GG160002,N00001079,N00001079
95GG160003,N00001087,N00001087
95GG160004,N00001083,N00001083
95GG160005,N00001088,N00001088
95GG160006,N00001084,N00001084
95GG160007,N00001085,N00001085
95GG160008,N00001089,N00001089
95GG160009,N00001090,N00001090
95GG160010,N00001085,N00001085
95GG160011,N00001085,N00001085
95GG160012,N00001080,N00001080
95GG160013,N00001079,N00001079
95GG160014,N00001079,N00001079
95GG160015,N00001081,N00001081
95GG160016,N00001082,N00001082
95GG170001,N00001101,N00001101
95GG170002,N00001096,N00001096
95GG170003,N00001091,N00001091
95GG170004,N00001097,N00001097
95GG170005,N00001092,N00001092
95GG170006,N00001093,N00001093
95GG170007,N00001098,N00001098
95GG170008,N00001102,N00001102
95GG170009,N00001102,N00001102
95GG170010,N00001103,N00001103
95GG170011,N00001094,N00001094
95GG170012,N00001095,N00001095
95GG170013,N00001099,N00001099
95GG170014,N00001100,N00001100
95GG170015,N00001104,N00001104
95GG170016,N00001105,N00001105
95GG180001,N00001113,N00001113
95GG180002,N00001106,N00001106
95GG180003,N00001107,N00001107
95GG180004,N00001114,N00001114
95GG180005,N00001113,N00001113
95GG180006,N00001115,N00001115
95GG180007,N00001116,N00001116
95GG180008,N00001108,N00001108
95GG180009,N00001109,N00001109
95GG180010,N00001110,N00001110
95GG180011,N00001111,N00001111
95GG180012,N00001113,N00001113
95GG180013,N00001113,N00001113
95GG180014,N00001112,N00001112
95GG190001,N00001117,N00001117
95GG190002,N00001124,N00001124
95GG190003,N00001118,N00001118
95GG190004,N00001119,N00001119
95GG190005,N00001120,N00001120
95GG190006,N00001125,N00001125
95GG190007,N00001126,N00001126
95GG190008,N00001127,N00001127
95GG190009,N00001128,N00001128
95GG190010,N00001124,N00001124
95GG190011,N00001121,N00001121
95GG190012,N00001127,N00001127
95GG190013,N00001125,N00001125
95GG190014,N00001129,N00001129
95GG190015,N00001122,N00001122
95GG190016,N00001117,N00001117
95GG190017,N00001123,N00001123
95GG190018,N00001117,N00001117
95GG200001,N00001137,N00001137
95GG200002,N00001130,N00001130
95GG200003,N00001131,N00001131
95GG200004,N00001132,N00001132
95GG200005,N00001138,N00001138
95GG200006,N00001133,N00001133
95GG200007,N00001134,N00001134
95GG200008,N00001139,N00001139
95GG200009,N00001133,N00001133
95GG200010,N00001140,N00001140
95GG200011,N00001135,N00001135
95GG200012,N00001141,N00001141
95GG200013,N00001142,N00001142
95GG200014,N00001143,N00001143
95GG200015,N00001136,N00001136
95GG200016,N00001144,N00001144
95GG210001,N00001150,N00001150
95GG210002,N00001155,N00001155
95GG210003,N00001156,N00001156
95GG210004,N00001156,N00001156
95GG210005,N00001156,N00001156
95GG210006,N00001156,N00001156
95GG210007,N00001145,N00001145
95GG210008,N00001151,N00001151
95GG210009,N00001152,N00001152
95GG210010,N00001153,N00001153
95GG210011,N00001154,N00001154
95GG210012,N00001146,N00001146
95GG210013,N00001147,N00001147
95GG210014,N00001148,N00001148
95GG210015,N00001149,N00001149
95GG220001,N00001163,N00001163
95GG220002,N00001157,N00001157
95GG220003,N00001158,N00001158
95GG220004,N00001159,N00001159
95GG220005,N00001160,N00001160
95GG220006,N00001161,N00001161
95GG220007,N00001168,N00001168
95GG220008,N00001169,N00001169
95GG220009,N00001170,N00001170
95GG220010,N00001162,N00001162
95GG220011,N00001171,N00001171
95GG220012,N00001164,N00001164
95GG220013,N00001172,N00001172
95GG220014,N00001165,N00001165
95GG220015,N00001166,N00001166
95GG220016,N00001167,N00001167
95GG220017,N00001166,N00001166
95GG230001,N00001183,N00001183
95GG230002,N00001178,N00001178
95GG230003,N00001179,N00001179
95GG230004,N00001180,N00001180
95GG230005,N00001181,N00001181
95GG230006,N00001182,N00001182
95GG230007,N00001184,N00001184
95GG230008,N00001173,N00001173
95GG230009,N00001185,N00001185
95GG230010,N00001174,N00001174
95GG230011,N00001186,N00001186
95GG230012,N00001175,N00001175
95GG230013,N00001176,N00001176
95GG230014,N00001187,N00001187
95GG230015,N00001177,N00001177
95GG240001,N00001188,N00001188
95GG240002,N00001197,N00001197
95GG240003,N00001198,N00001198
95GG240004,N00001189,N00001189
95GG240005,N00001188,N00001188
95GG240006,N00001199,N00001199
95GG240007,N00001191,N00001191
95GG240008,N00001192,N00001192
95GG240009,N00001193,N00001193
95GG240010,N00001194,N00001194
95GG240011,N00001190,N00001190
95GG240012,N00001195,N00001195
95GG240013,N00001196,N00001196
95GG240014,N00001200,N00001200
95GG240015,N00001201,N00001201
95GG240016,N00001188,N00001188
95GG250001,N00001206,N00001206
95GG250002,N00001202,N00001202
95GG250003,N00001203,N00001203
95GG250004,N00001204,N00001204
95GG250005,N00001204,N00001204
95GG250006,N00001205,N00001205
95GG250007,N00001207,N00001207
95GG250008,N00001205,N00001205
95GG250009,N00001212,N00001212
95GG250010,N00001213,N00001213
95GG250011,N00001208,N00001208
95GG250012,N00001214,N00001214
95GG250013,N00001209,N00001209
95GG250014,N00001210,N00001210
95GG250015,N00001215,N00001215
95GG250016,N00001216,N00001216
95GG250017,N00001211,N00001211
95GG260001,N00001224,N00001224
95GG260002,N00001217,N00001217
95GG260003,N00001225,N00001225
95GG260004,N00001226,N00001226
95GG260005,N00001218,N00001218
95GG260006,N00001219,N00001219
95GG260007,N00001220,N00001220
95GG260008,N00001221,N00001221
95GG260009,N00001222,N00001222
95GG260010,N00001227,N00001227
95GG260011,N00001228,N00001228
95GG260012,N00001223,N00001223
95GG260013,N00001229,N00001229
95GG260014,N00001230,N00001230
95GG270001,N00001238,N00001238
95GG270002,N00001239,N00001239
95GG270003,N00001235,N00001235
95GG270004,N00001235,N00001235
95GG270005,N00001236,N00001236
95GG270006,N00001241,N00001241
95GG270007,N00001240,N00001240
95GG270008,N00001240,N00001240
95GG270009,N00001240,N00001240
95GG270010,N00001231,N00001231
95GG270011,N00001232,N00001232
95GG270012,N00001233,N00001233
95GG270013,N00001234,N00001234
95GG270014,N00001242,N00001242
95GG270015,N00001243,N00001243
95GG270016,N00001244,N00001244
95GG270017,N00001237,N00001237
95GG270018,N00001245,N00001245
95GG270019,N00001235,N00001235
95GG280001,N00001246,N00001246
95GG280002,N00001257,N00001257
95GG280003,N00001251,N00001251
95GG280004,N00001252,N00001252
95GG280005,N00001253,N00001253
95GG280006,N00001247,N00001247
95GG280007,N00001258,N00001258
95GG280008,N00001259,N00001259
95GG280009,N00001260,N00001260
95GG280010,N00001261,N00001261
95GG280011,N00001262,N00001262
95GG280012,N00001248,N00001248
95GG280013,N00001249,N00001249
95GG280014,N00001254,N00001254
95GG280015,N00001250,N00001250
95GG280016,N00001255,N00001255
95GG280017,N00001256,N00001256
95GG290001,N00001263,N00001263
95GG290002,N00001264,N00001264
95GG290003,N00001265,N00001265
95GG290004,N00001266,N00001266
95GG290005,N00001265,N00001265
95GG290006,N00001269,N00001269
95GG290007,N00001265,N00001265
95GG290008,N00001269,N00001269
95GG290009,N00001270,N00001270
95GG290010,N00001271,N00001271
95GG290011,N00001267,N00001267
95GG290012,N00001272,N00001272
95GG290013,N00001268,N00001268
95GG290014,N00001271,N00001271
95GG290015,N00001273,N00001273
95GG290016,N00001271,N00001271
95GG290017,N00001271,N00001271
95GG300001,N00001286,N00001286
95GG300002,N00001274,N00001274
95GG300003,N00001275,N00001275
95GG300004,N00001276,N00001276
95GG300005,N00001281,N00001281
95GG300006,N00001282,N00001282
95GG300007,N00001283,N00001283
95GG300008,N00001287,N00001287
95GG300009,N00001288,N00001288
95GG300010,N00001284,N00001284
95GG300011,N00001289,N00001289
95GG300012,N00001285,N00001285
95GG300013,N00001290,N00001290
95GG300014,N00001277,N00001277
95GG300015,N00001278,N00001278
95GG300016,N00001279,N00001279
95GG300017,N00001280,N00001280
95GG310001,N00001291,N00001291
95GG310002,N00001296,N00001296
95GG310003,N00001297,N00001297
95GG310004,N00001298,N00001298
95GG310005,N00001299,N00001299
95GG310006,N00001292,N00001292
95GG310007,N00001302,N00001302
95GG310008,N00001303,N00001303
95GG310009,N00001304,N00001304
95GG310010,N00001305,N00001305
95GG310011,N00001300,N00001300
95GG310012,N00001306,N00001306
95GG310013,N00001307,N00001307
95GG310014,N00001293,N00001293
95GG310015,N00001301,N00001301
95GG310016,N00001294,N00001294
95GG310017,N00001295,N00001295
95GG320001,N00001319,N00001319
95GG320002,N00001320,N00001320
95GG320003,N00001321,N00001321
95GG320004,N00001308,N00001308
95GG320005,N00001309,N00001309
95GG320006,N00001310,N00001310
95GG320007,N00001314,N00001314
95GG320008,N00001311,N00001311
95GG320009,N00001312,N00001312
95GG320010,N00001315,N00001315
95GG320011,N00001316,N00001316
95GG320012,N00001313,N00001313
95GG320013,N00001317,N00001317
95GG320014,N00001318,N00001318
95GG320015,N00001322,N00001322
95GG320016,N00001316,N00001316
95GG320017,N00001323,N00001323
95GG320018,N00001324,N00001324
95GG330001,N00001328,N00001328
95GG330002,N00001328,N00001328
95GG330003,N00001325,N00001325
95GG330004,N00001328,N00001328
95GG330005,N00001325,N00001325
95GG330006,N00001331,N00001331
95GG330007,N00001325,N00001325
95GG330008,N00001329,N00001329
95GG330009,N00001330,N00001330
95GG330010,N00001326,N00001326
95GG330011,N00001327,N00001327
95GG330012,N00001332,N00001332
95GG330013,N00001333,N00001333
95GG330014,N00001334,N00001334
95GG330015,N00001335,N00001335
95GG330016,N00001336,N00001336
95GG330017,N00001337,N00001337
95GG340001,N00001346,N00001346
95GG340002,N00001341,N00001341
95GG340003,N00001347,N00001347
95GG340004,N00001342,N00001342
95GG340005,N00001343,N00001343
95GG340006,N00001346,N00001346
95GG340007,N00001346,N00001346
95GG340008,N00001348,N00001348
95GG340009,N00001344,N00001344
95GG340010,N00001338,N00001338
95GG340011,N00001340,N00001340
95GG340012,N00001340,N00001340
95GG340013,N00001339,N00001339
95GG340014,N00001340,N00001340
95GG340015,N00001349,N00001349
95GG340016,N00001345,N00001345
95GG350001,N00001350,N00001350
95GG350002,N00001354,N00001354
95GG350003,N00001351,N00001351
95GG350004,N00001352,N00001352
95GG350005,N00001353,N00001353
95GG350006,N00001358,N00001358
95GG350007,N00001359,N00001359
95GG350008,N00001360,N00001360
95GG350009,N00001355,N00001355
95GG350010,N00001356,N00001356
95GG350011,N00001361,N00001361
95GG350012,N00001357,N00001357
95GG350013,N00001362,N00001362
95GG350014,N00001354,N00001354
95GG350015,N00001354,N00001354
95GG350016,N00001350,N00001350
95GG350017,N00001350,N00001350
95GG360001,N00001373,N00001373
95GG360002,N00001363,N00001363
95GG360003,N00001364,N00001364
95GG360004,N00001365,N00001365
95GG360005,N00001374,N00001374
95GG360006,N00001368,N00001368
95GG360007,N00001366,N00001366
95GG360008,N00001364,N00001364
95GG360009,N00001369,N00001369
95GG360010,N00001370,N00001370
95GG360011,N00001371,N00001371
95GG360012,N00001372,N00001372
95GG360013,N00001372,N00001372
95GG360014,N00001375,N00001375
95GG360015,N00001376,N00001376
95GG360016,N00001377,N00001377
95GG360017,N00001378,N00001378
95GG360018,N00001367,N00001367
95GG360019,N00001379,N00001379
95GG370001,N00001392,N00001392
95GG370002,N00001380,N00001380
95GG370003,N00001386,N00001386
95GG370004,N00001386,N00001386
95GG370005,N00001381,N00001381
95GG370006,N00001393,N00001393
95GG370007,N00001387,N00001387
95GG370008,N00001394,N00001394
95GG370009,N00001395,N00001395
95GG370010,N00001388,N00001388
95GG370011,N00001389,N00001389
95GG370012,N00001382,N00001382
95GG370013,N00001390,N00001390
95GG370014,N00001383,N00001383
95GG370015,N00001391,N00001391
95GG370016,N00001384,N00001384
95GG370017,N00001385,N00001385
95GG370018,N00001396,N00001396
95GG370019,N00001397,N00001397
95GG370020,N00001398,N00001398
95GG380001,N00001399,N00001399
95GG380002,N00001399,N00001399
95GG380003,N00001409,N00001409
95GG380004,N00001410,N00001410
95GG380005,N00001404,N00001404
95GG380006,N00001411,N00001411
95GG380007,N00001400,N00001400
95GG380008,N00001405,N00001405
95GG380009,N00001406,N00001406
95GG380010,N00001401,N00001401
95GG380011,N00001407,N00001407
95GG380012,N00001402,N00001402
95GG380013,N00001408,N00001408
95GG380014,N00001403,N00001403
95GG380015,N00001412,N00001412
95GG380016,N00001413,N00001413
95GG380017,N00001404,N00001404
95GG380018,N00001414,N00001414
95GG390001,N00001426,N00001426
95GG390002,N00001415,N00001415
95GG390003,N00001420,N00001420
95GG390004,N00001427,N00001427
95GG390005,N00001428,N00001428
95GG390006,N00001421,N00001421
95GG390007,N00001429,N00001429
95GG390008,N00001422,N00001422
95GG390009,N00001429,N00001429
95GG390010,N00001429,N00001429
95GG390011,N00001416,N00001416
95GG390012,N00001417,N00001417
95GG390013,N00001418,N00001418
95GG390014,N00001418,N00001418
95GG390015,N00001416,N00001416
95GG390016,N00001423,N00001423
95GG390017,N00001419,N00001419
95GG390018,N00001430,N00001430
95GG390019,N00001424,N00001424
95GG390020,N00001421,N00001421
95GG390021,N00001421,N00001421
95GG390022,N00001421,N00001421
95GG390023,N00001425,N00001425
95GG390024,N00001429,N00001429
95GG400001,N00001431,N00001431
95GG400002,N00001432,N00001432
95GG400003,N00001433,N00001433
95GG400004,N00001437,N00001437
95GG400005,N00001434,N00001434
95GG400006,N00001438,N00001438
95GG400007,N00001439,N00001439
95GG400008,N00001440,N00001440
95GG400009,N00001432,N00001432
95GG400010,N00001435,N00001435
95GG400011,N00001436,N00001436
95GG400012,N00001441,N00001441
95GG400013,N00001442,N00001442
95GG400014,N00001443,N00001443
95GG400015,N00001444,N00001444
95GG410001,N00001456,N00001456
95GG410002,N00001451,N00001451
95GG410003,N00001445,N00001445
95GG410004,N00001446,N00001446
95GG410005,N00001447,N00001447
95GG410006,N00001448,N00001448
95GG410007,N00001449,N00001449
95GG410008,N00001452,N00001452
95GG410009,N00001450,N00001450
95GG410010,N00001453,N00001453
95GG410011,N00001454,N00001454
95GG410012,N00001457,N00001457
95GG410013,N00001458,N00001458
95GG410014,N00001459,N00001459
95GG410015,N00001460,N00001460
95GG410016,N00001455,N00001455
95GG410017,N00001460,N00001460
95GG420001,N00001468,N00001468
95GG420002,N00001469,N00001469
95GG420003,N00001470,N00001470
95GG420004,N00001466,N00001466
95GG420005,N00001471,N00001471
95GG420006,N00001467,N00001467
95GG420007,N00001473,N00001473
95GG420008,N00001472,N00001472
95GG420009,N00001474,N00001474
95GG420010,N00001475,N00001475
95GG420011,N00001476,N00001476
95GG420012,N00001477,N00001477
95GG420013,N00001478,N00001478
95GG420014,N00001479,N00001479
95GG420015,N00001461,N00001461
95GG420016,N00001462,N00001462
95GG420017,N00001463,N00001463
95GG420018,N00001464,N00001464
95GG420019,N00001465,N00001465
95GG430001,N00001480,N00001480
95GG430002,N00001481,N00001481
95GG430003,N00001482,N00001482
95GG430004,N00001483,N00001483
95GG430005,N00001480,N00001480
95GG430006,N00001485,N00001485
95GG430007,N00001486,N00001486
95GG430008,N00001487,N00001487
95GG430009,N00001488,N00001488
95GG430010,N00001484,N00001484
95GG430011,N00001489,N00001489
95GG430012,N00001491,N00001491
95GG430013,N00001492,N00001492
95GG430014,N00001490,N00001490
95GG430015,N00001493,N00001493
95GG430016,N00001494,N00001494
95GG430017,N00001495,N00001495
95GG430018,N00001496,N00001496
95GG430019,N00001497,N00001497
95GG440001,N00001498,N00001498
95GG440002,N00001499,N00001499
95GG440003,N00001500,N00001500
95GG440004,N00001501,N00001501
95GG440005,N00001506,N00001506
95GG440006,N00001502,N00001502
95GG440007,N00001507,N00001507
95GG440008,N00001508,N00001508
95GG440009,N00001509,N00001509
95GG440010,N00001510,N00001510
95GG440011,N00001511,N00001511
95GG440012,N00001512,N00001512
95GG440013,N00001513,N00001513
95GG440014,N00001511,N00001511
95GG440015,N00001503,N00001503
95GG440016,N00001504,N00001504
95GG440017,N00001505,N00001505
95GG440018,N00001501,N00001501
95GG450001,N00001519,N00001519
95GG450002,N00001514,N00001514
95GG450003,N00001520,N00001520
95GG450004,N00001521,N00001521
95GG450005,N00001525,N00001525
95GG450006,N00001526,N00001526
95GG450007,N00001527,N00001527
95GG450008,N00001528,N00001528
95GG450009,N00001529,N00001529
95GG450010,N00001522,N00001522
95GG450011,N00001515,N00001515
95GG450012,N00001530,N00001530
95GG450013,N00001516,N00001516
95GG450014,N00001517,N00001517
95GG450015,N00001518,N00001518
95GG450016,N00001523,N00001523
95GG450017,N00001524,N00001524
95GG460001,N00001535,N00001535
95GG460002,N00001531,N00001531
95GG460003,N00001536,N00001536
95GG460004,N00001532,N00001532
95GG460005,N00001537,N00001537
95GG460006,N00001538,N00001538
95GG460007,N00001539,N00001539
95GG460008,N00001533,N00001533
95GG460009,N00001540,N00001540
95GG460010,N00001541,N00001541
95GG460011,N00001534,N00001534
95GG460012,N00001542,N00001542
95GG460013,N00001543,N00001543
95GG460014,N00001533,N00001533
95GG460015,N00001544,N00001544
95GG470001,N00001558,N00001558
95GG470002,N00001552,N00001552
95GG470003,N00001559,N00001559
95GG470004,N00001553,N00001553
95GG470005,N00001554,N00001554
95GG470006,N00001545,N00001545
95GG470007,N00001555,N00001555
95GG470008,N00001546,N00001546
95GG470009,N00001556,N00001556
95GG470010,N00001547,N00001547
95GG470011,N00001548,N00001548
95GG470012,N00001549,N00001549
95GG470013,N00001557,N00001557
95GG470014,N00001550,N00001550
95GG470015,N00001551,N00001551
95GG470016,N00001560,N00001560
95GG470017,N00001561,N00001561
95GG470018,N00001562,N00001562
95GG470019,N00001563,N00001563
95GG470020,N00001564,N00001564
95GG480001,N00001565,N00001565
95GG480002,N00001574,N00001574
95GG480003,N00001570,N00001570
95GG480004,N00001575,N00001575
95GG480005,N00001571,N00001571
95GG480006,N00001572,N00001572
95GG480007,N00001576,N00001576
95GG480008,N00001577,N00001577
95GG480009,N00001566,N00001566
95GG480010,N00001573,N00001573
95GG480011,N00001578,N00001578
95GG480012,N00001567,N00001567
95GG480013,N00001568,N00001568
95GG480014,N00001569,N00001569
95GG490001,N00001592,N00001592
95GG490002,N00001585,N00001585
95GG490003,N00001586,N00001586
95GG490004,N00001587,N00001587
95GG490005,N00001588,N00001588
95GG490006,N00001589,N00001589
95GG490007,N00001579,N00001579
