SA2011,nimdm2005_Income_score,nimdm2005_Employment_score,nimdm2005_EDM_score,nimdm2005_dep_pct,nimdm2010_Income Deprivation_score,nimdm2010_Employment Deprivation_score,nimdm2010_MDM_score,nimdm2010_dep_pct,nimdm2017_dep_pct,nimdm2017_income_pct,nimdm2017_employ_pct
N00003472,0.09,0.07,7.809999999999999,19.458275243975297,0.08,0.04,6.4,13.10495917147978,20.105820105820104,26.5652557319224,23.412698412698408
N00003473,0.16,0.12,14.12,38.91655048795061,0.22,0.15,17.41,50.54769966142202,32.4294532627866,16.776895943562607,47.398589065255734
N00003474,0.01,0.04,5.11,9.619597689703241,0.049999999999999996,0.030000000000000002,3.54,3.0073690499900385,6.812169312169313,22.685185185185187,1.9400352733686121
N00003475,0.05421289342370238,0.07736131972889286,7.94349329261818,19.794255573670565,0.07263868027110712,0.07421289342370237,6.468785587250165,13.166977488028111,12.411816578483247,28.08641975308642,8.619929453262786
N00003476,0.04971988727220638,0.1047899154541548,9.348543377242123,24.89912103337331,0.04985994363610319,0.054929971818051586,4.855910366365329,7.41167210443929,17.041446208112877,42.548500881834215,9.14902998236331
N00003477,0.04,0.11,4.99,9.161521609241186,0.18,0.09,11.46,30.63134833698466,16.049382716049386,16.710758377425037,21.119929453262788
N00003478,0.03777188179862048,0.07388594089931025,6.236710792857,13.721890299125244,0.05777188179862048,0.059257293932873496,4.28767897330022,6.007526769281167,10.64814814814815,23.831569664902997,15.454144620811283
N00003479,0.05000000000000001,0.08,7.050000000000001,16.411073491336392,0.04,0.030000000000000002,3.11,1.9119697271459901,3.615520282186946,19.047619047619047,3.5052910052910002
N00003480,0.26,0.21,26.1,68.91057558255326,0.31,0.17,21.12,59.35072694682334,75.30864197530865,66.0493827160494,78.59347442680776
N00003481,0.08,0.04,7.53,18.26329416450906,0.1,0.02,4.6,6.452897829117711,10.515873015873012,33.686067019400355,19.70899470899471
N00003482,0.23,0.19,22.72,61.16311491734713,0.26,0.12,16.05,46.30551682931687,45.370370370370374,4.5855379188712515,66.02733686067019
N00003483,0.38,0.24,32.93,79.66540529774946,0.48,0.2,41.05,87.73152758414659,67.50440917107584,51.388888888888886,67.32804232804233
N00003484,0.39,0.21,30.93,77.09619597689704,0.59,0.18,42.73,89.2850029874527,92.92328042328042,97.90564373897708,79.21075837742504
N00003485,0.24,0.15,17.27,47.52041426010754,0.21,0.11000000000000001,25.21,67.89484166500696,53.35097001763669,22.178130511463845,56.76807760141094
N00003486,0.3,0.12,17.95,49.33280223063134,0.37,0.14,35.26,82.39394542919737,74.47089947089947,63.42592592592593,72.8615520282187
N00003487,0.32,0.21,26.8,70.38438558056164,0.56,0.2,42.39,88.9663413662617,77.05026455026454,76.7636684303351,76.03615520282187
N00003488,0.44,0.19,31.329999999999995,77.75343557060347,0.56,0.19,41.02,87.69169488149771,84.67813051146385,81.67989417989419,79.93827160493827
N00003489,0.4564137907900923,0.23006896233637694,36.453999522002825,81.58451694409966,0.6301379246727539,0.220068962336377,46.69082700295203,90.30636808178028,86.83862433862434,83.13492063492063,83.68606701940035
N00003490,0.58,0.27,50.279999999999994,93.42760406293567,0.59,0.22,46.46,92.03345947022505,95.56878306878306,50.63932980599648,97.59700176366843
N00003491,0.5386850097105721,0.18819571706016347,38.84779766174662,81.03256782006662,0.5386850097105721,0.2042201816926839,42.26498429417258,86.49117095451481,96.25220458553791,84.58994708994709,98.10405643738977
N00003492,0.46,0.25,41.28,88.09002190798645,0.48,0.22000000000000003,41.89,88.52818163712408,87.08112874779542,76.41093474426808,87.74250440917108
N00003493,0.52369731906491,0.18913181529838644,38.48222380526533,85.67690106100162,0.47173592880395115,0.20630213018599503,41.136269107670635,88.02529666504667,87.61022927689595,72.53086419753086,87.05908289241623
N00003494,0.18053397848593955,0.1594781541167981,16.626067741023654,45.009889929462446,0.21895630823359616,0.15368931899062638,19.347706074289686,52.131580763417645,44.86331569664903,30.99647266313933,66.33597883597884
