DZ2021_cd,SA2011_dominant,SA2011_point
N20000931,N00001615,N00001614
N20000932,N00001513,N00001513
N20000933,N00001512,N00001510
N20000934,N00001617,N00001622
N20000935,N00001375,N00001375
N20000936,N00001511,N00001511
N20000937,N00001365,N00001513
N20000938,N00001605,N00001604
N20000939,N00001618,N00001617
N20000940,N00001607,N00001607
N20000941,N00001608,N00001604
N20000942,N00001396,N00001396
N20000943,N00001606,N00001609
N20000944,N00001396,N00001396
N20000945,N00004291,N00000968
N20000946,N00004291,N00004291
N20000947,N00000970,N00000970
N20000948,N00000969,N00000973
N20000949,N00000974,N00000972
N20000950,N00000967,N00000963
N20000951,N00001447,N00001447
N20000952,N00001445,N00001445
N20000953,N00001446,N00001446
N20000954,N00001447,N00001447
N20000955,N00001445,N00001445
N20000956,N00000957,N00000957
N20000957,N00000962,N00000962
N20000958,N00000958,N00000958
N20000959,N00001449,N00001448
N20000960,N00001445,N00001445
N20000961,N00000960,N00000960
N20000962,N00000959,N00000959
N20000963,N00000960,N00000960
N20000964,N00000871,N00000872
N20000965,N00001454,N00001453
N20000966,N00000866,N00000866
N20000967,N00001459,N00001459
N20000968,N00001460,N00001460
N20000969,N00000862,N00000862
N20000970,N00001460,N00001458
N20000971,N00001457,N00001457
N20000972,N00000862,N00000864
N20000973,N00000862,N00000862
N20000974,N00001456,N00001456
N20000975,N00000857,N00000857
N20000976,N00000858,N00000858
N20000977,N00001075,N00001075
N20000978,N00001071,N00001071
N20000979,N00001069,N00001069
N20000980,N00001073,N00001073
N20000981,N00001066,N00001078
N20000982,N00001451,N00001451
N20000983,N00001282,N00001282
N20000984,N00000860,N00000860
N20000985,N00000857,N00000861
N20000986,N00001072,N00001072
N20000987,N00001287,N00001287
N20000988,N00001061,N00001068
N20000989,N00001921,N00001921
N20000990,N00001286,N00001286
N20000991,N00001920,N00001920
N20000992,N00001852,N00001852
N20000993,N00001285,N00001284
N20000994,N00001290,N00001290
N20000995,N00001283,N00001283
N20000996,N00001922,N00001922
N20000997,N00001062,N00001068
N20000998,N00001853,N00001853
N20000999,N00001924,N00001924
N20001000,N00001280,N00001280
N20001001,N00001064,N00001064
N20001002,N00001847,N00001847
N20001003,N00001275,N00001275
N20001004,N00001926,N00001926
N20001005,N00001063,N00001063
N20001006,N00001850,N00001850
N20001007,N00001755,N00001755
N20001008,N00001851,N00001851
N20001009,N00001274,N00001274
N20001010,N00001065,N00001065
N20001011,N00001928,N00001928
N20001012,N00001886,N00001886
N20001013,N00001759,N00001929
N20001014,N00001887,N00001887
N20001015,N00001929,N00001929
N20001016,N00001929,N00001929
N20001017,N00001376,N00001376
N20001018,N00001367,N00001367
N20001019,N00001363,N00001363
N20001020,N00001377,N00001377
N20001021,N00001386,N00001386
N20001022,N00001368,N00001373
N20001023,N00001364,N00001369
N20001024,N00001381,N00001393
N20001025,N00001369,N00001369
N20001026,N00001398,N00001398
N20001027,N00001392,N00001392
N20001028,N00001366,N00001364
N20001029,N00001386,N00001387
N20001030,N00001394,N00001394
N20001031,N00001372,N00001372
N20001032,N00001389,N00001389
N20001033,N00001372,N00001370
N20001034,N00001881,N00001881
N20001035,N00001382,N00001382
N20001036,N00001391,N00001391
N20001037,N00001384,N00001383
N20001038,N00001881,N00001881
N20001039,N00001892,N00001888
N20001040,N00001881,N00001881
N20001041,N00001810,N00001811
N20001042,N00001383,N00001383
N20001043,N00001881,N00001881
N20001044,N00001812,N00001814
N20001045,N00001890,N00001890
N20001046,N00001814,N00001816
N20001047,N00001932,N00001932
N20001048,N00001884,N00001884
N20001049,N00001883,N00001866
N20001050,N00001868,N00001868
N20001051,N00001880,N00001880
N20001052,N00001867,N00001867
N20001053,N00001405,N00001405
N20001054,N00001817,N00001817
N20001055,N00001808,N00001808
N20001056,N00001818,N00001818
N20001057,N00001408,N00001408
N20001058,N00001806,N00001806
N20001059,N00001401,N00001402
N20001060,N00001882,N00001882
N20001061,N00001407,N00001407
N20001062,N00001402,N00001402
N20001063,N00001413,N00001939
N20001064,N00001401,N00001401
N20001065,N00001938,N00001938
N20001066,N00001401,N00001401
N20001067,N00001891,N00001891
N20001068,N00001935,N00001935
N20001069,N00001941,N00001941
N20001070,N00001399,N00001399
N20001071,N00001940,N00001940
N20001072,N00001409,N00001404
N20001073,N00001414,N00001414
N20001074,N00001864,N00001864
N20001075,N00001936,N00001936
N20001076,N00001937,N00001411
N20001077,N00001839,N00001839
N20001078,N00001865,N00001865
N20001079,N00001416,N00001416
N20001080,N00001416,N00001416
N20001081,N00001418,N00001418
N20001082,N00001415,N00001415
N20001083,N00001418,N00001415
N20001084,N00001417,N00001417
N20001085,N00001416,N00001416
N20001086,N00001423,N00001423
N20001087,N00001416,N00001416
N20001088,N00001421,N00001421
N20001089,N00001421,N00001421
N20001090,N00001421,N00001421
N20001091,N00001420,N00001420
N20001092,N00000985,N00000985
N20001093,N00001426,N00001421
N20001094,N00001028,N00001420
N20001095,N00001428,N00001427
N20001096,N00000986,N00000986
N20001097,N00001425,N00001425
N20001098,N00000983,N00000987
N20001099,N00001429,N00001429
N20001100,N00001429,N00001429
N20001101,N00001030,N00001425
N20001102,N00001429,N00001429
N20001103,N00001022,N00001022
N20001104,N00000990,N00000990
N20001105,N00001026,N00001024
N20001106,N00000984,N00000988
N20001107,N00001025,N00001025
N20001108,N00001429,N00001429
N20001109,N00001029,N00001029
N20001110,N00001022,N00001022
N20001111,N00000975,N00000978
N20001112,N00001022,N00001022
N20001113,N00001030,N00001030
N20001114,N00001020,N00001016
N20001115,N00001598,N00001598
N20001116,N00000976,N00000976
N20001117,N00000977,N00000977
N20001118,N00001031,N00001031
N20001119,N00001018,N00001022
N20001120,N00001016,N00001016
N20001121,N00001381,N00001381
N20001122,N00001599,N00001599
N20001123,N00001006,N00001006
N20001124,N00001601,N00001601
N20001125,N00001602,N00001602
N20001126,N00001594,N00000984
N20001127,N00001027,N00001027
N20001128,N00000980,N00000980
N20001129,N00000982,N00000982
N20001130,N00001019,N00001019
N20001131,N00001013,N00001013
N20001132,N00001006,N00001006
N20001133,N00001593,N00001593
N20001134,N00001018,N00001012
N20001135,N00001007,N00001007
N20001136,N00001008,N00001008
N20001137,N00001009,N00001009
N20001138,N00000901,N00000900
N20001139,N00001590,N00001590
N20001140,N00001597,N00001597
N20001141,N00000901,N00000901
N20001142,N00001012,N00001012
N20001143,N00001586,N00001585
N20001144,N00001587,N00001587
N20001145,N00000904,N00000904
N20001146,N00000902,N00000896
N20001147,N00000900,N00000900
N20001148,N00001580,N00001580
N20001149,N00000981,N00000981
N20001150,N00000904,N00000902
N20001151,N00001015,N00001015
N20001152,N00001579,N00001579
N20001153,N00001466,N00001466
N20001154,N00000905,N00000905
N20001155,N00000897,N00000897
N20001156,N00001582,N00001582
N20001157,N00001469,N00001469
N20001158,N00000890,N00000890
N20001159,N00000886,N00000897
N20001160,N00000896,N00000896
N20001161,N00001584,N00001584
N20001162,N00001467,N00001467
N20001163,N00000893,N00000893
N20001164,N00000892,N00000892
N20001165,N00000887,N00000888
N20001166,N00000889,N00000889
N20001167,N00001581,N00001333
N20001168,N00001469,N00001473
N20001169,N00001472,N00001467
N20001170,N00001475,N00001473
N20001171,N00001472,N00001472
N20001172,N00001472,N00001477
N20001173,N00001479,N00001479
N20001174,N00001477,N00001461
N20001175,N00001478,N00001478
N20001176,N00001463,N00001463
N20001177,N00001465,N00001465
N20001178,N00001465,N00001465
N20001179,N00001332,N00001332
N20001180,N00001336,N00001336
N20001181,N00001337,N00001337
N20001182,N00001328,N00001337
N20001183,N00001328,N00001325
N20001184,N00001347,N00001347
N20001185,N00001328,N00001328
N20001186,N00001325,N00001325
N20001187,N00001399,N00001399
N20001188,N00001399,N00001399
N20001189,N00001325,N00001325
N20001190,N00001345,N00001345
N20001191,N00001325,N00001325
N20001192,N00001342,N00001342
N20001193,N00001329,N00001329
N20001194,N00001325,N00001325
N20001195,N00001348,N00001348
N20001196,N00001330,N00001330
N20001197,N00001344,N00001344
N20001198,N00001326,N00001326
N20001199,N00001517,N00001517
N20001200,N00001912,N00001912
N20001201,N00001346,N00001346
N20001202,N00001178,N00001183
N20001203,N00001340,N00001340
N20001204,N00001179,N00001179
N20001205,N00001340,N00001340
N20001206,N00001340,N00001340
N20001207,N00001524,N00001524
N20001208,N00001520,N00001520
N20001209,N00001184,N00001184
N20001210,N00001339,N00001339
N20001211,N00001522,N00001522
N20001212,N00001182,N00001182
N20001213,N00001525,N00001525
N20001214,N00001527,N00001527
N20001215,N00001184,N00001184
N20001216,N00001528,N00001528
N20001217,N00001518,N00001518
N20001218,N00001514,N00001514
N20001219,N00001530,N00001530
N20001220,N00001177,N00001185
N20001221,N00001183,N00001183
N20001222,N00001762,N00001764
N20001223,N00001766,N00001766
N20001224,N00001893,N00001893
N20001225,N00001898,N00001898
N20001226,N00001516,N00001516
N20001227,N00001765,N00001765
N20001228,N00001895,N00001895
N20001229,N00001765,N00001765
N20001230,N00001174,N00001174
N20001231,N00001515,N00003329
N20001232,N00001896,N00001896
N20001233,N00001515,N00001174
N20001234,N00003329,N00003329
N20001235,N00000830,N00000830
N20001236,N00000826,N00001216
N20001237,N00001304,N00001304
N20001238,N00000827,N00000827
N20001239,N00003293,N00003293
N20001240,N00001302,N00001303
N20001241,N00003493,N00003494
N20001242,N00001307,N00001307
N20001243,N00003493,N00003490
N20001244,N00001300,N00001300
N20001245,N00001294,N00001293
N20001246,N00003495,N00003495
N20001247,N00001296,N00001296
N20001248,N00003491,N00003491
N20001249,N00001298,N00001299
N20001250,N00003496,N00003496
N20001251,N00001297,N00001297
N20001252,N00003492,N00003492
N20001253,N00001291,N00001291
N20001254,N00001299,N00001299
N20001255,N00003294,N00003294
N20001256,N00003301,N00003301
N20001257,N00003303,N00003302
N20001258,N00003346,N00001299
N20001259,N00003402,N00003401
N20001260,N00003348,N00003348
N20001261,N00003295,N00003299
N20001262,N00003304,N00003304
N20001263,N00003305,N00003305
N20001264,N00003348,N00003348
N20001265,N00003400,N00003400
N20001266,N00003299,N00003299
N20001267,N00003308,N00003308
N20001268,N00003308,N00003308
N20001269,N00003404,N00003404
N20001270,N00003403,N00003403
N20001271,N00003341,N00003341
N20001272,N00003297,N00003297
N20001273,N00003308,N00003308
N20001274,N00003341,N00003341
N20001275,N00003339,N00003344
N20001276,N00003518,N00003518
N20001277,N00003298,N00003298
N20001278,N00003308,N00003308
N20001279,N00003308,N00003308
N20001280,N00003344,N00003337
N20001281,N00003337,N00003338
N20001282,N00003311,N00003311
N20001283,N00003515,N00003514
N20001284,N00003308,N00003308
N20001285,N00003343,N00003343
N20001286,N00003515,N00003515
N20001287,N00003517,N00003517
N20001288,N00003514,N00003516
N20001289,N00003340,N00003340
N20001290,N00003306,N00003306
N20001291,N00003308,N00003308
N20001292,N00003501,N00003501
N20001293,N00003514,N00003514
N20001294,N00003500,N00003500
N20001295,N00003520,N00003520
N20001296,N00003504,N00003504
N20001297,N00001536,N00001536
N20001298,N00001531,N00001531
N20001299,N00001535,N00001535
N20001300,N00001570,N00001570
N20001301,N00001572,N00001575
N20001302,N00001576,N00001574
N20001303,N00000937,N00000937
N20001304,N00000931,N00000931
N20001305,N00001570,N00001571
N20001306,N00001578,N00001578
N20001307,N00000933,N00000933
N20001308,N00001532,N00001538
N20001309,N00001231,N00001231
N20001310,N00001577,N00001578
N20001311,N00000932,N00000932
N20001312,N00000926,N00000926
N20001313,N00001573,N00001567
N20001314,N00001565,N00001565
N20001315,N00000935,N00000935
N20001316,N00001568,N00001568
N20001317,N00001534,N00001540
N20001318,N00000928,N00000928
N20001319,N00001568,N00001566
N20001320,N00001159,N00001159
N20001321,N00000929,N00000929
N20001322,N00000927,N00000927
N20001323,N00001533,N00001533
N20001324,N00000930,N00000930
N20001325,N00001542,N00001543
N20001326,N00001170,N00001170
N20001327,N00001159,N00001159
N20001328,N00001202,N00001202
N20001329,N00001171,N00001171
N20001330,N00001162,N00001162
N20001331,N00001169,N00001169
N20001332,N00001203,N00001203
N20001333,N00001166,N00001166
N20001334,N00001165,N00001165
N20001335,N00001204,N00001204
N20001336,N00001157,N00001157
N20001337,N00001205,N00001205
N20001338,N00001231,N00001231
N20001339,N00001204,N00001207
N20001340,N00001166,N00001166
N20001341,N00001234,N00001234
N20001342,N00001208,N00001208
N20001343,N00001204,N00001207
N20001344,N00001213,N00001213
N20001345,N00000836,N00000836
N20001346,N00001242,N00001242
N20001347,N00001163,N00001163
N20001348,N00001244,N00001244
N20001349,N00001209,N00001209
N20001350,N00001158,N00001158
N20001351,N00001236,N00001236
N20001352,N00001211,N00001211
N20001353,N00001215,N00001212
N20001354,N00000838,N00000838
N20001355,N00001211,N00001210
N20001356,N00001216,N00001216
N20001357,N00000833,N00000833
N20001358,N00001243,N00001241
N20001359,N00001235,N00001235
N20001360,N00001235,N00001235
N20001361,N00000840,N00000840
N20001362,N00001239,N00001239
N20001363,N00001240,N00001240
N20001364,N00000831,N00000834
N20001365,N00001240,N00001240
N20001366,N00000835,N00000835
N20001367,N00000825,N00000825
N20001368,N00000829,N00000829
N20001369,N00001219,N00001219
N20001370,N00001221,N00001221
N20001371,N00001320,N00001324
N20001372,N00001227,N00001227
N20001373,N00001319,N00001319
N20001374,N00001230,N00001230
N20001375,N00001635,N00001635
N20001376,N00001229,N00001229
N20001377,N00001635,N00001638
N20001378,N00001219,N00001219
N20001379,N00001217,N00001226
N20001380,N00001218,N00001248
N20001381,N00001640,N00001640
N20001382,N00001629,N00001629
N20001383,N00001124,N00001124
N20001384,N00001631,N00001630
N20001385,N00001129,N00001129
N20001386,N00001218,N00001218
N20001387,N00001121,N00001121
N20001388,N00001250,N00001248
N20001389,N00001441,N00001441
N20001390,N00001117,N00001117
N20001391,N00001246,N00001246
N20001392,N00001254,N00001254
N20001393,N00001125,N00001125
N20001394,N00001634,N00001633
N20001395,N00001123,N00001123
N20001396,N00001444,N00001444
N20001397,N00001122,N00001122
N20001398,N00001443,N00001443
N20001399,N00001117,N00001117
N20001400,N00001623,N00001623
N20001401,N00001255,N00001255
N20001402,N00001246,N00001246
N20001403,N00001257,N00001247
N20001404,N00001626,N00001626
N20001405,N00001253,N00001251
N20001406,N00001443,N00001438
N20001407,N00001433,N00001433
N20001408,N00001432,N00001432
N20001409,N00001440,N00001440
N20001410,N00001434,N00001435
N20001411,N00001431,N00001431
N20001412,N00001438,N00001438
N20001413,N00001628,N00001627
N20001414,N00001156,N00001156
N20001415,N00001436,N00001431
N20001416,N00001261,N00001261
N20001417,N00001259,N00001259
N20001418,N00001155,N00001156
N20001419,N00001111,N00001111
N20001420,N00001110,N00001110
N20001421,N00001156,N00001156
N20001422,N00001252,N00001252
N20001423,N00001156,N00001156
N20001424,N00001262,N00001260
N20001425,N00001113,N00001113
N20001426,N00001113,N00001113
N20001427,N00001111,N00001111
N20001428,N00001109,N00000936
N20001429,N00001156,N00001156
N20001430,N00001156,N00001156
N20001431,N00001151,N00001151
N20001432,N00001151,N00001151
N20001433,N00001156,N00001150
N20001434,N00001113,N00001113
N20001435,N00001106,N00001106
N20001436,N00000936,N00000936
N20001437,N00001145,N00001145
N20001438,N00001152,N00001152
N20001439,N00001114,N00001114
N20001440,N00001146,N00001145
N20001441,N00001108,N00001108
N20001442,N00000938,N00000938
N20001443,N00001116,N00001116
N20001444,N00001154,N00001154
N20001445,N00001147,N00001145
N20001446,N00003169,N00003169
N20001447,N00003209,N00003209
N20001448,N00003209,N00003209
N20001449,N00003170,N00003170
N20001450,N00003170,N00003170
N20001451,N00003169,N00003169
N20001452,N00003209,N00003209
N20001453,N00003209,N00003209
N20001454,N00003208,N00003208
N20001455,N00003208,N00003208
N20001456,N00003208,N00003208
N20001457,N00003167,N00003167
N20001458,N00003200,N00003200
N20001459,N00003193,N00003193
N20001460,N00003207,N00003207
N20001461,N00003199,N00003199
N20001462,N00003202,N00003202
N20001463,N00003199,N00003199
N20001464,N00003232,N00003232
N20001465,N00003234,N00003234
N20001466,N00003239,N00003239
N20001467,N00003233,N00003235
N20001468,N00003235,N00003235
N20001469,N00003176,N00003178
N20001470,N00003177,N00003177
N20001471,N00003179,N00003179
N20001472,N00003191,N00003191
N20001473,N00003236,N00003236
N20001474,N00003179,N00003179
N20001475,N00003237,N00003237
N20001476,N00003237,N00003237
N20001477,N00003190,N00003190
N20001478,N00003238,N00003238
N20001479,N00003188,N00003188
N20001480,N00003188,N00003188
N20001481,N00003219,N00003219
N20001482,N00003219,N00003219
N20001483,N00003164,N00003164
N20001484,N00003218,N00003218
N20001485,N00003163,N00003163
N20001486,N00003227,N00003227
N20001487,N00003226,N00003226
N20001488,N00003231,N00003231
N20001489,N00003222,N00003222
N20001490,N00003222,N00003222
N20001491,N00003161,N00003164
N20001492,N00003166,N00003166
N20001493,N00003228,N00003228
N20001494,N00003225,N00003225
N20001495,N00003212,N00003214
N20001496,N00003174,N00003174
N20001497,N00003161,N00003161
N20001498,N00003175,N00003175
N20001499,N00003185,N00003187
N20001500,N00003174,N00003172
N20001501,N00003162,N00003162
N20001502,N00003186,N00003186
N20001503,N00003161,N00003161
N20001504,N00003212,N00003212
N20001505,N00003180,N00003180
N20001506,N00003162,N00003162
N20001507,N00003211,N00003173
N20001508,N00003182,N00003183
N20001509,N00003173,N00003173
N20001510,N00003181,N00003198
N20001511,N00003195,N00003195
N20001512,N00003195,N00003195
N20001513,N00003194,N00003194
N20001514,N00001969,N00001972
N20001515,N00001969,N00001969
N20001516,N00002036,N00001971
N20001517,N00001965,N00001967
N20001518,N00002036,N00002036
N20001519,N00002036,N00001971
N20001520,N00001967,N00001967
N20001521,N00002038,N00002038
N20001522,N00002037,N00002037
N20001523,N00002038,N00002038
N20001524,N00002069,N00002038
N20001525,N00002037,N00002037
N20001526,N00001947,N00001947
N20001527,N00002054,N00002041
N20001528,N00001942,N00001942
N20001529,N00002056,N00002056
N20001530,N00001943,N00001943
N20001531,N00002057,N00002057
N20001532,N00002055,N00002055
N20001533,N00001945,N00001944
N20001534,N00002057,N00002057
N20001535,N00002013,N00002008
N20001536,N00002009,N00002009
N20001537,N00002008,N00002008
N20001538,N00002058,N00002058
N20001539,N00001945,N00001945
N20001540,N00002024,N00002024
N20001541,N00002022,N00002027
N20001542,N00002011,N00002012
N20001543,N00002023,N00002022
N20001544,N00002021,N00002021
N20001545,N00002023,N00002023
N20001546,N00002012,N00002012
N20001547,N00001957,N00001957
N20001548,N00002082,N00002082
N20001549,N00002082,N00002082
N20001550,N00001960,N00001960
N20001551,N00001962,N00001962
N20001552,N00001961,N00001961
N20001553,N00001963,N00001963
N20001554,N00002078,N00002078
N20001555,N00002079,N00002079
N20001556,N00001988,N00001988
N20001557,N00001988,N00001989
N20001558,N00002083,N00002083
N20001559,N00001988,N00001991
N20001560,N00002086,N00002085
N20001561,N00002079,N00002079
N20001562,N00001975,N00001975
N20001563,N00001990,N00001991
N20001564,N00001992,N00001992
N20001565,N00001978,N00001978
N20001566,N00001987,N00001987
N20001567,N00001973,N00002087
N20001568,N00002088,N00002088
N20001569,N00002086,N00002086
N20001570,N00002043,N00002043
N20001571,N00001973,N00001973
N20001572,N00001978,N00001978
N20001573,N00001982,N00001982
N20001574,N00001980,N00001980
N20001575,N00001985,N00001985
N20001576,N00002044,N00002044
N20001577,N00002042,N00002042
N20001578,N00001979,N00001979
N20001579,N00001982,N00001982
N20001580,N00001982,N00001982
N20001581,N00002074,N00002074
N20001582,N00002045,N00002045
N20001583,N00002075,N00002074
N20001584,N00002071,N00002071
N20001585,N00002045,N00002029
N20001586,N00002035,N00002035
N20001587,N00002029,N00002029
N20001588,N00002070,N00002070
N20001589,N00002077,N00002072
N20001590,N00002046,N00002046
N20001591,N00002031,N00002031
N20001592,N00002070,N00002070
N20001593,N00002070,N00002070
N20001594,N00002034,N00002034
N20001595,N00002028,N00002028
N20001596,N00002028,N00002032
N20001597,N00003641,N00003641
N20001598,N00003632,N00002006
N20001599,N00002060,N00002060
N20001600,N00003633,N00003633
N20001601,N00003631,N00003631
N20001602,N00002002,N00002002
N20001603,N00002061,N00002061
N20001604,N00001955,N00002060
N20001605,N00003627,N00003627
N20001606,N00003628,N00003628
N20001607,N00002061,N00002061
N20001608,N00002062,N00002059
N20001609,N00002061,N00002061
N20001610,N00002019,N00001955
N20001611,N00002017,N00002015
N20001612,N00001948,N00001948
N20001613,N00002014,N00002014
N20001614,N00002018,N00002018
N20001615,N00002018,N00002018
N20001616,N00001949,N00001949
N20001617,N00002004,N00002004
N20001618,N00002018,N00002018
N20001619,N00003636,N00003636
N20001620,N00001952,N00001952
N20001621,N00002051,N00002051
N20001622,N00001953,N00001953
N20001623,N00001949,N00001949
N20001624,N00001954,N00001954
N20001625,N00001998,N00001998
N20001626,N00002051,N00002051
N20001627,N00001995,N00001995
N20001628,N00002065,N00002068
N20001629,N00002049,N00002050
N20001630,N00002067,N00002067
N20001631,N00002067,N00002067
N20001632,N00002066,N00002066
N20001633,N00002067,N00002067
N20001634,N00001994,N00002000
N20001635,N00002064,N00002064
N20001636,N00003626,N00003626
N20001637,N00002063,N00002063
N20001638,N00001999,N00001999
N20001639,N00003635,N00003634
N20001640,N00002001,N00002001
N20001641,N00002004,N00002004
N20001642,N00000647,N00000647
N20001643,N00000649,N00000649
N20001644,N00002001,N00002001
N20001645,N00000664,N00000664
N20001646,N00000661,N00000661
N20001647,N00001997,N00001997
N20001648,N00000661,N00000664
N20001649,N00000687,N00000687
N20001650,N00000663,N00000663
N20001651,N00003630,N00003630
N20001652,N00003658,N00003659
N20001653,N00003637,N00003637
N20001654,N00003640,N00003640
N20001655,N00003638,N00003638
N20001656,N00003656,N00003656
N20001657,N00003629,N00003629
N20001658,N00003665,N00003659
N20001659,N00003630,N00003630
N20001660,N00003664,N00003664
N20001661,N00003657,N00003657
N20001662,N00003662,N00003654
N20001663,N00003663,N00003654
N20001664,N00003660,N00003660
N20001665,N00003652,N00003652
N20001666,N00003665,N00003665
N20001667,N00003652,N00003652
N20001668,N00003652,N00003652
N20001669,N00003666,N00003666
N20001670,N00000709,N00000709
N20001671,N00003624,N00003625
N20001672,N00000709,N00000709
N20001673,N00003650,N00003649
N20001674,N00000708,N00000708
N20001675,N00003649,N00003649
N20001676,N00000708,N00000708
N20001677,N00003645,N00003645
N20001678,N00000643,N00000643
N20001679,N00003646,N00003646
N20001680,N00003646,N00003646
N20001681,N00000645,N00000644
N20001682,N00003647,N00003647
N20001683,N00000646,N00000646
N20001684,N00003648,N00003648
N20001685,N00000661,N00000649
N20001686,N00000675,N00000675
N20001687,N00000694,N00000694
N20001688,N00000695,N00000695
N20001689,N00000676,N00000676
N20001690,N00000690,N00000695
N20001691,N00000698,N00000675
N20001692,N00000652,N00000652
N20001693,N00000691,N00000691
N20001694,N00000694,N00000694
N20001695,N00000654,N00000654
N20001696,N00000656,N00000656
N20001697,N00000655,N00000655
N20001698,N00000677,N00000677
N20001699,N00000697,N00000697
N20001700,N00000699,N00000699
N20001701,N00000651,N00000651
N20001702,N00000672,N00000673
N20001703,N00000700,N00000700
N20001704,N00000673,N00000673
N20001705,N00000704,N00000704
N20001706,N00000670,N00000670
N20001707,N00000701,N00000701
N20001708,N00000702,N00000702
N20001709,N00000702,N00000702
N20001710,N00000705,N00000705
N20001711,N00000705,N00000702
N20001712,N00000663,N00000663
N20001713,N00000711,N00000711
N20001714,N00000681,N00000681
N20001715,N00000688,N00000686
N20001716,N00000689,N00000689
N20001717,N00000712,N00000712
N20001718,N00000665,N00000665
N20001719,N00000667,N00000667
N20001720,N00000679,N00000679
N20001721,N00000657,N00000660
N20001722,N00000678,N00000678
N20001723,N00000657,N00000657
N20001724,N00000658,N00000667
N20001725,N00000658,N00000658
N20001726,N00000714,N00000714
N20001727,N00000678,N00000678
N20001728,N00000680,N00000684
N20001729,N00000684,N00000684
N20001730,N00000683,N00000683
N20001731,N00000682,N00000682
N20001732,N00002488,N00002488
N20001733,N00002479,N00002479
N20001734,N00002429,N00002429
N20001735,N00002424,N00002424
N20001736,N00002469,N00002469
N20001737,N00002423,N00002423
N20001738,N00002628,N00002628
N20001739,N00002427,N00002427
N20001740,N00002426,N00002426
N20001741,N00002606,N00002606
N20001742,N00002467,N00002467
N20001743,N00002603,N00002613
N20001744,N00002469,N00002469
N20001745,N00002603,N00002603
N20001746,N00002627,N00002629
N20001747,N00002428,N00002630
N20001748,N00002628,N00002631
N20001749,N00002465,N00002465
N20001750,N00002613,N00002613
N20001751,N00002432,N00002432
N20001752,N00002465,N00002465
N20001753,N00002471,N00002471
N20001754,N00002613,N00002613
N20001755,N00002472,N00002472
N20001756,N00002613,N00002613
N20001757,N00002474,N00002474
N20001758,N00002435,N00002431
N20001759,N00002431,N00002433
N20001760,N00002474,N00002474
N20001761,N00002617,N00002616
N20001762,N00002471,N00002471
N20001763,N00002476,N00002476
N20001764,N00002615,N00002616
N20001765,N00002430,N00002430
N20001766,N00002431,N00002431
N20001767,N00002480,N00002480
N20001768,N00002477,N00002477
N20001769,N00002602,N00002602
N20001770,N00002598,N00002598
N20001771,N00002406,N00002406
N20001772,N00002407,N00002407
N20001773,N00002481,N00002481
N20001774,N00002482,N00002482
N20001775,N00002599,N00002566
N20001776,N00002599,N00002599
N20001777,N00002571,N00002571
N20001778,N00002597,N00002597
N20001779,N00002484,N00002483
N20001780,N00002487,N00002485
N20001781,N00002570,N00002569
N20001782,N00002478,N00002478
N20001783,N00002532,N00002532
N20001784,N00002567,N00002567
N20001785,N00002529,N00002530
N20001786,N00002488,N00002488
N20001787,N00002534,N00002534
N20001788,N00002531,N00002531
N20001789,N00002567,N00002567
N20001790,N00002609,N00002609
N20001791,N00002533,N00002534
N20001792,N00002535,N00002535
N20001793,N00002577,N00002577
N20001794,N00002533,N00002577
N20001795,N00002573,N00002573
N20001796,N00002533,N00002533
N20001797,N00002604,N00002604
N20001798,N00002604,N00002604
N20001799,N00002574,N00002576
N20001800,N00002576,N00002576
N20001801,N00002603,N00002603
N20001802,N00002603,N00002605
N20001803,N00002490,N00002490
N20001804,N00002501,N00002501
N20001805,N00002489,N00002489
N20001806,N00002501,N00002501
N20001807,N00002489,N00002489
N20001808,N00002499,N00002499
N20001809,N00002498,N00002498
N20001810,N00002498,N00002498
N20001811,N00002590,N00002590
N20001812,N00002590,N00002502
N20001813,N00002590,N00002590
N20001814,N00002499,N00002498
N20001815,N00002590,N00002590
N20001816,N00002500,N00002495
N20001817,N00002590,N00002590
N20001818,N00002591,N00002591
N20001819,N00002495,N00002496
N20001820,N00002590,N00002590
N20001821,N00002590,N00002587
N20001822,N00002590,N00002590
N20001823,N00002591,N00002591
N20001824,N00002411,N00002411
N20001825,N00002498,N00002498
N20001826,N00002497,N00002497
N20001827,N00002491,N00002491
N20001828,N00002491,N00002491
N20001829,N00002591,N00002591
N20001830,N00002582,N00002582
N20001831,N00002492,N00002494
N20001832,N00002587,N00002587
N20001833,N00002592,N00002592
N20001834,N00002414,N00002414
N20001835,N00002588,N00002588
N20001836,N00002582,N00002582
N20001837,N00002586,N00002586
N20001838,N00002579,N00002579
N20001839,N00002593,N00002593
N20001840,N00002408,N00002408
N20001841,N00002585,N00002585
N20001842,N00002436,N00002589
N20001843,N00002442,N00002442
N20001844,N00002581,N00002581
N20001845,N00002438,N00002438
N20001846,N00002437,N00002437
N20001847,N00002409,N00002410
N20001848,N00002439,N00002439
N20001849,N00002566,N00002566
N20001850,N00002527,N00002527
N20001851,N00002526,N00002526
N20001852,N00002444,N00002450
N20001853,N00002446,N00002446
N20001854,N00002503,N00002503
N20001855,N00002444,N00002444
N20001856,N00002447,N00002545
N20001857,N00002444,N00002448
N20001858,N00002525,N00002525
N20001859,N00002545,N00002545
N20001860,N00002504,N00002444
N20001861,N00002525,N00002525
