DZ2021_cd,DZ2021_nm,DEA2014_nm,dea_1972,dea_1984,dea_1993,dea_2012
N20002289,Killultagh_B2,Killultagh,LISBURN AREA A,KILLULTAGH,KILLULTAGH,Killultagh
N20000724,Oldpark_D2,Oldpark,BELFAST AREA E,OLDPARK,OLDPARK,Oldpark
N20001378,Court_C4,Court,BELFAST AREA E,COURT,COURT,Court
N20001309,Black_Mountain_D2,Black Mountain,BELFAST AREA D,UPPER FALLS,UPPER FALLS,Black Mountain
N20001323,Black_Mountain_H1,Black Mountain,BELFAST AREA D,LOWER FALLS,LOWER FALLS,Black Mountain
N20001325,Black_Mountain_F3,Black Mountain,BELFAST AREA D,LOWER FALLS,LOWER FALLS,Black Mountain
N20001317,Black_Mountain_F1,Black Mountain,BELFAST AREA D,LOWER FALLS,LOWER FALLS,Black Mountain
N20001308,Black_Mountain_D1,Black Mountain,BELFAST AREA D,LOWER FALLS,LOWER FALLS,Black Mountain
N20001402,Court_L1,Court,BELFAST AREA E,COURT,COURT,Court
N20001405,Court_L3,Court,BELFAST AREA E,COURT,COURT,Court
N20001403,Court_L2,Court,BELFAST AREA E,COURT,COURT,Court
N20001417,Court_R2,Court,BELFAST AREA E,COURT,COURT,Court
N20001422,Court_J4,Court,BELFAST AREA E,COURT,COURT,Court
N20001424,Court_R3,Court,BELFAST AREA E,COURT,COURT,Court
N20001299,Black_Mountain_A3,Black Mountain,BELFAST AREA D,LOWER FALLS,LOWER FALLS,Black Mountain
N20001297,Black_Mountain_A1,Black Mountain,BELFAST AREA E,LOWER FALLS,LOWER FALLS,Black Mountain
N20001416,Court_R1,Court,BELFAST AREA E,COURT,COURT,Court
N20001298,Black_Mountain_A2,Black Mountain,BELFAST AREA D,LOWER FALLS,LOWER FALLS,Black Mountain
N20001302,Black_Mountain_A5,Black Mountain,BELFAST AREA D,LOWER FALLS,LOWER FALLS,Black Mountain
N20001301,Black_Mountain_A4,Black Mountain,BELFAST AREA D,LOWER FALLS,LOWER FALLS,Black Mountain
N20001306,Black_Mountain_A6,Black Mountain,BELFAST AREA D,LOWER FALLS,LOWER FALLS,Black Mountain
N20001310,Black_Mountain_E1,Black Mountain,BELFAST AREA D,LOWER FALLS,LOWER FALLS,Black Mountain
N20001320,Black_Mountain_F2,Black Mountain,BELFAST AREA D,UPPER FALLS,UPPER FALLS,Black Mountain
N20001314,Black_Mountain_E3,Black Mountain,BELFAST AREA D,LOWER FALLS,LOWER FALLS,Black Mountain
N20001319,Black_Mountain_J2,Black Mountain,BELFAST AREA D,LOWER FALLS,LOWER FALLS,Black Mountain
N20001316,Black_Mountain_E4,Black Mountain,BELFAST AREA D,LOWER FALLS,LOWER FALLS,Black Mountain
N20001313,Black_Mountain_E2,Black Mountain,BELFAST AREA D,LOWER FALLS,LOWER FALLS,Black Mountain
N20001305,Black_Mountain_B4,Black Mountain,BELFAST AREA D,LOWER FALLS,LOWER FALLS,Black Mountain
N20001300,Black_Mountain_B1,Black Mountain,BELFAST AREA D,LOWER FALLS,LOWER FALLS,Black Mountain
N20001303,Black_Mountain_B2,Black Mountain,BELFAST AREA D,LOWER FALLS,LOWER FALLS,Black Mountain
N20001436,Court_T2,Court,BELFAST AREA D,LOWER FALLS,LOWER FALLS,Court
N20001304,Black_Mountain_B3,Black Mountain,BELFAST AREA D,LOWER FALLS,LOWER FALLS,Black Mountain
N20001442,Court_T3,Court,BELFAST AREA D,LOWER FALLS,LOWER FALLS,Court
N20001439,Court_X2,Court,BELFAST AREA F,LOWER FALLS,LOWER FALLS,Court
N20001441,Court_X3,Court,BELFAST AREA F,LOWER FALLS,LOWER FALLS,Court
N20001311,Black_Mountain_C2,Black Mountain,BELFAST AREA D,LOWER FALLS,LOWER FALLS,Black Mountain
N20001312,Black_Mountain_C3,Black Mountain,BELFAST AREA D,LOWER FALLS,LOWER FALLS,Black Mountain
N20001307,Black_Mountain_C1,Black Mountain,BELFAST AREA D,LOWER FALLS,LOWER FALLS,Black Mountain
N20001318,Black_Mountain_J1,Black Mountain,BELFAST AREA D,LOWER FALLS,LOWER FALLS,Black Mountain
N20001321,Black_Mountain_J3,Black Mountain,BELFAST AREA D,UPPER FALLS,LOWER FALLS,Black Mountain
N20001324,Black_Mountain_J5,Black Mountain,BELFAST AREA D,UPPER FALLS,LOWER FALLS,Black Mountain
N20001322,Black_Mountain_J4,Black Mountain,BELFAST AREA D,LOWER FALLS,LOWER FALLS,Black Mountain
N20001315,Black_Mountain_C4,Black Mountain,BELFAST AREA D,LOWER FALLS,LOWER FALLS,Black Mountain
N20001096,Botanic_E2,Botanic,BELFAST AREA F,BALMORAL,BALMORAL,Botanic
N20001104,Botanic_G1,Botanic,BELFAST AREA F,BALMORAL,BALMORAL,Botanic
N20001098,Botanic_E3,Botanic,BELFAST AREA F,BALMORAL,BALMORAL,Botanic
N20001092,Botanic_E1,Botanic,BELFAST AREA F,BALMORAL,BALMORAL,Botanic
N20001445,Court_X5,Court,BELFAST AREA F,LOWER FALLS,LOWER FALLS,Court
N20001443,Court_X4,Court,BELFAST AREA F,LOWER FALLS,LOWER FALLS,Court
N20001437,Court_S5,Court,BELFAST AREA F,LOWER FALLS,LOWER FALLS,Court
N20001440,Court_S6,Court,BELFAST AREA F,LOWER FALLS,LOWER FALLS,Court
N20001432,Court_S4,Court,BELFAST AREA F,LOWER FALLS,LOWER FALLS,Court
N20001421,Court_S2,Court,BELFAST AREA G,LOWER FALLS,LOWER FALLS,Court
N20001415,Court_P3,Court,BELFAST AREA G,COURT,COURT,Court
N20001425,Court_U1,Court,BELFAST AREA F,LOWER FALLS,LOWER FALLS,Court
N20001426,Court_P4,Court,BELFAST AREA F,LOWER FALLS,LOWER FALLS,Court
N20001434,Court_U3,Court,BELFAST AREA F,LOWER FALLS,LOWER FALLS,Court
N20001435,Court_X1,Court,BELFAST AREA F,LOWER FALLS,LOWER FALLS,Court
N20001427,Court_U2,Court,BELFAST AREA F,LOWER FALLS,LOWER FALLS,Court
N20001428,Court_T1,Court,BELFAST AREA D,LOWER FALLS,LOWER FALLS,Court
N20001420,Court_N4,Court,BELFAST AREA F,LOWER FALLS,LOWER FALLS,Court
N20001419,Court_N3,Court,BELFAST AREA F,LOWER FALLS,LOWER FALLS,Court
N20001407,Court_N1,Court,BELFAST AREA E,COURT,COURT,Court
N20001404,Court_J3,Court,BELFAST AREA E,COURT,COURT,Court
N20001413,Court_N2,Court,BELFAST AREA E,COURT,COURT,Court
N20001401,Court_J2,Court,BELFAST AREA E,COURT,COURT,Court
N20001394,Court_F2,Court,BELFAST AREA E,COURT,COURT,Court
N20001400,Court_F3,Court,BELFAST AREA E,COURT,COURT,Court
N20001393,Court_H2,Court,BELFAST AREA G,COURT,COURT,Court
N20001397,Court_H3,Court,BELFAST AREA G,COURT,COURT,Court
N20001408,Court_P1,Court,BELFAST AREA G,COURT,COURT,Court
N20001411,Court_P2,Court,BELFAST AREA G,COURT,COURT,Court
N20001410,Court_S1,Court,BELFAST AREA G,COURT,COURT,Court
N20001409,Court_K4,Court,BELFAST AREA G,COURT,COURT,Court
N20001399,Court_H4,Court,BELFAST AREA G,COURT,COURT,Court
N20001395,Court_G3,Court,BELFAST AREA G,COURT,COURT,Court
N20001387,Court_G1,Court,BELFAST AREA G,COURT,COURT,Court
N20001383,Court_D2,Court,BELFAST AREA G,COURT,COURT,Court
N20001390,Court_H1,Court,BELFAST AREA G,COURT,COURT,Court
N20001385,Court_D3,Court,BELFAST AREA E,COURT,COURT,Court
N20000770,Oldpark_Q3,Oldpark,BELFAST AREA G,COURT,COURT,Oldpark
N20000767,Oldpark_N4,Oldpark,BELFAST AREA G,COURT,COURT,Oldpark
N20000761,Oldpark_L4,Oldpark,BELFAST AREA G,OLDPARK,OLDPARK,Oldpark
N20000749,Oldpark_N2,Oldpark,BELFAST AREA H,OLDPARK,OLDPARK,Oldpark
N20000755,Oldpark_N3,Oldpark,BELFAST AREA H,OLDPARK,OLDPARK,Oldpark
N20000751,Oldpark_H3,Oldpark,BELFAST AREA H,OLDPARK,OLDPARK,Oldpark
N20000768,Oldpark_P3,Oldpark,BELFAST AREA E,OLDPARK,OLDPARK,Oldpark
N20000762,Oldpark_P2,Oldpark,BELFAST AREA E,OLDPARK,OLDPARK,Oldpark
N20000765,Oldpark_Q2,Oldpark,BELFAST AREA E,OLDPARK,OLDPARK,Oldpark
N20000758,Oldpark_Q1,Oldpark,BELFAST AREA E,OLDPARK,OLDPARK,Oldpark
N20000752,Oldpark_J3,Oldpark,BELFAST AREA E,OLDPARK,OLDPARK,Oldpark
N20000760,Oldpark_P1,Oldpark,BELFAST AREA E,OLDPARK,OLDPARK,Oldpark
N20000756,Oldpark_K4,Oldpark,BELFAST AREA E,OLDPARK,OLDPARK,Oldpark
N20000753,Oldpark_K3,Oldpark,BELFAST AREA E,OLDPARK,OLDPARK,Oldpark
N20001374,Court_B1,Court,BELFAST AREA E,COURT,COURT,Court
N20001375,Court_B2,Court,BELFAST AREA E,COURT,COURT,Court
N20001382,Court_B4,Court,BELFAST AREA E,COURT,COURT,Court
N20001377,Court_B3,Court,BELFAST AREA E,COURT,COURT,Court
N20001381,Court_D1,Court,BELFAST AREA E,COURT,COURT,Court
N20001384,Court_F1,Court,BELFAST AREA E,COURT,COURT,Court
N20001379,Court_J1,Court,BELFAST AREA E,COURT,COURT,Court
N20001376,Court_C3,Court,BELFAST AREA E,COURT,COURT,Court
N20001386,Court_E2,Court,BELFAST AREA E,COURT,COURT,Court
N20001392,Court_E5,Court,BELFAST AREA E,COURT,COURT,Court
N20001391,Court_E4,Court,BELFAST AREA E,COURT,COURT,Court
N20001388,Court_E3,Court,BELFAST AREA E,COURT,COURT,Court
N20001380,Court_E1,Court,BELFAST AREA E,COURT,COURT,Court
N20001373,Court_A3,Court,BELFAST AREA E,OLDPARK,OLDPARK,Court
N20000742,Oldpark_K2,Oldpark,BELFAST AREA E,OLDPARK,OLDPARK,Oldpark
N20000737,Oldpark_K1,Oldpark,BELFAST AREA E,OLDPARK,OLDPARK,Oldpark
N20000736,Oldpark_F3,Oldpark,BELFAST AREA E,OLDPARK,OLDPARK,Oldpark
N20001371,Court_A2,Court,BELFAST AREA E,OLDPARK,OLDPARK,Court
N20001370,Court_A1,Court,BELFAST AREA E,COURT,COURT,Court
N20001372,Court_C2,Court,BELFAST AREA E,COURT,COURT,Court
N20001369,Court_C1,Court,BELFAST AREA E,COURT,COURT,Court
N20000731,Oldpark_D4,Oldpark,BELFAST AREA E,OLDPARK,OLDPARK,Oldpark
N20000725,Oldpark_D3,Oldpark,BELFAST AREA E,OLDPARK,OLDPARK,Oldpark
N20000728,Oldpark_F1,Oldpark,BELFAST AREA E,OLDPARK,OLDPARK,Oldpark
N20000730,Oldpark_F2,Oldpark,BELFAST AREA E,OLDPARK,OLDPARK,Oldpark
N20000729,Oldpark_E2,Oldpark,BELFAST AREA E,OLDPARK,OLDPARK,Oldpark
N20000723,Oldpark_C3,Oldpark,BELFAST AREA E,OLDPARK,OLDPARK,Oldpark
N20000722,Oldpark_C2,Oldpark,BELFAST AREA E,OLDPARK,OLDPARK,Oldpark
N20000726,Oldpark_E1,Oldpark,BELFAST AREA H,OLDPARK,OLDPARK,Oldpark
N20000727,Oldpark_C4,Oldpark,BELFAST AREA E,OLDPARK,OLDPARK,Oldpark
N20000733,Oldpark_E4,Oldpark,BELFAST AREA E,OLDPARK,OLDPARK,Oldpark
N20000744,Oldpark_J2,Oldpark,BELFAST AREA E,OLDPARK,OLDPARK,Oldpark
N20000743,Oldpark_J1,Oldpark,BELFAST AREA E,OLDPARK,OLDPARK,Oldpark
N20000739,Oldpark_E5,Oldpark,BELFAST AREA E,OLDPARK,OLDPARK,Oldpark
N20000735,Oldpark_G2,Oldpark,BELFAST AREA H,OLDPARK,OLDPARK,Oldpark
N20000740,Oldpark_H1,Oldpark,BELFAST AREA H,OLDPARK,OLDPARK,Oldpark
N20000748,Oldpark_H2,Oldpark,BELFAST AREA H,OLDPARK,OLDPARK,Oldpark
N20000746,Oldpark_N1,Oldpark,BELFAST AREA H,OLDPARK,OLDPARK,Oldpark
N20000741,Oldpark_G4,Oldpark,BELFAST AREA H,OLDPARK,OLDPARK,Oldpark
N20000732,Oldpark_E3,Oldpark,BELFAST AREA H,OLDPARK,OLDPARK,Oldpark
N20000827,Castle_J5,Castle,BELFAST AREA H,CASTLE,CASTLE,Castle
N20000816,Castle_J4,Castle,BELFAST AREA H,CASTLE,CASTLE,Castle
N20000820,Castle_G5,Castle,BELFAST AREA H,CASTLE,OLDPARK,Castle
N20000819,Castle_G4,Castle,BELFAST AREA H,CASTLE,OLDPARK,Castle
N20000716,Oldpark_C1,Oldpark,BELFAST AREA E,OLDPARK,OLDPARK,Oldpark
N20000717,Oldpark_B2,Oldpark,BELFAST AREA E,OLDPARK,OLDPARK,Oldpark
N20000714,Oldpark_B1,Oldpark,BELFAST AREA E,OLDPARK,OLDPARK,Oldpark
N20000806,Castle_G2,Castle,BELFAST AREA H,CASTLE,CASTLE,Castle
N20000805,Castle_G1,Castle,BELFAST AREA H,CASTLE,CASTLE,Castle
N20000809,Castle_G3,Castle,BELFAST AREA H,CASTLE,CASTLE,Castle
N20000807,Castle_J1,Castle,BELFAST AREA H,CASTLE,CASTLE,Castle
N20000796,Castle_D1,Castle,BELFAST AREA H,CASTLE,CASTLE,Castle
N20000711,Oldpark_A1,Oldpark,BELFAST AREA E,OLDPARK,OLDPARK,Oldpark
N20000718,Oldpark_B3,Oldpark,BELFAST AREA E,OLDPARK,OLDPARK,Oldpark
N20000720,Oldpark_B4,Oldpark,BELFAST AREA E,OLDPARK,OLDPARK,Oldpark
N20000721,Oldpark_A5,Oldpark,BELFAST AREA E,OLDPARK,OLDPARK,Oldpark
N20000719,Oldpark_A4,Oldpark,BELFAST AREA E,OLDPARK,OLDPARK,Oldpark
N20000713,Oldpark_A3,Oldpark,BELFAST AREA E,OLDPARK,OLDPARK,Oldpark
N20000715,Oldpark_D1,Oldpark,BELFAST AREA E,OLDPARK,OLDPARK,Oldpark
N20000712,Oldpark_A2,Oldpark,BELFAST AREA E,OLDPARK,OLDPARK,Oldpark
N20000277,Airport_E6,Airport,NEWTOWNABBEY AREA A,BALLYCLARE,ANTRIM LINE,Airport
N20000251,Glengormley_Urban_L2,Glengormley Urban,NEWTOWNABBEY AREA A,BALLYCLARE,ANTRIM LINE,Glengormley Urban
N20000255,Glengormley_Urban_L4,Glengormley Urban,NEWTOWNABBEY AREA D,ANTRIM LINE,ANTRIM LINE,Glengormley Urban
N20000256,Glengormley_Urban_L5,Glengormley Urban,NEWTOWNABBEY AREA D,ANTRIM LINE,ANTRIM LINE,Glengormley Urban
N20000253,Glengormley_Urban_K3,Glengormley Urban,NEWTOWNABBEY AREA D,ANTRIM LINE,ANTRIM LINE,Glengormley Urban
N20000252,Glengormley_Urban_L3,Glengormley Urban,NEWTOWNABBEY AREA D,ANTRIM LINE,ANTRIM LINE,Glengormley Urban
N20000254,Glengormley_Urban_K4,Glengormley Urban,NEWTOWNABBEY AREA D,ANTRIM LINE,ANTRIM LINE,Glengormley Urban
N20000250,Glengormley_Urban_J5,Glengormley Urban,NEWTOWNABBEY AREA D,ANTRIM LINE,ANTRIM LINE,Glengormley Urban
N20000787,Castle_A1,Castle,BELFAST AREA H,CASTLE,CASTLE,Castle
N20000788,Castle_A2,Castle,BELFAST AREA H,CASTLE,CASTLE,Castle
N20000201,Macedon_J3,Macedon,NEWTOWNABBEY AREA B,DOAGH ROAD,MACEDON,Macedon
N20000196,Macedon_J2,Macedon,NEWTOWNABBEY AREA B,DOAGH ROAD,MACEDON,Macedon
N20000189,Macedon_J1,Macedon,NEWTOWNABBEY AREA B,DOAGH ROAD,MACEDON,Macedon
N20000190,Macedon_G1,Macedon,NEWTOWNABBEY AREA B,DOAGH ROAD,MACEDON,Macedon
N20000192,Macedon_G2,Macedon,NEWTOWNABBEY AREA B,DOAGH ROAD,MACEDON,Macedon
N20000195,Macedon_G4,Macedon,NEWTOWNABBEY AREA B,DOAGH ROAD,MACEDON,Macedon
N20000194,Macedon_K1,Macedon,NEWTOWNABBEY AREA B,DOAGH ROAD,MACEDON,Macedon
N20000193,Macedon_G3,Macedon,NEWTOWNABBEY AREA B,DOAGH ROAD,MACEDON,Macedon
N20000187,Macedon_F4,Macedon,NEWTOWNABBEY AREA B,DOAGH ROAD,MACEDON,Macedon
N20000191,Macedon_E4,Macedon,NEWTOWNABBEY AREA B,SHORE ROAD,MACEDON,Macedon
N20000198,Macedon_K3,Macedon,NEWTOWNABBEY AREA B,SHORE ROAD,MACEDON,Macedon
N20000197,Macedon_K2,Macedon,NEWTOWNABBEY AREA B,DOAGH ROAD,MACEDON,Macedon
N20000200,Macedon_K4,Macedon,NEWTOWNABBEY AREA B,DOAGH ROAD,MACEDON,Macedon
N20000204,Macedon_J5,Macedon,NEWTOWNABBEY AREA B,DOAGH ROAD,MACEDON,Macedon
N20000202,Macedon_K5,Macedon,NEWTOWNABBEY AREA B,DOAGH ROAD,MACEDON,Macedon
N20000199,Macedon_G5,Macedon,NEWTOWNABBEY AREA B,DOAGH ROAD,MACEDON,Macedon
N20000203,Macedon_J4,Macedon,NEWTOWNABBEY AREA B,DOAGH ROAD,MACEDON,Macedon
N20000205,Macedon_H3,Macedon,NEWTOWNABBEY AREA B,DOAGH ROAD,MACEDON,Macedon
N20000206,Macedon_H4,Macedon,NEWTOWNABBEY AREA B,SHORE ROAD,MACEDON,Macedon
N20000210,Macedon_L4,Macedon,NEWTOWNABBEY AREA B,DOAGH ROAD,MACEDON,Macedon
N20000208,Macedon_L2,Macedon,NEWTOWNABBEY AREA B,SHORE ROAD,MACEDON,Macedon
N20000792,Castle_B3,Castle,BELFAST AREA H,CASTLE,CASTLE,Castle
N20000793,Castle_B4,Castle,BELFAST AREA H,CASTLE,CASTLE,Castle
N20000791,Castle_B2,Castle,BELFAST AREA H,CASTLE,CASTLE,Castle
N20000790,Castle_B1,Castle,BELFAST AREA H,CASTLE,CASTLE,Castle
N20000209,Macedon_L3,Macedon,NEWTOWNABBEY AREA B,DOAGH ROAD,MACEDON,Macedon
N20000207,Macedon_L1,Macedon,NEWTOWNABBEY AREA B,DOAGH ROAD,MACEDON,Macedon
N20000789,Castle_A3,Castle,BELFAST AREA H,CASTLE,CASTLE,Castle
N20000797,Castle_C3,Castle,BELFAST AREA H,CASTLE,CASTLE,Castle
N20000799,Castle_D2,Castle,BELFAST AREA H,CASTLE,CASTLE,Castle
N20000802,Castle_F1,Castle,BELFAST AREA H,CASTLE,CASTLE,Castle
N20000808,Castle_D3,Castle,BELFAST AREA H,CASTLE,CASTLE,Castle
N20000812,Castle_F3,Castle,BELFAST AREA H,CASTLE,CASTLE,Castle
N20000814,Castle_J2,Castle,BELFAST AREA H,CASTLE,CASTLE,Castle
N20000815,Castle_J3,Castle,BELFAST AREA H,CASTLE,CASTLE,Castle
N20000824,Castle_L3,Castle,BELFAST AREA H,CASTLE,CASTLE,Castle
N20000822,Castle_L2,Castle,BELFAST AREA H,CASTLE,CASTLE,Castle
N20000818,Castle_L1,Castle,BELFAST AREA H,CASTLE,CASTLE,Castle
N20000823,Castle_K2,Castle,BELFAST AREA H,CASTLE,CASTLE,Castle
N20000817,Castle_H5,Castle,BELFAST AREA H,CASTLE,CASTLE,Castle
N20000811,Castle_H3,Castle,BELFAST AREA H,CASTLE,CASTLE,Castle
N20000810,Castle_H2,Castle,BELFAST AREA H,CASTLE,CASTLE,Castle
N20000804,Castle_H1,Castle,BELFAST AREA H,CASTLE,CASTLE,Castle
N20000803,Castle_F2,Castle,BELFAST AREA H,CASTLE,CASTLE,Castle
N20000801,Castle_E3,Castle,BELFAST AREA H,CASTLE,CASTLE,Castle
N20000813,Castle_H4,Castle,BELFAST AREA H,CASTLE,CASTLE,Castle
N20000821,Castle_K1,Castle,BELFAST AREA H,CASTLE,CASTLE,Castle
N20000800,Castle_E2,Castle,BELFAST AREA H,CASTLE,CASTLE,Castle
N20000798,Castle_E1,Castle,BELFAST AREA H,CASTLE,CASTLE,Castle
N20000795,Castle_C2,Castle,BELFAST AREA H,CASTLE,CASTLE,Castle
N20000794,Castle_C1,Castle,BELFAST AREA H,CASTLE,CASTLE,Castle
N20000188,Macedon_H2,Macedon,NEWTOWNABBEY AREA B,SHORE ROAD,MACEDON,Macedon
N20003545,Holywood_and_Clandeboye_F3,Holywood and Clandeboye,NORTH DOWN AREA D,HOLYWOOD,HOLYWOOD,Holywood and Clandeboye
N20003548,Holywood_and_Clandeboye_D1,Holywood and Clandeboye,NORTH DOWN AREA D,HOLYWOOD,HOLYWOOD,Holywood and Clandeboye
N20003549,Holywood_and_Clandeboye_D2,Holywood and Clandeboye,NORTH DOWN AREA D,HOLYWOOD,HOLYWOOD,Holywood and Clandeboye
N20003551,Holywood_and_Clandeboye_D3,Holywood and Clandeboye,NORTH DOWN AREA D,HOLYWOOD,HOLYWOOD,Holywood and Clandeboye
N20003553,Holywood_and_Clandeboye_E2,Holywood and Clandeboye,NORTH DOWN AREA D,HOLYWOOD,HOLYWOOD,Holywood and Clandeboye
N20003567,Holywood_and_Clandeboye_K4,Holywood and Clandeboye,NORTH DOWN AREA D,HOLYWOOD,HOLYWOOD,Holywood and Clandeboye
N20003575,Holywood_and_Clandeboye_K5,Holywood and Clandeboye,NORTH DOWN AREA D,HOLYWOOD,HOLYWOOD,Holywood and Clandeboye
N20003573,Holywood_and_Clandeboye_L3,Holywood and Clandeboye,NORTH DOWN AREA D,HOLYWOOD,HOLYWOOD,Holywood and Clandeboye
N20003574,Holywood_and_Clandeboye_L4,Holywood and Clandeboye,NORTH DOWN AREA D,HOLYWOOD,HOLYWOOD,Holywood and Clandeboye
N20003570,Holywood_and_Clandeboye_L1,Holywood and Clandeboye,NORTH DOWN AREA D,HOLYWOOD,HOLYWOOD,Holywood and Clandeboye
N20003566,Holywood_and_Clandeboye_H6,Holywood and Clandeboye,NORTH DOWN AREA D,HOLYWOOD,HOLYWOOD,Holywood and Clandeboye
N20003565,Holywood_and_Clandeboye_K3,Holywood and Clandeboye,NORTH DOWN AREA D,HOLYWOOD,HOLYWOOD,Holywood and Clandeboye
N20003560,Holywood_and_Clandeboye_K2,Holywood and Clandeboye,NORTH DOWN AREA D,HOLYWOOD,HOLYWOOD,Holywood and Clandeboye
N20003555,Holywood_and_Clandeboye_E3,Holywood and Clandeboye,NORTH DOWN AREA D,HOLYWOOD,HOLYWOOD,Holywood and Clandeboye
N20003550,Holywood_and_Clandeboye_E1,Holywood and Clandeboye,NORTH DOWN AREA D,HOLYWOOD,HOLYWOOD,Holywood and Clandeboye
N20003552,Holywood_and_Clandeboye_H1,Holywood and Clandeboye,NORTH DOWN AREA D,HOLYWOOD,HOLYWOOD,Holywood and Clandeboye
N20003558,Holywood_and_Clandeboye_H2,Holywood and Clandeboye,NORTH DOWN AREA D,HOLYWOOD,HOLYWOOD,Holywood and Clandeboye
N20003561,Holywood_and_Clandeboye_H3,Holywood and Clandeboye,NORTH DOWN AREA D,HOLYWOOD,HOLYWOOD,Holywood and Clandeboye
N20003559,Holywood_and_Clandeboye_K1,Holywood and Clandeboye,NORTH DOWN AREA D,HOLYWOOD,HOLYWOOD,Holywood and Clandeboye
N20003563,Holywood_and_Clandeboye_H4,Holywood and Clandeboye,NORTH DOWN AREA D,HOLYWOOD,HOLYWOOD,Holywood and Clandeboye
N20003564,Holywood_and_Clandeboye_H5,Holywood and Clandeboye,NORTH DOWN AREA D,HOLYWOOD,HOLYWOOD,Holywood and Clandeboye
N20003571,Holywood_and_Clandeboye_L2,Holywood and Clandeboye,NORTH DOWN AREA D,HOLYWOOD,HOLYWOOD,Holywood and Clandeboye
N20003576,Holywood_and_Clandeboye_L5,Holywood and Clandeboye,NORTH DOWN AREA D,HOLYWOOD,HOLYWOOD,Holywood and Clandeboye
N20000946,Ormiston_A1,Ormiston,NORTH DOWN AREA D,HOLYWOOD,HOLYWOOD,Ormiston
N20000947,Ormiston_A2,Ormiston,BELFAST AREA B,VICTORIA,VICTORIA,Ormiston
N20000945,Ormiston_B1,Ormiston,BELFAST AREA B,VICTORIA,VICTORIA,Ormiston
N20000948,Ormiston_B2,Ormiston,BELFAST AREA B,VICTORIA,VICTORIA,Ormiston
N20000949,Ormiston_A3,Ormiston,BELFAST AREA B,VICTORIA,VICTORIA,Ormiston
N20000951,Ormiston_A4,Ormiston,BELFAST AREA B,VICTORIA,VICTORIA,Ormiston
N20000950,Ormiston_B3,Ormiston,BELFAST AREA B,VICTORIA,VICTORIA,Ormiston
N20000956,Ormiston_B4,Ormiston,BELFAST AREA B,VICTORIA,VICTORIA,Ormiston
N20000954,Ormiston_A5,Ormiston,BELFAST AREA B,VICTORIA,VICTORIA,Ormiston
N20000953,Ormiston_C2,Ormiston,BELFAST AREA B,VICTORIA,VICTORIA,Ormiston
N20000952,Ormiston_C1,Ormiston,BELFAST AREA B,VICTORIA,VICTORIA,Ormiston
N20000955,Ormiston_C3,Ormiston,BELFAST AREA B,VICTORIA,VICTORIA,Ormiston
N20003577,Holywood_and_Clandeboye_L6,Holywood and Clandeboye,NORTH DOWN AREA D,HOLYWOOD,HOLYWOOD,Holywood and Clandeboye
N20002500,Castlereagh_East_A1,Castlereagh East,CASTLEREAGH AREA B,CASTLEREAGH EAST,CASTLEREAGH EAST,Castlereagh East
N20002503,Castlereagh_East_C2,Castlereagh East,CASTLEREAGH AREA B,CASTLEREAGH EAST,CASTLEREAGH EAST,Castlereagh East
N20002502,Castlereagh_East_C1,Castlereagh East,CASTLEREAGH AREA B,CASTLEREAGH EAST,CASTLEREAGH EAST,Castlereagh East
N20002501,Castlereagh_East_A2,Castlereagh East,CASTLEREAGH AREA B,CASTLEREAGH EAST,CASTLEREAGH EAST,Castlereagh East
N20002510,Castlereagh_East_E1,Castlereagh East,CASTLEREAGH AREA B,CASTLEREAGH EAST,CASTLEREAGH EAST,Castlereagh East
N20002511,Castlereagh_East_A3,Castlereagh East,CASTLEREAGH AREA B,CASTLEREAGH EAST,CASTLEREAGH EAST,Castlereagh East
N20002505,Castlereagh_East_B1,Castlereagh East,CASTLEREAGH AREA B,CASTLEREAGH EAST,CASTLEREAGH EAST,Castlereagh East
N20002523,Castlereagh_East_F3,Castlereagh East,CASTLEREAGH AREA B,CASTLEREAGH EAST,CASTLEREAGH EAST,Castlereagh East
N20002513,Castlereagh_East_B3,Castlereagh East,CASTLEREAGH AREA B,CASTLEREAGH EAST,CASTLEREAGH EAST,Castlereagh East
N20002515,Castlereagh_East_B4,Castlereagh East,CASTLEREAGH AREA B,CASTLEREAGH EAST,CASTLEREAGH EAST,Castlereagh East
N20002518,Castlereagh_East_B5,Castlereagh East,CASTLEREAGH AREA B,CASTLEREAGH EAST,CASTLEREAGH EAST,Castlereagh East
N20002526,Castlereagh_East_H1,Castlereagh East,CASTLEREAGH AREA B,CASTLEREAGH EAST,CASTLEREAGH EAST,Castlereagh East
N20002527,Castlereagh_East_F4,Castlereagh East,CASTLEREAGH AREA B,CASTLEREAGH EAST,CASTLEREAGH EAST,Castlereagh East
N20002514,Castlereagh_East_A4,Castlereagh East,CASTLEREAGH AREA B,CASTLEREAGH EAST,CASTLEREAGH EAST,Castlereagh East
N20002522,Castlereagh_East_F2,Castlereagh East,CASTLEREAGH AREA B,CASTLEREAGH EAST,CASTLEREAGH EAST,Castlereagh East
N20002521,Castlereagh_East_F1,Castlereagh East,CASTLEREAGH AREA B,CASTLEREAGH EAST,CASTLEREAGH EAST,Castlereagh East
N20002517,Castlereagh_East_E3,Castlereagh East,CASTLEREAGH AREA B,CASTLEREAGH EAST,CASTLEREAGH EAST,Castlereagh East
