DZ2021_cd,SA2011,weight
N20000084,N00000072,0.048967384199960474
N20000084,N00000013,0.04352359588343708
N20000084,N00000012,0.040886870161941515
N20000084,N00000014,0.003034923230311174
N20000084,N00000007,1.615037812525251e-05
N20000085,N00000072,0.9868627438182543
N20000085,N00000068,0.009161739158187486
N20000085,N00000062,0.0038432521279490517
N20000085,N00000007,7.062318815761715e-05
N20000085,N00000008,3.96986868578487e-05
N20000085,N00000018,2.165588243452587e-05
N20000086,N00003936,0.8606271642084242
N20000086,N00003937,0.1390123928436942
N20000086,N00003150,0.0003614479225122363
N20000087,N00003935,0.4143540226839194
N20000087,N00003997,0.3911595364072039
N20000087,N00003995,0.14945957581985744
N20000087,N00003996,0.03817049553250967
N20000087,N00003994,0.006607177286463083
N20000087,N00003150,0.00015059668435890962
N20000087,N00003903,7.712604040491075e-05
N20000087,N00003998,2.1495365629057345e-05
N20000088,N00003933,0.7100781501975308
N20000088,N00003936,0.2866865985606378
N20000088,N00003937,0.003106747008751516
N20000088,N00003154,9.626239804264333e-05
N20000088,N00003150,3.2533953198063966e-05
N20000089,N00003933,0.9983425078799729
N20000089,N00003937,0.0014805232801172736
N20000089,N00001748,0.00014280814573690458
N20000089,N00003131,2.6933999216204605e-05
N20000089,N00003154,6.656796666832681e-06
N20000090,N00003904,0.43711222659089843
N20000090,N00003903,0.2722245175858192
N20000090,N00003997,0.18866117785804679
N20000090,N00003935,0.10198413135332345
N20000090,N00003900,1.794661190861821e-05
N20000091,N00003998,0.5497963257927914
N20000091,N00003999,0.40581460972678357
N20000091,N00003996,0.04438906448043714
N20000092,N00003912,0.7141815399418247
N20000092,N00003903,0.13381842722702877
N20000092,N00003913,0.09547299800642957
N20000092,N00003937,0.02485478326563886
N20000092,N00003906,0.019664680661920245
N20000092,N00003904,0.009945909028949887
N20000092,N00003935,0.0013163928166704643
N20000092,N00003901,0.00046531300218990925
N20000092,N00003907,0.0002799560493464732
N20000093,N00003900,0.45219193234313315
N20000093,N00003904,0.4002211838445985
N20000093,N00003901,0.1459976358998754
