DZ2021_cd,SA2011,weight
N20000014,N00000035,0.022506444144293147
N20000014,N00000091,0.016792115214808886
N20000014,N00000036,0.0035139942571797223
N20000015,N00000126,0.5562274998170217
N20000015,N00000129,0.320453369254995
N20000015,N00000128,0.12186548154941168
N20000015,N00000127,0.0014511191408058067
N20000015,N00003531,1.4471253376210668e-06
N20000015,N00003530,1.1891898393693033e-06
N20000016,N00000091,0.48253849140299704
N20000016,N00000088,0.26607794853364286
N20000016,N00000086,0.107194450789763
N20000016,N00000090,0.08588873815736436
N20000016,N00000048,0.03964961677459248
N20000016,N00000087,0.016210253675627746
N20000016,N00000050,0.001207574559273314
N20000016,N00000085,0.0011457880610482563
N20000016,N00000049,8.713804623194082e-05
N20000017,N00000091,0.5102344187837253
N20000017,N00000090,0.32347877252247703
N20000017,N00000086,0.15497751681654545
N20000017,N00000089,0.009985115469213492
N20000017,N00000087,0.0013241764078648357
N20000018,N00000089,0.7261316021842719
N20000018,N00000087,0.19173683463389626
N20000018,N00000090,0.08213156318451466
N20000019,N00000085,0.5384330742373129
N20000019,N00000091,0.29080887303650077
N20000019,N00000088,0.15447587586209047
N20000019,N00000050,0.016200338650786378
N20000019,N00000086,8.155572959940125e-05
N20000020,N00000085,0.5157224377289107
N20000020,N00000035,0.324608377260177
N20000020,N00000036,0.159664473496513
N20000020,N00000034,4.7115143975026905e-06
N20000021,N00000087,0.7861968092447088
N20000021,N00000089,0.13153081551826729
N20000021,N00000086,0.08217299100733513
N20000021,N00000090,9.938423153168392e-05
N20000022,N00000127,0.7425418138184836
N20000022,N00000128,0.21317703537150198
N20000022,N00000126,0.04428115081317024
N20000023,N00000032,0.5722058828919352
N20000023,N00000036,0.313307420662058
N20000023,N00000085,0.09461342164807639
N20000023,N00000033,0.010308489695589574
N20000023,N00000035,0.009564785102338817
N20000024,N00000127,0.34166533930873244
N20000024,N00000128,0.3208267255008361
N20000024,N00000125,0.15868247001006525
N20000024,N00000033,0.11309471734431635
N20000024,N00000126,0.034893279448963734
N20000024,N00000045,0.029340173969556238
N20000024,N00000129,0.0014972944179368441
N20000025,N00000087,0.6965164718231156
N20000025,N00000074,0.3034798288030357
N20000025,N00000093,3.6993734503121e-06
N20000026,N00000079,0.3561052336232069
N20000026,N00000080,0.3458350976334291
N20000026,N00000084,0.24924839760709486
N20000026,N00000081,0.04861400786294942
N20000026,N00000120,0.00019195789870822018
N20000026,N00003993,3.1541895671210137e-06
N20000026,N00000118,1.5935827999712752e-06
N20000027,N00000074,0.9999999999999996
N20000028,N00000033,0.7332807909439886
N20000028,N00000032,0.0729186004076903
N20000028,N00000034,0.06124443033905638
N20000028,N00000031,0.06047132153506513
N20000028,N00000045,0.05930164084483088
N20000028,N00000036,0.010120127965737297
N20000028,N00000127,0.002663087963630376
N20000029,N00000087,0.8275491815995888
N20000029,N00000093,0.10546596050276531
N20000029,N00000089,0.02915879098558266
N20000029,N00000086,0.023221867054459243
N20000029,N00000085,0.014154446496958292
N20000029,N00000095,0.00022806145476955616
N20000029,N00000032,0.00021862861425610164
N20000029,N00000090,2.9878164002279164e-06
N20000030,N00000082,0.7411935041102534
N20000030,N00000079,0.1842871660401661
N20000030,N00000080,0.0409191490029682
N20000030,N00000081,0.032808296845809645
N20000030,N00000096,0.0006324814927649865
N20000030,N00000124,6.0306014579291376e-05
N20000030,N00000122,4.499975548161439e-05
N20000030,N00000052,4.366553933146636e-05
N20000030,N00000118,1.0313656543564746e-05
N20000031,N00000081,0.48951175256336343
N20000031,N00000080,0.35471513079278777
N20000031,N00000079,0.15577311664384308
N20000032,N00000031,0.5897566968542703
N20000032,N00000087,0.2798344842847448
N20000032,N00000032,0.11686256256368484
N20000032,N00000085,0.006726763062790529
N20000032,N00000086,0.005592641431023146
N20000032,N00000033,0.0012268518033278642
N20000033,N00000128,0.7427926126540549
N20000033,N00000033,0.1893876826570168
N20000033,N00000127,0.05264985938175892
N20000033,N00000031,0.015169845307473959
N20000034,N00000031,0.5664117226702426
N20000034,N00000033,0.2886530943784718
N20000034,N00000128,0.14493518295148294
N20000035,N00000103,0.7777640954481425
N20000035,N00000098,0.11678968862704726
N20000035,N00000104,0.05455519327126659
N20000035,N00000078,0.050714991534639056
N20000035,N00000074,0.0001607045562990871
N20000035,N00000101,1.3750151107300696e-05
N20000035,N00000096,1.5764114959976538e-06
N20000036,N00000103,1.0000000000000004
N20000037,N00000101,0.5251222997772371
N20000037,N00000103,0.20267470833430426
N20000037,N00000102,0.17845631255117272
N20000037,N00000104,0.09126179957549492
N20000037,N00000098,0.0024848797617965683
N20000038,N00000103,0.43659709863317386
N20000038,N00000052,0.4091842200152423
N20000038,N00000098,0.12209770039532447
N20000038,N00000051,0.03210365025721332
N20000038,N00000096,1.7233803512852607e-05
N20000039,N00000098,0.7600774376895095
N20000039,N00000103,0.20621688653748158
N20000039,N00000102,0.0335722143322285
N20000039,N00000097,0.0001334614407804543
N20000040,N00000101,0.5650107912173001
N20000040,N00000102,0.24506505388959507
N20000040,N00000104,0.15146990616380052
N20000040,N00000097,0.03839936964711099
N20000040,N00000098,5.487908219812949e-05
N20000041,N00000074,0.7995800315014129
N20000041,N00000097,0.12521275970891477
N20000041,N00000078,0.035471886151399526
N20000041,N00000075,0.024141803034211238
N20000041,N00000102,0.012217191824510375
N20000041,N00000098,0.0028208617824240774
N20000041,N00000101,0.00040437530463778446
