OA_CODE,nimdm2005_Income_score,nimdm2005_Employment_score,nimdm2005_EDM_score,nimdm2005_dep_pct,nimdm2010_Income Deprivation_score,nimdm2010_Employment Deprivation_score,nimdm2010_MDM_score,nimdm2010_dep_pct,nimdm2017_dep_pct,nimdm2017_income_pct,nimdm2017_employ_pct
95LL250004,0.05,0.14,10.68,29.575781716789486,0.14,0.08,7.25,15.793666600278833,31.591710758377424,51.410934744268076,38.60229276895944
95LL250005,0.2,0.14,15.95,43.93547102170883,0.18,0.1,12.34,33.77813184624576,27.182539682539687,50.771604938271594,18.783068783068778
95LL250006,0.04,0.07,5.44,10.695080661222867,0.08,0.04,4.45,5.915156343357896,9.457671957671954,21.516754850088184,9.303350970017632
95LL250007,0.02,0.08,5.54,10.973909579764985,0.02,0.05,3.4,2.6289583748257295,7.208994708994709,31.150793650793652,4.056437389770728
95LL250008,0.13,0.15,16.32,45.19020115514838,0.24,0.11,16.49,47.6598287193786,42.592592592592595,51.278659611992936,42.305996472663146
95LL250009,0.04,0.09,7.33,17.50647281418044,0.1,0.07,6.61,13.762198765186218,15.277777777777777,17.085537918871253,5.6216931216931165
95LL250010,0.05,0.08,6.86,15.654252141007763,0.07,0.12,9.17,22.166899024098786,30.842151675485006,47.0679012345679,41.622574955908284
95LL260001,0.44,0.33,46.73,91.63513244373631,0.36,0.19,32.84,79.48615813582951,88.69047619047619,81.92239858906525,86.57407407407408
95LL260002,0.31,0.19,24.26,64.7679745070703,0.48,0.28,48.8,93.26827325234018,99.18430335097001,98.69929453262787,97.37654320987654
95LL260003,0.33,0.28,35.32,82.55327623979286,0.4,0.21,37.82,85.20215096594303,99.18430335097001,98.69929453262787,97.37654320987654
95LL260004,0.4,0.25,36.35,83.74825731925911,0.43,0.23,44.19,90.26090420235013,96.16402116402116,99.25044091710757,77.95414462081129
95LL260005,0.07,0.13,10.05,27.126070503883692,0.1,0.11,8.75,20.593507269468237,11.133156966490299,12.654320987654321,21.296296296296287
95LL260006,0.05,0.11,7.38,17.60605457080263,0.09,0.06,5.55,10.017924716191995,5.0925925925925934,3.1746031746031744,6.4594356261022945
95LL260007,0.08,0.14,11.28,31.149173471420035,0.06,0.09,5.04,8.006373232423824,4.43121693121693,11.243386243386244,12.411816578483247
95LL260008,0.24,0.16,17.86,49.01414060944035,0.22,0.13,14.76,42.0035849432384,62.78659611992945,63.13932980599648,71.20811287477954
95LL260009,0.16,0.14,14.41,39.772953594901416,0.18,0.11,10.2,25.931089424417443,30.820105820105827,46.82539682539682,45.28218694885362
95LL260010,0.21,0.21,23.14,62.05935072694682,0.28,0.14,27.52,71.65903206532563,91.66666666666666,92.98941798941799,92.81305114638448
95LL260011,0.44,0.31,44.58,90.4003186616212,0.38,0.17,37.33,84.68432583150766,93.03350970017637,91.88712522045856,81.10670194003528
95MM010001,0.1,0.15,13.5,37.50248954391555,0.15,0.17,14.6,41.525592511451904,50.5731922398589,84.7222222222222,43.78306878306878
95MM010002,0.13,0.14,13.25,36.92491535550687,0.13,0.08,11.94,32.4636526588329,43.60670194003527,46.93562610229277,55.13668430335096
95MM010003,0.37,0.29,41.86,88.52818163712408,0.39,0.25,35.6,82.65285799641507,43.60670194003527,46.93562610229277,55.13668430335097
95MM010004,0.17,0.15,16.5,45.70802628958375,0.19,0.16,17.12,49.77096195976897,40.21164021164021,52.68959435626102,47.442680776014114
95MM010005,0.38,0.25,37.21,84.68432583150766,0.43,0.25,38.34,85.54072893845847,86.86067019400353,65.93915343915344,86.22134038800705
95MM010006,0.5,0.27,46.52,91.4758016331408,0.66,0.29,49.2,93.54710217088228,97.31040564373897,90.52028218694885,98.89770723104058
95MM010007,0.52,0.3,51.46,93.9255128460466,0.64,0.28,50.4,93.90559649472216,80.33509700176367,68.5626102292769,83.24514991181657
95MM010008,0.62,0.29,56.52,95.95698068113921,0.51,0.17,38.64,85.89922326229835,91.75485008818343,95.45855379188713,86.75044091710758
95MM010009,0.35,0.25,33.33,80.32264489145588,0.42,0.22,32.0,78.66958773152759,46.516754850088184,76.05820105820106,41.269841269841265
95MM010010,0.05,0.03,2.38,1.4339772953594898,0.15,0.06,8.44,19.737104162517426,46.516754850088184,76.05820105820106,41.269841269841265
95MM010011,0.22,0.2,23.01,61.84027086237801,0.21,0.13,15.96,46.04660426209919,25.57319223985891,0.22045855379189128,45.98765432098766
95MM010012,0.08,0.12,8.64,22.82413861780522,0.06,0.07,4.99,7.787293367855009,3.3950617283950657,5.555555555555558,21.42857142857143
95MM010013,0.01,0.06,3.9,5.1185022903804,0.0,0.01,3.99,4.521011750647286,43.60670194003527,46.93562610229277,55.13668430335097
