Geography,SA2011,LGD,MDM_rank,Income_rank,Employment_rank,MDM_decile
Glencolin_2,N00001235,Belfast,883,2061,445,2
Glencolin_2,N00001236,Belfast,944,1284,1133,3
Glencolin_2,N00001237,Belfast,993,2819,492,3
Glencolin_3,N00001238,Belfast,1863,4041,1021,5
Glencolin_3,N00001239,Belfast,3329,4449,2092,8
Glencolin_3,N00001240,Belfast,490,1045,414,2
Glencolin_4,N00001241,Belfast,804,2617,474,2
Glencolin_4,N00001242,Belfast,1120,3625,677,3
Glencolin_4,N00001243,Belfast,1380,4091,919,4
Glencolin_4,N00001244,Belfast,216,356,272,1
Glencolin_4,N00001245,Belfast,754,2345,371,2
Highfield_1,N00001246,Belfast,2352,1788,2735,6
Highfield_1,N00001247,Belfast,1033,2458,1367,3
Highfield_1,N00001248,Belfast,3371,3146,3305,8
Highfield_1,N00001249,Belfast,2967,2965,2234,7
Highfield_1,N00001250,Belfast,3125,3825,2743,7
Highfield_2,N00001251,Belfast,786,688,1132,2
Highfield_2,N00001252,Belfast,1855,3952,666,5
Highfield_2,N00001253,Belfast,1458,2851,979,4
Highfield_2,N00001254,Belfast,3012,4311,1828,7
Highfield_2,N00001255,Belfast,1294,1317,1220,3
Highfield_2,N00001256,Belfast,3630,4366,2814,8
Highfield_3,N00001257,Belfast,671,803,583,2
Highfield_3,N00001258,Belfast,551,587,789,2
Highfield_3,N00001259,Belfast,296,262,393,1
Highfield_3,N00001260,Belfast,286,188,589,1
Highfield_3,N00001261,Belfast,720,1502,645,2
Highfield_3,N00001262,Belfast,888,1473,763,2
Island_1,N00001263,Belfast,2454,3602,1657,6
Island_1,N00001264,Belfast,732,2712,996,2
Island_1,N00001265,Belfast,1529,2690,1893,4
Island_1,N00001266,Belfast,293,2273,208,1
Island_1,N00001267,Belfast,162,346,499,1
Island_1,N00001268,Belfast,471,938,487,2
Island_2,N00001269,Belfast,2231,1671,3048,5
Island_2,N00001270,Belfast,1984,3524,1243,5
Island_2,N00001271,Belfast,1931,1779,2283,5
Island_2,N00001272,Belfast,2972,2605,2396,7
Island_2,N00001273,Belfast,1366,2194,823,4
Knock_1,N00001274,Belfast,846,1786,696,2
Knock_1,N00001275,Belfast,1353,1277,1249,3
Knock_1,N00001276,Belfast,2055,3849,1490,5
Knock_1,N00001277,Belfast,4446,4418,3793,10
Knock_1,N00001278,Belfast,4129,4085,4053,10
Knock_1,N00001279,Belfast,257,304,153,1
Knock_1,N00001280,Belfast,577,862,581,2
Knock_2,N00001281,Belfast,4450,3655,4497,10
Knock_2,N00001282,Belfast,3899,2448,3790,9
Knock_2,N00001283,Belfast,4312,3060,4147,10
Knock_2,N00001284,Belfast,4426,4494,4336,10
Knock_2,N00001285,Belfast,4213,4161,4028,10
Knock_3,N00001286,Belfast,3611,2250,3360,8
Knock_3,N00001287,Belfast,3592,3434,3392,8
Knock_3,N00001288,Belfast,4299,3832,4035,10
Knock_3,N00001289,Belfast,3677,3932,3185,9
Knock_3,N00001290,Belfast,4368,4141,3665,10
Ladybrook_1,N00001291,Belfast,2718,3226,1831,6
Ladybrook_1,N00001292,Belfast,3682,3854,2600,9
Ladybrook_1,N00001293,Belfast,4408,4429,3617,10
Ladybrook_1,N00001294,Belfast,3649,4298,2851,9
Ladybrook_1,N00001295,Belfast,3977,3782,3824,9
Ladybrook_2,N00001296,Belfast,1326,2600,888,3
Ladybrook_2,N00001297,Belfast,3255,3217,1949,8
Ladybrook_2,N00001298,Belfast,114,291,222,1
Ladybrook_2,N00001299,Belfast,1930,3454,1593,5
Ladybrook_2,N00001300,Belfast,3836,3993,2728,9
Ladybrook_2,N00001301,Belfast,3416,4046,2196,8
Ladybrook_3,N00001302,Belfast,84,166,320,1
Ladybrook_3,N00001303,Belfast,680,2225,351,2
Ladybrook_3,N00001304,Belfast,2977,3307,1895,7
Ladybrook_3,N00001305,Belfast,3083,4223,1933,7
Ladybrook_3,N00001306,Belfast,87,536,76,1
Ladybrook_3,N00001307,Belfast,269,2241,83,1
Legoniel_1,N00001308,Belfast,1471,1250,2118,4
Legoniel_1,N00001309,Belfast,540,592,967,2
Legoniel_1,N00001310,Belfast,2101,3152,1914,5
Legoniel_1,N00001311,Belfast,281,562,483,1
Legoniel_1,N00001312,Belfast,557,738,815,2
Legoniel_1,N00001313,Belfast,1376,1348,1456,4
Legoniel_2,N00001314,Belfast,1238,2260,847,3
Legoniel_2,N00001315,Belfast,1253,1950,613,3
Legoniel_2,N00001316,Belfast,110,49,227,1
Legoniel_2,N00001317,Belfast,1959,3279,1352,5
Legoniel_2,N00001318,Belfast,957,1131,715,3
Legoniel_3,N00001319,Belfast,2393,2168,2164,6
Legoniel_3,N00001320,Belfast,2909,2714,2374,7
Legoniel_3,N00001321,Belfast,2654,4079,1972,6
Legoniel_3,N00001322,Belfast,228,204,266,1
Legoniel_3,N00001323,Belfast,2024,2823,1304,5
Legoniel_3,N00001324,Belfast,3374,3802,3260,8
Malone_1,N00001325,Belfast,4314,4011,4271,10
Malone_1,N00001326,Belfast,4467,4350,4245,10
Malone_1,N00001327,Belfast,4248,4105,4394,10
Malone_2,N00001328,Belfast,4332,3749,4434,10
Malone_2,N00001329,Belfast,4469,4310,3981,10
Malone_2,N00001330,Belfast,4498,4076,4359,10
Malone_3,N00001331,Belfast,3806,4006,4277,9
Malone_3,N00001332,Belfast,2321,1168,2839,6
Malone_3,N00001333,Belfast,3947,3075,4458,9
Malone_3,N00001334,Belfast,4497,3744,4507,10
Malone_3,N00001335,Belfast,3099,2255,3276,7
Malone_3,N00001336,Belfast,4360,4114,4452,10
Malone_3,N00001337,Belfast,4478,4367,4177,10
Musgrave_1,N00001338,Belfast,2738,2803,1769,7
Musgrave_1,N00001339,Belfast,1895,1425,1990,5
Musgrave_1,N00001340,Belfast,1157,673,1069,3
Musgrave_2,N00001341,Belfast,3770,4432,3001,9
Musgrave_2,N00001342,Belfast,3753,3957,2949,9
Musgrave_2,N00001343,Belfast,4025,4295,2459,9
Musgrave_2,N00001344,Belfast,4327,4293,3782,10
Musgrave_2,N00001345,Belfast,3050,2534,2596,7
Musgrave_3,N00001346,Belfast,4486,4428,4475,10
Musgrave_3,N00001347,Belfast,3496,2727,2864,8
Musgrave_3,N00001348,Belfast,3883,3936,3795,9
Musgrave_3,N00001349,Belfast,3480,4419,3686,8
New Lodge_1,N00001350,Belfast,120,1106,77,1
New Lodge_1,N00001351,Belfast,423,2931,221,1
New Lodge_1,N00001352,Belfast,601,831,881,2
New Lodge_1,N00001353,Belfast,71,2075,4,1
New Lodge_2,N00001354,Belfast,47,480,13,1
New Lodge_2,N00001355,Belfast,384,1292,314,1
New Lodge_2,N00001356,Belfast,336,1709,36,1
New Lodge_2,N00001357,Belfast,7,185,3,1
New Lodge_3,N00001358,Belfast,59,132,181,1
New Lodge_3,N00001359,Belfast,140,189,340,1
New Lodge_3,N00001360,Belfast,694,2177,841,2
New Lodge_3,N00001361,Belfast,850,4488,1046,2
New Lodge_3,N00001362,Belfast,191,4252,65,1
Orangefield_1,N00001363,Belfast,3727,2950,3921,9
Orangefield_1,N00001364,Belfast,3157,2301,3365,7
Orangefield_1,N00001365,Belfast,4134,4301,4075,10
Orangefield_1,N00001366,Belfast,4024,2601,4347,9
Orangefield_1,N00001367,Belfast,1427,3179,1290,4
Orangefield_2,N00001368,Belfast,4197,4258,4294,10
Orangefield_2,N00001369,Belfast,3623,2577,3517,8
Orangefield_2,N00001370,Belfast,3450,3090,2766,8
Orangefield_2,N00001371,Belfast,4313,3339,3970,10
Orangefield_2,N00001372,Belfast,4258,4025,3815,10
Orangefield_3,N00001373,Belfast,4065,3541,3724,9
Orangefield_3,N00001374,Belfast,4321,3622,3520,10
Orangefield_3,N00001375,Belfast,3148,4270,1941,7
Orangefield_3,N00001376,Belfast,3132,4195,3376,7
Orangefield_3,N00001377,Belfast,4064,3821,3545,9
Orangefield_3,N00001378,Belfast,3884,2667,3456,9
Orangefield_3,N00001379,Belfast,3478,4467,3616,8
Ravenhill_1,N00001380,Belfast,3503,3970,2846,8
Ravenhill_1,N00001381,Belfast,3517,2762,3127,8
Ravenhill_1,N00001382,Belfast,4413,4415,4232,10
Ravenhill_1,N00001383,Belfast,4396,4116,4532,10
Ravenhill_1,N00001384,Belfast,3792,3395,3729,9
Ravenhill_1,N00001385,Belfast,4464,4502,4524,10
Ravenhill_2,N00001386,Belfast,1923,3032,2788,5
Ravenhill_2,N00001387,Belfast,2990,3333,2812,7
Ravenhill_2,N00001388,Belfast,2813,4176,2470,7
Ravenhill_2,N00001389,Belfast,2156,1014,2722,5
Ravenhill_2,N00001390,Belfast,4437,4193,4285,10
Ravenhill_2,N00001391,Belfast,4523,4219,4403,10
Ravenhill_3,N00001392,Belfast,3258,3971,2845,8
Ravenhill_3,N00001393,Belfast,4175,3535,4468,10
Ravenhill_3,N00001394,Belfast,4112,4143,3889,10
Ravenhill_3,N00001395,Belfast,4257,4049,4246,10
Ravenhill_3,N00001396,Belfast,3193,2713,3772,8
Ravenhill_3,N00001397,Belfast,2937,4383,3120,7
Ravenhill_3,N00001398,Belfast,3054,3428,3208,7
Rosetta_1,N00001399,Belfast,4468,4032,4230,10
Rosetta_1,N00001400,Belfast,4262,2609,4283,10
Rosetta_1,N00001401,Belfast,2799,1480,2965,7
Rosetta_1,N00001402,Belfast,4276,3135,4467,10
Rosetta_1,N00001403,Belfast,4070,3835,3373,9
Rosetta_2,N00001404,Belfast,2980,3247,1571,7
Rosetta_2,N00001405,Belfast,2169,2603,1421,5
Rosetta_2,N00001406,Belfast,2123,1268,1890,5
Rosetta_2,N00001407,Belfast,3297,4417,2546,8
Rosetta_2,N00001408,Belfast,4525,4286,4442,10
Rosetta_3,N00001409,Belfast,4362,4516,4478,10
Rosetta_3,N00001410,Belfast,4512,4227,4262,10
Rosetta_3,N00001411,Belfast,4531,4493,4491,10
Rosetta_3,N00001412,Belfast,2023,2845,860,5
Rosetta_3,N00001413,Belfast,4493,3611,4457,10
Rosetta_3,N00001414,Belfast,4353,4430,3478,10
Shaftesbury_1,N00001415,Belfast,662,2911,635,2
Shaftesbury_1,N00001416,Belfast,2585,2787,3134,6
Shaftesbury_1,N00001417,Belfast,132,747,75,1
Shaftesbury_1,N00001418,Belfast,396,1804,274,1
Shaftesbury_1,N00001419,Belfast,959,3108,549,3
Shaftesbury_2,N00001420,Belfast,1021,2979,658,3
Shaftesbury_2,N00001421,Belfast,1099,1808,1354,3
Shaftesbury_2,N00001422,Belfast,620,1214,779,2
Shaftesbury_2,N00001423,Belfast,717,3905,322,2
Shaftesbury_2,N00001424,Belfast,533,685,863,2
Shaftesbury_2,N00001425,Belfast,1223,2563,1544,3
Shaftesbury_3,N00001426,Belfast,339,854,449,1
Shaftesbury_3,N00001427,Belfast,411,3362,177,1
Shaftesbury_3,N00001428,Belfast,784,1233,730,2
Shaftesbury_3,N00001429,Belfast,826,990,962,2
Shaftesbury_3,N00001430,Belfast,178,193,426,1
Shankill_1,N00001431,Belfast,841,2229,756,2
Shankill_1,N00001432,Belfast,22,30,188,1
Shankill_1,N00001433,Belfast,479,1217,532,2
Shankill_1,N00001434,Belfast,426,875,528,1
Shankill_1,N00001435,Belfast,82,524,58,1
Shankill_1,N00001436,Belfast,159,714,251,1
Shankill_2,N00001437,Belfast,21,73,61,1
Shankill_2,N00001438,Belfast,456,2366,463,2
Shankill_2,N00001439,Belfast,706,1580,1048,2
Shankill_2,N00001440,Belfast,625,2540,197,2
Shankill_2,N00001441,Belfast,117,643,194,1
Shankill_2,N00001442,Belfast,351,1286,424,1
Shankill_2,N00001443,Belfast,19,425,21,1
Shankill_2,N00001444,Belfast,40,794,12,1
Stormont_1,N00001445,Belfast,4366,4256,4197,10
Stormont_1,N00001446,Belfast,4068,2888,3609,9
Stormont_1,N00001447,Belfast,3881,2454,3834,9
Stormont_1,N00001448,Belfast,4449,4520,4085,10
Stormont_1,N00001449,Belfast,3737,1839,3696,9
Stormont_1,N00001450,Belfast,4506,4530,4351,10
Stormont_2,N00001451,Belfast,4378,4254,4149,10
Stormont_2,N00001452,Belfast,4511,4356,4398,10
Stormont_2,N00001453,Belfast,4519,3826,4472,10
Stormont_2,N00001454,Belfast,4496,4288,4438,10
Stormont_2,N00001455,Belfast,4499,3911,4065,10
Stormont_3,N00001456,Belfast,4500,4466,3995,10
Stormont_3,N00001457,Belfast,4393,3533,4284,10
Stormont_3,N00001458,Belfast,4401,4506,4211,10
Stormont_3,N00001459,Belfast,4513,4348,4326,10
Stormont_3,N00001460,Belfast,3443,3571,2481,8
Stranmillis_1,N00001461,Belfast,4508,4013,4371,10
Stranmillis_1,N00001462,Belfast,4495,3573,4509,10
Stranmillis_1,N00001463,Belfast,4288,4238,4239,10
Stranmillis_1,N00001464,Belfast,4406,3937,4410,10
Stranmillis_1,N00001465,Belfast,4427,3588,4340,10
Stranmillis_2,N00001466,Belfast,4187,4053,4181,10
Stranmillis_2,N00001467,Belfast,4537,4535,4537,10
Stranmillis_3,N00001468,Belfast,4022,2927,4523,9
Stranmillis_3,N00001469,Belfast,4472,4180,4526,10
Stranmillis_3,N00001470,Belfast,3644,2697,4518,9
Stranmillis_3,N00001471,Belfast,3957,3545,4535,9
Stranmillis_3,N00001472,Belfast,4521,3939,4514,10
Stranmillis_4,N00001473,Belfast,3894,2774,4501,9
Stranmillis_4,N00001474,Belfast,4470,3704,4391,10
Stranmillis_4,N00001475,Belfast,4423,3721,4345,10
Stranmillis_4,N00001476,Belfast,4460,3711,4527,10
Stranmillis_4,N00001477,Belfast,4480,4514,4494,10
Stranmillis_4,N00001478,Belfast,4167,2340,4517,10
Stranmillis_4,N00001479,Belfast,4479,4305,4522,10
Sydenham_1,N00001480,Belfast,1512,2944,764,4
Sydenham_1,N00001481,Belfast,666,4194,397,2
Sydenham_1,N00001482,Belfast,2867,3303,2782,7
Sydenham_1,N00001483,Belfast,2455,2626,2309,6
Sydenham_1,N00001484,Belfast,1022,2088,797,3
Sydenham_2,N00001485,Belfast,2775,3990,2897,7
Sydenham_2,N00001486,Belfast,4261,4128,3908,10
Sydenham_2,N00001487,Belfast,2709,2243,2348,6
Sydenham_2,N00001488,Belfast,1869,808,2802,5
Sydenham_2,N00001489,Belfast,3500,3982,3275,8
Sydenham_2,N00001490,Belfast,2974,3851,3139,7
Sydenham_3,N00001491,Belfast,3167,4279,2110,7
Sydenham_3,N00001492,Belfast,735,727,1008,2
Sydenham_3,N00001493,Belfast,3263,4302,2909,8
Sydenham_3,N00001494,Belfast,2382,2196,3206,6
Sydenham_3,N00001495,Belfast,1941,3184,2321,5
Sydenham_3,N00001496,Belfast,2218,1872,2530,5
Sydenham_3,N00001497,Belfast,3018,2967,2416,7
The Mount_1,N00001498,Belfast,645,757,1172,2
The Mount_1,N00001499,Belfast,774,1133,1331,2
The Mount_1,N00001500,Belfast,636,1478,440,2
The Mount_1,N00001501,Belfast,369,1180,521,1
The Mount_1,N00001502,Belfast,1072,3496,1457,3
The Mount_1,N00001503,Belfast,157,1066,281,1
The Mount_1,N00001504,Belfast,382,3062,405,1
The Mount_1,N00001505,Belfast,1126,1657,1959,3
The Mount_2,N00001506,Belfast,183,122,925,1
The Mount_2,N00001507,Belfast,683,2846,640,2
The Mount_2,N00001508,Belfast,495,457,1007,2
The Mount_2,N00001509,Belfast,1107,2015,1104,3
The Mount_2,N00001510,Belfast,1665,1532,1842,4
The Mount_2,N00001511,Belfast,291,969,637,1
The Mount_2,N00001512,Belfast,1143,2630,1642,3
The Mount_2,N00001513,Belfast,560,889,857,2
Upper Malone_1,N00001514,Belfast,3468,4249,2482,8
Upper Malone_1,N00001515,Belfast,4356,4152,4272,10
Upper Malone_1,N00001516,Belfast,4492,4460,4361,10
Upper Malone_1,N00001517,Belfast,4428,3861,4309,10
Upper Malone_1,N00001518,Belfast,4168,3670,4331,10
Upper Malone_2,N00001519,Belfast,1519,1447,2225,4
Upper Malone_2,N00001520,Belfast,962,2266,777,3
Upper Malone_2,N00001521,Belfast,646,2867,302,2
Upper Malone_2,N00001522,Belfast,2487,2550,2103,6
Upper Malone_2,N00001523,Belfast,581,3353,456,2
Upper Malone_2,N00001524,Belfast,418,1984,237,1
Upper Malone_3,N00001525,Belfast,2019,2358,1848,5
Upper Malone_3,N00001526,Belfast,1296,812,1204,3
Upper Malone_3,N00001527,Belfast,3183,4093,1681,8
Upper Malone_3,N00001528,Belfast,4420,4045,4400,10
Upper Malone_3,N00001529,Belfast,2436,2683,1876,6
Upper Malone_3,N00001530,Belfast,4532,4398,4425,10
Upper Springfield_1,N00001531,Belfast,221,1658,117,1
Upper Springfield_1,N00001532,Belfast,1387,4382,807,4
Upper Springfield_1,N00001533,Belfast,344,1378,178,1
Upper Springfield_1,N00001534,Belfast,607,2665,256,2
Upper Springfield_2,N00001535,Belfast,44,961,39,1
Upper Springfield_2,N00001536,Belfast,953,4450,390,3
Upper Springfield_2,N00001537,Belfast,200,2220,142,1
Upper Springfield_2,N00001538,Belfast,2460,4096,1394,6
Upper Springfield_2,N00001539,Belfast,441,1379,273,1
Upper Springfield_3,N00001540,Belfast,882,3930,415,2
Upper Springfield_3,N00001541,Belfast,142,1367,35,1
Upper Springfield_3,N00001542,Belfast,272,2631,134,1
Upper Springfield_3,N00001543,Belfast,220,1645,159,1
Upper Springfield_3,N00001544,Belfast,319,713,374,1
Water Works_1,N00001545,Belfast,264,206,558,1
Water Works_1,N00001546,Belfast,52,235,217,1
Water Works_1,N00001547,Belfast,584,2073,359,2
Water Works_1,N00001548,Belfast,56,872,52,1
Water Works_1,N00001549,Belfast,86,571,72,1
Water Works_1,N00001550,Belfast,147,1734,38,1
Water Works_1,N00001551,Belfast,539,1621,385,2
Water Works_2,N00001552,Belfast,1341,3619,542,3
Water Works_2,N00001553,Belfast,2,24,1,1
Water Works_2,N00001554,Belfast,48,622,14,1
Water Works_2,N00001555,Belfast,42,1453,7,1
Water Works_2,N00001556,Belfast,1209,1901,850,3
Water Works_2,N00001557,Belfast,8,6,40,1
Water Works_3,N00001558,Belfast,126,590,113,1
Water Works_3,N00001559,Belfast,412,559,291,1
Water Works_3,N00001560,Belfast,1247,3266,821,3
Water Works_3,N00001561,Belfast,425,221,882,1
Water Works_3,N00001562,Belfast,104,252,180,1
Water Works_3,N00001563,Belfast,580,2859,168,2
Water Works_3,N00001564,Belfast,739,2101,569,2
Whiterock_1,N00001565,Belfast,308,515,570,1
Whiterock_1,N00001566,Belfast,404,1556,325,1
Whiterock_1,N00001567,Belfast,318,519,432,1
Whiterock_1,N00001568,Belfast,2278,2218,1903,6
Whiterock_1,N00001569,Belfast,529,1116,771,2
Whiterock_2,N00001570,Belfast,145,1531,81,1
Whiterock_2,N00001571,Belfast,342,2187,189,1
Whiterock_2,N00001572,Belfast,174,3510,84,1
Whiterock_2,N00001573,Belfast,101,656,165,1
Whiterock_3,N00001574,Belfast,99,1991,48,1
Whiterock_3,N00001575,Belfast,310,1289,317,1
Whiterock_3,N00001576,Belfast,513,2660,378,2
Whiterock_3,N00001577,Belfast,177,1076,97,1
Whiterock_3,N00001578,Belfast,370,1971,173,1
Windsor_1,N00001579,Belfast,3781,3390,4486,9
Windsor_1,N00001580,Belfast,4294,3648,4503,10
Windsor_1,N00001581,Belfast,4342,3896,4219,10
Windsor_1,N00001582,Belfast,4514,4163,4430,10
Windsor_1,N00001583,Belfast,3221,3618,4205,8
Windsor_1,N00001584,Belfast,2527,2613,1791,6
Windsor_2,N00001585,Belfast,4308,4263,4530,10
Windsor_2,N00001586,Belfast,4244,3977,4189,10
Windsor_2,N00001587,Belfast,3614,2118,4404,8
Windsor_2,N00001588,Belfast,2818,2809,3217,7
Windsor_2,N00001589,Belfast,3571,3292,2586,8
Windsor_2,N00001590,Belfast,4143,3681,4447,10
Windsor_2,N00001591,Belfast,4071,4000,4429,9
Windsor_3,N00001592,Belfast,2010,1132,3075,5
Windsor_3,N00001593,Belfast,2837,1895,4102,7
Windsor_3,N00001594,Belfast,2038,1701,3031,5
Windsor_3,N00001595,Belfast,2622,1759,4365,6
Windsor_3,N00001596,Belfast,3044,2881,4412,7
Windsor_3,N00001597,Belfast,2546,1488,3153,6
Windsor_4,N00001598,Belfast,2620,2026,4481,6
Windsor_4,N00001599,Belfast,3302,4273,4464,8
Windsor_4,N00001600,Belfast,3293,3202,3877,8
Windsor_4,N00001601,Belfast,3078,3104,3674,7
Windsor_4,N00001602,Belfast,3354,3065,4419,8
Windsor_4,N00001603,Belfast,1686,2535,1727,4
Woodstock_1,N00001604,Belfast,761,580,1263,2
Woodstock_1,N00001605,Belfast,999,3106,1271,3
Woodstock_1,N00001606,Belfast,1911,1516,2224,5
Woodstock_1,N00001607,Belfast,669,719,1382,2
Woodstock_1,N00001608,Belfast,997,1814,1760,3
Woodstock_1,N00001609,Belfast,1221,993,2027,3
Woodstock_2,N00001610,Belfast,1383,1239,1040,4
Woodstock_2,N00001611,Belfast,643,844,604,2
Woodstock_2,N00001612,Belfast,604,1626,590,2
Woodstock_2,N00001613,Belfast,1173,2343,1518,3
Woodstock_2,N00001614,Belfast,528,858,993,2
Woodstock_2,N00001615,Belfast,1005,1634,1193,3
Woodstock_3,N00001616,Belfast,332,322,629,1
Woodstock_3,N00001617,Belfast,2945,4084,3591,7
Woodstock_3,N00001618,Belfast,798,1869,1170,2
Woodstock_3,N00001619,Belfast,537,641,798,2
Woodstock_3,N00001620,Belfast,586,1418,907,2
Woodstock_3,N00001621,Belfast,505,371,1148,2
Woodstock_3,N00001622,Belfast,1386,1397,1722,4
Woodvale_1,N00001623,Belfast,57,23,423,1
Woodvale_1,N00001624,Belfast,388,1011,285,1
Woodvale_1,N00001625,Belfast,146,94,260,1
Woodvale_1,N00001626,Belfast,341,243,306,1
Woodvale_1,N00001627,Belfast,65,14,199,1
Woodvale_1,N00001628,Belfast,419,1868,555,1
Woodvale_2,N00001629,Belfast,1178,2529,894,3
Woodvale_2,N00001630,Belfast,23,40,74,1
Woodvale_2,N00001631,Belfast,105,623,94,1
Woodvale_2,N00001632,Belfast,520,350,641,2
Woodvale_2,N00001633,Belfast,46,63,124,1
Woodvale_2,N00001634,Belfast,83,897,114,1
Woodvale_3,N00001635,Belfast,969,2140,915,3
Woodvale_3,N00001636,Belfast,616,1716,444,2
Woodvale_3,N00001637,Belfast,53,117,95,1
Woodvale_3,N00001638,Belfast,13,18,42,1
Woodvale_3,N00001639,Belfast,168,9,639,1
Woodvale_3,N00001640,Belfast,496,1441,332,2
Blackhead,N00001641,Mid and East Antrim,1528,1790,1298,4
Blackhead,N00001642,Mid and East Antrim,4194,4287,3976,10
Blackhead,N00001643,Mid and East Antrim,3177,2040,3538,8
Blackhead,N00001644,Mid and East Antrim,4082,3038,4260,9
Blackhead,N00001645,Mid and East Antrim,1623,4098,784,4
Blackhead,N00001646,Mid and East Antrim,2002,1651,1554,5
Bluefield_1,N00001647,Mid and East Antrim,3142,4167,2517,7
Bluefield_1,N00001648,Mid and East Antrim,2877,1891,3898,7
Bluefield_1,N00001649,Mid and East Antrim,4207,4349,4209,10
Bluefield_1,N00001650,Mid and East Antrim,3739,3604,2974,9
Bluefield_2,N00001651,Mid and East Antrim,4250,4251,4057,10
Bluefield_2,N00001652,Mid and East Antrim,3655,3536,3056,9
Bluefield_2,N00001653,Mid and East Antrim,3740,2252,3589,9
Bluefield_2,N00001654,Mid and East Antrim,3762,3020,3662,9
Boneybefore,N00001655,Mid and East Antrim,3130,2857,2531,7
Boneybefore,N00001656,Mid and East Antrim,4011,4323,3502,9
Boneybefore,N00001657,Mid and East Antrim,3980,3678,3915,9
Boneybefore,N00001658,Mid and East Antrim,3430,3635,3039,8
Boneybefore,N00001659,Mid and East Antrim,4337,3677,4493,10
Boneybefore,N00001660,Mid and East Antrim,4016,4326,2691,9
Burleigh Hill_1,N00001661,Mid and East Antrim,3730,3057,4140,9
Burleigh Hill_1,N00001662,Mid and East Antrim,3591,4420,2528,8
Burleigh Hill_1,N00001663,Mid and East Antrim,3738,4157,3215,9
Burleigh Hill_1,N00001664,Mid and East Antrim,3736,4410,3398,9
Burleigh Hill_1,N00001665,Mid and East Antrim,4124,3865,3980,10
Burleigh Hill_2,N00001666,Mid and East Antrim,4123,4511,2907,10
Burleigh Hill_2,N00001667,Mid and East Antrim,3788,4212,2862,9
Burleigh Hill_2,N00001668,Mid and East Antrim,3940,4521,3434,9
Burleigh Hill_2,N00001669,Mid and East Antrim,4419,4344,4200,10
Clipperstown,N00001670,Mid and East Antrim,515,459,655,2
Clipperstown,N00001671,Mid and East Antrim,1351,3633,804,3
Clipperstown,N00001672,Mid and East Antrim,2022,2292,1955,5
Clipperstown,N00001673,Mid and East Antrim,3436,4120,2956,8
Clipperstown,N00001674,Mid and East Antrim,617,330,1072,2
Clipperstown,N00001675,Mid and East Antrim,2127,2880,1587,5
Clipperstown,N00001676,Mid and East Antrim,906,1676,851,2
Eden_1,N00001677,Mid and East Antrim,4166,4189,4341,10
Eden_1,N00001678,Mid and East Antrim,3355,2981,4012,8
Eden_1,N00001679,Mid and East Antrim,3960,4040,4076,9
Eden_1,N00001680,Mid and East Antrim,3801,3140,3968,9
Eden_1,N00001681,Mid and East Antrim,2102,2509,1989,5
Eden_2,N00001682,Mid and East Antrim,3776,4421,3635,9
Eden_2,N00001683,Mid and East Antrim,956,1498,681,3
Eden_2,N00001684,Mid and East Antrim,3295,2400,3400,8
Eden_2,N00001685,Mid and East Antrim,3994,3318,4062,9
Eden_2,N00001686,Mid and East Antrim,1929,736,2276,5
Eden_2,N00001687,Mid and East Antrim,4062,3380,3805,9
Gortalee,N00001688,Mid and East Antrim,2567,3408,1640,6
Gortalee,N00001689,Mid and East Antrim,942,1366,893,3
Gortalee,N00001690,Mid and East Antrim,3524,3529,3065,8
Gortalee,N00001691,Mid and East Antrim,312,386,491,1
Gortalee,N00001692,Mid and East Antrim,1281,485,1697,3
Greenisland,N00001693,Mid and East Antrim,4202,4399,4273,10
Greenisland,N00001694,Mid and East Antrim,4147,4265,4079,10
Greenisland,N00001695,Mid and East Antrim,4303,4468,3979,10
Greenisland,N00001696,Mid and East Antrim,4125,3836,3681,10
Greenisland,N00001697,Mid and East Antrim,3344,3289,3801,8
Greenisland,N00001698,Mid and East Antrim,3341,4404,2568,8
Greenisland,N00001699,Mid and East Antrim,4195,3044,4477,10
Greenisland,N00001700,Mid and East Antrim,740,635,1210,2
Killycrot,N00001701,Mid and East Antrim,2826,4294,2178,7
Killycrot,N00001702,Mid and East Antrim,3862,3410,3362,9
Killycrot,N00001703,Mid and East Antrim,954,1321,663,3
Killycrot,N00001704,Mid and East Antrim,1370,2372,887,4
Killycrot,N00001705,Mid and East Antrim,1152,1163,1258,3
Knockagh,N00001706,Mid and East Antrim,4402,4067,4397,10
Knockagh,N00001707,Mid and East Antrim,4208,4261,4156,10
Knockagh,N00001708,Mid and East Antrim,4371,4080,4254,10
Knockagh,N00001709,Mid and East Antrim,2834,3748,2124,7
Knockagh,N00001710,Mid and East Antrim,3985,3316,4225,9
Knockagh,N00001711,Mid and East Antrim,4451,4461,4460,10
Love Lane,N00001712,Mid and East Antrim,1787,3181,1060,4
Love Lane,N00001713,Mid and East Antrim,1938,4353,794,5
Love Lane,N00001714,Mid and East Antrim,1172,2125,811,3
Love Lane,N00001715,Mid and East Antrim,427,1196,365,1
Milebush,N00001716,Mid and East Antrim,3588,4218,2372,8
Milebush,N00001717,Mid and East Antrim,3579,4188,2689,8
Milebush,N00001718,Mid and East Antrim,3171,3915,1920,7
Milebush,N00001719,Mid and East Antrim,592,230,1565,2
Milebush,N00001720,Mid and East Antrim,2744,4411,1511,7
Northland,N00001721,Mid and East Antrim,389,451,694,1
Northland,N00001722,Mid and East Antrim,1142,1114,1239,3
