district,ward,pop_1971_persons,pop_1971_males,pop_1971_females,pop_1981_persons,pop_1981_males,pop_1981_females,corrected
Londonderry,Enagh,3760,1928,1832,2704,1399,1305,
Londonderry,Faughan,3221,1830,1391,4149,2110,2039,
Londonderry,Pennyburn,2935,1376,1559,3359,1628,1731,
Londonderry,Prehen,2662,1324,1338,4222,2089,2133,
Londonderry,Riverside,2727,1230,1497,1491,676,815,
Londonderry,Rosemount,2872,1414,1458,2286,1136,1150,
Londonderry,St. Coiumb's Wells,2822,1368,1454,1039,502,537,inferred 1971_males 1971_females
Londonderry,Shantailow,4051,1970,2081,11109,5439,5670,
Londonderry,Springtown,2760,1345,1415,3287,1618,1669,
Londonderry,Strand,2967,1360,1607,2526,1213,1313,
Londonderry,The Diamond,2553,1219,1334,1195,533,662,
Londonderry,Victoria,2579,1236,1343,1932,931,1001,
Londonderry,Waterloo,2514,1174,1340,1302,617,685,
Londonderry,Westland,3006,1428,1578,2410,1115,1295,
Magherafelt,Ballymaguigan,2044,1076,968,1635,862,773,
Magherafelt,Bellaghy,2265,1129,1136,1805,901,904,
Magherafelt,Castledawson,2325,1188,1137,2376,1190,1186,
Magherafelt,Draperstown,2247,1091,1156,2351,1159,1192,
Magherafelt,Gulladuff,1705,925,780,1641,875,766,
Magherafelt,Knockcloghrim,1963,1027,936,1762,892,870,
Magherafelt,Lecumpher,2015,1032,983,2052,1041,1011,
Magherafelt,Lower Glenshane,2149,1113,1036,1846,935,911,
Magherafelt,Maghera,2368,1169,1199,2836,1404,1432,
Magherafelt,Swatragh,1698,885,813,1408,724,684,
Magherafelt,Tobermore,1848,936,912,1661,838,823,
Magherafelt,Townparks East,2424,1165,1259,3187,1552,1635,
Magherafelt,Townparks West,2280,1094,1186,2358,1151,1207,
Magherafelt,Upperlands,2089,1049,1040,1888,949,939,
Magherafelt,Valley,2040,1024,1016,1975,993,982,
Moyle,Armoy,1051,562,489,1019,527,492,
Moyle,Ballintoy,763,396,367,708,344,364,
Moyle,BalJylough,1055,510,545,980,496,484,
Moyle,Bushmills,934,468,466,994,499,495,
Moyle,Carnmoon,890,434,456,758,376,382,
Moyle,Dalriada,1155,496,659,1314,616,698,
Moyle,Dunseverick,746,393,353,697,368,329,
Moyle,Glenaan,1148,573,575,1087,544,543,
Moyle,Glenariff,763,382,381,1060,527,533,
Moyle,Glendun,1003,527,476,1045,531,514,
Moyle,Glenshesk,1005,527,478,990,505,485,
Moyle,Kinbane,786,413,373,728,383,345,
Moyle,Knocklayd,1063,520,543,1368,697,671,
Moyle,Moss-side,703,383,320,679,366,313,
Moyle,Quay,805,350,455,837,375,462,
Moyle,Rathlin,109,66,43,108,57,51,
Newry and Mourne,Annalong,2155,1073,1082,2500,1253,1247,
Newry and Mourne,Ballybot,3329,1636,1693,2646,1312,1334,
Newry and Mourne,Bally crossan,2404,1253,1151,2486,1279,1207,
Newry and Mourne,Belleek,2102,1119,983,1588,825,763,
Newry and Mourne,Bessbrook,2472,1209,1263,3078,1839,1239,
Newry and Mourne,Binnian,2160,1099,1061,1993,1001,992,
Newry and Mourne,Camlough,2102,1097,1005,1941,977,964,
Newry and Mourne,Clonallan,2685,1319,1366,2981,1464,1517,
Newry and Mourne,Cranfield,2544,1219,1325,2630,1292,1338,
Newry and Mourne,Creggan,2102,1098,1004,1974,1007,967,
Newry and Mourne,Crossmaglen,2309,1169,1140,1990,1003,987,
Newry and Mourne,Daisy Hill,2931,1404,1527,3177,1532,1645,
Newry and Mourne,Derrymore,2657,1292,1365,2160,1066,1094,
Newry and Mourne,Donaghmore,2048,1024,1024,1829,926,903,
Newry and Mourne,Drumalane,2513,1188,1325,2368,1141,1227,
Newry and Mourne,Druqngath,2187,1108,1079,2062,1033,1029,
Newry and Mourne,Drumgullion :,3075,1521,1554,2874,1449,1425,
Newry and Mourne,Fathom,2498,1282,1216,2636,1338,1298,
Newry and Mourne,Forkhill,2386,1178,1208,2137,1037,1100,
Newry and Mourne,Kilkeel,2885,1378,1507,3840,1808,2032,
Newry and Mourne,Lisnacree,2046,1050,996,2028,1023,1005,
Newry and Mourne,Newtownhamilton,1936,1028,908,1649,838,811,
Newry and Mourne,Rathfriland,2148,1045,1103,2317,1122,1195,
Newry and Mourne,Rostrevor,2292,1107,1185,2663,1319,1344,
Newry and Mourne,St. Mary's,2604,1190,1414,2562,1232,1330,
Newry and Mourne,St. Patrick's,2395,1152,1243,2143,1035,1108,
Newry and Mourne,Seaview,2643,1324,1319,2746,1401,1345,
Newry and Mourne,Speiga,1970,965,1005,1999,1011,988,
Newry and Mourne,Tullyhappy,2084,1069,1015,2115,1069,1046,
Newry and Mourne,Windsor Hill,2706,1287,1419,3503,1704,1799,
Newtownabbey,Ballyclare,1999,973,1026,1541,777,764,
Newtownabbey,Ballyeaston,2504,1297,1207,3762,1871,1891,
Newtownabbey,Ballyhenry,3169,1562,1607,4415,2152,2263,
Newtownabbey,Ballynure,2196,1093,1103,2102,1049,1053,
Newtownabbey,Bradan,3281,1594,1687,2317,1091,1226,
Newtownabbey,Carnmoney,3290,1670,1620,8099,3948,4151,
Newtownabbey,CloughiQrn,4326,2148,2178,3723,1819,1904,
Newtownabbey,""" Coole",3610,1786,1824,2665,1317,1348,
