DZ2021_cd,DZ2021_nm,lgd1993,cath_1971,cath_1981,cath_1991,cath_2021,cath_growth_1971_2021
N20001092,Botanic_E1,BELFAST,34.1,26.1,39.0,6.316,-27.8
N20001445,Court_X5,BELFAST,34.1,26.1,39.0,75.758,41.7
N20001443,Court_X4,BELFAST,34.1,26.1,39.0,84.699,50.6
N20001437,Court_S5,BELFAST,34.1,26.1,39.0,90.261,56.2
N20001440,Court_S6,BELFAST,34.1,26.1,39.0,96.465,62.4
N20001432,Court_S4,BELFAST,34.1,26.1,39.0,97.403,63.3
N20001421,Court_S2,BELFAST,34.1,26.1,39.0,70.0,35.9
N20001415,Court_P3,BELFAST,34.1,26.1,39.0,3.647,-30.5
N20001425,Court_U1,BELFAST,34.1,26.1,39.0,77.855,43.8
N20001426,Court_P4,BELFAST,34.1,26.1,39.0,91.709,57.6
N20001434,Court_U3,BELFAST,34.1,26.1,39.0,91.525,57.4
N20001435,Court_X1,BELFAST,34.1,26.1,39.0,80.403,46.3
N20001427,Court_U2,BELFAST,34.1,26.1,39.0,91.667,57.6
N20001428,Court_T1,BELFAST,34.1,26.1,39.0,83.16,49.1
N20001420,Court_N4,BELFAST,34.1,26.1,39.0,85.417,51.3
N20001419,Court_N3,BELFAST,34.1,26.1,39.0,96.956,62.9
N20001407,Court_N1,BELFAST,34.1,26.1,39.0,6.628,-27.5
N20001404,Court_J3,BELFAST,34.1,26.1,39.0,7.371,-26.7
N20001413,Court_N2,BELFAST,34.1,26.1,39.0,23.239,-10.9
N20001401,Court_J2,BELFAST,34.1,26.1,39.0,10.949,-23.2
N20001394,Court_F2,BELFAST,34.1,26.1,39.0,10.465,-23.6
N20001400,Court_F3,BELFAST,34.1,26.1,39.0,12.891,-21.2
N20001393,Court_H2,BELFAST,34.1,26.1,39.0,2.857,-31.2
N20001397,Court_H3,BELFAST,34.1,26.1,39.0,10.044,-24.1
N20001408,Court_P1,BELFAST,34.1,26.1,39.0,4.518,-29.6
N20001411,Court_P2,BELFAST,34.1,26.1,39.0,6.757,-27.3
N20001410,Court_S1,BELFAST,34.1,26.1,39.0,2.365,-31.7
N20001409,Court_K4,BELFAST,34.1,26.1,39.0,1.754,-32.3
N20001399,Court_H4,BELFAST,34.1,26.1,39.0,3.014,-31.1
N20001395,Court_G3,BELFAST,34.1,26.1,39.0,6.826,-27.3
N20001387,Court_G1,BELFAST,34.1,26.1,39.0,4.524,-29.6
N20001383,Court_D2,BELFAST,34.1,26.1,39.0,8.191,-25.9
N20001390,Court_H1,BELFAST,34.1,26.1,39.0,3.156,-30.9
N20001385,Court_D3,BELFAST,34.1,26.1,39.0,13.351,-20.7
N20000770,Oldpark_Q3,BELFAST,34.1,26.1,39.0,75.993,41.9
N20000767,Oldpark_N4,BELFAST,34.1,26.1,39.0,79.041,44.9
N20000761,Oldpark_L4,BELFAST,34.1,26.1,39.0,92.25,58.2
N20000749,Oldpark_N2,BELFAST,34.1,26.1,39.0,79.938,45.8
N20000755,Oldpark_N3,BELFAST,34.1,26.1,39.0,91.036,56.9
N20000751,Oldpark_H3,BELFAST,34.1,26.1,39.0,89.227,55.1
N20000768,Oldpark_P3,BELFAST,34.1,26.1,39.0,90.909,56.8
N20000762,Oldpark_P2,BELFAST,34.1,26.1,39.0,90.716,56.6
N20000765,Oldpark_Q2,BELFAST,34.1,26.1,39.0,87.805,53.7
N20000758,Oldpark_Q1,BELFAST,34.1,26.1,39.0,91.815,57.7
N20000752,Oldpark_J3,BELFAST,34.1,26.1,39.0,92.405,58.3
N20000760,Oldpark_P1,BELFAST,34.1,26.1,39.0,89.13,55.0
N20000756,Oldpark_K4,BELFAST,34.1,26.1,39.0,85.281,51.2
N20000753,Oldpark_K3,BELFAST,34.1,26.1,39.0,93.469,59.4
N20001374,Court_B1,BELFAST,34.1,26.1,39.0,94.549,60.4
N20001375,Court_B2,BELFAST,34.1,26.1,39.0,1.544,-32.6
N20001382,Court_B4,BELFAST,34.1,26.1,39.0,4.717,-29.4
N20001377,Court_B3,BELFAST,34.1,26.1,39.0,13.472,-20.6
N20001381,Court_D1,BELFAST,34.1,26.1,39.0,4.576,-29.5
N20001384,Court_F1,BELFAST,34.1,26.1,39.0,6.376,-27.7
N20001379,Court_J1,BELFAST,34.1,26.1,39.0,5.918,-28.2
N20001376,Court_C3,BELFAST,34.1,26.1,39.0,5.714,-28.4
N20001386,Court_E2,BELFAST,34.1,26.1,39.0,6.345,-27.8
N20001392,Court_E5,BELFAST,34.1,26.1,39.0,4.412,-29.7
N20001391,Court_E4,BELFAST,34.1,26.1,39.0,2.908,-31.2
N20001388,Court_E3,BELFAST,34.1,26.1,39.0,3.792,-30.3
N20001380,Court_E1,BELFAST,34.1,26.1,39.0,4.321,-29.8
N20001373,Court_A3,BELFAST,34.1,26.1,39.0,40.034,5.9
N20000742,Oldpark_K2,BELFAST,34.1,26.1,39.0,14.91,-19.2
N20000737,Oldpark_K1,BELFAST,34.1,26.1,39.0,11.224,-22.9
N20000736,Oldpark_F3,BELFAST,34.1,26.1,39.0,8.451,-25.6
N20001371,Court_A2,BELFAST,34.1,26.1,39.0,31.818,-2.3
N20001370,Court_A1,BELFAST,34.1,26.1,39.0,4.008,-30.1
N20001372,Court_C2,BELFAST,34.1,26.1,39.0,2.388,-31.7
N20001369,Court_C1,BELFAST,34.1,26.1,39.0,4.842,-29.3
N20000731,Oldpark_D4,BELFAST,34.1,26.1,39.0,70.879,36.8
N20000725,Oldpark_D3,BELFAST,34.1,26.1,39.0,84.409,50.3
N20000728,Oldpark_F1,BELFAST,34.1,26.1,39.0,13.208,-20.9
N20000730,Oldpark_F2,BELFAST,34.1,26.1,39.0,12.926,-21.2
N20000729,Oldpark_E2,BELFAST,34.1,26.1,39.0,8.078,-26.0
N20000723,Oldpark_C3,BELFAST,34.1,26.1,39.0,10.0,-24.1
N20000722,Oldpark_C2,BELFAST,34.1,26.1,39.0,16.302,-17.8
N20000726,Oldpark_E1,BELFAST,34.1,26.1,39.0,50.28,16.2
N20000727,Oldpark_C4,BELFAST,34.1,26.1,39.0,11.959,-22.1
N20000733,Oldpark_E4,BELFAST,34.1,26.1,39.0,73.266,39.2
N20000744,Oldpark_J2,BELFAST,34.1,26.1,39.0,20.892,-13.2
N20000743,Oldpark_J1,BELFAST,34.1,26.1,39.0,72.707,38.6
N20000739,Oldpark_E5,BELFAST,34.1,26.1,39.0,10.356,-23.7
N20000735,Oldpark_G2,BELFAST,34.1,26.1,39.0,90.347,56.2
N20000740,Oldpark_H1,BELFAST,34.1,26.1,39.0,86.53,52.4
N20000748,Oldpark_H2,BELFAST,34.1,26.1,39.0,89.811,55.7
N20000746,Oldpark_N1,BELFAST,34.1,26.1,39.0,86.181,52.1
N20000741,Oldpark_G4,BELFAST,34.1,26.1,39.0,86.384,52.3
N20000732,Oldpark_E3,BELFAST,34.1,26.1,39.0,85.465,51.4
N20000827,Castle_J5,BELFAST,34.1,26.1,39.0,74.806,40.7
N20000816,Castle_J4,BELFAST,34.1,26.1,39.0,71.242,37.1
N20000820,Castle_G5,BELFAST,34.1,26.1,39.0,3.864,-30.2
N20000819,Castle_G4,BELFAST,34.1,26.1,39.0,46.91,12.8
N20000716,Oldpark_C1,BELFAST,34.1,26.1,39.0,12.48,-21.6
N20000717,Oldpark_B2,BELFAST,34.1,26.1,39.0,3.729,-30.4
N20000714,Oldpark_B1,BELFAST,34.1,26.1,39.0,8.065,-26.0
N20000806,Castle_G2,BELFAST,34.1,26.1,39.0,7.95,-26.2
N20000805,Castle_G1,BELFAST,34.1,26.1,39.0,19.023,-15.1
N20000809,Castle_G3,BELFAST,34.1,26.1,39.0,40.681,6.6
N20000807,Castle_J1,BELFAST,34.1,26.1,39.0,76.987,42.9
N20000796,Castle_D1,BELFAST,34.1,26.1,39.0,78.151,44.1
N20000711,Oldpark_A1,BELFAST,34.1,26.1,39.0,5.105,-29.0
N20000718,Oldpark_B3,BELFAST,34.1,26.1,39.0,6.904,-27.2
N20000720,Oldpark_B4,BELFAST,34.1,26.1,39.0,5.656,-28.4
N20000721,Oldpark_A5,BELFAST,34.1,26.1,39.0,28.969,-5.1
N20000719,Oldpark_A4,BELFAST,34.1,26.1,39.0,89.734,55.6
N20000713,Oldpark_A3,BELFAST,34.1,26.1,39.0,49.829,15.7
N20000715,Oldpark_D1,BELFAST,34.1,26.1,39.0,92.771,58.7
N20000712,Oldpark_A2,BELFAST,34.1,26.1,39.0,82.947,48.8
N20000277,Airport_E6,NEWTOWNABBEY,18.0,8.6,13.0,87.097,69.1
N20000251,Glengormley_Urban_L2,NEWTOWNABBEY,18.0,8.6,13.0,84.572,66.6
N20000255,Glengormley_Urban_L4,NEWTOWNABBEY,18.0,8.6,13.0,82.569,64.6
N20000256,Glengormley_Urban_L5,NEWTOWNABBEY,18.0,8.6,13.0,82.206,64.2
N20000253,Glengormley_Urban_K3,NEWTOWNABBEY,18.0,8.6,13.0,76.052,58.1
N20000252,Glengormley_Urban_L3,NEWTOWNABBEY,18.0,8.6,13.0,83.111,65.1
N20000254,Glengormley_Urban_K4,NEWTOWNABBEY,18.0,8.6,13.0,81.4,63.4
N20000250,Glengormley_Urban_J5,NEWTOWNABBEY,18.0,8.6,13.0,85.641,67.6
N20000787,Castle_A1,BELFAST,34.1,26.1,39.0,87.791,53.7
N20000788,Castle_A2,BELFAST,34.1,26.1,39.0,83.288,49.2
N20000201,Macedon_J3,NEWTOWNABBEY,18.0,8.6,13.0,41.093,23.1
N20000196,Macedon_J2,NEWTOWNABBEY,18.0,8.6,13.0,6.481,-11.5
N20000189,Macedon_J1,NEWTOWNABBEY,18.0,8.6,13.0,1.923,-16.1
N20000190,Macedon_G1,NEWTOWNABBEY,18.0,8.6,13.0,5.587,-12.4
N20000192,Macedon_G2,NEWTOWNABBEY,18.0,8.6,13.0,3.475,-14.5
N20000195,Macedon_G4,NEWTOWNABBEY,18.0,8.6,13.0,6.038,-12.0
N20000194,Macedon_K1,NEWTOWNABBEY,18.0,8.6,13.0,3.081,-14.9
N20000193,Macedon_G3,NEWTOWNABBEY,18.0,8.6,13.0,5.042,-13.0
N20000187,Macedon_F4,NEWTOWNABBEY,18.0,8.6,13.0,4.582,-13.4
N20000191,Macedon_E4,NEWTOWNABBEY,18.0,8.6,13.0,7.901,-10.1
N20000198,Macedon_K3,NEWTOWNABBEY,18.0,8.6,13.0,5.587,-12.4
N20000197,Macedon_K2,NEWTOWNABBEY,18.0,8.6,13.0,6.103,-11.9
N20000200,Macedon_K4,NEWTOWNABBEY,18.0,8.6,13.0,6.239,-11.8
N20000204,Macedon_J5,NEWTOWNABBEY,18.0,8.6,13.0,33.159,15.2
N20000202,Macedon_K5,NEWTOWNABBEY,18.0,8.6,13.0,3.266,-14.7
N20000199,Macedon_G5,NEWTOWNABBEY,18.0,8.6,13.0,2.539,-15.5
N20000203,Macedon_J4,NEWTOWNABBEY,18.0,8.6,13.0,37.261,19.3
N20000205,Macedon_H3,NEWTOWNABBEY,18.0,8.6,13.0,19.626,1.6
N20000206,Macedon_H4,NEWTOWNABBEY,18.0,8.6,13.0,23.322,5.3
N20000210,Macedon_L4,NEWTOWNABBEY,18.0,8.6,13.0,86.191,68.2
N20000208,Macedon_L2,NEWTOWNABBEY,18.0,8.6,13.0,81.612,63.6
N20000792,Castle_B3,BELFAST,34.1,26.1,39.0,82.42,48.3
N20000793,Castle_B4,BELFAST,34.1,26.1,39.0,75.429,41.3
N20000791,Castle_B2,BELFAST,34.1,26.1,39.0,58.333,24.2
N20000790,Castle_B1,BELFAST,34.1,26.1,39.0,11.653,-22.4
N20000209,Macedon_L3,NEWTOWNABBEY,18.0,8.6,13.0,85.371,67.4
N20000207,Macedon_L1,NEWTOWNABBEY,18.0,8.6,13.0,88.393,70.4
N20000789,Castle_A3,BELFAST,34.1,26.1,39.0,70.889,36.8
N20000797,Castle_C3,BELFAST,34.1,26.1,39.0,58.192,24.1
N20000799,Castle_D2,BELFAST,34.1,26.1,39.0,83.452,49.4
N20000802,Castle_F1,BELFAST,34.1,26.1,39.0,88.023,53.9
N20000808,Castle_D3,BELFAST,34.1,26.1,39.0,83.716,49.6
N20000812,Castle_F3,BELFAST,34.1,26.1,39.0,87.736,53.6
N20000814,Castle_J2,BELFAST,34.1,26.1,39.0,71.386,37.3
N20000815,Castle_J3,BELFAST,34.1,26.1,39.0,86.559,52.5
N20000824,Castle_L3,BELFAST,34.1,26.1,39.0,72.913,38.8
N20000822,Castle_L2,BELFAST,34.1,26.1,39.0,82.787,48.7
N20000818,Castle_L1,BELFAST,34.1,26.1,39.0,79.233,45.1
N20000823,Castle_K2,BELFAST,34.1,26.1,39.0,37.525,3.4
N20000817,Castle_H5,BELFAST,34.1,26.1,39.0,59.012,24.9
N20000811,Castle_H3,BELFAST,34.1,26.1,39.0,6.832,-27.3
N20000810,Castle_H2,BELFAST,34.1,26.1,39.0,79.529,45.4
N20000804,Castle_H1,BELFAST,34.1,26.1,39.0,63.557,29.5
N20000803,Castle_F2,BELFAST,34.1,26.1,39.0,81.434,47.3
N20000801,Castle_E3,BELFAST,34.1,26.1,39.0,9.6,-24.5
N20000813,Castle_H4,BELFAST,34.1,26.1,39.0,3.644,-30.5
N20000821,Castle_K1,BELFAST,34.1,26.1,39.0,28.931,-5.2
N20000800,Castle_E2,BELFAST,34.1,26.1,39.0,14.07,-20.0
N20000798,Castle_E1,BELFAST,34.1,26.1,39.0,7.615,-26.5
N20000795,Castle_C2,BELFAST,34.1,26.1,39.0,24.769,-9.3
N20000794,Castle_C1,BELFAST,34.1,26.1,39.0,85.413,51.3
N20000188,Macedon_H2,NEWTOWNABBEY,18.0,8.6,13.0,23.4,5.4
N20003545,Holywood_and_Clandeboye_F3,NORTH DOWN,11.3,7.3,9.0,18.914,7.6
N20003548,Holywood_and_Clandeboye_D1,NORTH DOWN,11.3,7.3,9.0,18.601,7.3
N20003549,Holywood_and_Clandeboye_D2,NORTH DOWN,11.3,7.3,9.0,26.667,15.4
N20003551,Holywood_and_Clandeboye_D3,NORTH DOWN,11.3,7.3,9.0,24.648,13.3
N20003553,Holywood_and_Clandeboye_E2,NORTH DOWN,11.3,7.3,9.0,31.534,20.2
N20003567,Holywood_and_Clandeboye_K4,NORTH DOWN,11.3,7.3,9.0,29.818,18.5
N20003575,Holywood_and_Clandeboye_K5,NORTH DOWN,11.3,7.3,9.0,24.346,13.0
N20003573,Holywood_and_Clandeboye_L3,NORTH DOWN,11.3,7.3,9.0,25.189,13.9
N20003574,Holywood_and_Clandeboye_L4,NORTH DOWN,11.3,7.3,9.0,26.995,15.7
N20003570,Holywood_and_Clandeboye_L1,NORTH DOWN,11.3,7.3,9.0,25.714,14.4
N20003566,Holywood_and_Clandeboye_H6,NORTH DOWN,11.3,7.3,9.0,29.006,17.7
N20003565,Holywood_and_Clandeboye_K3,NORTH DOWN,11.3,7.3,9.0,29.009,17.7
N20003560,Holywood_and_Clandeboye_K2,NORTH DOWN,11.3,7.3,9.0,26.247,14.9
N20003555,Holywood_and_Clandeboye_E3,NORTH DOWN,11.3,7.3,9.0,21.174,9.9
N20003550,Holywood_and_Clandeboye_E1,NORTH DOWN,11.3,7.3,9.0,23.715,12.4
N20003552,Holywood_and_Clandeboye_H1,NORTH DOWN,11.3,7.3,9.0,25.298,14.0
N20003558,Holywood_and_Clandeboye_H2,NORTH DOWN,11.3,7.3,9.0,27.204,15.9
N20003561,Holywood_and_Clandeboye_H3,NORTH DOWN,11.3,7.3,9.0,35.0,23.7
N20003559,Holywood_and_Clandeboye_K1,NORTH DOWN,11.3,7.3,9.0,29.654,18.4
N20003563,Holywood_and_Clandeboye_H4,NORTH DOWN,11.3,7.3,9.0,27.946,16.6
N20003564,Holywood_and_Clandeboye_H5,NORTH DOWN,11.3,7.3,9.0,26.772,15.5
N20003571,Holywood_and_Clandeboye_L2,NORTH DOWN,11.3,7.3,9.0,21.545,10.2
N20003576,Holywood_and_Clandeboye_L5,NORTH DOWN,11.3,7.3,9.0,16.152,4.9
N20000946,Ormiston_A1,NORTH DOWN,11.3,7.3,9.0,12.654,1.4
N20000947,Ormiston_A2,BELFAST,34.1,26.1,39.0,6.417,-27.7
N20000945,Ormiston_B1,BELFAST,34.1,26.1,39.0,15.325,-18.8
N20000948,Ormiston_B2,BELFAST,34.1,26.1,39.0,6.824,-27.3
N20000949,Ormiston_A3,BELFAST,34.1,26.1,39.0,4.828,-29.3
N20000951,Ormiston_A4,BELFAST,34.1,26.1,39.0,9.375,-24.7
N20000950,Ormiston_B3,BELFAST,34.1,26.1,39.0,18.238,-15.9
N20000956,Ormiston_B4,BELFAST,34.1,26.1,39.0,10.386,-23.7
N20000954,Ormiston_A5,BELFAST,34.1,26.1,39.0,9.496,-24.6
N20000953,Ormiston_C2,BELFAST,34.1,26.1,39.0,10.839,-23.3
N20000952,Ormiston_C1,BELFAST,34.1,26.1,39.0,14.84,-19.3
N20000955,Ormiston_C3,BELFAST,34.1,26.1,39.0,12.183,-21.9
N20003577,Holywood_and_Clandeboye_L6,NORTH DOWN,11.3,7.3,9.0,21.782,10.5
N20002500,Castlereagh_East_A1,CASTLEREAGH,10.1,5.7,9.4,5.12,-5.0
N20002503,Castlereagh_East_C2,CASTLEREAGH,10.1,5.7,9.4,10.053,-0.0
N20002502,Castlereagh_East_C1,CASTLEREAGH,10.1,5.7,9.4,10.628,0.5
N20002501,Castlereagh_East_A2,CASTLEREAGH,10.1,5.7,9.4,5.567,-4.5
N20002510,Castlereagh_East_E1,CASTLEREAGH,10.1,5.7,9.4,1.17,-8.9
N20002511,Castlereagh_East_A3,CASTLEREAGH,10.1,5.7,9.4,2.39,-7.7
N20002505,Castlereagh_East_B1,CASTLEREAGH,10.1,5.7,9.4,7.533,-2.6
N20002523,Castlereagh_East_F3,CASTLEREAGH,10.1,5.7,9.4,4.155,-5.9
N20002513,Castlereagh_East_B3,CASTLEREAGH,10.1,5.7,9.4,6.407,-3.7
N20002515,Castlereagh_East_B4,CASTLEREAGH,10.1,5.7,9.4,8.556,-1.5
N20002518,Castlereagh_East_B5,CASTLEREAGH,10.1,5.7,9.4,10.799,0.7
N20002526,Castlereagh_East_H1,CASTLEREAGH,10.1,5.7,9.4,15.018,4.9
N20002527,Castlereagh_East_F4,CASTLEREAGH,10.1,5.7,9.4,4.89,-5.2
N20002514,Castlereagh_East_A4,CASTLEREAGH,10.1,5.7,9.4,5.686,-4.4
N20002522,Castlereagh_East_F2,CASTLEREAGH,10.1,5.7,9.4,1.351,-8.7
N20002521,Castlereagh_East_F1,CASTLEREAGH,10.1,5.7,9.4,4.918,-5.2
N20002517,Castlereagh_East_E3,CASTLEREAGH,10.1,5.7,9.4,4.207,-5.9
N20002529,Castlereagh_East_F5,CASTLEREAGH,10.1,5.7,9.4,3.152,-6.9
N20002530,Castlereagh_East_E5,CASTLEREAGH,10.1,5.7,9.4,2.814,-7.3
N20002525,Castlereagh_East_E4,CASTLEREAGH,10.1,5.7,9.4,7.357,-2.7
N20002520,Castlereagh_East_C6,CASTLEREAGH,10.1,5.7,9.4,9.091,-1.0
N20002512,Castlereagh_East_E2,CASTLEREAGH,10.1,5.7,9.4,9.554,-0.5
N20002506,Castlereagh_East_C4,CASTLEREAGH,10.1,5.7,9.4,8.615,-1.5
N20002507,Castlereagh_East_C5,CASTLEREAGH,10.1,5.7,9.4,8.37,-1.7
N20002504,Castlereagh_East_C3,CASTLEREAGH,10.1,5.7,9.4,12.211,2.1
N20002508,Castlereagh_East_D1,CASTLEREAGH,10.1,5.7,9.4,19.615,9.5
N20002516,Castlereagh_East_D2,CASTLEREAGH,10.1,5.7,9.4,17.295,7.2
N20002519,Castlereagh_East_D3,CASTLEREAGH,10.1,5.7,9.4,8.333,-1.8
N20002524,Castlereagh_East_D4,CASTLEREAGH,10.1,5.7,9.4,11.048,0.9
N20000980,Ormiston_L1,BELFAST,34.1,26.1,39.0,8.031,-26.1
N20000989,Ormiston_L2,CASTLEREAGH,10.1,5.7,9.4,2.283,-7.8
N20000996,Ormiston_L3,CASTLEREAGH,10.1,5.7,9.4,4.861,-5.2
N20000991,Ormiston_J5,CASTLEREAGH,10.1,5.7,9.4,8.38,-1.7
N20000992,Ormiston_P1,CASTLEREAGH,10.1,5.7,9.4,13.198,3.1
N20000986,Ormiston_J4,BELFAST,34.1,26.1,39.0,9.394,-24.7
N20000977,Ormiston_J1,BELFAST,34.1,26.1,39.0,13.615,-20.5
N20000981,Ormiston_J3,BELFAST,34.1,26.1,39.0,15.126,-19.0
N20000978,Ormiston_J2,BELFAST,34.1,26.1,39.0,24.397,-9.7
N20000960,Ormiston_C4,BELFAST,34.1,26.1,39.0,9.851,-24.2
N20000967,Ormiston_F3,BELFAST,34.1,26.1,39.0,17.172,-16.9
N20000965,Ormiston_C5,BELFAST,34.1,26.1,39.0,15.69,-18.4
N20000959,Ormiston_F1,BELFAST,34.1,26.1,39.0,11.245,-22.9
N20000963,Ormiston_F2,BELFAST,34.1,26.1,39.0,19.76,-14.3
N20000971,Ormiston_F4,BELFAST,34.1,26.1,39.0,14.739,-19.4
N20000970,Ormiston_G1,BELFAST,34.1,26.1,39.0,16.763,-17.3
N20000974,Ormiston_G2,BELFAST,34.1,26.1,39.0,17.281,-16.8
N20000983,Ormiston_G4,BELFAST,34.1,26.1,39.0,18.425,-15.7
N20000979,Ormiston_N1,BELFAST,34.1,26.1,39.0,15.485,-18.6
N20000982,Ormiston_F5,BELFAST,34.1,26.1,39.0,17.391,-16.7
N20000997,Ormiston_N3,BELFAST,34.1,26.1,39.0,18.911,-15.2
N20000988,Ormiston_N2,BELFAST,34.1,26.1,39.0,13.857,-20.2
N20000995,Ormiston_R1,BELFAST,34.1,26.1,39.0,23.372,-10.7
N20000993,Ormiston_K3,BELFAST,34.1,26.1,39.0,10.055,-24.0
N20000985,Ormiston_H5,BELFAST,34.1,26.1,39.0,24.028,-10.1
N20000975,Ormiston_G3,BELFAST,34.1,26.1,39.0,21.943,-12.2
N20000973,Ormiston_H2,BELFAST,34.1,26.1,39.0,19.033,-15.1
N20000976,Ormiston_H3,BELFAST,34.1,26.1,39.0,27.767,-6.3
N20000984,Ormiston_H4,BELFAST,34.1,26.1,39.0,24.955,-9.1
N20000902,Titanic_R1,BELFAST,34.1,26.1,39.0,26.568,-7.5
N20000897,Titanic_K4,BELFAST,34.1,26.1,39.0,18.689,-15.4
N20000909,Titanic_R2,BELFAST,34.1,26.1,39.0,14.43,-19.7
N20000923,Titanic_R3,BELFAST,34.1,26.1,39.0,11.828,-22.3
N20000990,Ormiston_K2,BELFAST,34.1,26.1,39.0,6.299,-27.8
N20000987,Ormiston_K1,BELFAST,34.1,26.1,39.0,7.724,-26.4
N20000994,Ormiston_K4,BELFAST,34.1,26.1,39.0,3.86,-30.2
N20001017,Lisnasharragh_B1,BELFAST,34.1,26.1,39.0,17.188,-16.9
N20000935,Titanic_X2,BELFAST,34.1,26.1,39.0,7.35,-26.8
N20000929,Titanic_R4,BELFAST,34.1,26.1,39.0,16.25,-17.8
N20000920,Titanic_Q5,BELFAST,34.1,26.1,39.0,16.923,-17.2
N20000926,Titanic_X1,BELFAST,34.1,26.1,39.0,28.037,-6.1
N20000917,Titanic_Q4,BELFAST,34.1,26.1,39.0,19.77,-14.3
N20000937,Titanic_X3,BELFAST,34.1,26.1,39.0,20.17,-13.9
N20000932,Titanic_W2,BELFAST,34.1,26.1,39.0,20.455,-13.6
N20000936,Titanic_W3,BELFAST,34.1,26.1,39.0,12.139,-22.0
N20001018,Lisnasharragh_A1,BELFAST,34.1,26.1,39.0,6.8,-27.3
N20000940,Titanic_Z1,BELFAST,34.1,26.1,39.0,20.923,-13.2
N20000938,Titanic_U4,BELFAST,34.1,26.1,39.0,21.569,-12.5
N20000933,Titanic_U3,BELFAST,34.1,26.1,39.0,21.859,-12.2
N20000930,Titanic_U2,BELFAST,34.1,26.1,39.0,13.08,-21.0
N20000919,Titanic_T3,BELFAST,34.1,26.1,39.0,8.314,-25.8
N20000921,Titanic_T4,BELFAST,34.1,26.1,39.0,7.468,-26.6
N20000925,Titanic_U1,BELFAST,34.1,26.1,39.0,21.849,-12.3
N20000927,Titanic_W1,BELFAST,34.1,26.1,39.0,10.58,-23.5
N20000914,Titanic_T1,BELFAST,34.1,26.1,39.0,18.475,-15.6
N20000903,Titanic_N3,BELFAST,34.1,26.1,39.0,8.392,-25.7
N20000910,Titanic_L4,BELFAST,34.1,26.1,39.0,11.169,-22.9
N20000908,Titanic_S1,BELFAST,34.1,26.1,39.0,18.881,-15.2
N20000901,Titanic_L2,BELFAST,34.1,26.1,39.0,39.385,5.3
N20000905,Titanic_L3,BELFAST,34.1,26.1,39.0,22.304,-11.8
N20000900,Titanic_N2,BELFAST,34.1,26.1,39.0,6.162,-27.9
N20000899,Titanic_J4,BELFAST,34.1,26.1,39.0,20.946,-13.2
N20000906,Titanic_J5,BELFAST,34.1,26.1,39.0,12.037,-22.1
N20000915,Titanic_T2,BELFAST,34.1,26.1,39.0,13.074,-21.0
N20000911,Titanic_N4,BELFAST,34.1,26.1,39.0,3.61,-30.5
N20000907,Titanic_Q2,BELFAST,34.1,26.1,39.0,18.114,-16.0
N20000916,Titanic_Q3,BELFAST,34.1,26.1,39.0,23.881,-10.2
N20000898,Titanic_Q1,BELFAST,34.1,26.1,39.0,20.522,-13.6
N20000895,Titanic_K3,BELFAST,34.1,26.1,39.0,17.826,-16.3
N20000888,Titanic_J2,BELFAST,34.1,26.1,39.0,19.157,-14.9
N20000879,Titanic_E4,BELFAST,34.1,26.1,39.0,16.604,-17.5
N20000871,Titanic_E2,BELFAST,34.1,26.1,39.0,10.723,-23.4
N20000878,Titanic_J1,BELFAST,34.1,26.1,39.0,31.339,-2.8
N20000875,Titanic_E3,BELFAST,34.1,26.1,39.0,20.742,-13.4
N20000874,Titanic_F3,BELFAST,34.1,26.1,39.0,7.051,-27.0
N20000880,Titanic_F5,BELFAST,34.1,26.1,39.0,12.44,-21.7
N20000891,Titanic_J3,BELFAST,34.1,26.1,39.0,17.251,-16.8
N20000892,Titanic_N1,BELFAST,34.1,26.1,39.0,7.457,-26.6
N20000893,Titanic_L1,BELFAST,34.1,26.1,39.0,16.956,-17.1
N20000884,Titanic_B3,BELFAST,34.1,26.1,39.0,12.829,-21.3
N20000873,Titanic_F2,BELFAST,34.1,26.1,39.0,8.257,-25.8
N20000877,Titanic_F4,BELFAST,34.1,26.1,39.0,6.061,-28.0
N20000870,Titanic_F1,BELFAST,34.1,26.1,39.0,7.371,-26.7
N20000867,Titanic_E1,BELFAST,34.1,26.1,39.0,11.45,-22.7
N20000864,Titanic_C5,BELFAST,34.1,26.1,39.0,15.625,-18.5
N20000862,Titanic_C3,BELFAST,34.1,26.1,39.0,13.163,-20.9
N20000861,Titanic_C2,BELFAST,34.1,26.1,39.0,9.951,-24.1
N20000863,Titanic_C4,BELFAST,34.1,26.1,39.0,10.726,-23.4
N20000869,Titanic_D4,BELFAST,34.1,26.1,39.0,10.825,-23.3
N20000865,Titanic_D1,BELFAST,34.1,26.1,39.0,8.354,-25.7
N20000866,Titanic_D2,BELFAST,34.1,26.1,39.0,13.0,-21.1
N20000868,Titanic_D3,BELFAST,34.1,26.1,39.0,12.0,-22.1
N20000872,Titanic_D5,BELFAST,34.1,26.1,39.0,21.957,-12.1
N20000876,Titanic_G1,BELFAST,34.1,26.1,39.0,17.857,-16.2
N20000883,Titanic_G3,BELFAST,34.1,26.1,39.0,13.405,-20.7
N20000889,Titanic_K1,BELFAST,34.1,26.1,39.0,11.702,-22.4
N20000881,Titanic_G2,BELFAST,34.1,26.1,39.0,14.775,-19.3
N20000890,Titanic_K2,BELFAST,34.1,26.1,39.0,20.208,-13.9
