code,name,LGD,EDM_score,EDM_rank,EDM_decile,Income_score,Income_rank,Employment_score,Employment_rank,Proximity to Services_score,Proximity to Services_rank
95BB100006,Donaghadee North_2,,15.27,2906,6,0.14,3021,0.12,3328,0.78,842
95BB100007,Donaghadee North_2,,7.53,4104,9,0.05,4387,0.04,4977,0.71,949
95BB100008,Donaghadee North_2,,7.1,4184,9,0.01,4971,0.08,4300,0.59,1130
95BB100009,Donaghadee North_1,,14.24,3048,7,0.09,3631,0.14,2563,0.44,1370
95BB100010,Donaghadee North_1,,17.71,2582,6,0.16,2761,0.17,1901,0,2286
95BB100011,Donaghadee North_1,,10.55,3567,8,0.14,3034,0.09,4022,0.17,1870
95BB110001,Donaghadee South_2,,11.87,3366,7,0.15,2905,0.12,3229,-0.09,2553
95BB110002,Donaghadee South_2,,9.17,3800,8,0.06,4145,0.11,3364,0.13,1934
95BB110003,Donaghadee South_1,,26.74,1496,3,0.21,2125,0.22,1039,0.24,1721
95BB110004,Donaghadee South_1,,25.18,1674,4,0.37,990,0.14,2566,0.18,1834
95BB110005,Donaghadee South_2,,12.68,3248,7,0.1,3533,0.13,2967,0.34,1545
95BB110006,Donaghadee South_1,,27.12,1462,3,0.3,1435,0.19,1551,0.34,1542
95BB110007,Donaghadee South_2,,24.71,1733,4,0.2,2268,0.21,1165,0.15,1911
95BB110008,Donaghadee South_2,,6.48,4292,9,0.03,4723,0.09,4117,0.25,1711
95BB110009,Donaghadee South_2,,19.09,2385,5,0.21,2146,0.15,2519,0.39,1461
95BB110010,Donaghadee South_1,,12.26,3305,7,0.1,3474,0.11,3394,0.5,1283
95BB110011,Donaghadee South_1,,11.75,3385,7,0.1,3545,0.11,3395,0.43,1396
95BB120001,Glen_2,,13.55,3138,7,0.15,2825,0.15,2470,-0.39,3422
95BB120002,Glen_2,,17.19,2645,6,0.25,1803,0.14,2528,-0.5,3734
95BB120003,Glen_1,,23.63,1850,4,0.28,1501,0.19,1496,-0.55,3855
95BB120004,Glen_1,,28.49,1364,3,0.42,730,0.18,1759,-0.62,4013
95BB120005,Glen_1,,14.16,3061,7,0.2,2243,0.14,2621,-0.86,4462
95BB120006,Glen_1,,22.63,1960,4,0.25,1812,0.2,1291,-0.92,4537
95BB120007,Glen_1,,33.13,1003,2,0.35,1107,0.26,651,-1.05,4711
95BB120008,Glen_2,,4.35,4689,10,0.03,4817,0.05,4868,0.16,1889
95BB120009,Glen_2,,4.55,4652,10,0.03,4706,0.04,4963,0.2,1808
95BB130001,Gregstown_3,,4.37,4685,10,0.03,4670,0.09,4115,-0.28,3118
95BB130002,Gregstown_2,,13.04,3199,7,0.12,3308,0.16,2200,-0.42,3525
95BB130003,Gregstown_3,,11.91,3361,7,0.18,2477,0.1,3655,-0.16,2760
95BB130004,Gregstown_2,,20.74,2189,5,0.31,1315,0.16,2305,-0.6,3960
95BB130005,Gregstown_1,,40.24,648,2,0.42,708,0.27,588,-0.11,2598
95BB130006,Gregstown_3,,6.34,4320,9,0.06,4093,0.09,3995,-0.16,2763
95BB130007,Gregstown_2,,10.25,3624,8,0.09,3677,0.14,2658,-0.43,3552
95BB130008,Gregstown_2,,28.38,1372,3,0.3,1424,0.23,908,-0.68,4138
95BB130009,Gregstown_2,,8.05,3996,8,0.04,4507,0.13,2976,-0.2,2877
95BB130010,Gregstown_1,,20.64,2196,5,0.29,1486,0.15,2498,-0.06,2467
95BB130011,Gregstown_1,,2.67,4924,10,0.01,4987,0.05,4902,-0.13,2668
95BB130012,Gregstown_1,,3.08,4881,10,0.02,4895,0.07,4586,-0.23,2972
95BB130013,Gregstown_3,,3.6,4808,10,0.03,4708,0.07,4624,-0.17,2795
95BB140001,Killinchy_1,,11.59,3418,7,0.06,4261,0.08,4437,1.11,435
95BB140002,Killinchy_1,,10.27,3620,8,0.05,4389,0.07,4611,1.02,532
95BB140003,Killinchy_1,,13.61,3128,7,0.04,4496,0.11,3523,1.14,391
95BB140004,Killinchy_2,,11.68,3403,7,0.02,4947,0.05,4898,1.33,199
95BB140005,Killinchy_2,,11.45,3436,7,0.08,3867,0.05,4870,1.09,458
95BB140006,Killinchy_2,,24.7,1734,4,0.14,3036,0.17,1980,1.32,205
95BB140007,Killinchy_2,,13.15,3182,7,0.02,4869,0.08,4242,1.33,202
95BB140008,Killinchy_1,,13.78,3105,7,0.05,4309,0.06,4666,1.35,177
