SA2011,lgd1993
N00002096,COOKSTOWN
N00002113,COOKSTOWN
N00002111,COOKSTOWN
N00002110,COOKSTOWN
N00002109,COOKSTOWN
N00002091,COOKSTOWN
N00002092,COOKSTOWN
N00000004,ANTRIM
N00002178,CRAIGAVON
N00002174,CRAIGAVON
N00002177,CRAIGAVON
N00003350,LISBURN
N00003355,LISBURN
N00003243,LISBURN
N00003247,LISBURN
N00003249,LISBURN
N00002170,CRAIGAVON
N00003246,LISBURN
N00003245,LISBURN
N00003248,LISBURN
N00003240,LISBURN
N00003445,LISBURN
N00003241,LISBURN
N00003244,LISBURN
N00003357,LISBURN
N00003356,LISBURN
N00003358,LISBURN
N00003354,LISBURN
N00000027,ANTRIM
N00003352,LISBURN
N00003351,LISBURN
N00003353,LISBURN
N00000038,ANTRIM
N00003349,LISBURN
N00000043,ANTRIM
N00000039,ANTRIM
N00000037,ANTRIM
N00000040,ANTRIM
N00000042,ANTRIM
N00000041,ANTRIM
N00000028,ANTRIM
N00000044,ANTRIM
N00000002,ANTRIM
N00000006,ANTRIM
N00000001,ANTRIM
N00000010,ANTRIM
N00000003,ANTRIM
N00000026,ANTRIM
N00000024,ANTRIM
N00000030,ANTRIM
N00000025,ANTRIM
N00003359,LISBURN
N00001219,BELFAST
N00001248,BELFAST
N00001231,BELFAST
N00001533,BELFAST
N00001534,BELFAST
N00001538,BELFAST
N00001532,BELFAST
N00001250,BELFAST
N00001247,BELFAST
N00001246,BELFAST
N00001254,BELFAST
N00001251,BELFAST
N00001255,BELFAST
N00001253,BELFAST
N00001259,BELFAST
N00001257,BELFAST
N00001258,BELFAST
N00001252,BELFAST
N00001262,BELFAST
N00001260,BELFAST
N00001261,BELFAST
N00001536,BELFAST
N00001535,BELFAST
N00001531,BELFAST
N00001539,BELFAST
N00001574,BELFAST
N00001537,BELFAST
N00001572,BELFAST
N00001575,BELFAST
N00001578,BELFAST
N00001577,BELFAST
N00001576,BELFAST
N00001540,BELFAST
N00001541,BELFAST
N00001543,BELFAST
N00001542,BELFAST
N00001567,BELFAST
N00001565,BELFAST
N00001159,BELFAST
N00001161,BELFAST
N00001569,BELFAST
N00001566,BELFAST
N00001571,BELFAST
N00001573,BELFAST
