SA2011,OA_CODE_dominant,OA_CODE_point
N00000822,95FF170004,95FF170004
N00000823,95FF170005,95FF170005
N00000824,95FF170006,95FF170006
N00000825,95GG010001,95GG010001
N00000826,95GG010003,95GG010003
N00000827,95GG010004,95GG010004
N00000828,95GG010005,95GG010005
N00000829,95GG010006,95GG010006
N00000830,95GG010014,95GG010014
N00000831,95GG010002,95GG010002
N00000832,95GG010010,95GG010010
N00000833,95GG010012,95GG010012
N00000834,95GG010015,95GG010015
N00000835,95GG010016,95GG010016
N00000836,95GG010007,95GG010007
N00000837,95GG010008,95GG010008
N00000838,95GG010009,95GG010009
N00000839,95GG010011,95GG010011
N00000840,95GG010013,95GG010013
N00000841,95GG020003,95GG020003
N00000842,95GG020005,95GG020005
N00000843,95GG020011,95GG020011
N00000844,95GG020012,95GG020012
N00000845,95GG020015,95GG020015
N00000846,95GG020016,95GG020016
N00000847,95GG020018,95GG020002
N00000848,95GG020004,95GG020004
N00000849,95GG020007,95GG020007
N00000850,95GG020017,95GG020017
N00000851,95GG020020,95GG020020
N00000852,95GG020008,95GG020013
N00000853,95GG020006,95GG020006
N00000854,95GG020010,95GG020010
N00000855,95GG030009,95GG030015
N00000856,95GG030012,95GG030012
N00000857,95GG030014,95GG030014
N00000858,95GG030015,95GG030015
N00000859,95GG030016,95GG030016
N00000860,95GG030017,95GG030017
N00000861,95GG030018,95GG030018
N00000862,95GG030006,95GG030006
N00000863,95GG030002,95GG030002
N00000864,95GG030005,95GG030005
N00000865,95GG030007,95GG030007
N00000866,95GG030003,95GG030003
N00000867,95GG030004,95GG030004
N00000868,95GG030008,95GG030008
N00000869,95GG030010,95GG030010
N00000870,95GG030011,95GG030011
N00000871,95GG030019,95GG030019
N00000872,95GG030020,95GG030020
N00000873,95GG040003,95GG040003
N00000874,95GG040004,95GG040011
N00000875,95GG040006,95GG040006
N00000876,95GG040012,95GG040012
N00000877,95GG040017,95GG040017
N00000878,95GG040005,95GG040005
N00000879,95GG040010,95GG040014
N00000880,95GG040016,95GG040016
N00000881,95GG040001,95GG040001
N00000882,95GG040002,95GG040002
N00000883,95GG040007,95GG040007
N00000884,95GG040008,95GG040008
N00000885,95GG040009,95GG040009
N00000886,95GG050002,95GG050002
N00000887,95GG050005,95GG050005
N00000888,95GG050006,95GG050006
N00000889,95GG050007,95GG050007
N00000890,95GG050016,95GG050016
N00000891,95GG050017,95GG050017
N00000892,95GG050001,95GG050001
N00000893,95GG050003,95GG050003
N00000894,95GG050004,95GG050004
N00000895,95GG050014,95GG050014
N00000896,95GG050018,95GG050018
N00000897,95GG050019,95GG050019
N00000898,95GG050020,95GG050020
N00000899,95GG050008,95GG050008
N00000900,95GG050009,95GG050012
N00000901,95GG050010,95GG050010
N00000902,95GG050011,95GG050011
N00000903,95GG050012,95GG050012
N00000904,95GG050013,95GG050013
N00000905,95GG050015,95GG050015
N00000906,95GG060004,95GG060004
N00000907,95GG060008,95GG060008
N00000908,95GG060010,95GG060016
N00000909,95GG060014,95GG060014
N00000910,95GG060016,95GG060016
N00000911,95GG060018,95GG060018
N00000912,95GG060019,95GG060019
N00000913,95GG060006,95GG060006
N00000914,95GG060009,95GG060009
N00000915,95GG060011,95GG060011
N00000916,95GG060012,95GG060012
N00000917,95GG060013,95GG060013
N00000918,95GG060015,95GG060015
N00000919,95GG060017,95GG060017
N00000920,95GG060001,95GG060001
N00000921,95GG060002,95GG060002
N00000922,95GG060003,95GG060003
N00000923,95GG060005,95GG060005
N00000924,95GG060007,95GG060007
N00000925,95GG060020,95GG060020
N00000926,95GG070010,95GG480013
N00000927,95GG070013,95GG070016
N00000928,95GG070014,95GG070014
N00000929,95GG070015,95GG070015
N00000930,95GG070017,95GG070017
N00000931,95GG070004,95GG070004
N00000932,95GG070006,95GG070006
N00000933,95GG070009,95GG070009
N00000934,95GG070011,95GG070011
N00000935,95GG070012,95GG070012
N00000936,95GG070001,95GG070001
N00000937,95GG070003,95GG070003
N00000938,95GG070005,95GG070005
N00000939,95GG070007,95GG070007
N00000940,95GG070008,95GG070008
N00000941,95GG080007,95GG080007
N00000942,95GG080012,95GG080012
N00000943,95GG080013,95GG080013
N00000944,95GG080014,95GG080014
N00000945,95GG080015,95GG080015
N00000946,95GG080001,95GG080001
N00000947,95GG080003,95GG080003
N00000948,95GG080006,95GG080006
N00000949,95GG080009,95GG080009
N00000950,95GG080010,95GG080010
N00000951,95GG080011,95GG080011
N00000952,95GG080002,95GG080002
N00000953,95GG080004,95GG080004
N00000954,95GG080005,95GG080005
N00000955,95GG080008,95GG080008
N00000956,95GG080016,95GG080016
N00000957,95GG090004,95GG090004
N00000958,95GG090006,95GG090006
N00000959,95GG090008,95GG090008
N00000960,95GG090010,95GG090010
N00000961,95GG090011,95GG090011
N00000962,95GG090001,95GG090001
N00000963,95GG090002,95GG090002
N00000964,95GG090003,95GG090003
N00000965,95GG090005,95GG090005
N00000966,95GG090007,95GG090007
N00000967,95GG090020,95GG090020
N00000968,95GG090012,95GG090012
N00000969,95GG090013,95GG090013
N00000970,95GG090014,95GG090014
N00000971,95GG090016,95GG090016
N00000972,95GG090017,95GG090017
N00000973,95GG090018,95GG090018
N00000974,95GG090019,95GG090019
N00000975,95GG100002,95GG100002
N00000976,95GG100003,95GG100003
N00000977,95GG100004,95GG100004
N00000978,95GG100005,95GG100005
N00000979,95GG100007,95GG100007
N00000980,95GG100008,95GG100008
N00000981,95GG100009,95GG100009
N00000982,95GG100010,95GG100010
N00000983,95GG100001,95GG100001
N00000984,95GG100006,95GG100006
N00000985,95GG100011,95GG100011
N00000986,95GG100012,95GG100001
N00000987,95GG100013,95GG100013
N00000988,95GG100014,95GG100014
N00000989,95GG100015,95GG100015
N00000990,95GG100016,95GG100016
N00000991,95GG110009,95GG110009
N00000992,95GG110010,95GG110010
N00000993,95GG110013,95GG110013
N00000994,95GG110019,95GG110019
N00000995,95GG110002,95GG110002
N00000996,95GG110003,95GG110003
N00000997,95GG110011,95GG110011
N00000998,95GG110014,95GG110014
N00000999,95GG110015,95GG110015
N00001000,95GG110018,95GG110018
N00001001,95GG110001,95GG110021
N00001002,95GG110008,95GG110006
N00001003,95GG110005,95GG110005
N00001004,95GG110020,95GG110020
N00001005,95GG110021,95GG110021
N00001006,95GG120003,95GG120003
N00001007,95GG120014,95GG120004
N00001008,95GG120012,95GG120012
N00001009,95GG120016,95GG120016
N00001010,95GG120007,95GG120007
N00001011,95GG120008,95GG120008
N00001012,95GG120011,95GG120011
N00001013,95GG120013,95GG120013
N00001014,95GG120015,95GG120015
N00001015,95GG120017,95GG120017
N00001016,95GG120001,95GG120001
N00001017,95GG120005,95GG120010
N00001018,95GG120006,95GG120006
N00001019,95GG120010,95GG120010
N00001020,95GG120028,95GG120028
N00001021,95GG120030,95GG120030
N00001022,95GG120009,95GG120009
N00001023,95GG120021,95GG120021
N00001024,95GG120022,95GG120022
N00001025,95GG120024,95GG120024
N00001026,95GG120026,95GG120026
N00001027,95GG120002,95GG120002
N00001028,95GG120018,95GG120018
N00001029,95GG120019,95GG120019
N00001030,95GG120023,95GG120023
N00001031,95GG120029,95GG120029
N00001032,95GG130002,95GG130002
N00001033,95GG130004,95GG130004
N00001034,95GG130005,95GG130005
N00001035,95GG130007,95GG130007
N00001036,95GG130008,95GG130009
N00001037,95GG130001,95GG130001
N00001038,95GG130006,95GG130006
N00001039,95GG130010,95GG130010
N00001040,95GG130017,95GG130017
N00001041,95GG130011,95GG130011
N00001042,95GG130012,95GG130012
N00001043,95GG130013,95GG130013
N00001044,95GG130014,95GG130014
N00001045,95GG130016,95GG130016
N00001046,95GG140002,95GG140002
N00001047,95GG140003,95GG140003
N00001048,95GG140005,95GG140005
N00001049,95GG140006,95GG140006
N00001050,95GG140007,95GG140007
N00001051,95GG140001,95GG140001
N00001052,95GG140004,95GG140004
N00001053,95GG140010,95GG140010
N00001054,95GG140013,95GG140013
N00001055,95GG140014,95GG140014
N00001056,95GG140008,95GG140008
N00001057,95GG140009,95GG140009
N00001058,95GG140011,95GG140011
N00001059,95GG140012,95GG140012
N00001060,95GG140015,95GG140015
N00001061,95GG150003,95GG150003
N00001062,95GG150007,95GG150007
N00001063,95GG150008,95GG150008
N00001064,95GG150010,95GG150010
N00001065,95GG150011,95GG150011
N00001066,95GG150001,95GG150001
N00001067,95GG150004,95GG150004
N00001068,95GG150006,95GG150006
N00001069,95GG150016,95GG150016
N00001070,95GG150017,95GG150017
N00001071,95GG150019,95GG150016
N00001072,95GG150002,95GG150002
N00001073,95GG150005,95GG150005
N00001074,95GG150012,95GG150012
N00001075,95GG150013,95GG150013
N00001076,95GG150014,95GG150014
N00001077,95GG150015,95GG150005
N00001078,95GG150018,95GG150018
N00001079,95GG160014,95GG160014
N00001080,95GG160012,95GG160012
N00001081,95GG160015,95GG160015
N00001082,95GG160016,95GG160016
N00001083,95GG160004,95GG160004
N00001084,95GG160006,95GG160006
N00001085,95GG160007,95GG160007
N00001086,95GG160001,95GG160001
N00001087,95GG160003,95GG160003
N00001088,95GG160005,95GG160005
N00001089,95GG160008,95GG160008
N00001090,95GG160009,95GG160009
N00001091,95GG170003,95GG170003
N00001092,95GG170005,95GG170005
N00001093,95GG170006,95GG170006
N00001094,95GG170011,95GG170011
N00001095,95GG170012,95GG170012
N00001096,95GG170002,95GG170002
N00001097,95GG170004,95GG170004
N00001098,95GG170007,95GG170007
N00001099,95GG170013,95GG170013
N00001100,95GG170014,95GG170014
N00001101,95GG170001,95GG170001
N00001102,95GG170008,95GG170008
N00001103,95GG170010,95GG170010
N00001104,95GG170015,95GG170015
N00001105,95GG170016,95GG170016
N00001106,95GG180002,95GG180002
N00001107,95GG180003,95GG180003
N00001108,95GG180008,95GG180008
N00001109,95GG180009,95GG180009
N00001110,95GG180010,95GG180010
N00001111,95GG180011,95GG180011
N00001112,95GG180014,95GG180014
N00001113,95GG180013,95GG180013
N00001114,95GG180004,95GG180004
N00001115,95GG180006,95GG180006
N00001116,95GG180007,95GG180007
N00001117,95GG190018,95GG190018
N00001118,95GG190003,95GG190003
N00001119,95GG190004,95GG190004
N00001120,95GG190005,95GG190005
N00001121,95GG190011,95GG190011
N00001122,95GG190015,95GG190015
N00001123,95GG190017,95GG190017
N00001124,95GG190002,95GG190002
N00001125,95GG190013,95GG190013
N00001126,95GG190007,95GG190007
N00001127,95GG190008,95GG190008
N00001128,95GG190009,95GG190009
N00001129,95GG190014,95GG190014
N00001130,95GG200002,95GG200002
N00001131,95GG200003,95GG200003
N00001132,95GG200004,95GG200003
N00001133,95GG200006,95GG200006
N00001134,95GG200007,95GG200007
N00001135,95GG200011,95GG200011
N00001136,95GG200015,95GG200015
N00001137,95GG200001,95GG200001
N00001138,95GG200005,95GG200016
N00001139,95GG200008,95GG200008
N00001140,95GG200010,95GG200010
N00001141,95GG200012,95GG200012
N00001142,95GG200013,95GG200013
N00001143,95GG200014,95GG200014
N00001144,95GG200016,95GG200016
N00001145,95GG210007,95GG210007
N00001146,95GG210012,95GG210012
N00001147,95GG210013,95GG210013
N00001148,95GG210014,95GG210014
N00001149,95GG210015,95GG210015
N00001150,95GG210001,95GG210001
N00001151,95GG210008,95GG210008
N00001152,95GG210009,95GG210009
N00001153,95GG210010,95GG210010
N00001154,95GG210011,95GG210011
N00001155,95GG210002,95GG210002
N00001156,95GG210004,95GG210004
N00001157,95GG220002,95GG220002
N00001158,95GG220003,95GG220002
N00001159,95GG220004,95GG220004
N00001160,95GG220005,95GG220005
N00001161,95GG220006,95GG220006
N00001162,95GG220010,95GG220010
N00001163,95GG220001,95GG220001
N00001164,95GG220012,95GG220012
N00001165,95GG220014,95GG220014
N00001166,95GG220017,95GG220015
N00001167,95GG220016,95GG220016
N00001168,95GG220007,95GG220007
N00001169,95GG220008,95GG220008
N00001170,95GG220009,95GG220009
N00001171,95GG220011,95GG220013
N00001172,95GG220013,95GG220013
N00001173,95GG230008,95GG230008
N00001174,95GG230010,95GG230010
N00001175,95GG230012,95GG230012
N00001176,95GG230013,95GG230013
N00001177,95GG230015,95GG230013
N00001178,95GG230002,95GG230002
N00001179,95GG230003,95GG230003
N00001180,95GG230004,95GG230004
N00001181,95GG230005,95GG230005
N00001182,95GG230006,95GG230006
N00001183,95GG230001,95GG230009
N00001184,95GG230007,95GG230007
N00001185,95GG230009,95GG230008
N00001186,95GG230011,95GG230011
N00001187,95GG230014,95GG230014
N00001188,95GG240016,95GG240016
N00001189,95GG240004,95GG240004
N00001190,95GG240011,95GG240011
N00001191,95GG240007,95GG240007
N00001192,95GG240008,95GG240008
N00001193,95GG240009,95GG240009
N00001194,95GG240010,95GG240010
N00001195,95GG240012,95GG240012
N00001196,95GG240013,95GG240013
N00001197,95GG240002,95GG240002
N00001198,95GG240003,95GG240003
N00001199,95GG240006,95GG240006
N00001200,95GG240014,95GG240014
N00001201,95GG240015,95GG240015
N00001202,95GG250002,95GG250002
N00001203,95GG250003,95GG250003
N00001204,95GG250005,95GG250005
N00001205,95GG250006,95GG250006
N00001206,95GG250001,95GG250001
N00001207,95GG250007,95GG250007
N00001208,95GG250011,95GG250011
N00001209,95GG250013,95GG250013
N00001210,95GG250014,95GG250014
N00001211,95GG250017,95GG250017
N00001212,95GG250009,95GG250009
N00001213,95GG250010,95GG250010
N00001214,95GG250012,95GG250012
N00001215,95GG250015,95GG250015
N00001216,95GG250016,95GG250016
N00001217,95GG260002,95GG260002
N00001218,95GG260005,95GG260005
N00001219,95GG260006,95GG260006
N00001220,95GG260007,95GG260007
N00001221,95GG260008,95GG260008
N00001222,95GG260009,95GG260009
N00001223,95GG260012,95GG260012
N00001224,95GG260001,95GG260001
N00001225,95GG260003,95GG260003
N00001226,95GG260004,95GG260004
N00001227,95GG260010,95GG260010
N00001228,95GG260011,95GG260011
N00001229,95GG260013,95GG260013
N00001230,95GG260014,95GG260014
N00001231,95GG270010,95GG270010
N00001232,95GG270011,95GG270011
N00001233,95GG270012,95GG270012
N00001234,95GG270013,95GG270013
N00001235,95GG270004,95GG270003
N00001236,95GG270005,95GG270005
N00001237,95GG270017,95GG270017
N00001238,95GG270001,95GG270001
N00001239,95GG270002,95GG270002
N00001240,95GG270008,95GG270007
N00001241,95GG270006,95GG270006
N00001242,95GG270014,95GG270014
N00001243,95GG270015,95GG270015
N00001244,95GG270016,95GG270016
N00001245,95GG270018,95GG270018
N00001246,95GG280001,95GG280001
N00001247,95GG280006,95GG280006
N00001248,95GG280012,95GG280012
N00001249,95GG280013,95GG280013
N00001250,95GG280015,95GG280015
N00001251,95GG280003,95GG280003
N00001252,95GG280004,95GG280004
N00001253,95GG280005,95GG280005
N00001254,95GG280014,95GG280014
N00001255,95GG280016,95GG280016
N00001256,95GG280017,95GG280017
N00001257,95GG280002,95GG280002
N00001258,95GG280007,95GG280007
N00001259,95GG280008,95GG280008
N00001260,95GG280009,95GG280009
N00001261,95GG280010,95GG280010
N00001262,95GG280011,95GG280011
N00001263,95GG290001,95GG430017
N00001264,95GG290002,95GG290002
N00001265,95GG290003,95GG290003
N00001266,95GG290004,95GG290004
N00001267,95GG290011,95GG290011
N00001268,95GG290013,95GG290013
N00001269,95GG290008,95GG290012
N00001270,95GG290009,95GG290009
N00001271,95GG290010,95GG290010
N00001272,95GG290012,95GG290012
N00001273,95GG290015,95GG290015
N00001274,95GG300002,95GG300002
N00001275,95GG300003,95GG300003
N00001276,95GG300004,95GG300004
N00001277,95GG300014,95GG300014
N00001278,95GG300015,95GG300015
N00001279,95GG300016,95GG300016
N00001280,95GG300017,95GG300017
N00001281,95GG300005,95GG300005
N00001282,95GG300006,95GG300006
N00001283,95GG300007,95GG300007
N00001284,95GG300010,95GG300010
N00001285,95GG300012,95GG300012
N00001286,95GG300001,95GG300001
N00001287,95GG300008,95GG300008
N00001288,95GG300009,95GG300009
N00001289,95GG300011,95GG300011
N00001290,95GG300013,95GG300013
N00001291,95GG310001,95GG310001
N00001292,95GG310006,95GG310006
N00001293,95GG310014,95GG310014
N00001294,95GG310016,95GG310016
N00001295,95GG310017,95GG310017
N00001296,95GG310002,95GG310002
N00001297,95GG310003,95GG310003
N00001298,95GG310004,95GG310004
N00001299,95GG310005,95GG310004
N00001300,95GG310011,95GG310011
N00001301,95GG310015,95GG310015
N00001302,95GG310007,95GG310007
N00001303,95GG310008,95GG310008
N00001304,95GG310009,95GG310009
N00001305,95GG310010,95GG310010
N00001306,95GG310012,95GG310012
N00001307,95GG310013,95GG310013
N00001308,95GG320004,95GG320004
N00001309,95GG320005,95GG320005
N00001310,95GG320006,95GG320006
N00001311,95GG320008,95GG320008
N00001312,95GG320009,95GG320009
N00001313,95GG320012,95GG320012
N00001314,95GG320007,95GG320007
N00001315,95GG320010,95GG320010
N00001316,95GG320016,95GG320016
N00001317,95GG320013,95GG320013
N00001318,95GG320014,95GG320014
N00001319,95GG320001,95GG320001
N00001320,95GG320002,95GG320002
N00001321,95GG320003,95GG320003
N00001322,95GG320015,95GG320015
N00001323,95GG320017,95GG320017
N00001324,95GG320018,95GG320018
N00001325,95GG330005,95GG330005
N00001326,95GG330010,95GG330011
N00001327,95GG330011,95GG330011
N00001328,95GG330004,95GG330001
N00001329,95GG330008,95GG330008
N00001330,95GG330009,95GG330009
N00001331,95GG330006,95GG330006
N00001332,95GG330012,95GG330012
N00001333,95GG330013,95GG330013
N00001334,95GG330014,95GG330014
N00001335,95GG330015,95GG330015
N00001336,95GG330016,95GG330016
N00001337,95GG330017,95GG330017
N00001338,95GG340010,95GG340010
N00001339,95GG340013,95GG340013
N00001340,95GG340012,95GG340012
N00001341,95GG340002,95GG340002
N00001342,95GG340004,95GG340004
N00001343,95GG340005,95GG340005
N00001344,95GG340009,95GG340009
N00001345,95GG340016,95GG340016
N00001346,95GG340001,95GG340001
N00001347,95GG340003,95GG340003
N00001348,95GG340008,95GG340008
N00001349,95GG340015,95GG340015
N00001350,95GG350001,95GG350017
N00001351,95GG350003,95GG350003
N00001352,95GG350004,95GG350004
N00001353,95GG350005,95GG350005
N00001354,95GG350002,95GG350015
N00001355,95GG350009,95GG350009
N00001356,95GG350010,95GG350010
N00001357,95GG350012,95GG350014
N00001358,95GG350006,95GG350006
N00001359,95GG350007,95GG350007
N00001360,95GG350008,95GG350008
N00001361,95GG350011,95GG350011
N00001362,95GG350013,95GG350013
N00001363,95GG360002,95GG360002
N00001364,95GG360008,95GG360008
N00001365,95GG360004,95GG360004
N00001366,95GG360007,95GG360008
N00001367,95GG360018,95GG360018
N00001368,95GG360006,95GG360006
N00001369,95GG360009,95GG360009
N00001370,95GG360010,95GG360010
N00001371,95GG360011,95GG360011
N00001372,95GG360012,95GG360012
N00001373,95GG360001,95GG360001
N00001374,95GG360005,95GG360005
N00001375,95GG360014,95GG360014
N00001376,95GG360015,95GG360015
N00001377,95GG360016,95GG360005
N00001378,95GG360017,95GG360017
N00001379,95GG360019,95GG360019
N00001380,95GG370002,95GG370002
N00001381,95GG370005,95GG370005
N00001382,95GG370012,95GG370012
N00001383,95GG370014,95GG370014
N00001384,95GG370016,95GG370016
N00001385,95GG370017,95GG370017
N00001386,95GG370003,95GG370004
N00001387,95GG370007,95GG370007
N00001388,95GG370010,95GG370010
N00001389,95GG370011,95GG370011
N00001390,95GG370013,95GG370009
N00001391,95GG370015,95GG370015
N00001392,95GG370001,95GG370001
N00001393,95GG370006,95GG370006
N00001394,95GG370008,95GG370006
N00001395,95GG370009,95GG370009
N00001396,95GG370018,95GG370018
N00001397,95GG370019,95GG370019
N00001398,95GG370020,95GG370020
N00001399,95GG380001,95GG380001
N00001400,95GG380007,95GG380007
N00001401,95GG380010,95GG380010
N00001402,95GG380012,95GG380012
N00001403,95GG380014,95GG380014
N00001404,95GG380017,95GG380002
N00001405,95GG380008,95GG380008
N00001406,95GG380009,95GG380009
N00001407,95GG380011,95GG380011
N00001408,95GG380013,95GG380013
N00001409,95GG380003,95GG380003
N00001410,95GG380004,95GG380004
N00001411,95GG380006,95GG380006
N00001412,95GG380015,95GG380015
N00001413,95GG380016,95GG380016
N00001414,95GG380018,95GG380018
N00001415,95GG390002,95GG390002
N00001416,95GG390015,95GG390015
N00001417,95GG390012,95GG390012
N00001418,95GG390013,95GG390013
N00001419,95GG390017,95GG390017
N00001420,95GG390003,95GG390003
N00001421,95GG390021,95GG390020
N00001422,95GG390008,95GG390008
N00001423,95GG390016,95GG390016
N00001424,95GG390019,95GG390019
N00001425,95GG390023,95GG390008
N00001426,95GG390001,95GG390001
N00001427,95GG390004,95GG390004
N00001428,95GG390005,95GG390005
N00001429,95GG390009,95GG390024
N00001430,95GG390018,95GG390018
N00001431,95GG400001,95GG400001
N00001432,95GG400009,95GG400009
N00001433,95GG400003,95GG400003
N00001434,95GG400005,95GG400005
N00001435,95GG400010,95GG400010
N00001436,95GG400011,95GG400011
N00001437,95GG400004,95GG400004
N00001438,95GG400006,95GG400006
N00001439,95GG400007,95GG400007
N00001440,95GG400008,95GG400008
N00001441,95GG400012,95GG400012
N00001442,95GG400013,95GG400015
N00001443,95GG400014,95GG400014
N00001444,95GG400015,95GG400013
N00001445,95GG410003,95GG410003
N00001446,95GG410004,95GG410004
N00001447,95GG410005,95GG410005
N00001448,95GG410006,95GG410006
N00001449,95GG410007,95GG410007
N00001450,95GG410009,95GG410006
N00001451,95GG410002,95GG410002
N00001452,95GG410008,95GG410008
N00001453,95GG410010,95GG410010
N00001454,95GG410011,95GG410011
N00001455,95GG410016,95GG410016
N00001456,95GG410001,95GG410001
N00001457,95GG410012,95GG410012
N00001458,95GG410013,95GG410013
N00001459,95GG410014,95GG410014
N00001460,95GG410017,95GG410017
N00001461,95GG420015,95GG420015
N00001462,95GG420016,95GG420016
N00001463,95GG420017,95GG420017
N00001464,95GG420018,95GG420018
N00001465,95GG420019,95GG420019
N00001466,95GG420004,95GG420004
N00001467,95GG420006,95GG420006
N00001468,95GG420001,95GG420003
N00001469,95GG420002,95GG420002
N00001470,95GG420003,95GG420003
N00001471,95GG420005,95GG420005
N00001472,95GG420008,95GG420008
N00001473,95GG420007,95GG420007
N00001474,95GG420009,95GG420009
N00001475,95GG420010,95GG420010
N00001476,95GG420011,95GG420011
N00001477,95GG420012,95GG420012
N00001478,95GG420013,95GG420013
N00001479,95GG420014,95GG420014
N00001480,95GG430001,95GG430001
N00001481,95GG430002,95GG430002
N00001482,95GG430003,95GG430003
N00001483,95GG430004,95GG430004
N00001484,95GG430010,95GG430010
N00001485,95GG430006,95GG430006
N00001486,95GG430007,95GG430007
N00001487,95GG430008,95GG430008
N00001488,95GG430009,95GG430009
N00001489,95GG430011,95GG430011
N00001490,95GG430014,95GG430014
N00001491,95GG430012,95GG430012
N00001492,95GG430013,95GG430013
N00001493,95GG430015,95GG430015
N00001494,95GG430016,95GG430016
N00001495,95GG430017,95GG430017
N00001496,95GG430018,95GG430018
N00001497,95GG430019,95GG430019
N00001498,95GG440001,95GG440001
N00001499,95GG440002,95GG440002
N00001500,95GG440003,95GG440003
N00001501,95GG440004,95GG440018
N00001502,95GG440006,95GG440006
N00001503,95GG440015,95GG440015
N00001504,95GG440016,95GG440016
N00001505,95GG440017,95GG440017
N00001506,95GG440005,95GG440005
N00001507,95GG440007,95GG440007
N00001508,95GG440008,95GG440008
N00001509,95GG440009,95GG440009
N00001510,95GG440010,95GG440010
N00001511,95GG440014,95GG440014
N00001512,95GG440012,95GG440012
N00001513,95GG440013,95GG440013
N00001514,95GG450002,95GG450002
N00001515,95GG450011,95GG450011
N00001516,95GG450013,95GG450013
N00001517,95GG450014,95GG450014
N00001518,95GG450015,95GG450015
N00001519,95GG450001,95GG450001
N00001520,95GG450003,95GG450004
N00001521,95GG450004,95GG450003
N00001522,95GG450010,95GG450010
N00001523,95GG450016,95GG450016
N00001524,95GG450017,95GG450017
N00001525,95GG450005,95GG450005
N00001526,95GG450006,95GG450006
N00001527,95GG450007,95GG450007
N00001528,95GG450008,95GG450008
N00001529,95GG450009,95GG450009
N00001530,95GG450012,95GG450012
N00001531,95GG460002,95GG460002
N00001532,95GG460004,95GG460004
N00001533,95GG460008,95GG460008
N00001534,95GG460011,95GG460011
N00001535,95GG460001,95GG460001
N00001536,95GG460003,95GG460003
N00001537,95GG460005,95GG460005
N00001538,95GG460006,95GG460006
N00001539,95GG460007,95GG460007
N00001540,95GG460009,95GG460009
N00001541,95GG460010,95GG460010
N00001542,95GG460012,95GG460012
N00001543,95GG460013,95GG460013
N00001544,95GG460015,95GG460015
N00001545,95GG470006,95GG470006
N00001546,95GG470008,95GG470008
N00001547,95GG470010,95GG470010
N00001548,95GG470011,95GG470011
N00001549,95GG470012,95GG470012
N00001550,95GG470014,95GG470014
N00001551,95GG470015,95GG470015
N00001552,95GG470002,95GG470002
N00001553,95GG470004,95GG470004
N00001554,95GG470005,95GG470005
N00001555,95GG470007,95GG470007
N00001556,95GG470009,95GG470009
N00001557,95GG470013,95GG470013
N00001558,95GG470001,95GG470001
N00001559,95GG470003,95GG470003
N00001560,95GG470016,95GG470016
N00001561,95GG470017,95GG470017
N00001562,95GG470018,95GG470018
N00001563,95GG470019,95GG470019
N00001564,95GG470020,95GG470020
N00001565,95GG480001,95GG480001
N00001566,95GG480009,95GG480009
N00001567,95GG480012,95GG480012
N00001568,95GG480013,95GG480013
N00001569,95GG480014,95GG480014
N00001570,95GG480003,95GG480003
N00001571,95GG480005,95GG480005
N00001572,95GG480006,95GG480006
N00001573,95GG480010,95GG480010
N00001574,95GG480002,95GG480002
N00001575,95GG480004,95GG480004
N00001576,95GG480007,95GG480007
N00001577,95GG480008,95GG480008
N00001578,95GG480011,95GG480011
N00001579,95GG490007,95GG490007
N00001580,95GG490008,95GG490008
N00001581,95GG490009,95GG490009
N00001582,95GG490010,95GG490010
N00001583,95GG490011,95GG490011
N00001584,95GG490012,95GG490012
N00001585,95GG490002,95GG490002
N00001586,95GG490003,95GG490003
N00001587,95GG490004,95GG490004
N00001588,95GG490005,95GG490005
N00001589,95GG490006,95GG490006
N00001590,95GG490023,95GG490023
N00001591,95GG490025,95GG490025
N00001592,95GG490001,95GG490001
N00001593,95GG490019,95GG490019
N00001594,95GG490020,95GG490020
N00001595,95GG490021,95GG490021
N00001596,95GG490022,95GG490022
N00001597,95GG490024,95GG490024
N00001598,95GG490013,95GG490013
N00001599,95GG490014,95GG490014
N00001600,95GG490015,95GG490015
N00001601,95GG490016,95GG490016
N00001602,95GG490017,95GG490017
N00001603,95GG490018,95GG490016
N00001604,95GG500002,95GG500004
N00001605,95GG500004,95GG500007
N00001606,95GG500005,95GG500005
N00001607,95GG500007,95GG500007
N00001608,95GG500008,95GG500008
N00001609,95GG500009,95GG500009
N00001610,95GG500010,95GG500010
N00001611,95GG500011,95GG500011
N00001612,95GG500012,95GG500012
N00001613,95GG500013,95GG500013
N00001614,95GG500018,95GG500018
N00001615,95GG500019,95GG500019
N00001616,95GG500001,95GG500016
N00001617,95GG500003,95GG500003
N00001618,95GG500006,95GG500006
N00001619,95GG500015,95GG500015
N00001620,95GG500016,95GG500016
N00001621,95GG500017,95GG500017
N00001622,95GG500020,95GG500020
N00001623,95GG510001,95GG510001
N00001624,95GG510014,95GG510014
N00001625,95GG510015,95GG510015
N00001626,95GG510016,95GG510016
N00001627,95GG510017,95GG510001
N00001628,95GG510018,95GG510018
N00001629,95GG510005,95GG510005
N00001630,95GG510009,95GG510009
N00001631,95GG510010,95GG510010
N00001632,95GG510011,95GG510011
N00001633,95GG510012,95GG510012
N00001634,95GG510013,95GG510015
N00001635,95GG510002,95GG510002
N00001636,95GG510003,95GG510003
N00001637,95GG510004,95GG510004
N00001638,95GG510006,95GG510006
N00001639,95GG510007,95GG510007
N00001640,95GG510008,95GG510008
N00001641,95HH010001,95HH010001
N00001642,95HH010002,95HH010002
N00001643,95HH010003,95HH010003
