OA_CODE,DZ2021_cd_dominant,DZ2021_cd_point
95DD110008,N20002594,N20002594
95DD120001,N20002550,N20002550
95DD120002,N20002549,N20002549
95DD120003,N20002551,N20002551
95DD120004,N20002563,N20002563
95DD120005,N20002548,N20002548
95DD120006,N20002548,N20002548
95DD130001,N20002605,N20002601
95DD130002,N20002605,N20002605
95DD130003,N20002594,N20002601
95DD130004,N20002605,N20002605
95DD130005,N20002608,N20002601
95DD130006,N20002604,N20002602
95DD140001,N20002564,N20002566
95DD140002,N20002582,N20002564
95DD140003,N20002567,N20002567
95DD140004,N20002564,N20002565
95DD140005,N20002567,N20002567
95DD140006,N20002570,N20002570
95DD140007,N20002582,N20002582
95DD140008,N20002573,N20002573
95DD150001,N20002639,N20002639
95DD150002,N20002639,N20002640
95DD150003,N20002639,N20002639
95DD150004,N20002642,N20002642
95DD150005,N20002643,N20002643
95DD150006,N20002643,N20002643
95DD150007,N20002646,N20002646
95DD160001,N20002679,N20002677
95DD160002,N20002674,N20002674
95DD160003,N20002676,N20002676
95DD160004,N20002668,N20002679
95DD160005,N20002679,N20002664
95DD160006,N20002676,N20002676
95DD160007,N20002663,N20002663
95DD170001,N20002585,N20002585
95DD170002,N20002582,N20002582
95DD170003,N20002580,N20002580
95DD170004,N20002584,N20002584
95DD170005,N20002583,N20002583
95DD170006,N20002582,N20002582
95DD170007,N20002586,N20002584
95DD180001,N20002672,N20002672
95DD180002,N20002625,N20002625
95DD180003,N20002628,N20002620
95DD180004,N20002620,N20002620
95DD180005,N20002670,N20002670
95DD180006,N20002672,N20002667
95DD180007,N20002670,N20002670
95DD190001,N20002684,N20002683
95DD190002,N20002684,N20002682
95DD190003,N20002678,N20002678
95DD190004,N20002684,N20002684
95DD190005,N20002684,N20002681
95DD190006,N20002678,N20002678
95DD190007,N20002677,N20002681
95DD190008,N20002682,N20002682
95DD190009,N20002680,N20002680
95DD200001,N20002629,N20002629
95DD200002,N20002629,N20002629
95DD200003,N20002631,N20002629
95DD200004,N20002612,N20002627
95DD200005,N20002626,N20002626
95DD200006,N20002631,N20002631
