SA2011,age_band,religion_brought_up_in,count
N00000325,0-24,Catholic,54
N00000325,0-24,Protestant and Other Christian,109
N00000325,0-24,Other religions and none,22
N00000325,25-44,Catholic,47
N00000325,25-44,Protestant and Other Christian,87
N00000325,25-44,Other religions and none,12
N00000325,45+,Catholic,30
N00000325,45+,Protestant and Other Christian,164
N00000325,45+,Other religions and none,13
N00000326,0-24,Catholic,17
N00000326,0-24,Protestant and Other Christian,214
N00000326,0-24,Other religions and none,73
N00000326,25-44,Catholic,21
N00000326,25-44,Protestant and Other Christian,229
N00000326,25-44,Other religions and none,40
N00000326,45+,Catholic,22
N00000326,45+,Protestant and Other Christian,310
N00000326,45+,Other religions and none,20
N00000327,0-24,Catholic,5
N00000327,0-24,Protestant and Other Christian,70
N00000327,0-24,Other religions and none,42
N00000327,25-44,Catholic,9
N00000327,25-44,Protestant and Other Christian,92
N00000327,25-44,Other religions and none,14
N00000327,45+,Catholic,5
N00000327,45+,Protestant and Other Christian,83
N00000327,45+,Other religions and none,5
N00000328,0-24,Catholic,6
N00000328,0-24,Protestant and Other Christian,88
N00000328,0-24,Other religions and none,18
N00000328,25-44,Catholic,4
N00000328,25-44,Protestant and Other Christian,76
N00000328,25-44,Other religions and none,15
N00000328,45+,Catholic,4
N00000328,45+,Protestant and Other Christian,74
N00000328,45+,Other religions and none,6
N00000329,0-24,Catholic,6
N00000329,0-24,Protestant and Other Christian,120
N00000329,0-24,Other religions and none,21
N00000329,25-44,Catholic,8
N00000329,25-44,Protestant and Other Christian,89
N00000329,25-44,Other religions and none,15
N00000329,45+,Catholic,11
N00000329,45+,Protestant and Other Christian,124
N00000329,45+,Other religions and none,8
N00000330,0-24,Catholic,7
N00000330,0-24,Protestant and Other Christian,136
N00000330,0-24,Other religions and none,39
N00000330,25-44,Catholic,18
N00000330,25-44,Protestant and Other Christian,173
N00000330,25-44,Other religions and none,25
N00000330,45+,Catholic,4
N00000330,45+,Protestant and Other Christian,128
N00000330,45+,Other religions and none,9
N00000331,0-24,Catholic,9
N00000331,0-24,Protestant and Other Christian,182
N00000331,0-24,Other religions and none,40
N00000331,25-44,Catholic,13
N00000331,25-44,Protestant and Other Christian,156
N00000331,25-44,Other religions and none,19
N00000331,45+,Catholic,11
N00000331,45+,Protestant and Other Christian,174
N00000331,45+,Other religions and none,8
N00000332,0-24,Catholic,5
N00000332,0-24,Protestant and Other Christian,69
N00000332,0-24,Other religions and none,33
N00000332,25-44,Catholic,7
N00000332,25-44,Protestant and Other Christian,62
N00000332,25-44,Other religions and none,16
N00000332,45+,Catholic,8
N00000332,45+,Protestant and Other Christian,83
N00000332,45+,Other religions and none,1
N00000333,0-24,Catholic,4
N00000333,0-24,Protestant and Other Christian,95
N00000333,0-24,Other religions and none,23
N00000333,25-44,Catholic,1
N00000333,25-44,Protestant and Other Christian,78
N00000333,25-44,Other religions and none,9
N00000333,45+,Catholic,5
N00000333,45+,Protestant and Other Christian,76
N00000333,45+,Other religions and none,2
N00000334,0-24,Catholic,3
N00000334,0-24,Protestant and Other Christian,75
N00000334,0-24,Other religions and none,40
N00000334,25-44,Catholic,7
N00000334,25-44,Protestant and Other Christian,71
N00000334,25-44,Other religions and none,12
N00000334,45+,Catholic,7
N00000334,45+,Protestant and Other Christian,75
N00000334,45+,Other religions and none,4
N00000335,0-24,Catholic,11
N00000335,0-24,Protestant and Other Christian,57
N00000335,0-24,Other religions and none,23
N00000335,25-44,Catholic,14
N00000335,25-44,Protestant and Other Christian,48
N00000335,25-44,Other religions and none,11
N00000335,45+,Catholic,18
N00000335,45+,Protestant and Other Christian,132
N00000335,45+,Other religions and none,12
N00000336,0-24,Catholic,13
N00000336,0-24,Protestant and Other Christian,47
N00000336,0-24,Other religions and none,15
N00000336,25-44,Catholic,10
N00000336,25-44,Protestant and Other Christian,47
N00000336,25-44,Other religions and none,7
N00000336,45+,Catholic,13
N00000336,45+,Protestant and Other Christian,171
N00000336,45+,Other religions and none,7
N00000337,0-24,Catholic,6
N00000337,0-24,Protestant and Other Christian,41
N00000337,0-24,Other religions and none,13
N00000337,25-44,Catholic,3
N00000337,25-44,Protestant and Other Christian,45
N00000337,25-44,Other religions and none,10
N00000337,45+,Catholic,16
N00000337,45+,Protestant and Other Christian,138
N00000337,45+,Other religions and none,10
N00000338,0-24,Catholic,18
N00000338,0-24,Protestant and Other Christian,53
N00000338,0-24,Other religions and none,14
N00000338,25-44,Catholic,16
N00000338,25-44,Protestant and Other Christian,35
N00000338,25-44,Other religions and none,7
N00000338,45+,Catholic,22
N00000338,45+,Protestant and Other Christian,140
N00000338,45+,Other religions and none,3
N00000339,0-24,Catholic,14
N00000339,0-24,Protestant and Other Christian,55
N00000339,0-24,Other religions and none,10
N00000339,25-44,Catholic,12
N00000339,25-44,Protestant and Other Christian,53
N00000339,25-44,Other religions and none,6
N00000339,45+,Catholic,18
N00000339,45+,Protestant and Other Christian,119
N00000339,45+,Other religions and none,7
N00000340,0-24,Catholic,15
N00000340,0-24,Protestant and Other Christian,78
N00000340,0-24,Other religions and none,16
N00000340,25-44,Catholic,12
N00000340,25-44,Protestant and Other Christian,67
N00000340,25-44,Other religions and none,5
N00000340,45+,Catholic,18
N00000340,45+,Protestant and Other Christian,211
N00000340,45+,Other religions and none,5
N00000341,0-24,Catholic,11
N00000341,0-24,Protestant and Other Christian,67
N00000341,0-24,Other religions and none,16
N00000341,25-44,Catholic,6
N00000341,25-44,Protestant and Other Christian,49
N00000341,25-44,Other religions and none,10
N00000341,45+,Catholic,18
N00000341,45+,Protestant and Other Christian,162
N00000341,45+,Other religions and none,9
N00000342,0-24,Catholic,5
N00000342,0-24,Protestant and Other Christian,97
N00000342,0-24,Other religions and none,20
N00000342,25-44,Catholic,8
N00000342,25-44,Protestant and Other Christian,85
N00000342,25-44,Other religions and none,9
N00000342,45+,Catholic,13
N00000342,45+,Protestant and Other Christian,117
N00000342,45+,Other religions and none,5
N00000343,0-24,Catholic,8
N00000343,0-24,Protestant and Other Christian,93
N00000343,0-24,Other religions and none,21
N00000343,25-44,Catholic,6
N00000343,25-44,Protestant and Other Christian,73
N00000343,25-44,Other religions and none,11
N00000343,45+,Catholic,8
N00000343,45+,Protestant and Other Christian,121
N00000343,45+,Other religions and none,10
N00000344,0-24,Catholic,97
N00000344,0-24,Protestant and Other Christian,13
N00000344,0-24,Other religions and none,3
N00000344,25-44,Catholic,98
N00000344,25-44,Protestant and Other Christian,21
N00000344,25-44,Other religions and none,4
N00000344,45+,Catholic,124
N00000344,45+,Protestant and Other Christian,44
N00000344,45+,Other religions and none,2
N00000345,0-24,Catholic,132
N00000345,0-24,Protestant and Other Christian,5
N00000345,0-24,Other religions and none,1
N00000345,25-44,Catholic,96
N00000345,25-44,Protestant and Other Christian,9
N00000345,25-44,Other religions and none,1
N00000345,45+,Catholic,159
N00000345,45+,Protestant and Other Christian,12
N00000345,45+,Other religions and none,1
N00000346,0-24,Catholic,274
N00000346,0-24,Protestant and Other Christian,14
N00000346,0-24,Other religions and none,8
N00000346,25-44,Catholic,176
N00000346,25-44,Protestant and Other Christian,10
N00000346,25-44,Other religions and none,4
N00000346,45+,Catholic,178
N00000346,45+,Protestant and Other Christian,19
N00000346,45+,Other religions and none,2
N00000347,0-24,Catholic,46
N00000347,0-24,Protestant and Other Christian,2
N00000347,0-24,Other religions and none,8
N00000347,25-44,Catholic,59
N00000347,25-44,Protestant and Other Christian,9
N00000347,25-44,Other religions and none,4
N00000347,45+,Catholic,123
N00000347,45+,Protestant and Other Christian,5
N00000347,45+,Other religions and none,1
N00000348,0-24,Catholic,116
N00000348,0-24,Protestant and Other Christian,9
N00000348,0-24,Other religions and none,2
N00000348,25-44,Catholic,86
N00000348,25-44,Protestant and Other Christian,5
N00000348,25-44,Other religions and none,3
N00000348,45+,Catholic,156
N00000348,45+,Protestant and Other Christian,47
N00000348,45+,Other religions and none,2
N00000349,0-24,Catholic,104
N00000349,0-24,Protestant and Other Christian,6
N00000349,0-24,Other religions and none,9
N00000349,25-44,Catholic,92
N00000349,25-44,Protestant and Other Christian,7
N00000349,25-44,Other religions and none,6
N00000349,45+,Catholic,128
N00000349,45+,Protestant and Other Christian,13
N00000349,45+,Other religions and none,3
N00000350,0-24,Catholic,172
N00000350,0-24,Protestant and Other Christian,28
N00000350,0-24,Other religions and none,10
N00000350,25-44,Catholic,150
N00000350,25-44,Protestant and Other Christian,15
N00000350,25-44,Other religions and none,2
N00000350,45+,Catholic,155
N00000350,45+,Protestant and Other Christian,45
N00000350,45+,Other religions and none,0
N00000351,0-24,Catholic,103
N00000351,0-24,Protestant and Other Christian,51
N00000351,0-24,Other religions and none,5
N00000351,25-44,Catholic,69
N00000351,25-44,Protestant and Other Christian,26
N00000351,25-44,Other religions and none,1
N00000351,45+,Catholic,95
N00000351,45+,Protestant and Other Christian,55
N00000351,45+,Other religions and none,9
N00000352,0-24,Catholic,156
N00000352,0-24,Protestant and Other Christian,15
N00000352,0-24,Other religions and none,3
N00000352,25-44,Catholic,115
N00000352,25-44,Protestant and Other Christian,7
N00000352,25-44,Other religions and none,1
N00000352,45+,Catholic,152
N00000352,45+,Protestant and Other Christian,16
N00000352,45+,Other religions and none,1
N00000353,0-24,Catholic,89
N00000353,0-24,Protestant and Other Christian,42
N00000353,0-24,Other religions and none,5
N00000353,25-44,Catholic,73
N00000353,25-44,Protestant and Other Christian,28
N00000353,25-44,Other religions and none,1
N00000353,45+,Catholic,105
N00000353,45+,Protestant and Other Christian,78
N00000353,45+,Other religions and none,1
N00000354,0-24,Catholic,66
N00000354,0-24,Protestant and Other Christian,77
N00000354,0-24,Other religions and none,0
N00000354,25-44,Catholic,38
N00000354,25-44,Protestant and Other Christian,53
N00000354,25-44,Other religions and none,1
N00000354,45+,Catholic,67
N00000354,45+,Protestant and Other Christian,102
N00000354,45+,Other religions and none,1
N00000355,0-24,Catholic,101
N00000355,0-24,Protestant and Other Christian,37
N00000355,0-24,Other religions and none,3
N00000355,25-44,Catholic,82
N00000355,25-44,Protestant and Other Christian,35
N00000355,25-44,Other religions and none,0
N00000355,45+,Catholic,120
N00000355,45+,Protestant and Other Christian,63
N00000355,45+,Other religions and none,0
N00000356,0-24,Catholic,179
N00000356,0-24,Protestant and Other Christian,2
N00000356,0-24,Other religions and none,7
N00000356,25-44,Catholic,106
N00000356,25-44,Protestant and Other Christian,4
N00000356,25-44,Other religions and none,7
N00000356,45+,Catholic,105
N00000356,45+,Protestant and Other Christian,3
N00000356,45+,Other religions and none,1
N00000357,0-24,Catholic,444
N00000357,0-24,Protestant and Other Christian,21
N00000357,0-24,Other religions and none,28
N00000357,25-44,Catholic,341
N00000357,25-44,Protestant and Other Christian,19
N00000357,25-44,Other religions and none,29
N00000357,45+,Catholic,312
N00000357,45+,Protestant and Other Christian,12
N00000357,45+,Other religions and none,6
N00000358,0-24,Catholic,131
N00000358,0-24,Protestant and Other Christian,5
N00000358,0-24,Other religions and none,4
N00000358,25-44,Catholic,88
N00000358,25-44,Protestant and Other Christian,4
N00000358,25-44,Other religions and none,9
N00000358,45+,Catholic,128
N00000358,45+,Protestant and Other Christian,2
N00000358,45+,Other religions and none,0
N00000359,0-24,Catholic,155
N00000359,0-24,Protestant and Other Christian,34
N00000359,0-24,Other religions and none,32
N00000359,25-44,Catholic,182
N00000359,25-44,Protestant and Other Christian,39
N00000359,25-44,Other religions and none,35
N00000359,45+,Catholic,246
N00000359,45+,Protestant and Other Christian,88
N00000359,45+,Other religions and none,9
N00000360,0-24,Catholic,142
N00000360,0-24,Protestant and Other Christian,22
N00000360,0-24,Other religions and none,4
N00000360,25-44,Catholic,92
N00000360,25-44,Protestant and Other Christian,7
N00000360,25-44,Other religions and none,2
N00000360,45+,Catholic,129
N00000360,45+,Protestant and Other Christian,25
N00000360,45+,Other religions and none,0
N00000361,0-24,Catholic,69
N00000361,0-24,Protestant and Other Christian,43
N00000361,0-24,Other religions and none,9
N00000361,25-44,Catholic,80
N00000361,25-44,Protestant and Other Christian,33
N00000361,25-44,Other religions and none,8
N00000361,45+,Catholic,92
N00000361,45+,Protestant and Other Christian,77
N00000361,45+,Other religions and none,2
N00000362,0-24,Catholic,101
N00000362,0-24,Protestant and Other Christian,46
N00000362,0-24,Other religions and none,2
N00000362,25-44,Catholic,83
N00000362,25-44,Protestant and Other Christian,23
N00000362,25-44,Other religions and none,0
N00000362,45+,Catholic,84
N00000362,45+,Protestant and Other Christian,50
N00000362,45+,Other religions and none,1
N00000363,0-24,Catholic,162
N00000363,0-24,Protestant and Other Christian,17
N00000363,0-24,Other religions and none,0
N00000363,25-44,Catholic,110
N00000363,25-44,Protestant and Other Christian,14
N00000363,25-44,Other religions and none,0
N00000363,45+,Catholic,158
N00000363,45+,Protestant and Other Christian,21
N00000363,45+,Other religions and none,2
N00000364,0-24,Catholic,80
N00000364,0-24,Protestant and Other Christian,104
N00000364,0-24,Other religions and none,0
N00000364,25-44,Catholic,44
N00000364,25-44,Protestant and Other Christian,60
N00000364,25-44,Other religions and none,1
N00000364,45+,Catholic,92
N00000364,45+,Protestant and Other Christian,92
N00000364,45+,Other religions and none,2
N00000365,0-24,Catholic,82
N00000365,0-24,Protestant and Other Christian,24
N00000365,0-24,Other religions and none,1
N00000365,25-44,Catholic,51
N00000365,25-44,Protestant and Other Christian,10
N00000365,25-44,Other religions and none,2
N00000365,45+,Catholic,64
N00000365,45+,Protestant and Other Christian,21
N00000365,45+,Other religions and none,0
N00000366,0-24,Catholic,164
N00000366,0-24,Protestant and Other Christian,32
N00000366,0-24,Other religions and none,8
N00000366,25-44,Catholic,139
N00000366,25-44,Protestant and Other Christian,28
N00000366,25-44,Other religions and none,11
N00000366,45+,Catholic,118
N00000366,45+,Protestant and Other Christian,34
N00000366,45+,Other religions and none,2
N00000367,0-24,Catholic,98
N00000367,0-24,Protestant and Other Christian,13
N00000367,0-24,Other religions and none,0
N00000367,25-44,Catholic,99
N00000367,25-44,Protestant and Other Christian,7
N00000367,25-44,Other religions and none,2
N00000367,45+,Catholic,123
N00000367,45+,Protestant and Other Christian,8
N00000367,45+,Other religions and none,1
N00000368,0-24,Catholic,154
N00000368,0-24,Protestant and Other Christian,30
N00000368,0-24,Other religions and none,5
N00000368,25-44,Catholic,114
N00000368,25-44,Protestant and Other Christian,29
N00000368,25-44,Other religions and none,2
N00000368,45+,Catholic,155
N00000368,45+,Protestant and Other Christian,48
N00000368,45+,Other religions and none,7
N00000369,0-24,Catholic,72
N00000369,0-24,Protestant and Other Christian,66
N00000369,0-24,Other religions and none,10
N00000369,25-44,Catholic,30
N00000369,25-44,Protestant and Other Christian,48
N00000369,25-44,Other religions and none,7
N00000369,45+,Catholic,82
N00000369,45+,Protestant and Other Christian,92
N00000369,45+,Other religions and none,4
N00000370,0-24,Catholic,79
N00000370,0-24,Protestant and Other Christian,85
N00000370,0-24,Other religions and none,11
N00000370,25-44,Catholic,61
N00000370,25-44,Protestant and Other Christian,63
N00000370,25-44,Other religions and none,0
N00000370,45+,Catholic,84
N00000370,45+,Protestant and Other Christian,101
N00000370,45+,Other religions and none,1
N00000371,0-24,Catholic,99
N00000371,0-24,Protestant and Other Christian,77
N00000371,0-24,Other religions and none,8
N00000371,25-44,Catholic,51
N00000371,25-44,Protestant and Other Christian,45
N00000371,25-44,Other religions and none,2
N00000371,45+,Catholic,92
N00000371,45+,Protestant and Other Christian,72
N00000371,45+,Other religions and none,1
N00000372,0-24,Catholic,99
N00000372,0-24,Protestant and Other Christian,33
N00000372,0-24,Other religions and none,8
N00000372,25-44,Catholic,84
N00000372,25-44,Protestant and Other Christian,33
N00000372,25-44,Other religions and none,6
N00000372,45+,Catholic,66
N00000372,45+,Protestant and Other Christian,44
N00000372,45+,Other religions and none,7
N00000373,0-24,Catholic,82
N00000373,0-24,Protestant and Other Christian,39
N00000373,0-24,Other religions and none,16
N00000373,25-44,Catholic,81
N00000373,25-44,Protestant and Other Christian,34
N00000373,25-44,Other religions and none,11
N00000373,45+,Catholic,84
N00000373,45+,Protestant and Other Christian,84
N00000373,45+,Other religions and none,6
N00000374,0-24,Catholic,69
N00000374,0-24,Protestant and Other Christian,35
N00000374,0-24,Other religions and none,3
N00000374,25-44,Catholic,66
N00000374,25-44,Protestant and Other Christian,24
N00000374,25-44,Other religions and none,7
N00000374,45+,Catholic,75
N00000374,45+,Protestant and Other Christian,66
N00000374,45+,Other religions and none,3
N00000375,0-24,Catholic,44
N00000375,0-24,Protestant and Other Christian,18
N00000375,0-24,Other religions and none,5
N00000375,25-44,Catholic,38
N00000375,25-44,Protestant and Other Christian,17
N00000375,25-44,Other religions and none,3
N00000375,45+,Catholic,90
N00000375,45+,Protestant and Other Christian,84
N00000375,45+,Other religions and none,4
N00000376,0-24,Catholic,36
N00000376,0-24,Protestant and Other Christian,24
N00000376,0-24,Other religions and none,2
N00000376,25-44,Catholic,41
N00000376,25-44,Protestant and Other Christian,25
N00000376,25-44,Other religions and none,3
N00000376,45+,Catholic,54
N00000376,45+,Protestant and Other Christian,75
N00000376,45+,Other religions and none,1
N00000377,0-24,Catholic,35
N00000377,0-24,Protestant and Other Christian,30
N00000377,0-24,Other religions and none,2
N00000377,25-44,Catholic,32
N00000377,25-44,Protestant and Other Christian,26
N00000377,25-44,Other religions and none,3
N00000377,45+,Catholic,53
N00000377,45+,Protestant and Other Christian,85
N00000377,45+,Other religions and none,2
N00000378,0-24,Catholic,55
N00000378,0-24,Protestant and Other Christian,44
N00000378,0-24,Other religions and none,5
N00000378,25-44,Catholic,53
N00000378,25-44,Protestant and Other Christian,21
N00000378,25-44,Other religions and none,2
N00000378,45+,Catholic,58
N00000378,45+,Protestant and Other Christian,51
N00000378,45+,Other religions and none,0
N00000379,0-24,Catholic,110
N00000379,0-24,Protestant and Other Christian,82
N00000379,0-24,Other religions and none,6
N00000379,25-44,Catholic,82
N00000379,25-44,Protestant and Other Christian,58
N00000379,25-44,Other religions and none,5
N00000379,45+,Catholic,55
N00000379,45+,Protestant and Other Christian,88
N00000379,45+,Other religions and none,4
N00000380,0-24,Catholic,182
N00000380,0-24,Protestant and Other Christian,12
N00000380,0-24,Other religions and none,1
N00000380,25-44,Catholic,145
N00000380,25-44,Protestant and Other Christian,8
N00000380,25-44,Other religions and none,0
N00000380,45+,Catholic,165
N00000380,45+,Protestant and Other Christian,19
N00000380,45+,Other religions and none,0
N00000381,0-24,Catholic,370
N00000381,0-24,Protestant and Other Christian,35
N00000381,0-24,Other religions and none,6
N00000381,25-44,Catholic,281
N00000381,25-44,Protestant and Other Christian,34
N00000381,25-44,Other religions and none,8
N00000381,45+,Catholic,215
N00000381,45+,Protestant and Other Christian,27
N00000381,45+,Other religions and none,3
N00000382,0-24,Catholic,184
N00000382,0-24,Protestant and Other Christian,19
N00000382,0-24,Other religions and none,0
N00000382,25-44,Catholic,133
N00000382,25-44,Protestant and Other Christian,13
N00000382,25-44,Other religions and none,3
N00000382,45+,Catholic,182
N00000382,45+,Protestant and Other Christian,22
N00000382,45+,Other religions and none,1
N00000383,0-24,Catholic,114
N00000383,0-24,Protestant and Other Christian,83
N00000383,0-24,Other religions and none,1
N00000383,25-44,Catholic,68
N00000383,25-44,Protestant and Other Christian,52
N00000383,25-44,Other religions and none,1
N00000383,45+,Catholic,70
N00000383,45+,Protestant and Other Christian,78
N00000383,45+,Other religions and none,5
N00000384,0-24,Catholic,177
N00000384,0-24,Protestant and Other Christian,21
N00000384,0-24,Other religions and none,4
N00000384,25-44,Catholic,106
N00000384,25-44,Protestant and Other Christian,12
N00000384,25-44,Other religions and none,1
N00000384,45+,Catholic,153
N00000384,45+,Protestant and Other Christian,16
N00000384,45+,Other religions and none,0
N00000385,0-24,Catholic,106
N00000385,0-24,Protestant and Other Christian,60
N00000385,0-24,Other religions and none,3
N00000385,25-44,Catholic,72
N00000385,25-44,Protestant and Other Christian,41
N00000385,25-44,Other religions and none,1
N00000385,45+,Catholic,96
N00000385,45+,Protestant and Other Christian,59
N00000385,45+,Other religions and none,7
N00000386,0-24,Catholic,85
N00000386,0-24,Protestant and Other Christian,8
N00000386,0-24,Other religions and none,6
N00000386,25-44,Catholic,61
N00000386,25-44,Protestant and Other Christian,11
N00000386,25-44,Other religions and none,6
N00000386,45+,Catholic,109
N00000386,45+,Protestant and Other Christian,4
N00000386,45+,Other religions and none,1
N00000387,0-24,Catholic,60
N00000387,0-24,Protestant and Other Christian,5
N00000387,0-24,Other religions and none,1
N00000387,25-44,Catholic,46
N00000387,25-44,Protestant and Other Christian,8
N00000387,25-44,Other religions and none,3
N00000387,45+,Catholic,99
N00000387,45+,Protestant and Other Christian,4
N00000387,45+,Other religions and none,1
N00000388,0-24,Catholic,543
N00000388,0-24,Protestant and Other Christian,48
N00000388,0-24,Other religions and none,9
N00000388,25-44,Catholic,392
N00000388,25-44,Protestant and Other Christian,36
N00000388,25-44,Other religions and none,15
N00000388,45+,Catholic,520
N00000388,45+,Protestant and Other Christian,34
N00000388,45+,Other religions and none,5
N00000389,0-24,Catholic,141
N00000389,0-24,Protestant and Other Christian,10
N00000389,0-24,Other religions and none,1
N00000389,25-44,Catholic,105
N00000389,25-44,Protestant and Other Christian,4
N00000389,25-44,Other religions and none,1
N00000389,45+,Catholic,170
N00000389,45+,Protestant and Other Christian,10
N00000389,45+,Other religions and none,3
N00000390,0-24,Catholic,62
N00000390,0-24,Protestant and Other Christian,274
N00000390,0-24,Other religions and none,12
N00000390,25-44,Catholic,38
N00000390,25-44,Protestant and Other Christian,186
N00000390,25-44,Other religions and none,5
N00000390,45+,Catholic,43
N00000390,45+,Protestant and Other Christian,348
N00000390,45+,Other religions and none,4
N00000391,0-24,Catholic,13
N00000391,0-24,Protestant and Other Christian,148
N00000391,0-24,Other religions and none,16
N00000391,25-44,Catholic,17
N00000391,25-44,Protestant and Other Christian,111
N00000391,25-44,Other religions and none,12
N00000391,45+,Catholic,13
N00000391,45+,Protestant and Other Christian,184
N00000391,45+,Other religions and none,10
N00000392,0-24,Catholic,19
N00000392,0-24,Protestant and Other Christian,409
N00000392,0-24,Other religions and none,50
N00000392,25-44,Catholic,33
N00000392,25-44,Protestant and Other Christian,414
N00000392,25-44,Other religions and none,24
N00000392,45+,Catholic,36
N00000392,45+,Protestant and Other Christian,405
N00000392,45+,Other religions and none,9
N00000393,0-24,Catholic,7
N00000393,0-24,Protestant and Other Christian,122
N00000393,0-24,Other religions and none,5
N00000393,25-44,Catholic,14
N00000393,25-44,Protestant and Other Christian,106
N00000393,25-44,Other religions and none,2
N00000393,45+,Catholic,2
N00000393,45+,Protestant and Other Christian,194
N00000393,45+,Other religions and none,7
N00000394,0-24,Catholic,14
N00000394,0-24,Protestant and Other Christian,95
N00000394,0-24,Other religions and none,9
N00000394,25-44,Catholic,9
N00000394,25-44,Protestant and Other Christian,76
N00000394,25-44,Other religions and none,9
N00000394,45+,Catholic,19
N00000394,45+,Protestant and Other Christian,166
N00000394,45+,Other religions and none,9
N00000395,0-24,Catholic,50
N00000395,0-24,Protestant and Other Christian,83
N00000395,0-24,Other religions and none,3
N00000395,25-44,Catholic,34
N00000395,25-44,Protestant and Other Christian,67
N00000395,25-44,Other religions and none,6
N00000395,45+,Catholic,54
N00000395,45+,Protestant and Other Christian,202
N00000395,45+,Other religions and none,9
N00000396,0-24,Catholic,35
N00000396,0-24,Protestant and Other Christian,69
N00000396,0-24,Other religions and none,3
N00000396,25-44,Catholic,23
N00000396,25-44,Protestant and Other Christian,54
N00000396,25-44,Other religions and none,7
N00000396,45+,Catholic,37
N00000396,45+,Protestant and Other Christian,145
N00000396,45+,Other religions and none,3
N00000397,0-24,Catholic,58
N00000397,0-24,Protestant and Other Christian,96
N00000397,0-24,Other religions and none,9
N00000397,25-44,Catholic,61
N00000397,25-44,Protestant and Other Christian,70
N00000397,25-44,Other religions and none,10
N00000397,45+,Catholic,69
N00000397,45+,Protestant and Other Christian,139
N00000397,45+,Other religions and none,8
N00000398,0-24,Catholic,13
N00000398,0-24,Protestant and Other Christian,131
N00000398,0-24,Other religions and none,6
N00000398,25-44,Catholic,6
N00000398,25-44,Protestant and Other Christian,94
N00000398,25-44,Other religions and none,0
N00000398,45+,Catholic,5
N00000398,45+,Protestant and Other Christian,206
N00000398,45+,Other religions and none,2
N00000399,0-24,Catholic,6
N00000399,0-24,Protestant and Other Christian,74
N00000399,0-24,Other religions and none,7
N00000399,25-44,Catholic,3
N00000399,25-44,Protestant and Other Christian,89
N00000399,25-44,Other religions and none,1
N00000399,45+,Catholic,2
N00000399,45+,Protestant and Other Christian,120
N00000399,45+,Other religions and none,2
N00000400,0-24,Catholic,56
N00000400,0-24,Protestant and Other Christian,1
N00000400,0-24,Other religions and none,2
N00000400,25-44,Catholic,68
N00000400,25-44,Protestant and Other Christian,5
N00000400,25-44,Other religions and none,1
N00000400,45+,Catholic,101
N00000400,45+,Protestant and Other Christian,6
N00000400,45+,Other religions and none,0
N00000401,0-24,Catholic,82
N00000401,0-24,Protestant and Other Christian,5
N00000401,0-24,Other religions and none,1
N00000401,25-44,Catholic,68
N00000401,25-44,Protestant and Other Christian,1
N00000401,25-44,Other religions and none,4
N00000401,45+,Catholic,119
N00000401,45+,Protestant and Other Christian,4
N00000401,45+,Other religions and none,2
N00000402,0-24,Catholic,42
N00000402,0-24,Protestant and Other Christian,6
N00000402,0-24,Other religions and none,4
N00000402,25-44,Catholic,61
N00000402,25-44,Protestant and Other Christian,6
N00000402,25-44,Other religions and none,2
N00000402,45+,Catholic,115
N00000402,45+,Protestant and Other Christian,12
N00000402,45+,Other religions and none,0
N00000403,0-24,Catholic,163
N00000403,0-24,Protestant and Other Christian,12
N00000403,0-24,Other religions and none,6
N00000403,25-44,Catholic,133
N00000403,25-44,Protestant and Other Christian,20
N00000403,25-44,Other religions and none,2
N00000403,45+,Catholic,169
N00000403,45+,Protestant and Other Christian,17
N00000403,45+,Other religions and none,0
N00000404,0-24,Catholic,69
N00000404,0-24,Protestant and Other Christian,4
N00000404,0-24,Other religions and none,0
N00000404,25-44,Catholic,68
N00000404,25-44,Protestant and Other Christian,2
N00000404,25-44,Other religions and none,0
N00000404,45+,Catholic,124
N00000404,45+,Protestant and Other Christian,9
N00000404,45+,Other religions and none,0
N00000405,0-24,Catholic,72
N00000405,0-24,Protestant and Other Christian,2
N00000405,0-24,Other religions and none,3
N00000405,25-44,Catholic,42
N00000405,25-44,Protestant and Other Christian,7
N00000405,25-44,Other religions and none,3
N00000405,45+,Catholic,79
N00000405,45+,Protestant and Other Christian,15
N00000405,45+,Other religions and none,0
N00000406,0-24,Catholic,37
N00000406,0-24,Protestant and Other Christian,106
N00000406,0-24,Other religions and none,5
N00000406,25-44,Catholic,20
N00000406,25-44,Protestant and Other Christian,89
N00000406,25-44,Other religions and none,1
N00000406,45+,Catholic,20
N00000406,45+,Protestant and Other Christian,118
N00000406,45+,Other religions and none,1
N00000407,0-24,Catholic,328
N00000407,0-24,Protestant and Other Christian,101
N00000407,0-24,Other religions and none,17
N00000407,25-44,Catholic,212
N00000407,25-44,Protestant and Other Christian,88
N00000407,25-44,Other religions and none,4
N00000407,45+,Catholic,267
N00000407,45+,Protestant and Other Christian,104
N00000407,45+,Other religions and none,4
N00000408,0-24,Catholic,136
N00000408,0-24,Protestant and Other Christian,45
N00000408,0-24,Other religions and none,8
N00000408,25-44,Catholic,66
N00000408,25-44,Protestant and Other Christian,35
N00000408,25-44,Other religions and none,2
N00000408,45+,Catholic,111
N00000408,45+,Protestant and Other Christian,62
N00000408,45+,Other religions and none,3
N00000409,0-24,Catholic,18
N00000409,0-24,Protestant and Other Christian,100
N00000409,0-24,Other religions and none,5
N00000409,25-44,Catholic,10
N00000409,25-44,Protestant and Other Christian,85
N00000409,25-44,Other religions and none,3
