W72_ID,Geography,District,CensusWard,pop_1971_persons,pop_1971_males,pop_1971_females,pop_1981_persons,pop_1981_males,pop_1981_females,pop_change_pct
belfast--central,CENTRAL,BELFAST,Central,7085,4123,2962,2391,1260,1131,-66.3
belfast--cliftonville,CLIFTONVILLE,BELFAST,Cliftonville,9637,4438,5199,7475,3426,4049,-22.4
belfast--clonard,CLONARD,BELFAST,Clonard,8491,4339,4152,5428,2561,2867,-36.1
belfast--court,COURT,BELFAST,Court,7345,3562,3783,3319,1543,1776,-54.8
belfast--cromac,CROMAC,BELFAST,Cromac,6991,3371,3620,2418,1137,1281,-65.4
belfast--crumlin,CRUMLIN,BELFAST,Crumlin,12414,6821,5593,3665,1855,1810,-70.5
belfast--donegall,DONEGALL,BELFAST,Donegal,7789,3673,4116,6203,2948,3255,-20.4
belfast--duncairn,DUNCAIRN,BELFAST,Duncairn,8408,3952,4456,4184,1955,2229,-50.2
belfast--falls,FALLS,BELFAST,Falls,5655,2669,2986,2608,1210,1398,-53.9
belfast--finaghy,FINAGHY,BELFAST,Finaghy,7376,3198,4178,7184,3149,4035,-2.6
belfast--fortwilliam,FORTWILLIAM,BELFAST,Fortwilliam,6690,3088,3602,5838,2683,3155,-12.7
belfast--grosvenor,GROSVENOR,BELFAST,Grdsvenor,7385,3278,4107,3308,1389,1919,-55.2
belfast--grove,GROVE,BELFAST,Grove,6230,2938,3292,4623,2182,2441,-25.8
belfast--highfield,HIGHFIELD,BELFAST,Highfield,8516,4187,4329,5661,2734,2927,-33.5
belfast--island,ISLAND,BELFAST,Island,8665,4310,4355,4073,1922,2151,-53.0
belfast--ladybrook,LADYBROOK,BELFAST,Ladybrook,11044,5478,5566,9981,4941,5040,-9.6
belfast--legoniel,LEGONIEL,BELFAST,Legoniel,7218,3455,3763,5465,2544,2921,-24.3
belfast--malone,MALONE,BELFAST,MaJone,6775,2901,3874,6427,2814,3613,-5.1
belfast--milltown,MILLTOWN,BELFAST,Milltown,9864,4816,5048,7220,3461,3759,-26.8
belfast--new-lodge,NEW LODGE,BELFAST,New Lodge,8090,3848,4242,5057,2381,2676,-37.5
belfast--north-howard,NORTH HOWARD,BELFAST,North Howard,6957,3346,3611,1872,885,987,-73.1
belfast--orangefield,ORANGEFIELD,BELFAST,Orangefield,7921,3734,4187,6774,3151,3623,-14.5
belfast--ormeau,ORMEAU,BELFAST,Ormeau,6710,3169,3541,4698,2180,2518,-30.0
belfast--rosetta,ROSETTA,BELFAST,Rosetta,7633,3358,4275,6635,2904,3731,-13.1
belfast--shandon,SHANDON,BELFAST,Shandon,8715,4173,4542,7921,3758,4163,-9.1
belfast--shankill,SHANKILL,BELFAST,Shankill,8337,3939,4398,5793,2776,3017,-30.5
belfast--st-george-s,ST GEORGE'S,BELFAST,St. George's,7690,3662,4028,3003,1439,1564,-60.9
belfast--st-james,ST JAMES,BELFAST,St. James,9202,4166,5036,7990,3713,4277,-13.2
belfast--stormont,STORMONT,BELFAST,Stormont,8778,4122,4656,7596,3431,4165,-13.5
belfast--stranmillis,STRANMILLIS,BELFAST,Stranmillis,7939,3669,4270,6653,3019,3634,-16.2
belfast--suffolk,SUFFOLK,BELFAST,Suffolk,11031,5487,5544,9256,4548,4708,-16.1
belfast--sydenham,SYDENHAM,BELFAST,Sydenham,7931,3827,4104,6844,3413,3431,-13.7
belfast--the-mount,THE MOUNT,BELFAST,The Mount,8765,4243,4522,4628,2178,2450,-47.2
belfast--university,UNIVERSITY,BELFAST,University,7830,3708,4122,4726,2171,2555,-39.6
belfast--upper-malone,UPPER MALONE,BELFAST,Upper Malone,7920,3794,4126,6980,3301,3679,-11.9
belfast--whiterock,WHITEROCK,BELFAST,Whiterock,10861,5475,5386,6775,3359,3416,-37.6
belfast--willowfield,WILLOWFIELD,BELFAST,Willowfield,7417,3401,4016,6257,2914,3343,-15.6
belfast--windsor,WINDSOR,BELFAST,Windsor,9925,4030,5895,7942,3335,4607,-20.0
belfast--woodvale,WOODVALE,BELFAST,Woodvale,7628,3667,3961,5879,2762,3117,-22.9
carrickfergus--blackhead,BLACKHEAD,CARRICKFERGUS,Blackhead,1488,698,790,2264,1057,1207,52.2
carrickfergus--boneybefore,BONEYBEFORE,CARRICKFERGUS,Boneybefore,1828,906,922,2320,1144,1176,26.9
carrickfergus--castle,CASTLE,CARRICKFERGUS,Castle,1363,662,701,979,449,530,-28.2
carrickfergus--clipperstown,CLIPPERSTOWN,CARRICKFERGUS,Clipperstown,1895,917,978,2524,1221,1303,33.2
carrickfergus--eden,EDEN,CARRICKFERGUS,Eden,1999,989,1010,2123,1055,1068,6.2
carrickfergus--knockagh,KNOCKAGH,CARRICKFERGUS,Knockagh,1531,746,785,1589,775,814,3.8
carrickfergus--love-lane,LOVE LANE,CARRICKFERGUS,Love Lane,2527,1241,1286,3591,1740,1851,42.1
carrickfergus--lower-greenisland,LOWER GREENISLAND,CARRICKFERGUS,Lower Greenisland,2179,996,1183,1928,912,1016,-11.5
carrickfergus--middle-greenisland,MIDDLE GREENISLAND,CARRICKFERGUS,Middle Greenisland,1981,947,1034,1574,742,832,-20.5
carrickfergus--northland,NORTHLAND,CARRICKFERGUS,Northland,2173,1102,1071,1875,932,943,-13.7
carrickfergus--sunnylands,SUNNYLANDS,CARRICKFERGUS,Sunnylands,1871,916,955,1442,693,749,-22.9
carrickfergus--trooperslane,TROOPERSLANE,CARRICKFERGUS,Trooperslane,1714,802,912,1373,618,755,-19.9
carrickfergus--victoria,VICTORIA,CARRICKFERGUS,Victoria,1800,888,912,1399,666,733,-22.3
carrickfergus--whitehead,WHITEHEAD,CARRICKFERGUS,Whitehead,1444,673,771,1403,652,751,-2.8
carrickfergus--woodburn,WOODBURN,CARRICKFERGUS,Woodburn,1251,611,640,2004,1011,993,60.2
castlereagh--ballyhanwood,BALLYHANWOOD,CASTLEREAGH,Ballyhanwood,3137,1546,1591,3564,1733,1831,13.6
castlereagh--beechill,BEECHILL,CASTLEREAGH,Beechill,4724,2224,2500,5150,2596,2554,9.0
castlereagh--carrowreagh,CARROWREAGH,CASTLEREAGH,Carrowreagh,3732,1797,1935,4383,2096,2287,17.4
castlereagh--carryduff,CARRYDUFF,CASTLEREAGH,Carryduff,3280,1593,1687,3793,1838,1955,15.6
castlereagh--cregagh,CREGAGH,CASTLEREAGH,Cregagh,3081,1521,1560,2442,1133,1309,-20.7
castlereagh--downshire,DOWNSHIRE,CASTLEREAGH,Downshire,2732,1327,1405,2308,1057,1251,-15.5
castlereagh--dundonald,DUNDONALD,CASTLEREAGH,Dundonald,3936,1828,2108,3331,1458,1873,-15.4
castlereagh--enler,ENLER,CASTLEREAGH,Enler,3848,1864,1984,3224,1573,1651,-16.2
castlereagh--four-winds,FOUR WINDS,CASTLEREAGH,Four Winds,3616,1815,1801,3611,1803,1808,-0.1
castlereagh--gilnahirk,GILNAHIRK,CASTLEREAGH,Gilnahirk,3216,1578,1638,2825,1385,1440,-12.2
castlereagh--hillfoot,HILLFOOT,CASTLEREAGH,Hillfoot,3260,1594,1666,3310,1639,1671,1.5
castlereagh--lisnasharragh,LISNASHARRAGH,CASTLEREAGH,Lisnasharragh,3805,1900,1905,3085,1527,1558,-18.9
castlereagh--lower-braniel,LOWER BRANIEL,CASTLEREAGH,Braniel Lower,2923,1435,1488,2545,1215,1330,-12.9
castlereagh--minnowburn,MINNOWBURN,CASTLEREAGH,Minnowburn,3349,1487,1862,3609,1592,2017,7.8
castlereagh--moneyreagh,MONEYREAGH,CASTLEREAGH,Moneyreagh,2249,1140,1109,2460,1261,1199,9.4
castlereagh--newtownbreda,NEWTOWNBREDA,CASTLEREAGH,Newiowr\breda,3599,1707,1892,2782,1273,1509,-22.7
castlereagh--tullycarnet,TULLYCARNET,CASTLEREAGH,TuUycarnet,3524,1722,1802,3115,1535,1580,-11.6
castlereagh--upper-braniel,UPPER BRANIEL,CASTLEREAGH,Braniel Upper,3389,1677,1712,3017,1505,1512,-11.0
castlereagh--wynchurch,WYNCHURCH,CASTLEREAGH,Wynchurch,3006,1413,1593,2553,1190,1363,-15.1
coleraine--agivey,AGIVEY,COLERAINE,Agivey,2165,1103,1062,1960,981,979,-9.5
coleraine--ballywillin,BALLYWILLIN,COLERAINE,Ballywillin,2358,1157,1201,2672,1316,1356,13.3
coleraine--castlerock,CASTLEROCK,COLERAINE,Castlerock,2265,1107,1158,2328,1153,1175,2.8
coleraine--central,CENTRAL,COLERAINE,Central,1699,794,905,1153,518,635,-32.1
coleraine--churchland,CHURCHLAND,COLERAINE,Churchland,2454,1203,1251,1910,943,967,-22.2
coleraine--cross-glebe,CROSS GLEBE,COLERAINE,Cross Glebe,2547,1270,1277,3553,1721,1832,39.5
coleraine--dhu-varren,DHU VARREN,COLERAINE,Dhu Varren,2098,964,1134,2135,971,1164,1.8
coleraine--dunluce,DUNLUCE,COLERAINE,Dunluce,1762,886,876,1780,877,903,1.0
