,DUP,Sinn Féin,UUP,SDLP,Alliance,TUV,Green,PBP,Aontú,Independent,Other
N20002232,31.035964693529184,39.82956259785427,13.106453228740147,11.552200396079028,2.943572777560999,4.3193737649223774e-07,0.9346624037680766,1.842922514449279e-07,4.609833719614476e-07,2.3303958633166405e-06,0.5975804948594308
N20002233,15.844468233487754,70.9615728213325,1.926710394755616,9.617744562842963,1.1394238226136597,8.233806389896244e-08,0.29364814433207165,4.0529783799417326e-07,2.0357958750223904e-07,1.6191993891757395e-07,0.21643116750000732
N20002234,10.547307935584845,46.201657376091845,4.102449821212603,36.553148921951575,1.8660011440205626,1.3555368903795992e-07,0.5025963062227115,1.239163726344868e-07,2.325830493353995e-07,4.265624982476064e-07,0.22683757630024984
N20002235,1.9344914104202164,69.09745174024408,0.9857563467989052,27.76165070136115,0.08156807924835294,2.927544920284978e-08,0.07200036446322292,2.2652301669398153e-07,1.510300931172932e-07,2.3020024927057164e-07,0.06708072043527462
N20002236,18.995385938330763,68.58471403344373,3.273365307215428,5.882264111069221,2.1080782799971205,1.773943130122787e-07,0.8718778577953973,2.364592502955895e-07,1.690129756671881e-07,1.9117745814164012e-07,0.28431369810434004
N20002237,9.07349040732512,68.36285636139988,2.3251991991373635,18.908265262304646,0.6455138279456831,1.2707271155518849e-07,0.3877757786933364,3.332924957098092e-07,3.8048303182500375e-07,5.26564499713882e-07,0.2968977957812332
N20002238,16.37845508505687,52.06459998245568,4.807838628689301,25.23603695708462,0.8403348225057611,5.6606152328365107e-08,0.33419953466347857,4.959542846253718e-07,3.3010988906621e-07,9.46111176636072e-07,0.3385331607627654
N20002239,5.9516023786299,63.40502375011372,2.272861910749609,27.268290068970774,0.6649394172819681,1.7938781211673908e-07,0.21612465626420074,1.5219723124128807e-07,2.479180748927093e-07,1.4093473381909557e-07,0.2211570975519638
N20002240,4.854689165889157,55.07945188559956,2.2695138832090387,36.84636624468911,0.4130836038056379,1.4175248143477323e-07,0.39691449119328714,1.4861259454405442e-07,2.4973950344051093e-07,5.102634867530977e-07,0.13997967524615132
N20002241,12.922830119616998,69.29597523726437,0.8482003938417239,15.491739233728183,0.5004474749307389,1.9891945800051434e-07,0.33073500552518836,3.0213363367839373e-07,3.1122966367039837e-07,3.637129003394688e-07,0.6100713590971272
N20002242,43.35640806237061,33.50507147089715,4.583520986720895,15.449808301504456,1.986166811327902,3.2620125284408325e-07,0.4439493198832546,2.42970879710366e-07,4.108557462865748e-07,1.5938643708132232e-06,0.6750724734034806
N20002243,21.063889083012366,49.957720028498066,3.81629350896864,21.244832253167566,2.352593361285841,9.794121713080872e-07,0.8886280072854266,4.049840315491557e-07,5.945273517565491e-07,5.210313642877638e-07,0.6760412578271874
N20002244,25.000244539350934,49.0889771287884,3.7936734926469846,20.903488698578617,0.6368042760235125,4.949381869884771e-07,0.16672666145108136,1.0360754666830201e-07,1.7220472001253544e-07,2.3220356275823672e-07,0.41008420020645475
N20002245,49.234523601128394,26.935269571042248,7.328076859675237,9.490376396076778,5.537377184757467,7.828124478504136e-07,0.6443078300043332,7.024267413788787e-08,3.303413338511298e-07,5.981179066410618e-07,0.8300667758011724
N20002246,45.624535669076906,23.30783419756821,19.066131157264206,8.03004016592441,3.121048902497457,9.90153737774389e-07,0.32936057891553544,1.383670407409736e-07,2.2696624856010733e-07,2.261394191011371e-07,0.5210477471268217
N20002247,26.01777789204026,67.57036213265329,0.966888550651265,3.940239766027597,0.7047008225425687,3.86735218885976e-07,0.3195962265668589,3.3769200939844756e-07,1.842589875116061e-07,2.1811607295893642e-07,0.4804334827158707
N20002248,5.369067521048134,70.74376563068468,1.6906098330353587,21.28556978015736,0.394929001644614,1.2532640146564016e-07,0.26415817788318985,2.4810471359686923e-07,3.555158104051623e-07,4.3967618138384367e-07,0.25189888692354684
N20002249,39.10562906763234,26.222482844115845,8.561143882921836,22.86118556941029,2.2535046276006443,7.588147588703329e-07,0.5200669660266696,2.348166782970863e-07,4.567428942895309e-07,1.3687705986926152e-06,0.4759842231474339
N20002250,45.709235305247184,31.728953950913585,10.557165890418156,8.010319224391305,2.904224570775857,1.1148689461589732e-06,0.5068650829420915,2.0308627374361513e-07,3.965595038411863e-07,4.71406018618019e-07,0.5832337893910701
N20002251,11.282772356707872,70.98101861750817,1.5240627864913183,14.912674246588825,0.7763856838677605,3.9514747648831094e-07,0.23112967339025697,1.0499728363069269e-07,2.350695698475184e-07,1.631376705722519e-07,0.29195573709378786
N20002252,83.16073703055048,6.806220302699961,3.499276246364327,0.457596431040714,4.1983318901667666,2.481869895414093e-07,4.528597044613476e-07,1.306775189014711e-07,8.79917045107401e-08,0.030193004600762203,1.8476441748610923
N20002253,63.4118407996895,8.194499881183802,20.202592728124465,1.8944567427467969,4.8274718352365955,1.1178805453279173e-06,7.748948017644157e-07,2.137189699522742e-07,1.4353636734104694e-07,0.03717972600486319,1.4319560369832907
N20002254,67.87350295679883,1.8196059078778508,14.304788887256889,1.0109434432657023,12.19589932940769,3.579832257744269e-07,1.840161116553897e-06,1.1878626397636988e-07,2.4587230946755015e-07,0.28132916652276246,2.5139277460673752
N20002255,89.16027582388968,2.1350836964291275,2.2711704535157065,1.2055493445667969,3.1340857823707173,3.1391474805545107e-07,4.2354194463999353e-07,4.63554446622951e-07,2.6304395810790137e-07,0.2121227661971424,1.881710668975737
N20002256,66.17304959140726,1.1421040801019902,18.9284081902677,1.289756797747465,11.399572438886505,6.087114395611317e-07,6.12270476068774e-07,1.4850363908482522e-07,1.6013191154640856e-07,0.05424780572291253,1.0128595662486932
N20002257,60.02847197995579,0.3588130301454313,22.175676268323482,7.501058826976394,8.766522109340338,1.7798084035566984e-07,5.923135301033084e-07,3.7797706116174717e-07,3.77250300311222e-07,0.48685884690976183,0.6825974128270765
N20002258,68.46293537427547,4.587592194949987,14.838844033660815,8.10574275103544,3.3628378764317692,3.9712660845814227e-07,2.1827054088603766e-07,2.9154392356485e-07,1.896263766253589e-07,0.14584998168254434,0.49619669139653305
N20002259,48.253510105589264,0.5496047027642655,36.21564058170188,4.278204730385038,10.396497831479616,4.581215635872976e-07,2.2424050233188688e-07,2.8376926591960956e-08,7.300458846340343e-08,0.03599190919879949,0.27054935513754536
N20002260,51.80282694282564,0.24847928370825292,11.445801239814433,4.767440887726318,30.779828249908668,6.390650352364784e-07,1.4793693720031027e-06,1.0151161613993389e-07,2.24512110299981e-07,0.12638070796754824,0.8292402435910189
N20002261,67.19072111251758,0.5855050277966162,18.034827566072504,4.789779022086424,8.957637679009721,2.2694583800819528e-07,1.6931430160587482e-07,5.1721620884220416e-08,1.7091825351210938e-07,0.19944920919736964,0.24207976441977383
N20002262,49.25724925379207,0.2997526695182174,28.48642467871288,7.442953014688296,13.128187688756416,2.8596860749756e-07,6.557259836946432e-07,1.9901449328941935e-07,3.3127508443062244e-07,0.39243134014976405,0.9929998823981773
N20002263,45.85921875406972,0.0772516270697445,4.577401181219068,0.11187942310795465,47.250714651922195,7.585953746250968e-08,2.9507572859751256e-06,3.9498872189309575e-08,1.90047731314769e-07,0.4689547913309106,1.654576315116981
N20002264,47.79578082620398,0.7038252519877022,27.400260784567422,4.423723982012018,17.195115497048068,4.3477205284866555e-07,2.1825282791207683e-06,1.7512015678420878e-07,3.7495270177494887e-07,0.935426283472724,1.5458642073348796
N20002265,83.9605098048362,3.783178557908815,5.118873596440511,2.030769966305162,3.116815989577084,3.8825581902152383e-07,7.681763407340402e-07,3.319635489067374e-07,2.0597538329029805e-07,0.19794909574887282,1.7919012948122788
N20002266,50.92214235570418,0.24346875937761034,19.220833566487986,3.189663465832017,24.66894933477279,2.485547035171207e-07,1.5746194930152703e-06,1.827439021424863e-07,4.419093444956511e-07,0.8589557016281224,0.8959843683698421
N20002267,74.31699990721732,5.212027251254325,9.18371895635041,3.365870669599343,4.978207471801039,6.245831106788345e-07,1.8384565009821032e-06,3.292481963708299e-07,3.6524263964903735e-07,0.666923433253175,2.2762491529939575
N20002268,63.00652015951535,0.6241728811705367,21.0446000780007,3.515045232578894,10.539393586437686,9.136138970287931e-07,7.732675744529862e-07,6.590069556879858e-08,2.7133117121264317e-07,0.46090199066878124,0.809364047514707
N20002269,66.8690028626388,2.7619937601905606,21.62962493114283,3.0531561084406964,4.605613367583421,3.6438888657601446e-07,5.35138305333586e-07,4.993951943975157e-07,2.544282715084125e-07,0.23809549305431016,0.8425118235987369
N20002270,70.53831487139449,1.2784477737380768,15.657389879854364,2.498906242771812,8.629959748975287,1.719414531863501e-07,4.5374912004925897e-07,4.908564715093874e-07,2.9718580985050586e-07,0.11052283539742971,1.2864572341356748
N20002271,53.03501871576176,0.22284865847554852,19.456247780372372,5.771172141170038,20.680923664782675,1.0402899479966266e-07,5.859432526655842e-07,2.915605953266123e-07,4.209979468279558e-07,0.4407941232355698,0.3929935136712384
N20002272,45.19930021331142,0.1746954564715113,17.0149496956303,3.257177015789149,33.32668315464636,2.562997660348897e-07,2.4312800189253806e-06,2.587956428281136e-07,3.760270494666587e-07,0.41285636851570656,0.6143347732330692
N20002273,58.4541301726755,0.4931218715359492,13.3648853868159,9.424684995717774,15.254649955037044,3.397935158102159e-07,1.4410925996095186e-06,5.692120402737582e-07,5.667924532654935e-07,1.033352523903931,1.9751721774232858
N20002274,45.45607563740515,0.16567799677117284,22.618749289628248,4.656450512398265,25.04135725185846,3.8865057834491013e-07,1.8682970574194621e-06,2.9096346454293994e-07,5.615140621944579e-07,1.0168660090697228,1.0448201934438215
N20002275,32.03758620243772,0.13469332410767945,53.29312709105785,10.189550767247045,3.5717343067527105,4.485682747110915e-08,8.525851283191444e-08,1.197223441802598e-07,2.3489517566198863e-07,0.5940297134414902,0.17927811022266227
N20002276,55.906588906072315,1.6271646385624887,15.512624944670698,22.558239855110244,3.729336354237997,3.296358407360795e-07,1.9151548139106304e-07,6.82165044283841e-08,1.9232696803102448e-07,0.332413401254776,0.33363111839668935
N20002277,56.9866653001477,0.9371739952022013,30.112498878550277,3.2002043379906078,7.923060090733712,5.942794969774049e-07,3.9989139758052885e-07,1.122854993991003e-07,1.9625446634442364e-07,0.12506082604539806,0.7153352686192607
N20002278,59.38344870994958,0.1697980986786713,14.354243608299672,3.6047476293599696,19.401329215832032,6.631258449589465e-07,2.070021702572607e-06,5.317201023495566e-07,7.200739718809717e-07,1.3433447188305692,1.7430840341078817
N20002279,10.383165387344667,0.020713323532180136,3.915106426166891,0.36989084591109234,78.30077330307827,6.664124387330311e-07,0.00011227752754373046,5.0631666778551755e-08,2.6801259724518594e-07,5.713895277528568,1.2963421738540841
N20002280,27.846739914451057,0.07309458064641715,19.53554561082862,8.815796862450966,41.94344410928414,3.1980511587861205e-07,2.198708752457416e-06,6.745936607532336e-08,3.605587288724561e-07,1.0601728731783757,0.7252031026284639
N20002281,44.253545624655466,0.1342633518310884,27.68888229377459,7.816748383973901,17.190612639245742,3.1023155454734614e-07,1.1308028176274926e-06,1.1592318937896664e-07,4.803956770429229e-07,2.3326382396222547,0.583307429543721
